ٌ Arabic Dammatan
ڷ Arabic Letter Lam With Three Dots Above
ۡ Arabic Small High Dotless Head Of Khah
؏ Arabic Sign Misra
٤ Arabic-Indic Digit Four
ڸ Arabic Letter Lam With Three Dots Below
ۢ Arabic Small High Meem Isolated Form
ؐ Arabic Sign Sallallahou Alayhe Wassallam
٥ Arabic-Indic Digit Five
ڹ Arabic Letter Noon With Dot Below
ۣ Arabic Small Low Seen
ؑ Arabic Sign Alayhe Assallam
٦ Arabic-Indic Digit Six
ں Arabic Letter Noon Ghunna
ۤ Arabic Small High Madda
ؒ Arabic Sign Rahmatullah Alayhe
٧ Arabic-Indic Digit Seven
ڻ Arabic Letter Rnoon
ۥ Arabic Small Waw
ؓ Arabic Sign Radi Allahou Anhu
٨ Arabic-Indic Digit Eight
ڼ Arabic Letter Noon With Ring
ۦ Arabic Small Yeh
ؔ Arabic Sign Takhallus
٩ Arabic-Indic Digit Nine
ڽ Arabic Letter Noon With Three Dots Above
ۧ Arabic Small High Yeh
ؕ Arabic Small High Tah
٪ Arabic Percent Sign
ھ Arabic Letter Heh Doachashmee
ۨ Arabic Small High Noon
ؖ Arabic Small High Ligature Alef With Lam With Yeh
٫ Arabic Decimal Separator
ڿ Arabic Letter Tcheh With Dot Above
۩ Arabic Place Of Sajdah
ؗ Arabic Small High Zain
٬ Arabic Thousands Separator
ۀ Arabic Letter Heh With Yeh Above
۪ Arabic Empty Centre Low Stop
ؘ Arabic Small Fatha
٭ Arabic Five Pointed Star
ہ Arabic Letter Heh Goal
۫ Arabic Empty Centre High Stop
ؙ Arabic Small Damma
ٮ Arabic Letter Dotless Beh
ۂ Arabic Letter Heh Goal With Hamza Above
۬ Arabic Rounded High Stop With Filled Centre
ؚ Arabic Small Kasra
ٯ Arabic Letter Dotless Qaf
ۃ Arabic Letter Teh Marbuta Goal
ۭ Arabic Small Low Meem
؛ Arabic Semicolon
ٰ Arabic Letter Superscript Alef
ۄ Arabic Letter Waw With Ring
ۮ Arabic Letter Dal With Inverted V
؜ Arabic Letter Mark
ٱ Arabic Letter Alef Wasla
ۅ Arabic Letter Kirghiz Oe
ۯ Arabic Letter Reh With Inverted V
؞ Arabic Triple Dot Punctuation Mark
ٲ Arabic Letter Alef With Wavy Hamza Above
ۆ Arabic Letter Oe
۰ Extended Arabic-Indic Digit Zero
؟ Arabic Question Mark
ٳ Arabic Letter Alef With Wavy Hamza Below
ۇ Arabic Letter U
۱ Extended Arabic-Indic Digit One
ؠ Arabic Letter Kashmiri Yeh
ٴ Arabic Letter High Hamza
ۈ Arabic Letter Yu
۲ Extended Arabic-Indic Digit Two
ء Arabic Letter Hamza
ٵ Arabic Letter High Hamza Alef
ۉ Arabic Letter Kirghiz Yu
۳ Extended Arabic-Indic Digit Three
آ Arabic Letter Alef With Madda Above
ٶ Arabic Letter High Hamza Waw
۴ Extended Arabic-Indic Digit Four
أ Arabic Letter Alef With Hamza Above
ٷ Arabic Letter U With Hamza Above
۵ Extended Arabic-Indic Digit Five
ؤ Arabic Letter Waw With Hamza Above
ٸ Arabic Letter High Hamza Yeh
۶ Extended Arabic-Indic Digit Six
إ Arabic Letter Alef With Hamza Below
ٹ Arabic Letter Tteh
۷ Extended Arabic-Indic Digit Seven
ئ Arabic Letter Yeh With Hamza Above
ٺ Arabic Letter Tteheh
۸ Extended Arabic-Indic Digit Eight
ا Arabic Letter Alef
ٻ Arabic Letter Beeh
۹ Extended Arabic-Indic Digit Nine
ب Arabic Letter Beh
ټ Arabic Letter Teh With Ring
ۺ Arabic Letter Sheen With Dot Below
ة Arabic Letter Teh Marbuta
ٽ Arabic Letter Teh With Three Dots Above Downwards
ۻ Arabic Letter Dad With Dot Below
ت Arabic Letter Teh
پ Arabic Letter Peh
ۼ Arabic Letter Ghain With Dot Below
ث Arabic Letter Theh
ٿ Arabic Letter Teheh
۽ Arabic Sign Sindhi Ampersand
ج Arabic Letter Jeem
ڀ Arabic Letter Beheh
۾ Arabic Sign Sindhi Postposition Men
ح Arabic Letter Hah
ځ Arabic Letter Hah With Hamza Above
ۿ Arabic Letter Heh With Inverted V
خ Arabic Letter Khah
ڂ Arabic Letter Hah With Two Dots Vertical Above
د Arabic Letter Dal
ڃ Arabic Letter Nyeh
ذ Arabic Letter Thal
ڄ Arabic Letter Dyeh
ر Arabic Letter Reh
څ Arabic Letter Hah With Three Dots Above
ز Arabic Letter Zain
چ Arabic Letter Tcheh
س Arabic Letter Seen
ڇ Arabic Letter Tcheheh
ش Arabic Letter Sheen
ڈ Arabic Letter Ddal
ص Arabic Letter Sad
ډ Arabic Letter Dal With Ring
ض Arabic Letter Dad
ڊ Arabic Letter Dal With Dot Below
ط Arabic Letter Tah
ڋ Arabic Letter Dal With Dot Below And Small Tah
ظ Arabic Letter Zah
ڌ Arabic Letter Dahal
ع Arabic Letter Ain
ڍ Arabic Letter Ddahal
غ Arabic Letter Ghain
ڎ Arabic Letter Dul
ػ Arabic Letter Keheh With Two Dots Above
ڏ Arabic Letter Dal With Three Dots Above Downwards
ؼ Arabic Letter Keheh With Three Dots Below
ڐ Arabic Letter Dal With Four Dots Above
ؽ Arabic Letter Farsi Yeh With Inverted V
ڑ Arabic Letter Rreh
ؾ Arabic Letter Farsi Yeh With Two Dots Above
ڒ Arabic Letter Reh With Small V
ؿ Arabic Letter Farsi Yeh With Three Dots Above
ړ Arabic Letter Reh With Ring
ـ Arabic Tatweel
ڔ Arabic Letter Reh With Dot Below
ف Arabic Letter Feh
ڕ Arabic Letter Reh With Small V Below
ق Arabic Letter Qaf
ږ Arabic Letter Reh With Dot Below And Dot Above
ك Arabic Letter Kaf
ڗ Arabic Letter Reh With Two Dots Above
ل Arabic Letter Lam
ژ Arabic Letter Jeh
م Arabic Letter Meem
ڙ Arabic Letter Reh With Four Dots Above
ن Arabic Letter Noon
ښ Arabic Letter Seen With Dot Below And Dot Above
ه Arabic Letter Heh
ڛ Arabic Letter Seen With Three Dots Below
و Arabic Letter Waw
ڜ Arabic Letter Seen With Three Dots Below And Three Dots Above
ى Arabic Letter Alef Maksura
ڝ Arabic Letter Sad With Two Dots Below
ي Arabic Letter Yeh
ڞ Arabic Letter Sad With Three Dots Above
ً Arabic Fathatan
