ﮯ Arabic Letter Yeh Barree Final Form
ﴺ Arabic Ligature Tah With Meem Medial Form
ﶠ Arabic Ligature Teh With Jeem With Alef Maksura Final Form
ﮰ Arabic Letter Yeh Barree With Hamza Above Isolated Form
ﴻ Arabic Ligature Zah With Meem Medial Form
ﶡ Arabic Ligature Teh With Khah With Yeh Final Form
ﮱ Arabic Letter Yeh Barree With Hamza Above Final Form
ﴼ Arabic Ligature Alef With Fathatan Final Form
ﶢ Arabic Ligature Teh With Khah With Alef Maksura Final Form
﮲ Arabic Symbol Dot Above
ﴽ Arabic Ligature Alef With Fathatan Isolated Form
ﶣ Arabic Ligature Teh With Meem With Yeh Final Form
﮳ Arabic Symbol Dot Below
﴾ Ornate Left Parenthesis
ﶤ Arabic Ligature Teh With Meem With Alef Maksura Final Form
﮴ Arabic Symbol Two Dots Above
﴿ Ornate Right Parenthesis
ﶥ Arabic Ligature Jeem With Meem With Yeh Final Form
﮵ Arabic Symbol Two Dots Below
ﵐ Arabic Ligature Teh With Jeem With Meem Initial Form
ﶦ Arabic Ligature Jeem With Hah With Alef Maksura Final Form
﮶ Arabic Symbol Three Dots Above
ﵑ Arabic Ligature Teh With Hah With Jeem Final Form
ﶧ Arabic Ligature Jeem With Meem With Alef Maksura Final Form
﮷ Arabic Symbol Three Dots Below
ﵒ Arabic Ligature Teh With Hah With Jeem Initial Form
ﶨ Arabic Ligature Seen With Khah With Alef Maksura Final Form
﮸ Arabic Symbol Three Dots Pointing Downwards Above
ﵓ Arabic Ligature Teh With Hah With Meem Initial Form
ﶩ Arabic Ligature Sad With Hah With Yeh Final Form
﮹ Arabic Symbol Three Dots Pointing Downwards Below
ﵔ Arabic Ligature Teh With Khah With Meem Initial Form
ﶪ Arabic Ligature Sheen With Hah With Yeh Final Form
﮺ Arabic Symbol Four Dots Above
ﵕ Arabic Ligature Teh With Meem With Jeem Initial Form
ﶫ Arabic Ligature Dad With Hah With Yeh Final Form
﮻ Arabic Symbol Four Dots Below
ﵖ Arabic Ligature Teh With Meem With Hah Initial Form
ﶬ Arabic Ligature Lam With Jeem With Yeh Final Form
﮼ Arabic Symbol Double Vertical Bar Below
ﵗ Arabic Ligature Teh With Meem With Khah Initial Form
ﶭ Arabic Ligature Lam With Meem With Yeh Final Form
﮽ Arabic Symbol Two Dots Vertically Above
ﵘ Arabic Ligature Jeem With Meem With Hah Final Form
ﶮ Arabic Ligature Yeh With Hah With Yeh Final Form
﮾ Arabic Symbol Two Dots Vertically Below
ﵙ Arabic Ligature Jeem With Meem With Hah Initial Form
ﶯ Arabic Ligature Yeh With Jeem With Yeh Final Form
﮿ Arabic Symbol Ring
ﵚ Arabic Ligature Hah With Meem With Yeh Final Form
ﶰ Arabic Ligature Yeh With Meem With Yeh Final Form
﯀ Arabic Symbol Small Tah Above
ﵛ Arabic Ligature Hah With Meem With Alef Maksura Final Form
ﶱ Arabic Ligature Meem With Meem With Yeh Final Form
﯁ Arabic Symbol Small Tah Below
ﵜ Arabic Ligature Seen With Hah With Jeem Initial Form
ﶲ Arabic Ligature Qaf With Meem With Yeh Final Form
ﯓ Arabic Letter Ng Isolated Form
ﵝ Arabic Ligature Seen With Jeem With Hah Initial Form
ﶳ Arabic Ligature Noon With Hah With Yeh Final Form
ﯔ Arabic Letter Ng Final Form
ﵞ Arabic Ligature Seen With Jeem With Alef Maksura Final Form
ﶴ Arabic Ligature Qaf With Meem With Hah Initial Form
ﯕ Arabic Letter Ng Initial Form
ﵟ Arabic Ligature Seen With Meem With Hah Final Form
ﶵ Arabic Ligature Lam With Hah With Meem Initial Form
ﯖ Arabic Letter Ng Medial Form
ﵠ Arabic Ligature Seen With Meem With Hah Initial Form
ﶶ Arabic Ligature Ain With Meem With Yeh Final Form
ﯗ Arabic Letter U Isolated Form
ﵡ Arabic Ligature Seen With Meem With Jeem Initial Form
ﶷ Arabic Ligature Kaf With Meem With Yeh Final Form
ﯘ Arabic Letter U Final Form
ﵢ Arabic Ligature Seen With Meem With Meem Final Form
ﶸ Arabic Ligature Noon With Jeem With Hah Initial Form
ﯙ Arabic Letter Oe Isolated Form
ﵣ Arabic Ligature Seen With Meem With Meem Initial Form
ﶹ Arabic Ligature Meem With Khah With Yeh Final Form
ﯚ Arabic Letter Oe Final Form
ﵤ Arabic Ligature Sad With Hah With Hah Final Form
ﶺ Arabic Ligature Lam With Jeem With Meem Initial Form
ﯛ Arabic Letter Yu Isolated Form
ﵥ Arabic Ligature Sad With Hah With Hah Initial Form
ﶻ Arabic Ligature Kaf With Meem With Meem Final Form
ﯜ Arabic Letter Yu Final Form
ﵦ Arabic Ligature Sad With Meem With Meem Final Form
ﶼ Arabic Ligature Lam With Jeem With Meem Final Form
ﯝ Arabic Letter U With Hamza Above Isolated Form
ﵧ Arabic Ligature Sheen With Hah With Meem Final Form
ﶽ Arabic Ligature Noon With Jeem With Hah Final Form
ﯞ Arabic Letter Ve Isolated Form
ﵨ Arabic Ligature Sheen With Hah With Meem Initial Form
ﶾ Arabic Ligature Jeem With Hah With Yeh Final Form
ﯟ Arabic Letter Ve Final Form
ﵩ Arabic Ligature Sheen With Jeem With Yeh Final Form
ﶿ Arabic Ligature Hah With Jeem With Yeh Final Form
ﯠ Arabic Letter Kirghiz Oe Isolated Form
ﵪ Arabic Ligature Sheen With Meem With Khah Final Form
ﷀ Arabic Ligature Meem With Jeem With Yeh Final Form
ﯡ Arabic Letter Kirghiz Oe Final Form
ﵫ Arabic Ligature Sheen With Meem With Khah Initial Form
ﷁ Arabic Ligature Feh With Meem With Yeh Final Form
ﯢ Arabic Letter Kirghiz Yu Isolated Form
ﵬ Arabic Ligature Sheen With Meem With Meem Final Form
ﷂ Arabic Ligature Beh With Hah With Yeh Final Form
ﯣ Arabic Letter Kirghiz Yu Final Form
ﵭ Arabic Ligature Sheen With Meem With Meem Initial Form
ﷃ Arabic Ligature Kaf With Meem With Meem Initial Form
ﯤ Arabic Letter E Isolated Form
ﵮ Arabic Ligature Dad With Hah With Alef Maksura Final Form
ﷄ Arabic Ligature Ain With Jeem With Meem Initial Form
ﯥ Arabic Letter E Final Form
ﵯ Arabic Ligature Dad With Khah With Meem Final Form
ﷅ Arabic Ligature Sad With Meem With Meem Initial Form
ﯦ Arabic Letter E Initial Form
ﵰ Arabic Ligature Dad With Khah With Meem Initial Form
ﷆ Arabic Ligature Seen With Khah With Yeh Final Form
ﯧ Arabic Letter E Medial Form
ﵱ Arabic Ligature Tah With Meem With Hah Final Form
ﷇ Arabic Ligature Noon With Jeem With Yeh Final Form
ﯨ Arabic Letter Uighur Kazakh Kirghiz Alef Maksura Initial Form
ﵲ Arabic Ligature Tah With Meem With Hah Initial Form
ﷰ Arabic Ligature Salla Used As Koranic Stop Sign Isolated Form
ﭚ Arabic Letter Beheh Isolated Form
ﲑ Arabic Ligature Yeh With Reh Final Form
ﳥ Arabic Ligature Theh With Meem Medial Form
ﭛ Arabic Letter Beheh Final Form
ﲒ Arabic Ligature Yeh With Zain Final Form
ﳦ Arabic Ligature Theh With Heh Medial Form
ﭜ Arabic Letter Beheh Initial Form
ﲓ Arabic Ligature Yeh With Meem Final Form
ﳧ Arabic Ligature Seen With Meem Medial Form
ﭝ Arabic Letter Beheh Medial Form
ﲔ Arabic Ligature Yeh With Noon Final Form
ﳨ Arabic Ligature Seen With Heh Medial Form
ﭞ Arabic Letter Tteheh Isolated Form
ﲕ Arabic Ligature Yeh With Alef Maksura Final Form
ﳩ Arabic Ligature Sheen With Meem Medial Form
ﭟ Arabic Letter Tteheh Final Form
ﲖ Arabic Ligature Yeh With Yeh Final Form
ﳪ Arabic Ligature Sheen With Heh Medial Form
ﭠ Arabic Letter Tteheh Initial Form
ﲗ Arabic Ligature Yeh With Hamza Above With Jeem Initial Form
ﳫ Arabic Ligature Kaf With Lam Medial Form
ﭡ Arabic Letter Tteheh Medial Form
ﲘ Arabic Ligature Yeh With Hamza Above With Hah Initial Form
ﳬ Arabic Ligature Kaf With Meem Medial Form
ﭢ Arabic Letter Teheh Isolated Form
ﲙ Arabic Ligature Yeh With Hamza Above With Khah Initial Form
ﳭ Arabic Ligature Lam With Meem Medial Form
ﭣ Arabic Letter Teheh Final Form
ﲚ Arabic Ligature Yeh With Hamza Above With Meem Initial Form
ﳮ Arabic Ligature Noon With Meem Medial Form
ﭤ Arabic Letter Teheh Initial Form
ﲛ Arabic Ligature Yeh With Hamza Above With Heh Initial Form
ﳯ Arabic Ligature Noon With Heh Medial Form
ﭥ Arabic Letter Teheh Medial Form
ﲜ Arabic Ligature Beh With Jeem Initial Form
ﳰ Arabic Ligature Yeh With Meem Medial Form
ﭦ Arabic Letter Tteh Isolated Form
ﲝ Arabic Ligature Beh With Hah Initial Form
ﳱ Arabic Ligature Yeh With Heh Medial Form
ﭧ Arabic Letter Tteh Final Form
ﲞ Arabic Ligature Beh With Khah Initial Form
ﳲ Arabic Ligature Shadda With Fatha Medial Form
ﭨ Arabic Letter Tteh Initial Form
ﲟ Arabic Ligature Beh With Meem Initial Form
ﳳ Arabic Ligature Shadda With Damma Medial Form
ﭩ Arabic Letter Tteh Medial Form
ﲠ Arabic Ligature Beh With Heh Initial Form
ﳴ Arabic Ligature Shadda With Kasra Medial Form
ﭪ Arabic Letter Veh Isolated Form
ﲡ Arabic Ligature Teh With Jeem Initial Form
ﳵ Arabic Ligature Tah With Alef Maksura Isolated Form
ﭫ Arabic Letter Veh Final Form
ﲢ Arabic Ligature Teh With Hah Initial Form
ﳶ Arabic Ligature Tah With Yeh Isolated Form
ﭬ Arabic Letter Veh Initial Form
ﲣ Arabic Ligature Teh With Khah Initial Form
ﳷ Arabic Ligature Ain With Alef Maksura Isolated Form
ﭭ Arabic Letter Veh Medial Form
ﲤ Arabic Ligature Teh With Meem Initial Form
ﳸ Arabic Ligature Ain With Yeh Isolated Form
ﭮ Arabic Letter Peheh Isolated Form
