⬜ White Large Square
⯔ Pluto Form Three
⯕ Pluto Form Four
⯖ Pluto Form Five
⯗ Transpluto
⯘ Proserpina
⯙ Astraea
⯚ Hygiea
⯛ Pholus
⯜ Nessus
⯝ White Moon Selena
⯞ Black Diamond On Cross
⯟ True Light Moon Arta
⯠ Cupido
⯡ Hades
⯢ Zeus
⯣ Kronos
⯤ Apollon
⯥ Admetos
⯦ Vulcanus
⯧ Poseidon
⯨ Left Half Black Star
⯩ Right Half Black Star
⯪ Star With Left Half Black
⯫ Star With Right Half Black
⯬ Leftwards Two-Headed Arrow With Triangle Arrowheads
⯭ Upwards Two-Headed Arrow With Triangle Arrowheads
⯮ Rightwards Two-Headed Arrow With Triangle Arrowheads
⯯ Downwards Two-Headed Arrow With Triangle Arrowheads
⯰ Eris Form One
⯱ Eris Form Two
