🬀 Block Sextant-1
🮃 Upper Three Eighths Block
🮄 Upper Five Eighths Block
🮅 Upper Three Quarters Block
🮆 Upper Seven Eighths Block
🮇 Right One Quarter Block
🮈 Right Three Eighths Block
🮉 Right Five Eighths Block
🮊 Right Three Quarters Block
🮋 Right Seven Eighths Block
🮌 Left Half Medium Shade
🮍 Right Half Medium Shade
🮎 Upper Half Medium Shade
🮏 Lower Half Medium Shade
🮐 Inverse Medium Shade
🮑 Upper Half Block And Lower Half Inverse Medium Shade
🮒 Upper Half Inverse Medium Shade And Lower Half Block
🮔 Left Half Inverse Medium Shade And Right Half Block
🮕 Checker Board Fill
🮖 Inverse Checker Board Fill
🮗 Heavy Horizontal Fill
🮘 Upper Left To Lower Right Fill
🮙 Upper Right To Lower Left Fill
🮚 Upper And Lower Triangular Half Block
🮛 Left And Right Triangular Half Block
🮜 Upper Left Triangular Medium Shade
🮝 Upper Right Triangular Medium Shade
🮞 Lower Right Triangular Medium Shade
🮟 Lower Left Triangular Medium Shade
🮠 Box Drawings Light Diagonal Upper Centre To Middle Left
🮡 Box Drawings Light Diagonal Upper Centre To Middle Right
🮢 Box Drawings Light Diagonal Middle Left To Lower Centre
🮣 Box Drawings Light Diagonal Middle Right To Lower Centre
🮤 Box Drawings Light Diagonal Upper Centre To Middle Left To Lower Centre
🮥 Box Drawings Light Diagonal Upper Centre To Middle Right To Lower Centre
🮦 Box Drawings Light Diagonal Middle Left To Lower Centre To Middle Right
🮧 Box Drawings Light Diagonal Middle Left To Upper Centre To Middle Right
🮨 Box Drawings Light Diagonal Upper Centre To Middle Left And Middle Right To Lower Centre
🮩 Box Drawings Light Diagonal Upper Centre To Middle Right And Middle Left To Lower Centre
🮪 Box Drawings Light Diagonal Upper Centre To Middle Right To Lower Centre To Middle Left
🮫 Box Drawings Light Diagonal Upper Centre To Middle Left To Lower Centre To Middle Right
🮬 Box Drawings Light Diagonal Middle Left To Upper Centre To Middle Right To Lower Centre
🮭 Box Drawings Light Diagonal Middle Right To Upper Centre To Middle Left To Lower Centre
🮮 Box Drawings Light Diagonal Diamond
🮯 Box Drawings Light Horizontal With Vertical Stroke
🮰 Arrowhead-Shaped Pointer
🮱 Inverse Check Mark
🮲 Left Half Running Man
🮳 Right Half Running Man
🮴 Inverse Downwards Arrow With Tip Leftwards
🮵 Leftwards Arrow And Upper And Lower One Eighth Block
🮶 Rightwards Arrow And Upper And Lower One Eighth Block
🮷 Downwards Arrow And Right One Eighth Block
🮸 Upwards Arrow And Right One Eighth Block
🮹 Left Half Folder
🮺 Right Half Folder
🮻 Voided Greek Cross
🮼 Right Open Squared Dot
🮽 Negative Diagonal Cross
🮾 Negative Diagonal Middle Right To Lower Centre
🮿 Negative Diagonal Diamond
🯀 White Heavy Saltire With Rounded Corners
🯁 Left Third White Right Pointing Index
🯂 Middle Third White Right Pointing Index
🯃 Right Third White Right Pointing Index
🯄 Negative Squared Question Mark
🯅 Stick Figure
🯆 Stick Figure With Arms Raised
🯇 Stick Figure Leaning Left
🯈 Stick Figure Leaning Right
🯉 Stick Figure With Dress
🯊 White Up-Pointing Chevron
🯰 Segmented Digit Zero
🯱 Segmented Digit One
🯲 Segmented Digit Two
🯳 Segmented Digit Three
🯴 Segmented Digit Four
🯵 Segmented Digit Five
🯶 Segmented Digit Six
🯷 Segmented Digit Seven
🯸 Segmented Digit Eight
🯹 Segmented Digit Nine
