𘢋 Tangut Component-140
𘢌 Tangut Component-141
𘢍 Tangut Component-142
𘢎 Tangut Component-143
𘢏 Tangut Component-144
𘢐 Tangut Component-145
𘢑 Tangut Component-146
𘢒 Tangut Component-147
𘢓 Tangut Component-148
𘢔 Tangut Component-149
𘢕 Tangut Component-150
𘢖 Tangut Component-151
𘢗 Tangut Component-152
𘢘 Tangut Component-153
𘢙 Tangut Component-154
𘢚 Tangut Component-155
𘢛 Tangut Component-156
𘢜 Tangut Component-157
𘢝 Tangut Component-158
𘢞 Tangut Component-159
𘢟 Tangut Component-160
𘢠 Tangut Component-161
𘢡 Tangut Component-162
𘢢 Tangut Component-163
𘢣 Tangut Component-164
𘢤 Tangut Component-165
𘢥 Tangut Component-166
𘢦 Tangut Component-167
𘢧 Tangut Component-168
𘢨 Tangut Component-169
𘢩 Tangut Component-170
𘢪 Tangut Component-171
𘢫 Tangut Component-172
𘢬 Tangut Component-173
𘢭 Tangut Component-174
𘢮 Tangut Component-175
𘢯 Tangut Component-176
𘢰 Tangut Component-177
𘢱 Tangut Component-178
𘢲 Tangut Component-179
𘢳 Tangut Component-180
𘢴 Tangut Component-181
𘢵 Tangut Component-182
𘢶 Tangut Component-183
𘢷 Tangut Component-184
𘢸 Tangut Component-185
𘢹 Tangut Component-186
𘢺 Tangut Component-187
𘢻 Tangut Component-188
𘢼 Tangut Component-189
𘢽 Tangut Component-190
𘢾 Tangut Component-191
𘢿 Tangut Component-192
𘣀 Tangut Component-193
𘣁 Tangut Component-194
𘣂 Tangut Component-195
𘣃 Tangut Component-196
𘣄 Tangut Component-197
𘣅 Tangut Component-198
𘣆 Tangut Component-199
𘣇 Tangut Component-200
𘣈 Tangut Component-201
𘣉 Tangut Component-202
𘣊 Tangut Component-203
𘣋 Tangut Component-204
𘣌 Tangut Component-205
𘣍 Tangut Component-206
𘣎 Tangut Component-207
𘣏 Tangut Component-208
𘣐 Tangut Component-209
𘣑 Tangut Component-210
𘣒 Tangut Component-211
𘣓 Tangut Component-212
𘣔 Tangut Component-213
𘣕 Tangut Component-214
𘣖 Tangut Component-215
𘣗 Tangut Component-216
𘣘 Tangut Component-217
𘣙 Tangut Component-218
𘣚 Tangut Component-219
𘣛 Tangut Component-220
𘣜 Tangut Component-221
𘣝 Tangut Component-222
𘣞 Tangut Component-223
𘣟 Tangut Component-224
𘣠 Tangut Component-225
𘣡 Tangut Component-226
𘣢 Tangut Component-227
𘣣 Tangut Component-228
𘣤 Tangut Component-229
𘣥 Tangut Component-230
𘣦 Tangut Component-231
𘣧 Tangut Component-232
𘣨 Tangut Component-233
𘣩 Tangut Component-234
𘣪 Tangut Component-235
𘣫 Tangut Component-236
𘣬 Tangut Component-237
𘣭 Tangut Component-238
𘣮 Tangut Component-239
𘣯 Tangut Component-240
𘣰 Tangut Component-241
𘣱 Tangut Component-242
𘣲 Tangut Component-243
𘣳 Tangut Component-244
𘣴 Tangut Component-245
𘣵 Tangut Component-246
𘣶 Tangut Component-247
𘣷 Tangut Component-248
𘣸 Tangut Component-249
𘣹 Tangut Component-250
𘣺 Tangut Component-251
𘣻 Tangut Component-252
𘣼 Tangut Component-253
𘣽 Tangut Component-254
𘣾 Tangut Component-255
𘣿 Tangut Component-256
𘤀 Tangut Component-257
𘤁 Tangut Component-258
𘤂 Tangut Component-259
𘤃 Tangut Component-260
𘤄 Tangut Component-261
𘤅 Tangut Component-262
𘤆 Tangut Component-263
𘤇 Tangut Component-264
𘤈 Tangut Component-265
𘤉 Tangut Component-266
𘤊 Tangut Component-267
𘤋 Tangut Component-268
𘤌 Tangut Component-269
𘤍 Tangut Component-270
𘤎 Tangut Component-271
𘤏 Tangut Component-272
𘤐 Tangut Component-273
𘤑 Tangut Component-274
𘤒 Tangut Component-275
𘤓 Tangut Component-276
𘤔 Tangut Component-277
𘤕 Tangut Component-278
