{ ezkerreko giltza, giltza
‧ hitzak bereizteko puntua, marra, marratxoa, puntua
′ kakotxa
″ kakotx bikoitza, kakotxa
‴ kakotx hirukoitza, kakotxa
‸ caret, caret-a
※ erreferentzia-marka
⁂ asterismo, izarrak
` azentu kamutsa, azentua, kamutsa, tonua
´ azentu zorrotza, azentua, tonua, zorrotza
^ azentu zirkunflexua, azentua, txapela, zirkunflexua
¨ dieresia
° froga, gradu, ordu
℗ copyright, grabaketa, soinu, soinu-grabaketaren copyrighta
← ezkerra, ezkerrera seinalatzen duen gezia, gezia
↚ ezkerrerako gezia trazuarekin
→ eskuinera, eskuinera seinalatzen duen gezia, gezia
↛ eskuinerako gezia trazuarekin
↑ gezia, gora, gora seinalatzen duen gezia
↓ behera, behera seinalatzen duen gezia, gezia
↜ ezkerrerako uhin-gezia
↝ eskuinerako uhin-gezia
↞ ezkerrerako bi buruko gezia
↟ gorako bi buruko gezia
↠ eskuinerako bi buruko gezia
↡ beherako bi buruko gezia
↢ ezkerrerako gezi buztanduna
↣ eskuinerako gezi buztanduna
↤ ezkerrerako gezia barratik
↥ gorako gezia barratik
↦ eskuinerako gezia barratik
↧ beherako gezia barratik
↨ gorako eta beherako gezia barratik
↫ ezkerrerako gezia begiztarekin
↬ eskuinerako gezia begiztarekin
↭ ezkerrerako uhin-gezia begiztarekin
↯ beherako gezia sigi-saga eginez, sigi-saga
↰ gorako gezia ezkerrako puntarekin
↱ gorako gezia eskuinerako puntarekin
↲ beherako gezia ezkerrako puntarekin
↳ beherako gezia eskuinerako puntarekin
↴ eskuinerako gezia beherako izkinarekin
↵ beherako gezia ezkerrerako izkinarekin
↶ ezkerrerako goi-zirkuluerdiaren gezia
↷ eskuinerako goi-zirkuluerdiaren gezia
↸ ipar-mendebaldeko gezia barra luzearekin
↹ ezkerrerako barradun gezia eskuinerako barradun geziaren gainean
↺ ezkerrerako zirkuluerdi irekiaren gezia
↻ eskuinerako zirkuluerdi irekiaren gezia
↼ bizarra, ezkerrerako goiko arpoi-bizarra
↽ ezkerrerako beheko arpoi-bizarra
↾ bizarra, gorako eskuineko arpoi-bizarra
↿ bizarra, gorako ezkerreko arpoi-bizarra
⇀ bizarra, eskuinerako goiko arpoi-bizarra
⇁ bizarra, eskuinerako beheko arpoi-bizarra
⇂ beherako eskuineko arpoi-bizarra, bizarra
⇃ beherako ezkerreko arpoi-bizarra, bizarra
⇄ eskuinerako gezia ezkerrerako geziaren gainean
⇅ behera, gezia, gora, gora eta behera seinalatzen duten geziak
⇆ eskuina, ezkerra, ezkerrera eta eskuinera gezia, ezkerrera eta eskuinera seinalatzen duen gezia
⇇ ezkerrerako gezi parea
⇈ gorako gezi parea
⇉ eskuinerako gezi parea, ezkuinerako gezi parea
⇊ beherako gezi parea
⇋ ezkerrerako arpoia eskuinerako arpoiaren gainean
⇌ eskuinerako arpoia ezkerrerako arpoiaren gainean
⇐ ezkerrerako gezi bikoitza
⇍ ezkerrerako gezi bikoitza trazuarekin
⇑ gorako gezi bikoitza
⇒ eskuinerako gezi bikoitza
∆ gehikuntza, triangelua
∇ nabla, triangelua
∈ elementua, ezarri, hau du, honen elementua, kidetza
+ gehitu, plus, plus-ikurra
± plus-minus
÷ zatiketa, zatiketa-ikur, zatitu
× aldiak, biderkatu, biderketa, biderketa-ikur
< etiketa, hau baino txikiagoa, itxi etiketa
= berdin, berdin-ikurra
≠ ez da berdin, inekuazioa
> etiketa, hau baino handiagoa, itxi etiketa
¬ ez, ezezkoa
| barra, barra bertikala, lerro bertikala, lerroa
~ tileta
− kendu, minus, minus-ikurra
⁻ goi-indize, goi-indizeko minusa, minus
√ erro, errotzaile, karratu, oinarri
∞ infinitu-ikurra, infinitua
∩ ebakidura, multzoa
∪ bilduma, lotura, multzoa
≈ gutxi gorabehera, ia berdin
≡ bera, berbera, hirukoitza, honen berbera
≤ berdin, desberdintasuna, hau baino txikiagoa, hau baino txikiagoa edo berdina
≥ berdin, desberdintasuna, hau baino handiagoa, hau baino handiagoa edo berdina
⊂ azpimultzoa, honen azpimultzoa, multzoa
▲ betea, gezia, gora seinalatzen duen triangelu betea, triangelu
▼ behera, behera seinalatzen duen triangelu betea, betea, gezi, triangelu
◊ diamante, erronbo
○ eraztun, zirkulu, zirkulu huts, zirkulu hutsa
● zirkulu bete, zirkulu betea, zirkulua
◯ eraztun, zirkulu, zirkulu huts handi, zirkulu huts handia
♪ kortxea, musika, nota
♭ bemola, musika, nota
♯ diesea, musika, nota
😀 aurpegi, barre egiten ari den aurpegia, irribarre
😃 aho, aurpegi, barre egiten ari den aurpegia, ahoa irekita, ireki, irribarre, irribarre egiten ari den aurpegia, ahoa irekita
😄 aho, aurpegi, begi, begiez barreka ari den aurpegia, begiez irribarre egiten ari den aurpegia, ahoa irekita, ireki, irribarre
😁 aurpegi, barre, begi, begiez barre egiten ari den aurpegia, irribarre
😆 aho, asebeteta, aurpegi, barre, barreka ari den aurpegia, begiak itxita, ireki, irribarre, irribarre egiten ari den aurpegia, begiak itxita
😅 aurpegi, barreka ari den aurpegia, izerdi hotzarekin, hotz, ireki, irribarre, irribarre egiten ari den aurpegia, izerdi hotzarekin eta ahora irekita, izerdi
🤣 barrez, leherka, lehertu
😂 aurpegi, barre, malko, poz, pozez negar egiten ari den aurpegia
🙂 apur bat irribarre egiten ari den aurpegia, aurpegi, irribarre
🙃 aurpegi, buruz behera, buruz behera dagoen aurpegia
😉 aurpegi, begiaz keinu egiten ari den aurpegia, keinu
😊 aurpegi, begi, begiez irribarre egiten ari den aurpegia, gorritu, irribarre
😇 aingerua, argi-koroa, aurpegia, barreka ari den aurpegia argi-koroarekin, fantasia, inuzentea, irribarre egiten ari den aurpegia argi-koroarekin, irribarrea
🥰 irri egiten ari den aurpegia, 3 bihotzekin, irribarre egiten ari den aurpegia, 3 bihotzekin, maiteminduta, oso gustuko, txoratze
😍 aurpegi, aurpegia barreka, bihotz-itxurako begiekin, begi, bihotz, irribarre, irribarre egiten ari den aurpegia, bihotz-itxurako begiekin, maitasun
🤩 aurpegi, begiak, irribarretsu, izar
😘 aurpegi, bihotz, musu, musu bat bidaltzen ari den aurpegia
😗 aurpegi, musu, musuka ari den aurpegia
☺ aurpegi, erlaxatuta, irribarre, irribarre egiten ari den aurpegia, nabarmen
😚 aurpegi, begi, itxi, musu, musuka ari den aurpegia, begiak itxita
😙 aurpegi, begi, irribarre, musu, musuka eta begiez barreka ari den aurpegia, musuka eta begiez irribarre egiten ari den aurpegia
🥲 barreka ari den aurpegia, malko batekin, esker on, harro, hunkitu, irribarre, irribarre egiten ari den aurpegia, malko batekin, lasaitu, malko
😋 aurpegi, dastatu, gozo, irribarre, janari gozoa dastatzen ari den aurpegia, mmm
😛 aurpegi, mingain, mingaina kanpoan duen aurpegia
😜 aurpegi, begi, keinu, mihia aterata begi-keinuka ari den aurpegia, mingain, mingaina kanpoan duen eta begiaz keinu egiten ari den aurpegia, txantxa
🤪 begi, ero-aurpegia, handi, txiki
😝 aurpegi, begi, mihia aterata eta begiak itxita dauzkan aurpegia, mingain, mingaina kanpoan duen eta begiak itxita dituen aurpegia, txar, zapore
🤑 aho, aurpegi, diru, diru-itxurako mingaina duen aurpegia
🤗 aurpegi, besarkada, besarkada ematen ari den aurpegia, besarkatu
🤭 ene, eskuaz ahoa estaltzen ari den aurpegia
🤫 isilarazi, isilik, isiltasuna eskatzen ari den aurpegia, ixo
🤔 aurpegi, pentsatzen, pentsatzen ari den aurpegia
🤐 aho, aurpegi, kremailera, kremaileradun ahoa duen aurpegia
🤨 bekaina jasota duen aurpegia, eszeptiko, mesfidatu
😐 aurpegi, espresiorik gabe, neutrala
😑 aurpegi, espresiorik gabe, espresiorik gabeko aurpegia
😶 aho, ahorik gabeko aurpegia, aurpegi, isilik, isiltasun
😶‍🌫 adigalkorra, hodei artean dagoen aurpegia, izarrei begira dagoen aurpegia, laino artean dagoen aurpegia
😏 aurpegi, handiki, handitasun-aurpegia
😒 aspertu-aurpegia, aspertuta, aurpegi, triste
🙄 aurpegi, begiak, begiak bueltaka dituen aurpegia, biraka, bueltaka
😬 aurpegi, imintzio, imintzio-aurpegia
😮‍💨 arnasa botatzen ari den aurpegia, arnasa hartu, arnasestua, hasperena, lasaitua, marmarra, txistua
🤥 aurpegi, aurpegi gezurtia, gezur, pinotxo
😌 aurpegi, lasaitasun, lasaitasun-aurpegia
😔 aurpegi, aurpegi pentsakorra, goibel, pentsakor
😪 aurpegi, lo, logura, logura-aurpegia
🤤 aurpegi, aurpegia lerdea dariola, lerde
😴 aurpegi, lo, lo dagoen aurpegia, zzz
😷 aurpegi, gaixo, hotzeri, maskara, mediku-maskara daraman aurpegia, medikuntza, sendagile
🤒 aurpegi, gaixo, termometro, termometroa duen aurpegia
🤕 aurpegi, benda, buruan benda daraman aurpegia, oinaze, zauri
🤢 aurpegi, aurpegi zorabiatua, goitika, zorabiatu
🤮 gaixo, goitika, goitika ari den aurpegi
🤧 aurpegi, aurpegia mukiak kentzen, kendu, muki
🥵 bero, bero-bero dagoen aurpegia, bero-kolpe, gorritu, izerditan, sukartsu
🥶 aurpegi izoztu, hotz, izoztu, oso hotz, urdindu
🥴 ahoa okertuta, alai, begiak okertuta, mozkortuta, tentel-aurpegia, zorabiatuta
😵 aurpegi, zorabiatu, zorabio-aurpegia
😵‍💫 arazoa, hipnotizatuta, kiribil-begiak dituen aurpegia, kiribila, zorabiatuta
🤯 lehertzear den burua, txundituta
🤠 aurpegi, behizain, behizain txanodunaren aurpegia, txano, unai
🥳 adar, festa, kapelu, ospakizun, parrandan dabilen aurpegia
🥸 aurpegi, betaurrekoak, ezkutu, mozorro, mozorrotutako aurpegia, sudur
😎 argitasun, aurpegi, aurpegia barreka, eguzkitako betaurrekoekin, begi, cool, eguzkitako betaurreko, irribarre egiten ari den aurpegia, eguzkitako betaurrekoekin
🤓 arraro, arraro-aurpegia, aurpegi, berezi
🧐 aspergarria, monokulo bat duen aurpegia
😕 aurpegi, nahasketa-aurpegia, nahastuta
😟 aurpegi, aurpegi kezkatua, kezkatu
🙁 aurpegi, aurpegi apur bat kopetiluna, kopetilun
☹ aurpegi, kopeta ilunduta duen aurpegia, kopetilun
😮 aho, ahoa irekita duen aurpegia, aurpegi, ireki, poza
😯 aurpegi, harridura, harridura-aurpegia, harrituta, zur eta lur
😲 aurpegi, guztiz, harridura, harritu-aurpegia, sorpresa
😳 aurpegi, aurpegi gorritua, gorritu, nahastu
🥺 aurpegi erregutzailea, begirada erregutzaile, erregutze, gupida
😦 aho, aurpegi, ireki, kopeta ilun eta ahoa zabalik duen aurpegia, kopeta ilunduta eta ahoa irekita duen aurpegia, kopetilun
😧 aurpegi, estutasun, estutasun-aurpegia
😨 aurpegi, beldur, ikara, ikara-aurpegia, ikaratu
😰 aho, ahoa irekita eta izerdi hotza duen aurpegia, aurpegi, grinatsu, hotz, irekita, izerdi
😥 aurpegi, desengainatuta, desengainatuta baina lasaiago, eskerrak, lasai
😢 aurpegi, malko, negar, negarrez ari den aurpegia, triste
😭 aurpegi, malko, negar, negar eta negar ari den aurpegia, triste, zotinka
😱 aurpegi, beldur, beldurrez oihuka ari den aurpegia, beldurti, beldurtu, izutu
😖 aurpegi, hutsegite, hutsegite-aurpegia
😣 aurpegi, aurpegi nekaezina, nekaezin, pertseberantzia
😞 aurpegi, etsipen, etsipen-aurpegia
😓 aurpegi, hotz, izerdi, izerdi hotza duen aurpegia
😩 aurpegi, nazkatu, neke, neke-aurpegia
😫 aurpegi, nekatu, nekatu-aurpegia
🥱 aharrausi, aharrausi egiten ari den aurpegia, aspertuta, nekatuta
😤 aurpegi, irabazi, sudurretik kea darion aurpegia, txapeldun
😡 amorru, aurpegi, aurpegi muturtua, ero, gorri, haserre, muturtu
😠 aurpegi, ero, haserre, haserre-aurpegia
🤬 ahoan ikurrak dituen aurpegia, izerditan
😈 adarrak, aurpegi, fantasia, ipuin, irribarre, irribarre egiten ari den aurpegi adarduna
👿 aurpegi, deabru, deabrua, fantasia, ipuin
💀 aurpegi, buru-hezurra, gorputz, heriotz, hil, ipuin, munstro
☠ aurpegi, buru-hezur, buru-hezurra eta hezur gurutzatuak, gorputz, heriotza, hezur gurutzatuak, hil, munstro
💩 aurpegi, gorotz, kaka, kaka-mokordoa, komiki, monstruo
🤡 aurpegi, pailazo, pailazo-aurpegia
👹 aurpegi, fantasia, ipuin, izaki, japoniera, munstro, ogroa
👺 aurpegi, fantasia, ipuin, iratxoa, izaki, japoniera, munstro
👻 aurpegi, fantasia, ipuin, izaki, mamua, munstro
👽 aurpegia, espazioa, estralurtarra, fantasia, izakia, munstroa, ohe
👾 aurpegia, estralurtarra, fantasia, ipuina, izakia, munstro estralurtarra, munstroa, ohe
🤖 aurpegi, munstro, robot, robot-aurpegia
😺 aho, ahoa irekita duen eta irribarre egiten ari den katu-aurpegia, ahoa irekita duen katu-aurpegi irribarretsua, aurpegi, ireki, irribarre, katu
😸 aurpegi, barre, begi, begiez barre egiten ari den katu-aurpegia, katu
😹 aurpegi, katu, malko, poz, pozez negar ari den katu-aurpegia
😻 aurpegia, begia, bihotz-itxurako begiak dituen eta irribarre egiten ari den katu-aurpegia, bihotza, irribarrea, katu irribarretsua, bihotz-itxurako begiekin, katua, maitasuna
😼 aurpegi, ironiko, irribarre, irribarre maltzurra duen katu-aurpegia, katu, maltzur
😽 aurpegi, begi, begiak itxita dituen eta musuka ari den katu-aurpegia, begiak itxita musuka ari den katu-aurpegia, katu, musu
🙀 aurpegi, harritu, katu, leher eginda, leher eginda dagoen katu-aurpegia, nekatu
😿 aurpegi, katu, malko, negar, negarrez ari den katu-aurpegia, triste
😾 aurpegi, katu, katu-aurpegi muturtua, muturtu
🙈 aurpegia, debekatuta, gauza txarrik ikusi nahi ez duen tximua, ikusi, keinua, txarra, tximua
🙉 aurpegia, debekatuta, entzun, gauza txarrik entzun nahi ez duen tximua, keinua, txarra, tximua
🙊 aurpegia, debekatuta, esan, gauza txarrik esan nahi ez duen tximua, keinua, txarra, tximua
💋 ezpainak, musu, musu-aztarna
💌 bihotz, gutun, maitasun, maitasun-gutuna, posta
💘 bihotz, bihotza geziarekin, gezi, kupido
💝 begizta, bihotz, bihotza begiztarekin, valentin
💖 bihotz, bihotz distiratsua, distira, urduri
💗 bihotz, handitu, handitzen ari den bihotza, taupada, urduri, urduritasun
💓 bihotz, bihotz-taupada, taupada
💞 bihotz, biraka, biraka ari diren bihotzak
💕 bi bihotz, bihotz, maitasun
💟 bihotz, bihotz apaindua
❣ bihotz, bihotz-itxurako harridura-marka, harridura, marka, puntuazioa
💔 bihotz, bihotz hautsia, hautsi, hautsita
❤‍🔥 bihotz sakratua, bihotza, erre, lizunkeria, maitasuna, sutan dagoen bihotza
❤‍🩹 hobetzen, leheneratzen, ondo, osasuntsuago, sendatzen, sendatzen ari den bihotza, suspertzen
❤ bihotz, bihotz gorria
🧡 bihotz laranja, laranja
💛 bihotz, bihotz horia, hori
💚 berde, bihotz, bihotz berdea
💙 bihotz, bihotz urdina, urdin
💜 bihotz, bihotz morea, more
🤎 bihotz, bihotz marroia, marroi
🖤 beltz, bihotz, bihotz beltza, zital, zorigaitz
🤍 bihotz, bihotz zuria, zuri
💯 100, ehun, ehun puntu, oso, puntuazio
💢 amorruaren ikurra, haserre, komiki, sutan
💥 bum, eztanda, komiki
💫 izar, komiki, zorabiatuta
💦 izerdi, izerdi-tantatxoak, komiki, zipriztin
💨 bizi, komiki, korrika, lasterka, ziztu bizian
🕳 zulo, zuloa
💣 komiki, lehergailua
💬 bunbuiloa, elkarrizketa, hizketa
👁‍🗨 begi, begi bat duen bunbuiloa, bunbuilo, lekuko
🗨 elkarrizketa, ezkerrera doan bunbuiloa, hizketa
🗯 bunbuilo, eskuinera doan sumindura-bunbuiloa, haserre, sumindu
💭 bunbuilo, burutazio, burutazio-bunbuiloa, komiki, pentsamendu
💤 komiki, lo, zzz
👋 eskua, gorputza, mugitu, mugitzen ari den eskua
🤚 altxatuta, esku-azpi, esku-azpia altxatuta
🖐 esku altxatua eta hatz hedatuak, eskua, gorputza, hatza, hedatu
✋ esku altxatua, eskua
🖖 agur vulcandarra, eskua, hatza, spock, vulcandar agur, vulcandar agurra, vulcandarra
👌 ados, adostasuna adierazten duen eskua, eskua, gorputza, ok
🤌 elkartuta, esku-keinua, galdera, hatz elkartuak, hatzak, sarkasmoa
🤏 atximurka egiten ari den eskua, pixka bat
✌ eskua, garaipena, garaipena adierazten duen eskua, gorputza, v
🤞 eskua, gurutzatu, hatz gurutzatuak, hatza, zortea
🤟 adarren keinua, eskua
🤘 adarra, adarrak adierazten dituen eskua, eskua, gorputza, hatza
🤙 deitu, deitzeko esku-keinua, eskua
👈 erakusle, esku, ezkerrera seinalatzen ari den hatz erakuslea, hatz, seinalatu
👉 erakusle, esku, eskuinera seinalatzen ari den hatz erakuslea, hatz, seinalatu
👆 erakusle, esku, gora seinalatzen ari den hatz erakuslearen atzealdea, gora seinalatzen ari den hatza, hatz, seinalatu
🖕 erdiko hatza, esku, gorputz, hatz
👇 behera seinalatzen ari den hatz erakuslearen atzealdea, behera seinalatzen ari den hatza, erakusle, esku, hatz, seinalatu
☝ erakusle, esku, gora seinalatzen ari den hatz erakuslea, hatz, seinalatu
👍 erpurua, eskua, gora, gorputza
👎 behera, erpurua, eskua, gorputza
✊ eskua, estutu, ukabil altxatua, ukabila, ukabilkada
👊 eskua, estutu, gorputza, ukabila, ukabilkada
🤛 ezkerrera, ukabila, ukabila ezkerrera begira
🤜 eskuinera, ukabila, ukabila eskuinera begira
👏 esku, gorputz, txalo, txaloka ari diren eskuak
🙌 altxatu, esku, eskuak altxatzen ari den pertsona, keinu, ospakizun
👐 esku, esku irekiak, gorputz, ireki
🤲 esku-azpiak elkartuta, otoitza
🤝 adostasun, bilera, esku, esku-emate, esku-ematea
🙏 erregutzen ari diren eskuak, eskatu, eskerrak, mesedez, otoitz
✍ esku, gorputz, idatzi, idazten ari den eskua
💅 azazkal, azazkaletako esmaltea, edertasun, esmalte, gorputz, kosmetika, manikura
🤳 autoargazki, autoargazkia, kamera, telefono
💪 bizepsa, bizepsak, flexioa, giharra, gorputza, komikia
🦾 beso mekanikoa, irisgarritasuna, prostetikoa
🦿 hanka mekanikoa, irisgarritasuna, prostetikoa
🦵 gorputz-adarra, hanka, ostikada
🦶 oin, oina, ostikada, zanpatu
👂 belarri, belarria, gorputza
🦻 audifonoa duen belarria, gortasuna, irisgarritasuna
👃 gorputza, sudur, sudurra
🧠 adimentsua, argia, azkarra, burmuin, burmuina
🫀 bihotza organoa, erdigunea, kardiologia, organoa, pultsua, taupada
🫁 arnas hartzea, arnasa, arnastu, birikak, hasperena, inhalazioa, organoa
🦷 dentista, hagina, hortz, hortza
🦴 eskeletoa, hezur, hezurra
👀 aurpegia, begia, begiak, gorputza
👁 begi, begia, gorputza
👅 gorputza, mingain, mingaina
👄 aho, ahoa, ezpainak, gorputza
👶 haurtxo, haurtxoa
🧒 gazte, genero neutroko, haur
👦 gizon, mutil, mutila
👧 emakume, neska
🧑 genero neutroko, heldu, pertsona
👱 ile, ilehori, pertsona ilehoria
👨 gizon, gizona, gizonezko
🧔 bizar, pertsona bizarduna
🧔‍♂ bizarra, gizona, gizona: bizarra
👱‍♂ gizon, gizon ilehoria, gizonezko, ilehori
👩 emakume, emakumea, emakumezko
🧔‍♀ bizarra, emakumea, emakumea: bizarra
👱‍♀ emakume, emakume ilehoria, emakumezko, ilehori
🧓 adineko, agure, genero neutroko
👴 agure, aitona, gizon, gizonezko, zahar
👵 agure, amona, emakume, emakumezko, zahar
🙍 keinu, kopeta, kopeta zimurtzen ari den pertsona, zimurtu
🙍‍♂ gizon, gizonezko, keinu, kopeta, kopeta zimurtzen ari den gizona, zimurtu
🙍‍♀ emakume, emakumezko, keinu, kopeta, kopeta zimurtzen ari den emakumea, zimurtu
🙎 keinu, muturtu, pertsona muturtua
🙎‍♂ gizon, gizon muturtua, gizonezko, keinu, muturtu
🙎‍♀ emakume muturtua, emakumea, emakumezkoa, keinua, muturtua
🙅 ados ez dagoela adierazten ari den pertsona, debekatuta, esku, ez, galarazita, keinu
🙅‍♂ ados ez dagoela adierazten ari den gizona, debekatuta, eskua, galarazita, gizona, gizonezkoa, keinua
🙅‍♀ ados ez dagoela adierazten ari den emakumea, debekatuta, emakumea, emakumezkoa, eskua, ezezko keinua egiten ari den emakumea, galarazita, keinua
🙆 ados, ados dagoela adierazten ari den pertsona, esku, keinu
🙆‍♂ ados, ados dagoela adierazten ari den gizona, esku, gizon, gizonezko, keinu
🙆‍♀ ados, ados dagoela adierazten ari den emakumea, emakume, emakumezko, esku, keinu
💁 eskean dabilen pertsona, esku, eskupeko, informazio, kokin, laguntza
💁‍♂ eskean dabilen gizona, eskupeko, gizon, gizonezko, kokin
💁‍♀ emakume, emakumezko, eskean dabilen emakumea, esku, eskupeko, kokin
🙋 altxatuta, esku, eskua altxatzen ari den pertsona, keinu, pozik
🙋‍♂ eskua altxatuta, eskua altxatzen ari den gizona, gizon, gizonezko, keinu
🙋‍♀ emakume, emakumezko, eskua altxatuta, eskua altxatzen ari den emakumea, keinu
🧏 belarri, enzun, gor, gorra, irisgarritasun
🧏‍♂ gizon, gizon gorra, gizonezko, gor
🧏‍♀ emakume, emakume gorra, emakumezko, gor
🙇 barkamen, barkatu, burua makurtzen ari den pertsona, keinu, makurtu
🙇‍♂ barkamena, burua makurtzen ari den gizona, gizona, gizonezkoa, keinua, makurtu, mesedea
🙇‍♀ barkamena, burua makurtzen ari den emakumea, emakumea, emakumezkoa, keinua, makurtu, mesedea
🤦 aurpegi, esku-azpi, esku-azpia aurpegian, sinesgaiztasun, sumindura
🤦‍♂ esku-azpi, esku-azpia aurpegian duen gizona, gizon, gizonezko, sinesgaitasun, sumindura
🤦‍♀ emakume, emakumezko, esku-azpi, esku-azpia aurpegian duen emakumea, sinesgaitasun, sumindura
🤷 altxatu, axolagabekeria, ezjakintasun, sorbalda, sorbaldak altxatu, zalantza
🤷‍♂ altxatu, axolagabekeria, ezjakintasuna, gizon, gizonezko, sorbaldak altxatzen ari den gizona, zalantza
🤷‍♀ altxatu, axolagabekeria, emakumea, ezjakintasuna, sorbaldak altxatzen ari den emakumea, zalantza
🧑‍⚕ erizain, osasun, sendagile, sendagilea, terapeuta
👨‍⚕ erizaina, gizon, gizon sendagilea, gizonezko, osasun, sendagile, terapeuta
👩‍⚕ emakume, emakume sendagilea, emakumezko, erizain, osasun, sendagile, terapeuta
🧑‍🎓 graduatu, ikasle, ikaslea
👨‍🎓 gizon, gizonezko, graduatu, ikasle, mutil ikaslea
👩‍🎓 emakume, emakumezko, graduatu, ikasle, neska ikaslea
🧑‍🏫 irakasle, irakaslea
👨‍🏫 gizon, gizon irakaslea, gizonezko, irakasle, maisu
👩‍🏫 andereño, emakume, emakume irakaslea, emakumezko, irakasle
🧑‍⚖ balantzak, epaile, epailea
👨‍⚖ balantza, gizon, gizon epailea, gizonezko, justizia
👩‍⚖ balantzak, emakume, emakume epailea, emakumezko, epaiketa
🧑‍🌾 baserritar, lorezain, nekazari, nekazaria
👨‍🌾 baserritar, gizon, gizon nekazaria, gizonezko, lorezain, nekazari
👩‍🌾 baserritar, emakume, emakume nekazaria, emakumezko, lorezain, nekazari
🧑‍🍳 chef, sukaldari, sukaldaria
👨‍🍳 chef, gizon, gizon sukaldaria, gizonezko, sukaldari
👩‍🍳 chef, emakume, emakume sukaldaria, emakumezko, sukaldari
🧑‍🔧 elektrikari, iturgin, mekanikari, mekanikaria, saltzaile
👨‍🔧 elektrikari, gizon, gizon mekanikaria, gizonezko, iturgin, mekarikari, saltzaile
👩‍🔧 elektrikari, emakume, emakume mekanikaria, emakumezko, iturgin, saltzaile
🧑‍🏭 fabrika, fabrikako langilea, industria, langile, mihiztatu
👨‍🏭 fabrika, fabrikako gizon langilea, gizon, gizonezko, industria, langile, mihiztatu
👩‍🏭 emakume, emakumezko, fabrika, fabrikako emakume langilea, industria, langile, mihiztatu
🧑‍💼 alkandora, arkitekto, bulegaria, enpresa, kudeatzaile
👨‍💼 alkandora, arkitektoa, enpresa, gizon bulegaria, gizona, gizonezkoa, kudeatzailea
