{ jepit, jepit kriwil, kurung, kurung kriwil, kurung kriwil mbukak, swiwi manuk
🏻 kulit putih, praupan kulit, tipe 1 - 2
『 kurung, kurung panjuru bolong, kurung panjuru bolong mbukak
』 kurung, kurung panjuru bolong, kurung panjuru bolong nutup
【 kurung, kurung kantha, kurung kantha bengkok, kurung kantha ireng mbukak
】 kurung, kurung kantha, kurung kantha bengkok, kurung kantha ireng nutup
〔 kurung, kurung tempurung bulus, kurung tempurung bulus mbukak, tempurung bulus
〕 kurung, kurung tempurung bulus, kurung tempurung bulus nutup, tempurung bulus
〖 kurung, kurung kantha bengkok bolong, kurung kantha bolong, kurung kantha bolong mbukak
〗 kurung, kurung kantha bengkok bolong, kurung kantha bolong, kurung kantha bolong nutup
§ bagean, bagean cilik, gugus ukara, tanda bagean
¶ alinea, pilcrow, tandha ukara, tembung, ukoro
@ ampersat, arobase, arroba, at, at komersial, strudel, tandha at
* lintang, tandha lintang, wildcard
/ garis mireng, oblique, solidus, stroke, virgule, whack
\ mbalik, solidus, tandha mireng kewalik, whack
& et, lan, tandha lan
# angka, lb, ngiris, pound, tandha pager
% per sen, per-sen, persen
‰ per mil, permil, permill
† lading, obelisk, obelus, tanda lading
‡ lading, obelisk, obelus, pindo, tanda lading pindo
• pluru, titik
‧ tandha garis, tandha sambung, titik, titik tandha sambung
′ tandha kuthip
″ tandha kuthip loro, tandha kutip loro
‴ tandha kutip telu
※ tandha referensi
` abot, aksen, gendhing
´ aksen, alus, gendhing
^ aksen, aksen sirkomflek, dhaya, kontrol, panunjuk, pathok, tandha sisipan, topi
¨ diaeresis, tréma, umlaut
° bukti, drajat, jam
℗ hak cipta, hak cipta rekaman swara, rekaman, swara
← kiwo, panah, panah nuding ngiwo
→ panah, panah nuding nengen, tengen
↑ ndhuwur, panah, panah nuding ndhuwur
↓ ngisor, panah, panah nuding ngisor
⇅ ndhuwur, ngisor, panah, panah nuding ndhuwur lan nuding ngisor
⇆ kiwo, panah, panah nuding ngiwo lewat sisih tengen, tengen
∆ mundhak, pesagi telu
∇ mlorot, pesagi telu
∈ kaanggotaan, ngamot, set, unsur, unsur saka
+ ditambahi, tambah, tandha tambah
± kurang luwih
÷ dipara, obelus, para, tandha para
× dipingke, kaping, ping-pingan, tandha ping-pingan
< luwih cilik, tandha, tandha mbuka
= pada karo
≠ ora imbang, ora podho, ora roto
> luwih gedhe, tandha, tandha tutup
¬ nolak, ora
| coretan, garis, garis tegak lurus, lembing, palang, palang tegak lurus, pipo, tongkat
~ garis kriwil
− dikurangi, kurang, tandha kurang
⁻ kurang, tandha kurang ing dhuwur, tika ngisor
√ oyod, oyod peng loro, peng loro, radikal, radix, surd
∞ tandha tanpa wates, tanpa wates
∩ set, simpangan
∪ koleksi, sarekat, set
≈ kiro-kiro, meh pada, prakiroan
≡ peng telu, persis, podho, podho karo
≤ luwih cilik, luwih cilik utowo podho, ora podho, podho, podho karo
≥ luwih gedhe, luwih gedhe utowo podho, ora podho, podho, podho karo
⊂ set, subset, subset saka
▲ kapenuhan, ndhuwur, panah, pesagi telu, pesagi telu kapenuhan pucuke ing ndhuwur
▼ kapenuhan, ngisor, panah, pesagi telu, pesagi telu kapenuhan pucuke ing ngisor
◊ kupatan, pesagi papat kupatan, sigaran kupatan
○ binderan, bunderan kothong, cincen
● bundera kapenuhan, bunderan, bunderan kapenuhan
◯ bunderan, bunderan kothong gedhe, cincen
♪ gendhing, karawitan, wolu
♭ bemolle, gendhing, karawitan, warata
♯ dièse, diesis, gendhing, karawitan, landep
😀 guyu, rai, rai ngguyu
😃 cangkem, menga, mesem, rai, rai ngguyu matane mblalak
😄 cangkem, mata, menga, mesem, rai, rai ngguyu nganti merem-merem
😁 mata, mecengis, mesem, rai, rai ngguyu mecengis nganti merem
😆 cangkem, guyu, marem, mesem, rai, rai ngguyu nganti matane dhipet
😅 adhem, kringet, menga, mesem, rai, rai ngguyu nganti kringet tumetes
🤣 guyu, jogan, ngglinting, ngguyu ngakak nganti glintingan ing jogan, rai
😂 bungah, guyu, luh, rai, rai ngguyu nganti luhen saking bungahe
🙂 mesem, rai
🙃 kuwalik, rai
😉 kedhèp, rai, rai ngedhèpi
😊 abang pipine, mata, mesem, rai, rai mesem matane merem
😇 fantasi, rai, rai mesem mawa tandha santo ing sirahe, suci, tandha santo
🥰 ati-ati, kesengsem, naksir, rai mesem mawa ati-ati manguncup, tumiba tresna
😍 katresnan, mata, mesem, rai, rai mesem matane metu atine
🤩 ketiban lintang, lintang, mata, ngguyu, rai
😘 ambung, rai, rai nyebul sun
😗 ambung, rai, rai ngambung
☺ anteng, gambar sketsa, mesem, rai, rai lagi mesem
😚 ambung, mata, merem, rai, rai ngambung karo matane merem
😙 ambung, mata, mesem, rai, rai ngambung matane merem bungah
🥲 bangga, luh, matur nuwun, mesem, nguculake, nyentuh, rai mesem nanging mripat luhen
😋 enak, mesem, rai, rai themal-themel mangan, sedhep, themal-themel
😛 ilat, rai, rai melet
😜 guyon, kedhep, mata, melet, rai, rai kedhep karo melet
🤪 cilik, gedhe, mata, plolak-plolek, rai merat-merot
😝 mata, melet, nggilani, rai, rai melet matane ndhipet, rasane
🤑 dhuwit, ijo, rai, rai mata dhuwiten
🤗 nyikep, rai, sikep
🤭 rai mawa tangan nutupi cangkem, waduh
🤫 hus, meneng, rai ngaba-aba akon meneng, rai ngaba-aba hus
🤔 mikir, rai
🤐 cangkem, leregan, rai, rai sing leregan lambene ditutup
🤨 ora percaya, rai alise siji kaangkat, skeptis
😐 anteng, luweh, rai, tanpa ekspresi
😑 luweh, rai, rai tanpa ekspresi, tanpa ekspresi
😶 anteng, cangkem, meneng, rai, rai tanpa cangkem
😶‍🌫 lalenan, rai ora dong, rai ora mudeng, sirah ora dong
😏 ngenyek, rai, rai mesem ngenyek
😒 anyel, rai, rai wegah ngguyu, wegah ngguyu
🙄 mata, mlerok, rai, rai matane mlerok
😬 mbatek, rai, rai mringis mbatek
😮‍💨 ambegan, lega, mbisiki, megap-megap, nglenguh, rai ambegan lego, singsot
🤥 ngapusi, pinokio, rai
😌 lega, rai
😔 kesel ati, mikir, rai, rai sedhih anggone mikir
😪 ngantuk, rai, turu
🤤 ngiler, rai, rai ileren
😴 rai, turu, zzzz
😷 dhokter, masker, mriang, rai, rai nganggo masker dhokter, watuk
🤒 lara, mriang, rai, rai ngemut termometer, termometer
🤕 bebet, cidra, rai, rai sirahe dibebet, tatu
🤢 muleg-muleg, mutah, rai, rai ngrasa muleg-muleg
🤮 lara, mutah, rai mutah-mutah
🤧 mugi gusti paring sehat, rai, wahing
🥵 abang mbranang, kemringet, kepanasen, ndrodhog, panas, rai panas
🥶 atis, kadhemen, mati rasa amarga kadhemen, rai biru katisen, rai katisen
🥴 cangkem mlethat-mlethot, mata ora pakra, mendem, mlaku ora jejeg, mumet, rai mendem
😵 mumet, rai
😵‍💫 alangan, hipnotis, kodisek, ngelu, ngluwer, rai ngelu
🤯 njeblug ndhase, rai ndhase njeblug, tratapan
🤠 koboi lanang, koboi wadon, rai, rai nganggo topi koboi, topi
🥳 pista, rai pista, seneng-seneng, topi, trompet
🥸 irung, kaca mripat, nyamarake, nyamarke, rai, rai disamarno
😎 blereng, kacamata ireng, nggaya, rai, rai mesem nganggo kacamata ireng, srengenge
🤓 kutu buku, kutu komputer, rai, rai kutu buku
🧐 kolot, rai nganggo kacamata lensa tunggal
😕 bingung, owalah, rai
😟 kuwatir, rai
🙁 rai, susah
☹ nelangsa, rai
😮 cangkem, menga, rai, rai mlongo, simpati
😯 dumadakan meneng, kaget, ora nyana, rai, rai dumadakan meneng
😲 babar pisan, gumun, kaget, rai
😳 isin, kaget, rai
🥺 mata ngarep-arep, ngarep-arep, rai ngarep-arep welas, welas
😦 cangkem, menga, rai, rai sedhih karo mlongo, sedhih
😧 kaget lan kuciwa, rai, rai kaget lan kuciwa
😨 keweden, kuwatir, rai, wedi
😰 anyep, kemrungsung, kringet, pucet, rai, rai kuwatir nganti kringet tumetes
😥 kuciwa, lega, rai, rai sedhih nanging lega, sedhih, syukur marang gusti
😢 luh, nangis, rai, sedhih
😭 luh, nangis, rai, rai nangis kejer, sedhih, sengguk-sengguk
😱 keweden, njerit, nruthuk, rai, rai mbengok keweden, wedi
😖 bingung, rai, rai prasa bingung ora karuan
😣 ora kuat, rai, rai prasa wis ora kuat maneh
😞 kuciwa, rai
😓 adhem, kringet, rai, rai prasa wis kesel nganti kringet tumetes
😩 kesel, rai, sayah
😫 kesel, rai
🥱 angop, bosen, kesel, rai angop
😤 kamenangan, menang, rai, rai sing irunge ngebul
😡 abang mbranang, mbesengut, muring, nesu, ngamuk, rai
😠 muring, nesu, rai
🤬 misuh, rai mawa simbol pisuhan ing cangkeme
😈 crita dongeng, fantasi, mesem, rai, rai mesem karo metu sungune, sungu
👿 dhemit, fantasi, rai, rai nesu karo metu sungune, setan, thuyul jail
💀 crita dongeng, jrangkong, monster, pati, rai
☠ balung timpuk, jrangkong, jrangkong karo balung timpuk, monster, pati, rai
💩 monster, rai, tai, tai seunthuk, tembelek
🤡 badhut, rai
👹 buta ogre, crita dongeng, fantasi, monster, rai, wewujudan
👺 buta goblin, crita dongeng, fantasi, monster, rai, wewujudan
👻 crita dongeng, fantasi, monster, pocongan, rai, wewujudan
👽 alien, fantasi, rai, saka njaba bumi, ufo, wewujudan, wujud alien
👾 alien, monster alien, rai, saka njaba bumi, ufo, wewujudan
🤖 monster, rai, robot, wujud robot
😺 cangkem, kucing, menga, mesem, ngguyu, rai
😸 kucing, kucing ngguyu nganti merem-merem, mata, mesem, ngguyu, rai
😹 bungah, kucing, kucing ngguyu nganti luhen, luh, rai
😻 ati, kucing, kucing mesem matane metu atine, mata, mesem, rai, tresna
😼 ironis, kucing, mesem, ngece, rai
😽 ambung, kucing, kucing ngambung, mata, rai
🙀 hah, kaget, kucing, rai, sayah
😿 kucing, luh, nangis, rai, susah
😾 kucing, mbesengut, rai
🙈 aja ndelengake sing ala, ala, larangan, munyuk, munyuk aja ndelengake sing ala, rai, weruh
🙉 aja ngrungokake sing ala, ala, krungu, larangan, munyuk, munyuk aja ngrungokake sing ala, rai
🙊 aja omong sing ala, ala, larangan, munyuk, munyuk aja omong sing ala, omong, rai
💋 ambung, lambe, tandha ambung
💌 ati, katresnan, layang, surat
💘 ati katuncep panah, kupid, panah
💝 ati ditaleni pita, pita, valentin
💖 ati kinclong-kinclong, bungah, kinclong-kinclong
💗 ati nggembung, bungah, ewuh, mak ser, nggembung
💓 ati dheg-dhegan, dheg-dhegan, dheging ati, ser-seran
💞 ati mubeng-mubeng, mubeng
💕 ati loro, katresnan
💟 ati, dhekorasi ati
❣ mbangetake, tandha, tandha penthung wujude ati, tandha wacan
💔 kelaran, lara, lara ati
❤‍🔥 ati, ati kasmaran, ati resik, kobong, pepinginan, tresna
❤‍🩹 luwih waras, mbalekake, mulehake awak, ndandani, ndandani ati, ningkatake, waras
❤ ati, ati abang
🧡 ati kunir, kunir
💛 ati kuning, kuning
💚 ati ijo, ijo
💙 ati biru, biru
💜 ati wungu, wungu
🤎 ati, soklat
🖤 ala, ati ireng, culika, ireng
🤍 ati, putih
💯 100, biji satus, kebak, satus, sekor
💢 komik, muring, nesu, simbol nesu
💥 komik, mak brak, tabrakan
💫 komik, lintang, ngelu
💦 komik, kringet, nyiprat, tesing kringet
💨 geblas, komik, mlayu, nggeblas
🕳 bolongan
💣 bom, komik
💬 balon, dhiyalog, komik, omongan, plendhungan
👁‍🗨 balon omongan, mata, mata ing njero balon omongan, seksi
🗨 balon omongan sisih kiwa, dhiyalog, omongan
🗯 balon, balon nesu sisih tengen, muring, nesu, plendhungan
💭 balon, komik, pikiran, plendhungan
💤 komik, turu, zzzz
👋 awe-awe, tangan, tangan ngawe-awe
🤚 diangkat, geger tangan, tangan diangkat nuduhake gegere bae
🖐 driji, megar, tangan, tangan sing driji-drijine megar
✋ angkat, tangan, tangan diangkat
🖖 driji, ngurmat cara bangsa vulcan, spock, tangan, vulcan
👌 OK, tangan, tangan nuduhake tandha OK
🤌 basa tangan, digatukake, driji, interogasi, landep
🤏 sethithik bae, tangan njiwit
✌ kamenangan, tangan, tangan nuduhake tandha kamenangan, v
🤞 driji, driji loro tetalenan, kabegjan, tangan, tetalen
🤟 ILY, tangan, tangan nuduhake tandha tresna sliramu
🤘 driji, isarat gandem apike, sungu, tandha sungu, tangan
🤙 tangan, tangan nuduhake tandha telpuna aku, telpun
👈 driji, driji panuduh, geger tangan, geger tangan nuding ngiwa, nuding, tangan
👉 driji, driji panuduh, geger tangan, geger tangan nuding nengen, nuding, tangan
👆 driji, geger tangan, geger tangan nuding ndhuwur, ndhuwur, nuding, tangan
🖕 driji, driji tengah, tangan
👇 driji, geger tangan, geger tangan nuding ngisor, ngisor, nuding, tangan
☝ driji, driji panuduh, driji panuduh ngacung, ngacung, nuding, tangan
👍 +1, jempol, ngacung, tangan
👎 -1, jempol, jempol ngacung mudhun, ngacung mudhun, tangan
✊ kepel, ngacungake kepel, ngantem, nggegem, tangan
👊 kepel, kepel mara, ngantem, nggegem, tangan
🤛 kepel, kepel katon saka sisih kiwa, sisih kiwa
🤜 kepel, kepel katon saka sisih tengen, sisih tengen
👏 keplok, tangan, tangan keplok-keplok
🙌 diangkat, hore, isarat, pista, tangan, tangan loro diangkat
👐 mlumah, tangan, tangan loro mlumah
🤲 ndonga, tangan loro mandho nadhah amin, tangan loro nadhah
🤝 rapat, salam, salaman, sarujuk, tangan
🙏 maturnuwun, ndonga, njaluk, nyenyuwun, tangan, tangan nyembah
✍ nulis, tangan
💅 cet kuku, kosmetik, kuku, menikur, ngrumat
🤳 foto selfi, hp, kamera, selfi
💪 lelucon, ngotot, otot, otot lengen, otot lengen mlenthung
🦾 kalancaran, lengen mekanis, prostetik
🦿 kalancaran, prostetik, sikil mekanis
🦵 perangan awak, sikil, tendhang
🦶 pidak, sikil, tendhang, tlapakan sikil
👂 awak, kuping
🦻 budheg, kalancaran, kuping sarwa piranti pangrungon
👃 awak, irung
🧠 pinter, utek
🫀 anatomi, deg-degan, jantung, kardiologi, organ
🫁 ambegan, ngetokake ambegan, nglebokake ambegan, organ, paru, respirasi
🦷 dokter untu, untu
🦴 balung, wrangka
👀 mata, mata sakloron, rai
👁 awak, mata
👅 awak, ilat
👄 cangkem, lambe
👶 bayi, nom
🧒 bocah, jender netral, nom, ora tamtu lanang wadone
👦 bocah lanang, nom
👧 bocah wadon, nom, palintangan, Virgo
🧑 jender netral, ora tamtu lanang wadone, wong, wong diwasa
👱 pirang, rambut, wong arambut pirang, wong: rambute pirang
👨 lanang, wong diwasa, wong lanang
🧔 jenggot, wong, wong: jenggot
🧔‍♂ jenggot, wong lanang, wong lanang: jenggot
👱‍♂ pirang, rambut, wong lanang, wong lanang arambut pirang, wong lanang: rambut pirang
👩 wadon, wong diwasa, wong wadon
🧔‍♀ jenggot, wong wadon, wong wadon: jenggot
👱‍♀ pirang, rambut, wong wadon, wong wadon arambut pirang, wong wadon: rambut pirang
🧓 jender netral, ora tamtu lanang wadone, tuwa, wong diwasa, wong tuwa
👴 tuwa, wong diwasa, wong lanang, wong tuwa lanang
👵 tuwa, wong diwasa, wong wadon, wong wadon tuwa
🙍 isarat, sedhih, wong sedhih
🙍‍♂ isarat, sedhih, wong lanang, wong lanang sedhih
🙍‍♀ isarat, sedhih, wong lanang, wong wadon sedhih
🙎 isarat, mbesengut, wong mbesengut
🙎‍♂ isarat, mbesengut, wong lanang, wong lanang mbesengut
🙎‍♀ isarat, mbesengut, wong wadon, wong wadon mbesengut
🙅 isarat, larangan, ora kena, ora oleh, tangan, wong ngisaratake AJA
🙅‍♂ isarat, larangan, ora kena, ora oleh, tangan, wong lanang, wong lanang ngisaratake AJA
🙅‍♀ isarat, ora kena, ora oleh, tangan, wong wadon, wong wadon menehi isarat AJA
🙆 isarat, OK, tangan, wong ngisaratake OK
🙆‍♂ isarat, OK, tangan, wong lanang, wong lanang ngisaratake OK
🙆‍♀ isarat, OK, tangan, wong wadon, wong wadon ngisaratake OK
💁 anyangga, informasi, nggaya, pitulungan, tangan, wong tangane anyangga
💁‍♂ nggaya, tangan anyangga, wong lanang, wong lanang tangane anyangga
💁‍♀ nggaya, tangan anyangga, wong wadon, wong wadon tangane anyangga
🙋 bungah, isarat, ngacung, tangan, wong ngacungake tangan
🙋‍♂ isarat, ngacungake tangan, wong lanang, wong lanang ngacungake tangan
🙋‍♀ isarat, ngacungake tangan, wong wadon, wong wadon ngacungake tangan
🧏 budheg, kalancaran, krungu, kuping, wong budheg
🧏‍♂ budheg, wong lanang, wong lanang budheg
🧏‍♀ budheg, wong wadon, wong wadon budheg
🙇 isarat, kilap, mbungkuk, njaluk ngapura, wong mbungkuk ngurmati
🙇‍♂ isarat, kilap, mbungkuk, njaluk ngapura, njaluk tulung, wong lanang, wong lanang mbungkuk ngurmati
🙇‍♀ isarat, kilap, mbungkuk, njaluk ngapura, njaluk tulung, wong wadon, wong wadon mbungkuk ngurmati
🤦 dlamakan, gumun, mangkel, rai, wong anutup raine mawa dlamakan
🤦‍♂ dlamakan ing rai, gumun, mangkel, wong lanang, wong lanang anutup raine mawa dlamakan
🤦‍♀ dlamakan ing rai, gumun, mangkel, wong wadon, wong wadon anutup raine mawa dlamakan
🤷 angangkat pundhak, mangu-mangu, ora gati, ora sudi, wong angangkat pundhak
🤷‍♂ mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong lanang, wong lanang angangkat pundhak
🤷‍♀ mangu-mangu, ngangkat pundhak, ora gati, ora sudi, wong wadon, wong wadon ngangkat pundhak
🧑‍⚕ dokter, mantri, parumatan kasehatan, perawat, terapis
👨‍⚕ dokter, mantri lanang, parumatan kasehatan, perawat, terapis, wong lanang
👩‍⚕ dokter, mantri wadon, parumatan kasehatan, perawat, terapis, wong wadon
🧑‍🎓 mahasiswa, wisuda
👨‍🎓 lanang, mahasiswa, wisuda
👩‍🎓 mahasiswa, wadon, wisuda
🧑‍🏫 dosen, guru, instruktur
👨‍🏫 dosen, guru, instruktur, lanang
👩‍🏫 dosen, guru, instruktur, wadon
🧑‍⚖ hakim, timbangan
👨‍⚖ adil, hakim lanang, lanang, pradata, timbangan
👩‍⚖ hakim wadon, pradata, timbangan, wadon
🧑‍🌾 juragan tani, tani, tukang kebon
👨‍🌾 juragan tani, lanang, pak tani, tani, tukang kebon
👩‍🌾 bu tani, juragan tani, tani, tukang kebon, wadon
🧑‍🍳 koki, mangsak
👨‍🍳 koki, lanang, mangsak
👩‍🍳 koki, mangsak, wadon
🧑‍🔧 montir, tukang, tukang ledheng, tukang listik
👨‍🔧 lanang, montir, tukang, tukang ledheng, tukang listrik
👩‍🔧 montir, tukang, tukang ledheng, tukang listrik, wadon
🧑‍🏭 buruh, industri, karoseri, pabrik
👨‍🏭 buruh, industri, karoseri, lanang, pabrik
👩‍🏭 buruh, buruh pabrik wadon, industri, karoseri, lanang, pabrik
🧑‍💼 arsitek, bisnis, manajer, pegawe, pegawe kantor
👨‍💼 arsitek, bisnis, lanang, manajer, pegawe, pegawe kantor lanang
👩‍💼 arsitek, bisnis, manajer, pegawe, pegawe kantor wadon, wadon
🧑‍🔬 ahli biologi, ahli fisika, ahli kimia, ilmuwan, insinyur
👨‍🔬 ahli biologi, ahli fisika, ahli kimia, ilmuwan, insinyur, lanang
👩‍🔬 ahli biologi, ahli fisika, ahli kimia, ilmuwan, insinyur, wadon
🧑‍💻 ahli teknologi, ahli teknologi wadon, developer, koder, panemu, prangkat alus
👨‍💻 ahli teknologi, ahli teknologi lanang, developer, koder, lanang, panemu, prangkat alus
👩‍💻 ahli teknologi, ahli teknologi wadon, developer, koder, panemu, prangkat alus, wadon
🧑‍🎤 aktor, biduan, musik rock, panampil, selebriti
👨‍🎤 aktor, biduan, lanang, musik rock, panampil, selebriti
👩‍🎤 aktor, biduan, musik rock, panampil, selebriti, wadon
🧑‍🎨 artis, palet
👨‍🎨 artis, lanang, palet, seniman
👩‍🎨 artis, palet, wadon
🧑‍✈ montor mabur, pilot
👨‍✈ lanang, montor mabur, pilot
👩‍✈ montor mabur, pilot, wadon
🧑‍🚀 astronot, roket
👨‍🚀 astronot, lanang, roket
👩‍🚀 astronot, roket, wadon
🧑‍🚒 blamwir, damkar
👨‍🚒 blamwir, damkar, lanang
👩‍🚒 blamwir, damkar, wadon
👮 aparat, pulisi
👮‍♂ aparat, lanang, pulisi
👮‍♀ aparat, pulisi, wadon
🕵 dhetektif, nelik, telik sandi
🕵‍♂ dhetektif, lanang, nelik, telik sandi
🕵‍♀ dhetektif, nelik, telik sandi, wadon
💂 prejurit
💂‍♂ lanang, prejurit
💂‍♀ prejurit, wadon
🥷 didhelikake, ndhelik-ndhelik, ninja, wira
👷 bangunan, buruh, helem
👷‍♂ bangunan, buruh, lanang
👷‍♀ bangunan, buruh, wadon
🤴 pangeran
👸 dongeng, fantasi, putri
👳 serban, wong serbanan
👳‍♂ lanang, serban, wong lanang serbanan
👳‍♀ serban, wadon, wong wadon serbanan
👲 gua pi mao, kethu, lanang, wong lanang nganggo kethu Cina
🧕 hijab, kudhung, mantilla, tichel, wong wadon jilbaban
🤵 lanang, penganten lanang, tuksedo, wong anganggo jas tuksedo
🤵‍♂ tuksedo, wong lanang, wong lanang anganggo jas tuksedo, wong lanang anganggo tuksedo
🤵‍♀ tuksedo, wadon, wong wadon anganggo tuksedo
👰 kudhung manten, penganten wadon, pengantenan, wong, wong nganggo kudhung manten
👰‍♂ kudhung manten, lanang, wong lanang nganggo kudhung manten
👰‍♀ kudhung manten, wadon, wong wadon nganggo kudhung manten
🤰 ngandhut, wadon, wong wadon ngandhut
🤱 bayi, menthili, nyusoni, penthil
👩‍🍼 bayi, ngrawat, nyusoni, wadon, wong wadon nyusoni bayi
👨‍🍼 bayi, lanang, ngrawat, nyusoni, wong lanang nyusoni bayi
🧑‍🍼 bayi, ngrawat, nyusoni, wong
👼 bayi, dongeng, fantasi, malaékat, rai
🎅 bapa, Klas, Natal, pista, Sinter Klas
🤶 ibu, Ibu Klas, Klas, Natal, pista
🧑‍🎄 bapa/ibu klas, Klas, natal
🦸 becik, kadigdayan linuwih, satriya, satriya mandraguna, srikandhi
🦸‍♂ becik, kadigdayan linuwih, lanang, satriya, satriya mandraguna lanang
🦸‍♀ becik, kadigdayan linuwih, satriya, srikandhi, wadon
🦹 ala, kadigdayan linuwih, mungsuh, mungsuh digdaya, wong jahat
🦹‍♂ ala, kadigdayan linuwih, lanang, mungsuh, mungsuh digdaya lanang, wong jahat
🦹‍♀ ala, kadigdayan linuwih, mungsuh, mungsuh digdaya wadon, penjahat wadon, wadon
🧙 bagawan, dhukun, resi, wong winasis
🧙‍♂ bagawan, dhukun, wong winasis lanang
🧙‍♀ bagawan, dhukun, wong winasis wadon
🧚 bangsa dewi, dewi, Oberon, Puck, Titania
🧚‍♂ dewa, Oberon, Puck
🧚‍♀ dewi, Titania
🧛 Drakula, lelembut, vampir
🧛‍♂ Drakula, lelembut, vampir lanang
🧛‍♀ lelembut, vampir wadon
🧜 duyung, duyung lanang, duyung wadon
🧜‍♂ duyung lanang, Triton
🧜‍♀ duyung wadon
🧝 ajaib, peri
🧝‍♂ ajaib, peri lanang
🧝‍♀ ajaib, peri wadon
🧞 bangsa jim, jin
🧞‍♂ jim lanang, jin
🧞‍♀ jim wadon, jin
🧟 lelembut, setan bentayangan, zombi
🧟‍♂ lelembut, setan bentayangan, zombi lanang
🧟‍♀ lelembut, setan bentayangan, zombi wadon
💆 pijet, rai, salon, wong dipijeti
💆‍♂ lanang, pijet, rai, wong lanang dipijeti
💆‍♀ pijet, rai, wadon, wong wadon dipijeti
💇 kecantikan, salon, tukang cukur, wong lagi dikethok rambute
💇‍♂ cukur rambut, lanang, wong lanang lagi dikethok rambute
💇‍♀ kethok rambut, wong wadon, wong wadon lagi dikethok rambute
🚶 mlaku-mlaku, wong mlaku
🚶‍♂ lanang, mlaku-mlaku, wong lanang mlaku, wong mlaku
🚶‍♀ mlaku-mlaku, wadon, wong mlaku, wong wadon mlaku
🧍 adeg, ngadeg, wong ngadeg
🧍‍♂ lanang, ngadeg, wong lanang ngadeg
🧍‍♀ ngadeg, wadon, wong wadon ngadeg
🧎 timpuh, wong timpuh
🧎‍♂ lanang, timpuh, wong lanang timpuh
🧎‍♀ timpuh, wadon, wong wadon timpuh
🧑‍🦯 kalancaran, wong nyekeli teken, wong nyekeli teken putih, wuta
👨‍🦯 kalancaran, lanang, wong lanang nyekeli teken, wuta
👩‍🦯 kalancaran, wadon, wong wadon nyekeli teken, wuta
🧑‍🦼 kalancaran, kursi rodha, wong numpak kursi rodha mesin
👨‍🦼 kalancaran, kursi rodha, lanang, wong lanang numpak kursi rodha mesin
👩‍🦼 kalancaran, kursi rodha, wadon, wong wadon numpak kursi rodha mesin
🧑‍🦽 kalancaran, kursi rodha, wong numpak kursi rodha manual
👨‍🦽 kalancaran, kursi rodha, lanang, wong lanang numpak kursi rodha manual
👩‍🦽 kalancaran, kursi rodha, wadon, wong wadon numpak kursi rodha manual
🏃 maraton, mlayu, wong mlayu
