{ clau, clau d’obertura, clau esquerra, parèntesi
🏻 clara, molt clara, pell, pell molt clara
🏼 bastant clara, pell, pell bastant clara
| barra vertical, línia vertical, pleca
~ titlla
− menys, resta, signe menys
⁻ resta, superíndex
√ arrel, arrel quadrada, quadrat, radical, signe d’arrel
∞ infinit, signe d’infinit
∩ conjunt, intersecció
∪ col·lecció, conjunt, unió
≈ aproximació, aproximadament igual a
≡ exacte, idèntic, idèntic a, triple
≤ angle, antilambda, desigualtat, igual, inferior, menor o igual a, menor que, més petit que
≥ angle, antilambda, desigualtat, igual, major o igual a, major que, més gran que, superior
⊂ conjunt, subconjunt, subconjunt de
▲ amunt, fletxa, ple, triangle, triangle ple que apunta cap amunt
▼ avall, fletxa, ple, triangle, triangle ple que apunta cap avall
◊ diamant, píndola, rombe
○ anell, cercle, cercle buit
● cercle, cercle ple
◯ anell, cercle, cercle buit gran
♪ corxera, música, nota
♭ bemoll, música, nota
♯ diesi, música, nota, sostingut
😀 cara, cara molt somrient, rialla, somriure, ulls
😃 boca oberta, cara, cara molt somrient amb els ulls ben oberts, somriure
😄 boca oberta, cara, cara amb rialla i els ulls somrients, somriure
😁 cara, cara molt somrient amb els ulls alegres, gran somriure, ulls
😆 boca oberta, cara, cara somrient amb els ulls tancats fortament, somriure, ulls tancats
😅 cara, cara somrient amb una gota de suor, somriure, suor freda
🤣 cara, cara que es peta de riure, partir-se, petar-se de riure, pixar-se, riure
😂 alegria, cara, cara amb llàgrimes d’alegria, llàgrimes
🙂 cara, cara que somriu una mica, somriure tímid
🙃 cara, cara de cap per avall, revés
😉 cara, cara que pica l’ullet, ullet
😊 cara, cara somrient amb els ulls alegres, galtes vermelles, somriure
😇 angelet, aurèola, cara somrient amb aurèola, halo, sant, santa
🥰 amor, cara somrient amb 3 cors, cara somrient amb cors, enamorada, enamorament, enamorat
😍 amor, cara, cara somrient amb ulls en forma de cor, cor, ulls
🤩 cara, cara amb estrelles als ulls, estrella, somriure, ulls
😘 amor, cara, cara que llança un petó, cor, petó
😗 cara, cara que fa un petó, petó
☺ cara, cara relaxada, cara somrient, somriure
😚 cara, cara que fa un petó amb els ulls tancats, petó, ulls tancats
😙 cara, cara que fa un petó amb els ulls alegres, petó, ulls alegres
🥲 agraïment, alleujament, cara somrient amb una llàgrima, emoció, llàgrima, orgull, somriure
😋 cara, cara d’assaborir un menjar deliciós, deliciós, llépol cara d’assaborir un menjar deliciós, nyam, somriure
😛 cara, cara que fa llengotes, llengota, llengua, llengua fora
😜 cara, cara que fa llengotes i pica l’ullet, llengota, llengua, ullet
🤪 boig, boja, cara de bogeria, ull gran, ull petit
😝 cara, cara amb els ulls tancats i la llengua fora, cara que fa llengotes i amb els ulls tancats, ecs, llengota, llengua, ulls tancats
🤑 cara, cara de diners, diners, llengua, ulls
🤗 abraçada, cara, cara amb abraçada
🤭 cara amb la mà sobre la boca, tapant-se la boca, ups
🤫 callar, cara que demana silenci, silenci
🤔 cara, pensant, pensatiu, pensativa
🤐 boca, boca tancada, cara, cara amb cremallera a la boca, cremallera
🤨 cara amb una cella aixecada, desconfiada, desconfiat, escèptic, escèptica
😐 cara, cara neutra, neutral
😑 cara, inexpressió, inexpressiu, inexpressiva
😶 callada, callat, cara, cara sense boca, sense boca, silenci
😶‍🌫 cap als núvols, cara entre núvols, distracció, distret
😏 cara, cara somrient amb superioritat, somriure astut, superioritat
😒 avorriment, cara, cara de desaprovació, desaprovació
🙄 cara, cara amb els ulls en blanc, ulls en blanc
😬 cara, cara que fa una ganyota amb les dents, dents, ganyota
😮‍💨 alleujament, cara que exhala, exhalar, xiulet, xiuxiueig
🤥 cara, cara de mentider, mentider, nas, Pinotxo
😌 alleujament, cara, cara d’alleujament
😔 abatuda, cara, desanimada, pensativa
😪 cara, cara de son, son
🤤 bava, bavejant, cara, cara que baveja
😴 cara, cara de dormir, dormint, son, zzz
😷 cara, cara amb màscara, cara amb mascareta, malaltia, màscara, mascareta
🤒 cara, cara amb termòmetre, malalt, malalta, malaltia, termòmetre
🤕 cap embenat, cara, cara amb el cap embenat
🤢 cara, cara de nàusees, mareig, marejada, marejat, nàusea, vomitar
🤮 cara, cara que vomita, vòmit
🤧 cara, cara que esternuda, constipat, esternudant, esternut, mocs, salut
🥵 calor, cara de calor, cara vermella, febre, suor
🥶 cara blava, cara de fred, caramell, fred, gel, glaçat
🥴 beguda, begut, boca ondulada, cara de mareig, embriac, embriaga, mareig
😵 cara, marejada, marejat
😵‍💫 cara amb ulls d’espiral, espiral, hipnosi, mareig, problema
🤯 cap que explota, estupefacta, estupefacte
🤠 barret, cara, cara amb barret de vaquer, cowboy, vaquer, vaquera
🥳 barret, cara festiva, celebració, espanta-sogres, festa
🥸 cara, cara disfressada, disfressa, incògnit, nas, ulleres
😎 cara, cara somrient amb ulleres de sol, sol, ulleres
🤓 aplicada, aplicat, cara de setciències, estudiar, estudiós, estudiosa
🧐 cara amb monocle, estirada, estirat, monocle
😕 cara, cara de confusió, confós, confosa, confusió
😟 cara, cara de preocupació, preocupació, preocupada, preocupat
🙁 cara, cara una mica arrufada, emmurriat, empipat, enfadat
☹ cara, cara arrufada, emmurriat, empipat, enfadat
😮 boca oberta, cara, cara amb la boca oberta
😯 cara, cara de sorpresa, sorpresa
😲 cara, estupefacta, estupefacte
😳 cara, enrojolada, galtes vermelles, vergonya
🥺 cara de súplica, pietat, súplica, ulls de cadell
😦 boca oberta, cara, cara emmurriada amb la boca oberta, emmurriada
😧 angoixa, angoixada, angoixat, cara, cara d’angoixa
😨 atemorida, atemorit, cara de por, espantada, espantat, por
😰 boca oberta, cara, cara amb la boca oberta i suor freda, nervis, suor freda
😥 alleujament, cara, cara de decepció, però alleujada, decepció, uf
😢 cara, cara que plora, llàgrimes, trist, trista
😭 cara, cara que plora desconsoladament, llàgrimes de desconsol
😱 cara, cara que crida de por, crit de por, pànic, terror
😖 cara, cara de frustració, frustració, frustrada, frustrat
😣 cara, cara de perseverança, perseverança
😞 cara, cara de decepció, decebuda, decebut, decepció
😓 cara, cara amb suor freda, suor freda
😩 cara, cara d’esgotament, esgotada, esgotament, esgotat
😫 cansament, cara, cara de cansament
🥱 avorriment, badall, cansament, cara que badalla
😤 cara, cara que treu fum del nas, fum, nas, victòria
😡 cara, cara vermella, enutjada, enutjat
😠 cara, enfadada, enfadat
🤬 cara amb símbols a la boca, insults, paraulotes, renecs
😈 banyes, cara, cara somrient amb banyes, dimoni, somriure
👿 cara, cara enfadada amb banyes, diable, dimoni, dimoniet, fantasia, trapella
💀 calavera, cara, conte, crani, monstre, mort
☠ calavera, cara, crani, crani amb ossos, monstre, ossos
💩 caca, cara, còmic, merda, monstre
🤡 cara, cara de pallasso, pallassa, pallasso
👹 cara, conte, criatura, fantasia, ogre
👺 cara, conte, criatura, fantasia, follet
👻 cara, conte, criatura, fantasia, fantasma
👽 alienígena, cara, criatura, extraterrestre, fantasia, monstre, ovni
👾 àlien, alienígena, extraterrestre, monstre, ovni
🤖 cara, monstre, robot
😺 boca oberta, cara, gat, gat somrient amb la boca oberta, somrient
😸 cara, gat, gat somrient amb els ulls alegres, somrient, ulls alegres
😹 alegria, cara, gat, gat amb llàgrimes d’alegria, llàgrimes
😻 cara, cor, gat, gat somrient amb cors als ulls, somriure, ulls
😼 cara, gat, gat amb somriure irònic, ironia, somriure
😽 cara, gat, gat que fa un petó, petó, ulls tancats
🙀 cara, gat, sorprès, sorpresa
😿 cara, gat, gat que plora, llàgrimes
😾 cara, enuig, gat, gat enutjat
🙈 mona, mona que no mira, ulls tapats
🙉 mona, mona que no escolta, orelles tapades
🙊 boca tapada, mona, mona que no parla
💋 marca, marca de petó, petó
💌 amor, carta, carta d’amor
💘 cor, cor amb fletxa, Cupido, fletxa
💝 cor, cor amb un llaç, llaç, Sant Valentí
💖 cor, cor espurnejant, espurneig
💗 batec, cor, cor que creix, creixent, emocionada, emocionat
💓 batec, cor, cor que batega
💞 cors, cors que giren, gir
💕 amor, cor, dos cors
💟 cor, cor decoratiu
❣ cor, exclamació, exclamació en forma de cor, puntuació
💔 cor, trencar, trencat
❤‍🔥 amor, cor, cor en flames, cor sagrat, foc, luxúria
❤‍🩹 cor, cor embenat, millor, millora, recuperació, salut
❤ cor, cor vermell
🧡 cor taronja, taronja
💛 cor, cor groc
💚 cor, cor verd
💙 cor, cor blau
💜 cor, cor lila
🤎 cor, marró
🖤 cor, cor negre
🤍 blanc, cor
💯 100, cent punts, punts, puntuació
💢 còmic, enfadat, enuig, malhumorat, símbol d’enuig
💥 col·lisió, còmic, esclat
💫 còmic, estrella, mareig
💦 gotes, gotes de suor, suor
💨 còmic, córrer, pressa, sortir corrent
🕳 forat
💣 bomba, còmic
💬 bafarada, bafarada de parlar, còmic, diàleg, parlar
👁‍🗨 bafarada, testimoni, ull, ull dins d’una bafarada, vist
🗨 bafarada, bafarada de parlar cap a l’esquerra, esquerra, parlar
🗯 bafarada, bafarada d’enuig cap a la dreta, dreta, parlar
💭 bafarada, bafarada de pensar, pensar
💤 còmic, son, zzz
👋 mà, mà que saluda, salutació
🤚 alçada, mà, revers, revers de la mà
🖐 dits, dits oberts, mà amb els dits oberts, mà oberta
✋ cos, mà, mà aixecada
🖖 dit, mà, salutació vulcaniana, Spock, vulcanià
👌 acceptació, mà, mà d’acceptació, ok, senyal d’aprovació, senyal d’aprovació amb la mà
🤌 dits, dits junts, gest de la mà, interrogació, sarcàstic
🤏 mà que pessiga, quantitat petita
✌ senyal, senyal de la victòria, victòria
🤞 creuats, dits, sort
🤟 dits, gest de t’estimo, mà, t’estimo
🤘 banyes, dits, dits en forma de banyes, rock
🤙 mà, mà que representa una trucada, trucada
👈 dit índex que apunta cap a l’esquerra, esquerra, índex
👉 dit índex que apunta cap a la dreta, dreta, índex
👆 amunt, dit índex, dit índex que apunta cap amunt
🖕 dit, dit cor, dit del cor, dit del mig, mà
👇 avall, dit índex que apunta cap avall, índex
☝ amunt, índex, índex que apunta cap amunt
👍 amunt, polze, polze cap amunt
👎 avall, polze, polze cap avall
✊ mà, puny, puny alçat
👊 a prop, cop, cop de puny, mà, puny
🤛 dret, puny, salutació
🤜 esquerre, puny, salutació
👏 aplaudiment, aplaudint, mans, mans que aplaudeixen
🙌 celebració, hurra, mans aixecades, mans enlaire
👐 cos, mà, mans obertes, oberta
🤲 mans juntes amb els palmells cap amunt, pregària
🤝 acord, encaixada, encaixada de mans, mans, salutació
🙏 gràcies, mans, mans en oració, pregar, si us plau
✍ escriure, mà, mà que escriu
💅 cosmètics, esmalt, esmalt d’ungles, manicura, ungla
🤳 autofoto, càmera, foto, mòbil, selfie
💪 bíceps, bíceps tensat, flexió de bíceps, forçut, múscul
🦾 accessibilitat, pròtesi, pròtesi de braç
🦿 accessibilitat, pr`òtesi de cama, pròtesi
🦵 cama, extremitat, puntada de peu
🦶 peu, puntada de peu, trepitjada
👂 cos, orella
🦻 accessibilitat, orella amb audiòfon, problema d’audició
👃 cos, nas
🧠 cervell, intel·ligent
🫀 batec, cardiologia, cor, òrgan, pols
🫁 exhalació, inhalació, òrgan, pulmons, respiració, respirar
🦷 dent, dentista
🦴 esquelet, os
👀 cara, cos, ull, ulls
👁 cos, ull
👅 cos, llengua
👄 boca, cos, llavis
👶 bebè, nadó, nounat
🧒 criatura, infant
👦 jove, nen, noi
👧 jove, nena, noia
🧑 adult, persona
👱 cabells, persona amb els cabells rossos, persona: cabells rossos, ros
👨 home, masculí
🧔 barba, persona, persona: barba
🧔‍♂ barba, home, home: barba
👱‍♂ cabell, home, home: cabell ros, ros
👩 dona, femení
🧔‍♀ barba, dona, dona: barba
👱‍♀ cabell, dona, dona: cabell ros, rossa
🧓 adult, gran, persona
👴 ancià, gran, home
👵 anciana, dona, gran
🙍 emmurriament, persona, persona arrufada, persona emmurriada
🙍‍♂ arrufar, celles, gest, home emmurriat, masculí
🙍‍♀ arrufar, celles, dona emmurriada, femení, gest
🙎 enuig, persona, persona enutjada
🙎‍♂ enuig, gest, home, home enutjat, masculí
🙎‍♀ dona, dona enutjada, enuig, femení, gest
🙅 gest de negació, mà, negació, no, prohibit
🙅‍♂ gest, home, home amb gest de negació, mà, prohibit
🙅‍♀ dona, dona amb gest de negació, gest, mà, prohibit
🙆 aprovació, gest, gest d’aprovació
🙆‍♂ acord, gest, home amb gest d’aprovació, mà, OK
🙆‍♀ acord, dona amb gest d’aprovació, gest, mà, OK
💁 ajuda, flexió, informació, mà, persona amb mà inclinada cap amunt
💁‍♂ ajuda, home, home amb mà inclinada cap amunt, informació, mà
💁‍♀ ajuda, dona, dona amb mà inclinada cap amunt, informació, mà
🙋 mà aixecada, persona, persona amb la mà aixecada, persona contenta que aixeca la mà, somriure
🙋‍♂ gest, home, home amb la mà aixecada, mà, masculí
🙋‍♀ dona, dona amb la mà aixecada, femení, gest, mà
🧏 accessibilitat, oïda, persona sorda, sentir, sord
🧏‍♂ home, sord
🧏‍♀ dona, sorda
🙇 disculpa, gest, persona capcota, reverència
🙇‍♂ disculpa, gest, home, home capcot, reverència
🙇‍♀ disculpa, dona, dona capcota, gest, reverència
🤦 exasperació, frustració, incredulitat, persona amb la mà a la cara, vergonya
🤦‍♂ exasperació, home, home amb la mà a la cara, incredulitat, mà
🤦‍♀ dona, dona amb la mà a la cara, exasperació, incredulitat, mà
🤷 arronsar, espatlles, ni idea, persona que arronsa les espatlles
🤷‍♂ dubte, home, home que arronsa les espatlles, ignorància, indiferència
🤷‍♀ dona, dona que arronsa les espatlles, dubte, ignorància, indiferència
🧑‍⚕ doctor, infermer, professional de la salut, salut, terapeuta
👨‍⚕ doctor, home professional de la salut, infermer, masculí, metge, salut
👩‍⚕ doctora, dona, dona professional de la salut, infermera, metgessa, professional de la salut, salut, terapeuta
🧑‍🎓 estudiant, graduat
👨‍🎓 graduació, graduat, home, masculí, noi estudiant
👩‍🎓 dona, femení, graduació, graduada, noia estudiant
🧑‍🏫 instructor, mestre, professor
👨‍🏫 home, instructor, masculí, mestre, professor
👩‍🏫 dona, femení, instructora, mestra, professora
🧑‍⚖ balança, jutge
👨‍⚖ balança, home, justícia, jutge, masculí
👩‍⚖ balança, dona, femení, justícia, jutgessa
🧑‍🌾 agricultor, granger, pagès
👨‍🌾 agricultor, granger, home, masculí, pagès
👩‍🌾 agricultora, dona, femení, grangera, pagesa
🧑‍🍳 cuiner, xef
👨‍🍳 cuiner, home, masculí, xef
👩‍🍳 cuinera, dona, femení, xef
🧑‍🔧 electricista, lampista, mecànic
👨‍🔧 electricista, home, lampista, masculí, mecànic
👩‍🔧 dona, electricista, femení, lampista, mecànica
🧑‍🏭 fàbrica, industrial, operari, treballador
👨‍🏭 fàbrica, home operari, industrial, operari, treballador
👩‍🏭 fàbrica, industrial, operària, treballadora
🧑‍💼 arquitecte, negoci, oficina, treballador d’oficina
👨‍💼 arquitecte, home, home treballador d’oficina, negoci, oficina, treballador d’oficina
👩‍💼 arquitecta, dona, negoci, oficina, treballadora d’oficina
🧑‍🔬 biòleg, científic, enginyer, físic, químic
👨‍🔬 biòleg, científic, enginyer, físic, home científic, químic
👩‍🔬 biòloga, científica, enginyera, física, química
🧑‍💻 desenvolupador, inventor, programador, tecnòleg
👨‍💻 desenvolupador, home, inventor, programador, tecnòleg
👩‍💻 desenvolupadora, dona, inventora, programadora, tecnòloga
🧑‍🎤 actor, cantant, estrella, presentador
👨‍🎤 actor, cantant, cantant home, estrella, presentador
👩‍🎤 actriu, cantant, cantant dona, estrella, presentadora
🧑‍🎨 artista, paleta
👨‍🎨 artista, home, masculí, paleta
👩‍🎨 artista, dona, femení, paleta
🧑‍✈ avió, pilot
👨‍✈ avió, home, masculí, pilot
👩‍✈ avió, dona, femení, pilot
🧑‍🚀 astronauta, coet
👨‍🚀 astronauta, coet, espai, home
👩‍🚀 astronauta, coet, dona, espai
🧑‍🚒 bomber, bombera, camió de bombers
👨‍🚒 bomber, camió de bombers, home, masculí
👩‍🚒 bombera, camió de bombers, dona, femení
👮 agent, agent de policia, policia, seguretat
👮‍♂ agent, agent de policia home, home, masculí, policia
👮‍♀ agent, agent de policia dona, dona, femení, policia
🕵 detectiu, espia, investigador
🕵‍♂ detectiu, espia, home, investigador
🕵‍♀ detectiu, dona, espia, investigadora
💂 guarda
💂‍♂ guarda, home, masculí
💂‍♀ dona, femení, guarda
🥷 guerrer, lluitador, ninja, ocult, sigilós
👷 construcció, paleta, treballador, treballador de la construcció
👷‍♂ construcció, home, home paleta, masculí, treballador
👷‍♀ construcció, dona, dona paleta, femení, treballadora
🤴 príncep
👸 conte, fades, fantasia, princesa
👳 persona amb turbant, turbant
👳‍♂ home, home amb turbant, masculí, turbant
👳‍♀ dona, dona amb turbant, femení, turbant
👲 gorra, home, home amb barret xinès, xinès
🧕 cap cobert, dona amb el cap cobert, hijab, mantellina, mocador de cap
🤵 esmòquing, nuvi, persona, persona amb esmòquing
🤵‍♂ esmòquing, home, home amb esmòquing
🤵‍♀ dona, dona amb esmòquing, esmòquing
👰 casament, núvia, persona, persona amb vel, vel
👰‍♂ home, home amb vel, vel
👰‍♀ dona, dona amb vel, vel
🤰 dona, embaràs, embarassada, prenyada
🤱 alletar, dona que alleta, lactància, nadó
👩‍🍼 alimentar, alletar, bebè, dona, dona que alleta un bebè
👨‍🍼 alimentar, alletar, bebè, home, home que alleta un bebè
🧑‍🍼 alimentar, alletar, bebè, persona, persona que alleta un bebè
👼 ales, àngel, angelet, bebè, fantasia
🎅 Nadal, Noel, pare
🤶 àvia, còfia, mare, Nadal, Noel
🧑‍🎄 Noel, Noel, Nadal
🦸 bo, heroi, heroïna, superheroi, súperpoder
🦸‍♂ bo, heroi, home, home superheroi, superpoder
🦸‍♀ bo, dona, dona superheroïna, heroïna, superpoder
🦹 criminal, dolent, malvat, superdolent, superpoder
🦹‍♂ criminal, dolent, home, home superdolent, malvat, superpoder
🦹‍♀ criminal, dolenta, dona, dona superdolenta, malvada, superpoder
🧙 bruixa, bruixot, fetiller, fetillera, mag
🧙‍♂ bruixot, fetiller, home mag
🧙‍♀ bruixa, dona maga, fetillera
🧚 fada, Oberó, Puck, Titània
🧚‍♂ home fada, Oberó, Puck
🧚‍♀ dona fada, Titània
🧛 Dràcula, mort vivent, morta vivent, vampir
🧛‍♂ Dràcula, home vampir, mort vivent
🧛‍♀ dona vampir, morta vivent, vampiressa
🧜 dona sirena, persona sirena, sirena
🧜‍♂ home sirena, Tritó
🧜‍♀ dona sirena, sirena
🧝 elf, màgic
🧝‍♂ home elf, màgic, màgica
🧝‍♀ dona elfa, màgic, màgica
🧞 geni
🧞‍♂ geni, home geni
🧞‍♀ dona geni, geni
🧟 mort vivent, walking dead, zombi
🧟‍♂ home zombi, mort vivent
🧟‍♀ dona zombi, morta vivent
💆 cara, massatge, persona que rep un massatge facial, saló
💆‍♂ cara, home, masculí, massatge, massatge facial a un home
💆‍♀ cara, dona, femení, massatge, massatge facial a una dona
💇 cabells, persona a la perruqueria, persona que es talla els cabells, tallada de cabells
💇‍♂ cabells, home, home que es talla els cabells, masculí, tallada, tallada de cabells
💇‍♀ cabells, dona, dona que es talla els cabells, femení, tallada, tallada de cabells
🚶 caminada, passejada, persona caminant, persona que camina
🚶‍♂ caminada, home, home caminant, home que camina, masculí, passejada
🚶‍♀ caminada, dona, dona caminant, dona que camina, femení, passejada
🧍 dempeus, dret, dreta, persona dreta
🧍‍♂ dempeus, dret, home
🧍‍♀ dempeus, dona, dreta
🧎 agenollada, agenollat, de genolls, genoll, persona agenollada
🧎‍♂ agenollat, de genolls, home
🧎‍♀ agenollada, de genolls, dona
🧑‍🦯 accessibilitat, invident, persona amb un bastó per a invidents
👨‍🦯 accessibilitat, home, home amb un bastó per a invidents, invident
👩‍🦯 accessibilitat, dona, dona amb un bastó per a invidents, invident
🧑‍🦼 accessibilitat, cadira de rodes amb motor, cadira de rodes elèctrica, persona amb una cadira de rodes amb motor, persona amb una cadira de rodes elèctrica
👨‍🦼 accessibilitat, cadira de rodes, home, home amb una cadira de rodes amb motor, home amb una cadira de rodes elèctrica
👩‍🦼 accessibilitat, cadira de rodes, dona, dona amb una cadira de rodes amb motor, dona amb una cadira de rodes elèctrica
🧑‍🦽 accessibilitat, cadira de rodes manual, persona amb una cadira de rodes manual
👨‍🦽 accessibilitat, cadira de rodes, home, home amb una cadira de rodes manual
👩‍🦽 accessibilitat, cadira de rodes, dona, dona amb una cadira de rodes manual
🏃 corredor, marató, persona corrent, persona que corre
🏃‍♂ córrer, cursa, home, home que corre, marató
🏃‍♀ córrer, cursa, dona, dona que corre, marató
💃 dansa, dona, dona que balla, flamenca
🕺 ball, ballant, disco, home, home que balla, música
🕴 home, home de negocis que levita, levitar, negocis
👯 conillet, dansaires, festa, orelles de conill, persones que ballen disfressades
👯‍♂ ballarí, ballarins amb orelles de conill, conillet, festa, homes que ballen disfressats
👯‍♀ ballarina, ballarines amb orelles de conill, conilleta, dones que ballen disfressades, festa
🧖 persona a la sauna, sauna, vapor
🧖‍♂ home a la sauna, sauna, vapor
🧖‍♀ dona a la sauna, sauna, vapor
🧗 escalada, escalador, escaladora, persona que escala
🧗‍♂ escalada, escalador, home
🧗‍♀ dona, escalada, escaladora
🤺 esgrima, esgrimidor, esgrimidora, persona que fa esgrima, tirador, tiradora
🏇 cavalls, curses, curses de cavalls, genet
⛷ esquiador, esquiar, neu
🏂 neu, surf de neu, surfista, surfista de neu
🏌 bola, golf, golfista, pal, pilota
🏌‍♂ golf, golfista, home, home que juga a golf, masculí
🏌‍♀ dona, dona que juga a golf, femení, golf, golfista
🏄 onada, persona que fa surf, surf, taula
🏄‍♂ home, home que fa surf, masculí, surf, taula
🏄‍♀ dona, dona que fa surf, femení, surf, taula
🚣 bot, persona que rema en una barca, rems
🚣‍♂ barca, home, home que rema en una barca, masculí, rem
🚣‍♀ barca, dona, dona que rema, dona que rema en una barca, femení, rem
🏊 natació, nedar, persona nedant, persona que neda
🏊‍♂ home, home que neda, masculí, nedador, nedar
🏊‍♀ dona, dona que neda, femení, nedadora, nedar
⛹ persona, persona amb una pilota, pilota
⛹‍♂ home, home amb una pilota, masculí, pilota
⛹‍♀ dona, dona amb una pilota, femení, pilota
🏋 aixecador, halterofília, persona que aixeca peses, pes, pesa
🏋‍♂ aixecador, home, home que aixeca peses, masculí, peses
🏋‍♀ aixecadora, dona, dona que aixeca peses, femení, peses
🚴 bicicleta, ciclisme, ciclista
🚴‍♂ bicicleta, ciclisme, ciclista, home, masculí
