🏻 amọ́lára, amọ́láwọ̀, irú 1–2
☠ àwọn egun àgbélébù, ikú, ìpàkọ́, ìpàkọ́ àti àwọn egun àgbélébù, ojú
💩 abàmì, apanilẹ́rìń, ìgbẹ́, ògùn, ojú, Okiti Igbẹ
🤡 apanilẹrin, ojú
👹 abàmì, àlá, ẹ̀dá, ìtàn ọmọdé, ojú, Omiran Ajẹniyan
👺 abàmì, abàmì aràrá, àlá, ẹ̀dá, ìtàn ọmọdé, ojú
👻 abàmì, àlá, ẹ̀dá, ìtàn ọmọdé, ojú, òkú
👽 àbàmì, àjòjì, àlá, ẹ̀dá, ìtàn ọmọdé, ojú, ufo
👾 àbàmì, àjòjì, Àjòjì Abami, àlá, ẹ̀dá, ìtàn ọmọdé, ojú, ufo
🤖 abàmì, ojú, Oju Ṣigidi, ṣìgìdì
😺 ẹnu, ojú, Oju Arẹrin Ologbo Pẹlu Ẹnu Yiya, olóngbò, rẹ́rìń músẹ́, ṣí
😸 fẹyín, ojú, Oju Ibinu Ologbo Pẹlu Awọn Oju Arẹrin, olóngbò, rẹ́rìn músẹ́
😹 ayọ̀, ẹkún, ojú, Oju Ologbo Pẹlu Ẹkun Ayọ, olóngbò
😻 ẹyinjú, ìfẹ́, ojú, Oju Arẹrin Ologbo Pẹlu Oju-ọkan, olóngbò, rẹ́rìn músẹ́
😼 aláìríbóṣeyẹ, ojú, Oju Ologbo Pẹlu Ẹrin Afiniṣẹsin, olóngbò, rẹ́rìń músẹ́, ṣẹ̀sín
😽 ẹyinjú, ìfenukonu, Oju Ologbo Afẹnukonu Pẹlu Awọn Oju Didi, olóngbò
🙀 haa, ìyàlẹ́nu, ojú, Oju Ologbo Ti o Rẹ, olóngbò, rírẹ̀
😿 ẹkún, ìbànújẹ́, ojú, Oju Ẹkun Ologbo, olóngbò
😾 ojú, Oju Ete Ologbo, olóngbo, ṣu ètè síta
🙈 èṣù, èwọ̀, ìfọwọ́júwè, ọ̀bọ, Ọbọ Mari Ibi, ojú, rárá, wòó
🙉 èṣù, èwọ̀, gbọ́, ìfọwọ́júwè, Ọbọ Magbọ Ibi, ojú, rárá
🙊 èṣù, èwọ̀, ìfọwọ́júwè, ọ̀bọ, Ọbọ Masọ ibi, ojú, rárá, sọ̀rọ̀
💋 Aami Ifẹnuko, ètè, fẹnukonu
💌 ìfẹ́, lẹ́tà, Lẹta Ifẹ, méèlì, ọkàn
💘 ọfà, Ọkan Ti o Ni Ọfa, ọmọ ọlọ́fà
💝 Ọkan Pẹlu Riboni, ríbọ́nì àyájọ́ olólùfẹ̀
💖 dán, dunú, Ọkan Didan
💗 bẹ̀rù, dàgbà, dunú, Ọkan Didagba, ṣọkùlú
💓 mímí, mímí ọkàn, Ọkan Ti O N Mi
💞 Ọkan Ti O N Yi, yíyí
💕 Awọn Ọkan Meji, ìfẹ́
💟 ọkàn, Ọkan Ti A Ṣe Lọṣọ
❣ àmì, àmì ìyanu, àmì ìyanú ọkàn tó wúwo, ìfàmìsí
💔 Ibanujẹ Ọkan, kán, ti kán
❤ ọkàn, ọkàn pupa
🧡 aláwọ̀ ọsàn, ọlakàn ọsàn
💛 Ọkan Awọ Ofeefe, yẹ́lò
💚 àwọ̀ ewé, Ọkan Awọ Ewe
💙 búlù, Ọkan Bulu
💜 Ọkan Awọ Pọpu, pọ́pù
🖤 dúdú, èṣù, ìkà, Ọkàn Dúdú
💯 100, ìṣirò, koko ọgọrun, kún, ọgọ́rùn
💥 àwàdà, bóòmù, Ikọlu
💫 àwàdà, ìràwọ̀, Itoogbe
💨 àwàdà, dáàṣì, N Salọ, ń sáré
💣 àwàdà, Bọmbu
💬 àdàlú, àwàdà, bàlú, Bàlúnù Ọ̀rọ̀ Sísọ, ìtàkùrọ̀sọ, ọ̀rọ̀
👁‍🗨 bàlú ọ̀rọ̀, ẹléri, eyinjú, ojú ní àlú ọ̀rọ̀
🗨 bàlúnù ọ̀rọ̀ sísọ òsì, ìtàkùrọ̀sọ, ọ̀rọ̀
🗯 àdàlú, bàlúnù, bàlúnù ọ̀rọ̀ sísọ ọ̀tún, bínú
👋 juwọ́, N Juwọ, ń juwọ́, ọwọ́
🤚 ẹ̀yìn ọwọ́, Na Ẹhin Ọwọ Soke, nà sókè
🖐 ìka, nawọ́ sókè pẹ̀lú ìyàka, ọwọ́, yàka
✋ ọwọ́, Ọwọ Nina Soke
🖖 ìka, Kiki Ibẹri Funni, ọwọ́, spock, vulcan
👌 ÓDÁRA, ọwọ́, Ọwọ ODARA
✌ aṣeyọrí, ọwọ́, v
🤞 dábùú, Igbekalera, ìka, orírere, ọwọ́
🤟 ìfọwọ́júwè mo ní ìfẹ́, ILY, Ọwọ́
🤘 19900, Aami Awọn Iwo, ìka, ìwo, ọwọ́
🤙 ìpè, ọwọ́, Ọwọ Ipeni
👈 ẹ̀yìn ọwọ́, Ẹyin Ọwọ Ti O Tọka Si Apa Osi, ìka, ìka kékeré, ọ̀gángán, ọwọ́
👉 ẹ̀yìn ọwọ́, Ẹyin Ọwọ Ti O Tọka Si Apa Ọtun, ìka, ìka kékeré, ọ̀gángán, ọwọ́
👆 ẹ̀yìn ọwọ́, Ẹyin Ọwọ Ti O Tọka Si Oke, ìka, ìka kékeré, ọwọ́, sókè, tọ́ka
🖕 ìka, ìka àárín, ọwọ́
👇 ẹ̀yìn ọwọ́, Ẹyin Ọwọ Ti O Tọka Si Isalẹ, ìka, ìka kékeré, ìsàlẹ̀, ọwọ́, tọ́ka
☝ ìka, ìka kékeré, ìka kékeré tí ń tọ́ka sókè, ọwọ́, sókè, tọ́ka
👍 +1, àtànpàkò, Atanpako Loke, òkè, ọwọ́
👎 -1, àtànpàkò, Atanpako Nisalẹ, ìsàlẹ̀, ọwọ́
✊ fún ọwọ́ pọ̀, ìṣẹ́, Naṣẹ Soke, òwọ́ ẹ̀ṣẹ́
👊 Ẹṣẹ Ti o Nbọ, fún ọwọ́ pọ̀, ìṣẹ́, òwọ́ ẹ̀ṣẹ́
🤛 apá ọ̀sì, ẹ̀ṣẹ́, Ẹsẹ ti O Kọju sosi
🤜 apá ọ̀tún, ẹ̀ṣẹ́, Ẹsẹ ti O Kọju sọtun
👏 N Patẹwọ, ọwọ́, pàtẹ́wọ́
🙌 ayẹyẹ, fọwọ́júwè, hooray, Ina Awọn Ọwọ, nawọ́, ọwọ́
👐 Awọn Ọwọ Ṣiṣi, ọwọ́, ṣí
🤲 àdúrà, àtẹ́lẹ́ọwọ́ papọ̀
🤝 gbọn, ìbọwọ́, Ìbọwọ́, ìfaramọ́, ìpàdé, ọwọ
🙏 adúpé, bèrè, fọwọ́júwè, gbèdúrà, Ika Awọn Ọwọ, jọ̀wọ́, kákò, ọwọ́, tẹríba
✍ kọ̀wé, ńkọ́wé, ọwọ́
💅 àkun ojú, aṣaralóge, èékánná, Ikun Eekanna, ìtọ́jú, kíkùn
🤳 fóònù, fọ́tò àdáyà, kámẹ́rà, Yiya Ara ẹni
💪 àwàdà, Aya Fifẹ, egun ọwọ́, iṣan, nà
🧠 ọmọwé, ọpọlọ
👀 Awọn Ojú, eyinjú, ojú
👅 Ahọn, Ara
👄 Ẹnu, ètè
👶 ìkókó, ọ̀dọ́
🧒 gé̩ndà-ṣekuṣẹyẹ, màjèsín, ọmọ
👦 ọ̀dọ́, ọmọkùnrin
👧 àmi oṣù ìbí, ọ̀dọ́, ọmọbìrin, Virgo
🧑 àgbà, gé̩ndà-ṣekuṣẹyẹ
👨 Ọkùnrin
🧔 apárí, irùngbọ̀n
👱‍♂ ọkùnrin, ọkùnrin onírun funfun, onírun funfun
🧓 àgbàlagbà, arúgbó, gé̩ndà-ṣekuṣẹyẹ
👴 àgbàlagbà, Agbalagba Ọkunrin, ọkùnrin
🙍 Ẹni N Bojujẹ, fajúro, fọwọ́júwè
🙍‍♂ fífajúro, fífowọ́júwè, ọkùnrin, ọkùnrin tí ń fajúro
🙍‍♀ fífajúro, fọwọ́júwè, obìnrin, obìnrin tí ń fajúro
🙎 Ẹni Yahọn sita, fífowọ́júwè, ṣíṣù ètè síta
🙎‍♂ fowọ́júwè, ọkùnrin, ọkùnrin tí ń ṣíṣù ètè síta, ṣíṣù ètè síta
🙎‍♀ fowọ́júwè, obìnrin, obìnrin tí ń ṣíṣù ètè síta, ṣíṣù ètè síta
🙅 Ẹni Nsọ RARA, èwọ̀, fowọ́júwè, ọwọ́, rárá
🙅‍♂ èwọ̀, fowọ́júwè, ọkùnrin tí ń sọ RÁRÁ, ọwọ́, rárá
🙅‍♀ èwọ̀, fowọ́júwè, obìnrin, obìnrin tí ń sọ RÁRÁ, ọwọ́, rárá
🙆 Ẹni Nsọ O DARA, fowọ́júwè, ÓDÁRA, ọwọ́
🙆‍♂ fowọ́júwé, ÓDÁRA, ọkùnrin, ọkùnrin tí ń sọ ÓDÁRA, ọwọ́
🙆‍♀ fowọ́júwè, obìnrin, obìnrin tí ń sọ ÓDÁRA, ÓDÁRA, ọwọ́
💁 Ẹni N Tọka Ọwọ, ìrànwọ́, ìròyìn, ọlọyaya, ọwọ́, tọ́ka
💁‍♂ ọkùnrin, ọkùnrin tí ń tọ́ka ọwọ́, sassy, taka ọwọ́
💁‍♀ obìnrin, obìnrin tí ń tọ́ka ọwọ́, sassy, tọ́ka ọwọ́
🙋 Ẹni N Nawọ Soke, fọwọ́júwè, gbéga, ìdùnú, ọwọ́
🙋‍♂ fọwọ́júwè, nawọ́ sókè, ọkùnrin, ọkùnrintí ń nawọ́ sókè
🙋‍♀ fọwọ́júwè, nawọ́ sókè, obìnrin, obìnrin tí ń nawọ́ sókè
🙇 bẹ̀bẹ̀, Ẹni N Tẹriba, fọwọ́júwè, pẹ̀lẹ́, tẹríba
🙇‍♂ àànú, bẹ̀bẹ̀, fọwọ́júwè, ọkùnrin, ọkùnrin tí ń tẹríba, pẹ̀lẹ́, títẹríba
🙇‍♀ àànú, bẹ̀bẹ̀, fọwọ́júwè, obìnrin, obìnrin tí ń tẹríba, pẹ̀lẹ́, títẹríba
🤦 àìgbàgbọ́, àtẹ́lẹ́ ọwa, Ẹni Fọwọ Boju, ìkórira, ojú
🤦‍♂ àìgbàgbọ́, fọwọ́bojú, ìkórira, okùnrin, ọkùnrin tín fọwọ́bojú
🤦‍♀ àìgbàgbọ́, fọwọ́bojú, ìkórira, obìnrí tín fọwọ́bojú, obìnrin
🤷 àìmọ̀kan, àìnání, Ẹni N Gunpa, gúnpá, iyèméjì
🤷‍♂ àìmọ̀kan, àìnání, gúnpá, iyèméjì, ọkùnrin, ọkùnrin tí ń gúnpá
🤷‍♀ àìmọ̀kan, àìnánní, gúnpá, iyèméjì, obìnrin, obìǹrin tí ń gúnpa
👨‍⚕ ajọ ìlera, dókítà, nọ́ọ̀sì, ọkùnrin, ọkùnrín òṣìṣẹ́ ètò ìlera, olùdámọ̀ràn
👩‍⚕ ajọ ìlera, dókítà, nọ́ọ̀sì, obìrin, obìrin òṣìṣẹ́ ètò ìlera, olùdámọ̀ràn
👨‍🎓 akẹ́kọ̀ọ́, kàwégboyè, ọkùnrin
👩‍🎓 akẹ́kọ̀ọ́, kàwégboyè, obìrin
👨‍🏫 ọkùnrin, olùkọ́, olùtanisọ́nà, ọ̀mọ̀wé àgbà
👩‍🏫 obìnrin olùkọ́, obìrin, olùkọ́, olùtanisọ́nà, ọ̀mọ̀wé àgbà
👨‍⚖ òdodo onídajọ, ọkùnrin adájọ́
👩‍⚖ adájọ́, obìnrin adájọ́, obìrin síkélì
👨‍🌾 àgbẹ́, aṣọ́gbà, ọkùnrin, olùtọ́jú màlùú
👩‍🌾 àgbẹ́, aṣọ́gbà, obìrin, obìrinàgbẹ́, olùtọ́jú màlùú
👨‍🍳 ọkùnrin, ọkùnrin olùse ónjẹ, olúse ónjẹ, olùse ónjẹ
👩‍🍳 obìrin, obìrin olùse ónjẹ, olúse ónjẹ, olùse ónjẹ
👨‍🔧 atún ináṣe, atún ọkọ̀ ṣe, ẹni ṣòwò, ọkùnrin, ọkùnrin atún ọkọ̀ ṣe, pílọ́bà
👩‍🔧 atún ináṣe, atún ọkọ̀ ṣe, ẹni ṣòwò, obìrin, obìrin atún ọkọ̀ ṣe, pílọ́bà
👨‍🏭 ilé iṣẹ́, ìpéjọpọ̀, ọkùnrin, ọkùnrin òṣìṣẹ́ ilé-iṣẹ́, òṣìṣẹ́
👩‍🏭 ilé iṣẹ́, ìpéjọpọ̀, obìrin, obìrin òṣìṣẹ́ ilé-iṣẹ́, òṣìṣẹ́
👨‍💼 alábóòjútò, iṣẹ́ ọ́físì, ọ́físì, ọkùnrin, ọkùnrin òṣìṣẹ́ ọ́físì, olùyà ilé, òwò
👩‍💼 alábóòjútò, iṣẹ́ ọ́físì, obìrin, obìrin òṣìṣẹ́ ọ́físì, ọ́físì, olùyà ilé, òwò
👨‍🔬 bìyólọ́gì, físísítì, kẹ́mísítì, ọkùnrin, ọkùnrín síyẹ́nsì, onímọ̀ ìṣirò, onímọ̀ lrọ, onímọ̀ síyẹ́nsì
👩‍🔬 bìyólọ́gì, físísítì, kẹ́mísítì, obìrin, obìrin síyẹ́nsì, onímọ̀ ìṣirò, onímọ̀ lrọ, onímọ̀ síyẹ́nsì
👨‍💻 ẹ̀yà àrídimú, kódà, ọkùnrin, ọkùnrin oníms ẹ̀rọ, olùdásílẹ̀, olùmúgbẹ́rù, onímọ̀ ẹ̀rọ
👩‍💻 ẹ̀yà àrídimú, kódà, obìrin, obìrin onímọ̀ ẹ̀rọ, olùdásílẹ̀, olùmúgbẹ́rù, onímọ̀ ẹ̀rọ
👨‍🎤 adánirárayá, akọrin, àpáta, ìràwọ̀, ọkùnrin, ọkùnrin olórin, ọṣèré
👩‍🎤 adánirárayá, akọrin, àpáta, ìràwọ̀, obìnrin olórin, obìrin, ọṣèré
👨‍🎨 ọkùnrin, òṣèré, páalẹ́ttì
👩‍🎨 obìrin, obìrin òṣèré, òṣèré pálẹ́ttì
👨‍✈ awa ọks bálú, bàlú, ọkùnrin, ọkùnrin awa ọkọ́ bàlú
👩‍✈ awa ọkọ̀ bálú, bàlú, obìrin, obìrin awa ọkọ́ bàlú
👨‍🚀 òkùnrin, ọkùnrin olùwádìí inú òṣùpá ọkùnrin, olùwádìí inú òṣùpá, rọ́kẹ̀tì
👩‍🚀 obìrin, obìrinolùwádìí inú òṣùpá, olùwádìí inú òṣùpá, rọ́kẹ̀tì
👨‍🚒 ọkọ̀ panapanọ́, ọkùnrin, ọkùnrin panapanọ́, panọ́panọ́
👩‍🚒 obìrin, obìrin panapanọ́, ọkọ̀ panọ́pnọ́, panọ́panọ́
👮 Ọlọpa, ọlọ́pàá, òṣìṣẹ́
👮‍♂ ọkùnrin, ọkùnrin ọlọpa, ọlọ́pàá, òṣìṣẹ́
👮‍♀ obìnrin, obìnrin ọlọpa, ọlọ́pàá, òṣìṣẹ́
🕵 aṣèwádìí, ọ̀tẹlèmúyé
🕵‍♂ aṣèwádìí, ọkùnrin, ọ̀tẹlèmúyé
🕵‍♀ aṣèwádìí, obìnrin, ọ̀tẹlèmúyé
💂 Oluṣọ
💂‍♂ ọkùnrin, olùṣọ́
💂‍♀ obìnrin, olùṣọ́
👷 fìlà, òṣìṣẹ́, Oṣiṣẹ Ikọle, òṣiṣẹ́ ìkọle
👷‍♂ ọkùnrin, òṣìṣẹ́, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé ọkùnrin
👷‍♀ obìnrin, òṣìṣẹ́, òṣiṣẹ́ ìkọle, òṣiṣẹ́ ìkọ́lé obìnrin
🤴 Ọmọkunrin Alade
👸 àlá, ìtàn ọmọdé, Ọmọbinrin Alade
👳 Ẹni wọ Lawani, láwàní
👳‍♂ láwàní, ọkùnrin, ọkùnrin tó dé láwàní
👲 fìlà, gua pi mao, ọkùnrin, Ọkunrin Pẹlu Fila Ṣainisi
🧕 Gèlè, gèlè àwọn sípánì, ìbòrí, ìbòrí àwọn júù, obinrin tó wé gèlè
🤵 kóòtù, ọkọ ìyàwó, ọkùnrin, Ọkunrin Pẹlu Kootu
👰 ìbòjú, ìgbéyàwó, ìyàwó, Iyawo Pẹlu Iboju
🤱 ìfọ́mọlọ́yàn, ìkókó, ìtọ́jú ọmọ, ọyọ̀n
👼 àlá, áńgẹ́lì, ángẹli ìkókó, ìkókó, ìtàn ọmọdé, ojú
🎅 ayẹyẹ, baba, Baba Keresi, kérésì
🤶 [kẹrẹsí, Arabinrin Keresi, ayẹyẹ, ìyá, kérésì, omidan
🧙 àjẹ́, onídán, oṣó
🧙‍♂ Ọkùnrin onídán, Oṣó
🧙‍♀ àjé̩, àjẹ́, Obìnrin onídán
🧚‍♂ Iwin ọkùnrin, Oberon, Puck
🧛‍♂ àìkú, Dàràkúlà, Fánpáyà ọkùnrin
🧜 Yemọja, Yemọja ènìyàn
🧜‍♂ Triton, Yemọja ọkùnrin
🧜‍♀ iyemọja, Yemọja obìnrin
🧝‍♂ egbére ọkùnrin, ìdán
🧞 Ànjọ̀nnú, Ànjọ̀nnú arabia
🧞‍♂ Ànjọ̀nnú arabia, Ànjọ̀nnú ọkùnrin
🧞‍♀ Ànjọ̀nnú arabia, Ànjọ̀nnú obìnrin
🧟 Àìlèkú, àkúdáàyà, Ẹbọra
🧟‍♂ Àìlèkú, àkúdáàyà, Ẹbọra ọkùnrin
🧟‍♀ Àìlèkú, àkúdáàyà, Ẹbọra obìnrin
💆 ẹni N gba Iṣẹ, ìfiránṣẹ́, ilé onídìrí, ojú
💆‍♂ ìfiránṣẹ́, ojú, ọkùnrin, ọkùnrin tí ń gba ìfiránṣẹ́
💆‍♀ ìfiránṣẹ́, obìnrin, obìnrin tí ń gba ìfiránṣẹ́, ojú
💇 agẹrun, Ẹni N Gẹrun, ẹwà, gérun, ìyàrá ìgbàlejò
💇‍♂ gẹrun, ọkùnrin, ọkùnrin tí ń gẹrun
💇‍♀ gẹrun, obìnrin, obìnrin tí ń gẹrun
🚶 Ẹni N Rin, ìrìn, ń rìn
🚶‍♂ ìrìn, ọkùnrin, ọkùnrin tí ń rìn
🏃 Ẹni N Sare, eré, sáré
🏃‍♂ eré, eré ìdíjẹ, ọkùnrin, ọkùnrin tí ń sáré, sáré
🕺 ijọ́, ọkùnrin, Ọkunrin Ti Njo
🕴 kóòtù, ọkùnrin, ọkùnrin nínu kóòtú òwò, òwò
👯 àríyá, awọn eniyan eleti ehoro n sariya, etí ehoro, oníjó
👯‍♂ àríyá, àwọn ọkùnrin elétí ehoro n ṣàríyá, etí ehoro, ọkùnrin, oníjó
👯‍♀ àríyá obìnrin, awọn obìnrin eleti ehoro n sariya, etí ehoro, oníjó
🧖‍♂ Ìyàrá tó n gbóná, Ọkùnrin nínú Ìyàrá tó n gbóná
🤺 Ẹni N Ja Pẹlu Ida, eré ìjà, eré jíjà, idà
🏇 eré ẹlẹ́ṣin, Ereje Ẹlẹsin, ẹṣin, ìdíje eré
⛷ ẹni síkì, síkì, yínyìn
🏂 ìṣeré orí yìnyín, Iṣere Ori Yiyin, síkì, yìnyín
🏌 bọ́ọ̀lù, ẹni gọ́ọ̀fù, gọ́ọ̀fù
🏌‍♂ gọ́ọ̀fù, ọkùnrin, ọkùnrin tí ń gọ́ọ̀fù
🏌‍♀ gọ́ọ̀fù, obìnrin, obìnrin tí ń gọ́ọ̀fù
🏄 Ẹni N Gun Iji, wíwáìtanẹti
🏄‍♂ ọkùnrin, ọkùnrin tí ń wá íńtánẹ́tì, tí ń wá íńtánẹ́tì
🏄‍♀ obìnrín, obìnrín tí ń wá íńtánẹ́tì, wíwáìtanẹti
🚣 Ẹni N wa Ọkọ, kọ́ ojú omi kékeré, ọkọ̀ ojú omi
🚣‍♂ ọkọ̀ ojú omi, ọkọ̀ ojú omo kékeré, ọkùnrin, ọkùnrin tí ń wakọ̀ ojú omo kékeré
🚣‍♀ obìnrin tí ń wakọ̀ ojú omo kékeré, obìrin, ọkọ̀ ojú omi, ọkọ́ ojú omi kékeré
🏊 Ẹni tí ń wẹdò, wẹdò
🏊‍♂ ọkùnrin, ọkùnrin tí ń wẹdò, wẹdò
🏊‍♀ obìnrin, obìnrin tí ń wẹdò, wẹdò
⛹ bọ́ọ̀lù, ẹni tà boun bọ́ọ̀lù
⛹‍♂ bọ́ọ̀lù, ọkùnrin, ọkùnrin tí ń tà boun bọ́ọ̀lù
⛹‍♀ bọ́ọ̀lù, obìnrin, obìnrin tà boun bọ́ọ̀lù
🏋 a fà ńkan sókè, ẹni fa ìwọ̀n sókè, ìwọ̀n
