🏻 ithoni yesikhumba, ithoni yesikhumba esikhanyayo, uhlobo 1–2
👁‍🗨 iliso, iliso elikwiqhamza lentetho, ingqina, iqamza lentetho
🗨 incoko, intetho, iqhamza lentetho elisekhohlo
🗯 ibhaluni, iqamza, iqhamza lomsindo elisekunene, ukucaphuka, umsindo
💭 hlekisa, ibhaluni, ibhaluni yokucinga, ingcinga, iqamza
💤 hlekisa, lala, zzz
👋 isandla, ukuwangawangisa, wangawangisa
🤚 esinyusiweyo, isandla esimnyama, umva wesandla onyusiweyo
🖐 isandla, isandla esiphakanyisiweyo esineminwe ethe saa, saa, umnwe
✋ isandla, isandla esinyusiweyo
🖖 i-spock, i-vulcan, isandla, umbuliso we-vulcan, umnwe
👌 isandla, isandla esithi Kulungile, Kulungile
✌ impumelelo, isandla, isandla sempumelelo, v
🤞 iminwe enqamlezeneyo, intlahla, isandla, ukunqamleza, umnwe
🤟 I-ILY, isandla, umjekulo othi ndiyakuthanda
🤘 iimpondo, isandla, qhubeka, umnwe, uphawu lweempondo
🤙 isandla, isandla esithi ndifowunele, umnxeba
👈 isalathiso, isalathiso somva wesandla esalatha ekhohlo, isandla, umnwe, umva wesandla, yalatha
👉 isalathiso, isalathiso somva wesandla esalatha ekunene, isandla, umnwe, umva wesandla, yalatha
👆 isalathiso, isalathiso somva wesandla esalatha phezulu, isandla, phezulu, umnwe, umva wesandla, yalatha
🖕 isandla, umnwe, umnwe ophakathi
👇 ezantsi, isalathiso, isalathiso somva wesandla esalatha ezantsi, isandla, phezulu, umnwe, umva wesandla, yalatha
☝ isalathiso, isalathiso esalatha phezulu, isandla, phezulu, umnwe, yalatha
👍 +1, isandla, phezulu, ubhontsi, ubhontsi ojonge phezulu
👎 -1, ezantsi, isandla, ubhontsi, ubhontsi ojonge ezantsi
✊ fumbatha, inqindi, inqindi elinyusiweyo, isandla
👊 fumbatha, inqindi, inqindi elizayo, isandla
🤛 ekhohlo, inqindi, inqindi elijonge ekhohlo
🤜 ekunene, inqindi, inqindi elijonge ekunene
👏 isandla, izandla eziqhwabayo, qhwaba
🙌 ephakanyisiweyo, isandla, jekula, ukunyusa izandla, umbhiyozo, yeleyele
👐 isandla, izandla ezivulekileyo, vulekileyo
🤲 iintende zesandla ezikunye, umthandazo
🤝 intlanganiso, isandla, isivumelwano, shukumisa, ukubamba isandla
🙏 buza, enkosi, esongiweyo, goba, isandla, izandla ezisongiweyo, jekula, nceda, thandaza
✍ bhala, isandla, isandla esibhalayo
💅 i-manicure, ipolishi, ipolishi yeenzipho, izinto zokuchokoza, ukhathalelo, uzipho
🤳 ifowuni, ikhamera, iselfi
💪 amankonyana, amankonyana agotyiweyo, goba, isihlunu, ukuhlekisa
👂 indlebe, isiqu
👃 impumlo, isiqu
🧠 ubuchopho, ukrelekrele
👀 amehlo, iliso, ubuso
👁 iliso, isiqu
👅 isiqu, ulwimi
👄 iinyheke, umlomo
👶 mtsha, usana
🧒 engathathi-cala ngokwesini, omtsha, umntwana
👦 inkwenkwe, osemtsha
👧 I-Virgo, i-zodiac, intombazana, osemtsha
🧑 engathathi-cala ngokwesini, umntu omdala
👱 mhlophe, umntu oneenwele ezimhlophe
👨 indoda
🧔 iintshebe, umntu oneentshebe
👱‍♂ indoda, indoda eneenwele ezimhlophe, mhlophe
👩 ibhinqa
👱‍♀ ibhinqa, ibhinqa elineenwele ezimhlophe, mhlophe
🧓 endala, engathathi-cala ngokwesini, umntu omdala ngakumbi
👴 indoda, indoda endala, ndala
👵 ibhinqa, ibhinqa elidala, ndala
🙍 finga iintshaya, jekula, umntu ofinge iintshiya
🙍‍♂ indoda, indoda efinge iintshiya, jekula, ukufinga iintshiya
🙍‍♀ ibhinqa, ibhinqa elifinge iintshiya, jekula, ukufinga iintshiya
🙎 jekula, ukutsolisa umlomo, umntu otsalisa umlomo
🙎‍♂ indoda, indoda etsolisa umlomo, jekula, ukutsolisa umlomo
🙎‍♀ ibhinqa, ibhinqa elitsolisa umlomo, jekula, ukutsolisa umlomo
🙅 hayi, isandla, ithintelweyo, jekula, nakanye, umntu ojekulayo ukuthi HAYI, yalelwe
🙅‍♂ hayi, indoda, indoda elijekulayo ukuthi HAYI, isandla, ithintelwe, jekula, yalelwe
🙅‍♀ hayi, ibhinqa, ibhinqa elijekulayo ukuthi HAYI, isandla, ithintelweyo, jekula, yalelwe
🙆 isandla, jekula, Kulungile, umntu ojekula ukuthi Kulungile
🙆‍♂ indoda, indoda ejekula ukuthi Kulungile, isandla, jekula, Kulungile
🙆‍♀ ibhinqa, ibhinqa elijekula ukuthi Kulungile, isandla, jekula, Kulungile
💁 i-sassy, inkcazelo, isandla, ukuphethula, umntu ophethule isandla, uncedo
💁‍♂ i-sassy, indoda, indoda ephethula isandla, ukuphethula isandla
💁‍♀ i-sassy, ibhinqa, ibhinqa eluphethula isandla, ukuphethula isandla
🙋 ephakanyisiweyo, isandla, jekula, ukonwaba, umntu ophakamisa isandla
🙋‍♂ indoda, indoda ephakamisa isandla, jekula, phakamisa isandla
🙋‍♀ ibhinqa, ibhinqa eliphakamisa isandla, jekula, ukuphakamisa isandla
🙇 goba, jekula, ukuxolisa, umntu ogobayo, uxolo
🙇‍♂ indoda, indoda egobayo, jekula, ukugoba, ukuxolisa, uxolo, xhasa
🙇‍♀ ibhinqa, ibhinqa eligobayo, jekula, ukugoba, ukuxolisa, uxolo, xhasa
🤦 intende yesandla, ubuso, ukungakholwa, umntu ogqume ubuso ngezandla, umsindo
🤦‍♂ indoda, indoda egqume ubuso ngezandla, ukugquma ubuso ngesandla, ukungakholwa, umsindo
🤦‍♀ ibhinqa, ibhinqa eligqume ubuso ngezandla, ukugquma ubuso ngesandla, ukungakholwa, umsindo
🤷 nyikinya amagxa, thandabuza, ukungakhathali, ukungazi, umntu onyikinya amagxa
🤷‍♂ indoda, indoda enyikinya amagxa, ukungakhathali, ukungazi, ukunyikinya amagxa, ukuthandabuza
🤷‍♀ ibhinqa, ibhinqa elinyikinya amagxa, ukungakhathali, ukungazi, ukunyikinya amagxa, ukuthandabuza
👨‍⚕ indoda, ingcali yokunyanga, ugqirha, ukhathalelo lwempilo, umsebenzi wezonyango oyindoda, unesi
👩‍⚕ ibhinqa, ingcali yonyango, ugqirha, umkhathaleli wempilo, umsebenzi wempilo olibhinqa, unesi
👨‍🎓 indoda, isidanga, umfundi, umfundi oyindoda
👩‍🎓 ibhinqa, isidanga, umfundi, umfundi olibhinqa
👨‍🏫 indoda, injingalwazi, umqeqeshi, utitshala, utitshala oyindoda
👩‍🏫 ibhinqa, umqeqeshi, unjingalwazi, utitshala, utitshala olibhinqa
👨‍⚖ indoda, izikali, ubulungisa, umgwebi oyindoda
👩‍⚖ ibhinqa, izikali, umgwebi, umgwebi olibhinqa
👨‍🌾 indoda, umfama, umfama oyindoda, umnini-fama, umsebenzi-gadi
👩‍🌾 ibhinqa, umfama, umfama olibhinqa, umnini-fama, umsebenzi-gadi
👨‍🍳 indoda, pheka, umpheki, umpheki oyindoda
👩‍🍳 ibhinqa, pheka, umpheki, umpheki olibhinqa
👨‍🔧 incutshe yombane, indoda, umkhandi, umkhandi oyindoda, umntu ongumrhwebi, umtywini
👩‍🔧 ibhinqa, incutshe yombane, umkhandi, umkhandi olibhinqa, umntu ongumrhwebi, umtywini
👨‍🏭 amashishini, ifektri, indoda, ukuhlanganisa, umsebenzi, umsebenzi wasefektri oyindoda
👩‍🏭 amashishini, ibhinqa, ifektri, ukuhlanganisa, umsebenzi, umsebenzi wasefektri olibhinqa
👨‍💼 ikhola emhlophe, indoda, iofisi, ishishini, umanejala, umsebenzi waseofisini oyindoda, umyili wezakhiwo
👩‍💼 ibhinqa, ikhola emhlophe, iofisi, ishishini, umanejala, umsebenzi waseofisini olibhinqa, umyili wezakhiwo
👨‍🔬 igcisa lebhayoloji, igcisa lefizikisi, ikhemesti, indoda, ingcali yemathematika, isazinzulu, isazinzulu esiyindoda, unonjineli
👩‍🔬 ibhinqa, igcisa lebhayoloji, igcisa lefizikisi, ikhemesti, ingcali yemathematika, isazinzulu, isazinzulu esilibhinqa, unonjineli
👨‍💻 i-coder, igcisa, indoda, ingcali eyindoda, isoftwe, umseki, umyili
👩‍💻 i-coder, ibhinqa, igcisa, ingcali elilibhinqa, isoftwe, umseki, umyili
👨‍🎤 i-rock, indoda, ingcali, umculi, umculi oyindoda, umdlali, umonwabisi
👩‍🎤 i-rock, ibhinqa, ingcali, umculi, umculi olibhinqa, umdlali, umonwabisi
👨‍🎨 i-palette, iathisti eyindoda, indoda, ingcali
👩‍🎨 i-palette, ibhinqa, igcisa, igcisa elilibhinqa
👨‍✈ indoda, inqwelo-moya, umqhubi wenqwelo-moya, umqhubi wenqwelo-moya oyindoda
👩‍✈ ibhinqa, inqwelo-moya, umqhubi wenqwelo-moya, umqhubi wenqwelo-moya olibhinqa
👨‍🚀 indoda, isiphekepheke, usomajukujuku, usomajukujuku oyindoda
👩‍🚀 ibhinqa, isiphekepheke, usomajukujuku, usomajukujuku olubhinqa
👨‍🚒 indoda, isigadla socimo-mlilo, umcimi-mlilo, umcimi-mlilo oyindoda
👩‍🚒 ibhinqa, itraka yocimo-mlilo, umcimi-mlilo olibhinqa, umgcimi-mlilo
👮 igosa, igosa lamapolisa, ipolisa
👮‍♂ igosa, igosa lepolisa eliyindoda, indoda, ipolisa
👮‍♀ ibhinqa, igosa, igosa lepolisa elilibhinqa, ipolisa
🕵 intlola, umcuphi
🕵‍♂ indoda, intlola, umcuphi, umcuphi oyindoda
🕵‍♀ ibhinqa, intlola, umcuphi, umcuphi olibhinqa
💂 unogada
💂‍♂ indoda, unogada, unogada oyindoda
💂‍♀ ibhinqa, unogada, unogada olibhinqa
👷 ulwakhiwo, umnqwazi, umsebenzi, umsebenzi wolwakhiwo
👷‍♂ indoda, ulwakhiwo, umsebenzi, umsebenzi wolwakhiwo oyindoda
👷‍♀ ibhinqa, ulwakhiwo, umsebenzi, umsebenzi wolwakhiwo olibhinqa
🤴 inkosana
👸 iingcinga, inkosazana, intsomi
👳 umntu othwele unkontsho, unkontsho
👳‍♂ indoda, indoda ethwele unkontsho, unkontsho
👳‍♀ ibhinqa, ibhinqa elithwele unkontsho, unkontsho
👲 i-gua pi mao, indoda, indoda enxibe ikepusi, umnqwazi
🧕 i-hijab, i-mantilla, i-tichel, ibhinqa elineqhiya, iqhiya
🤵 i-tuxedo, indoda, indoda enxibe i-tuxedo, umyeni
👰 isigubungelo, umtshakazi, umtshakazi nesigubungelo, umtshato
🤰 ibhinqa, ibhinqa elikhulelweyo, ukukhulelwa
🤱 ibele, ukuncanca, ukuncancisa, usana
👼 iingcali, ingelosi, ingelosi elusana, intsomi, ubuso, usana
🎅 Ikrismesi, u-claus, u-santa, U-Santa Claus, umbhiyozo, utata
🤶 ikrismesi, u-claus, umama, umbhiyozo, uNksz., UNksz. Claus
🧙 i-mage, igqwirha, igqwirhakazi, umntu onobugqi
🧙‍♂ i-mage eyindoda, igqwirha, umntu onobugqi
🧙‍♀ i-mage elibhinqa, igqwirha, igqwirhakazi
🧚 i-Oberon, i-Puck, I-Titania, umkholonjane
🧚‍♂ I-Oberon, I-Puck, umkholonjane oyindoda
🧚‍♀ I-Titania, umkholonjane olibhinqa
🧛 I-Dracula, i-vampire, ongafanga
🧛‍♂ I-Dracula, i-vampire eyindoda, ongafanga
🧛‍♀ i-vampire elibhinqa, ongafanga
🧜 i-merperson, i-merwoman, indoda-ntlazi yasentsomini, intombi-ntlazi yasentsomini
🧜‍♂ i-merman, I-Triton
🧜‍♀ i-merwoman, intombi-ntlanzi yasentsomini
🧝 ubugqi, uhili
🧝‍♂ ubugqi, uhili oyindoda
🧝‍♀ ubugqi, uhili olibhinqa
🧞 i-djinn, i-genie
🧞‍♂ i-djinn, indoda ye-genie
🧞‍♀ i-djinn, ibhinqa le-genie
🧟 isidumbu esihambayo, isithunzela, ongafanga
🧟‍♂ isidumbu esihambayo, isithunzela esiyindoda, ongafanga
🧟‍♀ isidumbu esihambayo, isithunzela esilibhinqa, ongafanga
💆 i-salon, ubuso, ukuphulula, umntu ophululwayo
💆‍♂ indoda, indoda eliphululwayo, ubuso, ukuphulula
💆‍♀ ibhinqa, ibhinqa eliphululwayo, ubuso, ukuphulula
💇 igumbi lokuchokoza abantu, ubuhle, ukucheba iinwele, umchebi, umntu ocheba iinwele
💇‍♂ indoda, indoda echeba iinwele, ukucheba iinwele
💇‍♀ ibhinqa, ibhinqa elicheba iinwele, ukucheba iinwele
🚶 hamba, uhambo olude, ukuhamba, umntu ohambayo
🚶‍♂ hamba, indoda, indoda ehambayo, uhambo olude
🚶‍♀ hamba, ibhinqa, ibhinqa elihambayo, uhambo olude
🏃 ukubaleka, umbalekiso omde, umntu obalekayo
🏃‍♂ indoda, indoda ebalekayo, ukubaleka, ukudyarha, umbalekiso omde
🏃‍♀ ibhinqa, ibhinqa elibhalekayo, ukubaleka, umbalekiso omde, umdyarho
💃 ibhinqa, ibhinqa elidanisayo, umdaniso
🕺 indoda, indoda edanisayo, umdaniso
🕴 indoda, indoda enxibe isuti yeshishini endandayo, ishishini, isuti
👯 abantu abaneendlebe zomvundla abakwitheko, indlebe yomvundla, itheko, umdanisi
👯‍♂ amadoda aneneendlebe zomvundla akwitheko, indlebe yomvundla, indoda, itheko, umdanisi
👯‍♀ ibhinqa, ibhinqa elineendlebe zomvundla elikwitheko, indlebe yomvundla, itheko, umdanisi
🧖 i-sauna, igumbi lomphunga, umntu okwigumbi lomphunga
🧖‍♂ i-sauna, igumbi lomphunga, indoda ekwigumbi lomphunga
🧖‍♀ i-sauna, ibhinqa elikwigumbi lomphunga, igumbi lomphunga
🧗 umntu onobuvhule bokunyuka, umntu onyukayo
🧗‍♂ indoda enyukayo, umntu onobuvhule bokunyuka
🧗‍♀ ibhinqa elinyukayo, umntu onobuvhule bokunyuka
🤺 ikrele, ukulwa ngesabile, umntu olwa ngesabile
🏇 i-jockey, ihashe, ihashe elikumdyarho, ihashe lomdyarho, umdyarho
⛷ i-ski, ikhephu, umntu otyibilika kwikhephu
🏂 i-ski, ikhephu, ukutyibiliza kwikhephu, umtyibilizi kwikhephu
🏌 ibhola, igalufa, umntu odlala igalufa
🏌‍♂ igalufa, indoda, indoda edlala igalufa
🏌‍♀ ibhinqa, ibhinqa elidlala igalufa, igalufa
🏄 ukutyibiliza emanzini, umntu otyibiliza phezu kwamaza
🏄‍♂ indoda, indoda etyibiliza emanzini, ukutyibiliza emanzini
🏄‍♀ ibhinqa, ibhinqa elityibiliza emanzini, ukutyibiliza emanzini
🚣 iphenyana, iphenyana elibheqwayo, umntu obheqa iphenyane
🚣‍♂ indoda, indoda ebheqa iphenyana, iphenyana, iphenyana elibheqwayo
🚣‍♀ ibhinqa, ibhinqa elibheqa iphenyana, iphenyana, iphenyana elibheqwayo
🏊 qubha, umntu oqubhayo
🏊‍♂ indoda, indoda equbhayo, qubha
🏊‍♀ ibhinqa, ibhinqa eliqubhayo, qubha
⛹ ibhola, umntu ogqampisa ibhola
⛹‍♂ ibhola, indoda, indoda egqampisa ibhola
⛹‍♀ ibhinqa, ibhinqa eligqampisa ibhola, ibhola
🏋 ubunzima, umntu ophakamisa iintsimbi, umphakamisi
🏋‍♂ indoda, indoda ephakamisa iintsimbi, umntu ophakamisa iintsimbi
🏋‍♀ ibhinqa, ibhinqa eliphakamisa iintsimbi, umntu ophakamisa iintsimbi
🚴 ibhayisekile, ukuqhuba, umntu oqhuba ibhayisekile, umqhubi webhayisekile
🚴‍♂ ibhayisekile, indoda, indoda eqhuba ibhayisekile, ukuqhuba, umqhubi webhayisekile
🚴‍♀ ibhayisekile, ibhinqa, ibhinqa eliqhuba ibhayisekile, ukuqhuba, umqhubi webhayisekile
🚵 ibhayisekile, intaba, umntu oqhuba ibhayisekile entabeni, umqhubi webhayisekile, uqhubi webhayisekile
🚵‍♂ ibhayisekile, indoda, indoda eqhuba ibhayisekile entabeni, intaba, umqhubi webhayisekile
🚵‍♀ ibhayisekile, ibhinqa, ibhinqa eliqhuba ibhayisekile entabeni, intaba, ukuqhuba ibhayisekile, umqhubi webhayisekile
🤸 ithamba, umntu owenza uqilikibhode ngecala, uqilikibhode
🤸‍♂ indoda, indoda eyenza uqilikibhode ngecala, ithamba, uqilikibhode
🤸‍♀ ibhinqa, ibhinqa elenza uqilikibhode ngecala, ithamba, uqilikibhode
🤼 abantu abangqulanayo, ngqulana, umngqulani
🤼‍♂ amadoda angqulanayo, indoda, ngqulana
🤼‍♀ amabhinqa, amabhinqa angqulanayo, ngqulana
🤽 amanzi, i-polo, umntu odlala i-polo yasemanzini
🤽‍♂ i-polo yasemanzini, indoda, indoda edlala i-polo yasemanzini
🤽‍♀ i-polo yamanzi, ibhinqa, ibhinqa elidlala i-polo yasemanzini
🤾 ibhola, ibholda yesandla, umntu odlala ibhola yesandla
🤾‍♂ ibholda yesandla, indoda, indoda edlala ibhola yesandla
🤾‍♀ ibhinqa, ibhinqa elidlala ibhola yesandla, ibola yesandla
🤹 ibhalansi, qhatha, ubugcisa, umntu oqhathayo, yenza imisebenzi emininzi
🤹‍♂ indoda, indoda eqhathayo, ukuqhatha, ukwenza imisebenzi emininzi
🤹‍♀ ibhinqa, ibhinqa eliqhathayo, ukuqhatha, ukwenza imisebenzi emininzi
