{ කැරලි බන්ධනය, කැරලි වරහන, ගොල්වින්, වරහන, විවෘත වකුටු වරහන
🏻 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-1-2, ෆ්ට්ස්පැට්‍රික්
🏼 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-3, ෆ්ට්ස්පැට්‍රික්
🏽 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-4, ෆ්ට්ස්පැට්‍රික්
🏾 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-5, ෆ්ට්ස්පැට්‍රික්
🏿 ඉමෝජි විකරණකාරකය, වර්ණය, සම, සමෙහි වර්ගය-6, ෆ්ට්ස්පැට්‍රික්
‾ උඩ ඉර, උඩින් ඉර, බන්ධන රේඛාව
‘ උද්ධරණය, තනි උද්ධරණය, වම් ලොප් ලකුණ, සම්බෝධනය, ස්මාර්ට් උද්ධරණය
’ උද්ධරණය, තනි උද්ධරණය, දකුණු ලොප් ලකුණ, සම්බෝධනය, ස්මාර්ට් උද්ධරණය
‚ අඩු උද්ධරණය, උද්ධරණය, පහත් දකුණු ලොප් ලකුණ, සම්බෝධනය
“ උද්ධරණය, උපුටා ගැනීම, ද්විත්ව උද්ධරණය, වම් උද්ධෘත ලකුණ, ස්මාර්ට් උද්ධරණය
” උද්ධරණය, උපුටා ගැනීම, දකුණු උද්ධෘත ලකුණ, ද්විත්ව උද්ධරණය, ස්මාර්ට් උද්ධරණය
„ අඩු උද්ධරණය, උද්ධරණය, උපුටා ගැනීම, ද්විත්ව උද්ධරණය, පහත් දකුණු උද්ධෘත ලකුණ, ස්මාර්ට් උද්ධරණය
« උද්ධරණය, කෝණය, නිලපටය, ලෝප ලකුණ, වම, වම් ගිල්මටය, වරහන්
» උද්ධරණය, කෝණය, දකුණ, දකුණු ගිල්මටය, නිලපටය, ලෝප ලකුණ, වරහන්
) වටකුරු වරහන, වරහන, වරහන්, වැසුණු වරහන, සාම්‍ය, සාම්‍යය
[ ලහරී, වරහන, විවෘත සතරැස් වරහන, හතරැස් වරහන
] ලහරී, වරහන, වැසුනු සතරැස් වරහන, හතරැස් වරහන
} කැරලි බන්ධනය, කැරලි වරහන, ගොල්වින්, වරහන, වැසුනු වකුටු වරහන
〈 කෝණ වරහන, ටුපල්, දියමන්ති වරහන්, පොයින්ටි වරහන, වරහන, විවෘත කෝණ වරහන, ෂෙව්රොන්
〉 කෝණ වරහන, ටුපල්, දියමන්ති වරහන්, පොයින්ටි වරහන, වරහන, වැසුනු කෝණ වරහන, ෂෙව්රොන්
《 ද්විත්ව කෝණ වරහන, වරහන, විවෘත ද්විත්ව කෝණ වරහන
》 ද්විත්ව කෝණ වරහන, වරහන, වැසුනු ද්විත්ව කෝණ වරහන
「 කෙළවරේ වරහන, වරහන, විවෘත කෙළවර වරහන
」 කෙළවරේ වරහන, වරහන, වසන කෙළවරේ වරහන
『 කුහර කෙළවරේ වරහන, වරහන, විවෘත කුහර කෙළවර වරහන
』 කුහර කෙළවරේ වරහන, වරහන, වසන කුහර කෙළවරේ වරහන
【 කාච වරහන, කාචාකාර වරහන, වරහන, විවෘත කළු කාච වරහන
】 කාච වරහන, කාචාකාර වරහන, වරහන, වැසුණු කාච වරහන
〔 ඉබි කටු වරහන, කටු වරහන, වරහන, විවෘත ඉබි කටු වරහන
〕 ඉබි කටු වරහන, කටු වරහන, වරහන, වසන ඉබි කටු වරහන
〖 කුහර කාච වරහන, කුහර කාචාකාර වරහන, වරහන, විවෘත කුහර කාච වරහන
〗 කුහර කාච වරහන, කුහර කාචාකාර වරහන, වරහන, වසන කුහර කාච වරහන
§ අංශය, කොටස, ඡේදය, සිල්ක්‍රෝ
¶ ඡේද ලකුණ, ඡේදය, පෙළට ගැනීම
@ ඇට් ලකුණ, වාණිජ ඇට්, සහ
* ඇස්ටරිස්කය, තරු ලකුණ, තරුව
/ ඇල, ඇල ඉර, තද පහර, පහර, බෙදුම් ඉර, සිඳ බිඳ
\ තද පහර, පසු ඇල ඉර, පසු බෙදුම් ඉර
& සහ, සහ ලකුණ
# අංකය, පවුම, රාත්තල්, හැෂ් ලකුණ, හෑෂ්, හෑෂ් ටැගය
% සියයට
‰ මිලි, මිලි එකකට
† ඔබලිස්කය, කිරිච්වය, කිරිච්වය ලකුණ, සිරිය
‡ ඔබලිස්කය, කිරිච්වය, ද්විත්ව, ද්විත්ව කිරිච්වය ලකුණ, සිරිය
• උණ්ඩය, තිත, පතරොම
‧ ඉර, ලක්ෂ්‍යය, හයිපනය, හයිපනේෂන් ලක්ෂ්‍යය
′ ප්‍රථමය
″ ද්විත්ව ප්‍රථමක, ප්‍රථමය
‴ ත්‍රිත්ව ප්‍රථමක, ප්‍රථමය
‸ කාකපාදය, ලෝප ලකුණ
※ යොමු සලකුණ
⁂ තරු, තරු ලකුණු, තාරකා රාශිය
` අනුදාත්ත, අනුදාත්ත උච්චාරණ ලකුණ, උච්චාරණය, ශබ්දලීලාව
´ උග්‍ර, උච්චාරණය, ස්වරය
^ xor ලකුණ, උච්චාරණය, දර්ශකය, පාලනය, බලය, මූලාරම්භය, ලෝප ලකුණ, වටකුරු, ශිරස්කය, ෂෙව්රොන්
¨ ට්‍රේමා, ලක, ස්වර විකෘතිය
° අංශකය, පැය, සාධකය
℗ පටිගත කිරීම, ප්‍රකාශන හිමිකම, ශබ්ද පටිගත කිරීමේ ප්‍රකාශන අයිතිය, ශබ්දය
← ඊතලය, වම, වමට යොමු වන ඊතලය
↚ වම් දිශාවට වූ ඊතල පහර, වම් පැත්තට වූ ඊතල පහර
→ ඊතලය, දකුණ, දකුණට යොමු වන ඊතලය
↛ දකුණු දිශාවට වූ ඊතල පහර, දකුණු පැත්තට වූ ඊතල පහර
↑ ඉහළට, ඉහළට යොමු වන ඊතලය, ඊතලය
↓ ඊතලය, පහළට, පහළට යොමු වන ඊතලය
↜ වම් දිශාවට වූ වැනෙන ඊතලය, වම් පැත්තට වූ වැනෙන ඊතලය
↝ දකුණු දිශාවට වූ වැනෙන ඊතලය, දකුණු පැත්තට වූ වැනෙන ඊතලය
↞ වම් දිශාවට වූ හිස දෙකේ ඊතලය, වම් පැත්තට වූ හිස දෙකේ ඊතලය
↟ ඉහළ දිශාවට වූ හිස දෙකේ ඊතලය, ඉහළ පැත්තට වූ හිස දෙකේ ඊතලය
↠ දකුණු දිශාවට වූ හිස දෙකේ ඊතලය, දකුණු පැත්තට වූ හිස දෙකේ ඊතලය
↡ පහළ දිශාවට වූ හිස දෙකේ ඊතලය, පහළ පැත්තට වූ හිස දෙකේ ඊතලය
↢ වම් දිශාවට වූ ඊතල වලිගය, වම් පැත්තට වූ ඊතල වලිගය
↣ දකුණු දිශාවට වූ ඊතල වලිගය, දකුණු පැත්තට වූ ඊතල වලිගය
↤ දණ්ඩේ සිට වම් දිශාවට වූ ඊතලය, දණ්ඩේ සිට වම් පැත්තට වූ ඊතලය
↥ දණ්ඩේ සිට ඉහළ දිශාවට වූ ඊතලය, දණ්ඩේ සිට ඉහළ පැත්තට වූ ඊතලය
↦ දණ්ඩේ සිට දකුණු දිශාවට වූ ඊතලය, දණ්ඩේ සිට දකුණු පැත්තට වූ ඊතලය
↧ දණ්ඩේ සිට පහළ දිශාවට වූ ඊතලය, දණ්ඩේ සිට පහළ පැත්තට වූ ඊතලය
↨ පාදම සහිත ඉහළ පහළ ඊතලය
↫ වම් දිශාවට වූ ඊතල පුඩුව, වම් පැත්තට වූ ඊතල පුඩුව
↬ දකුණු දිශාවට වූ ඊතල පුඩුව, දකුණු පැත්තට වූ ඊතල පුඩුව
↭ වම් දකුණු වැනෙන ඊතලය
↯ පහළට වංගු සහිත ඊතලය, වංගු සහිත
⇅ ඉහළට, ඉහළට යොමු කරන සහ පහළට යොමු වන ඊතල, ඉහළට සහ පහළට යොමු වන ඊතල, ඊතලය, පහළට
⇆ ඊතලය, දකුණ, දකුණට ඊතල මත වමට යොමු කිරීම, දකුණට ඊතල හරහා වමට යොමු කිරීම, වම
∆ ත්‍රිකෝණය, වර්ධකය
∇ ත්‍රිකෝණය, නැබ්ලා
∈ අඩංගු, කට්ටලය, මූලද්‍රව්‍යය, සාමාජිකත්වය, හි මූලද්‍රව්‍යය
+ එක් කරන්න, ධන, ධන ලකුණ
± ධන-ඍණ
÷ කිරිච්වයක හැඩයට ඇති සලකුණ, බෙදන්න, බෙදීම, බෙදීම් ලකුණ
× ගුණ කරන්න, ගුණ කිරීම, ගුණ කිරීමේ ලකුණ, වාරයන්
< ටැගය, වඩා අඩු, විවෘත ටැගය
= සමාන
≠ අසමාන, අසමානතාවය, සමාන නොවේ
> ටැගය, වඩා විශාල, වඩා විශාලයි, වසු ටැගය
¬ නැත, නිෂේධනය
| ඉර, තීරුව, පයිප්ප, පේළිය, සැරයටිය, සිරස් තීරුව, සිරස් රේඛාව
~ නාසික්‍ය ලකුණ
− අඩු කරනවා, ඍණ, ඍණ ලකුණ
⁻ උඩකුර, උඩුකුරු ඍණ, සෘණ
√ ආමූලය, කරණිය, මූලකය, මූලය, වර්ග මූලය, වර්ගය
∞ අනන්තය, අපරිමිත ලකුණ
∩ අන්තර්ඡේදනය, කට්ටලය
∪ එකතුව, කට්ටලය, සන්ධිය
≈ ආසන්න කිරීම, ඉතා ආසන්න වශයෙන් සමාන, දළ වශයෙන්
≡ ත්‍රිත්ව, වෙත සමාන, සමාන, සමාන වේ, හරියටම
≤ අඩු හෝ සමාන, අඩු-පසුව, අසමානතාවය, සමාන
≥ අසමානතාවය, වඩා විශාල, වඩා විශාල හෝ සමාන, සමාන
⊂ උප කුලකය, කට්ටලය, හි උප කුලකය
▲ ඉහළට, ඊතලය, ත්‍රිකෝණය, පිරවූ ඉහළට යොමු වන ත්‍රිකෝණය, පුරවා
▼ ඊතලය, ත්‍රිකෝණය, පහළට, පිරවූ පහළට යොමු වන ත්‍රිකෝණය, පුරවා
◊ දියමන්තිය, රොම්බසය, ලොසින්ජරය
○ කවය, කුහර කවය, මුද්ද
● කවය, පිරවූ කවය
◯ කවය, මුද්ද, විශාල කුහර කවය
♪ අටවැනි, සංගීත, සටහන
♭ තනුව, සංගීතය, ස්වරය
♯ තියුණු, සංගීතය, ස්වරය
😀 මුහුණ, සිනහ මුහුණ, සිනහව
😃 කට, කට ඇරුණ සිනාසෙන මුහුණ, මුහුණ, විවෘත, සිනහව
😄 ඇස, කට, කට ඇරුණ සිනාාසෙන ඇස් සහිත සිනහ මුහුණ, මුහුණ, විවෘත, සිනහව
😁 ඇස, මුහුණ, සිනහව, සිනාසෙන ඇස් සහිත දත් විරිතත්න මුහුණ
😆 කට, කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ, කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ මුහුණ, තෘප්තිමත්, මුහුණ, විවෘත, සිනහව
😅 කට ඇරුණ දහඩිය දමන සිනහ මුහුණ, දහඩිය, මුහුණ, විවෘත, සිනහව, සීතල
🤣 පෙරළීම, බිම, බිම පෙරළීමෙන් සිනාසීම, මුහුණ, සිනාසෙනවා
😂 කඳුළු, මුහුණ, සතුට, සතුටු කඳුළු සහිත මුහුණ, සිනහව
🙂 මුහුණ, යන්තම් සිනාවෙන මුහුණ, සිනහව
🙃 උඩු යටිකුරු, මුහුණ, යටිකුරු වූ මුහුණ
😉 ඇස් ගසන මුහුණ, ඇස් ගැසීම, මුහුණ
😊 ඇස, මුහුණ, රතු වීම, සිනහව, සිනාසෙන ඇස් සහිිත සිනහ මුහුණ
😇 අහිංසක, රැස් වළල්ල සහිත සිනහ මුහුණ, සුරංගනා කථාව, සුරංගනාවිය, හලෝ
🥰 ආදරයෙන් සිටින, කැමති, ගෞරව කරනවා, හදවත් 3ක් සහිත සිනාසී සිටින මුහුණක්
😍 ආදරය, ඇස, මුහුණ, සිනහව, හදවත, හදවතක හැඩය ගත් ඇස් සහිත සිනහ මුහුණ
🤩 ඇස්, ඇස් වල තරු ඇති සිනාවෙන මුහුණ, තරුව, මුහුණ, සිනාවෙමින්
😘 මුහුණ, සිප ගැනීමක් ලබා දෙන මුහුණ, හදවත, හාදුව
😗 මුහුණ, සිඹින මුහුණ, හාදුව
☺ කැපී පෙනෙන, මුහුණ, සන්සුන්, සිනහ මුුහුණ, සිනහව
😚 ඇස, මුහුණ, වැසුණු, වැසුණු ඇස් සහිත සිඹින මුහුණ, හාදුව
😙 ඇස, මුහුණ, සිනහව, සිනාසෙන ඇසි සහිත සිඹින මුහුණ, හාදුව
🥲 ආඩම්බර, කඳුළු, කඳුළු වලින් සිනහ මුසු මුහුණ, ප්‍රසන්න, සහන, සිනාසෙමින්, ස්පර්ශ කළා
😋 මුහුණ, යම්, රස, රස ආහාරවලින් පිනා යන, රස ආහාරවලින් පිනා යන මුහුණ, රසවත්, සිනහව
😛 දිව, දිව එළියට දැමූ මුහුණ, මුහුණ
😜 ඇස් ගැසීම, දිව, දිව එළියට දැමූ සහ ඇස් ගසන මුහුණ, දිිව එළියට දැමූ සහ ඇස් ගසන මුහුණ, මුහුණ, විහිළු
🤪 ඇස, පිස්සු මුහුණ, පොඩි, ලොකු
😝 ඇස, දිව, දිව එළියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ, දිව එළිියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ, පිළිකුල්, මුහුණ, රසය
🤑 කට, කටේ මුදල් රුවා ගත් මුහුණ, මුහුණ, සල්ලි
🤗 මුහුණ, වැළඳ ගන්නවා, වැළඳ ගන්නා මුහුණ, වැළඳ ගැනීම
🤭 අතින් කට වැසුණු මුහුණ, හපොයි
🤫 නිශ්ශබ්ද, නිශ්ශබ්ද කිරීමේ මුහුණ, නිශ්ශබ්ද වන්න
🤔 කල්පනා කරන මුහුණ, මුහුණ, සිතීම
🤐 කට, කටට සිප් එකක් දැමූ මුහුණ, මුහුණ, සිප්
🤨 අවිශ්වාසය, ඉහළ ගිය ඇහි බැමි ඇති මුහුණ, සංශයවාදයකි
😐 උදාසීන, මුහුණ, හැඟීම් රහිත
😑 භාව ප්‍රකාශන රහිත, මුහුණ, හැඟීමක් පළ නොකරන මුහුණ, හැඟීම් නැති, හැඟීම් රහිත
😶 කට, කටක් රහිත මුහුණ, නිශ්ශබ්ද, නිහඬ, මුහුණ
😶‍🌫 මීදුමෙහි මුහුණ, වලාකුළුවල මුහුණ, වලාකුළුවල හිස, සිහි කල්පනාව අඩු
😏 නියවන මුහුණ, නියවීම, මුහුණ
😒 අසතුටු, මුහුණ, විනෝදයක් නැති, විනෝදයක් නැති මුහුණ
🙄 ඇස්, කරකවන ඇස් ඇති මුහුණ, කරකැවීම, මුහුණ
😬 පුලුටු කර ගත් මුහුණ, පුලුටු කරගත්, මුහුණ
😮‍💨 අමාරුවෙන් හුස්ම ගැනීම, කෙඳිරිය, කෙඳිරීම, පිඹීම, සහනය, හුස්ම හෙළන මුහුණ, හුස්ම හෙළීම
🤥 පිනොකියෝ, බොරුකියන මුහුණ, බොරුව, මුහුණ
😌 මුහුණ, සැනසුමක් ලත්, සැනසුමක් ලත් මුහුණ
😔 අධෛර්යය, කල්පනාකාරී, කල්පනාවෙහි ගැලුණ මුහුණ, මුහුණ
😪 නිදිබර මුහුණ, නින්ද, මුහුණ
🤤 කෙළ බේරෙන, කෙළ බේරෙන මුහුණ, මුහුණ
😴 නිදින මුහුණ, නින්ද, මුහුණ, ස්ස්ස්
😷 මුකවාඩම, මුකවාඩමක් සහිත මුහුණ, මුහුණ, රෝගී, වෛද්‍යවරයා, සීතල
🤒 අසනීප, උණ කටුව, උණකටුවක් රඳවා ගත් මුහුණ, මුහුණ, ලෙඩ
🤕 තුවාලය, බැන්ඩේජ්, මුහුණ, රිදීම, හිසට බැන්ඩේජ් දැමූ මුහුණ
🤢 පිළිකුල් වූ, පිළිකුල් වූ මුහුණ, මුහුණ, වමනය
🤮 අසනීපයි, වමනය, වමනය යන මුහුණ
🤧 කිඹුහුම, කිඹුහුම් යවන මුහුණ, මුහුණ
🥵 ඇවිස්සුණු, උණුසුම්, දාඩිය දැමීමි, රතු වූ මුහුණ, රත් වූ පහර, රත් වූ මුහුණ
🥶 අයිස් කූරු, ඉතා ශ්‍රීතල, නිල් මුහුණැති, සීතල මුහුණ, සීතලයි, හමේ ඇතිවන තුවාල
🥴 අසමාන ඇස්, ඉස කරකැවිල්ල, දුක්ඛිත මුහුණ, මත් වූ, රැලි සහිත කට, වෙරි වූ
😵 නිදිමත ගතියක් ඇති, නිදිමත ගතියක් ඇති මුහුණ, මුහුණ
😵‍💫 ආ, කරකැවිල්ල, කරදරය, මෝහනය, සර්පිලාකාර, සර්පිලාකාර ඇස් ඇති මුහුණ
🤯 කම්පාවට පත් වූ මුහුණ, පිපිරෙන හිස
🤠 ගොප තොප්පි මුහුණ, ගොපලු කෙල්ල, ගොපලු තොප්පිය, ගොපල්ලා, තොප්පිය, මුහුණ
🥳 උත්සව මුහුණ, උත්සවය, තොපිය, නලාව, සැමරීම
🥸 කණ්නාඩි, නාසය, නොපැහැදිලි, මුහුණ, වෙස්වලාගත් මුහුණ, වෙස්වළාගෙන
😎 අව් කණ්ණාඩි, අව් කණ්ණාඩි පැළඳි සිනහ මුහුණ, කණ්ණාඩි, දීප්තිමත්, මුහුණ, සන්සුන්, සූර්යයා
🤓 මුහුණ, මොට්ට, මෝඩ
🧐 කේන්ති ගිය, තනි කාචයක් සහිත මුහුණ
😕 මුහුණ, ව්‍යාකූල, ව්‍යාකූල වූ මුහුණ
😟 කනගාටුවට පත්, කනගාටුවට පත් මුහුණ, මුහුණ
🙁 මදක් රවන මුහුණ, මුහුණ, රැවීම
☹ මුහුණ, රවන මුහුණ, රැවීම
😮 කට, කට ඇරුණ මුහුණ, දුක, මුහුණ, විවෘත
😯 නිශ්ශබ්ද, නිහඩ, පුදුම, මුහුණ
😲 පුදුම, මුහුණ, විස්මයට පත්, විස්මයට පත් මුහුණ, සම්පූර්ණයෙන්
😳 මුහුණ, රතු වූ, රතු වූ මුහුණ, ලැජ්ජාව
🥺 අනුකම්පාව, කණගාටුයි මුහුණ, බලු පැටවූ ඇස්, සිඟාකෑම
😦 කට, කට ඇරුණ රවන මුහුණ, මුහුණ, රැවීම, විවෘත
😧 මුහුණ, වේදනාව, වේදනාවට පත් වූ මුහුණ
😨 බය, බිය, බියජනක, බියට පත් වූ මුහුණ, මුහුණ
😰 ඇරුණු දහඩිය දමන මුහුණ, කට ඇරුණු දහඩිය දමන මුහුණ, දහඩිය, නිල්, මුහුණ, සීතල
😥 බලාපොරොත්තු සුන්වූ, බලාපොරොත්තු සුන්වූ නමුත් සැනසුමක් ලත් මුහුණ, මුහුණ, විව්, සැනසුමක් ලත්
😢 අඬන මුහුණ, ඇඬීම, කඳුළු, දුක, මුහුණ
😭 ඇඬීම, කඳුළු, දුක, මුහුණ, හයියෙන් අඩන මුහුණ
😱 බිය, බියජනක, බියෙන් කෑගසන, බියෙන් කෑගසන මුහුණ, මුහුණ
😖 අවුල් සහගත, අවුල් සහගත වූ මුහුණ, මුහුණ
😣 උත්සාහය, උත්සාහවන්ත මුහුණ, මුහුණ
😞 බලාපොරොත්තු සුන් වූ මුහුණ, බලාපොරොත්තු සුුන්වූ, බලාාපොරොත්තු සුන් වූ මුහුණ, මුහුණ
😓 දහඩිය, දහඩිය දමා ගත් මුහුණ, මුුහුණ, සීතල
😩 මහන්සිය, මුහුණ, වෙහෙස, වෙහෙසට පත් වූ මුහුණ
😫 මහුණ, විඩාබර මුහුණ, වෙහෙසකර
🥱 ඈනුම් අරින, ඈනුම් අරින මුහුණ, කම්මැලි, වෙහෙසුණු
😤 ජයග්‍රහණය, දිනුම, නහයෙන් හුමාලය එන මුහුණ, මුහුණ
😡 අමනාපය, අමනාපයෙන් යුතු මුහුණ, තරහව, පළිගැනීම, මුහුණ, රතු
😠 කේන්තියෙන් යුතු මුහුණ, තරහව, මුහුණ, මෝඩ
🤬 කටේ ලකුණු ඇති මුහුණ, දිව්රුම් දීම
😈 අං, අං සහිත සිනහ මුහුණ, මායාව, මුහුණ, සිනහව, සුරංගනා කථාව
👿 මායාව, මිත්‍යා කථාවල එන සත්ත්වයා, මුහුණ, යකා, යක්ෂයා, සුරංගනාව
💀 මරණය, මිනී ඔළුව, මුහුණ, යක්ෂයා, ශරීරය, සුරංගනා කථාව
☠ මරණය, මිනී ඔළුව, මිනී ඔළුව සහ හරස් ඇටකටු, මුහුණ, යක්ෂයා, ශරීරය, හරස් ඇටකටු
💩 අසූචි, අසූචි ගොඩ, කසල, ගොම, මුහුණ
🤡 මුහුණ, විකටය මුහුණ, විකටයා
👹 ජපන්, මායාව, මිනී කන යක්ෂයා, මුහුණ, යක්ෂයා, සතා, සුරංගනා කථාව
👺 ගොබ්ලින් යක්ෂයා, ජපන්, මායාව, මුහුණ, යක්ෂයා, සතා, සුරංගනා කථාව
👻 ජපන්, මායාව, මුහුණ, යක්ෂයා, සතා, සුරංගනා කථාව, හොල්මන
👽 අභ්‍යවකාශය, පිටසක්වල ජීවියා, පියාඹන පීරිසි, මායාව, මුහුණ, සුරංගනා කථාව
👾 අභ්‍යවකාශය, පිටසක්වල ජීවියා, පිටසක්වල යක්ෂයා, පියාඹන පීරිසි, මායාව, මුහුණ, යක්ෂයා
🤖 මුහුණ, යක්ෂයා, රොබෝ
😺 කට, කට ඇරුණ සිනාසෙන බළල් මුහුණ, පූසා, මුහුණ, විවෘත, සිනහව
😸 ඇස, පූසා, මුහුණ, විරිත්තීම, සිනහව, සිනාසෙන ඇස් සහිත දත් විරිතත්න බළල් මුහුණ
😹 පූසා, භය, මුුහුණ, සතුට, සතුටු කඳුළු සහිත බළල් මුහුණ
😻 ආදරය, ඇස, පූසා, මුුහුණ, සිනහව, හදවත, හදවතක හැඩය ගත් ඇස් සහිත සිනාසෙන බළල් මුහුණ
😼 ඇද වූ, උපහාසාත්මක, කට ඇදවූ සිනහව සහිත බළල් මුහුණ, පූසා, මුහුුණ, සිනහව
😽 ඇස, ඇස් වැසුණ සිඹින බළලා, ඇස් වැසුණ සිඹින බළල් මුහුණ, පූසා, බළලා, මුහුණ, හාදුව
🙀 අපොයි, පුදුමයට පත්, පූසා, මුහුණ, විඩාබර, වෙහෙසට පත් වූ බළල් මුහුණ
😿 අඬන බළල් මුහුණ, ඇඩීම, කඳුළු, දුක්මුසු, පූසා, මුහුණ
😾 අමනාපයෙන් යුතු බළල් මුහුණ, කට උල් කිරීම, පූසා, මුහුණ
🙈 අභින, තහනම් කළ, දුෂ්ට, නරක දේවල් නොබලන්න, නැත, බැලීම, මුහුණ, වඳුරා
🙉 අභින, තහනම් කළ, දුෂ්ට, නරක දේවල් නොඅසන්න, නැත, මුහුණ, වඳුරා, සවන් දීම
🙊 අභින, කථනය, තහනම් කළ, දුෂ්ට, නරක දේවල් කථා නොකරන්න, නැත, මුහුණ, වඳුුරා
💋 තොල්, හදවත, හාදු ලකුණ, හාදුව
💌 ආදර හසුන, ආදරය, තැපෑල, ප්‍රේමය, ලිපිය
💘 අනංගයා, ඊතලය, ඊතලය සහිත හදවත, ප්‍රේමය, හදවත
💝 පීත්ත පටිය, පීත්ත පටියක් සහිත හදවත, වැලන්ටයින්, හදවත
💖 දිදුලන, ප්‍රබෝදමත්, හදවත
💗 චංචල, ප්‍රබෝදමත්, වැඩෙන, හදවත, හෘද ස්පන්දනය
💓 ගැහෙන, ස්පන්දනය, හදවත
💞 කරකැවෙන, කරකැවෙන හදවත්, හදවත
💕 ආදරය, හදවත, හදවත් දෙකක්
💟 හදවත, හදවත් සැරසිල්ල
❣ ලකුණ, වස්මයාර්ථ, විරාම ලකුණ, හදවතක හැඩය ගත් විස්මයාර්ථ ලකුණ
💔 බිඳීම, බිඳුණු, හදවත
❤‍🔥 ආදරය, ගිනි ගත් හදවත, පිළිස්සීම, පූජනීය හදවත, රාගය, හදවත
❤‍🩹 ප්‍රකෘතිමත් වීම, යථා තත්ත්වයට පත් වීම, වැඩි දියුණු කිරීම, සුව දීම, සුව වෙන හදවත, සෞඛ්‍ය සම්පන්න, හොඳින්
❤ රතු හදවත, හදවත
🧡 තැඹිලි, තැඹිලි හදවත
💛 කහ, හදවත
💚 කොල, කොළ හදවත, හදවත
💙 නිල්, නිල් හදවත, හදචත
💜 දම්, හදවත
🤎 දුඹුරු, හදවත
🖤 කළු, දුෂ්ට, නපුරු, හදවත
🤍 සුදු, හදවත
💯 100, ලකුණු, ලකුණු සියයි, සම්පූර්ණ, සියය
💢 කේන්ති, තරහ ලකුණ, පිස්සු, හාස්‍යජනක
💥 ඝට්ටනය, පිපිරීම, හාස්‍යජනක
💫 තරුව, වල්ග තාරකාව, හාස්‍යජනක
💦 දහඩිය, දහඩිය බිඳු, වැගිරීම, හාස්‍යජනක
💨 දුවමින්, ලිස්සා යාම, හාස්‍යජනක
🕳 කුහරය
💣 බෝම්බය, හාස්‍යජනක
💬 කථන බැලුනය, කථන බැලූනය, කථාව, දෙබස, බැලූනය, හාස්‍යජනක
