🤭 embarrassed, face with hand over mouth, oops, whoops
🤫 quiet, shush, shushing face
🥡 oyster pail, takeaway box, takeout box
🦀 Cancer, crab, zodiac
🦞 bisque, claws, lobster, seafood
🦐 food, prawn, shellfish, shrimp, small
🦑 food, mollusc, squid
🍦 cream, dessert, ice, soft, sweet
🍧 dessert, ice, shaved, sweet
🍨 cream, dessert, ice, sweet
🍮 crème caramel, custard, dessert, egg custard, pudding, sweet
🧃 beverage, box, juice, straw, sweet
🥢 chopsticks, hashi
🗻 Fuji, mount Fuji, mountain
🏟 stadium
🕌 Islam, mosque, Muslim, religion
⛩ religion, Shinto, shrine
🕋 Islam, kaaba, Kaaba, Muslim, religion
🎪 circus, tent
🚃 car, electric, railway, railway carriage, train, tram, trolleybus
🚊 car, streetcar, tram, tramcar, trolley, trolley bus, trolleybus
🚋 car, streetcar, tram, tramcar, trolley, trolley bus, trolleybus
🚎 bus, streetcar, tram, trolley, trolleybus
🚙 4x4, off-road vehicle, sport utility
🛻 pick-up, pickup, truck
🚛 articulated lorry, lorry, semi, truck
🦼 accessibility, powered wheelchair
🛼 roller, skate
🛣 highway, motorway, road
⛽ diesel, fuel, fuelpump, gas, petrol, pump, station
🚥 horizontal traffic light, light, signal, traffic
🚦 light, signal, traffic, vertical traffic light
🚟 railway, suspension
🚠 cable, gondola, mountain, mountain cablecar
🛎 bell, bellhop, hotel
⌛ hourglass done, sand, timer
🕰 clock, mantel clock
🌌 galaxy, milky way, space
⛱ rain, sun, umbrella, umbrella on ground
🎉 celebration, party, popper, tada
🎍 bamboo, celebration, Japanese, pine, pine decoration
🎟 admission, admission tickets, ticket
🏆 prize, trophy
🏅 medal, sports medal
⚽ football
🏉 ball, football, rugby
🎳 ball, bowling, game, pins
🥅 goal, net
⛳ flag in hole, golf, hole
⛸ ice, skate
🎣 angling, fish, fishing pole, pole
🎿 ski, skis, snow
🥌 curling rock, curling stone, game, rock
🧿 bead, charm, evil eye, nazar, nazar amulet, talisman
🎰 fruit machine, game, one-armed bandit, slot, slot machine
♦ card, diamond suit, game
♣ card, club suit, game
🪡 embroidery, needle, sewing, stitches, sutures, tailoring
🕶 dark, eye, eyewear, glasses, sunglasses
👕 clothing, shirt, T-shirt, tshirt
👖 clothing, trousers
👗 clothing, dress
🩲 bathing suit, briefs, one-piece, pants, swimsuit, underwear
🩳 bathing suit, boardshorts, shorts, swim shorts, underwear
👙 bikini, clothing, swim
👚 clothing, woman, woman’s clothes
👛 clothing, coin, purse
👜 bag, clothing, handbag, purse
👝 bag, clothing, clutch bag, pouch
👟 athletic, clothing, shoe, trainer
💄 cosmetics, lipstick, makeup
🔈 soft, speaker low volume
📻 radio, video
🎹 instrument, keyboard, music, musical keyboard, piano
🥁 drum, drumsticks, music
☎ phone, telephone
💻 computer, laptop, pc, personal
💾 computer, disk, diskette, floppy
💿 cd, computer, disk, optical
📀 blu-ray, computer, disk, dvd, optical
🎥 camera, cinema, film, movie
🎬 clapper, clapperboard, movie
📺 tele, television, telly, tv, video
📼 tape, vhs, video, videocassette
💡 bulb, comic, electric, idea, light
💹 chart, chart increasing with yen, graph, growth, money, yen
📤 box, letter, mail, outbox, sent, tray
📥 box, inbox, letter, mail, receive, tray
📫 closed, closed mailbox with raised flag, closed postbox with raised flag, letterbox, mail, mailbox, post, post box, postbox
📪 closed, closed mailbox with lowered flag, closed postbox with lowered flag, letterbox, lowered, mail, mailbox, post, post box, postbox
📬 mail, mailbox, open, open mailbox with raised flag, open postbox with raised flag, post, post box, postbox
📭 lowered, mail, mailbox, open, open mailbox with lowered flag, open postbox with lowered flag, post, post box, postbox
📈 chart, chart increasing, graph, growth, trend, upward
📉 chart, chart decreasing, down, graph, trend
📌 map pin, pin, pushpin
📍 pin, pushpin, round pushpin
🛠 hammer and spanner
🔫 water pistol
🦯 guide cane
🪝 catch, crook, curve, ensnare, hook, selling point
🧬 biologist, dna, evolution, gene, genetics, life
🩹 plaster
🪞 looking glass, reflection, reflector
🛋 couch, hotel, lamp, sofa, sofa and lamp
🚽 lavatory, loo, toilet
♿ access, wheelchair symbol
🚺 lavatory, restroom, wc, woman, women’s toilet
🚼 baby, baby symbol, changing
🚾 closet, lavatory, restroom, water, wc
🛂 control, passport
⛔ entry, forbidden, no, not, prohibited, traffic
🚫 entry, forbidden, no, not, prohibited
🚭 forbidden, no, not, prohibited, smoking
🚯 forbidden, litter, no, no littering, not, prohibited
🚱 non-drinking water
🚷 forbidden, no, no pedestrians, not, pedestrian, prohibited
⬆ arrow, cardinal, direction, north, up arrow
✝ Christian, cross, Latin cross, religion
♍ Virgo, zodiac
♐ archer, Sagittarius, zodiac
♒ Aquarius, bearer, water, zodiac
⏩ arrow, double, fast, fast-forward button, forward
🔆 bright, bright button, brightness
➕ +, math, maths, plus, sign
➖ -, −, math, maths, minus, sign
➗ ÷, divide, division, heavy division sign, math, maths
♾ forever, infinity, unbounded, universal
‼ !, !!, bangbang, double exclamation mark, exclamation, mark
⁉ !, !?, ?, exclamation, interrobang, mark, punctuation, question
☑ ✓, box, tick, tick box with tick
✔ ✓, mark, tick
🔠 ABCD, input, Latin, letters, uppercase
🔡 abcd, input, Latin, letters, lowercase
🔤 abc, alphabet, input, Latin, letters
$ CAD, cash, dollar, dollars, money, peso, USD
₹ currency, Indian rupee, rupee
‘ apostrophe, curly quote, quote, single quote, smart quote
’ apostrophe, curly quote, quote, single quote, smart quote
“ curly quotes, double quote, quotation, quote, smart quotation
” curly quotes, double quote, quotation, quote, smart quotation
) bracket, parens, parenthesis, round bracket
↜ arrow, left, wave arrow
↝ arrow, right, wave arrow
↤ arrow, arrow from bar, left
↥ arrow, arrow from bar, up
↦ arrow, arrow from bar, right
↧ arrow, arrow from bar, down
↹ arrow, arrow to bar, left, left arrow over right arrow, right
⇄ arrow, left, right, rightwards arrow over leftwards arrow
⇇ arrow, left, paired arrows
⇈ arrow, paired arrows, up
⇉ arrow, paired arrows, right
⇊ arrow, down, paired arrows
⇋ arrow, harpoon, left, leftwards harpoon over rightwards harpoon, right
⇌ arrow, harpoon, left, right, rightwards harpoon over leftwards harpoon
⇐ arrow, double arrow, left
⇑ arrow, double arrow, up
⇒ arrow, double arrow, right
⇓ arrow, double arrow, down
⇚ arrow, left, triple arrow
⇛ arrow, right, triple arrow
⇜ arrow, left, squiggle arrow
⇝ arrow, right, squiggle arrow
⇠ arrow, dashed arrow, left
⇡ arrow, dashed arrow, up
⇢ arrow, dashed arrow, right
⇣ arrow, dashed arrow, down
⇦ arrow, hollow arrow, left
⇧ arrow, hollow arrow, up
⇨ arrow, hollow arrow, right
⇩ arrow, down, hollow arrow
⇪ arrow, arrow from bar, hollow arrow, up
| bar, line, pipe, sheffer stroke, vertical bar
😵‍💫 dizzy, hypnotised, spiral, trouble, whoa
🍶 bar, beverage, bottle, cup, drink, saké
🏓 table tennis
🔧 spanner
🪒 razor
🚰 drinking water
🔄 anticlockwise arrows button
{ brace, bracket, curly brace, curly bracket, gullwing, open curly bracket
🏻 light skin tone, skin tone, type 1–2
🏼 medium-light skin tone, skin tone, type 3
🏽 medium skin tone, skin tone, type 4
🏾 medium-dark skin tone, skin tone, type 5
🏿 dark skin tone, skin tone, type 6
‾ overline, overstrike, vinculum
_ dash, line, low dash, underdash, underline, underscore
- dash, hyphen, hyphen-minus, minus
‐ dash, hyphen
– dash, en
— dash, em
― bar, dash, horizontal bar, line
・ dots, interpunct, katakana, katakana middle dot, middot
, comma
، Arabic, comma
、 comma, ideographic
; semi-colon, semicolon
؛ Arabic, Arabic semicolon, semi-colon
: colon
! bang, exclamation, exclamation mark, exclamation point
¡ bang, exclamation, exclamation mark, exclamation point, inverted, inverted exclamation mark
? question, question mark
¿ inverted, inverted question mark, question, question mark
؟ Arabic, Arabic question mark, question, question mark
‽ interabang, interrobang
. dot, full stop, period
… dots, ellipsis, omission
。 full stop, ideographic, ideographic full stop, period
· dot, interpunct, middle, middot
' apostrophe, quote, single quote, straight apostrophe, typewriter apostrophe
‚ apostrophe, low quote, low right apostrophe, quote
„ double quote, low quotation, low right quotation mark, quotation, quote, smart quotation
« angle, brackets, carets, chevron, left, left guillemet, quote
» angle, brackets, carets, chevron, quote, right, right guillemet
[ bracket, crotchet, open square bracket, square bracket
] bracket, close square bracket, crotchet, square bracket
} brace, bracket, close curly bracket, curly brace, curly bracket, gullwing
〈 angle bracket, bracket, chevron, diamond brackets, open angle bracket, pointy bracket, tuple
〉 angle bracket, bracket, chevron, close angle bracket, diamond brackets, pointy bracket, tuple
《 bracket, double angle bracket, open double angle bracket
》 bracket, close double angle bracket, double angle bracket
「 bracket, corner bracket, open corner bracket
」 bracket, close corner bracket, corner bracket
『 bracket, hollow corner bracket, open hollow corner bracket
』 bracket, close hollow corner bracket, hollow corner bracket
【 bracket, lens bracket, lenticular bracket, open black lenticular bracket
】 bracket, close black lenticular bracket, lens bracket, lenticular bracket
〔 bracket, open tortoise shell bracket, shell bracket, tortoise shell bracket
〕 bracket, close tortoise shell bracket, shell bracket, tortoise shell bracket
〖 bracket, hollow lens bracket, hollow lenticular bracket, open hollow lenticular bracket
〗 bracket, close hollow lenticular bracket, hollow lens bracket, hollow lenticular bracket
§ paragraph, part, section, silcrow
¶ alinea, paragraph, paragraph mark, paraph, pilcrow
@ ampersat, arobase, arroba, at mark, at sign, commercial at, strudel
* asterisk, star, wildcard
/ oblique, slash, solidus, stroke, virgule, whack
\ backslash, reverse solidus, whack
& ampersand, and, et
# hash, hash sign, hashtag, lb, number, pound
% per cent, per-cent, percentage
‰ per mil, per mill, per mille, permil, permille
† dagger, dagger sign, dagger symbol, obelisk, obelus
‡ dagger, double, double dagger sign, double dagger symbol, obelisk, obelus
• bullet, dot
‧ dash, hyphen, hyphenation point, point
′ prime
″ double prime, prime
‴ prime, triple prime
‸ caret
※ reference mark
⁂ asterism, dinkus, stars
` accent, grave, tone
´ accent, acute, tone
^ accent, caret, chevron, circumflex, hat, power, wedge
¨ diaeresis, tréma, umlaut
° degree, hour, proof
℗ copyright, recording, sound
← arrow, left, left-pointing arrow
↚ leftwards arrow with stroke
→ arrow, right, right-pointing arrow
↛ rightwards arrow with stroke
↑ arrow, up, up-pointing arrow
↓ arrow, down, down-pointing arrow
↞ leftwards two-headed arrow
↟ upwards two-headed arrow
↠ rightwards two-headed arrow
↡ downwards two-headed arrow
↢ arrow, arrow with tail, left, leftwards arrow with tail
↣ rightwards arrow with tail
↨ up-down arrow with base
↫ leftwards arrow with loop
↬ rightwards arrow with loop
↭ left-right wave arrow
↯ downwards zigzag arrow, zigzag
↰ upwards arrow with leftwards tip
↱ upwards arrow with rightwards tip
↲ downwards arrow with leftwards tip
↳ downwards arrow with rightwards tip
↴ rightwards arrow with corner downwards
↵ downwards arrow with corner leftwards
↶ anticlockwise top-semicircle arrow
↷ clockwise top-semicircle arrow
↸ north-west arrow to long bar
↺ anticlockwise open-circle arrow
↻ clockwise open-circle arrow
↼ leftwards harpoon with upwards barb
↽ leftwards harpoon with downwards barb
↾ upwards harpoon with rightwards barb
↿ upwards harpoon with leftwards barb
⇀ rightwards harpoon with upwards barb
⇁ rightwards harpoon with downwards barb
⇂ downwards harpoon with rightwards barb
⇃ downwards harpoon with leftwards barb
⇅ arrow, down, up, up-pointing and down-pointing arrows
⇆ arrow, left, left-pointing over right-pointing arrows, right
⇍ leftwards double arrow with stroke
⇏ rightwards double arrow with stroke
⇔ left-right double arrow
⇎ left-right double arrow with stroke
⇖ north-west double arrow
⇗ north-east double arrow
⇘ south-east double arrow
⇙ south-west double arrow
⇞ upwards arrow with double stroke
⇟ downwards arrow with double stroke
⇤ leftwards arrow to bar
⇥ rightwards arrow to bar
⇵ downwards and upwards arrows
∀ all, any, for all, given, universal
∂ differential, partial differential
∃ there exists
∅ empty set, mathematics, set operator
∆ increment, triangle
∇ nabla, triangle
∈ contains, element, element of, membership, set
∉ element, not an element
∋ contains as member, element
∎ end proof, halmos, q.e.d., qed, tombstone
∏ logic, n-ary product, product
∑ mathematics, n-ary summation, summation
+ add, plus, plus sign
± plus-minus
÷ divide, division, division sign, obelus
× multiplication, multiplication sign, multiply, times
< close tag, less than, less-than sign, tag
≮ inequality, mathematics, not less-than
= equal, equals
≠ inequality, inequation, not equal
> close tag, greater than, greater-than sign, tag
≯ inequality, mathematics, not greater-than
¬ negation, not
~ tilde
− minus, minus sign, subtract
⁻ minus, superscript
∓ minus-or-plus, plus-minus
∕ division slash, slash, stroke, virgule
⁄ fraction slash, stroke, virgule
∗ asterisk operator, star
∘ composition, operator, ring operator
∙ bullet operator, operator
√ radical, radix, root, square, surd
∝ proportional, proportionality
∞ infinity, infinity sign
∟ mathematics, right angle
∠ acute, angle
∣ divides, divisor
∥ parallel
∧ ac, atque, logical and, wedge
∩ intersection, set
∪ collection, set, union
∫ calculus, integral
∬ calculus, double integral
∮ contour integral
∴ logic, therefore
∵ because, logic
∶ ratio
∷ proportion, proportionality
∼ operator, tilde operator
∽ reversed tilde, tilde
∾ inverted lazy s
≃ asymptote, asymptotically equal, mathematics
≅ approximately equal, congruence, equality, isomorphism, mathematics
≈ about, almost equal, approximate, approximation, around
≌ all equal, equality, mathematics
≒ approximately equal the image
≖ equality, mathematics, ring in equal
≡ exact, identical, identical to, triple
≣ equality, mathematics, strictly equivalent
≤ equal, equals, inequality, less than or equal to, less-than
≥ equal, equals, greater than or equal to, greater-than, inequality
≦ inequality, less-than over equal, mathematics
≧ greater-than over equal, inequality, mathematics
≪ inequality, mathematics, much less-than
≫ inequality, mathematics, much greater-than
≬ between
≳ greater-than equivalent, inequality, mathematics
≺ mathematics, precedes, set operator
≻ mathematics, set operator, succeeds
⊁ does not succeed, mathematics, set operator
⊂ set, subset, subset of
⊃ mathematics, set operator, superset
⊆ subset equal
⊇ equality, mathematics, superset equal
⊕ circled plus, plus
⊖ circled minus, erosion, symmetric difference
⊗ circled times, product, tensor
⊘ circled division slash, division-like, mathematics
⊙ circled dot operator, operator, XNOR
⊚ circled ring operator
⊛ asterisk, circled asterisk operator, operator
⊞ addition-like, mathematics, squared plus
⊟ mathematics, squared minus, subtraction-like
⊥ eet, falsum, tack, up tack
⊮ does not force
⊰ mathematics, precedes under relation, set operator
⊱ mathematics, set operator, succeeds under relation
⋭ does not contain as normal subgroup equal, group theory, mathematics
⊶ original
⊹ hermitian conjugate matrix, mathematics, self-adjoint matrix, square matrix
⊿ mathematics, right triangle, right-angled triangle
⋁ disjunction, logic, n-ary logical or
⋂ intersection, mathematics, n-ary intersection, set operator
⋃ mathematics, n-ary union, set operator, union
⋅ dot operator, operator
⋆ operator, star operator
⋈ binary operator, bowtie, natural join
⋒ double intersection, intersection, mathematics, set operator
⋘ inequality, mathematics, very much less-than
⋙ inequality, mathematics, very much greater-than
⋮ ellipsis, mathematics, vertical ellipsis
⋯ ellipsis, midline horizontal ellipsis
⋰ ellipsis, mathematics, up right diagonal ellipsis
⋱ down right diagonal ellipsis, ellipsis, mathematics
■ filled square
□ hollow square
▢ hollow square with rounded corners
▣ hollow square containing filled square
▤ square with horizontal fill
▥ square with vertical fill
▦ square orthogonal crosshatch fill
▧ square upper left lower right fill
▨ square upper right lower left fill
▩ square diagonal crosshatch fill
▬ filled rectangle
▭ hollow rectangle
▮ filled vertical rectangle
▰ filled parallelogram
▲ arrow, filled, filled up-pointing triangle, triangle, up
△ hollow up-pointing triangle
▴ filled up-pointing small triangle
▵ hollow up-pointing small triangle
▷ hollow right-pointing triangle
▸ filled right-pointing small triangle
▹ hollow right-pointing small triangle
► filled right-pointing pointer
▻ hollow right-pointing pointer
▼ arrow, down, filled, filled down-pointing triangle, triangle
▽ hollow down-pointing triangle
▾ filled down-pointing small triangle
▿ hollow down-pointing small triangle
◁ hollow left-pointing triangle
◂ filled left-pointing small triangle
◃ hollow left-pointing small triangle
◄ filled left-pointing pointer
◅ hollow left-pointing pointer
◆ filled diamond
◇ hollow diamond
◈ hollow diamond containing filled diamond
◉ circled dot, concentric cicles filled, fisheye, hollow circle containing filled circle, ward
◊ diamond, lozenge, rhombus
○ circle, hollow circle, ring
◌ dotted circle
◍ circle with vertical fill
◎ concentric circles, double circle, target
● circle, filled circle
◐ circle with left half filled
◑ circle with right half filled
◒ circle with lower half filled
◓ circle with upper half filled
◔ circle upper right quadrant filled
◕ circle all but upper left quadrant filled
◖ left half filled circle
◗ right half filled circle
◘ inverse bullet
◙ filled square containing hollow circle, inverse hollow circle
◜ upper left quadrant circular arc
◝ upper right quadrant circular arc
◞ lower right quadrant circular arc
◟ lower left quadrant circular arc
◠ upper half circle
◡ lower half circle
◢ filled lower right triangle
◣ filled lower left triangle
◤ filled upper left triangle
◥ filled upper right triangle
◦ hollow bullet
◯ circle, large hollow circle, ring
◳ hollow square upper right quadrant
◷ hollow circle with upper right quadrant
◿ lower right triangle
♪ eighth, music, note, quaver
⨧ plus subscript two
⨯ vector cross product
⨼ interior product
⩣ logical or double underbar
⩽ less-than slanted equal
⪍ less-than above similar equal
⪚ double-line equal greater-than, inequality, mathematics
⪺ succeeds above not almost equal
♭ bemolle, flat, music, note
♯ dièse, diesis, music, note, sharp
😀 face, grin, grinning face
😃 face, grinning face with big eyes, mouth, open, smile
😄 eye, face, grinning face with smiling eyes, mouth, open, smile
😁 beaming face with smiling eyes, eye, face, grin, smile
😆 face, grinning squinting face, laugh, mouth, satisfied, smile
😅 cold, face, grinning face with sweat, open, smile, sweat
🤣 face, floor, laugh, rofl, rolling, rolling on the floor laughing, rotfl
😂 face, face with tears of joy, joy, laugh, tear
🙂 face, slightly smiling face, smile
🙃 face, upside down, upside-down face
😉 face, wink, winking face
😊 blush, eye, face, smile, smiling face with smiling eyes
😇 angel, face, fantasy, halo, innocent, smiling face with halo
🥰 adore, crush, hearts, in love, smiling face with hearts
😍 eye, face, love, smile, smiling face with heart eyes, smiling face with heart-eyes
🤩 eyes, face, grinning, star, star-struck
😘 face, face blowing a kiss, kiss
😗 face, kiss, kissing face
☺ face, outlined, relaxed, smile, smiling face
😚 closed, eye, face, kiss, kissing face with closed eyes
😙 eye, face, kiss, kissing face with smiling eyes, smile
🥲 grateful, proud, relieved, smiling, smiling face with tear, tear, touched
😋 delicious, face, face savouring food, savouring, smile, yum
😛 face, face with tongue, tongue
😜 eye, face, joke, tongue, wink, winking face with tongue
🤪 eye, goofy, large, small, zany face
😝 eye, face, horrible, squinting face with tongue, taste, tongue
🤑 face, money, money-mouth face, mouth
🤗 face, hug, hugging
🤔 face, thinking
🤐 face, mouth, zip, zipper
🤨 distrust, face with raised eyebrow, sceptic, skeptic
😐 deadpan, face, meh, neutral
😑 expressionless, face, inexpressive, meh, unexpressive
😶 face, face without mouth, mouth, quiet, silent
😶‍🌫 absent-minded, face in clouds, face in the fog, head in clouds
😏 face, smirk, smirking face
😒 face, unamused, unhappy
🙄 eyeroll, eyes, face, face with rolling eyes, rolling
😬 face, grimace, grimacing face
😮‍💨 exhale, face exhaling, gasp, groan, relief, whisper, whistle
🤥 face, lie, lying face, pinocchio
😌 face, relieved
😔 dejected, face, pensive
😪 face, sleep, sleepy face
🤤 drooling, face
😴 face, sleep, sleeping face, zzz
😷 cold, doctor, face, face with medical mask, ill, mask, medicine, poorly, sick
🤒 face, face with thermometer, ill, poorly, sick, thermometer
🤕 bandage, face, face with head bandage, hurt, injury
🤢 face, nauseated, vomit
🤮 face vomiting, puke, sick, vomit
🤧 bless you, face, gesundheit, sneeze
🥶 blue-faced, cold, cold face, freezing, frostbite, icicles
🥴 dizzy, intoxicated, tipsy, uneven eyes, wavy mouth, woozy face
😵 dead, face, knocked out, knocked-out face
🤯 exploding head, mind blown, shocked
🤠 cowboy, cowgirl, face, hat
🥳 celebration, hat, horn, party, partying face
🥸 disguise, disguised face, face, glasses, incognito, nose
😎 bright, cool, face, smiling face with sunglasses, sun, sunglasses
🤓 face, geek, nerd
🧐 face with monocle, stuffy
😕 confused, face, meh
😟 face, worried
🙁 face, frown, slightly frowning face
☹ face, frown, frowning face
😮 face, face with open mouth, mouth, open, sympathy
😯 face, hushed, stunned, surprised
😲 astonished, face, shocked, totally
😳 dazed, face, flushed
🥺 begging, mercy, pleading face, puppy eyes
😦 face, frown, frowning face with open mouth, mouth, open
😧 anguished, face
😨 face, fear, fearful, scared
😰 anxious face with sweat, blue, cold, face, rushed, sweat
😥 disappointed, face, relieved, sad but relieved face, whew
😢 cry, crying face, face, sad, tear
😭 cry, face, loudly crying face, sad, sob, tear
😖 confounded, face
😣 face, persevere, persevering face
😞 disappointed, face
😓 cold, downcast face with sweat, face, sweat
😩 face, tired, weary
😫 face, tired
🥱 bored, tired, yawn, yawning face
😤 face, face with steam from nose, triumph, won
😡 angry, face, mad, pouting, rage, red
😠 anger, angry, face, mad
🤬 cursing, expletive, face with symbols on mouth, swearing
👿 angry face with horns, demon, devil, face, fantasy, imp
💀 death, face, fairy tale, monster, skull
☠ crossbones, death, face, monster, skull, skull and crossbones
💩 dung, face, monster, pile of poo, poo, poop
🤡 clown, face
👹 creature, face, fairy tale, fantasy, monster, ogre
👺 creature, face, fairy tale, fantasy, goblin, monster
👻 creature, face, fairy tale, fantasy, ghost, monster, spectre
👽 alien, creature, extraterrestrial, face, fantasy, ufo
👾 alien, creature, extraterrestrial, face, monster, ufo
🤖 face, monster, robot
😺 cat, face, grinning, mouth, open, smile
😸 cat, eye, face, grin, grinning cat with smiling eyes, smile
😹 cat, cat with tears of joy, face, joy, tear
😻 cat, eye, face, heart, love, smile, smiling cat face with heart eyes, smiling cat with heart-eyes
😼 cat, cat face with wry smile, face, ironic, smile, smirk, wry
😽 cat, eye, face, kiss, kissing cat
🙀 cat, face, oh, surprised, weary
😿 cat, cry, crying cat, face, sad, tear
😾 cat, face, pouting
🙈 evil, face, forbidden, monkey, see, see-no-evil monkey
🙉 evil, face, forbidden, hear, hear-no-evil monkey, monkey
🙊 evil, face, forbidden, monkey, speak, speak-no-evil monkey
💋 kiss, kiss mark, lips
💌 heart, letter, love, mail
💘 arrow, cupid, heart with arrow
💝 heart with ribbon, ribbon, valentine
💖 excited, sparkle, sparkling heart
💗 excited, growing, growing heart, nervous, pulse
💓 beating, beating heart, heartbeat, pulsating
💞 revolving, revolving hearts
💕 love, two hearts
💟 heart, heart decoration
❣ exclamation, heart exclamation, mark, punctuation
💔 break, broken, broken heart
❤‍🔥 burn, heart, heart on fire, love, lust, sacred heart
❤‍🩹 healthier, improving, mending, mending heart, recovering, recuperating, well
❤ heart, red heart
🧡 orange, orange heart
💛 yellow, yellow heart
💚 green, green heart
💙 blue, blue heart
💜 purple, purple heart
🤎 brown, heart
🖤 black, black heart, evil, wicked
🤍 heart, white
💯 100, full, hundred, hundred points, score
💢 anger symbol, angry, comic, mad
💥 boom, collision, comic
💫 comic, dizzy, spinning, spinning stars, star
💦 comic, splashing, sweat, sweat droplets
💨 comic, dash, dashing away, running
🕳 hole
💣 bomb, comic
💬 balloon, bubble, comic, dialogue, speech
👁‍🗨 eye, eye in speech bubble, speech bubble, witness
🗨 dialogue, speech
🗯 angry, balloon, bubble, mad, right anger bubble
💭 balloon, bubble, comic, thought
💤 comic, sleep, sleeping, sleepy, zzz
👋 hand, wave, waving
🤚 backhand, raised, raised back of hand
🖐 finger, hand, hand with fingers splayed, splayed
✋ hand, high 5, high five, raised hand
👌 hand, OK, perfect
🤌 fingers, hand gesture, interrogation, pinched, sarcastic
🤏 pinching hand, small amount
✌ hand, peace hand, peace sign, v, v sign, victory
🤞 cross, crossed fingers, finger, hand, luck
🤟 hand, ILY, love you gesture, love-you gesture
🤘 finger, hand, horns, rock on
👈 backhand, backhand index pointing left, finger, hand, index, point
👉 backhand, backhand index pointing right, finger, hand, index, point
👆 backhand, backhand index pointing up, finger, hand, point, up
🖕 finger, hand, middle finger
👇 backhand, backhand index pointing down, down, finger, hand, point
☝ finger, hand, index, index pointing up, point, up
👍 +1, hand, thumb, thumbs up, up
👎 -1, down, hand, thumb, thumbs down
✊ clenched, fist, hand, punch, raised fist
👊 clenched, fist, hand, oncoming fist, punch
🤛 fist, left-facing fist, leftward
🤜 fist, right-facing fist, rightward
👏 clap, clapping hands, hand
🙌 celebration, gesture, hand, hooray, raised, raising hands, woo hoo, yay
👐 hand, open, open hands
🤲 palms up together, prayer
🤝 agreement, hand, handshake, meeting, shake
🙏 ask, folded hands, hand, high 5, high five, please, pray, thanks
✍ hand, write, writing hand
💅 care, cosmetics, manicure, nail, polish
🤳 camera, phone, selfie
💪 biceps, comic, flex, flexed biceps, muscle
🦾 accessibility, mechanical arm, prosthetic
🦿 accessibility, mechanical leg, prosthetic
🦵 kick, leg, limb
🦶 foot, kick, stomp
👂 body, ear
