{ accolade, accolade ouvrante, accolades
🤗 câlin, visage, visage heureux et câlin
🤭 main sur la bouche, Oups, visage, visage avec une main sur la bouche
🤫 chut, doigt sur la bouche, silence, visage, visage avec un doigt sur la bouche
🤔 réflexion, visage, visage en pleine réflexion
🤐 bouche, bouche cousue, fermeture à glissière, visage, visage avec bouche fermeture éclair
🤨 méfiant, sceptique, visage avec les sourcils relevés
😐 impassible, neutre, visage
😑 inexpressif, neutre, sans expression, visage, visage sans expression
😶 muet, sans bouche, silence, silencieux, visage, visage sans bouche
😶‍🌫 brouillard, dans les nuages, distrait, visage dans le brouillard, visage dans les nuages
😏 malin, sourire, visage, visage au sourire malin
😒 contrarié, désabusé, pas content, résigné, visage
🙄 roule des yeux, visage, visage qui roule des yeux, yeux
😬 grimace, visage, visage grimaçant
😮‍💨 chuchoter, expiration, siffler, soulagement, sursaut, visage expirant
🤥 mensonge, menteur, pinocchio, visage, visage de menteur
😌 soulagé, soulagement, visage
😔 déçu, pensif, visage
😪 endormi, sommeil, visage
🤤 bave, baver, salive, saliver, visage, visage qui bave
😴 endormi, sommeil, visage, visage somnolent, zzz
😷 docteur, froid, malade, masque, médical, visage, visage avec masque
🤒 indisposé, malade, thermomètre, visage, visage avec thermomètre
🤕 bandage, blessé, blessure, visage, visage bandé
🤢 écœuré, nausée, visage
🤮 malade, visage qui vomit, vomi, vomissure
🤧 atchoum, éternuement, éternuer, rhume, visage, visage qui éternue
🥵 canicule, chaud, fièvre, rouge, sueur, visage, visage rouge et chaud
🥶 bleu, froid, gelé, gelure, glacial, visage, visage bleu et froid
🥴 bouche ondulée, dans les vapes, hébété, pompette, rond, visage abruti, visage éméché
😵 inconscient, mort, visage
😵‍💫 confusion, étourdi, hagard, tête qui tourne, visage avec yeux en spirale
🤯 choqué, tête qui explose
🤠 chapeau, cowboy, visage, visage avec chapeau de cowboy
🥳 célébration, chapeau, fête, sifflet, visage, visage festif
🥸 déguisement, faux nez, incognito, lunettes, postiche, visage déguisé
😎 cool, intelligent, soleil, visage, visage souriant avec des lunettes de soleil
🤓 geek, lunettes, nerd, tronche, visage, visage de tronche
🧐 monocle, sérieux, visage, visage avec un monocle
😕 confus, visage
😟 inquiet, visage
🙁 mécontent, visage, visage légèrement mécontent
☹ mécontent, visage
😮 bouche ouverte, compassion, visage, visage épaté
😯 ébahi, sans voix, stupéfait, surpris, visage
😲 choqué, étonné, stupéfait, surpris, visage
😳 rouge, rougissant, visage, visage qui rougit
🥺 implorant, pitié, supplication, visage, yeux de chiot
😦 béante, bouche, ouverte, renfrogné, visage, visage mécontent avec bouche ouverte
😧 angoisse, visage, visage angoissé
😨 apeuré, effrayé, peur, visage
😰 anxieux, bleu, froide, sueur, visage, visage inquiet et en sueur
😥 déçu, fiou, soulagé, visage, visage triste mais soulagé
😢 larmes, pleure, triste, visage, visage qui pleure
😭 chaudes larmes, pleure, sanglot, triste, visage, visage qui pleure à chaudes larmes
😱 cri, munch, peur, terreur, visage, visage qui hurle de peur
😖 déconcerté, visage
😣 persévérant, visage
😞 déçu, visage
😓 froide, sueur, triste, visage, visage triste et en sueur
😩 épuisé, fatigué, visage
😫 fatigue, visage, visage fatigué
🥱 bâiller, ennui, fatigue, visage bâillant
😤 énervé, fumée, triomphe, victoire, visage, visage avec fumée sortant des narines
😡 boudeur, énervé, furieux, rouge, visage
😠 en colère, furieux, visage, visage en colère
🤬 bipé, blasphème, censuré, sacre, visage, visage avec des symboles dans la bouche
😈 cornes, fantastique, sourire, visage, visage souriant avec des cornes
👿 cornes, démon, diable, diablotin, en colère, visage, visage en colère avec des cornes
💀 crâne, fantastique, monstre, mort, visage
☠ crâne, mort, os, tête, tête de mort
💩 caca, crotte, marde, merde, tas de crotte, visage
🤡 clown, visage, visage de clown
👹 créature, fantastique, monstre, ogre, visage
👺 créature, fantastique, gobelin, monstre, visage
👻 créature, fantastique, fantôme, monstre, visage
👽 alien, créature, extraterrestre, fantastique, ovni, visage
👾 alien, créature, extraterrestre, monstre, monstre de l’espace, ovni, visage
🤖 monstre, robot, visage
😺 bouche, chat, chat qui sourit, ouverte, sourire, visage
😸 chat, chat qui sourit avec des yeux rieurs, sourire, visage, yeux rieurs
😹 chat, chat qui pleure de joie, joie, larmes, sourire, visage
😻 amoureux, chat, chat souriant aux yeux en cœurs, sourire, visage, yeux en forme de cœurs
😼 chat, chat avec sourire en coin, en coin, ironique, sourire, visage
😽 baiser, bec, bisou, chat, chat qui fait un bisou, visage
🙀 chat, chat fatigué, étonné, inquiet, surpris, visage
😿 chat, chat qui pleure, larmes, pleure, triste, visage
😾 chat, chat qui boude, colère, furieux, visage
🙈 aveugle, rien de mal, singe, singe ne rien voir, visage, yeux couverts
🙉 oreilles couvertes, rien de mal, singe, singe ne rien entendre, sourd, visage
🙊 bouche couverte, muet, rien de mal, singe, singe ne rien dire, visage
💋 baiser, lèvres, rouge, trace de rouge à lèvres
💌 amour, cœur, lettre, lettre d’amour
💘 cœur, cœur et flèche, cupidon, flèche
💝 cœur, cœur avec ruban, ruban, saint valentin, st valentin
💖 cœur, enthousiaste, étincelant
💗 cœur, grandissant, nerveux, pouls, pulsations
💓 battant, battement, cœur, pulsations
💞 cœurs, cœurs qui tournent
💕 amour, deux cœurs
💟 cœur, décoration, décoration avec cœur
❣ cœur, cœur point d’exclamation, exclamation, point
💔 brisé, cœur
❤‍🔥 amour, cœur en feu, désir, feu, passion
❤‍🩹 cœur avec bandages, en convalescence, réconforter, récupérer, soigner
❤ cœur, rouge
🧡 cœur, orange
💛 cœur, jaune
💚 cœur, vert
💙 bleu, cœur
💜 cœur, violet
🤎 brun, cœur
🖤 cœur noir, noir
🤍 blanc, cœur blanc
💯 cent, cent points, marque, score
💢 bande dessinée, colère, furieux, symbole, symbole de colère
💥 bande dessinée, collision, explosion
💫 bande dessinée, étourdissement, tournis
💦 bande dessinée, éclaboussure, goutte, gouttes de sueur, sueur
💨 bande dessinée, décamper, filer, fuir, s’enfuir, se sauver
🕳 trou
💣 bande dessinée, bombe
💬 bande dessinée, bulle, bulle de parole, dialogue, parole
👁‍🗨 bulle, œil, œil dans une bulle de parole, parole, témoin
🗨 à gauche, bande dessinée, bulle, bulle de parole à gauche, dialogue, parole
🗯 à droite, bande dessinée, bulle, bulle de colère à droite, dialogue, parole
💭 bande dessinée, bulle, bulle de pensée, pensée
💤 dormir, endormi, ronfler, zzz
👋 coucou, main, signe, signe de la main
🤚 dos de main, dos de main levée, levée, main
🖐 doigts écartés, main, main aux doigts écartés
✋ levée, main
🖖 main, salut, spock, vulcain
👌 main, ok, OK
🤌 geste de la main, interrogation, main qui interroge, sarcastique
🤏 petite quantité, petite somme, peu, pouce et index rapprochés, un peu
✌ ciseaux, V de la victoire, victoire
🤞 chance, croisés, doigts, main
🤟 amour, je t’aime, main, signe, signe je t’aime
🤘 cornes, cornes avec les doigts, doigts, main, rock
🤙 appel, appelle-moi, main, signe, téléphone
👈 dos de la main avec index pointant vers la gauche, gauche, index, main, main avec index pointant à gauche
👉 dos de la main avec index pointant vers la droite, droite, index, main, main avec index pointant à droite
👆 dos de la main avec index pointant vers le haut, haut, index, main, main avec index pointant vers le haut
🖕 doigt d’honneur, main, majeur
👇 bas, dos de la main avec index pointant vers le bas, index, main, main avec index pointant vers le bas
☝ index pointant vers le haut
👍 génial, OK, oui, pouce vers le haut, super
👎 négatif, non, nul, pouce vers le bas
✊ levé, main, pierre, poing
👊 coup de poing, main, poing, poing de face
🤛 gauche, poing, poing à gauche
🤜 droite, poing, poing à droite
👏 applaudissements, bravo, main
🙌 air, célébration, geste, hourra, levées, mains
👐 main, mains ouvertes, ouvertes
🤲 moins jointes, paume contre paume, paume contre paume doigts vers le haut, prière
🤝 accord, main, poignée, poignée de main, présentation, rencontre
🙏 mains, mains en prière, merci, moins jointes, prière, svp
✍ écrire, main, main qui écrit
💅 manucure, maquillage, ongle, vernis, vernis à ongles
🤳 appareil photo, autophoto, selfie, téléphone
💪 biceps, contracté, corps, muscle
🦾 accessibilité, bras, bras mécanique, prothèse
🦿 accessibilité, jambe, jambe mécanique, prothèse
🦵 coup de pied, jambe, membre
🦶 coup de pied, pas lourd, pied
👂 corps, oreille
🦻 accessibilité, malentendant, oreille appareillée, prothèse auditive
👃 corps, nez
🧠 cerveau, intelligent
🫀 battement de coeur, cardiologie, cœur, organe, pouls
🫁 expiration, inspiration, organe, poumons, respiration, respirer
🦷 dent, dentiste
🦴 os, squelette
👀 corps, œil, visage, yeux
👁 corps, œil
👅 corps, langue
👄 bouche, corps, lèvres
👶 bébé, petit
🧒 enfant, genre non défini, jeune
👦 garçon, jeune
👧 fille, jeune, vierge, zodiaque
🧑 adulte, genre non défini, personne
👱 blond, personne blonde
👨 adulte, homme
🧔 barbe, barbu, homme barbu, personne, personne barbue
🧔‍♂ barbe, homme, homme barbu
👱‍♂ blond, homme
👩 adulte, femme
🧔‍♀ femme barbue
👱‍♀ blonde, femme
🧓 adulte, âgée, genre non défini, personne
👴 adulte, âgé, homme
👵 adulte, âgée, femme
🙍 froncer, mécontente, personne, sourcils
🙍‍♂ froncement, geste, homme, homme fronçant les sourcils, sourcils
🙍‍♀ femme, femme fronçant les sourcils, froncement, geste, sourcils
🙎 baboune, bouder, geste, moue, personne qui boude
🙎‍♂ baboune, boude, geste, homme, homme qui boude, moue
🙎‍♀ baboune, boude, femme, femme qui boude, geste, moue
🙅 désaccord, Geste de négation, interdit, main, négation
🙅‍♂ désaccord, homme, homme faisant un geste de négation, interdit, main, négation
🙅‍♀ désaccord, femme, femme faisant un geste de négation, interdit, main, négation
🙆 accord, affirmation, geste d’affirmation, main, OK
🙆‍♂ accord, affirmation, homme, homme faisant un geste d’affirmation, main, OK
🙆‍♀ accord, affirmation, femme, femme faisant un geste d’affirmation, main, OK
💁 aide, information, main, personne au guichet, personne paume vers le haut
💁‍♂ aide, assistant, concierge, guichetier, homme, information, réceptionniste
💁‍♀ aide, assistante, concierge, femme, guichetière, information, réceptionniste
🙋 content, geste, levée, main, personne qui lève la main
🙋‍♂ geste, homme, homme qui lève la main, main levée
🙋‍♀ femme, femme qui lève la main, geste, main levée
🧏 accessibilité, entendre, malentendant, oreille, personne sourde, sourd
🧏‍♂ accessibilité, entendre, homme sourd, malentendant, oreille, sourd
🧏‍♀ femme, malentendante, sourde
🙇 courbette, désolé, excuses, incliné, personne qui s’incline
🙇‍♂ courbette, désolé, excuses, homme, homme qui s’incline, incliné
🙇‍♀ courbette, désolée, excuses, femme, femme qui s’incline, homme qui s’incline, inclinée
🤦 exaspération, incroyable, main, personne avec paume de la main sur le visage, visage
🤦‍♂ exaspération, homme, homme avec paume de la main sur le visage, incroyable, main, visage
🤦‍♀ exaspération, femme, femme avec paume de la main sur le visage, incroyable, main, visage
🤷 doute, haussement d’épaules, ignorance, indifférence, personne qui hausse les épaules
🤷‍♂ haussement, homme, homme qui hausse les épaules, ignorance, indifférence
🤷‍♀ femme, femme qui hausse les épaules, haussement, ignorance, indifférence
🧑‍⚕ docteur, infirmier, médecin, professionnel de la santé, professionnel de la santé (tous genres), santé, thérapeute
👨‍⚕ docteur, homme, infirmier, professionnel de la santé, professionnel de la santé homme, santé
👩‍⚕ docteur, docteure, femme, infirmière, professionnelle de la santé, santé
🧑‍🎓 diplômé, étudiant, étudiant universitaire
👨‍🎓 diplômé, étudiant, homme
👩‍🎓 diplômée, étudiante, femme
🧑‍🏫 enseignant, instituteur, professeur
👨‍🏫 enseignant, homme, instituteur, instructeur, professeur
👩‍🏫 enseignante, femme, institutrice, instructrice, professeure
🧑‍⚖ balance, juge
👨‍⚖ balance, homme, juge, justice
👩‍⚖ balance, femme, juge
🧑‍🌾 agriculteur, fermier, jardinier
👨‍🌾 agriculteur, fermier, homme, jardinier
👩‍🌾 agricultrice, femme, fermière, jardinière
🧑‍🍳 chef
👨‍🍳 chef, cuisinier, homme
👩‍🍳 chef, cuisinière, femme
🧑‍🔧 électricien, mécanicien, ouvrier, plombier
👨‍🔧 électricien, homme, mécanicien, mécanique, plombier
👩‍🔧 électricienne, femme, mécanicienne, mécanique, plombier
🧑‍🏭 assemblage, industrie, ouvrier, ouvrier (tous genres), ouvrière, travailleur d’usine, usine
👨‍🏭 assemblage, homme, industrie, ouvrier, usine
👩‍🏭 assemblage, femme, industrie, ouvrière, usine
🧑‍💼 affaires, architecte, cadre, col blanc, employé de bureau
👨‍💼 affaires, architecte, bureau, employé de bureau, employé de bureau homme, homme
👩‍💼 affaires, architecte, bureau, employée de bureau, femme
🧑‍🔬 biologiste, chimiste, ingénieur, physicien, scientifique
👨‍🔬 biologiste, chimiste, homme, physicien, scientifique
👩‍🔬 biologiste, chimiste, femme, physicienne, scientifique
🧑‍💻 développeur, homme, informaticien, logiciels, technologie
👨‍💻 développeur, homme, informaticien, logiciels, technologie
👩‍💻 développeuse, femme, informaticienne, logiciels, technologie
🧑‍🎤 acteur, artiste, chanteur, rock, vedette
👨‍🎤 artiste, chanteur, homme, rock, vedette
👩‍🎤 artiste, chanteuse, femme, rock, vedette
🧑‍🎨 artiste, palette
👨‍🎨 artiste, homme, peintre
👩‍🎨 artiste, femme, peintre
🧑‍✈ avion, pilote
👨‍✈ avion, homme, pilote
👩‍✈ avion, femme, pilote
🧑‍🚀 astronaute, fusée
👨‍🚀 astronaute, espace, fusée, homme
👩‍🚀 astronaute, espace, femme, fusée
🧑‍🚒 camion de pompier, pompier
👨‍🚒 camion de pompiers, homme, pompier
👩‍🚒 camion de pompiers, femme, pompier
👮 flic, officier, officier de police, police, policier
👮‍♂ flic, homme, officier, police, policier
👮‍♀ femme, flic, officier, police, policière
🕵 détective, enquêteur, espion
🕵‍♂ détective, enquêteur, espion, homme
🕵‍♀ détective, enquêteuse, enquêtrice, espionne, femme
💂 garde
💂‍♂ garde, homme
💂‍♀ femme, garde
🥷 furtif, guerrier, masqué, ninja
👷 bâtiment, casque, ouvrier, personnel du bâtiment
👷‍♂ bâtiment, homme, ouvrier, ouvrier du bâtiment
👷‍♀ bâtiment, femme, ouvrière, ouvrière du bâtiment
🤴 prince
👸 conte de fées, fantastique, princesse
👳 personne en turban, turban
👳‍♂ homme, homme en turban, turban
👳‍♀ femme, femme en turban, turban
👲 calotte chinoise, chapeau, gua pi mao, homme, homme coiffé d’une calotte chinoise
🧕 femme avec foulard, foulard, hijab, mantilla, tichel
🤵 marié, personne, personne en smoking, smoking
🤵‍♂ homme, homme en smoking, smoking
🤵‍♀ femme, femme en smoking, smoking
👰 mariage, mariée, personne avec voile, voile
👰‍♂ homme, homme avec voile, voile
👰‍♀ femme, femme avec voile, voile
🤰 enceinte, femme
🤱 allaitement, bébé, sein, soins
👩‍🍼 allaitement, bébé, biberon, femme, femme allaitant un bébé
👨‍🍼 allaitement, bébé, biberon, homme, homme allaitant un bébé
🧑‍🍼 allaitement, bébé, biberon, personne, personne allaitant un bébé
👼 ange, bébé, fantastique, visage
🎅 célébration, fête, Noël, père
🤶 célébration, fête, mère, Noël
🧑‍🎄 Noël, personnage de Noël
🦸 gentil, héroïne, héros, super pouvoirs, superhéros
🦸‍♂ super-héros
🦸‍♀ bien, femme, héroïne, héros, super pouvoir, super-héroïne
🦹 criminel, mal, méchant, super-pouvoir, super-vilain
🦹‍♂ criminel, homme, mal, méchant, super pouvoir, super-vilain homme
🦹‍♀ criminelle, femme, mal, méchante, super pouvoir, super-vilain femme
🧙 enchanteur, mage, magicien, sorcier, sorcière
🧙‍♂ enchanteur, homme, mage, magicien, sorcier
🧙‍♀ enchanteresse, femme, mage, magicienne, sorcière
🧚 fée, personnage féérique
🧚‍♂ féetaud, homme
🧚‍♀ fée, femme
🧛 Dracula, mort-vivant, vampire
🧛‍♂ Dracula, homme, mort-vivant, vampire
🧛‍♀ femme, morte-vivante, vampire
🧜 créature aquatique, sirène, triton
🧜‍♂ triton
🧜‍♀ sirène
🧝 elfe, magique
🧝‍♂ elfe, homme, magique
🧝‍♀ elfe, femme, magique
🧞 djinn, génie
🧞‍♂ djinn, génie, homme
🧞‍♀ djinn, femme, génie
🧟 mort-vivant, zombie
🧟‍♂ homme, mort-vivant, zombie
🧟‍♀ femme, morte-vivante, zombie
💆 massage, personne qui se fait masser, salon, visage
💆‍♂ homme, homme qui se fait masser, massage, visage
💆‍♀ femme, femme qui se fait masser, massage, visage
💇 barbier, beauté, coiffure, personne qui se fait couper les cheveux, salon
💇‍♂ homme qui se fait couper les cheveux
💇‍♀ femme qui se fait couper les cheveux
🚶 personne qui marche, piéton, randonnée
🚶‍♂ homme, homme qui marche, marche, piéton, randonnée
🚶‍♀ femme, femme qui marche, marche, piétonne, randonnée
🧍 debout, personne debout
🧍‍♂ debout, homme
🧍‍♀ debout, femme
🧎 à genoux, personne à genoux
🧎‍♂ à genoux, homme, homme à genoux
🧎‍♀ à genoux, femme, femme à genoux
🧑‍🦯 accessibilité, aveugle, aveugle avec canne
👨‍🦯 accessibilité, aveugle, déficient visuel, homme, homme avec canne blanche, malvoyant
👩‍🦯 accessibilité, aveugle, déficiente visuelle, femme, femme avec canne blanche, malvoyante
🧑‍🦼 accessibilité, fauteuil roulant, personne en fauteuil motorisé, personne en fauteuil roulant
👨‍🦼 accessibilité, fauteuil roulant, homme, homme en fauteuil motorisé
👩‍🦼 accessibilité, fauteuil roulant, femme, femme en fauteuil motorisé
🧑‍🦽 accessibilité, fauteuil roulant, personne en fauteuil roulant manuel
👨‍🦽 accessibilité, fauteuil roulant, homme, homme en fauteuil roulant manuel
👩‍🦽 accessibilité, fauteuil roulant, femme, femme en fauteuil roulant manuel
🏃 coureur, course à pied, jogging, marathon, personne qui court
🏃‍♂ homme qui court
🏃‍♀ femme qui court
💃 danse, danseuse, femme
🕺 danse, danseur, homme
🕴 affaires, complet, homme, homme d’affaires en lévitation, lévitation
👯 danseuse, femme, fille, oreilles, personnes qui portent des oreilles de lapin
👯‍♂ danseur, fête, homme, hommes qui portent des oreilles de lapin, oreilles de lapin
👯‍♀ danseuse, femme, femmes qui portent des oreilles de lapin, fête, oreilles de lapin
🧖 hammam, personne dans un bain de vapeur, sauna
🧖‍♂ hammam, homme dans un bain de vapeur, sauna
🧖‍♀ femme dans un bain de vapeur, hammam, sauna
🧗 alpiniste, grimpeur, personne qui grimpe
🧗‍♂ alpiniste, grimpeur, homme qui grimpe
🧗‍♀ alpiniste, femme qui grimpe, grimpeuse
🤺 duel, épée, escrime, escrimeur, personne
🏇 chevaux, course, hippique, jockey
⛷ ski, skier, skieur, sport
🏂 neige, planche de neige, planchiste, ski
🏌 balle, golf, joueur de golf
🏌‍♂ golf, golfeur, homme
🏌‍♀ femme, golf, golfeuse
🏄 personne, personne qui fait du surf, surf
🏄‍♂ homme, surf, surfeur
🏄‍♀ femme, surf, surfeuse
🚣 barque, bateau, personne, personne qui rame dans une barque, ramer
🚣‍♂ barque, bateau, homme, rameur, rameur dans une barque
🚣‍♀ barque, bateau, femme, rameuse, rameuse dans une barque
🏊 nager, natation, personne qui nage
🏊‍♂ homme, nage, nageur
🏊‍♀ femme, nage, nageuse
⛹ ballon, personne qui fait rebondir un ballon, rebond, rebondir
⛹‍♂ ballon, homme, homme qui fait rebondir un ballon, rebond, rebondir
⛹‍♀ ballon, femme, femme qui fait rebondir un ballon, rebond, rebondir
🏋 haltère, haltérophile, haltérophilie, levée, lever, poids
🏋‍♂ haltère, haltérophile, homme, levée, lever, poids
🏋‍♀ femme, haltère, haltérophile, levée, lever, poids
🚴 bicyclette, cyclisme, cycliste, faire du vélo, personne, vélo
🚴‍♂ bicyclette, cycliste, faire du vélo, homme, vélo
