{ કૌંસ, ખુલ્લો છગડિયો કૌંસ, છગડિયો કૌંસ
= બરાબર, સરખું
≠ અસમાન, બરાબર નહીં
> -થી મોટું, ટેગ, પૂરો થતો ટેગ
¬ નકાર, નહિ, નહીં, નિગેશન
| ઊભી લાઇન, પાઇપ, બાર, શેફર સ્ટ્રોક, સ્ટ્રોક
~ ઝૂલતો ડેશ
− ઓછા, ઓછાની નિશાની, બાદબાકી
⁻ બાદબાકી, સુપરસ્ક્રિપ્ટ
√ આમૂલ, કરણી, ચોરસ, મૂળ, મૂળાક્ષર, વર્ગમૂળ
∞ અનંત, અનંત ચિહ્ન
∩ આંતરછેદ, સેટ
∪ મેળ, સમૂહ, સેટ
≈ અંદાજ, અંદાજિત, અંદાજે, મોટાભાગે સરખું
≡ આનાથી સમાન, ચોક્કસ, ત્રણગણું, સમાન
≤ -થી નાનું, -થી નાનું કે બરાબર, અસમાન, બરાબર, સમાન, સરખું
≥ -થી મોટું, -થી મોટું કે બરાબર, અસમાન, બરાબર, સમાન, સરખું
⊂ આનું સબસેટ, સબસેટ, સેટ
▲ ઉપર, તીર, ત્રિકોણ, ભરેલું, રંગથી ભરેલું ઉપર નિર્દેશી ત્રિકોણ
▼ તીર, ત્રિકોણ, નીચે, ભરેલું, રંગથી ભરેલું નીચે નિર્દેશી ત્રિકોણ
◊ ચતુષ્કોણ, રોમ્બ્સ, હીરા આકાર
○ પોલું વર્તુળ, રિંગ, વર્તુળ
● રંગથી ભરેલું વર્તુળ, વર્તુળ
◯ મોટું પોલું વર્તુળ, રિંગ, વર્તુળ
♪ આઠમો, નોટ, મ્યુઝિક, સંગીત, સૂર
♭ મંદ, મંદ સૂર, મ્યુઝિક, સંગીત
♯ તીવ્ર, મ્યુઝિક, સંગીત, સૂર, સ્વર
😀 ચહેરો, સ્મિત, સ્મિત કરતો ચહેરો
😃 ખુલ્લા મોં સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લું, ચહેરો, મોટી આંખો સાથે સ્મિત કરતો ચહેરો, સ્મિત
😄 આંખ, ખુલ્લા મોં અને હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લું, ચહેરો, મોં, સ્મિત, હસતી આંખો સાથે સ્મિત કરતો ચહેરો
😁 આંખ, ચહેરો, સ્મિત, હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો, હસવું
😆 ખુલ્લા મોં અને ચુસ્તપણે બંધ આંખો સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લા મોંએ હાસ્ય, ખુલ્લું મોઢું, ચહેરો, બંધ આંખો, બંધ આંખો સાથેનું હાસ્ય
😅 ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લો, ચહેરો, ઠંડો, પરસેવો, પરસેવો સાથે સ્મિત કરતો ચહેરો, સ્મિત
🤣 ચહેરો, જમીન, જમીન પર લોટીને હસવું, લોટવું, હસવું
😂 અશ્રુ, આનંદ, ચહેરો, હર્ષના આંસુ સાથેનો ચહેરો, હાસ્ય
🙂 ચહેરો, મુખ, સહેજ સ્મિત કરતો ચહેરો, સ્મિત, હાસ્ય
🙃 ઊંધો, ચહેરો, મુખ
😉 આંખ મારતો ચહેરો, આંખ મારવી, ચહેરો
😊 ચહેરો, હસતી આંખો, હસતો ચહેરો, હસતો ચહેરો અને આંખો, હસ્તી આંખો સાથેનો સ્મિત કરતો ચહેરો, હાસ્ય
😇 ચહેરો, પ્રભાવલય, પ્રભાવલય સાથેનું હાસ્ય, પ્રભાવલય સાથેનો સ્મિત કરતો ચહેરો, મુખ, હાસ્ય
🥰 ક્રશ, પૂજવું, પ્રેમમાં, હૃદય, હૃદય સાથે હસતાં ચહેરો, હૃદય સાથે હસતો ચહેરો
😍 આંખો, ચહેરો, પ્રેમ, સ્મિત, હૃદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો, હ્રદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો
🤩 આંખો, ચહેરો, સ્ટાર, સ્ટાર સ્ટ્રક, સ્ટાર-સ્ટ્રક
😘 ચહેરો, ચુંબન, ચુંબન ઉછાળતો ચહેરો
😗 ચહેરો, ચુંબન, ચુંબન કરતો ચહેરો
☺ ચહેરો, બિન-ભરેલો સ્માઇલી ચહેરો, મુખ, સ્માઇલી, હસતો ચહેરો
😚 આંખ, ચહેરો, ચુંબન, બંધ, બંધ આંખો સાથે ચુંબન કરતો ચહેરો
😙 આંખો, ચહેરો, ચુંબન, હસતી આંખો સાથેનો ચુંબન કરતો ચહેરો, હાસ્ય
🥲 આભારી, આંસુ, આંસુ આવી જાય તેટલું હસતો ચહેરો, ગર્વ, રાહત, હસતો, હૃદય પીગળવું । લાગણીવશ થવું
😋 ચહેરો, યમ યમ મસ્ત, સ્વાદિષ્ટ, સ્વાદિષ્ટ ભોજન, સ્વાદિષ્ટના ભાવવાળો ચહેરો, હસતો ચહેરો
😛 ચહેરો, જીભ, જીભ બહાર કાઢેલો ચહેરો, બહાર કાઢેલી જીભ સાથેનો ચહેરો
😜 આંખ, આંખ મારવાની સાથે જીભ બહાર કાઢતો ચહેરો, આંખ મારવી, ચહેરો, જીભ, જીભ સાથે આંખ મારતો ચહેરો, મજાક
🤪 અક્કલમઠ્ઠો, આંખો, ઉન્મત ચહેરો, ઉન્મત્ત ચહેરો
😝 આંખ, ચહેરો, ચુસ્તપણે બંધ આંખો સાથે જીભ બહાર કાઢતો ચહેરો, જીભ, જીભ સાથે ચુસ્તપણે બંધ આંખોવાળો ચહેરો, ભયાનક, સ્વાદ
🤑 ચહેરો, ધન, ધનવાળો ચહેરો, મુખ
🤗 આલિંગન, આલિંગન કરતો ચહેરો, આલિંગન કરવું, ચહેરો
🤭 મોં પર હાથ મૂકેલો ચહેરો
🤫 ચૂપ કરતો ચહેરો, શ્શ્શ
🤔 ચહેરો, વિચાર કરતો, વિચારશીલ ચહેરો
🤐 ચહેરો, ઝિપથી બંધ કરેલો મોઢું, મુખ, મોઢા પર ઝિપ સાથેનો ચહેરો
🤨 ઊંચી ભ્રમર સાથેનો ચહેરો
😐 કોઈ ટિપ્પણી નહીં, ચહેરો, તટસ્થ, ભાવશૂન્ય
😑 અકથનીય ચહેરો, કોઈ ટિપ્પણી નહીં, ચહેરો, ભાવશૂન્ય ચહેરો, મુખ, હાવભાવવિહીન
😶 ચહેરો, મુખ, મોંઢા વગરનો, મોંઢા વગરનો ચહેરો
😶‍🌫 ધુમ્મસમાં ચહેરો, વાદળમાં ચહેરો, વાદળોમાં ચહેરો, શૂન્યમનસ્ક
😏 કૃત્રિમ, કૃત્રિમ હસતો ચહેરો, ચહેરો
😒 ચહેરો, દુઃખી, નાખુશ
🙄 આંખો, આંખો ફેરવતો ચહેરો, ચહેરો, ફેરવવું
😬 ચહેરો, ચેનચાળા, ચેનચાળા કરતો ચહેરો
😮‍💨 કણસવું, ગુસપુસ, રાહત, શ્વાસ છોડતો ચહેરો, શ્વાસ છોડવો, સીટી, હાંફવું
🤥 ખોટું, ખોટું બોલવાવાળો ચહેરો, ચહેરો
😌 ચહેરો, રાહતના ભાવવાળો ચહેરો, રાહતવાળો ચહેરો
😔 ચહેરો, નાસીપાસ, વિચારગ્રસ્ત
😪 ઊંઘતું, ઊંઘતો ચહેરો, ચહેરો
🤤 ચહેરો, લાળ, લાળ ટપકવાવાળો ચહેરો
😴 ચહેરો, નિંદ્રાધીન ચહેરો, નિદ્રામાં, નિદ્રામાંનો ચહેરો
😷 ચહેરો, ઠંડો, તબીબી માસ્ક, માસ્ક, માસ્કવાળો ચહેરો, હવામાન હેઠળ
🤒 ચહેરો, થર્મોમીટર, થર્મોમીટર સાથેનો ચહેરો, બીમાર, માંદું, મુખ
🤕 ઈજા, ઘા, ચહેરો, પટ્ટી, માથે પટ્ટીવાળો ચહેરો, મુખ
🤢 ઊલટી, ચહેરો, ચીતરી ચડેલો, ચીતરી ચડેલો ચહેરો
🤮 ઉલટી કરતો ચહેરો
🤧 ચહેરો, છીંક, છીંક ખાતો ચહેરો
🥵 લાલચોળ ચહેરો
🥶 ઠંડો, ઠંડો ચહેરો, થીજાવવું, ફ્રોસ્ટબાઇટ, ભૂરો પડી ગયેલો ચહેરો, લટકતો હિમકણ
🥴 અસ્થિર આંખો, ચક્કર, નશો કરેલ, પીધેલ, વાંકુ થતું મોઢું, વોઝી ચહેરો
😵 ચક્કર, ચક્કર આવતો ચહેરો, ચહેરો
😵‍💫 ઓહ, ચક્કર, મુશ્કેલી, સંમોહિત, સર્પાકાર, સર્પાકાર આંખોવાળો ચહેરો
🤯 ફાટતું માથું
🤠 કાઉગર્લ, કાઉબૉય, કાઉબૉય હૅટવાળો ચહેરો, ચહેરો, હૅટ
🥳 પાર્ટી કરતો ચહેરો
🥸 અજ્ઞાત વેશે, ચશ્માં, ચહેરો, નાક, બનાવટી દેખાવ, બનાવટી દેખાવવાળો ચહેરો, વેષધારી
😎 કૂલ, ચહેરો, તેજસ્વી, સનગ્લાસેસ, સનગ્લાસેસ સાથે હસતો ચહેરો, સૂર્ય
🤓 ચહેરો, ભોળપણ, ભોળપણના ભાવવાળો ચહેરો, મુખ, મુર્ખતાના ભાવવાળો ચહેરો
🧐 મોનોકલ સાથે ચહેરો
😕 ચહેરો, મૂંઝાયેલ
😟 ચહેરો, ચિંતાગ્રસ્ત
🙁 ગમગીન, ચહેરો, થોડો ગમગીન ચહેરો, મુખ
☹ ગમગીન, ચહેરો, મુખ
😮 ખુલ્લાં મોંઢાવાળો ચહેરો, ખુલ્લું મોઢું, ચહેરો, મોંઢું, સહાનુભૂતિ
😯 અચંભિત, અવાક, ચહેરો, શાંત ચહેરો
😲 આઘાત, આશ્ચર્ય, આશ્ચર્યચકિત ચહેરો, ચહેરો, તદ્દન
😳 ચહેરો, ફ્લશ્ડ, સ્તબ્ધ, સ્તબ્ધતામાં
🥺 દયાવાળો ચહેરો
😦 ખુલ્લાં મોંઢા સાથે ભવાં ચડાવતો ચહેરો, ખુલ્લું, ચહેરો, ભવાં, મુખ
😧 ચહેરો, દુઃખી
😨 ચહેરો, ભયગ્રસ્ત, ભયભીત
😰 ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો ચહેરો, ખુલ્લું મોઢું, ચહેરો, ઠંડા પરસેવા સાથેનો વાદળી ચહેરો, ઠંડો પરસેવો, ધસેલો ચહેરો
😥 આવો, ઉદાસી પરંતુ રાહત ચહેરો, ચહેરો, નાખુશ પરંતુ રાહતવાળો ચહેરો, નિરાશ, રાહત
😢 આંસુઓ, ચહેરો, દુઃખી, રડતો ચહેરો, રડવું
😭 અશ્રુ, ચહેરો, મોટેથી રડતો ચહેરો, મોટેથી રડવું, રડવું, રુદન
😱 ચહેરો, ભય, ભયગ્રસ્ત, ભયભીત, ભયમાં ચીસો પાડતો ચહેરો, ભયમાં ચીસો પાડવી
😖 આકુળવ્યાકુળ, ચહેરો
😣 ચહેરો, જબરદસ્ત ચહેરો, સખત ચહેરો, સ્થાયી
😞 ચહેરો, નિરાશ
😓 ચહેરો, ઠંડા પરસેવા સાથેનો ચહેરો, ઠંડો, તકલીફોની સાથે નિરાશાજનક ચહેરો, પરસેવો
😩 કંટાળાજનક, ચહેરો, થાકેલો
😫 ચહેરો, થાકેલો
🥱 કંટાળેલ, થાકેલ, બગાસું, બગાસું ખાતો ચહેરો
😤 ચહેરો, મેં તે જીત્યાનો ચહેરો, વિજય, વિજયી દેખાવ, હું જીત્યો
😡 ગુસ્સેલ, ચહેરો, પાગલ, રિસાવું, લાલ ચહેરો, લાલ રિસાયેલો ચહેરો
😠 ગુસ્સેલ, ચહેરો, પાગલ
🤬 મુખ પર ચિહ્નો સાથેનો ચહેરો
😈 ચહેરો, શિંગડા, શિંગડા સાથેનું હાસ્ય, શિંગડા સાથેનો સ્મિત કરતો ચહેરો, હાસ્ય
👿 કાલ્પનિક, ચહેરો, થોભો, રાક્ષસ, શિંગડા સાથે ગુસ્સો ચહેરો, શેતાન
💀 ખોપરી, ચહેરો, પરી કથા, શરીર
☠ ખોપરી અને હાડકાંની ચોકડી, ચહેરો, દૈત્ય, મુખ, મૃત્યુ, રાક્ષસ, શરીર
💩 ખૂંટો, છાણ, પૂપ
🤡 ચહેરો, વિદૂષક, વિદૂષકવાળો ચહેરો
👹 ઓની, ચહેરો, જાપાની દૈત્ય, દૈત્ય, પરી કથા, રાક્ષસ
👺 ચહેરો, જાપાની પ્રેત, ટેન્ગુ, પરી કથા, પ્રેત, રાક્ષસ
👻 ચહેરો, પરી કથા, ભૂત
👽 UFO, એલિયન, ચહેરો, પરગ્રહવાસી, પરી કથા, પૃથ્વી બહારનાં
👾 UFO, એલિયન, ચહેરો, પરગ્રહવાસી રાક્ષસ, પરી કથા, રાક્ષસ
🤖 ચહેરો, મશીની માનવ, મુખ, રોબોટ, રોબોટનો ચહેરો
😺 ખુલ્લા મોઢે હસતી બિલાડીનો ચહેરો, ખુલ્લું, ચહેરો, બિલાડી, બિલાડીનો ચહેરો, મોંઢું, સ્મિત કરતી બિલાડીનો ચહેરો
😸 ચહેરો, બિલાડી, બિલાડીનો ચહેરો, હસતી, હસતી આંખો અને અટ્ટહાસ્ય સાથેનો બિલાડીનો ચહેરો, હસતી આંખો અને હસવા સાથેનો બિલાડીનો ચહેરો, હસતી બિલાડીનો ચહેરો
😹 આનંદાશ્રુ, આનંદાશ્રુ સાથેનો બિલાડીનો ચહેરો, ચહેરો, બિલાડી, બિલાડીનો ચહેરો
😻 આંખો, ચહેરો, પ્રેમ, પ્રેમમાં, બિલાડી, હૃદય, હૃદયાકાર આંખો સાથે હસતી બિલાડીનો ચહેરો
😼 ચહેરો, બિલાડી, બિલાડીનો ચહેરો, માર્મિક હાસ્ય, વ્યંગપૂર્ણ, વ્યંગપૂર્ણ બિલાડીનો ચહેરો, વ્યંગપૂર્ણ સ્મિત સાથેનો બિલાડીનો ચહેરો
😽 આંખો, ચહેરો, ચુંબન, ચુંબન કરતી બિલાડી, બંધ આંખો સાથે ચુંબન કરતો બિલાડીનો ચહેરો, બિલાડી
🙀 કંટાળાજનક બિલાડીનો ચહેરો, ખરેખર આશ્ચર્યચકિત, ચહેરો, પરેશાન થયેલ બિલાડીનો ચહેરો, બિલાડી, હે ભગવાન
😿 ચહેરો, બિલાડી, બિલાડીનો ચહેરો, રડતી બિલાડીનો ચહેરો, રડવું, રુદન
😾 ચહેરો, બિલાડી, બિલાડીનો ચહેરો, રિસાયેલ બિલાડીનો ચહેરો, રિસાવું
🙈 ખરાબ જોશો નહીં, ખરાબ જોશો નહીં બતાવતો વાંદરો, વાંદરો
🙉 ખરાબ સાંભળશો નહીં, ખરાબ સાંભળશો નહીં બતાવતો વાંદરો, વાંદરો
🙊 ખરાબ બોલશો નહીં, ખરાબ બોલશો નહીં બતાવતો વાંદરો, વાંદરો
💋 ચુંબન, ચુંબનનું ચિહ્ન, રોમાંસ, હોઠ
💌 દિલ, દિલ સાથેનો મેઇલ, પત્ર, પ્રેમ પત્ર, રોમાંસ
💘 તીર, તીર સાથેનું હૃદય, દિલ, દિલ અને તીર, પ્રેમ, લાગણી
💝 દિલ, રિબન, રિબન સાથેનું દિલ, લાગણી, વેલેન્ટાઇન
💖 ચળકતું, ચળકતું દિલ, પ્રેમ, રોમાંચિત, લાગણી
💗 દિલ, પ્રેમ, મૂંઝાયેલું, રોમાંચિત, લાગણી, વધતું દિલ
💓 દિલ, ધડકતું, ધડકન, પ્રેમ, લાગણી
💞 આરાધ્ય, દિલ, પ્રેમ, ભમતા, લાગણી, સુંદર
💕 પ્રેમ, પ્રેમીઓ, બે દિલ, લાગણી
💟 દિલ, દિલનો શણગાર
❣ ઉદ્ગારવાચક, ઉદ્ગારવાચક ચિહ્ન સાથેનું હૃદય, ચિહ્ન, વિરામચિહ્ન, હૃદય
💔 તોડવું, ભગ્ન, લાગણી, હૃદય, હૃદય ભંગ
❤‍🔥 જલન, દિલ, દિલ પર આગ, પવિત્ર હૃદય, પ્રેમ, વાસના, સળગતું દિલ, હૃદય
❤‍🩹 તંદુરસ્ત, દિલ બહેલાવવું, દિલાસો, સારું, સુધારણા, સ્વસ્થ, સ્વસ્થ થવું
❤ લાલ, હૃદય
🧡 નારંગી દિલ
💛 દિલ, પીળું, લાગણી
💚 દિલ, લાગણી, લીલું
💙 દિલ, લાગણી, વાદળી
💜 જાંબલી, દિલ, લાગણી
🤎 કથ્થઈ, હૃદય
🖤 કાળું, ખરાબ, હૃદય
🤍 શ્વેત, હૃદય
💯 100, 100 પોઇન્ટ્સ, પૂર્ણ સ્કોર, સો પોઇન્ટ્સ, સ્કોર
💢 કોમિક, ગુસ્સાનું ચિહ્ન, ગુસ્સે થયેલું, ગુસ્સો, લાગણી
💥 ટક્કર, ટક્કરનું પ્રતીક, રમૂજી, લાગણી
💫 ચક્કર, તારા, તારા જોવા, રમૂજી, લાગણી
💦 પરસેવાનાં છાંટા, પરસેવાનાં ટીપા, પરસેવો, પ્રસ્વેદયુક્ત, રમૂજી, લાગણી
💨 ચાલુ ડેશ, ડેશિંગ, દોડો, ભાગવું, રમૂજી, લાગણી
🕳 કાણું, છિદ્ર
💣 બોમ્બ, રમૂજી, લાગણી
💬 પરપોટો, ફુગ્ગો, ભાષણ પરપોટો, ભાષણ ફુગ્ગો, રમૂજી, સંવાદ
👁‍🗨 આંખ, સાક્ષી, સ્પીચ બબલ
🗨 ડાબું સ્પીચ બબલ, વાણી, સંવાદ, સ્પીચ
🗯 ક્રોધ, જમણી તરફનું ગુસ્સાનું બબલ, પરપોટો, પાગલ, ફુગ્ગો, બબલ
💭 પરપોટો, રમૂજી, વિચાર, વિચારનો પરપોટો, વિચારનો ફુગ્ગો
💤 ઊંઘતું, ઊંઘરેટી, નસકોરા, રમૂજી, લાગણી
👋 હલાવવા, હાથ
🤚 બેકહેન્ડ, હાથ
🖐 આંગળી, ફેલાવેલી આંગળી વાળો ઉઠાવેલો હાથ, ફેલાવેલું, શરીર, હાથ
✋ ઉઠાવેલો હાથ, હાથ
🖖 આંગળી, વલ્કન, શરીર, સેલ્યુટની એક રીત, સ્પોઅક, હાથ
👌 ચિહ્ન, બરાબર, હાથ
🤌 આંગળીઓ, કટાક્ષવાળું, ચીમટી આપવી, ચીમટી દેવા તૈયાર આંગળીઓ, પૂછપરછ, હાથનો સંકેત
🤏 ઓછા પ્રમાણમાં, ચપટી વગાડતો હાથ
✌ કાતર, વિજય, વિજયનું ચિહ્ન, વિજયી હાથ
🤞 ક્રૉસ, ક્રૉસ્ડ ફિંગર્સ, ફિંગર, ભાગ્ય, હાથ
🤟 હાવભાવ પ્રત્યે પ્રેમ
🤘 આંગળી, રોક-ઑન, શરીર, શિંગડાં, શિંગડાનું ચિહ્ન, હાથ
🤙 કૉલ, મને કૉલ કરો હાથ, હાથ
👈 આંગળી, ડાબી આંગળી, ડાબી બાજુ ચીંધતી આંગળી, પહેલી આંગળી, હાથનો પાછલો ભાગ
👉 આંગળી, જમણી આંગળી, જમણી બાજુ ચીંધતી આંગળી, પહેલી આંગળી, હાથનો પાછલો ભાગ
👆 આંગળી, ઉપર આંગળી, ઉપરની બાજુ ચીંધાયેલી આંગળી, પહેલી આંગળી, હાથની પાછલી બાજુએથી ઉપર ચીંધતી તર્જની, હાથનો પાછલો ભાગ
🖕 આંગળી, મધ્યમા, વચલી આંગળી, વચ્ચેની આંગળી, શરીર, હાથ
