{ 大括號, 括號, 波形括號, 開波形括號
🏻 淺膚色, 膚色, 類型 1–2
§ 分節, 分節符號, 段落, 部分
¶ 副詞, 段落, 段落標記, 稻草人
@ @, at 符號, 商業 at, 安培
* 星形, 星號, 萬用字元
/ 傾斜, 實線, 斜線
\ 反斜實線, 反斜線
& 同, 同埋, 和, 連字號
# 井號, 井號標記, 數字, 磅, 鎊
% 百分比
‰ 千分比, 千分比符號
† 劍標, 短劍號
‡ 劍標, 短劍號, 雙劍標, 雙重
• 要點, 點
‧ 列點, 橫線, 破折號, 連字點
′ 角分符號
″ 角分符號, 角秒符號
‴ 三撇符號, 角分符號
※ 參考標記
` 調子, 重音, 重音符
´ 尖音, 尖音符, 音符
^ 帽, 抑揚, 抑揚音符號, 指針, 控制, 插入符, 次方, 音
¨ 分音, 分音符號, 變音
° 小時, 度, 證明
℗ 版權, 聲音, 錄音, 錄音版權
← 向左, 向左箭咀, 指向左嘅箭咀, 箭咀
→ 向右, 向右箭咀, 指向右嘅箭咀, 箭咀
↑ 向上, 向上箭咀, 指向上嘅箭咀, 箭咀
↓ 向下, 向下箭咀, 指向下嘅箭咀, 箭咀
⇅ 向上, 向上向下箭咀, 向下, 向左箭咀在向右箭咀上面, 箭咀
⇆ 向右, 向左, 向左箭咀喺向右箭咀上面, 箭咀
∆ 三角形, 遞增
∇ 三角, 拉普拉斯算子
∈ 元素, 包含, 成員, 集
+ 加, 加號
± 加減號
÷ 除, 除法, 除號
× 乘, 乘數, 乘法, 乘號
< 小過, 標籤, 開標籤
= 相等, 等於, 等號
≠ 不相等, 唔相等, 唔相等符號
> 大過, 標籤, 閂標籤
¬ 不, 否定符號
| 垂直線, 棒, 管, 線
~ 波浪符號
− 減號, 相減
⁻ 上標, 上標減號, 減號
√ 基數, 平方, 平方根, 平方符號, 根
∞ 無限, 無限符號
∩ 交集, 集
∪ 合集, 收集, 集
≈ 大約, 大約等於, 約
≡ 三倍, 完全, 完全相同, 相同
≤ 不相等, 小過, 小過或相等, 等如, 等於
≥ 唔相等, 大過, 大過或等於, 相等, 等於
⊂ 子集, 集
▲ 三角形, 向上, 實心, 實心向上三角形, 箭咀
▼ 三角形, 向下, 實心, 實心向下三角形, 箭咀
◊ 菱形, 鑽石
○ 圓形, 環形, 空心圓形
● 圓形, 實心圓形
◯ 圓形, 大空心圓形, 環形
♪ 八分, 八分音符, 音樂, 音符
♭ 降號, 音樂, 音符
♯ 升號, 音樂, 音符
😀 微笑, 笑臉, 臉
😃 嘴, 大眼睛笑臉, 微笑, 打開, 臉
😄 嘴, 微笑, 打開, 眼, 笑臉同微笑眼睛, 臉
😁 光著臉同微笑眼睛, 咧嘴笑, 帶著微笑眼睛嘅歡欣臉孔, 微笑, 眼, 臉
😆 嘴, 微笑, 打開, 滿意, 瞇著笑嘅臉, 笑, 臉
😅 凍, 出汗嘅笑臉, 微笑, 打開, 汗, 臉
🤣 地下, 碌地, 笑, 笑到碌地, 臉
😂 快樂, 有開心眼淚嘅臉, 眼淚, 笑, 臉
🙂 咪咪笑嘅臉, 微笑, 臉
🙃 上下倒轉, 上下倒轉嘅臉, 臉
😉 眨眼, 眨眼嘅臉, 臉
😊 微笑, 微笑嘅臉同微笑嘅眼睛, 眼, 腮紅, 臉
😇 光環, 天使, 天真, 童話故事, 頭頂有光環嘅笑臉
🥰 崇拜, 戀愛, 有三個心微笑嘅臉, 粉碎
😍 微笑, 愛, 有心眼微笑嘅臉, 眼, 臉
🤩 咧嘴笑, 明星, 明星臉, 眼睛, 臉
😘 吻, 臉, 飛吻嘅臉
😗 吻, 臉, 親吻嘅臉
☺ 微笑, 微笑嘅臉, 放鬆, 臉, 輪廓
😚 合埋, 吻, 眼, 臉, 親吻嘅臉同合埋嘅眼
😙 吻, 微笑, 眼, 臉, 親吻嘅臉同微笑嘅眼
🥲 微笑, 感動, 感激, 流眼淚嘅笑臉, 眼淚, 自豪, 鬆了一口氣
😋 yum, 嗯, 好食, 微笑, 為食嘅臉, 臉, 試食
😛 伸痢嘅臉, 痢, 臉
😜 痢, 眨眼, 眨眼同伸痢嘅臉, 眼, 臉, 開玩笑
🤪 大, 瘋狂嘅臉, 眼, 細
😝 恐佈, 痢, 眼, 瞇眼同伸痢嘅臉, 臉, 試味
🤑 嘴, 臉, 錢, 錢嘴嘅嬐
🤗 擁抱, 擁抱嘅臉, 攬, 臉
🤭 呼叫, 用手掩口嘅臉
🤫 噓, 噓嘅臉, 靜
🤔 臉, 諗野, 諗野嘅臉
🤐 嘴, 拉鍊, 拉鍊嘴嘅臉, 臉
🤨 懷疑, 懷疑嘅人, 眉毛升起嘅臉
😐 無表情, 臉, 自然, 自然嘅臉
😑 唔客氣, 無表情, 無表情嘅臉, 無表達, 臉
😶 嘴, 無咀嘅臉, 無聲, 臉, 靜
😶‍🌫 心不在焉, 雲中嘅臉, 雲中嘅頭, 雲嘅臉孔, 霧中嘅臉
😏 傻笑, 傻笑臉, 臉
😒 唔開心, 垂頭喪氣, 垂頭喪氣嘅臉, 臉
🙄 圓碌碌, 圓碌碌大眼嘅臉, 眼, 臉
😬 痛苦, 痛苦嘅臉, 臉
😮‍💨 吹口哨, 呻吟, 呼氣, 喘氣, 嘆氣嘅臉, 耳語, 鬆一口氣
🤥 木偶奇遇記, 臉, 講大話, 講大話嘅臉
😌 放鬆, 放鬆嘅臉, 臉
😔 憂心, 憂心嘅臉, 沮喪, 臉
😪 眼訓嘅臉, 臉, 訓覺
🤤 流口水, 流口水嘅臉, 臉
😴 臉, 訓緊覺, 訓緊覺嘅臉, 訓覺
😷 凍, 口罩, 戴口罩嘅臉, 病, 臉, 藥, 醫生
🤒 探熱針, 探緊熱嘅臉, 生病, 病, 臉
🤕 受傷, 損傷, 紥繃帶嘅臉, 繃帶, 臉
🤢 嘔吐, 嘔心, 嘔心嘅臉, 臉
🤮 嘔吐, 嘔吐嘅臉, 病
🤧 乞嚏, 健康, 打乞嚏的臉, 臉
🥵 中暑, 出汗, 好熱嘅臉, 熱, 狂熱, 紅面
🥶 冰, 凍, 凍傷, 凍結, 好凍嘅臉, 藍色嘅臉
🥴 不平嘅眼睛, 暈, 波浪形嘅嘴, 醉, 醉嘅臉, 陶醉
😵 臉, 頭暈, 頭暈嘅臉
😵‍💫 催眠, 哇, 螺旋, 螺旋眼嘅臉, 頭暈, 麻煩
🤯 爆炸頭, 震驚
🤠 帽, 戴牛仔帽嘅臉, 牛仔, 牛女, 臉
🥳 帽, 慶祝, 派對, 號角, 開派對嘅臉
🥸 假扮, 匿名, 眼鏡, 面, 面具, 鼻
😎 太陽眼鏡, 微笑嘅臉同太陽眼鏡, 臉, 酷
🤓 奇怪, 書呆子, 書呆子嘅臉, 臉
🧐 戴單片眼鏡嘅臉, 邋遢
😕 臉, 迷茫, 迷茫嘅臉
😟 擔心, 擔心嘅臉, 臉
🙁 少少皺眉嘅臉, 皺眉嘅臉
☹ 皺眉, 皺眉嘅臉, 臉
😮 同情, 嘴, 打開, 臉, 開口嘅臉
😯 嚇驚, 沉默, 沉默嘅臉, 臉, 驚訝
😲 嚇親, 完全, 臉, 驚訝, 驚訝嘅臉
😳 暈, 臉, 臉紅
🥺 乞討, 小狗嘅眼睛, 憐憫, 懇求嘅臉
😦 嘴, 打開, 皺眉, 臉, 開口皺眉嘅臉
😧 臉, 苦惱, 苦惱嘅臉
😨 害怕, 臉, 驚恐, 驚恐嘅臉, 驚慌
😰 匆忙, 汗, 滴汗同焦慮嘅臉, 臉, 藍色
😥 傷心但放鬆嘅臉, 呼, 失望, 放鬆, 臉
😢 傷心, 喊, 喊嘅臉, 眼淚, 臉
😭 傷心, 喊, 嗚咽, 大喊嘅臉, 眼淚, 臉
😱 口震, 害怕, 懼怕, 臉, 驚到尖叫嘅臉, 驚叫, 驚恐
😖 困惑, 困惑嘅臉, 臉
😣 堅忍不拔, 堅忍不拔嘅臉, 臉
😞 失望, 失望嘅臉, 臉
😓 冰冷, 汗, 滴汗同沮喪嘅臉, 臉
😩 好累, 好累嘅臉, 累, 臉
😫 累, 累嘅臉, 臉
🥱 悶, 打喊露, 打喊露嘅臉, 累
😤 臉, 贏, 贏咗, 鼻窿出氣嘅臉
😡 嬲, 憤怒, 撅嘴, 撅嘴嘅臉, 發瘋, 紅, 臉
😠 嬲, 嬲嘅臉, 發癲, 臉
🤬 嘴上有符號嘅臉, 發誓
😈 幻想, 微笑, 有牛角嘅笑臉, 牛角, 童話故事, 臉
👿 妖, 幻想, 惡魔, 有牛角同嬲嘅臉, 童話故事, 臉, 魔鬼
💀 怪物, 死, 童話故事, 臉, 骷髏頭
☠ 交叉骨, 怪物, 死亡, 臉, 骷髏頭, 骷髏頭同交叉骨
💩 一堆屎, 屎, 怪物, 漫畫, 糞便, 臉, 臭
🤡 小丑, 小丑臉, 臉
👹 幻想, 怪物, 生物, 童話故事, 臉
👺 小妖精, 幻想, 怪物, 生物, 童話故事, 臉
👻 幻想, 怪物, 生物, 童話故事, 臉, 鬼
👽 外星人, 幻想, 童話故事, 臉, 飛碟
👾 外星人, 外星怪物, 怪物, 臉, 飛碟
🤖 怪物, 機械人, 機械人臉, 臉
😺 嘴, 微笑, 打開, 獰笑嘅貓臉, 臉, 貓
😸 咧嘴笑, 微笑, 獰笑嘅貓臉同微笑嘅眼, 眼, 臉, 貓
😹 充滿歡樂淚水嘅貓臉, 快樂, 眼淚, 臉, 貓
😻 微笑, 愛, 有心形眼嘅微笑貓臉, 眼, 臉, 貓
😼 微笑, 扭歪, 扭歪微笑嘅貓臉, 臉, 諷刺, 貓
😽 吻, 眼, 臉, 親吻嘅貓臉, 貓
🙀 厭倦, 厭倦嘅貓臉, 噢, 臉, 貓, 驚訝
😿 傷心, 喊, 喊嘅貓臉, 眼淚, 臉, 貓
😾 撅嘴, 撅嘴嘅貓臉, 臉, 貓
🙈 無眼睇嘅馬騮, 睇, 禁止, 邪惡, 馬騮
🙉 唔聽野嘅馬騮, 無耳聽嘅馬騮, 禁止, 聽, 邪惡, 馬騮
🙊 唔講野嘅馬騮, 禁止, 講, 邪惡, 馬騮
💋 吻, 咀唇, 唇印
💌 信, 寄信, 心, 情信, 愛情
💘 丘比特, 穿箭嘅心, 箭
💝 情人, 有蝴蝶結嘅心, 蝴蝶結
💖 興奮, 閃, 閃嘅心
💗 緊張, 脈動, 興奮, 長大, 長大嘅心
💓 心跳, 脈動, 跳動, 跳動嘅心
💞 旋轉, 旋轉嘅心
💕 兩個心, 愛
💟 心, 心形裝飾
❣ 感嘆嘅, 標點符號, 沉重嘅感嘆嘅, 符號
💔 破碎, 破碎嘅心, 碎
❤‍🔥 心, 情慾, 愛, 有疤痕嘅心, 燒, 燒緊嘅心
❤‍🩹 修補, 健康, 包紥嘅心, 好, 復原緊, 改善, 療傷
❤ 心, 紅色心
🧡 橙色, 橙色心
💛 黃色, 黃色心
💚 綠色, 綠色心
💙 藍色, 藍色心
💜 紫色, 紫色心
🤎 啡色, 啡色心, 心
🖤 邪惡, 黑色, 黑色心
🤍 心, 白色, 白色心
💯 100, 一百分, 分數, 滿分, 百
💢 嬲, 嬲嘅標誌, 搞笑, 發癲
💥 搞笑, 碰撞, 轟
💫 搞笑, 星, 頭暈
💦 搞笑, 汗, 滴汗, 濺
💨 快走, 快速, 搞笑, 跑
🕳 窿
💣 搞笑, 炸彈
💬 對話, 對話氣球, 搞笑, 氣球, 泡泡, 講野
👁‍🗨 對話泡泡, 眼, 眼睛泡泡, 見證
🗨 對話, 左對話泡泡, 講野
🗯 右邊嬲泡泡, 嬲, 氣球, 泡泡, 發癲
💭 搞笑, 氣球, 泡泡, 諗野, 諗野氣球
💤 搞笑, 訓覺
👋 手, 揮手, 揮緊手
🤚 反手, 反手舉起, 舉起
🖐 張開, 手, 手指, 手指張開
✋ 手, 舉手
🖖 手, 手指, 敬禮, 瓦肯式, 瓦肯式敬禮手勢
👌 OK, OK 手勢, 手
🤌 卒, 卒手指, 嘲笑, 手勢, 手指, 質問
🤏 小量, 捏手
✌ v, 勝利, 勝利手勢, 手
🤞 交叉, 交叉手指, 幸運, 手, 手指
🤟 愛您嘅手勢, 我愛您, 手
🤘 手, 手指, 搖滾, 牛角, 牛角手勢
🤙 手, 打電話, 打電話俾我嘅手勢
👈 反手, 反手指向左邊, 手, 手指, 指, 指向
👉 反手, 反手指向右邊, 手, 手指, 指, 指向
👆 上, 反手, 反手指向上邊, 手, 手指, 指, 指向
🖕 中指, 手, 手指
👇 下, 反手, 反手指向下邊, 手, 手指, 指, 指向
☝ 上, 手, 手指, 指, 指向, 指向上邊
👍 +1, 手, 手指公, 豎起, 豎起手指公
👎 -1, 下, 手, 手指公, 手指公向下
✊ 手, 打, 拳頭, 握緊, 舉起拳頭
👊 手, 打, 拳頭, 握緊, 迎面而來嘅拳頭
🤛 向左, 向左嘅拳頭, 拳頭
🤜 向右, 向右嘅拳頭, 拳頭
👏 手, 拍手
🙌 慶祝, 手, 手勢, 萬歲, 舉起, 舉高雙手
👐 手, 打開, 打開手
🤲 手掌一起, 祈禱
🤝 同意, 手, 握, 握手, 開會
🙏 合手, 問, 多謝, 手, 祈禱
✍ 寫字, 寫字嘅手, 手
💅 修甲, 化妝品, 指甲, 指甲油, 護理
🤳 手機, 相機, 自拍
💪 二頭肌, 手瓜, 漫畫, 肌肉
🦾 機械臂, 義肢, 輔助
🦿 機械腳, 義肢, 輔助
🦵 肢, 腳, 踢
🦶 腳掌, 踏, 踢
👂 耳仔, 身體
🦻 戴助聽器嘅耳仔, 無障礙, 聽障
👃 身體, 鼻
🧠 智力, 腦
🫀 中心, 器官, 心臟, 心跳, 脈衝
🫁 吸氣, 呼吸, 呼氣, 器官, 肺
🦷 牙醫, 牙齒
🦴 骨頭
👀 眼, 臉, 雙眼
👁 眼, 身體
👅 痢, 身體
👄 咀唇, 嘴
👶 嬰兒, 年青
🧒 中性, 小童, 年青
👦 年青, 男仔
👧 女仔, 年青, 星座, 處女
🧑 中性, 成人
👱 金色頭髮, 金色頭髮嘅人
👨 男人
🧔 留鬚嘅人, 鬚
🧔‍♂ 男人, 男人：鬍鬚, 鬍鬚
👱‍♂ 男, 金色頭髮, 金色頭髮嘅男人
👩 女人
🧔‍♀ 女人, 女人：鬍鬚, 鬍鬚
👱‍♀ 女, 金色頭髮, 金色頭髮嘅女人
🧓 中性, 老人, 老年
👴 男人, 老伯伯, 老年
👵 女人, 老婆婆, 老年
🙍 皺眉, 皺眉嘅人, 表情
🙍‍♂ 男, 皺眉, 皺眉嘅男人, 表情
🙍‍♀ 女, 皺眉, 皺眉嘅女人, 表情
🙎 撅嘴, 撅嘴嘅人, 表情
🙎‍♂ 撅嘴, 撅嘴嘅男人, 男, 表情
🙎‍♀ 女, 撅嘴, 撅嘴嘅女人, 表情
🙅 不, 做拒絕手勢嘅人, 唔准, 唔好, 手, 手勢, 禁止
🙅‍♂ 做拒絕手勢嘅男人, 唔准, 唔好, 手, 手勢, 男, 禁止
🙅‍♀ 做拒絕手勢嘅女人, 唔准, 唔好, 女, 手, 手勢, 禁止
🙆 OK, 做 OK 手勢嘅人, 手, 手勢
🙆‍♂ OK, 做 OK 手勢嘅男人, 手, 手勢, 男
🙆‍♀ OK, 做 OK 手勢嘅女人, 女, 手, 手勢
💁 做提示手勢嘅人, 幫助, 手, 提示, 時髦, 資訊
💁‍♂ 做提示手勢嘅男人, 提示手勢, 時髦, 男
💁‍♀ 做提示手勢嘅女人, 女, 提示手勢, 時髦
🙋 快樂, 手, 手勢, 舉手, 舉手嘅人
🙋‍♂ 手勢, 男, 舉手, 舉手嘅男人
🙋‍♀ 女, 手勢, 舉手, 舉手嘅女人
🧏 無障礙, 耳仔, 聽, 聾, 聾人
🧏‍♂ 男人, 聾, 聾嘅男人
🧏‍♀ 女人, 聾, 聾嘅女人
🙇 姿勢, 對唔住, 道歉, 鞠躬, 鞠躬嘅人
🙇‍♂ 姿勢, 對唔住, 感謝, 男, 道歉, 鞠躬, 鞠躬嘅男人
🙇‍♀ 女, 姿勢, 對唔住, 感謝, 道歉, 鞠躬, 鞠躬嘅女人
🤦 唔相信, 嬲, 手掌, 用手遮臉嘅人, 臉
🤦‍♂ 唔相信, 嬲, 手掌遮臉, 用手遮臉嘅男人, 男
🤦‍♀ 唔相信, 女, 嬲, 手掌遮臉, 用手遮臉嘅女人
🤷 不關心, 懷疑, 無知, 聳肩, 聳肩嘅人
🤷‍♂ 不關心, 懷疑, 無知, 男, 聳肩, 聳肩嘅男人
🤷‍♀ 不關心, 女, 懷疑, 無知, 聳肩, 聳肩嘅女人
🧑‍⚕ 保健員, 治療師, 護士, 醫生, 醫療保健
👨‍⚕ 治療師, 男, 男醫護人員, 護士, 醫生, 醫療保健
👩‍⚕ 女, 女醫護人員, 治療師, 護士, 醫生, 醫療保健
🧑‍🎓 學生, 畢業
👨‍🎓 學生, 男, 男學生, 畢業
👩‍🎓 女, 女學生, 學生, 畢業
🧑‍🏫 導師, 教授, 老師
👨‍🏫 教師, 教授, 男, 男教師, 講師
👩‍🏫 女, 女教師, 教師, 教授, 講師
🧑‍⚖ 尺度, 法官
👨‍⚖ 正義, 男, 男法官, 秤
👩‍⚖ 女, 女法官, 正義, 秤
🧑‍🌾 園丁, 牧場工人, 農夫
👨‍🌾 園丁, 牧人, 男, 男農夫, 農夫
👩‍🌾 園丁, 女, 女農夫, 牧人, 農夫
🧑‍🍳 廚師
👨‍🍳 大廚, 廚師, 男, 男廚師
👩‍🍳 大廚, 女, 女廚師, 廚師
🧑‍🔧 技工, 機械技工, 水喉技工, 電工
👨‍🔧 商人, 技工, 水管工人, 男, 男技工, 電工
👩‍🔧 商人, 女, 女技工, 技工, 水管工人, 電工
🧑‍🏭 工人, 工廠, 工廠工人, 工業, 組裝
👨‍🏭 工人, 工廠, 工業, 男, 男工廠工人, 裝配
👩‍🏭 女, 女工廠工人, 工人, 工廠, 工業, 裝配
🧑‍💼 商業, 建築師, 白領, 經理, 辦公室員工
👨‍💼 建築師, 業務, 男, 男辦公室職員, 白領, 經理, 辦公室
👩‍💼 女, 女辦公室職員, 建築師, 業務, 白領, 經理, 辦公室
🧑‍🔬 化學家, 工程師, 物理學家, 生物學家, 科學家
👨‍🔬 化學家, 工程師, 物理學家, 生物學家, 男科學家, 科學家
👩‍🔬 化學家, 女科學家, 工程師, 物理學家, 生物學家, 科學家
🧑‍💻 技術專家, 發明家, 程式編寫員, 軟件, 開發者
👨‍💻 技術專家, 男, 男技術專家, 發明家, 程式編寫員, 軟件, 開發人員
👩‍💻 女, 女技術專家, 技術專家, 發明家, 程式編寫員, 軟件, 開發人員
🧑‍🎤 娛樂家, 搖滾, 明星, 歌手, 演員
👨‍🎤 搖滾, 明星, 歌手, 演員, 男, 男歌手, 藝人
👩‍🎤 女, 女歌手, 搖滾, 明星, 歌手, 演員, 藝人
🧑‍🎨 藝人, 調色板
👨‍🎨 男, 男藝術家, 藝術家, 調色板
👩‍🎨 女, 女藝術家, 藝術家, 調色板
🧑‍✈ 飛機, 飛機師
👨‍✈ 男, 男飛機師, 飛機, 飛機師
👩‍✈ 女, 女飛機師, 飛機, 飛機師
🧑‍🚀 太空人, 火箭
👨‍🚀 太空人, 火箭, 男, 男太空人
👩‍🚀 太空人, 女, 女太空人, 火箭
🧑‍🚒 消防員, 消防車
👨‍🚒 消防員, 消防車, 男, 男消防員
👩‍🚒 女, 女消防員, 消防員, 消防車
👮 警員, 警官, 警察
👮‍♂ 男, 男警察, 警員, 警官, 警察
👮‍♀ 女, 女警察, 警員, 警官, 警察
🕵 偵探, 調查員, 間諜
🕵‍♂ 偵探, 男, 男偵探, 調查員, 間諜
🕵‍♀ 偵探, 女, 女偵探, 調查員, 間諜
💂 守衛員
💂‍♂ 守衛員, 男, 男守衛員
💂‍♀ 女, 女守衛員, 守衛員
🥷 忍者, 戰鬥機, 隱形
👷 工人, 帽, 建築, 建築工人
👷‍♂ 工人, 建築, 男, 男建築工人
👷‍♀ 女, 女建築工人, 工人, 建築
🤴 王子
👸 公主, 幻想, 童話故事
👳 戴頭巾嘅人, 頭巾
👳‍♂ 戴頭巾嘅男人, 男, 頭巾
👳‍♀ 女, 戴頭巾嘅女人, 頭巾
👲 中國帽, 帽, 戴中國帽嘅男人, 男
🧕 包頭, 戴住頭巾嘅女人, 面紗, 頭巾
🤵 新郎, 晚禮服, 男, 著晚禮服嘅人
🤵‍♂ 燕尾服, 男人, 著燕尾服嘅男人
🤵‍♀ 女人, 燕尾服, 著燕尾服嘅女人
👰 人, 婚禮, 戴面紗嘅人, 面紗
👰‍♂ 戴面紗嘅男人, 男人, 面紗
👰‍♀ 女人, 戴面紗嘅女人, 面紗
🤰 女, 孕婦, 懷孕
🤱 乳房, 哺乳, 嬰兒
👩‍🍼 哺乳, 哺乳媽媽, 哺育, 女人, 嬰兒
👨‍🍼 哺乳, 哺乳嘅男人, 哺育, 嬰兒, 男人
🧑‍🍼 人, 哺乳嘅人, 哺育, 嬰兒, 餵哺
👼 天使, 嬰兒, 寶貝天使, 幻想, 童話, 臉
🎅 天父, 慶祝, 聖誕節, 聖誕老人
🤶 女聖誕老人, 媽媽, 慶祝, 聖誕節
🧑‍🎄 打扮, 聖誕打扮, 聖誕老人
🦸 好, 英雄, 超人, 超級
🦸‍♂ 好, 男, 男超人, 英雄, 超級
🦸‍♀ 女, 女超人, 好, 英雄, 超級
🦹 壞人, 犯罪, 超人, 超級壞人, 邪惡
🦹‍♂ 壞人, 犯罪, 超人, 超級男壞人, 邪惡｜男
🦹‍♀ 壞人, 犯罪, 超人, 超級女壞人, 邪惡｜女
🧙 女巫, 巫婆, 巫師, 男巫
🧙‍♂ 巫師, 男巫, 男巫師
🧙‍♀ 女巫, 女巫師, 巫婆
🧚 仙子, 奧布朗, 帕克, 提泰妮婭
🧚‍♂ 奧布朗, 帕克, 男仙子
🧚‍♀ 女仙子, 提泰妮婭
🧛 亡靈, 吸血鬼, 德古拉
🧛‍♂ 亡靈, 德古拉, 男吸血鬼
🧛‍♀ 亡靈, 女吸血鬼
🧜 人魚, 女美人魚, 男美人魚, 美人魚
🧜‍♂ Triton, 男美人魚
🧜‍♀ 女美人魚, 美人魚
🧝 小精靈, 神奇
🧝‍♂ 男精靈, 神奇
🧝‍♀ 女精靈, 神奇
🧞 巨靈, 神燈精靈
🧞‍♂ 巨靈, 男神燈精靈
🧞‍♀ 女神燈精靈, 巨靈
🧟 亡靈, 殭屍, 行屍
🧟‍♂ 亡靈, 男殭屍, 行屍
🧟‍♀ 亡靈, 女殭屍, 行屍
💆 享受按摩嘅人, 按摩, 美容店, 臉
💆‍♂ 享受按摩嘅男人, 按摩, 男, 臉
💆‍♀ 享受按摩嘅女人, 女, 按摩, 臉
💇 剪頭髮嘅人, 客廳, 理髮, 美容, 髮型師
💇‍♂ 剪頭髮, 剪頭髮嘅男人, 男
💇‍♀ 剪頭髮, 剪頭髮嘅女人, 女
🚶 行緊路, 行路, 行路嘅人, 遠足
🚶‍♂ 男, 行路, 行路嘅男人, 遠足
🚶‍♀ 女, 行路, 行路嘅女人, 遠足
🧍 企, 企喺度嘅人
🧍‍♂ 企, 企喺度嘅男人, 男
🧍‍♀ 企, 企喺度嘅女人, 女人
🧎 跪, 跪嘅人
🧎‍♂ 男, 跪, 跪嘅男人
🧎‍♀ 女, 跪, 跪嘅女人
🧑‍🦯 揸柺杖嘅人, 揸白色柺杖嘅人, 無障礙, 盲人
👨‍🦯 拎拐杖嘅男人, 拎白色拐杖嘅男人, 無障礙, 男人, 盲
👩‍🦯 女人, 拎拐杖嘅女人, 拎白色拐杖嘅女人, 無障礙, 盲
🧑‍🦼 坐電動輪椅嘅人, 無障礙, 輪椅
👨‍🦼 坐電動輪椅嘅男人, 無障礙, 男人, 輪椅
👩‍🦼 坐電動輪椅嘅女人, 女人, 無障礙, 輪椅
🧑‍🦽 坐手動輪椅嘅人, 無障礙, 輪椅
👨‍🦽 坐手動輪椅嘅男人, 無障礙, 男人, 輪椅
👩‍🦽 坐手動輪椅嘅女人, 女人, 無障礙, 輪椅
🏃 跑步, 跑步嘅人, 馬拉松
🏃‍♂ 男, 賽跑, 跑步, 跑步嘅男人, 馬拉松
🏃‍♀ 女, 賽跑, 跑步, 跑步嘅女人, 馬拉松
💃 女, 跳舞, 跳舞嘅女人
🕺 男, 跳舞, 跳舞嘅男人
🕴 商業, 男, 著西裝嘅男人, 西裝
👯 兔耳, 戴兔仔耳嘅人, 派對, 舞蹈員
👯‍♂ 兔耳, 戴兔仔耳嘅男人, 派對, 男, 舞蹈員
👯‍♀ 兔耳, 女, 戴兔仔耳嘅女人, 派對, 舞蹈員
🧖 喺蒸氣房嘅人, 桑拿, 蒸氣房
🧖‍♂ 喺蒸氣房嘅男人, 桑拿, 蒸氣房
🧖‍♀ 喺蒸氣房嘅女人, 桑拿, 蒸氣房
🧗 爬山嘅人, 登山者
🧗‍♂ 爬山嘅男人, 登山者
🧗‍♀ 爬山嘅女人, 登山者
🤺 劍, 劍擊, 劍擊運動員, 玩劍擊嘅人
🏇 賽跑, 賽馬, 馬, 騎師
⛷ 滑雪, 滑雪運動員, 雪
🏂 滑雪, 滑雪板, 滑雪板運動員, 雪
🏌 打高爾夫嘅人, 波, 高爾夫
🏌‍♂ 打高爾夫嘅男人, 男, 高爾夫
