{ ڏنگي, کليل وچين ڏنگي, گل ونگ, وچين ڏنگي
🏻 رنگ, قسم 1–2, گوري رنگت
〔 ڏنگي, کوپي جهڙي ڏنگي, ڪمي جي کوپي جهڙي ڏنگي, ڪمي جي کوپي جهڙي کليل ڏنگي
〕 ڏنگي, کوپي جهڙي ڏنگي, ڪمي جي کوپي جهڙي بند ڏنگي, ڪمي جي کوپي جهڙي ڏنگي
〖 خالي لينٽيڪيولر ڏنگي, خالي لينس واري ڏنگي, ڏنگي, کليل خالي لينس واري ڏنگي
〗 بند خالي لينس واري ڏنگي, خالي لينٽيڪيولر ڏنگي, خالي لينس واري ڏنگي, ڏنگي
§ پيراگراف, حصو, سلڪرو, سيڪشن
¶ الينيا, پل ڪرو, پيراف, پيراگراف, پيراگراف جي نشاني
@ اروبا, اروبيس, اسٽروڊل, ايٽ سائن, ايٽ مارڪ, ايٽ-سائن, ايمپرسيٽ, ڪمرشل ايٽ
* ايسٽيرڪ, تارو, وائلڊ ڪارڊ
/ آبليڪ, اسٽروڪ, سليش, سوليڊس, ورگيول, وهيڪ
\ بيڪ سليش, رورس سوليڊس, وهيڪ
& ايِ ٽي, ايمپرسينڊ, اينڊ
# lb, پائونڊ, حيش جي نشاني, نمبر, هيش, هيش ٽئگ
% سيڪڙو, في سيڪڙو, في-سيڪڙو
‰ في هزار
† اوبيلسڪ, حاشي, ڊيگر, ڊيگر جي نشاني
‡ اوبيلسڪ, حاشي, ڊبل, ڊبل ڊيگر نشاني, ڊيگر
• بليٽ, ٽٻڪو
‧ اتصال جي پوائنٽ, پوائنٽ, ڊيش, هائفن
′ پرائم
″ پرائم, ڊبل پرائم
‴ پرائم, ٽرپل پرائم
‸ ڪيرٽ
※ حوالي جي نشاني
⁂ تارا, تارن جي نشاني, ڊنڪوس
` ايڪسينٽ, ٽون, گريو
´ اڪيوٽ, ايڪسينٽ, ٽون
^ ايڪسينٽ, پاور, پوائنٽر, زور سائن, سرڪمفليڪس, سرڪمفليڪش ايڪسينٽ, شيورون, ڪنٽرول, ڪيرٽ, هيٽ, ويج
¨ امالا, ٽريما, ڊائيرسز
° ثبوت, ڊگري, ڪلاڪ
℗ آواز, آواز رڪارڊنگ ڪاپي رائيٽ, رڪارڊنگ, ڪاپي رائيٽ
← تير, کاٻو, کاٻو-اشارو ڏيندڙ تير
↚ اسٽروڪ سان گڏ کاٻي پاسي تير
→ تير, ساڄو, ساڄو-اشارو ڪندڙ تير
↛ اسٽروڪ سان گڏ ساڄي پاسي تير
↑ تير, مٿي, مٿي-اشارو ڪندڙ تير
↓ تير, هيٺ, هيٺ-اشارو ڪندڙ تير
↜ کاٻي پاسي لهر وانگر تير
↝ ساڄي پاسي لهر وارو تير
⇅ تير, مٿي, مٿي-اشارو ڏيندڙ ۽ هيٺ-اشارو ڏيندڙ تير, مٿي-اشارو ڪندڙ ۽ هيٺ-اشارو ڪندڙ تيرون, هيٺ
⇆ تير, ساڄو, ساڄو-اشارو ڏيندڙ تيرن تي کاٻو-اشارو ڏيندڙ تير, کاٻو
∆ انڪريمينٽ, ٽڪنڊو
∇ ٽڪنڊو, نبلا
∈ جو عنصر, سيٽ, عنصر, ڪنٽينس, ميمبرشپ
+ جوڙ, واڌو
± واڌو-ڪاٽو
÷ حاشي, ضرب ڪريو, ونڍ, ونڍ جي نشاني
× ڀيرا, ضرب, ضرب جي نشاني, ضرب ڪريو
< ٽئگ, کان ننڍو, کان-ننڍو, کليل ٽئگ
= برابر
≠ اڻ برابري, اڻ پورو, نا برابر
> بند ٽئگ, ٽئگ, کان وڏو, کان-وڏو
¬ نفي, نہ
| اسٽروڪ, اسٽڪ, بار, پائيپ, پائيڪ, شيفر اسٽروڪ, عمودي بار, عمودي لڪير, لڪير, وي بار
~ ٽلڊي
− ڪاٽو, ڪٽ
⁻ سپر اسڪرپٽ, سپر اسڪرپٽ مائنس, ڪاٽو
√ اسڪوائر, روٽ, ريڊڪس, ريڊيڪل, سرڊ
∞ انفينٽي, انفينٽي سائن
∩ انٽر سيڪشن, سيٽ
∪ سيٽ, ڪليڪشن, يونين
≈ اندازو, تقريبن برابر, لڳ ڀڳ
≡ ٽرپل, ڏانهن ساڳيا, ڏانهن هڪ جهڙا, ساڳيا, هڪ جهڙا
≤ برابر, کان-ننڍو, کان-ننڍو يا برابر, نا برابري
≥ برابر, کان-وڏو, کان-وڏو يا برابر, نا برابري
⊂ جو سب سيٽ, جو سبسيٽ, سب سيٽ, سيٽ
▲ ڀريل, ڀريل مٿي-اشارو ڏيندڙ ٽڪنڊو, تير, ٽڪنڊو, مٿي
▼ ڀريل, ڀريل هيٺ-اشارو ڏيندڙ ٽڪنڊو, تير, ٽڪنڊو, هيٺ
◊ روهمبس, لوزينج, هيرو
○ خالي دائرو, دائرو, رنگ
● ڀريل دائرو, ڀريل گول, دائرو
◯ دائرو, رنگ, وڏو خالي دائرو
♪ اٺون, موسيقي, نوٽ
♭ بيمولي, موسيقي, نوٽ, هموار
♯ تيز, ڊائي سس, ڊائيسي, موسيقي, نوٽ
😀 چهرو, وڏي کل, وڏي کل وارو چهرو
😃 چهرو، وات، کليل، کل, وڏين انکين سان وڏي کل وارو چهرو
😄 اک، چهرو، وات، کليل، کل،, کلندڙ اکين سان وڏي کل وارو چهرو, کلندڙ انکين سان وڏي کل وارو چهرو
😁 اک, چھرو, کلندڙ اکين سان گڏ چمڪندڙ چهرو, مرڪ, مرڪندڙ اکين سان ٻھڪندڙ چھرو, وڏي کل
😆 چهرو، کل، منهن، کليل، مطمئن، مسڪراهٽ, وڏي کل وارو ڦريل اکين وارو چهرو, وڏي کل وارو ڦريل انکين وارو چهرو
😅 پگهر سان وڏي کل وارو چهرو, ٿڌ، چهرو، کليل، کل، پگهر
🤣 چھرو, فرش, کل, کلندي فرش تي ليٿڙيون پائيندي, ليٿريون پائيندي
😂 چھرو, خوشي, خوشي جي ڳوڙهن وارو چهرو, خوشي جي ڳوڙھن وارو چھرو, کل, ڳوڙھو
🙂 چهرو, مرڪ, هلڪو مسڪرائيندڙ چهرو
🙃 ابتو, چهرو
😉 اک هڻڻ, چهرو، اک هڻڻ
😊 شرمائڻ، اک چهرو، مسڪراهٽ, کلندڙ انکين سان کلندڙ چهرو
😇 پري جي ڪهاڻي, تصور, چهرو, فرشتو, مرڪ, معصوم, نور جي حلقي سان مسڪرائيندڙ چهرو, هالو
🥰 پسند, پيار ۾, دلين سان گڏ مرڪندڙ چهرو, دليون, ڪرش, مسڪرائيندڙ
😍 اک, پيار, چهرو, دل واري اکين سان مسڪرائيندڙ چهرو, مرڪ
🤩 اکيون, اکيون تاري نما, تارو, چهرو, مسڪرائڻ
😘 چمي, چهرو, هڪ چمي موڪليندڙ چهرو
😗 چمڻ, چمي ڏيندڙ چهرو, چهرو
☺ اڀريل, پرسڪون, چهرو, مرڪ, مرڪندڙ چهرو
😚 اک, بند اکين سان گڏ چمي ڏيندڙ چهرو, بند ٿيل, چمي, چهرو
😙 اک, چمي, چهرو, مرڪ, مسڪرائيندڙ اکين سان گڏ چمي ڏيندڙ چهرو
🥲 آرام, آسو, ڀروسو, ڇهڻ, کل, ڳوڙن سان مسڪرائيندڙ چهرو, ڳوڙهن سان مسڪرائيندڙ چهرو, مهربان
😋 چهرو, کاڌي تي وات ۾ پاڻي اچڻ, لذت, مرڪ, مزو ڏيندي, مزي وارو, مزيدار
😛 چهرو, زبان, زبان وارو چهرو
😜 اک, جھپڪڻ, چهرو, زبان, زبان سان گڏ چهرو اک هڻندي, زبان سان گڏ چهرو انک هڻندي, مذاق
🤪 اک, اوڏو, چريو چهرو, ننڍو
😝 اک, چهرو, خوفناڪ, ذائقو, زبان, زبان سان گڏ انک بند ڪندي چهرو
🤑 پئسا, چهرو, وات, وات ۾ پئسن وارو چهرو
🤗 ڀاڪر, ڀاڪر پائڻ, ڀاڪر پائيندڙ چهرو, چهرو
🤭 تعجب, وات تي هٿ وارو چهرو
🤫 چپ چهرو, چپ، ماٺ
🤔 چهرو, سوچيندڙ
🤐 چهرو, زپ ٿيل وات وارو چهرو, زپر, وات
🤨 اڀريل ڀرن سان چهرو, بي اعتمادي, شڪي
😐 چهرو, غير جانبدار چهرو, غيرجانبدار, لٿل
😑 بغير اظهار, بغير اظهاري وارو چهرو, بي معني, چهرو, لااظهار
😶 بغير وات وارو چهرو, چپ, چهرو, خاموش, وات
😶‍🌫 بادلن ۾ چهرو, بادلن ۾ مٿو, ڌنڌ ۾ چهرو, غافل
😏 بناوٽي چهرو, بناوٽي مرڪ, چهرو
😒 چهرو, ناخوش
🙄 اکيون, چهرو, ڦرندڙ, ڦرندڙ اکين سان چهرو
😬 بدصورت بڻائڻ, بناوٽي صورت ٺاهيندڙ چهرو, چهرو
😮‍💨 آرام, ساه ٻاهر ڪڍڻ, ساه ڇڏڻ وارو چهرو, سس پس ڪرڻ, سهڪڻ, سيٽي وڄائڻ, ڪرڪڻ
🤥 چهرو, ڪوڙ, ڪوڙ ڳالهائيندڙ چهرو
😌 آجو, آجو ٿيل چهرو, چهرو
😔 اداس, چهرو, فڪرمند
😪 چهرو, ننڊ, ننڊ وارو چهرو
🤤 چهرو, رال ٽپڪائيندڙ, رال ٽپڪائيندڙ چهرو
😴 چهرو, ززز, سمهندڙ چهرو, ننڊ
😷 بيمار, ٿڌو, چهرو, دوا, ڊاڪٽر, ميڊيڪل ماسڪ سان گڏ چهرو, نقاب
🤒 بيمار, ٿرماميٽر, ٿرماميٽر سان گڏ چهرو, چهرو
🤕 پٽي, چهرو, ڏکائڻ, زخم, مٿي تي پٽي ٻڌل چهرو
🤢 الٽي, الٽي ايندڙ چهرو, چهرو, ڪراهت
🤮 الٽي, بيمار, چهرو الٽي ڪندي
🤧 چهرو, ڇڪ ڏيندڙ چهرو, صحت, نڇ
🥵 بخار نما, پگهر ايندڙ, گرم, گرم چهرو, ڳاڙهو-چهري سان, هيٽ اسٽروڪ
🥶 icicles, بلو-چهرو, ٿڌ, ٿڌو چهرو, فروسٽ بائيٽ, فريزنگ
🥴 ٽپسي, چڪرائيندڙ, لهرائيندڙ منهن, ناهمي اکيون, نشي ۾, ووزي چهرو
😵 چڪرائيندڙ, چهرو
😵‍💫 پريشاني, پيچدار, پيچدار اک وارو چهرو, رڪيو, مٿو ڦرڻ, ننڊ جي حالت ۾
🤯 ڇرڪ, ڦاٽندڙ مٿو
🤠 ٽوپي, چهرو, ڪائو بوائي, ڪائو گرل, ڪائوبوائي ٽوپي وارو چهرو
🥳 پارٽي, پارٽي ڪندڙ چهرو, ٽوپي, جشن, هارن
🥸 انڪوگنيٽو, ڀيس بدلايو, چشما, چهرو, لڪيل چهرو, نڪ
😎 اس جي چشمي سان گڏ مسڪرائيندڙ چهرو, اس جي عينڪ, اک, چشمو, چهرو, روشن, سج, شيشا, عمدو, مرڪ
🤓 احمق, بيوقوف چهرو, چهرو, گيڪ
🧐 جڪڙيل, هڪ عينڪ وارو چهرو
😕 الجهيل چهرو, الجھيل, چهرو
😟 پريشان, چهرو
🙁 چهرو, لٿل, هلڪو لٿل چهرو
☹ چهرو, لٿل
😮 چهرو, کليل, کليل وات سان چهرو, همدردي, وات
😯 چپ ٿيل چهرو, چهرو, حيران ڪيل, ششدر, مخفي
😲 بدحواس, پورو, چهرو, حيران, حيران ٿيل چهرو
😳 بدحواس, چهرو, سرخي ڇانيل, سرخي ڇانيل چهرو
🥺 التجا ڪندڙ چهرو, پپي اکيون, پنڻ, دلڪش چهرو, رحم
😦 چهرو, کليل, کليل وات سان اداس چهرو, ناپسنديدگي, وات
😧 چهرو, ڏکايل
😨 چهرو, خوف, خوفناڪ, ڊنل
😰 پگهر سان فڪرمند چهرو, پگھر, ٿڌو, چهرو, نيرو, وات, وڌيل
😥 آجو, اداس پر سڪون وارو چهرو, چهرو, نااميد, واه
😢 چهرو, ڏکويل, روئندڙ چهرو, روئڻ, ڳوڙهو
😭 چهرو, ڏکويل, روئڻ, سڏڪڻ, ڳوڙهو, وڏي آواز سان روئندڙ چهرو
😱 چٻاڙڻ, چهرو, خوف, خوفناڪ, ڊپ ۾ رڙيون ڪندڙ چهرو, ڊنل, رڙيون ڪرڻ
😖 شرمنده چهرو, شرمنده، چهرو
😣 ثابت قدم, چهرو
😞 چهرو, نااميد
😓 پگھر, ٿڌو, چهرو, هلڪي آنسن سان لٿل چهرو
😩 اکڙيل چهرو, ٿڪجڻ, ٿڪيل, چهرو
😫 ٿڪل چهرو, ٿڪيل, چهرو
🥱 اوٻاسي, اوٻاسيندڙ چهرو, بوريت, ٿڪل
😤 چهرو, فتح, کٽڻ, نڪ مان ٻاڦ نڪرندڙ چهرو
😡 چريو, چهرو, ضدي, ڪاوڙ, ڪاوڙيل, ڳاڙهو, منهن بسوريندڙ چهرو
😠 چريو, چهرو, ڪاوڙيل
🤬 گار ڏيڻ, وات تي نشان سان گڏ چهرو
😈 تصور, جادوئي قصو, چهرو, سڱن وارو مسڪرائيندڙ چهرو, سنڱ, مرڪ
👿 ڀوت, تصور, جادوئي قصو, چهرو, سڱن وارو ڪاوڙيل چهرو, شرارتي, شيطان
💀 جادوئي قصو, چهرو, ديو, کوپڙي, موت
☠ چهرو, خطري جي نشاني, ديو, کوپڙي, کوپڙي ۽ خطري جي نشاني, موت
💩 ٿڪجي پوڻ, چهرو, ڇيڻو, ديو, ڊڄارڻ جي شڪل جو انبار, ڊيڄارڻ, ڪامڪ
🤡 جوڪر, جوڪر وارو چهرو, چهرو
👹 آدمخور, تصور, جادوئي قصو, چهرو, ديو, مخلوق
👺 بونو, تصور, جادوئي قصو, چهرو, ديو, مخلوق
👻 ڀوت, تصور, جادوئي قصو, چهرو, ديو, مخلوق
👽 تصور, جادوئي قصو, چهرو, خلائي مخلوق, ديو, غير ارضي, مخلوق, ناشناخته
👾 تصور, جادوئي قصو, چهرو, خلائي مخلوق, خلائي مخلوق حيوان, ديو, غير ارضي, مخلوق, ناشناخته
🤖 چهرو, روبوٽ, مونسٽر
😺 ٻلي, ٻلي جو مسڪرائيندڙ چهرو, چهرو, کليل, مرڪ, مسڪرائيندڙ چهرو
😸 اک, ٻلي, چهرو, مرڪ, مسڪرائڻ, مسڪرائيندڙ اکين سان گڏ مسڪرائيندڙ ٻلي
😹 ٻلي, چهرو, خوشي, خوشي جي لڙڪن سان ٻلي, ڳوڙها
😻 اک, ٻلي, پيار, چهرو, دل, دل واري اکين سان مسڪرائيندڙ ٻلي
😼 آئرونڪ, بدشڪل مسڪراهٽ سان ٻلي, ٻلي, چهرو, مرڪ, ورائي
😽 اک, ٻلي, چمي, چمي ڏيندڙ ٻلي, چهرو
🙀 او, ٻلي, چهرو, حيران, عجيب
😿 اداس, ٻلي, چهرو, روئندڙ ٻلي, روئڻ, ڳوڙها
😾 ٻلي, پائوٽنگ ٻلي, پائونٽنگ, چهرو
🙈 ڀولڙو, چهرو, ڏسڻ, شيطان, ڪا-شيطاني-نه-ڏسو وارو ڀولڙو, ممنوع, ممنوعه, نه
🙉 ٻڌڻ, ڀولڙو, چهرو, شيطان, ڪا-شيطاني-نه-ٻڌو وارو ڀولڙو, ممنوع, ممنوعه, نه
🙊 ٻڌڻ, ڀولڙو, چهرو, شيطان, ڪا-شيطاني-نه-ڳالهايو وارو ڀولڙو, ڳالهائڻ, ممنوع, ممنوعه, نه
💋 چپَ, چمي, چمي جو نشان
💌 پيار, پيار جو خط, خط, دل, ميل
💘 تير، محبت جو ديوتا, دل جي وچ ۾ تير
💝 ربن, ربن سان گڏ دل, ويلنٽائن
💖 پرجوش, ٽمڪندڙ دل, ٽمڪڻ
💗 پرجوش, پريشان, نبض, وڌندڙ, وڌندڙ دل
💓 دل جي ڌڙڪن, ڌڙڪندڙ دل, ڌڙڪڻ, مار
💞 ڦرندڙ, ڦرندڙ دليون
💕 ٻه دليون, پيار
💟 دل, دل جي سجاوٽ
❣ پنڪچويشن, دل واري عجب جي نشاني, عجب, مارڪ
💔 ٽٽل, ٽٽل دل, ٽوڙڻ
❤ دل, ڳاڙهي دل
🧡 نارنگي, نارنگي دل
💛 پيلي, پيلي دل
💚 سائي, سائي دل
💙 نيري, نيري دل
💜 واڱڻائي دل
🤎 برائون دل, دل, ناسي
🖤 برائي, حرامي, ڪارو, ڪاري دل
🤍 دل, سفيد
💯 100, اسڪور, پورا, سئو, سو نقطا
💢 چريو, ڪامڪ, ڪاوڙ, ڪاوڙ جي نشاني
💥 بوم، ڪامڪ, ٽڪراءُ
💫 چڪرائيندڙ, ستارو, مزاحيه
💦 پگهر جا قطرا, پگھر, ڇنڊا اڏائيندي, مزاڪ
💨 اڇلڻ, پري اڇلائڻ, ڊوڙندي, مزاحيه
🕳 سوراخ
💣 بم, ڪامڪ
💬 بلبلا, ڦڪڻو, ڳاله ٻوله, ڳالهائڻ وارو ڦوڪڻو, ڳاهائڻ, مزاحيه
👁‍🗨 اک، ڳالهه ٻولهه جا بلبلا، گوا, ڳالهه بلبلن ۾ اک
🗨 کاٻي طرف بلبلا ڳالهه ٻولهه, ڳالهائڻ, ڳالهه ٻولهه
🗯 بلبلو, چريو, ساڄي پاسي ڪاوڙ جا بلبلا, ڦوڪڻو, ڪاوڙيل
💭 بلبلا, خيال وارو ڦوڪڻو, سوچ, ڦوڪڻو, مزاحيه
💤 ڪامڪ, ننڊ, هلڪي نڊ
👋 لڏندڙ هٿ, لڏڻ, لهر, هٿ
🤚 پويون هٿ, مٿي ڪيل, هٿ جي پٺ مٿي ڪيل
🖐 آڱر, پکڙيل هٿ, مٿي ڪيل هٿ کليل آڱرين سان, هٿ
✋ مٿي ڪيل هٿ, هٿ
🖖 آڱر, اسپوڪ, هٿ, ولڪن, ولڪن سلام
👌 ٺيڪ, ٺيڪ وارو هٿ, هٿ
🤌 آڱريون, انٽيروگيشن, پنچ ٿيل, پنچ ٿيل آڱريون, سارڪيسٽڪ, هٿ جو اشرو
🤏 پنچنگ هٿ, گهٽ مقدار
✌ فتح جو نشان, فتح، هٿ
🤞 آڱر, قسمت, ڪراس, ڪراس ٿيل آڱريون, هٿ
🤟 پيار جو اشارو, هٿ
🤘 آڱر, سڱ, سڱن جو نشان, شور مچايو, هٿ
🤙 ڪال, مونکي ڪال ڪريو هٿ, هٿ
👈 آڱر, اشارو ڪرڻ, شهادت واري آڱر, کاٻو هٿ, کاٻي هٿ جي آڱر کاٻي طرف اشارو ڪندي, هٿ
👉 آڱر, اشارو ڪرڻ, شهادت واري آڱر, کاٻو هٿ, کاٻي هٿ جي آڱر ساڄي طرف اشارو ڪندي, هٿ
👆 آڱر, اشارو ڪرڻ, شهادت واري آڱر, کاٻو هٿ, کاٻي هٿ جي آڱر مٿي اشارو ڪندي, مٿي, هٿ
🖕 آڱر, هٿ, وچين آڱر
👇 آڱر, اشارو ڪرڻ, شهادت واري آڱر, کاٻو هٿ, کاٻي هٿ جي آڱر هيٺ اشارو ڪندي, مٿي, هٿ
☝ آڱر, آڱر مٿي طرف اشارو ڪندي, اشارو ڪرڻ, شهادت واري آڱر, کاٻو هٿ, هٿ
👍 خوب، بهترين، واه واه, مٿي انگوٺو
👎 انڪار، ڪنو، هيٺ، هٿ, هيٺ انگوٺو
✊ ٺونشو, مُٺ, مٿي ڪيل مٺي, هٿ
👊 ايندڙ مڪو, ٺونشو, مُٺ, هٿ
🤛 کاٻي پاسي, کاٻي طرف منهن ڪندڙ مٺي, مٺي
🤜 ساڄي پاسي, ساڄي طرف منهن ڪندڙ مٺي, مٺي
👏 تاڙي, تاڙيون وڄائيندڙ هٿ, هٿ
🙌 جشن، اشارو، هٿ، مٿي اٿيل, مٿي ٿيندڙ هٿ
👐 کليل, هٿ
🤲 تريون مٿي گڏ, دعا
🤝 گڏجاڻي, معاهدو, ملائڻ, هٿ
🙏 ادا, پڇڻ, جھڪڻ, عبادت ڪرڻ, مهرباني, مهرباني ڪري, هٿ, ويڙهيل
✍ لکندڙ هٿ, لکڻ, هٿ
💅 رنگڻ, سنڀال, سينگار, ننهن, ننهن پالش, ننهن ڪتڻ, ننهن مکڻي
🤳 سيلفي, فون, ڪئميرا
💪 پٺا, جھڪڻ, ڏورو, ڪامڪ, مڙيل ٻانهن تي ڏورو
🦾 پروسٿيٽڪ, رسائي, مڪينيڪل هٿ
🦿 پروسٿيٽڪ, رسائي, ميڪينيڪل ٽنگ
🦵 ٻانهن, ٽنگهه, لت
🦶 اسٽومپ, پير, لت
👂 جسم, ڪن
🦻 ٻڌڻ جي آلي سان ڪن, ٻڌڻ ۾ مشڪل, رسائي
👃 جسم, نڪ
🧠 دماغ, هوشيار
🫀 پلس, دل جلن, دل عضوو, سينٽر, عضوو, ڪارڊيولاجي
🫁 ساهه اندر کڻڻ, ساهه ٻاهر ڪڍڻ, ساهه کڻڻ, ساهه کڻڻ جو عمل, عضوو, ڦڦڙ
🦷 ڏند, ڏند ساز
🦴 ڍانچو, هڏي
👀 اک, اکيون, چهرو
👁 اک, جسم
👅 جسم, زبان
👄 چپ, وات
👶 ننڍو ٻار, ننڍو ٻار، جوان
🧒 ٻار, جنس غير جانبدار، جوان
👦 ڇوڪرو, ڇوڪرو، جوان
👧 ڇوڪري, سنبلا، جوان، برج
🧑 بالغ, غيرجانبدار
👱 شخش: سنهڙا وار, شخص: سنهڙا وار, ننڍڙا وار, ننڍڙي وارن وارو شخص, وار
👨 ماڻهو
🧔 ڏاڙهي, شخص: ڏاڙهي, ماڻهو, ماڻهو: ڏاڙهي
🧔‍♂ ڏاڙهي, ماڻهو, ماڻهو: ڏاڙهي
👱‍♂ ڀورا وار, ڀورن وارن وارو ماڻهو, ماڻهو, ماڻهو: ڀورا وار, وار
👩 عورت
🧔‍♀ ڏاڙهي, عورت, عورت: ڏاڙهي
👱‍♀ ڀورا وار, ڀورن وارن واري عورت, عورت, عورت: ڀورا وار
🧓 غيرجانبدرا، وڏو, وڏي عمر جو بالغ
👴 پوڙهو ماڻهو, ماڻهو، پوڙهو
👵 پوڙهي عورت, پوڙهي، عورت
🙍 پريشان ماڻهو, پريشان، اشارو
🙍‍♂ پريشان، اشارو، ماڻهو, مرد پريشان
🙍‍♀ پريشاني، اشارو، عورت, عورت پريشان
🙎 اشارو، ناپسند, ماڻهو ناپسند ڪندي
🙎‍♂ اشارو، ناپسند، مرد, مرد ناپسند ڪندي
🙎‍♀ اشارو، ناپسند، عورت, عورت ناپسند ڪندي
🙅 ماڻهو نه جو اشارو ڪندي, منع ڪيل، اشارو، هٿ، نه، روڪيل
🙅‍♂ مرد نه جو اشارو ڪندي, منع ڪيل، اشارو، هٿ، نه، روڪيل، مرد
🙅‍♀ عورت نه جو اشارو ڪندي, منع ڪيل، اشارو، هٿ، نه، روڪيل، عورت
🙆 اشارو، هٿ، نه, ماڻهو ٺيڪ جو اشارو ڪندي
🙆‍♂ اشارو، هٿ، مرد، ٺيڪ, مرد ٺيڪ جو اشارو ڪندي
🙆‍♀ اشارو، هٿ، ٺيڪ، عورت, عورت ٺيڪ جو اشارو ڪندي
💁 بي ادب, شخص هٿ ٿپڪائيندي, ضرب لڳائڻ, مدد, معلومات, هٿ
💁‍♂ بي ادب, مرد, مرد هٿ ٿپڪائيندي, هٿ ٿپڪائڻ
💁‍♀ بي ادب, عورت, عورت هٿ ٿپڪائيندي, هٿ ٿپڪائڻ
🙋 اشارو, خوش, شخص هٿ مٿي ڪندي, مٿي ڪيو, هٿ
🙋‍♂ اشارو, مرد, مرد هٿ مٿي ڪندي, هٿ مٿي ڪندي
🙋‍♀ اشارو, عورت, عورت هٿ مٿي ڪندي, هٿ مٿي ڪندي
