🏻 húðlitur, ljós, ljósur húðarlitur
🏼 húðlitur, miðalljós, miðalljósur húðarlitur
🏽 húðlitur, miðal, miðal húðarlitur
🏾 húðlitur, miðalmyrk, miðalmyrkur húðarlitur
🏿 húðlitur, myrk, myrkur húðarlitur
😀 andlit, grín, grínandi andlit
😃 andlit, eygu, grín, grínandi andlit við stórum eygum, munnur, opin, stór
😄 andlit, grín, grínandi andlit við brosandi eygum, munnur, opin
😁 andlit, bros, eyga, grín, smíl, strálandi andlit við brosandi eygum
😆 andlit, eygu, grín, grínandi andlit við krympaðum eygum, krympa
😅 andlit, bros, grín, grínandi andlit við sveitta, smíl, sveitti
🤣 andlit, lofl, tár, tárandi flennandi andlit
😫 andlit, móð, móður, troytt, troyttur
🥱 geisp, geispandi andlit, keða, keðsemi, troytt, troyttur
😤 andlit, andlit við royki úr nøsuni, argur, ill, vreiður
😡 andlit, hóttandi, ill, illur, sera hóttandi andlit
😠 andlit, hóttandi, ill, illur
🤬 andlit, banna, bannandi andlit, blóta, svørja
😈 ævint´yr, andlit, bros, brosandi andlit við hornum, horn, smíl
👿 ævint´yr, andlit, horn, hóttandi, hóttandi andlit við hornum, illur
💀 andlit, deyði, skøltur
☠ deyði, krossleggir, skøltur, skøltur og krossleggir, vandi
💩 bros, kukkur, lortur, smíl
🤡 andlit, gekkur, klovn
👹 ævintýr, andlit, skrímsl, trøll
👺 ævintýr, andlit, skrímsl, trøll, vættur
👻 ævintýr, gálva, gálvandi spøkilsi, spøkilsi
👽 ævintýr, alien, andlit, rúmdarvera, ufo
👾 ævintýr, alien, andlit, rúmdarvera, skrímsl, ufo
🤖 andlit, robottandlit, robottur, tólmenni
😺 andlit, brós, brosandi, brosandi kettuandlit, ketta, smíl
😸 andlit, brós, brosandi kettuandlit við smílandi eygum, ketta, smíl
😹 andlit, bros, gleði, ketta, kettuandlit sum fellur gleðist´´ár, smíl, tár
😻 andlit, brosandi kettuandlit við hjartaeygum, eygu, hjarta, ketta
😼 andlit, beiskt, ketta, kettuandlit við speiskum smíli, speiskt
😽 andlit, ketta, muss, mussandi kettuandlit
🙀 andlit, bilsi, bilsi kettuandlit, ketta, skelkur, undran
😿 andlit, grætur, grátandi kettuandlit, grátur, ketta, tár
😾 andlit, gron, ketta, kettuandlit við gron
🙈 andlit, apa, apuandlit við hondunum yvir eygunum, eygu, hond
🙉 andlit, apa, apuandlit við hondunum yvir oyrunum, hond, oyru
🙊 andlit, apa, apuandlit við hondunum yvir munninum, hond, munn
💋 koss, muss, muss merki, varrar, varrastift
💌 bræv, kærleiksbræv, kærleikur
💘 Amor, amorina, hjarta, kærleikstekin, pílur, pílur ígjøgnum hjarta
💝 band, hjarta, hjarta við bandi
💖 glampandi, glitrandi, glógvandi, hjarta, ljómandi
💗 glógvandi, hjarta
💓 bankandi hjarta, bankar, hjarta, slær
💞 hjarta, hjørtu, hjørtu sum mela í klingur, mala
💕 kærleiki, tvey hjørtu
💟 hjarta, prýði, pynt
❣ hjarta, rópitekn, teknseting
💔 brotið, hjarta, sorgarbundin
❤‍🔥 brennur, girnd, hjarta, hjarta sum brennur, kærleiki
❤‍🩹 hjarta, hjarta sum er lappa, lappa, umvæling
❤ hjarta, reytt
🧡 appilsingult, hjarta
💛 gult, hjarta
💚 grønt, hjarta
💙 blátt, hjarta
💜 bláreytt, hjarta, korkalitt, lilla, lillafarva, purpurlitt, purpurreytt
🤎 brúnt, hjarta
🖤 hjarta, svart
🤍 hjarta, hvítt
💯 100, hundrað, stig, úrslit
💢 tekin, vreiði
💥 bang, samanbrestur, samanstoytur
💫 stjørna, stjørnuskot, svimbul, tekin
💦 dropar, sveitti, vatn
💨 fok, renna, vindur
🕳 hol
💣 bumba, vopn
💬 bløðra, samtala, tala, talubløðra
👁‍🗨 eyga, eyga í talubløðru, talubløðra
🗨 samtala, svørt talubløðra, tala
🗯 ábreiðsla, átala, átalandi talubløðra, hartan, skeld, skelda, talubløðra
💭 hugskot, tankabløðra, tanki, umsorgan
💤 snorkar, svevur, zzz
👋 hond, veitra, veitrandi hond, vinka
🤚 handarbak
🖐 fimm, fingrar, hond
✋ hond, lógvi
🖖 heilsan, spock, vulcan, vulkan
👌 gott, hond, ok, tekin, viðurkent
🤌 fingrar, hond, hondtekin, samlaðir fingrar
🤏 eitt sindur, fingrar, fingrar sum vísa ikki nógv, hond, hondtekin, ikki nógv, lítið
✌ hond, sigur, sigurstekin, tekin
🤞 eydna, fingrar, hond, krossaðir fingrar
🤟 hond, kærleiki, kærleikshandabragd
🤘 horn, horntekin, rock, rokkur, tekin
🤙 hond, tekin, telefon, telefontekin
👈 fingur, fremstifingur, fremstifingur peikar til vinstru, hond, peikifingur, vinstru
👉 fingur, fremstifingur, fremstifingur peikar til høgru, høgru, hond, peikifingur
👆 fingur, fremstifingur, fremstifingur peikar uppeftir, hond, peikifingur, upp, uppeftir
🖕 fingur, hond, longutong, longutong peikar uppeftir, upp, uppeftir
👇 fingur, hond, longutong, longutong peikar niðureftir, niður, niðureftir
☝ fingur, fremstifingur, hond, lógvi, lógvi og fremstifingur peikar uppeftir, peikifingur, upp, uppeftir
👍 gott, samdur, tummil, tummil upp
👎 niður, ósamdur, tummil, vánaligt
✊ knýttur, nevi
👊 knýttur, nevi, sláandi knýttur nevi, slær
🤛 knýttur, nevi, nevi í vendur til vinstru, vinstru
🤜 høgru, knýttur, nevi, nevi í vendur til høgru
👏 hendur, hond, klapp, klappandi hendur
🙌 hendur, hond, upp, upplyftar hendur
👐 hendur, hond, opin, opnar hendur
🤲 bøn, hendur, hond, lógvar, lógvar sum eru saman, lógvi, saman
🤝 hendur, hond, lógvatak, taka í
🙏 bøn, eggja saman hendur, falda, hendur
✍ hond, skriva, skrivandi hond
💅 fríðkanarevni, negl, neglalakk, vakurleikarøkt
🤳 selfie, sjálvsmynd
💪 biseps, spentur, tvíhøvdavøddi
🦾 armur, kunstigur armur, maskinarmur, mekaniskur
🦿 bein, kunstigt bein, maskinbein, mekaniskt
🦵 bein, limur, sparka
🦶 fótur, limur, sparka, trampa
👂 kroppur, oyra
🦻 deyvur, hoyritól, oyra, oyra við hoyritólið
👃 kroppur, nøs
🧠 gløgg, gløggur, heili, klók, klókur, kroppur
🫀 hjarta, hjartasláttur, pulsur, yrkisgagn
🫁 andadráttur, lungur, yrkisgagn
🦷 tannlækni, tonn
🦴 bein, beinagrind, kjøtbein
👀 eyga, eygu
👁 eyga, kroppur
👅 gálva, kroppur, tunga
👄 kroppur, munnur, varrar
👶 barn, pinkubarn
🧒 barn, óviti
👦 drongur, piltur, smádrongur
👧 genta, smágenta
🧑 persónur, vaksin
👱 fólk, ljóshærd, ljóshærdur, ljóshærdur persónur
👨 maður, mannfólk, vaksin
🧔 persónur, persónur við skeggi, skegg
🧔‍♂ maður, maður við skeggi, skegg
👱‍♂ ljóshærdur, maður
👩 kona, konufólk, kvinna, vaksin
🧔‍♀ kona, kona við skeggi, konufólk, kvinna, skegg
👱‍♀ kona, kvinna, ljóshærd
🧓 eldri, tilkomin
👴 eldri, gamal, maður, mannfólk
👵 eldri, gomul, kona, konufólk, kvinna
🙍 fólk, illbrýnt, illbrýntur persónur, persónur
🙍‍♂ illbrýntur, maður
🙍‍♀ illbrýnt, kona, kvinna
🙎 fólk, gron, persónur, persónur við gron
🙎‍♂ gron, maður, maður við gron
🙎‍♀ gron, kona, kvinna, kvinna við gron
🙅 fólk, nei, persónur, persónur sum veipar nei, veipar
🙅‍♂ maður, maður sum veipar nei, nei, veipar
🙅‍♀ kona, kvinna, kvinna sum veipar nei, nei, veipar
🙆 fólk, ok, persónur, persónur sum veipar ok, veipar
🙆‍♂ maður, maður sum veipar ok, ok, veipar
🙆‍♀ kona, kvinna, kvinna sum veipar ok, ok, veipar
💁 fólk, nertir við, persónur, persónur sum nertir við
💁‍♂ maður, maður sum nertir við, nertir við
💁‍♀ kona, kvinna, kvinna sum nertir við, nertir við
🙋 fólk, hond, lyft, persónur, persónur sum lyftur hondina upp, upp
🙋‍♂ hond, lyft, maður, maður sum lyftur hondina upp, upp
🙋‍♀ hond, kona, kvinna, kvinna sum lyftur hondina upp, lyft, upp
🧏 deyvur, persónur
🧏‍♂ deyvur, maður
🧏‍♀ deyv, kona, kvinna
🙇 bukkar, fólk, persónur, persónur sum bukkar
🙇‍♂ bukkar, maður, maður sum bukkar
🙇‍♀ bukkar, kona, kvinna, kvinna sum bukkar
🤦 facepalm, fólk, ørkymlan, persónur, vónbrot, vónbrotin persónur
🤦‍♂ facepalm, maður, ørkymlan, ørkymlanfólk, persónur, vónbrot, vónbrotin maður
🤦‍♀ facepalm, kona, kvinna, ørkymlan, ørkymlanfólk, persónur, vónbrot, vónbrotin kvinna
🤷 akslaypp, fólk, ivast, ivi, persónur, persónur sum yppur øksl, veit ikki, yppa øksl
🤷‍♂ akslaypp, ivast, ivi, maður, maður um yppur øksl, veit ikki, yppa øksl
🤷‍♀ akslaypp, ivast, ivi, kona, kvinna, kvinna um yppur øksl, veit ikki, yppa øksl
🧑‍⚕ heilsuverkfrøðingur, lækni, lekifrøðingur, sjúkrarøktarfrøðingur, sjúkrasystir
👨‍⚕ heilsurøkt, lækni, maður, mannligur lækni, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👩‍⚕ heilsurøkt, kona, kvinna, kvinnuligur lækni, lækni, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
🧑‍🎓 lesandi, næmingur, prógv, studentur
👨‍🎓 maður, mannligur studentur, studentur, útbúgvin
👩‍🎓 kona, kvinna, kvinnuligur studentur, studentur, útbúgvin
🧑‍🏫 lærari, professari, vegleiðari
👨‍🏫 lærari, maður, mannligur lærari, professari, vegleiðari
👩‍🏫 kona, kvinna, kvinnuligur lærari, lærari, lærarinna, professari, vegleiðari
🧑‍⚖ dómari, rættvísi
👨‍⚖ dómari, maður, mannligur dómari, rættvísi
👩‍⚖ dómari, kona, kvinna, kvinnuligur dómari, rættvísi
🧑‍🌾 bóndi, urtagarðsmaður
👨‍🌾 bóndi, maður, mannligur bóndi
👩‍🌾 bóndi, kona, kvinna, kvinnuligur bóndi
🧑‍🍳 høvuðskokkur, kokkur, matgera
👨‍🍳 kokkur, maður, mannligur kokkur
👩‍🍳 kokkur, kona, kvinna, kvinnuligur kokkur
🧑‍🔧 maksinsmiður, mekanikari, rørsmiður, smiður
👨‍🔧 elektrikari, maður, mannligur mekanikari, mekanikari, rørsmiður
👩‍🔧 elektrikari, kona, kvinna, kvinnuligur mekanikari, mekanikari, rørsmiður
🧑‍🏭 arbeiðsfólk, sj´óðari, sveisari
👨‍🏭 arbeiðsmaður, maður, mannligur sveisari, sjóðari, sveisari
👩‍🏭 arbeiðskvinna, kona, kvinna, kvinnuligur sveisari, sj´óðari, sveisari
🧑‍💼 embætisfólk, handilsfólk, skrivstovufólk, starvsfólk
👨‍💼 arkitektur, deildarstjóri, løgfrøðingur, maður, skrivstova, skrivstovumaður, stjóri
👩‍💼 arkitektur, deildarstjóri, kona, kvinna, løgfrøðingur, skrivstova, skrivstovukvinna, stjóri
🧑‍🔬 alisfrøðingur, evnafrøðingur, lívsfrøðingur, náttúruvísindafólk
👨‍🔬 maður, náttúruvísindi, vísind, vísindamaður
👩‍🔬 kona, kvinna, náttúruvísindi, vísind, vísindakvinna
🧑‍💻 forritari, tøkni, tøknifrøðingur, uppfinnari
👨‍💻 forritari, maður, mannligur tøknifrøðingur, tøkni, uppfinnari
👩‍💻 forritari, kona, kvinna, kvinnuligur tøknifrøðingur, tøkni, uppfinnari
🧑‍🎤 rokk, sangari, stjørna, undirhaldari
👨‍🎤 maður, mannligur sangari, sangari, sjónleikari, skemtari, undirhaldari, vertur
👩‍🎤 kona, kvinna, kvinnuligur sangari, sangari, sangarinna, sjónleikari, skemtari, songkvinna, undirhaldari, vertur
🧑‍🎨 list, listafólk, listamálari
👨‍🎨 list, listamaður, listamálari, maður
👩‍🎨 kona, kvinna, list, listakona, listamálari
🧑‍✈ flogskipari, pilotur
👨‍✈ flogskipari, maður, mannligur flogskipari, pilotur, René
👩‍✈ flogskipari, kona, kvinna, kvinnuligur flogskipari, pilotur
🧑‍🚀 astronautur, rúmdarskipari, rúmdin
👨‍🚀 astronautur, maður, mannligur astronautur, rúmdarskipari, rúmdin
👩‍🚀 astronautur, kona, kvinna, kvinnuligur astronautur, rúmdarskipari, rúmdin
🧑‍🚒 sløkkilið, sløkkiliðsfólk
👨‍🚒 maður, sløkkilið, sløkkiliðsmaður
👩‍🚒 kona, kvinna, sløkkilið, sløkkiliðskvinna
👮 løgregla, politistur
👮‍♂ løgregla, løgreglumaður, maður
👮‍♀ kona, kvinna, løgregla, løgreglukvinna
🕵 detektivur, løgregla, njósnari, uppdagari
🕵‍♂ løgregla, maður, mannligur detektivur, njósnari, uppdagari
🕵‍♀ kona, kvinna, kvinnuligur detektivur, løgregla, njósnari, uppdagari
💂 vaktur
💂‍♂ maður, vakt, vaktarmaður, vaktur
💂‍♀ kona, kvinna, vakt, vaktarkvinna, vaktur
🥷 fjaldur, ninja, ninja andlit, sníkjandi, stríðsmaður
👷 bygging, byggiverkfrøðingur, smíð
👷‍♂ bygging, byggiverkfrøðingur, maður, mannligur byggiverkfrøðingur, smíð
👷‍♀ bygging, byggiverkfrøðingur, kona, kvinna, kvinnuligur byggiverkfrøðingur, smíð
🤴 fúrsti, kongssonur, prinsur
👸 fúrstakona, fúrstinna, kongsdóttir, prinsessa
👳 fólk, persónur við turban, turban
👳‍♂ maður, maður við turban, turban
👳‍♀ kona, kvinna, kvinna við turban, turban
👲 fólk, húgva, kinesisk, persónur við kinesiskari húgvu
🧕 hijab, kona, kvinna, kvinna við turriklæði, kvinnuplagg, mantilla, turriklæði
🤵 brúðgómur, persónur, persónur í smoking, smoking
🤵‍♂ maður, maður í smoking, smoking
🤵‍♀ kona, kona í smoking, konufólk, kvinna, smoking
👰 brúdleyp, brúður, persónur, persónur í sløri, slør
👰‍♂ maður, maður í sløri, slør
👰‍♀ kona, kona í sløri, kvinna, slør
🤰 kona, kvinna, kvinna við barn, upp á vegin, við barn
🤱 bróstaføði, bróstageving, geva bróst, pinkubarn
👼 ævintýr, andlit, eingil, pinkabarnaeingil, pinkubarn, trúgv
🎅 jól, jólamaður, jólamaðurin, maður
🤶 jól, jólakona, jólakonan, kona, kvinna
🦸 góður, hetja, super, superhetja, yvirnátúrligur
🦸‍♂ góður, hetja, maður, mannlig superhetja, super, yvirnát´úrligur
🦸‍♀ góð, hetja, kvinnulig superhetja, super, yvirnátúrlig
🦹 bakbeist, illmenni, óndur, skálkur, super, superskálkur
🦹‍♂ bakbeist, illmenni, maður, mannligur superskálkur, óndur, skálkur, super
🦹‍♀ bakbeist, illmenni, kona, kvinna, kvinnuligur superskálkur, ónd, skálkur, super
🧙 ævintýr, fólk, galdur, persónur sum dugir gand
🧙‍♂ ævintýr, gandakallur, gandur, kallur, maður, trøllmaður
🧙‍♀ ævintýr, gandakelling, gandakona, gandur, kelling, kona, kvinna
🧚 ævintýr, álva, álvur
🧚‍♂ ævintýr, álvur, maður, mannligur álvur
🧚‍♀ ævintýr, álva, álvadrotning, kona, kvinna, kvinnulig álva
🧛 blóðsúgvari, drakula, vampýrur
🧛‍♂ blóðsúgvari, drakula, maður, mannligur vampýrur
🧛‍♀ blóðsúgvari, drakula, kona, kvinna, kvinnuligur vampýrur
🧜 hav, havfólk, havfrúgv, havmaður
🧜‍♂ havmaður, triton
🧜‍♀ havfrúgv
🧝 ævintýr, álva, álvur
🧝‍♂ ævintýr, álvur, maður, mannfólka álvur
🧝‍♀ ævintýr, álva, konufólka álva, maður
🧞 ævintýr, andi
🧞‍♂ ævintýr, andi, maður, mannligur andi
🧞‍♀ ævintýr, andi, kona, kvinna, kvinnuligur andi
🧟 sombi, uppvakningur, zombie
🧟‍♂ maður, mannligur sombi, sombi, uppvakningur, zombie
🧟‍♀ kona, kvinna, kvinnuligur sombi, sombi, uppvakna, zombie
💆 fólk, massasja, persónur, persónur sum fær massasju
💆‍♂ maður, maður sum fær massasju, massasja
💆‍♀ kona, kvinna, kvinna sum fær massasju, massasja
💇 fólk, hár, hárklipping, hársnið, klipp, persónur, persónur sum fær klipt hári
💇‍♂ hár, hárklipping, hársnið, klipp, maður, maður sum fær klipt hári
💇‍♀ hár, hárklipping, hársnið, klipp, kona, kvinna, kvinna sum fær klipt hári
🚶 fólk, gongur, gongutúr, persónur, persónur sum gongur, til gongu
🚶‍♂ gongur, gongutúr, maður, maður sum gongur, til gongu
🚶‍♀ gongur, gongutúr, kona, kvinna, kvinna sum gongur, til gongu
🧍 persónur, persónur ið stendur, stendur
🧍‍♂ maður, maður ið stendur, stendur
🧍‍♀ kona, kvinna, kvinna ið stendur, stendur
🧎 á knæ, knæ, persónur, persónur á knæ
🧎‍♂ á knæ, knæ, maður, maður á knæ
🧎‍♀ á knæ, knæ, kona, kvinna, kvinna á knæ
🧑‍🦯 blind, blindastavur, blindur, persónur, persónur við blindastavi, stavur
👨‍🦯 blindastavur, blindur, maður, maður við blindastavi, stavur
👩‍🦯 blind, blindastavur, kona, kvinna, kvinna við blindastavi, stavur
🧑‍🦼 koyristólur, motorkoyristólur, persónur, persónur í motorkoyristóli
👨‍🦼 koyristólur, maður, maður í motorkoyristóli, motorkoyristólur
👩‍🦼 kona, koyristólur, kvinna, kvinna í motorkoyristóli, motorkoyristólur
🧑‍🦽 koyristólur, persónur, persónur í koyristóli
👨‍🦽 koyristólur, maður, maður í koyristóli
👩‍🦽 kona, koyristólur, kvinna, kvinna í koyristóli
🏃 fólk, maraton, persónur, persónur sum rennur, renn, rennur
🏃‍♂ maður, maður sum rennur, maraton, renn, rennur
🏃‍♀ kvinna, kvinna sum rennur, maraton, renn, rennur
💃 dansar, dansur, kona, kvinna, kvinna sum dansar
🕺 dansar, dansur, maður, maður sum dansar
🕴 klædningur, maður, maður í klædningi sveimar, sveimar
👯 dansa, dansur, fólk, fólk við haruoyrum, haruoyru, persónar
👯‍♂ dansa, dansur, haruoyru, menn, menn við haruoyrum
👯‍♀ dansa, dansur, haruoyru, konur, kvinnur, kvinnur við haruoyrum
🧖 baðstova, fólk, persónur, persónur í sauna, sauna
🧖‍♂ baðstova, maður, maður í sauna, sauna
🧖‍♀ baðstova, kona, kvinna, kvinna í sauna, sauna
🧗 fólk, klatra, klintra, klíva, klúgva, persónur, persónur sum klatrar
🧗‍♂ klatra, klintra, klíva, klúgva, maður, maður sum klatrar
🧗‍♀ klatra, klintra, klíva, klúgva, kona, kvinna, kvinna sum klatrar
🤺 fektari, fiktar, fólk, persónur
🏇 fólk, hestur, jockey, kappríðari, kappríðing, persónur, ross
⛷ fólk, kavi, persónur, skíð, skíðrennari
🏂 fólk, persónur, persónur sum stendur á snjófjøl, snjófjøl, snowboard, snowboarder
🏌 fólk, golf, persónur, persónur sum spælir golf
🏌‍♂ golf, maður, maður sum spælir golf
🏌‍♀ golf, kona, kona sum spælir golf, kvinna
🏄 brimfjøl, fólk, persónur, persónur sum skreiður á brimfjøl, surfa
🏄‍♂ brimfjøl, maður, maður sum skreiður á brimfjøl, surfa
🏄‍♀ brimfjøl, kona, kona sum skreiður á brimfjøl, kvinna, surfa
🚣 árabátur, fólk, persónur, persónur í árabáti, rógva, rør
🚣‍♂ árabátur, maður, maður í árabáti, rógva, rør
🚣‍♀ kvinna í árabáti
🏊 fólk, persónur, persónur sum svimur, svimjari, svimur
🏊‍♂ maður, maður sum svimur, svimjari, svimur
🏊‍♀ kona, kvinna, kvinna sum svimur, svimjari, svimur
⛹ fólk, kurvabóltur, persónur, persónur sum spælir kurvabólt
⛹‍♂ kurvabóltur, maður, maður sum spælir kurvabólt
⛹‍♀ kona, kurvabóltur, kvinna, kvinna sum spælir kurvabólt
🏋 fólk, lyftingarítrótt, persónur, vektlyftari, vektlyfting
🏋‍♂ lyftingarítrótt, maður, mannligur vektlyftari, vektlyftari, vektlyfting
🏋‍♀ kona, kvinna, kvinnuligur vektlyftari, lyftingarítrótt, vektlyftari, vektlyfting
🚴 fólk, persónur, persónur sum súkklar, súkkla, súkklar, súkklari
🚴‍♂ maður, maður sum súkklar, súkkla, súkklar, súkklari
🚴‍♀ kona, kvinna, kvinna sum súkklar, súkkla, súkklar, súkklari
🚵 fjallasúkkla, fólk, persónur, persónur á fjallasúkklu, súkkla, súkklar, súkklari
🚵‍♂ fjallasúkkla, maður, maður á fjallasúkklu, súkkla, súkklar, súkklari
🚵‍♀ fjallasúkkla, kona, kvinna, kvinna á fjallasúkklu, súkkla, súkklar, súkklari
🤸 fimleik, fimleikur, fólk, myllulop, persónur, persónur sum ger myllulop
🤸‍♂ fimleik, fimleikur, maður, maður sum ger myllulop, myllulop
🤸‍♀ fimleik, fimleikur, kona, kvinna, kvinna sum ger myllulop, myllulop
🤼 fólk, glíma, glíming, glímingardystur, persónar
🤼‍♂ glíma, glíming, glímingardystur, mannligur glímingardystur, menn
🤼‍♀ glíma, glíming, glímingardystur, konur, kvinnuligur glímingardystur, kvinnur
🤽 fólk, persónur, persónur sum spælir vatnpolo, vatnpolo
🤽‍♂ maður, maður sum spælir vatnpolo, vatnpolo
🤽‍♀ kona, kona sum spælir vatnpolo, kvinna, vatnpolo
🤾 fólk, hondbólt, hondbóltur, persónur, persónur sum spælir hondbólt
🤾‍♂ hondbólt, hondbóltur, maður, maður sum spælir hondbólt
🤾‍♀ hondbólt, hondbóltur, kona, kvinna, kvinna sum spælir hondbólt
🤹 fimla, fimlari, fólk, persónur, persónur sum fimlar
🤹‍♂ fimla, fimlari, maður, maður sum fimlar
🤹‍♀ fimla, fimlari, kona, kvinna, kvinna sum fimlar
🧘 fólk, joga, lotus, lotusstøða, meditatión, persónur, persónur í lotusstøðu
🧘‍♂ joga, lotus, lotusstøða, maður, maður í lotusstøðu, meditatión
🧘‍♀ joga, kona, kvinna, kvinna í lotusstøðu, lotus, lotusstøða, meditatión
🛀 bað, baðikar, fólk, persónur, persónur í baðikari
🛌 fólk, persónur, persónur í song, song, svevur
🧑‍🤝‍🧑 fólk, leiðast, par
👭 konur, kvinnur, leiðast, par
👫 kona, kvinna, kvinna or maður leiðast, leiðast, maður, par
👬 leiðast, maður, menn, par, stjørnutekin, tvíburar, Tvíburarnir
💏 hjarta, muss, par, tvey íð mussast
💑 hjarta, kærleiki, par, par og hjarta
👪 barn, familja, foreldur
🗣 høvd, høvd sum prátar, prát, prátar, skuggamynd, tosar
