{ خلاص تاو قوس, قوس, کوږ تړلی وزر, کوږ قوس, کوسه, ګولینګ
🏻 پوستکۍ, د روڼ پوستکي ټون, ډول ۲–۱, روښانه پوستکۍ
≈ نږدې, نږدې مساوي
≡ ته یکسان, دری چنده, ورته, یکسان
≤ لږ یا مساوي, لږ-بیا, مساوي, نابرابري
≥ لوی - له مساوي, لوی یا مساوي, مساوي, نابرابري
⊂ زیر مجموعه, زیر مجموعه څخه, زیر مجموعه له, مجموعه
▲ پورته, ډک شوی, ډکونکی - څرګندونې مثلث, ډکونکی - ښودونکی مثلث, غشی, مثلث
▼ ډک شوی, ډک شوی - نښې ښودونکی مثلث, ډک ښکته-اشاره د مثلث, ښکته, غشی, مثلث
◊ الماس, روميبس, لوزینج, لوزینګ
○ تشه حلقه, تشه دایره, حلقه, زنګ
● دایره, ډک شوی دایره
◯ حلقه, زنګ, لوی تش تشې حلقه, لوی تشه دایره
♪ اتم, سندره, یادښت
♭ سندره, فلیټ, هوار, یادښت
♯ تېز, تېزې, سندره, یادونه
😀 خندېدلی مخ, مخ, مسکا, مسکېدلی مخ
😃 پېرته, خله, مخ, مسکا, مسکېدلی مخ د غټو سترګو سره
😄 برسېره, خله, سترګه, مخ, مسکا, مسکېدلی مخ د مسکېدلی سترګو, مسکېدلی مخ د مسکېدلی سترګو سره
😁 پړقېدونکی مخ دمسکېدلي سترګو سره, خندا, سترګه, مخ, مسکا
😆 خله, خندا, قانع, مخ, مسکا, مسکېدلی نيمکښ مخ
😅 برسېره, خوله, مخ, مسکا, مسکېدلی مخ د خولو سره, يخ
🤣 خندل, د خندا نه په فرش رغړېدل, فرش, مخ
😂 اوښکې, خندا, خوشالي, د خوشحالۍ د اوښکو مخ, مخ
🙂 لږ مسکېدلی مخ, مخ, مسکا
🙃 مخ, نسکور
😉 سترګه وهل, سترګه وهونکی مخ, مخ
😊 سترګه, شرمېدل, مخ, مسکېدونکی مخ د مسکېدونکې سترګو
😇 فرشته, مخ, مسکېدونکی مخ د هالې سره, معصوم, هاله
🥰 په مينه کې, د زړه مينه, زړونه, ماتول, مسکېدونکی, مسکېدونکی مخ د زړونو سره
😍 سترګه, مخ, مسکا, مسکېدونکی مخ د زړه سترګو سره, مينه
🤩 خندل, سترګې, ستورو وهلی, ستوری, مخ
😘 د الوزونکي مچولو مخ, مچول, مخ
😗 مچول, مچوونکی مخ, مخ
☺ آوټلاين, دمه, مخ, مسکا, مسکېدلی مخ
😚 بندې, سترګه, مچول, مچوونکی مخ د بندو سترګو سره, مخ
😙 سترګه, مچول, مچوونکی مخ د مسکېدلې سترګو سره, مخ, مسکا
🥲 اوښکې, پارېدلی, خندېدونکی, خندېدونکی مخ د اوښکو سره, قانع, مغرور, منندويه
😋 خوند اخيستنه, خوندور, له خوړو خوند اخيستونکی مخ, مخ, مسکا, يم
😛 د ژبې مخ, ژبه, مخ
😜 ژبه, سترګه, سترګه وهل, سترګه وهونکی مخ سره د ژبې, مخ, ملنډه
🤪 احمق, ستر, سترګه, کوچني, مسخره مخ
😝 خوند, د کږو سترګو مخ سره د ژبې, ډاروونکې, ژبه, سترګه, مخ
🤑 پېسې, خوله, د پېسو د خولې مخ, مخ
🤗 غاړه ورکوونکی مخ, غېږه, غېږه کې نيول, مخ
🤭 سوځول, لاس په خوله مخ
🤫 غلی, کرارول, کرارونکی مخ
🤔 فکرمند, مخ
🤐 خوله, ځنځير, د ځنځير د خولې مخ, مخ
🤨 بدګماني, د اوچتو شويو وريځو مخ, شکمن
😐 بې پلوه, بې پلوه مخ, ځای په ځاي, مخ
😑 بې اثره, بې تاثيره, بې تاثيره مخ, بې هيجانه, مخ
😶 پرته له خولې مخ, په قلاره, خله, غلې, مخ
😶‍🌫 په ګند کې مخ, په وريځو کې مخ, په وريځو مخ, سر په ورېځو کې, غیرحاضر
😏 د ملنډو خندا, د ملنډو د خندا مخ, مخ
😒 پښيمانه مخ, غمجن, مخ, ناخوشاله
🙄 تاووهونکې, د تاوهونکو سترګو مخ, سترګې, مخ
😬 بړوستوب, بړوسېدلی مخ, مخ
😮‍💨 خولې, څاڅکی, د تنفس مخ, راحت, ساه ایستل, سیټي, ګاز
🤥 پينوشو, دروغ, مخ
😌 خوشحاله, مخ
😔 د فکر مخ, غمجن, فکرمند, مخ
😪 خوب, خوبيولى مخ, مخ
🤤 د خندا وړ, د خندا وړ مخ, مخ
😴 خوب, د خوب مخ, ززز, مخ
😷 ډاکټر, سره د طبي ماسک مخ, سوړ, مخ, ناروغه
🤒 ترماميټر, رنځور, سره ترمامیتر مخ, مخ, ناروغه
🤕 بنداژ, زخمي, ژوبل, سره سر-بنداژ مخ, مخ بنداژ
🤢 زړه بدوالی مخ, قي کول, مخ
🤮 قي کول, قی کوونکی مخ, ناروغه
🤧 پرنجېدل, پرنجېدونکی مخ, ګيسونهيټ, مخ
🥵 تود, تود مخ, د تودوخې, د خولې, سور مخ, ګرم
🥶 آسماني رنګ مخ, آيسيکل, سوړ, سوړ مخ, کنګل, کنګل شوې
🥴 پرکاله, خندور مخ, خوځيدونکې خوله, سرګرځېدونکې, ګډوډي سترګې
😵 سرګرزنی, مخ
😵‍💫 چکر, ستونزه, سرپل, مخ سرپل سترګې, هه, هیپنوټائز
🤯 چاودیدلی سر, حيران
🤠 خولۍ, د چروایي خولۍ مخ, غوبنه, غوبه, مخ
🥳 پارټي, پارټي کوونکی مخ, خولۍ, ښکر, نمانځنه
🥸 اصل ماهيت بدلوونکی مخ, پوزه, عېنکې, ماهيت بدلول, مخ, نه پېژندونکی
😎 پړقېدونکې, د لمر عينکې, کول, لمر, مخ, مسکېدونکی مخ د لمر دعينکو سره
🤓 بيګانه, بېګانه مخ, ګيک, مخ
🧐 تړبوخته, د يوې سترګې عينکې مخ
😕 مخ, وارخطا
😟 اندېښمن, مخ
🙁 تريو تندې, د لږ تريو تندي مخ, مخ
☹ تريو تندې, د تريو تندي مخ, مخ
😮 بيرته, خوا خوږي, خوله, د بېرته خولې مخ, مخ
😯 چپ, حيران, د چپې خولې مخ, ګنګس, مخ
😲 بشپړ, پښيمانه, حيران, مخ
😳 سر ګرځيدل, سور او تود, سور او تود مخ, مخ
🥺 ادعا کول, پپي سترګې, رحم, وکالت کوونکی مخ, وکالت کوونکے مخ
😦 د تريو تندې او خلاصې خولې مخ, د خلاصې خولې سره ځړونکی مخ
😧 کړوونکی, مخ
😨 ډار, ډارونکی, ډارېدلی, مخ
😰 آسماني رنګ, اندېښمن مخ د خولې سره, بې مينې, تندي, خوله, مخ
😥 اف, پښيمانه خو دمه مخ, دمه, مايوسه, مخ
😢 اوښکې, پښيمانه, ژړل, ژړېدونکی مخ, مخ
😭 اوښکې, پښيمانه, په لوړ غږ ژړا مخ, ژړل, سلګۍ, لوړ غږ ژړا مخ, مخ
😱 په ډار کې ژړېدونکی مخ, چ, ډار, ډارېدلې, غې مخ
😖 ګډوډ, مخ
😣 سخت سری, سخت سری مخ, مخ
😞 مايوسه, مخ
😓 بې مينې, خوله, غمجن مخ سره د خولې, مخ
😩 بېزاره مخ, ستړې, ستومانه, مخ
😫 ستړى, ستړي مخ, مخ
🥱 ارږمی کول, تنګ شوی, د ارږمي مخ, ستړی
😤 بريا, د پوزې د پخار مخ, فتح, مخ
😡 د بوڅې شونډې مخ, سور, شونډه بوڅول, غصه, قهرجن, لېوني, مخ
😠 قهرجن, ليونې, مخ
🤬 په خوله کې د سمبول مخ, قسم خوړل
😈 د ښاپېرو کيسه, ښکر, مخ, مسکا, مسکېدلی مخ د ښکرو سره
👿 د شيطان بچي, شيطان, قهرجن مخ د ښکرو سره, مخ, وهم
💀 د ښاپېرو کيسه بلا, کوپړۍ, مخ, مرګ
☠ اووښتي هډوکي, بلا, کوپړۍ او اووښتي هډوکي, کوپړۍ او اووښي هډوکي, مخ, مرګ
💩 پو دا پخی
🤡 ټوکي, مخ
👹 بلا, د ښاپېرو کيسه, ديو, مخ, مخلوق
👺 بلا, پېری, د ښاپېرو کيسه, مخ, مخلوق
👻 بلا, د ښاپيرو کيسه, شيشکه, مخ, مخلوق
👽 اوفو, پرديو, پردیو, توريد, د بلې زمکې, مخ, مخلوق
👾 اوفو, بلا, د بلې زمکې, مخ, مخلوق, ناشنا
🤖 بلا, روبوټ, مخ
😺 برسېره, پيشو, خندېدونکی, خوله, د پيشو خندېدونکی مخ, مخ, مسکا
😸 پيشو, خندېدونکی, خندېدونکی پيشو د مسکېدونکي سترګو ستره, سترګه, مخ, مسکا
😹 اوښکې, پيشو, پيشو د خوشالۍ د اوښکو سره, خوشالي, مخ
😻 پيشو, زړه, سترګه, مخ, مسکا, مسکېدلی پيشو د زړه د سترګو سره, مينه
😼 پيشو, پيشو د کږې خندا سره, د ملنډې مسکا, کوږ, مخ, مسکا
😽 پيشو, سترګه, مچول, مچوونکی پيشو, مخ
🙀 او, پيشو, حيران, ستړی, مخ
😿 اوښکې, پيشو, خپه, ژړل, ژړېدونکی پيشو, مخ
😾 پيشو, ډېوه خولی, ډېوه خولی پيشو, مخ
🙈 وګورئ بریښنايي بندر
🙉 اوریدل بریښنايي بندر
🙊 غږېدل بریښنايي بندر
💋 شونډي, مچو, مچو نښه
💌 د مینې لیک, زړه, لیک, مینه
💘 تیر, تیر وهلی زړه, تیر وهلۍ زړه, کاپي
💝 تړلۍ, تړلۍ زړه, عاشقانو ورځ
💖 ځلاداره, ځلاداره زړه, زړه پوری
💗 زړه پوری, ضربان, غټیدونکې, غټیدونکې زړه, وارخطا
💓 ځړولی, زړه ضربان, ضربان, ضربان زړه
💞 تړلۍ, تړلۍ زړونه
💕 دوه زړونه, مینه
💟 زړه, سینګار زړه
❣ د زړه ندا, ندا, نښه, وقفه
💔 مات, مات زړه, مات شوی
❤‍🔥 زړه, زړه اور, سپیڅلی زړه, سوځول, شوق, مینه
❤‍🩹 حي, روغول, ښه, ښه کول, ښه کول زړه, وده کول
❤ زړه, سور زړه
🧡 نارنجی, نارنجی زړه
💛 ژیړ, ژیړ زړه
💚 شین, شین زړه
💙 اسماني, اسماني زړه
💜 بنفش, بنفش زړه
🤎 زړه, نسواري
🖤 بد, تور, تور زړه, شر
🤍 زړه, سپين
💯 100, بشپړه, سل, سل ټکي, نمرې
💢 د قهر نښه, قهر, لیونۍ, مسخره
💥 بوم, تکړ, ټکر, مسخر
💫 ستورۍ, سربدال, مسخره
💦 خوله, خولو څاڅکی, لري کول, مسخره
💨 لري, لري کول, مسخره, منډه وهل
🕳 سورۍ
💣 بم, مسخره
💬 بیان, پوګاڼه, خبري, مسخره
👁‍🗨 سترګه, شاهد, غږ پوقاڼه, غږ پوقاڼه کې سترګه, غږ پوګاڼه کې سترګه
🗨 بیان, خبري, د بیان چپه پوګاڼه
🗯 پوګاڼه, ښې خوا قهر پوګاڼه, ښې خوا قهرپوګاڼه, قهر, لیونۍ
💭 پوګاڼه, د خبرو پوقانه, فکر, مسخره l
💤 zzz, خوب, مسخره
👋 خوځول, خورول, لاس
🤚 اوچت, لاس شاخوا, لاس شاخوا اچوتول
🖐 پنجه, ګوته, لاس
✋ اوچت لاس, لاس
🖖 ټوپ, ښه, ښه راغلاست, ګوتي, لاس
👌 اوکی, لاس
🤌 تفتيش, تنزيه, چونګ, د لاس اشاره, ګوتې
🤏 سکونډونکی لاس, کوچنی مقدار
✌ v, بریا, د بریا نښه, لاس
🤞 بخت, ګوتي, لاس, متقاطع
🤟 ILY, د مینې اشاره, لاس
🤘 دوشاخ, دوشاخه, ګوتي, لاس, مست
🤙 زنګ, زنګ وهلو اشاره, لاس
👈 اشاره, په چپ لاس په شهادت ګوته اشاره کول, د لاس شا, شهادت ګوته, ګوته, لاس
👉 اشاره, په ښي لاس په شهادت ګوته اشاره کول, د لاس شا, شهادت ګوته, ګوته, لاس
👆 پورته, شهادت ګوته, شهادت ګوته پورته نیول, شهادت ګوته لاس شاخوا پورته نیول, ګوته, لاس
🖕 ګوته, لاس, منځنې ګوته
👇 اشاره, په شهادت ګوته لاس شاخوا لاندي اشاره کول, شهادت ګوته, ګوته, لاس, لاس شاخوا, لاندي
☝ پورته, شهادت ګوته, شهادت ګوته پورته نیول, ګوته, لاس
👍 +1, پورته, ډیر ښه, غټه ګوته, لاس
👎 +1, ډیر بد, غټه ګوته, لاس
✊ سوک, لاس, موټي, موټۍ پورته نیول
👊 سوک, لاس, مخامخ موټۍ, موټۍ
🤛 چپ خوا, چپ موټۍ, موټۍ
🤜 ښۍ خوا, ښۍ موټۍ, موټۍ
👏 پړکول, لاس, لاسونه پړکول
🙌 اشاره, اوچت, لاس, لاسونه اوچتول, لاسونه اوچول, لمانځل, هوری
👐 خلاص, خلاص لاسونه, لاس
🤲 عبادت, لپه لاسونه
🤝 خوځول, ستړې مشي, لاس, ملاقات, موافقه
🙏 اشاره, بند, پوښتنه, عبادت, غوښتل, لاس, مننه, مننې لاسونه, مهربانی
✍ لاس, لیکل, لیکونکې لاس
💅 پاملرنه, رنګ, کاسمټکیس, مانیکیور, نوک, نوکانو رنګ
🤳 سيلفي, فون, کامره
💪 انعطاف, انعطافی مټې, عضلي, مټې, مسخره
🦾 لاسرسی, مصنوعي اندام, ميخانيکي مټ
🦿 لاسرسی, مصنوعي اندام, ميخانيکي پنډۍ
🦵 اندام, پنډۍ, لته
🦶 پښه, په موټي وهنه, لته
👂 بدن, غوږ
🦻 په غوږونو کوڼ, غوږ د اورېدنې د مرستې سره, لاسرسی
👃 بدن, پوزه
🧠 ذکاوت, مغز
🫀 د زړه درزا, د زړه عضو, د زړونو پوهه, درزا, عضو, مرکز
🫁 سا اخيستل, سا راکښل, سا ويستل, سګي, عضو
🦷 دندان ساز, غاښ
🦴 ډهانچه, هډوکی
👀 سترګي, سرتګه, مخ
👁 بدن, سترګه
👅 بدن, ژبه
👄 خوله, شونډي
👶 ځوان, کوچنی
🧒 بې پلوه جنسیت, ځوان, غیرمعین جنس, ماشوم
👦 ځوان, هلک
👧 ځوان, د وږي مياشت, زېږگه, نجلۍ
🧑 بالغ, شخص, نامعلومه جنس, نرښځۍ
👱 د زيړ ويښتانو, د زيړ ويښتانو شخص, شخص: د سرو ويښتانو, وېښتان
👨 سړی
🧔 ږيره, سړی, سړی: ږيره, شخص
🧔‍♂ ږیره, سړی, سړی: ږیره
👱‍♂ د زېړ ويښتانو, د زېړ وېښتانو سړی, سړی, سړی: د زيړ وېښتانو, وېښتان
👩 ښځه
🧔‍♀ ږیره, ښځه, ښځه: ږیره
👱‍♀ د زېړ ويښتانو ښځه, زېړ ويښتان, ښځه, ښځه: د زېړ وېښتانو, ويښتان
🧓 بالغ, زوړ, زوړ شخص, نامعلومه جنس, نر ښځۍ
👴 بالغ, زوړ, سړی
👵 بالغ, زړه ښځه, زوړ, ښځه
🙍 اشاره, شخص وروځې راغورځوي, وروځې روغورځول
🙍‍♂ اشاره, سړی, سړی وروځې راغورځوي, وروځې راغورځول
🙍‍♀ اشاره, ښځه, ښځه وروځې راغورځوي, وروځې راغورځول
🙎 اشاره, تندی کوت کول, شخص تندی کوت کوي
🙎‍♂ اشاره, تندی کوت کول, سړی, سړی تندی کوت کوي
🙎‍♀ اشاره, تندی کوت کول, ښځه, ښځه تندی کوت کوي
🙅 اشاره, شخص د نه اشاره کوي, لاس, ممنوع, منع کول
🙅‍♂ اشاره, سړی د نه اشاره کوي, لاس, ممنوع, منع کول
🙅‍♀ اشاره, ښځه د نه اشاره کوي, لاس, ممنوع, منع کول
🙆 اشاره, او کی, شخص د او کی اشاره کوي, لاس
🙆‍♂ اشاره, او کی, سړی, سړی د او کی اشاره کوي, لاس
🙆‍♀ اشاره, او کی, ښځه, ښځه د او کی اشاره کوي, لاس
💁 شخص لاس ښايي, لاس, لاس ښوول, مرسته, معلومات
💁‍♂ ساسي, سړی, سړی لاس ښايي, لاس ښوول
💁‍♀ ساسي, ښځه, ښځه لاس ښايي, لاس ښوول
🙋 اشاره, اوچت کړي, خوشاله, شخص لاس اوچتوي, لاس
🙋‍♂ اشاره, سړی, سړی لاس اوچتوي, لاس اوچتول
🙋‍♀ اشاره, ښځه, ښځه لاس اوچتوي, لاس اوچتول
🧏 اورېدل, غوږ, کوڼ, کوڼ شخص, لاسرسی
🧏‍♂ سړی, کوڼ
🧏‍♀ ښځه, کڼه
🙇 اشاره, بخښنه, شخص ښکته کيږي, شخص ښکته کيږې, ښکته کېدل, معذرت
🙇‍♂ اشاره, بخښنه, سړی, سړی ښکته کيږي, ښکته کېدل, مرسته, معذرت
🙇‍♀ اشاره, بخښنه, ښځه, ښځه ښکته کيږې, ښکته کېدل, معذرت
🤦 بې زړه کيدل, بې يقيني, شخص مخ ته لاس نيولي, شخص مخ ته لاس نيولی, مخ ته لاس نيول, ورغوی
🤦‍♂ بې زړه کيدل, بې يقيني, سړي مخ ته لاس نيولی, سړی, مخ ته لاس نيول
🤦‍♀ بې زړه کيدل, بې يقيني, ښځه, ښځې مخ ته لاس نيولی, مخ ته لاس نيول
🤷 اوږې وهل, بې توپيرتوب, شخص اوږې پورته کوي, شک, ناپوهي
🤷‍♂ اوږې وهل, بې توپيرتوب, سړی اوږې پورته کوي, شک, ناپوهي
🤷‍♀ اوږې وهل, بې توپيرتوب, شک, ښځه اوږې پورته کوي, ناپوهي
🧑‍⚕ تهراپسټ, ډاکټر, روغتيا ساتنه, روغتيايي کارمند, نرس
👨‍⚕ تهراپسټ, د روغتيا پاملرنه, ډاکټر, سړی روغتيايي کارکوونکی, نرس
👩‍⚕ تهراپسټ, د روغتيا پاملرنه, ډاکټر, ښځه روغتيايي کارکوونکي, نرس
🧑‍🎓 ګرېجوېټ, محصل
👨‍🎓 سړی, ګريجويټ, محصل
👩‍🎓 ښځه محصل
🧑‍🏫 پروفيسر, ښوونکی, معلم
👨‍🏫 سړی ښوونکی, سړی، ښوونکی پروفيسر، معلم
👩‍🏫 ښځه ښوونکي, ښوونکی، پروفيسر، معلم، ښځه
🧑‍⚖ تلې, قاضي
👨‍⚖ انصاف، سړی، سړی قاضي، تلې, سړی قاضي
👩‍⚖ تلې, ښځه, قاضي
🧑‍🌾 بزګر, پادوان, مالي
👨‍🌾 بزګر، مالي، سړی، رينچر, سړی بزګر
👩‍🌾 بزګر, پادوان, ښځه, ښځه د بزګر, مالي
🧑‍🍳 اشپز, چف
👨‍🍳 اشپز, پخوونکی, سړی
👩‍🍳 اشپز, پخوونکی, ښځه
🧑‍🔧 پلمبر, سوداګر, مستري, مېخانيک
👨‍🔧 پلمبر, تجار, سړی, مستري, ميخانيک
👩‍🔧 پلمبر, تجار, ښځه, مستري, ميخانيک
🧑‍🏭 د فابريکې کارمند, صنعتي, فابريکه, کارمند, يوځای کول
👨‍🏭 سړی, سړی د فابريکې کارګر, صنعتي, فابريکه, کار کوونکی, يوځای کول
👩‍🏭 ښځه, ښځه د فابريکې کارګر, صنعتي, فابريکه, کار کوونکی, يوځای کول
🧑‍💼 دفتري کارمند, سپين کالر, کاروبار, مدير, مهندس
👨‍💼 سپين پوس, سړی, سړی دفتري کارګر, کاروبار, منتظم, مهندس
👩‍💼 سپين پوس, سړی دفتري کارګر, ښځه دفتر کارګر, کاروبار, منتظم, مهندس
🧑‍🔬 انجينير, څېړونکی, د فزکس پوهاند, کمياګر, نبات پوه
👨‍🔬 انجينير, د بيالوژي پوهاند, د فزکس پوهاند, سائينس دان, سړي څېړونکی, کيميا ګر
👩‍🔬 انجينير, د بيالوژي پوهاند, د فزکس پوهاند, سائينس دان, ښځه څېړونکی, کيميا ګر
🧑‍💻 تيکنالوجست, ډيويلپر, سافټ ويير, ښځه, ښځه تکنالوجست, کوډر, موجد
👨‍💻 تيکنالوجست, ډيويلپر, سافټ ويير, سړی, سړی تکنالوجست, کوډر, موجد
👩‍💻 تيکنالوجست, ډيويلپر, سافټ ويير, ښځه, ښځه تکنالوجست, کوډر, موجد
🧑‍🎤 اکټر, خوشالوونکی, راک, ستوری, سندرغاړی, ښځه, ښځه سندرغاړې
👨‍🎤 اکټر, خوشالوونکی, راک, ستوری, سړی, سندرغاړی
👩‍🎤 اکټر, خوشالوونکی, راک, ستوری, سندرغاړی, ښځه, ښځه سندرغاړې
🧑‍🎨 پليټ, فنکار
👨‍🎨 پليټ, سړی, فنکار
👩‍🎨 تخته, ښځه, فنکار
🧑‍✈ الوتکه, پيلوټ
👨‍✈ الوتکه, پيلوټ, سړی
👩‍✈ الوتکه, پيلوټ, ښځه
🧑‍🚀 راکټ, فضانورد
👨‍🚀 راکټ, سړی, فضانورد
👩‍🚀 راکټ, ښځه, فضانورد
🧑‍🚒 اور وژونکی, د اور ټرک, د اور وژنې کارمند
👨‍🚒 اور وژونکی, د اور وژنې ټرک, سړی, سړی اور وژونکی
👩‍🚒 اور وژونکی, د اور وژنې ټرک, ښځه, ښځه اور وژونکی
👮 افسر, پوليس, د پولیسو افسر, کاپ
👮‍♂ افسر, پوليس, سړی, سړی د پولیسو افسر, کاپ
👮‍♀ افسر, پوليس, ښځه, ښځه د پولیسو افسر, کاپ
🕵 پټ پوليس, جاسوس, کشفي
🕵‍♂ پټ پوليس, جاسوس, سړی, کشفي
🕵‍♀ پټ پوليس, جاسوس, ښځه, کشفي
💂 ساتونکی
💂‍♂ ساتونکي, سړی
💂‍♀ ساتونکي, ښځه
🥷 پټ, په پټه, جنګېدونکی, ننجا
👷 خولۍ, ساختماني, کارکونکي
👷‍♂ ساختماني, سړی, کارګر
👷‍♀ ساختماني, ښځه, ښځه ساختماني کارګر, کارګره
🤴 شهزاده
👸 خيال, د ښاپيرو کيسه, شهزادګی, شهزادګۍ, شهزادگۍ
👳 شخص لونګۍ په سر, لونګۍ
