{ nawias, nawias klamrowy, nawias otwierający, otwierający nawias klamrowy
🏻 karnacja, karnacja jasna, odcień skóry, typ 1–2
🏼 karnacja, karnacja średnio jasna, odcień skóry, typ 3
🏽 karnacja, karnacja średnia, odcień skóry, typ 4
🏾 karnacja, karnacja średnio ciemna, odcień skóry, typ 5
🏿 karnacja, karnacja ciemna, odcień skóry, typ 6
‾ nadkreślenie
_ dolny myślnik, linia, podkreślenie, podkreślnik, znak podkreślenia
- łącznik, łącznik-minus, minus, myślnik, pauza
‐ dywiz, łącznik, myślnik
^ akcent, akcent przeciągły, cyrkumfleks, daszek, znak diakrytyczny
¨ diereza, umlaut
° stopień, symbol stopnia
℗ muzyczne, nagranie, znak praw autorskich, znak praw autorskich do nagrań muzycznych
← lewo, strzałka, strzałka skierowana w lewo
↚ przekreślona strzałka w lewo
→ prawo, strzałka, strzałka skierowana w prawo
↛ przekreślona strzałka w prawo
↑ góra, strzałka, strzałka skierowana w górę
↓ dół, strzałka, strzałka skierowana w dół
↜ falista strzałka w lewo
↝ falista strzałka w prawo
↞ strzałka w lewo z podwójnym grotem
↟ strzałka w górę z podwójnym grotem
↠ strzałka w prawo z podwójnym grotem
↡ strzałka w dół z podwójnym grotem
↢ strzałka w lewo z lotką
↣ strzałka w prawo z lotką
↤ strzałka w lewo z kreski
↥ strzałka w górę z kreski
↦ strzałka w prawo z kreski
↧ strzałka w dół z kreski
↨ strzałka w górę i w dół z podstawą
↫ strzałka w lewo z pętlą
↬ strzałka w prawo z pętlą
↭ falista strzałka w lewo i prawo
↯ zygzakowata strzałka w dół
↰ strzałka w górę z grotem skierowanym w lewo
↱ strzałka w górę z grotem skierowanym w prawo
↲ strzałka w dół z grotem skierowanym w lewo
↳ strzałka w dół z grotem skierowanym w prawo
⇅ dół, góra, strzałka, strzałki skierowane w górę i w dół
⇆ lewo, prawo, strzałka, strzałka skierowana w lewo nad strzałką skierowaną w prawo, strzałka w lewo nad strzałką w prawo
∆ delta, trójkąt
∇ nabla, trójkąt
∈ element, jest elementem, należy do, zbiór, znak przynależności do zbioru
+ dodawać, dodawanie, plus
± plus-minus
÷ dzielenie, iloraz, podzielić, znak dzielenia, znak ilorazu
× iloczyn, mnożenie, mnożyć, razy, znak iloczynu, znak mnożenia
< mniej, mniej niż, mniejsze niż
= równość, znak równości
≠ różne, znak nierówności
> więcej, więcej niż, większe niż
¬ negacja, zaprzeczenie
| kreska, kreska pionowa, linia pionowa, pipe
~ fala, tylda, wężyk
− minus, odejmować, odejmowanie
⁻ indeks górny, minus, minus w indeksie górnym
√ kwadratowy, pierwiastek
∞ nieskończoność, znak nieskończoności
∩ część wspólna zbiorów, iloczyn zbiorów, przecięcie
∪ suma zbiorów, zbiór
≈ około, prawie równe, w przybliżeniu
≡ identyczny, identyczny z, równoważny, tożsamy, tożsamy z, trzy kreski
≤ mniej niż, mniejsze niż lub równe, równa się, równe, różne
≥ równa się, równe, różne, więcej niż, większe niż lub równe
⊂ jest zawarty w, podzbiór, zbiór
▲ strzałka, trójkąt, w górę, wypełniony, wypełniony trójkąt skierowany w górę
▼ strzałka, trójkąt, w dół, wypełniony, wypełniony trójkąt skierowany w dół
◊ karo, romb
○ okrąg, pierścień
● koło, wypełniony okrąg
◯ duży okrąg, okrąg, pierścień
♪ muzyka, nuta, ósemka
♭ bemol, muzyka, ton, znak chromatyczny
♯ krzyżyk, muzyka, ton, znak chromatyczny
😀 roześmiana buźka, szeroko uśmiechnięta twarz
😃 uśmiech, uśmiechnięta twarz z otwartymi ustami, wesoły
😄 uśmiech, uśmiechnięta twarz z otwartymi ustami i roześmianymi oczami, wesoły
😁 śmiech, szeroko uśmiechnięta twarz o roześmianych oczach, uśmiech, wyszczerzone, zęby
😆 satysfakcja, uśmiech, uśmiechnięta twarz z przymrużonymi oczami, wesoły
😅 kropla potu, uśmiech, uśmiechnięta twarz z otwartymi ustami, oblana zimnym potem, wesoły
🤣 kulać się, śmiech, tarza się ze śmiechu
😂 łzy, śmiech, twarz ze łzami radości
🙂 buźka, lekko uśmiechnięta twarz
🙃 do góry nogami, odwrócona twarz
😉 puszczać oko, twarz puszczająca oko
😊 przyjazny, serdeczny, uśmiech, uśmiechnięta twarz o roześmianych oczach
😇 nic nie zrobiłem, świętoszek, uśmiechnięta twarz z aureolą
🥰 uśmiechnięta buźka z sercami, uśmiechnięta twarz z sercami, uwielbienie, zadurzenie, zakochany
😍 buźka, kocham, serca, uśmiech, uśmiechnięta twarz z oczami w kształcie serca, zakochany
🤩 buźka, gwiazdy, zafascynowanie, zafascynowany
😘 całus, kocham, ślę całusa, twarz przesyłająca całusa
😗 całująca twarz, całus, ślę całusa
☺ buźka, uśmiech, uśmiechnięta twarz, zrelaksowany
😚 całująca twarz z zamkniętymi oczami, całus, ślę całusa
😙 całująca twarz o roześmianych oczach, całus, ślę całusa
🥲 dumny, łza, ulga, uśmiechnięta buźka ze łzą, uśmiechnięty, wdzięczny, wzruszony
😋 oblizywać się, twarz delektująca się pysznym jedzeniem
😛 buźka pokazująca język, twarz wystawiająca język
😜 język, mrugnięcie, pokazuję język, twarz wystawiająca język i puszczająca oko
🤪 duże, małe, oko, szalona twarz
😝 język, okropne, pokazywać język, smak, twarz ze zmrużonymi oczami wystawiająca język, zamknięte oczy
🤑 hajs, kasa, pieniądze, twarz, twarz z pieniędzmi na ustach
🤗 ściskam, twarz z gestem przytulania, uśmiech
🤭 twarz z ręką na ustach, ups
🤫 cicho, uciszać, uciszająca twarz
🤔 buźka, myśląca twarz, myślę, zamyślony, zastanawiam się
🤐 buzia na kłódkę, nic nie powiem, twarz z zamkiem błyskawicznym na ustach
🤨 brew, buźka, sceptyczny, twarz z podniesioną brwią
😐 hm, neutralna twarz, nic, nie mam zdania
😑 nic, nie mam zdania, nie obchodzi mnie, twarz bez wyrazu
😶 buźka, cisza, nic nie mówię, twarz bez ust
😶‍🌫 bujać w obłokach, głowa w chmurach, twarz w chmurach, zamyślenie
😏 twarz z uśmieszkiem, uśmieszek
😒 niezadowolona buźka, niezadowolona twarz
🙄 buźka, przewracam oczami, twarz przewracająca oczami
😬 grymaśna buźka, twarz z grymasem
😮‍💨 gwizd, twarz wypuszczająca powietrze, ulga, westchnienie, wydmuchiwać powietrze, wypuszczać powietrze
🤥 długi nos, kłamać, pinokio, twarz kłamcy
😌 odprężona buźka, twarz z wyrazem ulgi
😔 zamyślona buźka, zamyślona twarz
😪 senna twarz, śpiąca buźka
🤤 ślina, śliniąca się twarz, ślinka
😴 sen, spanie, śpiąca twarz, twarz, zzz
😷 choroba, lekarz, maska, operacja, pielęgniarka, twarz, twarz w masce medycznej
🤒 choroba, gorączka, temperatura, termometr, twarz z termometrem
🤕 bandaż, czoło, głowa, rana, skaleczenie, twarz z bandażem
🤢 mdłości, twarz z mdłościami, wymiotować
🤮 chory, wymiotująca twarz, wymioty
🤧 katar, kichać, kichająca twarz, na zdrowie, smarkanie
🥵 czerwona buźka, rozgrzana buźka, rozgrzana twarz, rozpalony, spocony, udar cieplny, upał
🥶 mróz, niebieska twarz, odmrożenie, sopel lodu, zimno, zmarznięta twarz
🥴 faliste usta, na gazie, nierówne oczy, odurzony, pod wpływem, wstawiony, zamroczona twarz
😵 oszołomiona twarz, oszołomiony
😵‍💫 spirale, twarz ze spiralnymi oczami, wow, zahipnotyzowana twarz, zawroty głowy
🤯 eksplodująca głowa, szok
🤠 głowa w kapeluszu kowbojskim, kapelusz, kowboj, kowbojka
🥳 czapeczka, piszczałka, przyjęcie, świętowanie, świętująca buźka, świętująca twarz, trąbka
🥸 anonimowy, buźka w przebraniu, incognito, nos, okulary, przebranie, twarz, wąsy
😎 luzak, na luzie, okulary, uśmiechnięta twarz w okularach przeciwsłonecznych, zadowolony
🤓 buźka w okularach, inteligent, kujon
🧐 twarz z monoklem, wyniosły
😕 zakłopotana buźka, zdezorientowana twarz
😟 zmartwiona buźka, zmartwiona twarz
🙁 grymas, lekko zachmurzona twarz, niezadowolenie
☹ grymas, niezadowolenie, zachmurzona twarz
😮 twarz z otwartymi ustami, zaskoczenie, zaskoczona buźka
😯 zaskoczenie, zaskoczona buźka, zdumiona twarz
😲 zadziwiona twarz, zaskoczenie, zaskoczona buźka
😳 twarz z rumieńcami, twarz z wypiekami
🥺 błagająca twarz, błaganie, litość, słodkie oczy
😦 rozzłoszczona buźka, zachmurzona twarz z otwartymi ustami
😧 udręczona twarz, złość
😨 przestraszona twarz, wystraszona buźka
😰 zaniepokojona twarz oblana potem, zziajana buźka
😥 smutna twarz z wyrazem ulgi, smutna ulga
😢 buźka ze łzą w oku, płacząca twarz
😭 głośno płacząca twarz, zapłakana buźka
😱 krzycząca buźka, twarz krzycząca ze strachu
😖 zakłopotana twarz, zirytowana buźka
😣 napięcie, uparta twarz, zacięta twarz
😞 rozczarowana buźka, rozczarowana twarz
😓 kropla potu, spocony, twarz ze spuszczonymi oczami oblana potem
😩 zmęczenie, zmęczona buźka, znużona twarz
😫 zmęczenie, zmęczona buźka, zmęczona twarz
🥱 nuda, ziewać, ziewająca twarz, zmęczenie, znudzony
😤 prychająca twarz, triumf, twarz z parą wylatującą z nosa, wygrana
😡 dąsy, nadąsana twarz, twarz, wściekłość, złość
😠 rozgniewana buźka, zagniewana twarz
🤬 przekleństwo, twarz z symbolami na ustach
😈 diabełek, fantasy, rogi, różki, uśmiechnięta twarz z rogami, wesoły
👿 diabełek, fantasy, rogi, różki, smutny, zagniewana twarz z rogami
💀 czaszka, duch, kościotrup, potwór, śmierć, szkielet, trupia czaszka
☠ czaszka z piszczelami, duch, kościotrup, piraci, piszczele, potwór, śmierć, szkielet, trupia czaszka
💩 gnój, kupa, obornik, odchody, potwór, twarz
🤡 cyrk, klown, twarz klauna
👹 maska, ogr, potwór
👺 diabeł, goblin, maska, stwór
👻 duch, duszek, język, wesoły duch
👽 kosmita, obcy, pozaziemski, twarz, ufo, ufoludek
👾 kosmiczny potwór, kosmita, obcy, potwór, pozaziemski, twarz, ufo
🤖 głowa robota, monstrum, robot, twarz
😺 kot, uśmiech, uśmiechnięty kot, uśmiechnięty kot z otwartym pyszczkiem, zęby
😸 kot, oczy, roześmiany, uśmiech, uśmiechnięty kot o wesołych oczach, wesoły
😹 kot, kot ze łzami radości, płaczę ze śmiechu, uśmiech, zęby
😻 kot, miłość, oczy, serca, uśmiechnięty kot z oczami w kształcie serca, zakochany
😼 ironia, ironiczny, kot, kot z drwiącym uśmiechem, kpiarski, kpina
😽 całuję, całuski, kot, kot przesyłający całusa, rumieniec
🙀 kot, przestraszony kot, w szoku, zaskoczony, zdumiony, zszokowany
😿 kot, łza, płaczący kot, płaczę, smutny
😾 grymas, kot, nadąsany kot, obrażony
🙈 gest, małpa zasłaniająca oczy, nie, nie widzę, nie widzieć, niedobre, zabronione, zakrywam oczy
🙉 gest, małpa zasłaniająca uszy, nie, nie słyszę, nie słyszeć, niedobre, zabronione, zakrywam uszy
🙊 co ja mówię, gest, małpa zasłaniająca pyszczek, nie, nie mówić, nie mówię, niedobre, zabronione, zakrywam usta
💋 odcisk ust, pocałunek, ślad po pocałunku, usta
💌 liścik, list, list miłosny, miłość, serce, wiadomość
💘 przebite strzałą, serce przebite strzałą, serce ze strzałą
💝 serce, serce ze wstążką, walentynki, wstążka
💖 błyszczące serce, migoczące serce
💗 bicie serca, puls, rosnące serce, serce rośnie, tętno, zdenerwowany
💓 bijące serce, kocham cię
💞 miłość, para, serca dwa, tańczące serca, wirujące serca
💕 dwa serca, kocham, miłość, serca
💟 dekoracja, dekoracja z sercem, ozdoba
❣ czerwony wykrzyknik, serce, wykrzyknik, wykrzyknik w kształcie serca, znak interpunkcyjny
💔 pęknięte, serce, złamane serce
❤‍🔥 miłość, płomienie, płonąć, serce, serce w płomieniach, święte serce
❤‍🩹 dobrze, lepiej, lepsze samopoczucie, uleczone serce, zdrowsze
❤ czerwone, kocham, miłość, serce
🧡 pomarańczowe, pomarańczowe serce
💛 serce, żółte
💚 serce, zielone
💙 niebieskie, serce
💜 fioletowe, purpurowe serce, serce
🤎 brązowe, serce
🖤 czarne serce, czarny, serce, zło
🤍 białe, serce
💯 100, setka, sto punktów, stówa, stówka
💢 symbol gniewu, złość
💥 kolizja, wybuch, żartobliwy
💫 spadająca gwiazda, zawroty głowy
💦 krople, krople potu, pot, woda
💨 pęd, pędzić, podmuch wiatru, szybkie poruszanie się, szybkość, wiatr
🕳 dziura, otwór
💣 bomba, żartobliwy
💬 dialog, dymek, rozmowa
👁‍🗨 dymek, oko, oko w dymku, wzrok
🗨 dialog, dymek, lewostronny dymek, rozmowa
🗯 dymek, prawostronny dymek złości, zdenerwowany, złość
💭 dymek myśli, myśl, myśleć
💤 chrapanie, zabawny, żartobliwy
👋 machająca dłoń
🤚 powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni
🖐 otwarta dłoń wszystkie palce, palce, rozpostarte palce, uniesiona otwarta dłoń
✋ dłoń, stop, uwaga, wzniesiona dłoń
🖖 dłoń, palce, salut wolkański, wolkański
👌 dłoń z gestem OK, znak OK
🤌 gest, palce, przesłuchanie, sarkazm, złączone palce
🤏 dłoń z gestem „trochę”, mała ilość
✌ gest V, gest zwycięstwa, znak V, znak Victorii
🤞 kciuki, powodzenia, skrzyżowane palce, trzymać
🤟 gest Kocham cię, kocham, ręka
🤘 gest rogów, rocker, rogi, znak rockersów
🤙 dłoń w geście „Zadzwoń do mnie”, dzwonić, telefonować
👈 lewa strona, palec, palec w lewo, w lewo, wskazujący
👉 dłoń z palcem wskazującym w prawo, palec, prawa strona, w prawo, wskazujący
👆 dłoń z palcem wskazującym w górę, do góry, góra, palec, w górę, wskazujący
🖕 gest, środkowy palec, wulgarny gest
👇 dłoń z palcem wskazującym w dół, dół, na dół, palec, w dół, wskazujący
☝ do góry, góra, palec, palec wskazujący w górę, w górę, wskazujący
👍 brawo, kciuk w górę, lubię, OK, podoba mi się
👎 brzydkie, kciuk w dół, nie lubię, nie podoba mi się
✊ pięść, uniesiona, wzniesiona pięść, zaciśnięta
👊 cios pięścią, pięść, pięść od przodu, prawy prosty, sierpowy, zaciśnięta pięść
🤛 cios, pięść, pięść skierowana w lewo, uderzenie z prawej
🤜 cios, pięść, pięść skierowana w prawo, uderzenie z lewej
👏 brawa, klaskać, klaskanie, oklaski
🙌 hura!, super, wzniesione ręce
👐 otwarte dłonie, puste ręce, złapać
🤲 dłonie do góry razem, modlitwa
🤝 powitanie, spotkanie, uścisk, uścisk dłoni, zgoda
🙏 modlitwa, prosić, złożone ręce
✍ pisać, pisać odręcznie, pisząca dłoń, piszę
💅 ciało, kosmetyki, lakier do paznokci, lakierować paznokcie, manicure, pielęgnacja
🤳 aparat, selfie, telefon, zdjęcie
💪 mięśnie, muskularny, muskuły, napięty biceps, siła, silny
🦾 dostępność, mechaniczne ramię, proteza
🦿 dostępność, proteza, proteza nogi
🦵 kończyna, kopniak, noga
🦶 kopniak, stopa, tupanie
👂 ciało, ucho
🦻 niedosłuch, niedosłyszący, ucho z aparatem słuchowym
👃 ciało, nos
🧠 inteligentny, mózg
🫀 anatomia, bicie serca, kardiologia, mięsień sercowy, narząd, organ, puls, serce
🫁 narząd, oddech, oddychanie, organ, płuca, wdech, wydech
🦷 dentysta, stomatolog, ząb
🦴 kość, szkielet
👀 oczy, oko, twarz
👁 ciało, oko
👅 ciało, język
👄 ciało, usta, wargi
👶 dziecko, niemowlę
🧒 dziecko, młody, płeć neutralna
👦 chłopiec
👧 dziewczynka, panna, znak zodiaku
🧑 dorosły, płeć neutralna
👱 blond, osoba z włosami blond, włosy
👨 mężczyzna
🧔 broda, osoba, osoba z brodą
🧔‍♂ broda, mężczyzna, mężczyzna z brodą
👱‍♂ blondyn, mężczyzna
👩 kobieta
🧔‍♀ broda, kobieta, kobieta z brodą
👱‍♀ blondynka, kobieta
🧓 płeć neutralna, starszy dorosły, stary
👴 starszy mężczyzna, staruszek, starzec
👵 kobieta, starsza kobieta, staruszka
🙍 smutek na twarzy, smutny, zachmurzona osoba
🙍‍♂ mężczyzna, zachmurzony mężczyzna, zmarszczone brwi
🙍‍♀ kobieta, zachmurzona kobieta, zmarszczone brwi
🙎 buźka, kapryśna, mina, nadąsana osoba, niezadowolona
🙎‍♂ mężczyzna, nadąsany, niezadowolony
🙎‍♀ kobieta, nadąsana, niezadowolona
🙅 nie wolno, osoba pokazująca gest NIE, zakaz
🙅‍♂ mężczyzna, mężczyzna pokazujący gest NIE, nie, ręce, zakaz
🙅‍♀ kobieta, kobieta pokazująca gest NIE, nie, ręce, zakaz
🙆 OK, osoba pokazująca gest OK, ręce
🙆‍♂ mężczyzna, mężczyzna pokazujący „ojej!”, ojej, ręce, zachwyt
🙆‍♀ kobieta, kobieta pokazująca gest OK, ręce
💁 osoba z wystawioną dłonią, pomoc, pomocna dłoń, pomogę, życzliwy
💁‍♂ mężczyzna, mężczyzna z wystawioną dłonią, otwarta dłoń
💁‍♀ kobieta, kobieta z wystawioną dłonią, otwarta dłoń
🙋 osoba podnosząca rękę, ręka do góry, witaj!
🙋‍♂ gest, hej, mężczyzna, mężczyzna podnoszący rękę, powitanie
🙋‍♀ gest, hej, kobieta, kobieta podnosząca rękę, powitanie
🧏 dostępność, głuchota, osoba głucha, słuch, ucho
🧏‍♂ głuchota, głuchy mężczyzna, mężczyzna
🧏‍♀ głucha kobieta, głuchota, kobieta
🙇 opuszczona głowa, osoba w ukłonie, przepraszam, przykro mi
🙇‍♂ gest, mężczyzna, mężczyzna w ukłonie, przepraszam, ukłon
🙇‍♀ gest, kobieta, kobieta w ukłonie, przepraszam, ukłon
🤦 fejspalm, niedowierzanie, osoba trzymająca się za czoło, załamanie
🤦‍♂ brak słów, facepalm, mężczyzna, mężczyzna trzymający się za czoło, niedowierzanie, załamka
🤦‍♀ brak słów, fejspalm, kobieta, kobieta trzymająca się za czoło, niedowierzanie, załamka
🤷 niewiedza, obojętność, osoba wzruszająca ramionami, wątpliwość
🤷‍♂ mężczyzna, mężczyzna wzruszający ramionami, obojętność, wątpliwość, wzruszenie ramion
🤷‍♀ kobieta, kobieta wzruszająca ramionami, obojętność, wątpliwość, wzruszenie ramion
🧑‍⚕ lekarz, opieka zdrowotna, pracownik służby zdrowia, terapeuta
👨‍⚕ lekarz, mężczyzna, terapeuta
👩‍⚕ kobieta, lekarka, terapeutka
🧑‍🎓 absolwent, student
👨‍🎓 mężczyzna, student
👩‍🎓 kobieta, studentka
🧑‍🏫 instruktor, nauczyciel, pedagog, profesor
👨‍🏫 mężczyzna, nauczyciel, profesor, wykładowca
👩‍🏫 kobieta, nauczycielka, profesor, wykładowczyni
🧑‍⚖ orzekać, sędzia
👨‍⚖ mężczyzna, sędzia
👩‍⚖ kobieta, kobieta sędzia, sędzina
🧑‍🌾 farmer, ogrodnik, rolnik
👨‍🌾 farmer, mężczyzna, ogrodnik, rolnik
👩‍🌾 farmerka, kobieta, ogrodniczka, rolniczka
🧑‍🍳 kucharz, szef kuchni
👨‍🍳 kucharz, mężczyzna, szef kuchni
👩‍🍳 kobieta, kucharka, szef kuchni
🧑‍🔧 elektryk, hydraulik, mechanik
👨‍🔧 elektryk, hydraulik, mechanik, mężczyzna
👩‍🔧 elektryk, hydraulik, kobieta, mechanik
🧑‍🏭 fabryka, montażysta, pracownik, pracownik fabryki
👨‍🏭 fabryka, mężczyzna, mężczyzna pracownik fabryki, montażysta, pracownik, pracownik fabryki
👩‍🏭 fabryka, kobieta, montażystka, pracownica, pracownica fabryki
🧑‍💼 architekt, biznesmen, menedżer, praca biurowa, pracownik biurowy
👨‍💼 architekt, biuro, biznesmen, mężczyzna, mężczyzna pracownik biurowy, pracownik biurowy
👩‍💼 architekt, biuro, bizneswoman, kobieta, pracownica biurowa
🧑‍🔬 biolog, chemik, fizyk, inżynier, naukowiec
👨‍🔬 biolog, chemik, inżynier, mężczyzna, mężczyzna naukowiec
👩‍🔬 biolog, chemik, inżynier, kobieta, kobieta naukowiec
🧑‍💻 deweloper, oprogramowanie, programista, technolog, wynalazca
👨‍💻 mężczyzna, mężczyzna technolog, oprogramowanie, programista, wynalazca
👩‍💻 kobieta, kobieta technolog, oprogramowanie, programistka, wynalazczyni
🧑‍🎤 aktor, artysta, gwiazda, muzyka, piosenkarz
👨‍🎤 aktor, mężczyzna, piosenkarz, rock
👩‍🎤 aktorka, kobieta, piosenkarka, rock
🧑‍🎨 artysta, malarz, paleta
👨‍🎨 artysta, mężczyzna, paleta
👩‍🎨 artystka, kobieta, paleta
🧑‍✈ pilot, pilotować, samolot
👨‍✈ mężczyzna, pilot, samolot
👩‍✈ kobieta, pilot, samolot
🧑‍🚀 astronauta, rakieta, statek kosmiczny
👨‍🚀 astronauta, kosmos, mężczyzna, rakieta
👩‍🚀 astronautka, kobieta, kosmos, rakieta
🧑‍🚒 straż pożarna, strażak, wóz strażacki
👨‍🚒 mężczyzna, strażak, wóz strażacki
👩‍🚒 kobieta, strażak, wóz strażacki
👮 oficer, policjant
👮‍♂ glina, mężczyzna, oficer, policjant
👮‍♀ glina, kobieta, kobieta policjant, oficer, policjantka
🕵 detektyw, śledczy, szpieg
🕵‍♂ detektyw, mężczyzna, szpieg
🕵‍♀ detektyw, kobieta, szpieg
💂 gwardzista, strażnik
💂‍♂ gwardzista, mężczyzna, strażnik
💂‍♀ gwardzistka, kobieta, kobieta gwardzista, strażniczka
🥷 niewidoczny, ninja, skradać się, ukryty, wojownik
👷 budowlaniec, kask
👷‍♂ budowlaniec, mężczyzna, robotnik
👷‍♀ budowlaniec, kobieta, robotnik
🤴 książę
👸 bajka, baśń, królewna, księżniczka
👳 mężczyzna, osoba w turbanie, turban
👳‍♂ mężczyzna, mężczyzna w turbanie, turban
👳‍♀ kobieta, kobieta w turbanie, turban
👲 chińska czapka, czapka, gua pi mao, mężczyzna w chińskiej czapce
🧕 chusta, hidżab, kobieta w chuście
🤵 elegancja, osoba, osoba w smokingu, smoking
🤵‍♂ mężczyzna, mężczyzna w smokingu, smoking
🤵‍♀ kobieta, kobieta w smokingu, smoking
👰 osoba, osoba w welonie, panna młoda, ślub, welon, wesele
👰‍♂ mężczyzna, mężczyzna w welonie, welon
👰‍♀ kobieta, kobieta w welonie, welon
🤰 ciąża, kobieta w ciąży
🤱 karmienie piersią, niemowlę, pierś
👩‍🍼 karmienie, karmienie piersią, kobieta, kobieta karmiąca niemowlę, niemowlę
👨‍🍼 karmienie, mężczyzna, mężczyzna karmiący niemowlę, niemowlę
🧑‍🍼 karmienie, karmienie piersią, niemowlę, osoba, osoba karmiąca niemowlę
👼 aniołek, bajka, buzia aniołka, fantasy
🎅 boże narodzenie, legenda, święta, święty mikołaj, Święty Mikołaj
🤶 mikołaj, mikołajowa, święta, żona św. Mikołaja
🧑‍🎄 Boże Narodzenie, Mikołaj, Mikołajka, święta
🦸 bohater, bohaterka, pozytywny, superbohater, supermoc
🦸‍♂ bohater, mężczyzna, mężczyzna superbohater, pozytywny, supermoc
🦸‍♀ bohaterka, kobieta, kobieta superbohater, pozytywna, supermoc
🦹 czarny charakter, przestępca, superłotr, supermoc, złoczyńca
🦹‍♂ czarny bohater, mężczyzna, mężczyzna superłotr, przestępca, supermoc, złoczyńca
🦹‍♀ czarny bohater, kobieta, kobieta superłotr, przestępca, supermoc, złoczyńca
🧙 czarnoksiężnik, czarodziej, mag
🧙‍♂ czarnoksiężnik, czarodziej, mężczyzna mag
🧙‍♀ czarownica, kobieta mag, wiedźma
🧚 Oberon, Puk, Tytania, wróżka
🧚‍♂ mężczyzna wróżka, Oberon, Puk
🧚‍♀ kobieta wróżka, Tytania
🧛 Drakula, nieumarli, wampir
🧛‍♂ Drakula, mężczyzna wampir, nieumarły
🧛‍♀ kobieta wampir, nieumarli
🧜 syrena
