🏻 xeesaayu der, xeesaayu der bu woyof, xeet 1–2
😝 bët, cafka, kanam, kanam ak tàllal làmmiñ ak buñ tëj bët, làmmiñ, ñaaw
🤑 gémmiñ, kanam, kanamu gémmiñu xaalis, xaalis
🤗 kanam, kanamu kottante, kott, kottante
🤭 dar-gémmiñ, kanam ak loxo bu dar gémmiñ
🤫 kanamu shuut noppil, noppi, shuut
🤔 kanam, kanamu guy xalaat, xalaat
🤐 fermitiir, gémmiñ, kanam, kanam ak gémiñ guñ fermitiir
🤨 kanam ak buñ yëkkati yéen, ñaaw-njortu, ñàkka-wóolu
😐 fige, kanam, kanam gu ni tekk, neutre
😑 bu waxul dara, budul wax dara, gu melul nenn, kanam, kanam gu melul nenn
😶 cellaaral, gémmiñ, kanam, kanam gu amul gémmiñ, tekk
😏 bëgg-waccu, kanam, kanam gu bëgg-waccu
😒 kanam, kanam gu ñàkk xorom, kontaanul, ñàkk-caaxaan
🙄 bët, kanam, kanam guy regeju, regeju
😬 kanam, kanam guy def yëfi golo, yëfi golo
🤥 buy fen, kanamu, kanamu fenkat, pinocchio
😌 kanam, kanam féex, noppalu
😔 bari-xalaat, dejected, kanam, kanamu kuy xalaat
😪 kanam, kanam guy nelaw, nelaw
🤤 guy yuut, kanam, kanam guy yuut
😴 kanam, kanam gu nelaw, nelaw, zzz
😷 doktor, garab, kanam, kanam guñ bàndaas, mask, sedd, wopp
🤒 feelaat, kanam, kanam gu ànd ak termomeetar, termomeetar, wopp
🤕 bandage, gaañu, kanam, kanam guñ laxas ak bàndaas, naxar
🤢 kanam, kanamu guy teey xel, waccu, xel muy teey
🤮 feebar, kanam guy waccu, waccu
🤧 gu jéggi dayo, kanamu, tissooli
😵 diis, kanam, kanam gu diis
🤯 bopp buy toj, mbettel
🤠 kaboy, kanam, kanam gu sol mbaxane kaboy, mbaxane, sàmm-bu-jigéen
😎 bët, jant, kanam, lunet, muuñ, muuñ, kanam, nuwaarfime, neex-deret, nuwaarfime, weer, yànj
🤓 bëgg-masin, kanam, kanamu bëñu lëk, lëk
🧐 fatt, kanam ak lunet-bennbët
😕 jaaxasoo, kanam, kanam gu jaaxasoo
😟 jaaxle, kanam, kanam gu jaaxle
🙁 aj-yéen, kanam, kanam gu ànd ak yéen yu xawa lemu
☹ aj-yéen, kanam
😮 gémmiñ, kanam, kanam ak gémiñ gu ubbeeku, sympaty, ubbeeku
😯 guñ juutal, jaaxle, kanam, kanam guñ juutal, waaru
😲 bu baax, kanam, kanam gu waaru, soke, waaru
😳 bu am tomb yu xonk, kanam, kanam gu am tomb yu xonk, xel mu deppaar
😦 aj ay yéen, gémmiñ, kanam, kanam gu ànd ak yéen yu lemu ak gémmiñ gu ubbiku, ubbeeku
😧 kanam, kanam gu xawa jaaxle, xawa jaaxle
😨 kanam, kanam guy tiitaleete, ragal, tiit
😰 baxa, gaawantu, gémmiñ, kanam, kanam ak ubbeeku gémmiñ ak ñàqu tiitaange, ñàq, sedd, ubbeeku
😥 féex, kanam, kanamu mbetteel te féex, kapris, mbetteel
😢 jooy, kanam, kanam guy jooy, rangooñ, xol-bu-neexul
😭 jooy, kanam, kanam guy jooy ca kaw, rangooñ, sob, xol-bu-neexul
😱 kanam, kanam guy jooy te tiit, ragal, tiit, yëy, yuuxu
😖 jaawale, kanam, kanam gu jaawale
😣 kanam, kanam guy ñafe, ñafe
😞 kanam, kanam gu am mbetteel, mbetteel
😓 kanam, kanam ak ñaq wu sedd, ñàq, sedd
😩 jommi, kanam, kanamu coono, sonn
😫 kanam, kanam gu sonn, sonn
😤 gañe, kanam, kanam gu ànd ak saxaaru bakkan, ndam
😡 dof, kanam, kanam guy puucatu, mer, puucatu, xonk
😠 dof, kanam, kanam gu mer, mer
🤬 kanam ak màndarga ci gémmiñ, waat
😈 béjjen, feem, kanam, kanam gu am ay béjjen, léebu fee, muuñ
👿 dëmm, feem, imp, jinne, kanam, kanam gu mer am ay béjjen, léebu fee
💀 dee, kanam, léebu fee, rab-wu-gànde, yaxu-bopp
☠ dee, kanam, kraan, kraan and yax yu kruwaase, rab-wu-gànde, yax yu kruwaase
💩 julu puup, kanam, neefere, puup, rab, reelu
🤡 kanam, kanamu kluun, kluun
👹 feem, kanam, léebu fee, mbinddéef, oogar, rab-wu-gànde
👺 feem, kanam, kus-kondoroŋ, léebu fee, mbinddéef, rab-wu-gànde
👻 fàntom, feem, kanam, léebu fee, mbinddéef, rab-wu-gànde
👽 aliyeen, feem, kanam, kaw-jawwu ji, léebu fee, mbiddéef, rab-wu-gànde, ufo
👾 aliyeen, feem, jiney aliyeen, kanam, kaw-jawwu ji, léebu fee, mbiddéef, rab-wu-gànde, ufo
🤖 kanam, kanamu roboo, rab-wu-gànde, roboo
😺 gémmiñ, kanam, kanamu muus muy muuñ ak gémmiñ gu ubbeeku, muuñ, muus, ubbeeku
😸 bët, grin, kanam, kanamu muus muy xiiru ak bët yuy muuñ, muuñ, muus
😹 joy, kanam, kanamu muus bu ànd ak rangooñi mbégte, muus, rangooñ
😻 bët, kanam, kanamu muus buy muuñ ak bëti xol, mbëggeel, muuñ, muus
😼 kanam, kanamu muus ak muuñ gu weng, muuñ, muus, ñaawal, weng
😽 bët, fóon, kanam, kanamu muus bu tëj bët di fóon, muus
🙀 am-mbetteel, jommi, kanam, kanamu muus mu jommi, muus, oh
😿 jooy, kanam, kanam muus muy jooy, muus, rangooñ, xol-bu-neexul
😾 kanam, kanamu muus mu mer, muus, puucatu
🙈 bul, déet, gis, golo, golo budul gis lu bon, kanam, liyaar, lu bon, luñ aaye, luñ tere
🙉 bul, déet, dégg, golo, golo budul dégg lu bon, kanam, liyaar, lu bon, luñ aaye, luñ tere
🙊 bul, déet, golo, golo budul wax lu bon, kanam, liyaar, lu bon, luñ aaye, luñ tere, wax
💋 fóon, marku fóon, tuñ
💌 bataaxal, bataaxalu mbëggeel, leetar, mbëggeel, xol
💘 bëgg-xaalis, fett, xol ak fett
💝 ribbon, Walantin, xol buñ laxas ribaŋ
💖 eksite, tàkk, xol bu yànj
💗 buy màgg, eksite, mer, xol buy màgg, yëngu
💓 dóor, xol buy tëf-tëfi, yëngu
💞 wëndeelu, xol buñ wëndeelu
💕 mbëggeel, ñaari xol
💟 taaralukaayu xol, xol
❣ esklamaasiyoŋ, màndarga, tomb, xol esklamaasiyoŋ bu fës
💔 damm, dammu, xol bu tasaaroo
❤ xol, xonk xol
🧡 oraas, xol bu oraas
💛 mboq, xol bu mboq
💚 wert, xol bu wert
💙 baxa, xol bu baxa
💜 xol bu yolet, yolet
🖤 iñaan, ñuul, soxor, xol bu ñuul
💯 100, eskoor, fees, téemeer, tombi teeméer
💢 dof, màndarga ku mer, mer, reelu
💥 boom, mbëkkante, reelu
💫 biddeew, miir, reelu
💦 ñàq, reelu, tasaaroo, toqu ñaq
💨 daw, dem, dem sa yoon, reelu
🕳 pax
💣 bomb, reelu
💬 bul, jalog, mànq, rëddu bind kàddu, reelu, wax
👁‍🗨 bët, bët ci rëddu-bind-wax, rëddu-bind-wax, seede
🗨 bulu bind waxu càmmoñ, jalog, kàddu
🗯 bul, dof, mànq, mer, ndijoor mer bul
💭 bul, mànq, rëddu bind xalaat, reelu, xalaat
💤 nelaw, reelu, zzz
👋 buy tàllal, loxo, tàllal
🤚 buñ yëkkati, ginaaw loxo, ginaawu loxo bu jog
🖐 baaraam, buñ yëkkati loxo ak baaraam yuñ tàllal, loxo, tàllal
✋ loxo, loxo bu jog
🖖 baaraam, ferñet, loxo, loxo xaajale ñeenti baaraam, wolkaa
👌 laxo waaw-kay, loxo, waaw-kay
✌ loxo, ndam, v
🤞 baaraam, laxasante ñaari baaraam, loxo, wërsëk
🤟 ILY, liyaar mbëggeel, loxo
🤘 baaraam, béjjen, lem, loxo, loxo def màndarga béjjen
🤙 loxo, loxo nanga ma woo, woote
👈 baaraam, baaraamu joxoñ, ginaaw loxo buy joxoñ càmmoñ, ginaawu loxo, joxoñ, loxo
👉 baaraam, baaraamu joxoñ, ginaaw loxo buy joxoñ ndijoor, ginaawu loxo, joxoñ, loxo
👆 baaraam, baaraamu joxoñ, ginaaw loxo buy joxoñ ci kaw, ginaawu loxo, joxoñ, kaw, loxo
🖕 baaraam, baaraamu digg, loxo
👇 baaraam, baaraamu joxoñ, ginaaw loxo buy joxoñ ci suuf, ginaawu loxo, joxoñ, loxo, suuf
☝ baaraam, baaraamu joxoñ, baaraamu joxoñ buy joxoñ ci kaw, joxoñ, kaw, loxo
👍 +1, baaraam bu dijj, baaraamu waaw, kaw, loxo
👎 -1, baaraam bu dijj, baaraamu déet, loxo, suuf
✊ dóor, kurfañ, kurfañ bu jog, loxo, ŋëb
👊 dóor, kurfañ, kurfañ buy ñëw, loxo, ŋëb
🤛 jëm càmmoñ, kurfañ, kurfañu càmmoñ
🤜 jëm ndijoor, kurfañ, kurfañu ndijoor
👏 loxo, loxo yuy tàccu, tàccu
🙌 buñ yëkkati, liyaar, loxo, màggal, wëey, yëkkati ay loxo
👐 loxo, loxo yu ubbeeku, ubbeeku
🤲 ñaan, tallal loxo ñaan
🤝 déggoo, joxante, loxo, ndaje
🙏 ark, buñ lem, jaamu, jërëjëf, laaj, lem ay loxo, liyaar, loxo, ngir yàlla
✍ bind, loxo, loxo buy bind
💅 faj, jakkal wew, jekkal, kosmetik, manikiir, wew
🤳 nataalukaay, selfie, telefon
💪 doole, lem, reelu, sidit, wane doole
👂 nopp, yaram
👃 bakkan, yaram
🧠 muus, yuur
👀 bët, gët, kanam
👁 bët, yaram
👅 làmmiñ, yaram
👄 gémmiñ, tuñ
👶 liir, ndaw
🧒 du góor du jigéen, ndaw, xale
👦 ndaw, xale bu góor
👧 ndaw, sojak, Wirgo, xale bu jigéen
🧑 du góor du jigéen, mag
👱 karaw gu mboq, nit ku karaw yu weex
👨 góor
🧔 nit am sikkim, sikkim
👱‍♂ góor, góor gu am karaw gu mboq, karaw gu mboq
👩 jigéen
👱‍♀ jigéen, karaw gu am kawar gu mboq jigéen, karaw gu mboq
🧓 du góor du jigéen, mag mu gën a màgget, màgget
👴 góor, màgget, màgget gu góor
👵 jigéen, màgget, màgget gu jigéen
🙍 aj-yéen, liyaar, nit ku yéen yi lemu
🙍‍♂ aj-yéen, góor, liyaar
🙍‍♀ aj-yéen, jigéen, liyaar
🙎 liyaar, nit kuy puucatu, puucatu
🙎‍♂ góor, liyaar, puucatu
🙎‍♀ jigéen, liyaar, puucatu
🙅 bul, déet, liyaar, loxo, luñ aaye, luñ tere, nit ku naan déedet
🙅‍♂ bul, góor, góor buy liyaar Déet, liyaar, loxo, luñ aaye, luñ tere
🙅‍♀ bul, jigéen, jigéen juy liyaar Déet, liyaar, loxo, luñ aaye, luñ tere
🙆 liyaar, loxo, nit ku naan waaw-kay, waaw-kay
🙆‍♂ góor, góor buy liyaar waaw-kay, liyaar, loxo, waaw-kay
🙆‍♀ jigéen, jigéen juy liyaar waaw-kay, liyaar, loxo, waaw-kay
💁 jàppale, leeral, loxo, ndimbal, nit kuy joxee wet, tàng
💁‍♂ góor, góor loxo jàppale, loxo jàppale, sassy
💁‍♀ jigéen, jigéen loxo jàppale, loxo jàppale, tàng
🙋 buñ yëkkati, kontaan, liyaar, loxo, nit kuy yëkkati loxo
🙋‍♂ góor, góor yëkkati loxo, liyaar, yëkkati loxo
🙋‍♀ jigéen, jigéen yëkkati loxo, liyaar, yëkkati loxo
🙇 ark, jéggalu, liyaar, massawu, nit kuy sëgg-nuyoo
🙇‍♂ beral-loxo, góor, jéggalu, liyaar, massawu, sujjóotal
🙇‍♀ beral-loxo, jéggalu, jigéen, liyaar, massawu, sujjóotal
🤦 gëdofi, gu jaaxle, kanam, loxo, nit ku taf loxo ci kanamam
🤦‍♂ góor, góor gu taf loxo ci kanamam, jaaxle, kanam, loxo
🤦‍♀ jaaxle, jigéen, ju taf loxo ci kanamam, kanam, loxo
🤷 aj, bañ faale, mbagg, ñàkka xam, nit ku aj mbaggam
🤷‍♂ aj mbagg, bañ faale, góor, góor aj mbagg, ñàkka xam, wóoloodi
🤷‍♀ aj mbagg, bañ faale, jigéen, jigéen aj mbagg, ñàkka xam, wóoloodi
👨‍⚕ doktor, faj, fajkat, fajkat bu góor, góor, infirmiyee
👩‍⚕ doktoor, faj-nit, fajkat, fajkat bu jigéen, jigéen, saas-faam
👨‍🎓 diplom, góor, ndongo, ndongo bu góor
👩‍🎓 diplom, jigéen, ndongo, ndongo lu jigéen
👨‍🏫 góor, jàngalekat, jàngaletkat bu góor, meetar, profesër
👩‍🏫 jàngalekat, jàngalekat bu jigéen, jigéen, meetar, profesër
👨‍⚖ àttekat góor, balaas, góor, justis
👩‍⚖ àttekat, àttekat bu jigéen, jigéen, scales
👨‍🌾 baykat, baykat bu góor, boroom-ràns, góor, sardiñee
👩‍🌾 baykat, baykat bu jigéen, jigéen, sardiñee, yarkat
👨‍🍳 góor, seef, toggkat
👩‍🍳 jigéen, seef, toggkat, toggkat bu jigéen
👨‍🔧 elektrisiyee, góor, jaaykat, mekanisee, mekaniyee bu góor, plombiyee
👩‍🔧 electrisiyee, jaaykat, jigéen, mekanik, plumber
👨‍🏭 góor, indistri, isin, liggéeykat, liggéeykatu isin bu góor, ndaje
👩‍🏭 bu isin, isin, jigéen, jigéen juy liggéeykat ci isin, liggéeykat, ndaje
👨‍💼 arsitek, biro, bisnes, góor, kuy liggéey ci biro, liggéeykat bu xarañ, njiit
👩‍💼 arsitekt, biro, bisnes, jigéen, jigéen biro liggéeykat, liggéeykat bu xarañ, patroŋ
👨‍🔬 biyolosist, engeñër, fisiyee, góor, matematisiyee, simist, xaralakat, xaralakat bu góor
👩‍🔬 biolosist, engeñër, fisisiyee, jigéen, matematisiyee, simist, wu-xarala
👨‍💻 defarkat, góor, kodekat, losisel, soskat, teknolosist
👩‍💻 defarkat, jigéen, kodekat, losisel, soskat, teknolosist
👨‍🎤 aktër, begalkat, biddeew, góor, rok, waykat
👩‍🎤 aktër, begalkat, biddeew, jigéen, rok, waykat
👨‍🎨 artist, artist bu góor, góor, palet
👩‍🎨 artist, artist bu jigéen, jigéen, palet
👨‍✈ góor, piloot, roppalaan
👩‍✈ jigéen, piloot, piloot bu jigéen, roppalaan
👨‍🚀 astronot, astronot bu góor, góor, roket
👩‍🚀 astronot, astronot bu jigéen, jigéen, roket
👨‍🚒 góor, oto-sapër, sapër, sapër bu góor
👩‍🚒 jigéen, oto-pompiyee, pompiyee, pompiyee bu jigéen
👮 liggéeykat, poliis, polisiye, polisiyee
👮‍♂ góor, góor poliis liggéeykat bu góor, liggéeykat bu góor, poliis, polisiye
👮‍♀ jigéen, liggéeykat, poliis, polisiye, polisiyee bu jigéen
🕵 detektif, lànketkat, yëddukat
🕵‍♂ detektif, góor, lànketkat, yëddukat
🕵‍♀ detektif, jigéen, lànketkat, yëddukat
💂 gardiñe
💂‍♂ góor, góor guy wattu, wattu
💂‍♀ jigéen, jigéen juy wattu, wattu
👷 liggéeykat, mbaxane, tabax, tabaxkat
👷‍♂ góor, liggéeykat, tabax
👷‍♀ jigéen, liggéeykat, tabax
🤴 doomu-buur bu góor
👸 doomu buur bu jigéen, feem, léebu fee
👳 kaala, nit ku kaalawu
👳‍♂ góor, góor gu kaalawu, kaala
👳‍♀ jigéen, jigéen ju kaalawu, kaala
👲 góor, góor gu sol mbaxane sinuwaa, gua pi mao, mbaxane
🧕 hijab, jigéen ju musóoru, mantilla, musóor, tichel
🤵 góor gu sol kostim, góor guy céetal, kostim, sol
👰 céet, muraay, séet, séet bu móoru
🤰 ëmb, jigéen, jigéen ju ëmb
🤱 liir, nàmpal, nàppalee ween, ween
👼 feem, kanam, léebu fee, liir, liiru malaaka, malaaka
🎅 màggal, nowel, papa, pere, Pere nowel
🤶 màggal, meer, nowel, yaay
🧙 dëmm, luxuskat, mage
🧙‍♂ dëmm, luxuskat, mage bu góor
🧙‍♀ dëmm, mage bu jigéen
🧚 fee, Oberon, Puk, Titania
🧚‍♂ fee bu góor, Oberon, Puk
🧚‍♀ fee bu jigéen, Titania
🧛 bu deewul, Dracula, wàmpiir
🧛‍♂ bu deewul, Dracula, wàmpiir bu góor
🧛‍♀ bu deewul, wàmpiir bu jigéen
🧜 sireen, sireen bu góor, sireen bu jigéen, sireen bu nit
🧜‍♂ Fettu ñatti bopp, sireen bu góor
🧜‍♀ sireen, sireen bu jigéen
🧝 elfe, yéeme
🧝‍♂ elfe bu góor, yéeme
🧝‍♀ elfe bu jigéen, yéeme
🧞 jinne
🧞‍♂ jinne, jinne ju góor
🧞‍♀ jinne, jinne ju jigéen
🧟 bu deewul, néew buy dox, zombi
🧟‍♂ bu deewul, néew buy dox, zombi bu góor
🧟‍♀ bu deewul, néew buy dox, zombi bu jigéen
💆 dàmp, kanam, nit ku ñuy dàmp, saloŋ
💆‍♂ dàmp, góor, góor bu ñuy dàmp, kanam
💆‍♀ dàmp, jigéen, jigéen bu ñuy dàmp, kanam
💇 barab, nit kuy watu, taar, wateef, watkat
💇‍♂ góor, góor bu ñuy wat, wateef
💇‍♀ jigéen, jigéen bu ñuy wat, wateef
🚶 dox, nit kuy dox, yéeg tund
🚶‍♂ dox, góor, yéeg tund
🚶‍♀ dox, jigéen, yéeg tund
🏃 daw, maraton, nit kuy daw
🏃‍♂ daw, góor, kursu, maraton
🏃‍♀ daw, jigéen, kursu, maraton
💃 fecc, jigéen, jigéen juy fecc
🕺 fecc, góor guy fecc, nit
🕴 bisnes, góor, góor ci bisnes kostim lewitasiyoŋ, kostim
👯 fecckat, nit ñuy fecc, ak noppi lëk, noppi lëk, suwaare
👯‍♂ fecckat, góor, góorak noppi lëks suwaare, noppi lëk, suwaare
👯‍♀ fecckat, jigéen, jigéen ak noppi lëks suwaare, noppi lëk, suwaare
🧖 néego wapër, nit ci néegu wapër, souna
🧖‍♂ góor ci néegu wapër, néego wapër, souna
🧖‍♀ jigéen ci néegu wapër, néego wapër, souna
🧗 nit kuy yéeg, yéegkat
🧗‍♂ góor guy yéeg, yéegkat
🧗‍♀ jigéen juy yéeg, yéegkat
🤺 eppee, fente, fentekat, nit kuy fente
🏇 fas, fasukursu, kursu, sooke
⛷ nees, ski, skikat
🏂 gaalu-nees, kuy pateŋ ci nees, nees, ski
🏌 bal, golf, nit kuy golf
🏌‍♂ golf, góor, góor guy golf
🏌‍♀ golf, jigéen, jigéen juy golf
🏄 nit kuy sërfe, sërfe
🏄‍♂ góor, góor guy sërfe, sërfe
🏄‍♀ jigéen, jigéen juy sërfe, sërfe
🚣 gaal, gaalu-joow, nit joow gaal
🚣‍♂ gaal, gaalu-joow, góor, góor guy joow gaal
🚣‍♀ gaal, gaalu-joow, jigéen, jigéen juy joow gaal
🏊 féey, nit kuy féey
🏊‍♂ féey, góor, góor guy féey
🏊‍♀ féey, jigéen, jigéen juy féey
⛹ bal, nit kuy bondeel bal
⛹‍♂ bal, góor, góor guy bondeel bal
⛹‍♀ bal, jigéen, jigéen juy bondeel bal
🏋 lu diis, nit kuy yëkkati lu diis, yëkkatikat
🏋‍♂ góor, góor guy yëkkati lu diis, yëkkatikatu lu diis
🏋‍♀ jigéen, jigéen juy yëkkati lu diis, yëkkatikatu lu diis
🚴 dawal welo, dawalkatu welo, nit kuy dawal welo, welo
🚴‍♂ dawal welo, dawalkatu welo, góor, góor guy dawal welo, welo
🚴‍♀ dawal welo, dawalkatu welo, jigéen, jigéen juy dawal welo, welo
🚵 dawalkatu welo, montaañ, nit kuy dawal vtt, welo
🚵‍♂ dawalkatu welo, góor, góor guy dawal welo ci montaañ, montaañ, welo
🚵‍♀ dawal welo, dawalkatu welo, jigéen, jigéen juy dawal welo ci montaañ, montaañ, welo
🤸 jimnastik, nit ñuy ànd bërëŋu, pëno-sareet
🤸‍♂ góor, góor guy pëno-sareet, jimnastik, pëno-sareet
🤸‍♀ jigéen, jigéen juy pëno-sareet, jimnastik, pëno-sareet
🤼 bëre, bërekat, nit ñuy bëre
🤼‍♂ bëre, góor, góor guy bëre
🤼‍♀ bëre, jigéen, jigéen juy bëre
🤽 ndox, nit kuy polo ci ndox, polo
🤽‍♂ góor, góor guy polo ci ndox, polo ci ndox
🤽‍♀ jigéen, jigéen juy polo ci ndox, polo ci ndox
🤾 bal, handball, nit kuy aanbóol
🤾‍♂ góor, góor guy handball, handball
🤾‍♀ handball, jigéen, jigéen juy handball
🤹 am, ekiliibre, mbir yu bari, nit kuy sànni-kapte, sànni-kapte
🤹‍♂ góor, góor guy sànni-kapte, mbir yu bari, sànni-kapte
🤹‍♀ jigéen, jigéen juy sànni-kapte, mbir yu bari, sànni-kapte
🧘 nit ku farankulaayu, xalaat, yoga
🧘‍♂ góor gu farankulaayu, xalaat, yoga
🧘‍♀ jigéen ju farankulaayu, xalaat, yoga
🛀 beñuwaar, nit kuy sangu, sangu
🛌 nelaw, nit ci kaw lal, otel
👭 góor ak jigéen, jigéen, loxo, ñaari jigéen yu jàppante loxo, tëye
👫 góor, góor ak jigéen, góor ak jigéen jàppante loxo, jigéen, loxo, tëye
👬 ay seex, Gémeau, góor, góor ak jigéen, loxo, ñaari góor yu jàppante loxo, sojak, tëye
💏 fóon, góor ak jigéen
💑 góor ak jigéen, mbëggeel, xol ak ñaar ñu bëggante
👪 bokk famiy
🗣 bopp, kanam, takkandeer, wax
👤 takkandeer, yaram
👥 ay yaram takkandeer, takkandeer, yaram
👣 emprime, fu tànk teguwoon, màrku-tànk, yéere
🐵 golo, kanam, kanamu golo
🐒 golo
🦍 dàngin
🐶 boppu xaj, kanam, rabu-yar, xaj
🐕 rabu-yar, xaj
🐩 kaj bu ndaw, sëq kawar, xaj
🐺 kanam, kanamu xaju-tundu, xaju-tund
🦊 kanam, kanamu rënaar, rënaar
🐱 kanam, kanamu muus, muus, rabu-yar
🐈 muus, rabu-yar
🦁 gaynde, kanam, kanamu gaynde, Leo, sojak
🐯 kanam, kanamu segg, segg
🐅 segg
🐆 lewopaar
🐴 fas, kanam, kanamu fas
🐎 ci wàllu fas, fas, fasukursu, kursu
🦄 gu sax béjjen, kanam, kanam gu sax béjjen
🦓 reyiir, zebre
🦌 serf
🐮 kanamu, nag
🐂 nag, sojak, yékk, Yékk
🐃 nag, nagu ndox, ndox
🐄 nag
🐷 kanam, kanamu mbaam-xuux, mbaam-xuux
🐖 mbaam-xuux, mbaam-xuux bu jigéen
🐗 mbaam-àll, mbaam-xuux
🐽 bakkan, bakkanu mbaam-xuux, kanam, mbaam-xuux
🐏 bu góor, Kuy, sojak, xar, yàppu kuy
🐑 bu jigéen, xar, xar bu jigéen
🐐 bëy, Kaprikorn, sojak
🐪 boos, giléem
🐫 batri, boos, giléem, gileemu ñaari boos
🦒 giraaf, tomb
🐘 ñay
🦏 rinoseros
🐭 jinax, kanam, kanmu jinax
🐁 jinax
🐀 kaña
🐹 hamster, kanam, kanamu jinax, rabu yar
🐰 kanam, kanamu lëk, lëkk, rabbit, rabu-yar
🐇 lëk, lëkk, rabu-yar
🐿 cipmànk
🦔 jame, suñeel
🦇 njugub, wàmpiir
🐻 Kanam, kanam urs, urs
🐨 koala, urs
🐼 kanam, kanamu panda, panda
🐾 emprime, fu tànku rab teguwoon, tànk, tànku-rab
🦃 koppin, picc
🐔 ginaar, picc
🐓 picc, séq
🐣 cuuj, cuuj bu génn ci nen, génn ci nenn, liir, picc
🐤 cuuj, liir, picc
🐥 cuuj, kanam jàkkarloo ak lexu xale, liir, picc
🐦 picc
🐧 penguweŋ, picc
🕊 jàmm, kolomb, naaw, picc
🦅 céeli, picc
🦆 kanaara, picc
🦉 looy, picc, xelu
🐸 kanam, kanamu mbott, mbott
🐊 jasit
🐢 mbonaat, mbonaatu-ndox
🦎 luy raam, sindax
🐍 gàddukat, jaan, Ophiuchus, sojak
🐲 dragoŋ, kanam, kanamu dragoŋ, léebu fee
🐉 dragoŋ, léebu fee
🦕 brachiosorus, brontosorus, diplodocus, soropod
🦖 T-Rex, Tyrannosorus Rex
🐳 baleen, baleen bu puucatu, kanam, sàll wu ñaw
🐋 baleen
🐬 dófeŋ, flipër
🐟 jën, Jën ji, sojak
🐠 jën, jënu tàngoor, tàngoor
🐡 bun fokkin, jën
🦈 jën, rekeŋ
🐙 oktopis
🐚 espiraal, xor, xoru espiraal
🐌 eskargoo
🦋 gunóor, lëppaalëp, rafet
🐛 gunóor, gunóor bu sew
🐜 gunóor bu sew, sànqaleñ
🐝 gunóor bu sew, yamb, yàmb
🐞 gunóor am tupp yu weex, gunóor bu sew, koksineel, koksinel
🦗 kriket, soccet
🕷 gunóor bu sew, jargoñ
🕸 jargoñ, lënd, lëndu jargoñ
🦂 jiit, sojak
💐 fulër, takkufulër
🌸 fulër, fulóor yu am melo sëriis, sëriis
💮 fulër, fulóor bu weex
🏵 garab, roset
🌹 fulër, róos
🥀 bu waw, fulër, fulóor bu waw
🌺 fulër, ibiskus
🌻 fulër, fulóoru jant, jant
🌼 fulër, fulóor
🌷 fulër, tulip
🌱 ndaw, semis
🌲 garab, garab gu am xob yuy dund
🌳 garab, garab gu am xob yuy dee, ruus, wàññiku
🌴 garabu, garabu-tiir, tiir
🌵 garab, gargamboose
🌾 ceeb, nopp, pepp, sayu ceeb
🌿 ñax, xob
☘ garab, tereefal
🍀 4, ñeent, treefal, treefalu ñeenti xob, xob
🍁 daanu, kanadaa, kobu kanadaa, xob
🍂 daanu, xob, xob yu daanu
🍃 ëf, ngelaw, xob, xob wu gelaw yëngal, yëngu
🍇 meññeef, reeseŋ
🍈 mëloŋ, meññeef
