{ abrir parênteses, chaveta, chaveta esquerda, parêntese, parêntesis
🏻 cor de pele, cor de pele clara, tez clara, tipo de pele 1–2
☠ cara, caveira, caveira e ossos cruzados, corpo, monstro, morte, ossos cruzados
💩 caca, cara, cocó, desenho, monstro, monte de cocó
🤡 cara de palhaço, palhaço, rosto, rosto de palhaço
👹 cara, conto de fadas, criatura, fantasia, japonês, monstro, ogre
👺 cara, conto de fadas, criatura, duende japonês, fantasia, japonês, monstro
👻 cara, conto de fadas, criatura, fantasia, fantasma, monstro
👽 cara, criatura, espaço, ET, extraterrestre, fantasia, monstro, ovni
👾 cara, criatura, espaço, ET, extraterrestre, fantasia, monstro, ovni
🤖 cara, monstro, robô
😺 aberta, boca, cara, gato a sorrir com boca aberta, riso, sorriso
😸 cara, gato, gato sorridente com olhos sorridentes, olho, riso, sorriso
😹 cara, felicidade, gato, gato com lágrimas de felicidade, lágrima
😻 amor, cara, coração, gato, gato a sorrir com olhos em forma de coração, olho, sorriso
😼 cara, gato, gato com sorriso forçado, irónico, sorriso, troçar
😽 beijo, cara, gato, gato a dar um beijo com olhos fechados, olho
🙀 cansado, cara, exausto, gato, surpreendido
😿 cara, choro, gato, gato a chorar, lágrima, triste
😾 cara, gato, mal-humorado
🙈 macaco, macaco com as mãos a tapar os olhos, macaco com olhos tapados, macaco que não vê nada, olhos tapados
🙉 cara, gesto, macaco, macaco com as mãos a tapar os ouvidos, macaco que não ouve nada, mau, não, ouvidos tapados, ouvir, proibido
🙊 boca tapada, cara, falar, gesto, macaco, macaco com as mãos a tapar a boca, macaco que não diz nada, mau, não, proibido
💋 beijo, coração, lábios, marca, marca de beijo, romance
💌 amor, carta, carta de amor, coração, correio, romance
💘 coração, coração com seta, cupido, romance, seta
💝 coração, coração com fita, coração com laço, fita, romance
💖 cintilante, coração, coração a brilhar, entusiasmado
💗 a crescer, coração, coração a crescer, entusiasmado, nervoso, palpitação
💓 batimento, coração, coração a bater, palpitante
💞 coração, corações, corações a girar, corações a rodopiar, corações rodopiantes, rodopiante
💕 amor, coração, corações, dois corações
💟 coração, coração decorativo, decoração com coração
❣ exclamação, ponto de exclamação com coração, pontuação, sinal
💔 coração, partido, partir
❤‍🔥 amor, chamas, coração, coração em chamas, coração sagrado, fogo, luxúria
❤‍🩹 bem, bom, coração remendado, curando, mais saudável, melhorando, recuperação
❤ coração, coração vermelho
🧡 coração, coração cor de laranja, coração laranja
💛 amarelo, coração
💚 coração, verde
💙 azul, coração
💜 coração, roxo
🤎 castanho, coração
🖤 coração, malvado, mau, preto
🤍 branco, coração
💯 100, cem, cem pontos, pontuação
💢 desenho, enfurecido, irritado, símbolo de fúria, símbolo de raiva, zangado
💥 bum, colisão, desenho
💫 desenho, estrela, tonto
💦 desenho, gota, gotas de suor, suor
💨 corrida, desenho, fugir, ir-se embora
🕳 buraco, buraco no chão
💣 bomba, desenho
💬 balão, balão de fala, desenho, diálogo, fala
👁‍🗨 balão de fala, olho, olho em balão de fala, testemunha
🗨 balão de fala do lado esquerdo, diálogo, fala
🗯 balão, balão de raiva do lado direito, enfurecido, irritado
💭 balão, balão de pensamento, desenho, pensamento
💤 desenho, dormir, sesta, sono, zzz
👋 acenar, aceno, corpo, mão, mão a acenar
🤚 levantada, mão com costas para fora, palma
🖐 corpo, dedo, dedos abertos, mão, mão erguida com dedos afastados
✋ corpo, mão, mão erguida
🖖 corpo, dedo, mão, saudação vulcana, spock, vulcano
👌 corpo, gesto de OK, mão, mão com gesto de OK, ok, OK com a mão, sinal de OK com a mão
🤌 beliscado, dedos, dedos comprimidos, gesto de mão, interrogação, sarcástico
🤏 mão a dar um beliscão
✌ corpo, mão, mão em V de vitória, v, vitória
🤞 cruzados, dedos, figas, mão, sorte
🤟 amo-te, gesto &quot;amo-te&quot;, gesto de amo-te, mão
🤘 cornos, corpo, dedo, mão, mão a fazer cornos, rock’n’roll
🤙 chamada, gesto &quot;liga-me&quot;, gesto de liga-me, gesto liga-me, liga-me, mão
👈 apontar, costas da mão, costas da mão com dedo indicador a apontar para a esquerda, dedo, indicador, mão
👉 apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para a direita, dedo, indicador, mão
👆 apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para cima, dedo, indicador, mão, para cima
🖕 dedo, dedo médio, mão
👇 apontar, corpo, costas da mão, costas da mão com dedo indicador a apontar para baixo, dedo, indicador, mão, para baixo
☝ apontar, dedo, dedo indicador a apontar para cima, indicador, mão, para cima
👍 corpo, gosto, mão, para cima, polegar, polegar para cima
👎 corpo, mão, não gosto, para baixo, polegar, polegar para baixo
✊ cerrado, corpo, mão, punho, punho erguido, punho levantado, soco
👊 cerrado, corpo, mão, punho, punho a aproximar-se, punho fechado, soco
🤛 esquerda, punho, punho voltado para a esquerda
🤜 direita, punho, punho voltado para a direita
👏 bater palmas, corpo, mão, mãos a bater palmas
🙌 celebração, corpo, gesto, mão, mãos levantadas, mãos no ar, viva
👐 aberta, corpo, mão, mãos abertas
🤲 mãos abertas, mãos estendidas, palmas abertas, palmas juntas abertas, palmas juntas para cima, prece
🤝 acordo, aperto, aperto de mão, mão, passou-bem, reunião
🙏 agradecimento, mão, mãos juntas, pedido, por favor, reverência, rezar
✍ corpo, escrever, mão, mão a escrever
💅 cosméticos, manicura, unha, verniz, verniz para as unhas
🤳 câmara, selfie, telemóvel
💪 bíceps, bíceps fletido, corpo, desenho, flexão, músculo
🦾 acessibilidade, braço mecânico, prótese
🦿 acessibilidade, perna mecânica, prótese
🦵 extremidade, perna, pontapé
🦶 pé, pisar, pontapé
👂 corpo, orelha
🦻 acessibilidade, deficiência auditiva, orelha com aparelho auditivo, ouvido com aparelho auditivo
👃 corpo, nariz
🧠 cérebro, inteligente
🫀 cardiologia, centro, coração humano, órgão, pulsação, pulso
🫁 espiração, exalação, inalação, órgão, pulmões, respiração
🦷 dente, dentista
🦴 esqueleto, osso
👀 olho, olhos, rosto
👁 corpo, olho
👅 corpo, língua
👄 boca, corpo, lábios
👶 bebé, criança, pessoa
🧒 criança, género neutro, jovem, novo, pessoa
👦 jovem, menino, pessoa, rapaz
👧 jovem, menina, pessoa, rapariga
🧑 adulta, adulto, género neutro, pessoa
👱 loira, loiro, loura, louro, pessoa com cabelo loiro, pessoa com cabelo louro, pessoa: cabelo louro
👨 adulto, homem, pessoa
🧔 barba, pessoa, pessoa: barba
🧔‍♂ barba, homem, homem: barba, homem: barbudo
👱‍♂ homem, homem com cabelo loiro, homem com cabelo louro, homem loiro, homem: cabelo loiro, louro
👩 adulta, mulher, pessoa
🧔‍♀ barba, mulher, mulher: barba
👱‍♀ loura, mulher, mulher com cabelo loiro, mulher com cabelo louro, mulher loira, mulher: cabelo loiro
🧓 género neutro, pessoa de idade, pessoa idosa
👴 adulto, homem, idoso
👵 idosa, mulher de idade avançada, mulher idosa, velha
🙍 cara triste, gesto, pessoa de sobrolho franzido
🙍‍♂ condenar, franzir nariz, homem, homem de sobrolho franzido
🙍‍♀ condenar, desagrado, franzir nariz, homem, mulher de sobrolho franzido
🙎 gesto, mal-humorado, pessoa amuada
🙎‍♂ beicinho, gesto, homem, homem amuado
🙎‍♀ beicinho, gesto, mulher, mulher amuada
🙅 gesto, mão, não, pessoa que faz gesto de não, proibido
🙅‍♂ gesto, homem, homem que faz gesto de não, não, proibido
🙅‍♀ gesto, mulher, mulher que faz gesto de não, não, proibido
🙆 gesto, mão, ok, pessoa que faz gesto de OK
🙆‍♂ gesto, homem, homem que faz gesto de OK, mão, ok
🙆‍♀ gesto, mão, mulher, mulher que faz gesto de OK, ok
💁 ajuda, assistente de balcão de informações, atencioso, informações, mão
💁‍♂ assistente de balcão de informações (homem), atrevido, homem, homem com a palma virada para cima, mão de gorjeta
💁‍♀ assistente de balcão de informações (mulher), atrevida, mão de gorjeta, mulher, mulher com a palma virada para cima
🙋 alegre, gesto, mão, mão levantada, pessoa de mão levantada
🙋‍♂ gesto, homem, homem de mão levantada, mão levantada
🙋‍♀ gesto, mão levantada, mulher, mulher de mão levantada
🧏 acessibilidade, audição, orelha, pessoa surda, surdos
🧏‍♂ homem, surdo
🧏‍♀ mulher, surda
🙇 desculpa, gesto, pedido de desculpas, pessoa a fazer vénia, vénia
🙇‍♂ desculpas, favor, gesto, homem, homem a fazer a vénia
🙇‍♀ desculpas, favor, gesto, mulher, mulher a fazer a vénia
🤦 exasperação, face, incredulidade, palma, pessoa de palma na face
🤦‍♂ descrença, exaspero, homem, homem de palma na face, mão na cara
🤦‍♀ descrença, exaspero, mão na cara, mulher, mulher de palma na face
🤷 dúvida, encolher, ignorância, indiferença, pessoa a encolher os ombros
🤷‍♂ dúvida, homem, homem a encolher os ombros, indiferença
🤷‍♀ dúvida, indiferença, mulher, mulher a encolher os ombros
🧑‍⚕ cuidados de saúde, enfermeira, enfermeiro, médica, médico, profissional de saúde, terapeuta
👨‍⚕ doutor, enfermeiro, homem, médico, profissional da área da saúde, profissional da saúde (homem), profissional de saúde (homem), saúde, terapeuta
👩‍⚕ doutora, enfermeira, médica, mulher, profissional da área da saúde, profissional da saúde (mulher), profissional de saúde (mulher), serviço de saúde
🧑‍🎓 aluno, estudante, universitário
👨‍🎓 aluno, estudante, estudante (homem), homem, universitário
👩‍🎓 aluna, estudante, estudante (mulher), mulher, universitária
🧑‍🏫 educador, formador, instrutor, professor
👨‍🏫 homem, instrutor, professor, professor (homem)
👩‍🏫 instrutora, mulher, professora
🧑‍⚖ balança, juiz, justiça
👨‍⚖ balança, homem, juiz, juiz (homem), justiça
👩‍⚖ balança, juíza, justiça, mulher
🧑‍🌾 agricultor, jardineiro, lavrador, rancheiro
👨‍🌾 agricultor, fazendeiro, homem, jardineiro, lavrador
👩‍🌾 agricultora, fazendeira, jardineira, lavradora, mulher
🧑‍🍳 chefe de cozinha, cozinheiro
👨‍🍳 chef, cozinheiro, cozinheiro (homem), homem
👩‍🍳 chef, cozinheira, mulher
🧑‍🔧 canalizador, eletricista, mecânico, ofício
👨‍🔧 canalizador, electricista, eletricista, homem, mecânico, mecânico (homem)
👩‍🔧 canalizadora, electricista, eletricista, mecânica, mulher
🧑‍🏭 fábrica, funcionário de fábrica, industrial, montagem, trabalhador, trabalhador fabril
👨‍🏭 fábrica, homem, industrial, montagem, operário, operário fabril, trabalhador
👩‍🏭 fábrica, industrial, montagem, mulher, operária, operária fabril, trabalhadora
🧑‍💼 arquiteto, empregado de escritório, gerente, negócios, trabalhador de escritório
👨‍💼 administrador, empresa, funcionário de escritório, gerente, homem, trabalhador de escritório
👩‍💼 administradora, empresa, funcionária de escritório, gerente, mulher, trabalhadora de escritório
🧑‍🔬 biólogo, cientista, engenheiro, físico, químico
👨‍🔬 biólogo, cientista (homem), engenheiro, farmacêutico, matemático
👩‍🔬 bióloga, cientista (mulher), engenheira, farmacêutica, matemática
🧑‍💻 informático, inventor, programador, software, tecnólogo
👨‍💻 homem, informático, informático (homem), inventor, programador, software
👩‍💻 informática, inventora, mulher, programadora, software
🧑‍🎤 ator, cantor, estrela, rock, vocalista
👨‍🎤 ator, cantor, estrela, homem, rock
👩‍🎤 atriz, cantora, estrela, mulher, rock
🧑‍🎨 artista, paleta
👨‍🎨 artista, artista (homem), homem, paleta
👩‍🎨 artista, artista (mulher), mulher, paleta
🧑‍✈ avião, piloto
👨‍✈ avião, homem, piloto, piloto (homem)
👩‍✈ avião, mulher, pilota, piloto (mulher)
🧑‍🚀 astronauta, foguetão
👨‍🚀 astronauta (homem), espaço, foguete, homem
👩‍🚀 astronauta (mulher), espaço, foguete, mulher
🧑‍🚒 bombeiro, bombeiro (homem), camião dos bombeiros, carro dos bombeiros
👨‍🚒 bombeiro, carro de bombeiro, homem
👩‍🚒 bombeira, carro de bombeiro, mulher
👮 agente, agente da polícia, polícia
👮‍♂ agente, bófia, chui, homem, polícia (homem)
👮‍♀ agente, bófia, chui, mulher, polícia (mulher)
🕵 detetive, espião
🕵‍♂ detetive (homem), espião, homem, investigador
🕵‍♀ detetive (mulher), espia, investigadora, mulher
💂 guarda, segurança
💂‍♂ guarda, homem, segurança (homem), uniforme
💂‍♀ guarda, mulher, segurança (mulher), uniforme
🥷 escondido, lutador, ninja, oculto
👷 chapéu, construção, pedreiro, trabalhador, trabalhador da construção civil
👷‍♂ construção, homem, operário da construção civil, trabalhador, trabalhador da construção civil
👷‍♀ construção, mulher, operária da construção civil, trabalhadora, trabalhadora da construção civil
🤴 príncipe
👸 conto de fadas, fantasia, princesa
👳 homem, pessoa com turbante, turbante
👳‍♂ homem, homem com turbante, turbante
👳‍♀ mulher, mulher com turbante, turbante
👲 chapéu, chinês, homem, homem com chapéu chinês
🧕 lenço, mulher com lenço islâmico, mulher com lenço na cabeça
🤵 noivo, pessoa, pessoa de smoking, smoking
🤵‍♂ homem, homem de smoking, smoking
🤵‍♀ mulher, mulher de smoking, smoking
👰 casamento, noiva, pessoa, pessoa com véu, véu
👰‍♂ homem, homem com véu, véu
👰‍♀ mulher, mulher com véu, véu
🤰 grávida, mulher
🤱 amamentação, amamentar, bebé, dar de mamar, seio
👩‍🍼 alimentar, amamentação, bebé, mulher, mulher a alimentar bebé
👨‍🍼 alimentar, amamentação, bebé, homem, homem a alimentar bebé
🧑‍🍼 alimentar, amamentação, bebé, pessoa, pessoa a alimentar bebé
👼 anjo, bebé, cara, conto de fadas, fantasia
🎅 celebração, conto de fadas, fantasia, natal, pai
🤶 mãe, natal, senhora Noel
🧑‍🎄 Natal, Sra. Natal
🦸 bom, herói, heroína, super-herói, superpoder
🦸‍♂ bom, herói, homem, homem super-herói, superpoder
🦸‍♀ boa, herói, heroína, super-heroína, superpoder
🦹 criminoso, mau, superpoder, supervilão, vilão
🦹‍♂ criminoso, homem, homem supervilão, mau, superpoderoso, vilão
🦹‍♀ criminosa, má, mulher, mulher supervilã, superpoder, vilã
🧙 bruxa, bruxo, feiticeira, feiticeiro, maga, mago
🧙‍♂ bruxo, feiticeiro, homem mago
🧙‍♀ bruxa, feiticeira, maga
🧚 fada
🧚‍♂ homem fada, homem-fada
🧚‍♀ mulher fada, mulher-fada
🧛 Drácula, morto-vivo, vampiro
🧛‍♂ Drácula, homem vampiro, homem-vampiro, morto-vivo
🧛‍♀ morta-viva, vampira
🧜 sereia, tritão
🧜‍♂ tritão, Tritão, tritão (homem)
🧜‍♀ sereia
🧝 elfo, mágico
🧝‍♂ elfo (homem), mágico
🧝‍♀ elfo (mulher), mágico
🧞 djinn, génio
🧞‍♂ djinn, génio (homem)
🧞‍♀ djinn, génio (mulher)
🧟 morto-vivo, zombie
🧟‍♂ homem zombie, morto-vivo
🧟‍♀ morta-viva, mulher zombie
💆 massagem, pessoa a receber uma massagem, salão de beleza
💆‍♂ cara, face, homem, homem a receber uma massagem, massagem
💆‍♀ cara, face, massagem, mulher, mulher a receber uma massagem
💇 beleza, cabeleireiro, pessoa a cortar o cabelo, tesoura
💇‍♂ corte de cabelo, homem, homem a cortar o cabelo
💇‍♀ corte de cabelo, mulher, mulher a cortar o cabelo, permanente
🚶 andar, caminhar, pessoa a andar
🚶‍♂ andar, boleia, homem, homem a andar
🚶‍♀ andar, boleia, mulher, mulher a andar
🧍 de pé, pessoa em pé
🧍‍♂ em pé, homem, homem em pé
🧍‍♀ em pé, mulher, mulher em pé
🧎 pessoa de joelhos
🧎‍♂ homem de joelhos
🧎‍♀ mulher de joelhos
🧑‍🦯 acessibilidade, cego, pessoa com bengala para cegos
👨‍🦯 accessibilidade, cego, homem, homem com bengala para cegos
👩‍🦯 accessibilidade, cega, mulher, mulher com bengala para cegos
🧑‍🦼 acessibilidade, cadeira de rodas, pessoa em cadeira de rodas elétrica
👨‍🦼 acessibilidade, cadeira de rodas, homem, homem em cadeira de rodas elétrica, homem em cadeira de rodas motorizada
👩‍🦼 acessibilidade, cadeira de rodas, mulher, mulher em cadeira de rodas elétrica, mulher em cadeira de rodas motorizada
🧑‍🦽 acessibilidade, cadeira de rodas, pessoa em cadeira de rodas manual
👨‍🦽 acessibilidade, cadeira de rodas, homem, homem em cadeira de rodas manual
👩‍🦽 acessibilidade, cadeira de rodas, mulher, mulher em cadeira de rodas manual
