🏻 ibara ry’uruhu, ibara ry’uruhu rwera, ubwoko 1–2
🤠 ingofero, isura, isura yambaye ingofero z’abakoboyi, umushumba, umushumbakazi
😎 amataratara, icyeye, ijisho, isura, isura iseka n’amataratara y’izuba, ituje, izuba, kumwenyura
🤓 ikigoryi, isura, isura ya kanyuguti, ntibindeba
🧐 isura y’umuntu wambaye idarubindi, ubangamiwee
😕 isura, yashobewe
😟 isura, isura ihangayitse, uhangayitse
🙁 isura, isura itishimye bitari cyane, kwirakaza
☹ isura, isura irakaye, kwirakaza
😮 gufungura, impuhwe, isura, isura igaragaza umunwa wasamye, umunwa
😯 isura, isura igaragaza uwacecetse, utangaye, utuje cyane, uwumiwe
😲 isura, isura yatangaye, itangaye, kibumbiye hamwe, wumiwe
😳 isura, isura yatukuye, uwahabye, yishimye
😦 gufungura, isura, isura igaragaza kutishima n’umunwa wasamye, kurakara, umunwa
😧 inkeke, isura igaragaza, isura igaragaza inkeke
😨 giteye ubwoba, Isura, isura igaragaza kugira ubwoba, ubwoba, uwakanzwe
😰 gikonje, gufungura, icyuya, isura, isura igaragaza umunwa wasamye n’ibyuya by’ubwoba, ubururu, uhihibikana, umunwa
😥 ahu, isura, isura igaragaza guhemukirwa ariko ukaruhuka ku mutima, uruhutse, yacitse intege
😢 isura, isura igaragaza kurira, kurira, ubabaye
😭 ikiniga, isura, isura igaragaza kurira cyane, kurira, ubabaye
😱 giteye ubwoba, guhekenya, gutabaza, isura, isura isakuza kubera ubwoba, ubwoba, yakanzwe
😖 isura igaragaza, isura igaragaza kwitiranya, kwitiranya
😣 gutsimbarara, isura, isura igaragaza kutava ku izima
😞 guhemukirwa, isura igaragaza, isura igaragaza guhemukirwa
😓 icyunzwe, isura, isura igaragaza ibyuya by’ubwoba, ubukonje
😩 isura, isura igaragaza umunaniro, kuruha, unaniwe
😫 isura, isura inaniwe, unaniwe
😤 icyatsinze, insinzi, isura, isura igaragaza umwuka uva mu mazuru
😡 isura, isura igaragaza guhakana, umutuku, umwaga, urakaye, uwarakaye
😠 isura, isura igaragaza uburakari, urakaye
🤬 indahiro, isura y’umuntu ufite ibimenyetso ku munwa
😈 amahembe, amakabyankuru, isura, isura igaragaza inseko n’amahembe, kumwenyura
👿 amakabyankuru, idayimoni, igini, isura, isura igaragaza uburakari n’amahembe, shitani
💀 amakabyankuru, igikanka, igikoko, isura, urupfu
☠ igihanga, igihanga n’amagufamusaraba, igikoko, imisarabagufa, isura, urupfu
💩 amabyi, amase, icyuto, igikoko, inkuru ishushanyije, isura
🤡 isura, isura ya jokeri, ya jokeri
👹 igikoko gikaze, igishitani, ikiremwa, indoto, isura, umugani
👺 igikoko gikaze, ikigini, ikiremwa, indoto, isura, umugani
👻 igikoko gikaze, ikiremwa, indoto, isura, umugani, umweru baringa
👽 amakabyankur, amakabyankuru, igikoko, ikimanuka, ikintu kiguruka kitazwi, ikiremwa, ikivejuru, isura
👾 amakabyankur, amakabyankuru, igikoko, igikoko kidasanzwe, ikintu kiguruka kitazwi, ikiremwa, ikivejuru, isura
🤖 igikoko, irobo, isura, isura y’irobo
😺 gufungura, injangwe, isura, isura y’injangwe iseka n’umunwa wasamye, kumwenyura, umunwa
😸 igitwenge, ijisho, injangwe, isura, isura y’injangwe igaragaza amenyo n’amaso yo guseka, kumwenyura
😹 ibyishimo, injangwe, isura, isura y’injangwe n’amarira y’ibyishimo, kurira
😻 gukunda, ijisho, injangwe, isura, isura y’injangwe iseka n’amaso agaragara mu ishusho y’umutima, kumwenyura
😼 gushyenga, injangwe, inseko, isura, isura y’injangwe igaragaza inseko y’uburyarya, umuneguranyi
😽 gusomana, ijisho, injangwe, isura, isura y’injangwe isoma inahumirije
🙀 injangwe, isura, isura y’injangwe y’indyarya, kuruha, oh, uwatunguwe
😿 injangwe, isura, isura y’injangwe irira, kurira, ubabaye
😾 igaragaza guhakana, isura, isura y’injangwe igaragaza guhakana, y’injangwe
🙈 ikibi, ikibujijwe, ikimenyetso, inguge, inkende itareba, isura, kureba, nta, oya
🙉 ikibi, ikibujijwe, ikimenyetso, inguge, inkende itumva, isura, kumva, nta, oya
🙊 ikibi, ikibujijwe, ikimenyetso, injangwe, inkende itavuga, isura, kuvuga, nta, oya
💋 gusoma, ikimenyetso cyo gusomana, iminwa
💌 ibahasha y’urukundo, ibaruwa, meyili, umutima, urukundo
💘 akambi, ikigirwamana cy’urukundo, umutima n’akambi
💝 riba, umutima uriho riba, valentine
💖 bishimye, ibishashi, umutima ubengerana
💗 bishimishije, gicitse intege, gushishira, ubukure, umutima ukura
💓 gutera, gutera kw’umutima, gutitira, umutima utera
💞 bihinduka, imitima izenguruka
💕 imitima ibiri, urukundo
💟 umuteguro w’imitima, umutima
❣ agatangaro, akamenyetso k’umutima gatangara, akarango, akatuzo
💔 bitandukanye, Gutandukana, umutima umenetse
❤ umutima, umutima utukura
🧡 oranje, umutima wa oranje
💛 umuhondo, umutima w’umuhondo
💚 icyatsi, umutima w’icyatsi
💙 ubururu, umutima w’ubururu
💜 umutima wa move, umwura
🖤 cy’umugome, ikibi, imitima yirabura, umukara
💯 100, amanota ijana, ijana, inota, yuzuye
💢 ikimenyetso cy’uburakari, inkuru ishushanyije, irakaje
💥 buum, igongana, inkuru ishushanyije
💫 inyenyeri, ishimishije, ufite isereri
💦 icyuya, inkuru ishushanyije, kudumbura, udutonyanga tw’ibyuya
💨 ikimenyetso cy’ibinyaruka, inkuru ishushanyije, kwiruka, umuvuduko
🕳 umwobo
💣 ibombe, inkuru ishushanyije
💬 akabaruni, akabarunigitekerezo, igipurizomvugo, ikiganiro, imvugo, inkuru ishushanyije
👁‍🗨 akabaruni, ijisho, ijisho riri mu kabaruni, umuhamya
🗨 ikiganiro, ikiganiro cy’akabaruni k’ibumoso, imvugo
🗯 akabaruni, akabaruni gasongoye k’iburyo, igipirizo, karakaje, kirakaje
💭 akabaruni, akazu kagaragaza gutekereza, gisekeje, igitekerezo
💤 bisekeje, ibitotsi, zzz
👋 gupepera, ikiganza, ikiganza gipepera
🤚 inyuma y’ikiganza kizamuye, ruzamuye, urushyi rw’ikiganza
🖐 bitanye, ikiganza, ikiganza kizamuye intoki zitandukanyije, urutoki
✋ Ikiganza, ikiganza kizamuye
🖖 gutandukanya intoki enye, ikiganza, ikigirwamana cy’umuriro, indamukanyo ya vulcan, urutoki
👌 ikiganza, ikiganza cyemeza, Yego
✌ ikiganza, Ikiganza cy’intsinzi, intsinzi, v
🤞 amahirwe, ikiganza, intoki zinyuranyemo, umusaraba, urutoki
🤟 ikiganza, ikimenyetso cya ndagukunda, ILY
🤘 amahembe, ikiganza, ikimenyetso cy’amahembe, ikimenyetso cy’intsinzi, urutoki
🤙 guhamagara, ikiganza, ikiganza gisaba guhamagarwa
👈 gutunga, ikiganza, mukubitarukoko, umugongo w’ikiganza, urutoki, urutoki rutunze ibumoso
👉 gutunga, ikiganza, mukubitarukoko, umugongo w’ikiganza, urutoki, urutoki rutunze iburyo
👆 gutunga, hejuru, ikiganza, mukubitarukoko, urutoki, urutoki rutunze hejuru, werekeza inyuma
🖕 ikiganza, musumbazose, urutoki
👇 gutunga, ikiganza, mukubitarukoro, rwerekeje hasi, urutoki, urutoki rutunze hasi, werekeza inyuma
☝ gutunga, gutunga mukubitarukoko hejuru, heju, ikiganza, mukubitarukoko, urutoki
👍 +1, hejuru, ibikumwe bireba hejuru, igikumwe, ikiganza
👎 -1, cyerekeje hasi, ibikumwe bireba hasi, igikumwe, ikiganza
✊ cyakanzwe, igipfunsi, igipfunsi kizamuye, ikiganza, ingumi
👊 cyakanzwe, igipfunsi, igipfunsi kikureba, ikiganza, ingumi
🤛 igipfunsi, igipfunsi kireba ibumoso, kireba ibumoso
🤜 igipfunsi, igipfunsi kireba iburyo, kireba iburyo
👏 gukoma amashyi, ibiganza bikoma amashyi, ikiganza
🙌 ibiganza bizamuye, ibirori, ikiganza, ikimenyetso, ikizamuye, oye
👐 gufungura, ikiganza, ikimenyetso cy’ibiganza bibumbuye
🤲 ibiganza byombi hejuru, isengesho
🤝 guhura, gusuhuzanya, gutigisa, ikiganza, kwemeranya
🙏 gihinnye, gusenga, ibiganza bifatanye, ikiganza, ikimenyetso, kubaza, kunama, murakoze cyane, nyaboneka
✍ ikiganza cyandika, intoki, kwandikisha
💅 amavuta yo kwisiga, gusiga inzara, inzara, kwitak ku ntoki n’nzara, kwiyitaho, mubiri, verini y’inzara
🤳 kamera, kwifotora, serifi, telefone
💪 amaboko ahinnye, inkuru ishushanyije, kugorora imitsi, pinya, umukaya
👂 igihimba, ugutwi
👃 igihimba, izuru
🧠 mutwe:, umunyabwenge
👀 amaso, ijisho, isura
👁 igihimba, ijisho
👅 igihimba, ururimi
👄 iminwa, umunwa
👶 rukiri ruto, uruhinja
🧒 ukiri muto, umwana, utagaragaza igitsina
👦 mutoya, umuhungu
👧 mutoya, umukobwa, Virigo, zodiyake
🧑 umuntu mukuru, utagaragaza igitsina
👱 inzobe, umuntu ufite imisatsi y’umweru
👨 umugabo
🧔 ubwanwa, umuntu ufite ubwanwa
👱‍♂ inzobe, umugabo, umugabo ufite imisatsi yera
👩 umugore
👱‍♀ inzobe, umugore, umugore ufite imisatsi yera
🧓 umuntu mukuru ushaje, ushaje, utagaragaza igitsina
👴 umugabo, umusaza, ushaje
👵 umukecuru
🙍 ikimenyetso, kurakara, umuntu utishimye
🙍‍♂ ikimenyetso, umugabo, utishimye
🙍‍♀ ikimenyetso, umugore, utishimye
🙎 ikimenyetso, umuntu uhakana, uwarakaye
🙎‍♂ ikimenyetso, umugabo, urakaye
🙎‍♀ ikimenyetso, umugore, umugore urakaye, uwarakaye
🙅 bibujijwe, ikiganza, ikimenyetso, nti, oya, umuntu ugaragaza OYA
🙅‍♂ bibujijwe, ikiganza, ikimenyetso, oya, umugabo, umugabo werekana ikimenyetso cya OYA
🙅‍♀ bibujijwe, ikiganza, ikimenyetso, oya, umugore, umugore werekana ikimenyetso cya OYA
🙆 ikiganza, ikimenyetso, umuntu ugaragaza Yego, Yego
🙆‍♂ ikiganza, Ikimenyetso, umugabo, umugabo werekana ikimenyetso cya Yego, Yego
🙆‍♀ ikiganza, Ikimenyetso, umugore, umugore werekana ikimenyetso cya Yego, Yego
💁 amakuru, gutega ikiganza, ikiganza, kwirya, ubufasha, umuntu wazamuye urutoki
💁‍♂ kwirya, tipping hand, umugabo, umugabo uteze ikiganza
💁‍♀ ikiganza giteze, kwirya, umugore, umugore uteze ikiganza
🙋 ikiganza, ikimenyetso, ikizamuye, umuntu wazamuye ikiganza, wishimye
🙋‍♂ ikimenyetso, kuzamura ikiganza, umugabo, umugabo uzamuye ikiganza
🙋‍♀ ikimenyetso, kuzamura ikiganza, umugore, umugore uzamuye ikiganza
🙇 ihangane, ikimenyetso, kunama, ukwicuza, umuntu wunamye
🙇‍♂ gutonesha, ihangane, ikimenyetso, kunama, ukwicuza, umugabo, umugabo wunamye
🙇‍♀ gutonesha, ihangane, ikimenyetso, kunama, ukwicuza, umugore, umugore wunamye
🤦 isura, mu kiganza, uhangayitse, ukutemera, umuntu wifash mu maso
🤦‍♂ facepalm, man, uhangayitse, ukutemera, umugabo ushyize ikiganza mu maso
🤦‍♀ ikiganza mu maso, uhangayitse, ukutemera, umugore, umugore ushyize ikiganza mu maso
🤷 gutigisa intugu, kutagira icyo witaho, ubujiji, ugushidikanya, umuntu wazamuye intugu
🤷‍♂ gutigisa intugu, kutagira icyo yitaho, ubujiji, ugushidikanya, umugabo, umugabo utigisa intugu
🤷‍♀ gutigisa intugu, kutagira icyo yitaho, ubujiji, ugushidikanya, umugore, umugore utigisa intugu
👨‍⚕ dogiteri, ubuvuzi, umuforomokazi, umugabo, umugabo muzima w’umukozi, umuvuzi
👩‍⚕ dogiteri, ubuvuzi, umuforomokazi, umugore, umugore ukora mu by’ubuzima, umuvuzi
👨‍🎓 kuzamura mu ntera, umugabo, umugabo w’umunyeshuri, umunyeshuri
👩‍🎓 umugore, umugore w’umunyeshuri, umunyeshuri, uzamurwa mu ntera
👨‍🏫 umugabo, umugabo w’umwarimu, umujyanama, umwarimu
👩‍🏫 umugore, umujyanama, umwarimu, umwarimukazi
👨‍⚖ ubutabera, umugabo, umugabo w’umucamanza, umunzani
👩‍⚖ ubutabera, umugore, umugore w’umucamanza, umunzani
👨‍🌾 umugabo, umugabo w’umworozi, umunyabusitani, umutunzi, umworozi
👩‍🌾 umugore, umunyabusitani, umutunzi, umworozi, umworozikazi
👨‍🍳 umugabo, umugabo w’umutetsi, umutetsi, umutetsi wabyigiye
👩‍🍳 umugore, umutetsi, umutetsi wabyigiye, umutetsikazi
👨‍🔧 inzobere mu mwuga, kanyamashanyazi, kanyamigezi, umugabo, umugabo w’umukanishi, umukanishi
👩‍🔧 inzobere mu mwuga, kanyamashanyazi, kanyamigezi, umugore, umugore w’umukanishi, umukanishi
👨‍🏭 cy’inganda, inteko, umugabo, umugabo ukora mu ruganda, umukozi, uruganda
👩‍🏭 cy’inganda, inteko, umugore, umugore ukora mu ruganda, umukozi, uruganda
👨‍💼 ibiro, impuguke, ubucuruzi, umugabo, umugabo ukorera mu biro, umuhuzabikorwa, umushushanyi
👩‍💼 ibiro, impuguke, ubucuruzi, umugore, umugore ukorera mu biro, umuhuzabikorwa, umushushanyi
👨‍🔬 impuguke mu bya siyansi, injeniyeri, umpuguke mu by’ibinyabuzima, umpuguke mu by’ubutabire, umpuguke mu by’ubutabire mu by’ubugenge, umugabo, umugabo w’impuguke mu bya siyansi, umunyamibare
👩‍🔬 enjeniyeri, impuguke mu by’ibinyabuzima, impuguke mu by’ubugenge, impuguke mu by’ubutabire, impuguke mu bya siyansi, impuguke mu mibare, impugukekazi mu bya siyansi, umugore
👨‍💻 impuguke mu by’ ikoranabuhanga, inzobere mu gushyiramo kode, porogaramu, umugabo, umugabo w’impuguke mu by’ikoranabuhanga, umuhimbyi
👩‍💻 impuguke mu ikoranabuhanga, inzobere mu gushyiramo kode, porogaramu, umugabo w’impuguke mu by’ikoranahanga, umugore, umuhimbyi
👨‍🎤 icyamamare, roke, umugabo, umugabo w’umuririmbyi, umukinnyi, umuririmbyi, usetsa
👩‍🎤 icyamamare, roke, umugore, umukinnyi, umuririmbyi, umuririmbyikazi, usetsa
👨‍🎨 akadirishya-nderembyi, umugabo, umugabo w’umunyabugeni, umunyabugeni
👩‍🎨 akabaho k’amabara, umugore, umunyabugeni, umunyabugenikazi
👨‍✈ indege, umuderevu, umugabo, umugabo w’umuderevu
👩‍✈ indege, umugore, umupilote, umupilotekazi
👨‍🚀 icyogajuru, impuguke mu by’ isanzure, umugabo, umugabo w’ impuguke mu by’ isanzure
👩‍🚀 icyogajuru, impuguke mu by’isanzure, umugore, umugore w’impuguke mu by’isanzure
👨‍🚒 kizimyamwoto, umugabo, umugabo uzimya umuriro, uzimya umuriro
👩‍🚒 kizimyamwoto, umugore, umugore uzimya umuriro, uzimya umuriro
👮 ofisiye, umupolisi
👮‍♂ ofisiye, umugabo, umupolisi, umupolisi w’umugabo
👮‍♀ ofisiye, umugore, umupolisi, umupolisi w’umugore
🕵 intasi, umugenzuzi
🕵‍♂ intasi, umugabo, umugenzuzi, umugenzuzi w’umugabo
🕵‍♀ intasi, umugenzuzi, umugenzuzi w’umugore, umugore
💂 umusuruveya
💂‍♂ umugabo, umurinzi, umurinzi w’ umugabo
💂‍♀ umugore, umurinzi, umurinzi w’ umugore
👷 ingofero, ubwubatsi, umukozi, umwubatsi
👷‍♂ ubwubatsi, umufundi, umugabo, umukozi
👷‍♀ ubwubatsi, umugore, umugore ukora mu bwubatsi, umukozi
🤴 igikomangoma
👸 amakabyankuru, igikomangomakazi
👳 turuba, umuntu witandiye
👳‍♂ igitambaro cyo mu mutwe, umugabo, umugabo witeze igitambaro cyo mu mutwe
👳‍♀ igitambaro cyo mu mutwe, umugore, umugore witeze igitambaro cyo mu mutwe
👲 ingofero, umugabo, umuntu wambaye ingofero y’abashinwa
🧕 furari yo mu mutwe, hijabu, igitambaro cyo mu mutwe, ivara, umugore wambaye igitambaro cyo mu mutwe
🤵 ikote, umugabo, umugabo wambaye ikoti, umukwe
👰 ubukwe, umugeni, umugeni wambaye ivara, umuhuro
🤰 umugore, utwite
🤱 ibere, konsa, uruhinja
👼 akamalayika, amakabyankuru, isura, marayika, uruhinja
🎅 data, ibirori, Noheli, papa, Papa Noheli
🤶 ibirori, madamazela., mama, Mama Noheli, Noheli, papa Noheli
🧙 umumaji, umupfumu, umupfumukazi, umurozi
🧙‍♂ umumajigabo, umupfumu
🧙‍♀ umumajikazi, umupfumukazi, umurozi
🧚 Oberoni, Paka, Titaniya, umuzimu
🧚‍♂ Oberoni, Paka, umuzimugabo
🧚‍♀ Titaniya, umuzimukazi
🧛 Darakula, ingabo, ivampire
🧛‍♂ Darakula, ingabo, ivampayagabo
🧛‍♀ abatarapfuye, ivampayakazi
🧜 madamusamaki, mugabosamaki, mukobwasamaki, muntusamaki
🧜‍♂ mugabosamaki, Tirito
🧜‍♀ madamusamaki, makobwasamaki
🧝 bitangaje, ishitani
🧝‍♂ bitangaje, ishitanigabo
🧝‍♀ bitangaje, ishitanikazi
🧞 igini, ijini
🧞‍♂ iginigabo, ijini
🧞‍♀ iginikazi, ijini
🧟 abapfuye bahagaze, abatarapfuye, izombi
🧟‍♂ abapfuye bahagaze, abatarapfuye, izombigabo
🧟‍♀ abapfuye bahagaze, abatarapfuye, izombikazi
💆 isura, ubutumwa, umuntu bari kumasa, uruganiriro
💆‍♂ isura, ubutumwa, umugabo, umugabo wakirira ubutumwa
💆‍♀ isura, ubutumwa, umugore, umugore wakirira ubutumwa
💇 aho, bogoshera, inyogosho, umuntu bari kogosha, umwogoshi
💇‍♂ inyogosho, umugabo, umugabo wiyogoshesha
💇‍♀ inyogosho, umugore, umugore wiyogoshesha
🚶 kugenda, kugenda n’amaguru, kuzamuka imisozi, umuntu uri kugenda
🚶‍♂ kuzamuka imisozi, ugenda, umugabo, umugabo ugenda n’amaguru
🚶‍♀ kugenda, kuzamuka imisozi, umugore, umugore ugenda n’amaguru
🏃 kwiruka marato, umuntu uri kwiruka
🏃‍♂ gusiganwa, kwirukanka, marato, umugabo, umugabo wirukanka
🏃‍♀ kwirukanka, marato, umugore, umugore wirukanka, usiganwa
💃 umugore, umugore uri kubyina, uri kubyina
🕺 imbyino, umugabo, umugabo uri kubyina
🕴 ikositimu, ubucuruzi, umugabo, umuntu wambaye ikositimu uzamuye
👯 abantu bambaye amatwi y’urukwavu bari mu birori, amatwi y’urukwavu, gukora umunsi mukuru, umubyinnyi
👯‍♂ abagabo, abagabo bambaye amatwi y’urukwavu bakora umunsi mukuru, amatwi y’urukwavu, gukora umunsi mukuru, umubyinnyi
👯‍♀ abagore, abagore bambaye amatwi y’urukwavu bakora umunsi mukuru, amatwi y’urukwavu, gukora umunsi mukuru, umubyinnyi
🧖 ahakorerwa sawuna, sawuna, umuntu uri muri sawuna
🧖‍♂ ahakorerwa sawuna, sawuna, umugabo uri muri sawuna
🧖‍♀ ahakorerwa sawuna, sawuna, umugore uri muri sawuna
🧗 umuntu wurira, uzamuka
🧗‍♂ umugabo wurira, uzamuka
🧗‍♀ umugore wurira, uzamuka
🤺 gukinisha inkota, inkota, ukinisha inkota, umuntu uri gukina umukino w’inkota
🏇 gusiganwa ku ifarasi, ifarashi, ifarashi isiganwa, masiganwa, umuntu utwara ifarashi mu masiganwa
⛷ siki, ugendera kuri siki, urubura
🏂 kugendera ku rubura, siki, umukinnyi unyerera kuri siki, urubura
🏌 golufe, gukina golufe ku giti cyawe, umukino
🏌‍♂ abagabo bakina golufe, golufe, umugabo
🏌‍♀ abagore bakina golufe, golufe, umugore
🏄 kwinyereza ku mazi n’urubaho, umuntu ugendera hejuru y’amazi
🏄‍♂ kwinyereza, umugabo, umugabo winyereza ku mazi
🏄‍♀ kwinyereza, umugore, umugore winyereza ku mazi
🚣 ubwato, ubwato buto bukozwe mu biti, umuntu uri kugashya
🚣‍♂ ubwato, ubwato buto bukozwe mu biti, umugabo, umugabo utwaye ubwato agashya
🚣‍♀ ubwato, ubwato buto bukozwe mu biti, umugore, umugore utwaye ubwato agashya
🏊 koga, umuntu uri koga
🏊‍♂ umugabo, umugabo uri koga, umugore
🏊‍♀ koga, umugabo, umugore uri koga
⛹ umuntu uri gutera umupira, umupira
⛹‍♂ umugabo, umugabo uri gutera umupira, umupira
⛹‍♀ umugore, umugore uri gutera umupira, umupira
🏋 ibiro, umuntu uterura ibyuma, uterura
🏋‍♂ umugabo, umugabo uterura ibyuma, uterura ibyuma
🏋‍♀ guterura ibyuma, umugore, umugore uterura ibyuma
🚴 gutwara igare, igare, umuntu utwaye igare, urwara igare
🚴‍♂ gutwara igare, igare, umugabo, umugabo utwara igare, umunyonzi
🚴‍♀ gutwara igare, igare, umugore, umugore utwara igare, umunyozi
🚵 igare, umuntu utwaye igare mu misozi, umunyonzi, umusozi
🚵‍♂ igare, umugabo, umugabo utwara igare ku musozi, umunyonzi, umusozi
🚵‍♀ gutwar igare, igare, umugore, umugore utwara igare ku musozi, umunyonzi, umusozi
🤸 kumangamanga, ubugororangingo, umuntu uri kumangamanga
🤸‍♂ kumangamanga, ubugororangingo, umugabo, umugabo umangamanga
🤸‍♀ kumangamanga, ubugororangingo, umugore, umugore umangamanga
🤼 kurushanwa, umuntu uri gukirana, urushanwa
🤼‍♂ abagabo, abagabo barushanwa, kurushanwa
🤼‍♀ abagore, abagore barushanwa, kurushanwa
🤽 amazi, umukino wa polo, umuntu uri gukina umukino wa water polo
🤽‍♂ umugabo, umugabo ukina umukino wa polo wo mu mazi, umukino wa polo
🤽‍♀ umugore, umugore ukina umukino wa polo wo mu mazi, umukino wa polo wo mu mazi
🤾 handibali, umuntu uri gukina handball, umupira
🤾‍♂ handibali, umugabo, umugabo ukina handibali
🤾‍♀ handibali, umugore, umugore ukina handibali
🤹 gukora imirimo myinshi icyarimwe, gusamata, iringaniza, ubuhanga, umuntu uri gukina jongere
🤹‍♂ gukora imirimo myinshi icyarimwe, gusama ujugunya hejuru, umugabo, umugabo usama ajugunya hejuru
🤹‍♀ gukora imirimo myinshi icyarimwe, gusama ujugunya hejuru, umugore, umugore usama ajugunya hejuru
🧘 meditasiyo, umuntu wicaye ageretse akaguru ku kandi, yoga
🧘‍♂ meditasiyo, umugabo wicaye ageretse akaguru ku kandi, yoga
🧘‍♀ meditasiyo, umugore wicaye ageretse akaguru ku kandi, yoga
🛀 koga, ubwiherero, umuntu uri kwiyuhagira
🛌 hoteli, kuryama, umuntu uryamye
👭 abagore babiri bafatanye ibigaza, abakundana, gufata, ikiganza, umugore
👫 abakunda, gufata, ikiganza, umugabo, umugabo n’umugore bafatanye ibiganza, umugore
👬 abagabo babiri bafatanye ibigaza, abakundana, gufata, iganza, ikimenyetso cya Gemini, impanga, umugabo, zodiyake
💏 abakundana, gusomana
💑 abakundana, ikupule n’umutima, urukundo
👪 umuryango
🗣 igicucucucu, isura, kuvuga, umutwe, umutwe uvuga
👤 igicucu, igihimba, ishusho y’igihimba cy’umuntu
👥 amashusho y’igihimba cy’umuntu, igicucu, igihimba
👣 ahakandagiye ibirenge, aho ikirenge cyakandaiye, akarango, kwambara
🐵 isura y’inkende, mu maso h’inkima
🐒 inguge
🦍 ingagi
🐶 imbwa, indoro y’imbwa, isura, itungo
🐕 imbwa, inyamaswa yo mu rugo
🐩 imbwa, imbwa nini y’impigi
🐺 ikirura, isura, isura y’ikirura
🦊 isura, isura y’umuhari, umuhigo
🐱 indoro y’injangwe, ipusi, isura, itungo
🐈 injangwe, inyamaswa yo mu rugo
🦁 Intare, isura, isura y’intare, zodiyake
🐯 igisamagwe, isura, isura y’igisamagwe
🐅 igisamagwe
🐆 ingwe
