{ Brákẹt, Brákẹt Wé Rizẹ́mbúl Gọl Bẹd Im Wing, Bres, Gọ́lwing, Kọ́rlí Brákẹt, Kọ́rlí Bres, Ópún Kọ́rlí Brákẹt
🏻 Laít Skín Ton, Skín Ton, Taip 1–2
⁻ Maínọs, Supaskript, Supaskrípt Maínọs
√ Rádíkal, Rédiks, Rut, Skwea, Skweá Rut, Sọọd
∞ Infíníti, Infíníti Sain
∩ Intasẹ́kshọn, Sẹt
∪ Kọlẹ́kshọn, Sẹt, Yúniọn
≈ Dé Niálí Íkwọl, Dé Niálí Íkwọ́ls To, Niáli, Ọ́lmost
≡ Di Sem As, Ẹ́zakt, Ẹ́záktli, Trí Taims
≤ Íkwọl, Íkwọ́ls To, Nọ́ Dé Íkwọl, Smọ́l-pas, Smọ́l-pas Ọ Íkwọl
≥ Bíg-pas, Bíg-pas Ọ Íkwọl, Íkwọl, Íkwọ́ls To, Nọ́ Dé Íkwọl
⊂ Sẹt, Sọbsẹt, Sọbsẹ́t Ọf
▲ Áro, Blák Tráyángul Wé De Pọínt Ọp, Tráyángul
▼ Áro, Blák Tráyángul Wé De Pọínt Daun, Tráyángul
◊ Dáyámọnd, Lọ́zinj, Lọ́zínj Símbul, Rọ́mbus
○ Ring, Sẹkul, Sẹ́kul Wé Gẹ́t Hol
● Blák Smọ́l Sẹ́kul, Sẹ́kul
◯ Bíg Sẹ́kul Wé Gẹ́t Hol, Ring, Sẹkul
♪ Ẹt, Ẹ́t Not, Miúzik, Not
♭ Bẹmólẹ, Flat, Miúzik, Not
♯ Dáísis, Diẹz, Miúzik, Not, Shap
😀 Fes, Laf, Láfín Fes
😃 Fes, Laf, Láfín Fes Wé Gẹ́t Bíg Ai-dẹm, Maut, Ópun
😄 Ai, Fés, Laf, Láfín Fés Wit Shaínín Ai, Láfín Fés Wit Shaínín Ai-dẹm, Maut, Ópun
😁 Ai, Bíg Laf, Bíg Laf Wit Wait Tit, Fes, Hápí Laf
😆 Fes, Hápi, Hápí Laf, Laf, Láfín Fes Wit Klóz Ai, Maut
😅 Fes, Hápí Laf, Kold, Láfín Fés Wit Swet, Láfín Fes With Smọ́l Swẹt, Ópun, Swet
🤣 Bẹ́nd Hẹd Wọ́n Said De Laf, De Ról Fọ Graun De Laf, Fes, Graun, Laf, Rol
😂 Fes, Fes Wit Hápí Tias Fọ Ai, Fes Wit Laf and Tias Fọ Ai, Hápi, Laf, Tias
🙂 Fes, Fes wé De Láf Smọ́l Laf, Hápí Laf, Smaílín Fes Wit Jẹ́ntúl Ai
🙃 Fes, Ọ́psaíd-daún
😉 Fes, Fes Wé Klóz Wọ́n Ai, Ópún An Klóz Wọ́n Ai Kwíkkwik
😊 Ai, Fes, Fes Wé Shem De Kach, Hápí Smail, Smaílín Fes Wit Shaínín Ai
😇 Dream, Énjẹl, Fes, Pẹ́sin Nọ́ Dú Bad, Raúnd Lait, Smaílín Fes With Raúnd Lait Fọ Hẹd
🥰 Hat-dẹm, Lọ́v Pẹ́sin, Lọ́v Pẹ́sin Wẹ́l Wẹl, Lọv Wé Nọ́ De Lást Lọng, Smaílín Fes Wit Hat-dẹm, Smailín Fes Wit Trí Hat
😍 Ai, Fes, Laf, Lafín Fes Wit Hat-ai-dẹm, Lafín Fes Wit Hat-Ai-dẹm, Lọv
🤩 Ai, Fes, Láfin, Láfín Fes Wit Sta Fọ Ai, Sta
😘 Fes, Kis, Maut Wé De Bló Kis
😗 Fes, Kis, Kísín Fes
☺ Aúsaíd Mak, Fes, Rilaks, Smail, Smaílín Fes
😚 Ai, Fes, Kis, Kísín Fes Wit Klóz Ai, Kloz
😙 Ai, Fes, Kis, Kísín Fes Wit Smaílín Ai, Smail
🥲 Hapí, Praud, Smail, Smaílín Fes Wit Tias, Smaílín Fes Wit Tis Fọ Ai, Sọ́mtin Wé Tọ́ch Pẹ́sin Fọ Hat, Tánkio, Tias
😋 Ẹnjọyín Di Tést Ọf Sọ́mtín Laik Fud Ọ Drink, Fes, Fes Wé De Ẹnjọí Fud, Hapí, Smail, Swit
😛 Fes, Fes Wit Tọng, Tọng
😜 Ai, Fes, Jok, Ple, Tọng, Wink, Wínkín Fes Wit Tọng
🤪 Ai, Big, Fes De Mék Pẹ́sin Laf, Fes Wé De Mék Pẹ́sin Laf, Smọl, Stúpid
😝 Ai, Fes, Fes Klóz Ai Smọl De Luk, Fes Wé Klóz Ai Smọl De Luk, Họ́ríbul, Test, Tọng
🤑 Fes, Maut, Maút Fes, Mọní, Mọní-Maút Fes
🤗 Fes, Hand De Họ́l Fes, Họg, Họ́gin, Hol
🤭 Fes Wit Hand Fọ Maut, Hẹẹẹ
🤫 Fes Pút Fínga Fọ Maut De Mék Shhhh, Kwáyẹt, Shhhh
🤔 De Tink, Fes, Fes De Tink
🤐 Fes, Maut, Zip, Zíp-Maut Fes
🤨 Aíbrau, Fes, Fes Wé Réz Ọ́p Aíbrau, Gẹ́t Tú Maind, Nó Trọst
😐 A Dọn Kiá Fes, Fes, Fes Wé Nọ́ De Laf, Plen, Plén Fes
😑 Ẹ́mptí Fes, Fes, Fes Nọ́ Shó Ẹ́nítin Wé De Hápún To Am
😶 Fes, Fes Wé Nọ́ Gẹ́t Maut, Kwáyẹt, Maut, Saílẹnt
😶‍🌫 Kọnfúshọn Hól Pẹ́sin, Pẹ́sin De Sí Pípul Fes Fọ Klaud, Pésín Maind Nọ́ Dé Dia, Yu De Tínk Sọ́mtin Bọt Yọ Maind De Dú Anọ́dá Tin
😏 Bẹn Bẹ́n Smail, Fes, Fes Wit Bẹn Bẹ́n Smail
😒 Fes, Fes Wé Nọ́ Dé Hapí, Nọ́ Hapí, Skwíz Fes
🙄 Ai-dẹm, Fes, Fes De Tọ́n Im Ai-dẹm, To Tọn Tọ́n Yọ Ai-dem, To Tọ́n Yọ Ai-dẹm
😬 Fes, Ọ́glí Fes Wé Sọ́mtin De Pen, To Skíz Yọ Fes
😮‍💨 Brít Ea Kọmọt, Fes Wé De Brít Ea Kọmọt, Gasp, Gron, To Fíl Hápi, Tọ́k Sọ́fli Fọ Pẹ́sin Mék Ónlí Am Hia, Wíspa, Wísul
🤥 Fes, Lai, lai Laí Fes, Lai-laí Fes, Pinókio
😌 Fes, Fes Wé Riláks Wẹ́l, To Fíl Hapí
😔 Fes, Fes Wé Dé Tínk Díp Dip, Nọ́ Dé Hapí An Dọ́n Lúz Hop
😪 Fes, Fes Wé Slip De Kach, Slip
🤤 Fes, Fes Wé Salaíva De Kọmọ́t Fọ Maut, Salaíva De Kọmọ́t Fọ Maut
😴 Fes, Fes Wé De Slip, Slip, Zzz
😷 Dọ́ktọ, Fes Wé Wía Mẹ́díkál Mask, Kold, Mask, Sik, Síknẹs
🤒 Fes, Fes Wit Tamómẹ́ta, Nọ́ Wẹl, Sik, Tamómẹ́ta
🤕 Bándej, Fes, Fés Wit Bándej Fọ Hẹd, Pen, Wund
🤢 Fes, Vọmit, Wán, Wé
🤮 Fes Wé De Vọmit, Sik, Vọmit
🤧 Blẹ́s Yu, Fes, Fes Wé De Sniz, Sniz
🥵 Fọ Fíva To Hól Yu, Hít Strok, Họt, Họ́t Fes, Rẹ́d Fes, Swẹt
🥶 Blú Fes, Fes Wé Kold De Kach, Kold, Lọ́ng Lọ́ng Aíz Blọk, Tuú Mọ́ch Kold, Tuú Mọ́ch Kold Dáméj Pẹ́sin Bọdí
🥴 Dízi, Dízí Fes, Fes Wé Dọ́n Chak, Pẹ́sin Wé Ai De Tọ́n, Pẹ́sin Wé Dọ́n Buz, Pẹ́sin Wé Drink De Kách, Zíg Zág Maut
😵 Dai, Fent, Fes, Fes Wé Wán Fent
😵‍💫 Dízi, Dú Pẹ́sin Jujú, Fes Wé Ai De Tọ́n Raúnd An Raund, Hẹẹ, Sọ́mtin De Tọ́n Raúnd An Raund, Wahála
🤯 Bíg Hápí Sọpraiz, Hẹd Wé Wán Skáta, Shọk
🤠 Fes, Hat, Kaúbọi, Kaúbọi Hát Fes, Kaúgẹl
🥳 Fes Wé Dé Fọ Patí, Họn, Kap, Patí, Sẹlíbréshọn
🥸 Chénj Haú Yu Bi, Fes, Fes Wé Dẹm Chénj Haú I Bì, Fes Wé Dẹm De Haid, Glásis, Nóz, To Mék Pípul Nọ́ Nó Hú Yu Bì
😎 Kul, Shaínín Wẹ́l Wẹl, Smaílín Fes Wé Wiá Sọ́nshed, Sọn, Sọ́nshed
🤓 Búkúrú Pẹ́sin Fes, Fes, Tẹ́kíníkál Ẹ́spat, Tẹ́kíníkál Ẹ́spat Fes
🧐 Fes Wit Wọ́n Ai Aíglas, Óld-Fáshọn Wè
😕 A Dọn Kiá Fes, Fes, Fes Wé Nọ́ Nó Wétín I Go Du, Kọnfiuz
😟 Fes, Fes Wé Sọ́mtin De Wọ́ri, Wọ́ri
🙁 Fes, Fes Wé De Fraún Smọ́l Smọl, Fraun
☹ Fes, Fes Wé De Fraun, Fraun
😮 Fes, Fes Wé Gẹt Ópún Maut, Maut, Ópún, Píti
😯 Fes, Fes Wé Dé Kwáyẹt, Kwáyẹt, Shọk, Sọpraiz, Sọpraiz Wẹ́l Wẹl
😲 Fes, Fes Wé Sọpraiz Fúl Am, Kọmplit, Shọk, Sọpraiz Wẹ́l Wẹl
😳 Fes, Rẹ́d Fes, Shọk
🥺 Abẹg, Fes Wé De Bẹ́g Fọ Sọ́mtin, Píti, Smọ́l Dọg Ai
😦 Fes, Fes Wé De Fraún Wit Ópún Maut, Fraun, Maut, Ópun
😧 Fes, Fes Wé Sọ́mtin De Pén Wẹ́l Wẹl, Fọ Sọ́mtin To Pén Pẹ́sin Wẹ́l Wẹl
😨 Fes, Fes Wé Fia De Kach, Fia, Fọ Fia To Kách Pẹ́sin, Fọ Sọ́mtin To Mék Fia Kách Pẹ́sin
😰 Blu, Fes, Fes Wé De Swẹt An Wé Sọ́mtin De Wọ́ri, Kold, Swẹt
😥 Dé Hapí, Fes, Fes Wé Dẹm Dọ́n Disapọint, Nọ́ Dé Hapí, Nọ́ Dé Hapí Bọt Dọ́n Dé Hapí
😢 Dé Hapí, Fes, Fes Wé De Krai, Fes Wé Dẹm Dọ́n Disapọint, Nọ́ Dé Hapí, Nọ́ Dé Hapí Bọt Dọ́n Dé Hapí
😭 Fes, Fes Wé De Kraí Láud Laud, Krai, Tias
😱 Fes, Fes Wé Fia Mék Am Shaút Laúd Laud, Fia, Shaút Laúd Laud
😖 Fes, Fes Wé Klóz Ai, Fes Wé Nọ́ Sabí Wétín I Go Du, Kọnfiuz, Zíg Zág Maút Fes
😣 Fes, Fes Wé Nọ́ De Táya, Kọntíniú To De Trai Dú Sọ́mtin, Nọ́ De Táyá To De Trai Dú Sọ́mtin
😞 Disapọint, Fes, Fes Wé Dẹm Dọ́n Disapọint
😓 Fes, Fes Wé De Swẹt An Nọ́ Dé Hapí Sám Sám, Kold, Swẹt
😩 Fes, Fes Wé Dọ́n Táyá Wẹ́l Wẹl, Táya, Táyá Wẹ́l Wẹl
😫 Fes, Fes Wé Dọ́n Táya, Táya
🥱 Dọ́n Táyá To Dú Sọ́mtin, Fes Wé De Yọn, Táya, Yọn
😤 Fes, Fes Wé Smok De Kọmọ́t Fọ Im Noz, Víktri, Win
😡 Bíg Vẹks Wé Dé Hád To Kọntrol, Fes, Fes Wé De Vẹ́ks Bád Bad, To Vẹ́ks Bád Bad, Vẹks
😠 Fes, Fes Wé De Vẹks, Fes Wé De Vẹ́ks, To Vẹ́ks Bád Bad
🤬 Fes Wit Sain Fọ Maut, Swia
😈 Dédrim, Férí Torí, Fes, Họn-dẹm, Smail, Smaílín Fes Wit Tú Họn, Torí Abaut Spírit-dẹm Wé Rizẹ́mbúl Taíní Húmánbin
👿 Bád Spírit, Dédrim, Dẹ́vul, Dímọn, Fes Wé De Vẹks An Gẹt Tú Họn, Ívúl Spírit
💀 Bíg Bád Anímal Wé De Mék Pẹ́sin Kách Fia, Bon Bón Pát Ọf Hẹd, Bon Bón Pát Ọf Pẹ́sin Hẹd, Dai, Fes, Mọ́nsta, Skọl, Torí Abaut Spírit-dẹm Wé Rizẹ́mbúl Taíní Húmánbin
☠ Bíg Bád Anímal Wé De Mék Pẹ́sin Kách Fia, Bon Bón Pát Ọf Hẹd Wit Tú Krọ́s Bon-dẹm, Bon Bón Pát Ọf Pẹ́sin Hẹd Wit Tú Krọ́s Bon-dẹm, Dai, Fes, Krọ́s Bon-dẹm, Skọl, Skọl And Krọ́sbon-dẹm
💩 Bíg Bád Anímal Wé De Mék Pẹ́sin Kách Fia, Bíg Shit, Fes, Latrin, Mọ́nsta, Shit, Toílẹt
🤡 Fes, Klaun, Klaun Im Fes
👹 Bíg Bád Anímal Wé De Mék Pẹ́sin Kách Fia, Dédrim, Férí Torí, Fes, Kríchọ, Ọ́glí Wíkẹ́d Fes, Torí Abaut Spírit-dẹm Wé Rizẹ́mbúl Taíní Húmánbin
👺 Dédrim, Fes, Gọ́blin, Kríchọ, Mọ́nsta, Torí Abaut Spírit-dẹm Wé Rizẹ́mbúl Taíní Húmánbin, Wíkẹ́d Bád Spírit
👻 Dédrim, Fes, Gost, Kríchọ, Torí Abaut Sọ́mtin Wé Rizẹ́mbúl Smọ́l Húmánbin An Wé Gẹ́t Májík Páwa, Wíkẹ́d Bád Spírit
👽 Dédrim, Éliẹn, Fes, Kríchọ, Kríchọ Frọm Anọ́dá Wọld, UFO
👾 Bíg Bád Anímal Wé De Mék Pẹ́sin Kách Fia, Éliẹn, Fes, Kríchọ, Kríchọ Frọm Anọ́dá Wọld, UFO, Wíkẹ́d Kríchọ Frọm Anọ́dá Wọld
🤖 Bíg Bád Anímal Wé De Mék Pẹ́sin Kách Fia, Fes, Mashin Wé Rizẹ́mbúl Húmánbin, Rọ́bọt
😺 Fes, Kat, Kat Wé De Laf, Laf, Maut, Ópun, Smail
😸 Ai, Fes, Kat, Laf, Láfín Kat Wit Smaílín Ai, Smail
😹 Fes, Hapí, Kat, Láfín Kat Wit Tias Fọ Im Ai, Tias
😻 Ai, Fes, Hat, Kat, Láfín Kat Wit Hát Fọ Im Ai, Lọv, Smail
😼 Fes, Kat, Kat Wit Krúkẹ́d Smail Fọ Fes, Krúkẹd, Smail
😽 Ai, Fes, Kat, Kis, Kísín Kat
🙀 Fes, Kat, Kat Wé Dọ́n Táya, O-oo, Sọpraiz, Táya
😿 Fes, Kat, Kat Wé De Krai, Krai, Nọ́ Dé Hapí, Tias
😾 Fes, Kat, Kat Wé De Krai, Kat Wé Nọ́ Dé Hapí, Krai, Nọ́ Dé Hapí, Tias
🙈 Bád Tin, Fes, Fọbid, Mọnkí, Mọnkí Wé Nọ́ Wán Sí Bád Tin, Si
🙉 Bád Tin, Fes, Fọbid, Hia, Mọnkí, Mọnkí Wé Nọ́ Wán Hiá Bád Tin
🙊 Bád Tin, Fes, Fọbid, Hia, Mọnkí, Mọnkí Wé Nọ́ Wán Hiá Bád Tin, Mọnkí Wé Nọ́ Wán Tọ́k Bád Tin
💋 Kis, Kis Mak, Lips, Lọv, Maut
💌 Hat, Lẹ́ta, Lọv, Lọ́v Lẹ́ta, Mel
💘 Áro, Hat Wé Áro Dọ́n Chuk, Kúpid
💝 Hat Wé Dẹm Taí Ríbọn, Ríbọn, Valẹ́ntaín Dè
💖 Hapí Wẹ́l Wẹl, Hat Wé De Shaín Brait Wẹ́l Wẹl, Hat Wé De Shaín Wẹ́l Wẹl Wit Smọ́l Smọ́l Braít Lait, Shaín Wẹ́l Wẹl Wit Smál Smọ́l Braít Lait, Spákul
💗 Gro, Hapí Wẹ́l Wẹl, Hat Wé De Gro Bíkọs I Dé Hapí, Hátbit
💓 Bítin, Hat Wé De Bit, Hátbit
💞 Hat-dẹm Wé De Tọ́n Raúnd An Raund, Tọ́n Raúnd An Raund
💕 Lọv, Tú Hat
💟 Hat, Hat Wé Dẹm Dẹkọrét Am, Hat Wé Dẹm Mék Am Mék I Lúk Fain
❣ Ẹsklaméshọn Mak, Hat Wé Dẹm Ték Mék Ẹsklaméshọ́n Mak, Mak, Pọnchuéshọn Mak
💔 Brẹk, Dọ́n Brẹk, Hat Wé Dọ́n Brẹk
❤‍🔥 Bọn, Hat, Hat Wé De Bọ́n Wít Fáya, Lọv, Pẹ́sin To Họ́ngrí Wẹ́l Wẹl To Slíp Wit Sọ́mbọdi Bọt I Nó Lọ́v Di Pẹ́sin, Sékrẹ́d Hat
❤‍🩹 Pẹ́sin Bọdí Dọn De Wẹl, Pẹ́sin Dọ́n De Gẹ́t Bák Im Páwa Áftá Síknẹs, Pẹ́sin Dọ́n De Wẹ́l Agen, Síknẹs Dọ́n De Gò, To Ripiá Hat Wé Dọn Brẹk, Wẹl
❤ Hat, Rẹ́d Hat
🧡 Ọ́renj, Ọ́renj Kọ́lọ Hat, Ọ́rénj Kọ́lọ Hat
💛 Hat, Yẹ́ló Hat
💚 Grin, Grín Hat
💙 Blu, Blú Hat
💜 Pọ́pul, Pọ́púl Hat, Pọ́pul Kọ́lọ Hat
🤎 Braún, Hat
🖤 Bad, Blak, Blák Hat, Wíkẹd
🤍 Hat, Wait, Waít Hat
💯 100, Ful, Họ́ndrẹd, Skọ, Skọ Wé Bi Wọ́n Họ́ndrẹ́d Pọínt
💢 Pẹ́sin Wé De Mék Pípul Laf, Sọ́mtin Wé De Mék Pẹ́sin Laf, To Vẹ́ks Wẹ́l Wẹl, Vẹks, Vẹ́ks Sain
💥 Ásídẹnt, Jam
💫 Ai De Tọn Tọ́n Yu An Yu Wán Fọl, Dízi, Fent, Sọ́mtin Wé De Mék Pẹ́sin Laf, Sta, Yu Fíl Laik Ẹ́vrítin De Tọ́n Raúnd An Raund And Yu Wán Fọl
💦 Fọ Líkwid To Fọ́l Ọn Tọ́p Sọ́mtin, Jok, Ple Plé, Sọm Drọ́p Ọf Swẹt, Sọ́mtin Wé De Mék Pẹ́sin Laf, Swẹt
💨 Rọn, Rọ́n Kwík Kwik, Sọ́mtin Wé De Mék Pẹ́sin Laf, To Ték Spid Rọn
🕳 Hol
💣 Bọmb, Jok, Plè Plé
💬 Blonbló, Bọ́bul, Jok, Mẹ́séj Blonbló Píkchọ, Ple Plé, Sọ́mtin Wé De Mék Pẹ́sin Laf, To Tọk Tọ́k Wít Pípul, Tọk
👁‍🗨 Ai, Ai Fọ Ínsaid Mẹ́séj Blonbló Píkchọ, Mẹ́sej, Tọk, Wítnẹs
🗨 Lẹ́ft Hánd Saíd Mẹ́séj Blonbló Píkchọ, To Tọ́k Wít Pípul, Tọk
🗯 Bíg Vẹks, Blonbló, Bọ́bul, Raít Hánd Saíd Vẹks Blonbló Píkchọ, Vẹks
💭 Blonbló, Blonbló Píkchọ Abaut Tínkin, Bọ́bul, Jok, Plè, Sọ́mtin Wé De Mék Pẹ́sin Laf, Tink
💤 Slip, Zzz
👋 Baibaí, Hand, Hand Wé De Wev, Wev
🤚 Hand Im Bak, Hand Im Bak Wé Dẹm Réz Ọp, Rez
🖐 Fínga, Hand, Hand Wé Dẹm Sprẹ́d Di Fínga-dẹm, Sprẹd
