{ eckige Klammer
„ Anführung, Anführungszeichen, doppeltes Anführungszeichen, doppeltes Anführungszeichen unten, öffnendes Anführungszeichen unten, öffnendes doppeltes Anführungszeichen unten
« Anführungszeichen, Caret, Chevron, Klammer, links, nach links weisendes Guillemet, Spitzzeichen
» Anführungszeichen, Caret, Chevron, Klammer, nach rechts weisendes Guillemet, rechts, Spitzzeichen
) schliessende Klammer
[ öffnende eckige Klammer
] schliessende eckige Klammer
} schliessende geschwungene Klammer
〈 öffnende spitze Klammer, öffnende Winkelklammer, Pfeilspitze links, spitze Klammer, Winkelklammer
〉 schliessende spitze Klammer
《 doppelte spitze Klammer, Klammer, öffnende doppelte spitze Klammer
》 schliessende doppelte spitze Klammer
「 Eckklammer, Klammer, öffnende Eckklammer
」 schliessende rechtwinklige Klammer
『 Klammer, öffnende weisse Eckklammer, weisse Eckklammer
』 schliessende rechtwinklige Klammer hohl
【 Klammer, konkave Klammer, öffnende schwarze konkave Klammer, schwarze konkave Klammer
】 Klammer, konkave Klammer, schliessende schwarze konkave Klammer, schwarze konkave Klammer
〔 linke stumpfe Klammer, öffnende stumpfe Klammer, stumpfe Klammer
〕 schliessende Klammer mit stumpfen Winkeln
〖 hohle konkave Klammer, Klammer, konkave Klammer, öffnende hohle konkave Klammer
〗 schliessende linsenförmige Klammer hohl
§ Absatz, Abschnitt, Paragraf, Paragraph
¶ Absatz, Absatzmarke, Absatzzeichen, Alinea
@ At-Zeichen
* Sternchen
/ Schrägstrich, Slash, Solidus, Vorwärtsschrägstrich
\ Backslash, linksseitiger Schrägstrich, Rückstrich, umgekehrter Schrägstrich
& Et-Zeichen, kaufmännisches Und-Zeichen, und, Und-Zeichen
# Doppelkreuz, Hash, Nummernzeichen, Raute
% Hundertstel, Prozent, Prozentzeichen, vom Hundert
‰ Promille, Promillezeichen, Tausendstel
† Dagger, Dolch, Kreuz, Langkreuz, Obeliscus, Obelisk
‡ Dagger, Doppelkreuz, doppeltes Kreuz, Kreuz, Obeliscus, Obelisk, Zweibalkenkreuz
• Aufzählungspunkt, Aufzählungszeichen, Blickfangpunkt, Bullet, Punkt
‧ Bindestrich, Divis, Punkt, Silbentrennungspunkt
′ Hochstrich, Minutenzeichen, Prime, Prime-Zeichen, Strich
″ Doppelprime, Sekundenzeichen, Zoll-Zeichen, Zweistrich
‴ Dreistrich, Linienzeichen
‸ Caret
※ Glyphe, japanisch, Komejirushi, Reismarke
⁂ Asterism
` Accent grave
´ Accent aigu
^ Zirkumflex
¨ Diärese, Trema, Umlaut
° Grad, Grad Alkohol, Proof, Stunde, Volumenprozent
℗ Audio, Audioaufnahme, Aufnahme, Aufzeichnung, Copyright, Copyrightzeichen, Copyrightzeichen für Audioaufnahme
← links, nach links weisend, nach links weisender Pfeil, Pfeil
↚ durchgestrichener Pfeil nach links
→ nach rechts weisend, nach rechts weisender Pfeil, Pfeil, rechts
↛ durchgestrichener Pfeil nach rechts
↑ aufwärts, nach oben weisend, nach oben weisender Pfeil, Pfeil
↓ abwärts, nach unten weisend, nach unten weisender Pfeil, Pfeil
↜ Wellenpfeil nach links
↝ Wellenpfeil nach rechts
↞ Pfeil mit Doppelspitze nach links
↟ Pfeil mit Doppelspitze nach oben
↠ Pfeil mit Doppelspitze nach rechts
↡ Pfeil mit Doppelspitze nach unten
↢ Pfeilschwanz nach links
↣ Pfeilschwanz nach rechts
↤ Pfeil nach links von Strich weglaufend
↥ Pfeil nach oben von Strich weglaufend
↦ Pfeil nach rechts von Strich weglaufend
↧ Pfeil nach unten von Strich weglaufend
↨ Pfeil nach oben und unten mit Unterstrich
↫ Pfeil nach links mit Schleife
↬ Pfeil nach rechts mit Schleife
↭ Wellenpfeil nach links und rechts
↯ Zickzack-Pfeil nach unten
↰ Pfeil nach oben mit Spitze nach links
↱ Pfeil nach oben mit Spitze nach rechts
↲ Pfeil nach unten mit Spitze nach links
↳ Pfeil nach unten mit Spitze nach rechts
↴ Pfeil nach rechts mit Spitze nach unten
↵ Pfeil nach unten mit Ecke nach links
↶ Halbkreisförmiger Pfeil gegen Uhrzeigersinn oben
↷ Halbkreisförmiger Pfeil im Uhrzeigersinn oben
↸ Pfeil nach Nordwesten auf langen Strich zulaufend
↹ Pfeil nach links auf Strich zulaufend über Pfeil nach rechts auf Strich zulaufend
↺ Kreisförmiger Pfeil gegen Uhrzeigersinn
↻ Kreisförmiger Pfeil im Uhrzeigersinn
↼ Harpune nach links mit Zacken nach oben
↽ Harpune nach links mit Zacken nach unten
↾ Harpune nach oben mit Zacken nach rechts
↿ Harpune nach oben mit Zacken nach links
⇀ Harpune nach rechts mit Zacken nach oben
⇁ Harpune nach rechts mit Zacken nach unten
⇂ Harpune nach unten mit Zacken nach rechts
⇃ Harpune nach unten mit Zacken nach links
⇄ Pfeil nach rechts über Pfeil nach links
⇅ abwärts, aufwärts, nach oben und nach unten weisende Pfeile, nach oben weisend, nach unten weisend, Pfeil
⇆ links, Linkspfeil über Rechtspfeil, nach links weisender über nach rechts weisendem Pfeil, Pfeil, rechts
∆ Dreieck, Erhöhung, Inkrement, Schrittweite, Wertzuwachs, Zuwachs
∇ Dreieck, Nabla
∈ Element, Element von, enthält, Menge, Zugehörigkeit
+ addieren, plus, Pluszeichen
± Plus-Minus-Zeichen, Plusminus, Plusminuszeichen
÷ dividieren, Division, Divisionszeichen, Geteiltzeichen, teilen, teilen durch
× mal, malnehmen, Malzeichen, Multiplikation, Multiplikationszeichen, multiplizieren
< kleiner als, Kleiner-als-Zeichen
= gleich
≠ ungleich
> grösser als
¬ Negationszeichen, nicht
| Längsstrich
~ Tilde
− Minuszeichen
⁻ hochgestellt, hochgestelltes Minuszeichen, Minus, Minuszeichen
√ Basiszahl, Grundzahl, irrationale Zahl, Quadratwurzel, Quadratzahl, Radikal, Wurzel
∞ unendlich, Unendlichkeit, Unendlichkeitszeichen
∩ Menge, Schnitt, Schnittmenge
∪ Menge, Vereinigung, Vereinigungsmenge
≈ fast gleich wie
≡ dreifach, dreifacher Strich, exakt, identisch, identisch mit
≤ kleiner als oder gleich
≥ grösser als oder gleich
⊂ Menge, Teilmenge, Teilmenge von, Untermenge, Untermenge von
▲ aufwärts, Dreieck, gefüllt, gefülltes nach oben weisendes Dreieck, Pfeil
▼ abwärts, Dreieck, gefüllt, gefülltes nach unten weisendes Dreieck, Pfeil
◊ Raute, Rhombus
○ hohler Kreis, Kreis, Ring
● gefüllter Kreis, Kreis
◯ grosser hohler Kreis, Kreis, Ring
♪ Achtelsnote
♭ Erniedrigungszeichen
♯ Erhöhungszeichen
😀 Gesicht, grinsendes Gesicht, lol, lustig
😃 Gesicht, grinsendes Gesicht mit grossen Augen, lol, lustig
😄 Gesicht, grinsendes Gesicht mit lachenden Augen, lol, lustig
😁 Gesicht, lustig, strahlendes Gesicht mit lachenden Augen, Zähne
😆 geschlossene Augen, Gesicht, grinsendes Gesicht mit zusammengekniffenen Augen, offener Mund
😅 Gesicht, Lachender Smiley mit kaltem Schweiss, lustig, Schweiss, schwitzen
🤣 Gesicht, lachen, sich vor Lachen auf dem Boden wälzen
😂 Gesicht, Gesicht mit Freudentränen, lachen, Tränen
🙂 Gesicht, Lächeln, lächelnd, leicht lächelndes Gesicht
🙃 auf dem Kopf stehen, Gesicht, umgekehrtes Gesicht
😉 Gesicht, Zwinkern, zwinkerndes Gesicht
😊 erröten, Freude, Gesicht, lächelndes Gesicht mit lachenden Augen, rote Wangen
😇 Gesicht, Heiligenschein, Lächeln, lächelndes Gesicht mit Heiligenschein
🥰 anhimmeln, lächelndes Gesicht mit Herzen, verknallt, verliebt
😍 Gesicht, lächelndes Gesicht mit herzförmigen Augen, verliebt
🤩 Augen, Gesicht, Grinsen, Stern, überwältigt
😘 Gesicht, Kuss, Kuss zuwerfendes Gesicht
😗 Gesicht, Kuss, küssendes Gesicht
☺ fröhlich, Lächeln, lächelnd, lächelndes Gesicht
😚 Gesicht, küssendes Gesicht mit geschlossenen Augen, rote Wangen
😙 Gesicht, Kuss, küssendes Gesicht mit lächelnden Augen, lächelnde Augen
🥲 berührt, dankbar, erleichtert, lächelnd, lachendes Gesicht mit Träne, stolz, Träne
😋 Gesicht, lecker, leckeres Essen, sich die Lippen leckendes Gesicht
😛 Gesicht, Gesicht mit herausgestreckter Zunge, herausgestreckte Zunge
😜 Gesicht, herausgestreckte Zunge, Zwinkern, zwinkerndes Gesicht mit herausgestreckter Zunge
🤪 irres Gesicht
😝 Gesicht, Gesicht mit herausgestreckter Zunge und zusammengekniffenen Augen, herausgestreckte Zunge
🤑 Geld, Gesicht, Gesicht mit Dollarzeichen, Zunge
🤗 Gesicht, Gesicht mit umarmenden Händen, umarmen, Umarmung
🤭 Huch, verlegen kicherndes Gesicht
🤫 ermahnendes Gesicht, leise, pst
🤔 Gesicht, nachdenken, nachdenkendes Gesicht, nachdenklich
🤐 Gesicht, Mund, Reissverschluss, Smiley mit Reissverschlussmund
🤨 argwöhnisch, Gesicht mit hochgezogenen Augenbrauen, skeptisch
😐 Gesicht, kein Kommentar, neutrales Gesicht
😑 ausdrucksloses Gesicht, Gesicht, kein Kommentar
😶 Gesicht, Gesicht ohne Mund, kein Mund, sprachlos
😶‍🌫 Kopf in den Wolken
😏 Gesicht, süffisant lächelndes Gesicht
😒 Gesicht, unglücklich, verstimmtes Gesicht
🙄 Augen verdrehen, Augen verdrehendes Gesicht, Gesicht
😬 Gesicht, Grimasse, Grimassen schneidendes Gesicht, Zähne
😮‍💨 ausatmendes Gesicht
🤥 Gesicht, Lüge, lügendes Gesicht, Pinocchio-Nase
😌 erleichtert, erleichtertes Gesicht, geschlossene Augen, Gesicht
😔 Gesicht, nachdenklich, nachdenkliches Gesicht
😪 Gesicht, müde, schläfriges Gesicht
🤤 Gesicht, sabbern, sabberndes Gesicht
😴 Gesicht, schlafen, schlafendes Gesicht, schnarchen, zzz
😷 Arzt, Gesicht, Gesicht mit Atemschutzmaske, Krankheit
🤒 Fieberthermometer, Gesicht, Gesicht mit Fieberthermometer, krank
🤕 Gesicht, Gesicht mit Kopfverband, Schmerzen, Verband, Verletzung
🤢 Erbrechen, Gesicht, Übelkeit, würgendes Gesicht
🤮 kotzen, kotzendes Gesicht, krank
🤧 Gesicht, niesen, niesendes Gesicht
🥵 schwitzendes Gesicht
🥶 Eiszapfen, frieren, frierendes Gesicht, Frostbeule, kalt
🥴 angetrunken, beschwipst, betrunken, schwindeliges Gesicht
😵 benommen, benommenes Gesicht, Gesicht
😵‍💫 Gesicht mit Spiralaugen
🤯 entsetzt, explodierender Kopf, geschockt
🤠 Cowboy, Gesicht, Gesicht mit Cowboyhut, Hut
🥳 Feiern, Party, Partygesicht
🥸 Brille, Gesicht, Gesicht mit Maske, incognito, Maske, Nase
😎 cool, Gesicht, lächelndes Gesicht mit Sonnenbrille, Sonnenbrille
🤓 Gesicht, Nerd, Strebergesicht
🧐 Gesicht mit Monokel, Monokel
😕 Gesicht, verwundert, verwundertes Gesicht
😟 besorgt, besorgtes Gesicht, Gesicht
🙁 betrübtes Gesicht, Gesicht, traurig
☹ düsteres Gesicht, Gesicht, traurig
😮 erstaunt, Gesicht, Gesicht mit offenem Mund, offener Mund
😯 erstaunt, Gesicht, sprachlos, verdutztes Gesicht
😲 erstaunt, erstauntes Gesicht, Gesicht
😳 Erröteter Smiley mit grossen Augen, Gesicht, rote Wangen, überrascht
🥺 betteln, bettelndes Gesicht, Gnade, Welpenaugen
😦 entsetztes Gesicht, Gesicht, offener Mund, verwundert
😧 Gesicht, leidend, qualvolles Gesicht
😨 ängstlich, ängstliches Gesicht, Gesicht
😰 Gesicht, kalter Schweiss, offener Mund, Smiley mit offenem Mund und kaltem Schweiss
😥 trauriges aber erleichtertes Gesicht
😢 Gesicht, Träne, traurig, weinendes Gesicht
😭 Gesicht, heulendes Gesicht, Tränen, traurig
😱 Angst, Gesicht, schreien, vor Angst schreiendes Gesicht
😖 Gesicht, verwirrt, verwirrtes Gesicht
😣 durchhalten, entschlossenes Gesicht, Gesicht
😞 enttäuschtes Gesicht, Gesicht, traurig
😓 geschlossene Augen, Gesicht, Smiley mit kaltem Schweiss
😩 erschöpft, erschöpftes Gesicht, Gesicht, müde
😫 Gesicht, müde, müdes Gesicht
🥱 gähnen, gähnendes Gesicht, gelangweilt, müde
😤 erleichtert, Gesicht, gewonnen, schnaubendes Gesicht
😡 Gesicht, rot, schmollendes Gesicht, wütend
😠 Gesicht, verärgert, verärgertes Gesicht
🤬 fluchen, Gesicht mit Symbolen über dem Mund
😈 grinsendes Gesicht mit Hörnern, Teufel
👿 Fantasy, Gesicht, Teufelchen, wütendes Gesicht mit Hörnern
💀 Gesicht, Tod, tot, Totenkopf
☠ Gesicht, Piratenflagge, Tod, tot, Totenkopf, Totenkopf mit gekreuzten Knochen
💩 Kot, Kothaufen, Mist
🤡 Clown, Clown-Gesicht, Gesicht
👹 Gesicht, Japan, Märchen, Monster, Ungeheuer
👺 Gesicht, Japan, Kobold, Märchen, Monster, Tengu
👻 Fantasy, Gesicht, Gespenst, Märchen
👽 Alien, Ausserirdischer, Ausserirdisches Wesen, Gesicht, UFO
👾 Computerspiel-Monster, Gesicht, Monster, UFO
🤖 Gesicht, Monster, Roboter, Roboterkopf
😺 Gesicht, grinsende Katze, grinsendes Katzengesicht, Katze, lol, lustig
😸 Gesicht, grinsende Katze mit lachenden Augen, grinsendes Katzengesicht mit lachenden Augen, Katze
😹 Gesicht, Katze, Katze mit Freudentränen, Katzengesicht mit Freudentränen, lachen, Tränen
😻 Gesicht, Katze, lachende Katze mit Herzen als Augen, lachendes Katzengesicht mit Herzen als Augen, verliebt
😼 Gesicht, ironisch, Katze, verwegen lächelnde Katze, verwegen lächelndes Katzengesicht
😽 Gesicht, Katze, küssende Katze, küssendes Katzengesicht, rote Wangen
🙀 Angst, erschöpfte Katze, erschöpftes Katzengesicht, Gesicht, Katze, schreien
😿 Gesicht, Katze, Träne, traurig, weinende Katze, weinendes Katzengesicht
😾 Gesicht, Katze, schmollende Katze, schmollendes Katzengesicht, verärgert
🙈 Affe, nichts sehen, sich die Augen zuhaltendes Affengesicht, verboten
🙉 Affe, nichts hören, sich die Ohren zuhaltendes Affengesicht, verboten
🙊 Affe, nichts sagen, sich den Mund zuhaltendes Affengesicht, verboten
💋 Kuss, Kussabdruck, Lippen
💌 Brief, Herz, Liebe, Liebesbrief
💘 Herz, Herz mit Pfeil, Liebe, Pfeil
💝 Herz, Herz mit Schleife, Schleife, Valentinstag
💖 Aufregung, funkelndes Herz, Liebe
💗 Aufregung, Liebe, Nervosität, wachsendes Herz
💓 Herz, Liebe, schlagendes Herz
💞 kreisende Herzen, Liebe
💕 Herz, Liebe, zwei Herzen
💟 Herz, Herzdekoration
❣ Ausrufezeichen, Herz, Herz als Ausrufezeichen, Satzzeichen
💔 gebrochenes Herz, Schmerz, Trennung
❤‍🔥 brennendes Herz
❤‍🩹 Herz mit Pflaster
❤ Herz, rotes Herz
🧡 orange, oranges Herz
💛 gelb, gelbes Herz, Herz
💚 grün, grünes Herz, Herz
💙 blau, blaues Herz, Herz
💜 Herz, lila
🤎 braunes Herz
🖤 böse, Herz, schwarz, schwarzes Herz
🤍 weisses Herz
💯 100, 100 Punkte, Punktestand, volle Punktzahl
💢 Ärger, Comic, Wut
💥 Comic, Kollision, Zusammenstoss
💫 Benommenheit, Comic, schwindlig, Stern, Sterne sehen
💦 Comic, Schweiss, Schweisstropfen
💨 Comic, rennen, Staubwolke, weglaufen
🕳 Loch, schwarz
💣 Bombe, Comic
💬 Dialog, Gespräch, Sprechblase, Sprechblase mit drei Punkten, Unterhaltung
👁‍🗨 Auge, Auge in Sprechblase, Dialog, reden, sprechen
🗨 Dialog, reden, Sprechblase links, sprechen, Unterhaltung
🗯 Sprechblase, Sprechblase für wütende Aussage rechts, wütend
💭 Comic, Gedankenblase, Nachdenken
💤 Comic, Schlaf, Schlafen, Schnarchen, ZZZ
👋 Hand, Winken, winkende Hand
🤚 erhoben, erhobene Hand von hinten, erhobener Handrücken, Hand
🖐 5, Finger, fünf, gespreizt, Hand, Hand mit gespreizten Fingern
✋ erhobene Hand, Hand
🖖 Finger, Hand, Spock, Vulkanier(in), vulkanisch, Vulkanischer Gruss
👌 exzellent, Hand, in Ordnung, OK, OK-Zeichen, perfekt
🤌 Bündelhand, Finger, Handgeste, zusammengedrückt, zusammengedrückte Finger
🤏 klein, kleine Menge, kleiner Betrag, unbedeutend, wenig, Wenig-Geste
✌ Sieg, V, Victory-Geste
🤞 Finger, gekreuzt, Hand, Hand mit gekreuzten Fingern
🤟 Hand, Ich liebe dich, ich-liebe-dich-Geste
🤘 Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss
🤙 anrufen, Hand, ruf-mich-an-Handzeichen, Ruf-mich-an-Handzeichen
👈 Finger, Handrückseite, links, nach links weisender Zeigefinger
👉 Finger, Handrückseite, nach rechts weisender Zeigefinger, rechts
👆 aufwärts, Finger, Handrückseite, nach oben weisender Zeigefinger von hinten
🖕 Finger, Hand, Mittelfinger
👇 abwärts, Finger, Handrückseite, nach unten weisender Zeigefinger
☝ Finger, Hand, Handvorderseite, nach oben, nach oben weisender Zeigefinger von vorne, Zeigefinger
👍 Daumen, Daumen hoch, gut, Hand, nach oben
👎 Daumen, Daumen runter, Hand, nach unten, schlecht
✊ erhobene Faust, Faust
👊 Faust, geballte Faust, Hand
🤛 Faust, Faust nach links, nach links
🤜 Faust, Faust nach rechts, nach rechts
👏 applaudieren, Beifall, Hände, Klatschen, klatschende Hände
🙌 feiern, zwei erhobene Handflächen
👐 Hände, offen, offene Hände
🤲 beten, Handflächen nach oben
🤝 Hände, Händeschütteln, Handschlag, Vereinbarung
🙏 beten, betende Hände, bitte, Gebet
✍ Hand, schreiben, Schreiben, schreibende Hand
💅 Kosmetik, Maniküre, Nagel, Nagellack, Nagelpflege
🤳 Selfie, Smartphone
💪 angespannter Bizeps, Comic, Muskeln anspannen, stark
🦾 Armprothese, Barrierefreiheit, Prothese
🦿 Barrierefreiheit, Beinprothese, Prothese
🦵 Bein, Treten, Tritt
🦶 Fuss, Kick, stampfen
👂 Körperteil, Ohr
🦻 Barrierefreiheit, gehörlos, Hörgerät, Hörhilfe, Ohr mit Hörgerät, taub
👃 Körperteil, Nase
🧠 Gehirn, intelligent
🫀 Herz, Herz (Organ), Herzschlag, Mitte, Organ, Puls, pulsieren
🫁 Atem, atmen, ausatmen, einatmen, Lunge, Lungenflügel, Organ
🦷 Zahn, Zahn ziehen, Zahnarzt, Zahnärztin
🦴 Knochen, Skelett
👀 Auge, Augen, Gesicht
👁 Auge, Körperteil
👅 Körperteil, Zunge
👄 Körperteil, Lippen, Mund
👶 Baby, Gesicht
🧒 geschlechtsneutral, jung, Kind
👦 Gesicht, Junge
👧 Gesicht, Mädchen
🧑 erwachsene Person, Erwachsener, geschlechtsneutral, Mensch, Person
👱 blonde Haare, blonde Person, Gesicht, Person: blondes Haar
👨 Mann
🧔 Bart, Mensch: Bart, Person mit Bart, Person: Bart
🧔‍♂ Mann: Bart
👱‍♂ blond, blonder Mann, Gesicht, Haar, Mann, Mann: blond
👩 Frau
🧔‍♀ Frau: Bart
👱‍♀ blond, blonde Frau, Frau, Frau: blond, Gesicht, Haar
🧓 alt, älterer Erwachsener, älterer Mensch, geschlechtsneutral, ohne eindeutiges Geschlecht
👴 älterer Mann, Gesicht, Mann, Senior
👵 ältere Frau, Frau, Gesicht, Seniorin
🙍 Gesicht, missmutige Person
🙍‍♂ Gesicht, Mann, missmutiger Mann, Stirn runzeln
🙍‍♀ Frau, Gesicht, missmutige Frau, Stirn runzeln
🙎 Schmollen, schmollende Person
🙎‍♂ Gesicht, Mann, schmollen, schmollender Mann
🙎‍♀ Frau, Gesicht, schmollen, schmollende Frau
🙅 Person mit überkreuzten Armen, verboten, x
🙅‍♂ Arme, Gesicht, Mann, Mann mit überkreuzten Armen
🙅‍♀ Arme, Frau, Frau mit überkreuzten Armen, Gesicht
🙆 alles in Ordnung, o, Person mit Händen auf dem Kopf
🙆‍♂ Arme, Gesicht, Mann, Mann mit Händen auf dem Kopf
🙆‍♀ Arme, Frau, Frau mit Händen auf dem Kopf, Gesicht
💁 Gesicht, Hilfe, Informationen, Infoschalter-Mitarbeiter(in)
💁‍♂ Auskunft, Informationen, Infoschalter-Mitarbeiter, Mann
💁‍♀ Auskunft, Frau, Informationen, Infoschalter-Mitarbeiterin
🙋 Person mit erhobenem Arm, Siegerpose
🙋‍♂ Geste, Mann, Mann mit erhobenem Arm, Siegerpose
🙋‍♀ Frau, Frau mit erhobenem Arm, Geste, Siegerpose
🧏 Barrierefreiheit, gehörlos, gehörlose Person, hören, Ohr, taub
🧏‍♂ gehörlos, gehörloser Mann, Mann, taub
🧏‍♀ Frau, gehörlos, gehörlose Frau, taub
🙇 Entschuldigung, Geste, sich verbeugende Person, verbeugen
🙇‍♂ Demut, Mann, sich verbeugender Mann, verbeugen
🙇‍♀ Demut, Frau, sich verbeugende Frau, verbeugen
🤦 frustriert, genervt, Gesicht, sich an den Kopf fassende Person
🤦‍♂ frustriert, genervt, Mann, sich an den Kopf fassender Mann
🤦‍♀ Frau, frustriert, genervt, sich an den Kopf fassende Frau
🤷 egal, gleichgültig, keine Ahnung, schulterzuckende Person, Zweifel
🤷‍♂ gleichgültig, keine Ahnung, Mann, schulterzuckender Mann, Zweifel
🤷‍♀ Frau, gleichgültig, keine Ahnung, schulterzuckende Frau, Zweifel
🧑‍⚕ Arzt, Arzt/Ärztin, Gesundheitswesen, Krankenschwester, Therapeut
👨‍⚕ Arzt, Arztkittel, Doktor
👩‍⚕ Ärztin, Arztkittel
🧑‍🎓 Absolvent, Student, Student(in)
👨‍🎓 Absolvent, Doktorhut, Student, Uni
👩‍🎓 Absolventin, Doktorhut, Studentin, Uni
🧑‍🏫 Dozent, Lehrer, Lehrer(in), Professor
👨‍🏫 Dozent, Lehrer, Professor
👩‍🏫 Dozentin, Lehrerin, Professorin
🧑‍⚖ Richter(in), Waage
👨‍⚖ Gerechtigkeit, Recht, Richter
👩‍⚖ Gerechtigkeit, Recht, Richterin
🧑‍🌾 Bauer, Bauer/Bäuerin, Farmer, Gärtner, Landwirt
👨‍🌾 Ähre, Bauer, Landwirt
👩‍🌾 Ähre, Bäuerin, Landwirtin
🧑‍🍳 Koch, Koch/Köchin
👨‍🍳 Koch, Kochen
👩‍🍳 kochen, Köchin
🧑‍🔧 Mechaniker(in)
👨‍🔧 Elektriker, Handwerker, Klempner, Mechaniker
👩‍🔧 Elektrikerin, Handwerkerin, Klempnerin, Mechanikerin
🧑‍🏭 Fabrikarbeiter(in)
👨‍🏭 Fabrik, Fabrikarbeiter
👩‍🏭 Fabrik, Fabrikarbeiterin
🧑‍💼 Architekt, Büroangestellte(r), Business, Manager
👨‍💼 Angestellter, Büro, Büroangestellter, Manager
👩‍💼 Angestellte, Büro, Büroangestellte, Mangerin
🧑‍🔬 Wissenschaftler(in)
👨‍🔬 Forscher, Labor, Wissenschaftler
👩‍🔬 Forscherin, Labor, Wissenschaftlerin
🧑‍💻 Entwickler, Erfinder, IT-Experte/IT-Expertin, Programmierer, Software, Technologe
👨‍💻 Bildschirm, Computer, Entwickler, IT-Experte
👩‍💻 Bildschirm, Computer, Entwickler, IT-Expertin
🧑‍🎤 Entertainer, Rock, Sänger, Sänger(in), Schauspieler, Star
👨‍🎤 Mann, Mikrofon, Popstar, Sänger
👩‍🎤 Frau, Mikrofon, Popstar, Sängerin
🧑‍🎨 Künstler, Künstler(in), Palette
👨‍🎨 Farbpalette, Künstler, Maler, Mann
👩‍🎨 Farbpalette, Frau, Künstlerin, Malerin
🧑‍✈ Flugzeug, Pilot, Pilot(in)
👨‍✈ Flugzeug, Mann, Pilot
👩‍✈ Flugzeug, Frau, Pilotin
🧑‍🚀 Astronaut, Astronaut(in), Rakete
👨‍🚀 Astronaut, Mann, Raumfahrt, Weltraum
👩‍🚀 Astronautin, Frau, Raumfahrt, Weltraum
🧑‍🚒 Feuerwehrfahrzeug, Feuerwehrmann, Feuerwehrmann/-frau
👨‍🚒 Feuerwehrhelm, Feuerwehrmann, Mann
👩‍🚒 Feuerwehrfrau, Feuerwehrhelm, Frau
👮 Gesicht, Polizei, Polizist(in)
👮‍♂ Mann, Polizei, Polizist
👮‍♀ Frau, Polizei, Polizistin
🕵 Detektiv(in), Spion
🕵‍♂ Detektiv, Mann, Spion
🕵‍♀ Detektivin, Frau, Spionin
💂 Buckingham Palace, Wachmann/Wachfrau, Wachsoldat(in)
💂‍♂ Buckingham Palace, Wache, Wachsoldat
💂‍♀ Buckingham Palace, Wachsoldatin
🥷 Ninja
👷 Bauarbeiter, Bauarbeiter(in), Gesicht, Helm
👷‍♂ Bauarbeiter, Baustelle, Helm
👷‍♀ Bauarbeiterin, Baustelle, Helm, Mann
🤴 Prinz
👸 Gesicht, Krone, Märchen, Prinzessin
👳 Person mit Turban, Turban
👳‍♂ Gesicht, Mann, Mann mit Turban, Turban
👳‍♀ Frau, Frau mit Turban, Gesicht, Turban
👲 China, Gesicht, Hut, Mann, Mann mit chinesischem Hut
🧕 Frau mit Kopftuch, Hidschab, Kopftuch, Mantilla, Tichel
🤵 Bräutigam, Person, Person im Smoking, Smoking
🤵‍♂ Mann, Mann im Smoking, Smoking
🤵‍♀ Frau, Frau im Smoking, Smoking
👰 Braut, Hochzeit, Person, Person mit Schleier, Schleier
👰‍♂ Mann, Mann mit Schleier, Schleier
👰‍♀ Frau, Frau mit Schleier, Schleier
🤰 Frau, schwanger, schwangere Frau
🤱 Baby, Brust, Stillen
👩‍🍼 Baby, Frau, stillen, stillend, stillende Frau
👨‍🍼 Baby, Mann, stillen, stillend, stillender Mann
🧑‍🍼 Baby, Person, stillen, stillend, stillende Person
