{ лијева витичаста заграда
🦎 гуштер
🐍 змија
🐲 лице змаја
🐳 кит који прска
🐠 тропска риба
🐙 октопод
🐚 спирална шкољка
🦋 лептир
🐛 гусјеница
🐝 пчела
🕸 паукова мрежа
🦂 шкорпион
🦟 комарац
🪰 мува
💐 букет
🌸 цвијет трешње
💮 бијели цвијет
🌹 ружа
🥀 увели цвијет
🌺 хибискус
🌻 сунцокрет
🌼 цвијет
🌷 лала
🌱 младица
🪴 биљка у саксији
🌲 четинар
🌳 листопадно дрво
🌴 палма
🌾 сноп риже
🌿 биљка
☘ дјетелина
🍀 дјетелина са четири листа
🍁 јаворов лист
🍂 опали лист
🍃 лист који лепрша на вјетру
🥕 мрква
🧄 бијели лук
🍞 хљеб
🫓 пљоснат хљеб
🥪 сендвич
🧈 путер
🍘 крекер од риже
🍙 куглица од риже
🍚 кувана рижа
🍛 рижа са каријем
🍝 шпагете
🍥 рибља пљескавица са спиралом
🥮 мјесечев колач
🦞 јастог
🎂 рођенданска торта
🍰 парче торте
🍼 флашица за бебе
🥛 чаша млијека
🍾 боца из које излијеће чеп
🥂 чаше наздрављају
🧋 чај са бобицама
🧊 коцка леда
🌍 глобус са Европом и Африком
🌎 глобус са Америком
🌏 глобус са Азијом и Аустралијом
🌐 глобус са меридијанима
🗺 мапа свијета
🗾 мапа Јапана
🏔 сњежни врх планине
🌋 вулкан
🏝 пусто острво
🏛 античка грађевина
🏗 градилиште
🧱 цигла
🪨 камен
🪵 дрво
🏚 запуштена кућа
🏠 кућа
🏡 кућа са баштом
🏣 јапанска пошта
🏤 пошта
🏥 болница
🏩 љубaв
🏪 продавница мјешовите робе
🏯 јапански дворац
🏰 дворац
💒 вјенчање
🗼 токијски торањ
🗽 кип слободе
⛪ црква
⛩ шинтоистички храм
⛲ фонтана
🌁 магловито
🌃 звјездана ноћ
🏙 градски пејзаж
🌄 излазак сунца изнад планина
🌅 излазак сунца
🌆 град у сумрак
🌇 залазак сунца
🌉 мост ноћу
🎠 коњ са вртешке
🎡 панорамска вртешка
💈 знак за берберницу
🎪 циркуски шатор
🚂 локомотива
🚃 вагон
🚄 брзи воз
🚅 брзи воз са заобљеним врхом
🚆 воз
🚇 метро
🚈 градска жељезница
🚉 станица
🚊 трамвај
🚞 планинска жељезница
🚋 вагон трамваја
🚍 аутобус сприједа
🚎 тролејбус
🚐 минибус
🚒 ватрогасни камион
🚓 полицијски аутомобил
🚔 полицијски аутомобил сприједа
🚖 такси спреда
🚗 аутомобил
🚘 аутомобил сприједа
🚚 теретни камион
🚛 камион са приколицом
🏎 тркачки аутомобил
🛺 ауто-рикша
🛣 ауто-пут
🛤 жељезничка пруга
🛢 буре нафте
🚨 полицијска ротација
🚥 хоризонтални семафор
🚦 вертикални семафор
🛑 знак стоп
🛶 кану
🚤 глисер
🛳 путнички брод
🛫 полијетање авиона
🛬 слијетање авиона
💺 сједиште
🚟 висећа жељезница
🛰 сателит
🚀 ракета
⌛ пјешчани сат
⏳ пјешчани сат са пијеском који тече
🌑 млад мјесец
🌒 мјесечев срп у порасту
🌓 мјесец у првој четврти
🌔 скоро па пун мјесец
🌕 пун мјесец
🌖 мјесец послије пуног мјесеца
🌗 мјесец у посљедњој четврти
🌘 мјесечев срп у опадању
🌙 мјесечев срп
🌚 млад мјесец са лицем
🌛 мјесец у првој четврти са лицем
🌜 мјесец у посљедњој четврти са лицем
🌡 термометар
☀ сунце
🌝 пун мјесец са лицем
🌞 сунце са лицем
⭐ звијезда
🌟 звијезда која свијетли
🌠 звијезда падалица
🌌 млијечни пут
☁ облак
⛅ сунце иза облака
⛈ облак са муњом и кишом
🌤 сунце иза малог облака
🌥 сунце иза великог облака
🌦 сунце иза кишног облака
🌧 облак са кишом
🌨 облак са снијегом
🌩 облак са муњом
🌪 торнадо
🌫 магла
🌬 лице вјетра
🌀 циклон
🌈 дуга
🌂 затворени кишобран
☂ кишобран
☔ кишобран са капима кише
⛱ сунцобран на земљи
❄ пахуља
☃ сњешко бијелић
⛄ сњешко бијелић без снијега
💧 капљица
🌊 талас
🎃 свјетиљка од бундеве
🎄 божићна јелка
✨ искре
🎉 конфете у туби
🎊 конфете у лопти
🎍 декорација боровима
🎏 вјетроказ у облику шарана
🎐 еолска звона
🎑 церемонија у част мјесеца
🎁 упакован поклон
🎗 спомен-трака
🎖 орден
🏆 пехар
🏒 штап и пак за хокеј
🥍 лакрос
🥊 боксерска рукавица
🥋 борилачки кимоно
🥅 гол
⛸ клизаљка
🎽 мајица за трчање
🎿 скије
🎯 погодак у центар
🪁 змај на вјетар
🎱 билијар
🔮 кристална кугла
🪄 чаробни штапић
🧿 назар
🎲 коцкица за игру
🧩 дио слагалице
🧸 медвједић
♟ шаховски пјешак
🎴 карте за играње са цвијетом
🎭 сценска умјетност
🖼 рам са сликом
🎨 сликарска палета
🧵 конац
🪢 чвор
👓 наочари
🥽 заштитне наочари
🥼 бијели мантил, доктор, експеримент, научник
🦺 прслук за спасавање
👔 кравата
👕 мајица
👖 фармерке
🧦 чарапе
👗 хаљина
👘 кимоно
🥻 сари
🩱 једнодијелни купаћи
🩳 шорц
👙 бикини
👚 женска одјећа
👛 ташница
👜 ташна
👝 несесер
👞 мушка ципела
👟 патика
🥾 ципела за планинарење
🥿 равна ципела
👠 ципела са штиклом
👡 женска сандала
👑 круна
👒 женски шешир
🎩 цилиндар
🎓 капа за дипломце
🪖 шљем
⛑ кацига са бијелим крстом
📿 бројаница
💍 прстен
💎 драгуљ
🔇 искључен звучник
🔈 звучник
🔉 укључен звучник
🔊 појачан звучник
📯 поштанска труба
🎵 нота
🎶 ноте
🎙 студијски микрофон
🎚 клизач за подешавање
🎛 контролна дугмад
📻 радио
🥁 добош
📞 телефонска слушалица
🔌 струјни утикач
💻 лаптоп рачунар
🖥 стони рачунар
🖱 рачунарски миш
💾 дискета
💿 оптички диск
📀 dvd
🎥 филмска камера
🎞 кадрови филма
📽 филмски пројектор
🎬 режисерска клапа
📹 видео камера
🔍 лупа усмјерена налијево
🔎 лупа усмјерена надесно
🕯 свијећа
💡 сијалица
🔦 батеријска лампа
🏮 лампион од црвеног папира
📕 затворена књига
📖 отворена књига
📗 зелена књига
📘 плава књига
📙 наранџаста књига
📒 биљежница
📰 новине
🗞 умотане новине
📑 странице са биљешкама
🔖 обиљеживач страница у књизи
💴 новчаница са знаком јена
💵 новчаница са знаком долара
💶 новчаница са знаком евра
💷 новчаница са знаком фунте
💳 кредитна картица
💹 графикон пораста са знаком јена
✉ коверта
📨 коверта која стиже
📩 коверта са стрелицом
📤 преграда са одлазном поштом
📥 преграда са долазном поштом
🖋 наливперо
📂 отворена фасцикла
🗂 раздјелници за каталог картица
🗒 биљежница са спиралом
🗓 календар са спиралом
📇 каталог картица
📈 графикон са узлазним трендом
📉 графикон са опадајућим трендом
📊 тракасти графикон
📌 прибадача
📏 лењир
📐 троугаони лењир
✂ маказе
🗃 кутија са картицама
🔓 откључано
🔐 затворен катанац са кључем
🗝 стари кључ
🪓 сјекира
⚔ укрштени мачеви
🪃 бумеранг
🏹 лук и стријела
🪚 тестера
⚖ теразије
🦯 бијели штап
🪝 кука
🪜 мердевине
🔬 микроскоп
🔭 телескоп
📡 сателитска антена
💉 шприц
🩸 кап крви
💊 пилула
🩺 стетоскоп
🪟 прозор
🪑 столица
🛁 када
🪤 мишоловка
🧹 метла
🛒 колица за куповину
🚰 вода за пиће
♿ инвалидска колица
🛂 контрола пасоша
🛄 преузимање пртљага
🛅 остављени пртљаг
🚸 прелаз за дјецу
🚭 забрањено пушење
🚱 вода није за пиће
🚷 забрањено за пјешаке
📵 забрањени мобилни телефони
🔞 забрањено за малољетне
☢ радиоактивно
☣ опасно по живот
⬆ стрелица нагоре
↗ стрелица нагоре и надесно
➡ стрелица надесно
↘ стрелица надоље и надесно
⬇ стрелица надоље
↙ стрелица надоље и налијево
⬅ стрелица налијево
↖ стрелица нагоре и налијево
↕ стрелица нагоре и надоље
↔ стрелица налијево и надесно
↮ стрелица са врхом надесно и налијево и са косом цртом
↪ стрелица за полукружни окрет улијево
⤵ стрелица која скреће надоље
🔃 стрелице које се врте удесно
🔄 стрелице које се врте улијево
🛐 вјерски објекат
✡ давидова звијезда
☪ звијезда и полумјесец
🕎 менора
🔯 шестокрака звијезда са тачком
♍ дјевица у хороскопу
♐ стријелац у хороскопу
🔂 дугме за понављање једне пјесме
⏩ дугме за премотавање унапријед
⏭ дугме за сљедећу пјесму
◀ дугме за репродукцију уназад
⏮ дугме за посљедњу пјесму
🔼 дугме за кретање нагоре
⏫ дугме за брзо кретање нагоре
🔽 дугме за кретање надоље
⏬ дугме за брзо кретање надоље
⏹ дугме за заустављање
🔅 дугме за затамњивање
🔆 дугме за повећавање освијетљености
📴 искључен мобилни телефон
♀ женски знак
♂ мушки знак
➗ црни знак за дијељење
♾ бесконачност
❔ бијели упитник
❕ бијели узвичник
〰 таласаста црта
💱 конверзија валута
🔰 јапански симбол за почетника
〽 знак за раздвајање дијелова
✳ осмокрака звијезда
✴ осмокрака звјездица
🔠 унос великих слова
🔡 унос малих слова
🔢 унос бројева
🔣 унос симбола
🔤 унос латиничних слова
🅰 дугме са словом а
🆎 дугме са словима а и б
🅱 дугме са словом б
ℹ извор информација
🅾 дугме o
🅿 знак за паркинг
🈁 катакана коко у квадрату
🈂 катакана са у квадрату
🈷 идеограф „мјесец“ у квадрату
🈶 идеограф „постоји“ у квадрату
🉐 идеограф „предност“ у кругу
🈹 идеограф „раздвајање“ у квадрату
🈚 идеограф за негацију у квадрату
🈲 идеограф „забрањено“ у квадрату
🉑 идеограф „прихватити“ у кругу
🈸 идеограф „применити“ у квадрату
🈴 идеограф „заједно“ у квадрату
🈳 идеограф „празно“ квадрату
㊗ идеограф „честитати“ у кругу
㊙ идеограф „тајна“ у кругу
🈺 идеограф за операцију у квадрату
🈵 идеограф „попуњеност“ у квадрату
🔴 црвени круг
🟠 наранџаст круг
🟡 жут круг
🟢 зелен круг
🔵 плави круг
🟣 љубичаст круг
⚪ бијели круг
🟥 црвени квадрат
🟧 наранџасти квадрат
🟨 жути квадрат
🟩 зелени квадрат
🟦 плави квадрат
🟪 љубичасти квадрат
⬜ велики бијели квадрат
◻ бијели квадрат средње величине
◽ средњемали бијели квадрат
▫ мали бијели квадрат
🔺 црвени троугао окренут нагоре
🔻 црвени троугао окренут надоље
🔘 дугме за избор
🔳 бијело квадратно дугме
🏁 застава за крај трке
🎌 укрштене заставе
🏴 црна застава
🏳 бијела застава
🏳‍🌈 дугина застава
🏳‍⚧ трансродна застава
₩ вон
µ знак за микро
🏾 boja kože, srednje tamna koža, tip kože 5
🏿 boja kože, tamna koža, tip kože 6
_ crta, donja crta, linija
- crta, crtica, crtica-minus, minus
‐ crta, crtica
– crta, pravopisni znak
— duga crta, pravopisni znak
― crta, horizontalna traka, linija, traka
・ katakana, srednja tačka, srednja tačka u pismu katakana, tačke
, zarez
، arapski, zarez
、 ideografski, zarez
; tačka i zarez
؛ arapska, arapska tačka i zarez, tačka i zarez
! uzvičnik, znak uzvika
¡ obrnut, obrnut znak uzvika, uzvičnik, znak uzvika
? upitnik, znak pitanja
¿ obrnut, obrnuti znak pitanja, upitnik, znak pitanja
؟ arapski, arapski znak pitanja, upitnik, znak pitanja
. tačka, tačka na kraju rečenice
… izostavljanje, tačke, tri tačke
。 ideografska tačka, ideografski, tačka, tačka na kraju rečenice
· sredina, srednja tačka, tačka
' apostrof, apostrof na pisaćoj mašini, navodnik, polunavodnik
’ apostrof, desni apostrof, navodnik, polunavodnik
‚ apostrof, donji desni apostrof, donji polunavodnik, polunavodnik
” desni navodnik, navodnici, navodnik
„ donji desni navodnik, donji navodnik, navodnici, navodnik
» desni francuski navodnik, desno, kareti, navodnik, ševron, uglasti, zagrade
) desna zagrada, okrugla zagrada, zagrada
] desna uglasta zagrada, uglasta zagrada, zagrada
} desna vitičasta zagrada, vitičasta zagrada, zagrada
〉 desna tupougla zagrada, dijamantske zagrade, šiljasta zagrada, zagrada
》 desna dvostruka tupougla zagrada, dvostruka tupougla zagrada, zagrada
」 desna jednouglasta zagrada, jednouglasta zagrada, zagrada
』 desna šuplja jednouglasta zagrada, šuplja jednouglasta zagrada, zagrada
】 crna desna konkavna zagrada, crna konkavna zagrada, zagrada
〕 desna saćasta zagrada, saćasta zagrada, zagrada
〗 desna konkavna šuplja zagrada, konkavna šuplja zagrada, zagrada
¶ paragraf, znak za paragraf
@ znak „et”
/ kosa crta
\ obrnuta kosa crta
& ampersand, i
# broj, heš, heštag, lb, taraba
% posto, procenat
‰ na hiljadu, promil
† bodež, obelisk, znak bodeža
‡ bodež, dvostruko, obelisk, znak dvostrukog bodeža
• tačka, znak za nabrajanje
‧ crta, crtica, tačka, tačka u funkciji crtice
′ polunavodnik
″ navodnik
‴ trostruki navodnik
‸ karet
※ referentni znak
⁂ asterizam
` kratkouzlazni, naglasak, ton
´ dugouzlazni, naglasak, ton
^ cirkumfleks, kontrola, naglasak, pokazivač, znak za umetanje
¨ dijereza, preglas, trema
→ desno, strelica, strelica koja pokazuje nadesno
↛ kosa crta sa strelicom nadesno
↑ gore, strelica, strelica koja pokazuje nagore
↟ strelica nagore sa dva vrha
↠ strelica nadesno sa dva vrha
↱ strelica nagore sa vrhom nadesno
⇈ uparene strelice nagore
⇉ uparene strelice udesno
⇑ dvostruka strelica nagore
⇒ dvostruka strelica nadesno
⇗ dvostruka strelica nagore i nadesno
⇛ trostruka strelica nadesno
⇡ isprekidana crtica nagore
⇢ isprekidana crtica nadesno
∀ za sve
∃ postoji
∅ prazan skup
∆ inkrement, trougao
∇ nabla, trougao
∈ član, element, element skupa, sadrži, skup
∉ nije element
∋ sadrži kao član
∏ N-ti proizvod
+ plus, sabiranje, znak plus
± plus-minus
× množenje, pomnožiti, puta, znak množenja
< manje, manje od, oznaka, početna oznaka
= jednako, jednako je
≠ nije jednako, različito, različito od
> oznaka, veće, veće od, završna oznaka
≯ nije veće od
¬ ne, negacija
| crta, linija, potez, šeferova crta, uspravna crta, vertikalna crta, vrh
~ tilda
− minus, oduzimanje, znak minus
⁻ eksponent, minus, minus u eksponentu
∓ minus ili plus
∝ proporcionalno
∞ beskonačno
∟ prav ugao
∠ ugao
∪ skup, unija
∫ E13.1–305
∶ odnos
∷ proporcija
∽ tilda
≈ aproksimativno, približno, približno jednako
≡ identično, jednako, trostruko
≤ jednako, jednakost, manje ili jednako, manje od, nejednakost
≥ jednako, jednakost, nejednakost, veće ili jednako, veće od
≬ između
⊂ podskup, skup
⊕ plus
▲ gore, ispunjen trougao okrenut nagore, ispunjeno, strelica, trougao
◊ dijamant, romb
○ krug, prazan krug, prsten
● ispunjen krug, krug
◯ krug, prsten, veliki prazni krug
♪ muzika, nota, osmina, osmina note
♭ muzika, nota, snizilica
♯ muzika, nota, povisilica
😉 lice, lice koje namiguje, namigivanje
🥰 obožavanje, smajli sa srcima, zaljubljen
😗 lice, lice koje ljubi, poljubac
😚 lice, lice koje ljubi sa zatvorenim očima, oči, poljubac, zatvoreno
😛 jezik, lice, lice koje se plazi
😜 jezik, lice, lice koje se plazi i namiguje, namigivanje, oči, šala
😝 gadno, jezik, lice, lice koje se plazi sa zatvorenim očima, oči, ukus
🤭 lice sa rukom preko usta, ups
🤫 ćuti, tiho, ućutkujuće lice
😑 bezizražajno, bezlično, lice
😶‍🌫 lice u oblacima
😬 grimasa, lice, lice sa grimasom
😮‍💨 lice izdiše
😪 lice, pospano lice, spavanje
😴 lice, lice koje spava, spavanje, zzz
🤕 bol, lice, lice sa zavojem na glavi, povreda, zavoj
🤮 lice povraća, mučnina, povraćanje
🤧 kijanje, lice, lice koje kija, nazdravlje
🥴 krivudave usne, pogubljeno lice, pripit, različite oči
😵 lice, lice sa vrtoglavicom, vrtoglavica
😵‍💫 lice sa spiralnim očima
🧐 lice sa monoklom, začepljen
😕 lice, zbunjeno lice, zbunjenost
🙁 lice, lice koje se blago mršti, mrštenje
☹ lice, mrštenje, namršteno lice
🥺 milost, molećivo lice, moliti, pseće oči
😦 lice, otvoreno, usta, začuđeno lice, začuđenost
😥 lice, olakšanje, razočaranje, razočarano lice kome je laknulo
😢 lice, lice koje plače, plakanje, suze, tuga
😭 jecanje, lice, lice koje rida, plakanje, suze, tuga
😤 arogancija, lice, lice kome iz nosa izlazi para, nadmenost
🤬 lice sa simbolima na usnama, psovanje
💩 čudovište, gomila kake, izmet, kaka, karikatura, lice
😹 lice, lice mačke sa suzama radosnicama, mačka, suze, veselje
🙀 briga, iznenađenje, lice, mačka, uplašena mačka
💟 srce, ukras sa srcem
❤‍🔥 zapaljeno srce
❤ crveno srce, srce
🤎 braon, srce
💯 100, potpuno, rezultat, sto, sto poena
🕳 рупа
🤚 dlan, podignut dlan, podignuto, šaka, stani
🤌 sarkastično, skupljeni prsti, upitno, znak rukom
🤏 malo, prstohvat, ruka štipa
🤞 katanac, obećanje, prekršteni prsti, prsti, sreća, želja
🤟 pokret volim te, ruka, volim te
🤜 pesnica, udesno
🙌 bravo, podići, podignute ruke, pokret, ruke, slava, ura
🤲 dlanovi nagore zajedno, molitva
🦾 mehanička ruka, pristupačnost, proteza
🦵 noga, šut
🦶 stopalo, zgaziti
🦻 pristupačnost, tvrd na uši, uvo sa slušnim aparatom
🧠 inteligentno, mozak
🫁 dah, disanje, izdisaj, organ, pluća, udisaj
🦷 zub, zubar
🦴 kost, kostur
👀 lice, oči, oko
👄 usne, usta
🧑 neutralan pol, odrasla osoba
👱 osoba sa plavom kosom, plava kosa
👨 muškarac
🧔 brada, osoba sa bradom
👱‍♂ muškarac, plav muškarac, plava kosa
👩 žena
🧔‍♀ žena: brada
👱‍♀ plava kosa, plavuša, žena
🧓 neutralan pol, starija odrasla osoba, starost
🙍 kretanje, mrštenje, namrštena osoba
🙍‍♂ mrštenje, muškarac, namršten muškarac
🙍‍♀ mrštenje, namrštena žena, žena
🙎 durenje, kretanje, nadurena osoba
🙎‍♂ durenje, muškarac, naduren muškarac
🙎‍♀ durenje, nadurena žena, žena
🙅 ne, nema, osoba koja pokazuje „ne“, pokret, ruka, zabranjeno
🙅‍♂ gestikulacija, muškarac, muškarac pokazuje „ne“, ne, ruke
🙅‍♀ gestikulacija, ne, ruke, žena, žena pokazuje „ne“
🙆 dobro, ok, osoba koja pokazuje „u redu“, pokret, ruka, u redu
🙆‍♂ gestikulacija, muškarac, muškarac pokazuje „ok“, ok, ruke
🙆‍♀ gestikulacija, ok, ruke, žena, žena pokazuje „ok“
💁 informacije, osoba koja daje informacije, pomoć, ruka
🙋 kretanje, podići, ruka, sreća, srećna osoba sa podignutom rukom
🙋‍♂ gestikulacija, informacije, muškarac, muškarac podiže ruku, ruke
🙋‍♀ gestikulacija, informacije, ruke, žena, žena podiže ruku
🧏‍♀ gluva, žena
🙇 izvinjenje, klanjanje, kretanje, naklon, osoba koja se klanja
🙇‍♂ gestikulacija, izvinjenje, muškarac, muški duboki naklon, naklon
🙇‍♀ gestikulacija, izvinjenje, naklon, žena, ženski duboki naklon
🤦 čelo, glupost, kajanje, šaka o čelo
🤦‍♂ gestikulacija, glupost, kajanje, muškarac, muškarac s rukom na čelu
🤦‍♀ gestikulacija, glupost, kajanje, žena, žena s rukom na čelu
👨‍🎓 diploma, matura, muškarac, student
👩‍🎓 diploma, matura, student, studentkinja, žena
🧑‍🏫 instruktor, profesor, učitelj
👩‍🏫 profesor, profesorka, učitelj, žena
🧑‍⚖ pravda, sudija, sudija/nica
👨‍⚖ muškarac, pravda, sudija
👩‍⚖ pravda, sudija, žena
🧑‍🌾 baštovan, poljoprivrednik
👨‍🌾 bašta, farma, muškarac, poljoprivrednik, selo
👩‍🌾 bašta, farma, poljoprivrednica, selo, žena
🧑‍🍳 kuvar, šef
👩‍🍳 kuhinja, kuvar, kuvarica, šef, žena
🧑‍🔧 električar, majstor, mehaničar, vodoinstalater
👩‍🔧 alat, majstor, mehaničarka, žena
