{ oop-krulhakie
🏻 kleur, ligte velkleur, vel, velkleur, veltipe 1–2
🏼 kleur, medium-ligte velkleur, vel, velkleur, veltipe 3
🏽 kleur, medium velkleur, vel, velkleur, veltipe 4
🏾 kleur, medium-donker velkleur, vel, velkleur, veltipe 5
🏿 donker velkleur, kleur, vel, velkleur, veltipe 6
‾ oorheendruk, oorstreep, vinkulum
_ lyntjie, onder-streep, onderste streep
- koppelteken, koppelteken-minus, minus
‐ koppelteken, leesteken
– en, en-streep, streep
— em, em-streep, streep
― em-streep, horisontale balk, lyn
> groter as, merker, sluit merker
≯ nie groter-as nie, ongelykheid, wiskunde, wiskundige
¬ negering, nie
| lyntjie, pyp, stok, strepie, strook, vertikale streep
~ tilde
− aftrek, minus, minusteken
⁻ boskrif, boskrifminus, minus
∓ minus-of-plus, plusminus
∕ deelteken-skuinsstreep, skuinsstreep, virgule, vooroorskuinsstreep
⁄ breukskuinsstreep, skuinsstreep, virgule, vooroorskuinsstreep
∗ asterisk, asteriskoperator, sterretjie
∘ komposisie, operator, ringoperator, samestelling Add
∙ koeëlpuntoperator, operator
√ radikaal, vierkant, vierkantswortel, wortel, wortelgetal, wortelvorm
∝ proporsionaliteit, proporsioneel
∞ oneindigheid, oneindigheidsteken
∟ haaks, loodreg, regte hoek, wiskunde, wiskundig
∠ hoekpunt, skerphoek
∣ deler, verdeel
∥ parallel
∧ atque, logika en, wig
∩ interseksie, stel
∪ stel, unie, versameling
∫ differensiaal- en integraalberekening, integraal
∬ differensiaal- en integraalberekening, dubbele integraal
∮ integraal, kontoer, kontoerintegraal
∴ dus, logika
∵ logika, omdat
∶ ratio, verhouding
∷ proporsie, proporsionaliteit
∼ operator, tilde-operator
∽ omgekeerde tilde, tilde
∾ -s, lui, omgekeerde
≃ asimptoties, asimptotiese gelykheid, wiskunde, wiskundige
≅ gelykvormigheid, isomorfie, kongruensie, ongeveer gelyk, wiskunde, wiskundige
≈ amper gelyk, ongeveer
≌ alles gelyk, gelykvormigheid, wiskunde, wiskundige
≒ beeld, beeld is ongeveer gelykvormig, gelykvormig, ongeveer
≖ gelykvormige ring, gelykvormigheid, wiskunde, wiskundige
≡ driemaal, identies, identies aan, presies
≣ gelykvormigheid, streng ekwivalent, wiskunde, wiskundige
≤ gelyk aan, kleiner as, kleiner as of gelyk aan
≥ gelyk aan, groter as, groter as of gelyk aan
≦ kleiner-as bo-op gelyk aan, ongelykvormigheid, wiskunde, wiskundige
≧ groter-as bo-op gelyk aan, ongelykvormigheid, wiskunde, wiskundige
≪ baie kleiner as, ongelykvormigheid, wiskunde, wiskundige
≫ baie groter as, ongelykvormigheid, wiskunde, wiskundige
≬ tussen, tussen-in
≳ groter-as-ekwivalent, ongelykvormigheid, wiskunde, wiskundige
≺ steloperator, voorafgaan, wiskunde, wiskundige
≻ steloperator, volg op, wiskunde, wiskundige
⊁ steloperator, volg nie daarop nie, wiskunde, wiskundige
⊂ stel, substel, substel van
⊃ steloperator, superstel, wiskunde, wiskundige
⊆ gelyk, gelyk aan, gelyk aan substel, substel
⊇ gelyk aan superstel, gelykvormigheid, wiskunde, wiskundige
⊕ omsirkelde, plus, plusteken
⊖ erosie, omsirkelde minus, simmetriese verskil
⊗ omsirkelde maalteken, produk van, tensor
⊘ deelagtig, omsirkelde deelskuinsstreep, wiskunde
⊙ omsirkelde kolletjieoperator, operator, XNOR
⊚ omsirkelde, operator, ring, ringoperator
⊛ asterisk, omsirkelde asteriskoperator, operator, sterretjie
⊞ byvoeging, plusteken in vierkant, wiskunde
⊟ aftrekking, minusteken in vierkant, wiskunde
⊥ absurdum, eet, falsum, valse logika
⊮ nie dwing nie, ongedwonge, ongeforseer
⊰ steloperator, voorafgegaan onder verhouding, wiskunde, wiskundige
⊱ daaropvolgend onder verhouding, steloperator, wiskunde, wiskundige
⋭ bevat nie soos normale subgroepgelykvormigheid nie, groepsteorie, wiskunde, wiskundige
⊶ oorspronklike
⊹ hermitiese gekonjugeerde matriks, self-toegevoegde matriks, wiskunde, wiskundige
⊿ driehoek, reghoekige, wiskunde
⋁ disjunktiewe, logika, n-êre logika
⋂ aansluiting, interseksie, n-êre-aansluiting, steloperator, wiskunde
⋃ eenheid, n-êre vereniging, steloperator, wiskunde
⋅ kolletjie-operator, operator
⋆ operator, sterretjie-operator
⋈ binêre operator, natuurlike vereniging, strikdas
⋒ dubbele aansluiting, interseksie, steloperator, wiskunde
⋘ ongelykheid, veel meer kleiner as, wiskunde
⋙ ongelykheid, veel meer groter as, wiskunde
⋮ ellips, vertikale ellips, wiskunde
⋯ ellips, middellyn horisontale ellips
⋰ diagonale, diagonale ellips na regs bo, ellips, regs bo, wiskunde
⋱ diagonale, diagonale ellips na regs onder, ellips, regs onder, wiskunde
■ gevulde, vierkant
□ hol, leë, vierkant
▢ hoeke, hol, hol vierkant met ronde hoeke, ronde, vierkant
▣ binne, gevulde vierkant, gevulde vierkant binne hol vierkant, hol, vierkant
▤ horisontale, strepies, vierkant, vierkant met horisontale strepies
▥ strepies, vertikale, vierkant, vierkant met vertikale strepies
▦ arsering, ortogonale, vierkant, vierkant met ortogonale arsering
▧ linksbo, regsonder, vierkant, vierkant met linksbo-regsonder-vulsel, vulsel
▨ linksonder, regsbo, vierkant, vierkant met regsbo-linksonder-vulsel, vulsel
▩ arsering, diagonale, vierkant, vierkant met diagonale arsering
▬ gevulde, reghoek
▭ hol, reghoek
▮ gevulde, reghoek, vertikale
▰ gevulde, parallelogram
▲ driehoek, gevul, gevulde opwysende driehoek, op, pyltjie
△ driehoek, hol, hol driehoek wat na bo wys, opwysend, wys na bo
▴ gevulde, gevulde klein driehoek wat na bo wys, klein driehoek, wat na bo wys
▵ driehoek, hol, hol klein driehoek wat na bo wys, klein, wat na bo wys
▷ driehoek, hol, hol driehoek wat regs wys, wat regs wys, wys regs
▸ gevulde, gevulde klein driehoek wat regs wys, klein driehoek, wat regs wys, wys regs
▹ hol, hol klein driehoek wat regs wys, klein driehoek, wat regs wys, wys regs
► aanwyser, gevulde, gevulde aanwyser wat regs wys, wat regs wys
▻ aanwyser, hol, hol aanwyser wat regs weys, wat regs wys, wys regs
▼ af, driehoek, gevul, gevulde afwysende driehoek, pyltjie
▽ driehoek, hol, hol driehoek wat af wys, wat af wys, wys af
▾ gevulde, gevulde klein driehoek wat af wys, klein driehoek, wat af wys
▿ hol, hol klein driehoek wat af wys, klein driehoek, wat af wys
◁ driehoek, hol, hol driehoek wat links wys, wat links wys
◂ gevulde, gevulde klein driehoek wat links wys, klein driehoek, wat links wys, wys links
◃ hol, hol klein driehoek wat links wys, klein driehoek, wat links wys, wys links
◄ aanwyser, gevulde, gevulde aanwyser wat links wys, wat links wys
◅ aanwyser, hol, hol aanwyser wat links wys, wat links wys
◆ diamant, gevulde
◇ diamant, hol
◈ binne, gevulde diamant, gevulde diamant binne hol diamant, hol diamant
◉ gevulde konsentriese sirkels, gevulde sirkel binne hol sirkel, omsirkelde kolletjie, visoog
◊ diamant, rombus, ruit
○ leë sirkel, ring, sirkel
◌ gestippelde, sirkel, stippels
◍ sirkel, sirkel met vertikale vulsel, vertikale, vulsel
◎ dubbelsirkel, konsentriese sirkels, teiken, volskoot
● gevulde sirkel, sirkel
◐ gevul, linkerhelfte, sirkel, sirkel met linkerhelfte gevul
◑ gevul, regterhelfte, sirkel, sirkel met regterhelfte gevul
◒ gevul, onderste helfte, sirkel, sirkel met onderste helfte gevul
◓ boonste helfte, gevul, sirkel, sirkel met boonste helfte gevul
◔ boonste regterkwadrant, gevul, sirkel, sirkel met boonste regterkwadrant gevul
◕ alles behalwe, boonste linkerkwadrant, gevul, sirkel, sirkel met alles behalwe boonste linkerkwadrant gevul
◖ linkergevulde, sirkelhelfte
◗ regtergevulde, sirkelhelfte
◘ inverse, koeëlpunt
◙ hol sirkel, hol sirkel binne gevulde vierkant, inverse
◜ boog, links bo, links bo sirkelkwadrantboog, sirkelkwadrant
◝ regs bo, regs bo sirkelkwadrantboog, sirkelkwadrant
◞ boog, regs onder, regs onder sirkelkwadrantboog, sirkelkwadrant
◟ boog, links onder, links onder sirkelkwadrantboog, sirkelkwadrant
◠ boonste, boonste helfte van sirkel, helfte, sirkel
◡ helfte, onderste, onderste helfte van sirkel, sirkel
◢ driehoek, gevulde, gevulde regsonder-driehoek, regsonder
◣ driehoek, gevul, gevulde linksonder-driehoek, linksonder
◤ driehoek, gevulde, gevulde linksbo-driehoek, linksbo
◥ driehoek, gevulde, gevulde regsbo-driehoek, regsbo
◦ hol, koeëlpunt
◯ groot leë sirkel, ring, sirkel
◳ boonste regterkwadrant, boonste regterkwadrant van hol vierkant, hol vierkant
◷ boonste regterkwadrant, hol sirkel, hol sirkel met boonste regterkwadrant
◿ driehoek, regsonder, regsonder-driehoek
♪ agste, agstenoot, musiek, noot
⨧ onderskrif, plus, plusteken, plusteken met onderskrif twee, twee
⨯ kruis, produk, vektor, vektor kruisproduk
⨼ interior, interiorproduk, produk
⩣ dubbele, logiese, logiese of dubbele onderbalk, onderbalk
⩽ gelyk aan, kleiner as, kleiner-as skuins gelyk aan, skuins
⪍ bo-op, kleiner-as, kleiner-as bo-op soortgelyke gelyk aan, soortgelyke gelyk aan
⪚ dubbellyn gelyk aan groter as, ongelykvormigheid, wiskunde
⪺ bo-op, nie amper gelyk nie, volg daarop, volg daarop bo-op nie amper gelyk nie
♭ mol, musiek, noot
♯ kruis, musiek, noot
😀 gesig, grinnik, grinnikende gesig
😃 gesig, glimlag, glimlaggende gesig met oop mond, mond, oop
😄 gesig, gesig en oë glimlag, glimlag, glimlaggende gesig met oop mond en glimlaggende oë, mond, oog, oop
😁 gesig, glimlag, grinnik, grinnikende gesig met glimlaggende oë, oog
😆 gesig, glimlag, glimlaggende gesig met oop mond en oë styf toe, lag, lag gesig met toe oë, mond, oop, tevrede
😅 gesig, glimlag, glimlaggende gesig met oop mond en koue sweet, koud, lag gesig met sweet, oop, sweet
🤣 gesig, gesig wat hard lag, histeries, lag, rol
😂 gesig, gesig met trane van vreugde, lag, traan, vreugde
🙂 gesig, gesig wat effens glimlag, glimlag
🙃 gesig, onderstebo
😉 gesig, gesig wat knipoog, knipoog
😊 bloos, gesig, glimlag, glimlaggende gesig met glimlaggende oë, oog
😇 engel, gesig, glimlag, glimlaggende gesig met stralekrans, onskuldig, stralekrans
🥰 bewonder, geliefd, glimlaggende gesig met 3 hartjies, verlief
😍 gesig, glimlag, glimlaggende gesig met hartvormige oë, hart, liefde, oog
🤩 gesig, glimlag, oë, ster, sterre in die oë
😘 gesig, gesig wat ‘n soentjie blaas, hart, soen
😗 gesig, gesig wat soen, soen
☺ gesig, glimlag, glimlaggende gesig, ontspanne
😚 gesig, gesig wat soen met toe oë, oog, soen, toe
😙 gesig, gesig wat soen met glimlaggende oë, glimlag, oog, soen
🥲 aangeraak, dankbaar, glimlaggend, glimlaggende gesig met traan, traan, trots, verlig
😋 geniet, gesig, gesig wat heerlike kos geniet, glimlag, heerlik, lekker
😛 gesig, gesig met tong wat uitsteek, tong
😜 gesig, gesig met tong wat uitsteek en wat knipoog, grap, knipoog, oog, tong
🤪 groot, klein, mal gesig, oog
😝 aaklig, gesig, gesig met tong wat uitsteek en oë styf toe, oog, smaak, tong
🤑 geld, gesig, gesig met geldmond, mond
🤗 drukkie, gesig, gesig wat drukkie gee
🤭 gesig met hand oor die mond, oeps
🤫 Sjuut, stilbly, stilmaak gesig
🤔 dink, gesig, gesig wat dink
🤐 gesig, gesig met ritssluitermond, mond, ritssluiter
🤨 gesig met geligte wenkbroue, skepties, wantrou
😐 gesig, neutraal, neutrale gesig, uitdrukkingloos
😑 gesig, uitdrukkingloos, uitdrukkinglose gesig
😶 gesig, gesig sonder mond, mond, stil
😶‍🌫 deur die mis, gesig in wolke, kop in die wolke, lugkastele, verstrooid
😏 gesig, gesig wat grynslag, grynslag
😒 gesig, ongelukkig, ontevrede
🙄 gesig, gesig met oë wat rol, oë, rol
😬 gesig, grynsend, grynsende gesig
😮‍💨 asem uit, fluister, fluit, gesig asem uit, kreun, snak, verlig
🤥 gesig, gesig wat jok, jok, leuen, lieg, onwaar
😌 gesig, verlig, verligte gesig
😔 gesig, neerslagtig, peinsend, peinsende gesig
😪 gesig, slaap, vaak gesig
🤤 gesig, gesig wat kwyl, honger, kwyl
😴 gesig, gesig wat slaap, slaap, zzz
😷 dokter, gesig, gesig met mediese masker, koud, masker, medisyne, siek
🤒 gesig, gesig met koorspen, koorspen, siek
🤕 besering, gesig, gesig met kopverband, seer, verband
🤢 gesig, kots, naar, opgooi
🤮 gesig wat opgooi, opgooi, siek
🤧 atsjoe, gesig, gesig wat nies, nies
🥵 hitte-uitputting, koorsig, rooi gesig, sweet, warm, warm gesig
🥶 bibber, blou gesig, koud, koue gesig, vries
🥴 dronk, dronk gesig, duiselig, gesuip, lighoofdig, onewe oë
😵 dronk, duiselig, gesig
😵‍💫 duiselig, gehipnotiseer, gesig met spiraaloë, moeilikheid, spiraal
🤯 geskok, kop wat ontplof
🤠 cowboy, gesig, gesig met cowboy-hoed, hoed
🥳 blaas, hoedjie, partytjie, partytjie gesig, vier
🥸 bril, gesig, incognito, neus, vermom, vermomde gesig
😎 bril, gesig, glimlag, glimlaggende gesig met sonbril, helder, koel, oog, son, sonbril, weer
🤓 bleeksiel, bleeksielgesig, gesig
🧐 bedompig, gesig met oogglas
😕 gesig, verward, verwarde gesig
😟 bekommerd, bekommerde gesig, gesig
🙁 frons, gesig, gesig wat effens frons
☹ frons, gesig, gesig wat frons
😮 gesig, gesig met oop mond, mond, oop, simpatie
😯 gedemp, gedempte gesig, gesig, stil, verbaas
😲 gesig, geskok, verbaas, verstom, verstomde gesig
😳 blosend, blosende gesig, gesig, verbysterd
🥺 asseblief, ontferming, smeek, soebat, soebat gesig
😦 frons, fronsende gesig met oop mond, gesig, mond, oop
😧 beangs, beangste gesig, gesig
😨 bang, bevrees, gesig, vrees
😰 blou, gesig, gesig met oop mond en koue sweet, koud, mond, oop, sweet
😥 gesig, sjoe, teleurgesteld, teleurgestelde maar verligte gesig, verlig
😢 gesig, gesig wat huil, hartseer, huil, traan
😭 gesig, gesig wat hard huil, hartseer, huil, snik, traan
😱 bang, beangs, bevrees, gesig, gesig wat beangs skree, skree
😖 gesig, oorbluf, oorblufte gesig
😣 deurdruk, gesig, gesig wat vasbyt, vasbyt
😞 gesig, teleurgesteld, teleurgestelde gesig
😓 gesig, gesig met koue sweet, koud, sweet
😩 gesig, moeg, uitgeput, uitgeputte gesig
😫 gesig, moeë gesig, moeg
🥱 gaap, gapende gesig, moeg, verveeld
😤 gesig, gesig met stoom uit neus, triomf, wen
😡 gesig, kwaad, pruilend, pruilende gesig, rooi, woedend
😠 gesig, kwaad, kwaai gesig, woedend
🤬 gesig met simbole op mond, vloek
😈 fantasie, gesig, glimlag, glimlaggende gesig met horings, horings
👿 boos, demoon, duiwel, gesig
💀 dood, gesig, kopbeen, liggaam, monster, sprokie
☠ bene, dood, gesig, kopbeen, kopbeen en gekruiste beendere, liggaam, monster
💩 gesig, mis, mishoop, monster, poef, strokie
🤡 gesig, hanswors, hansworsgesig, nar
👹 fantasie, gesig, japannees, kreatuur, mensvreter, monster, sprokie
👺 fantasie, gesig, japannees, kreatuur, monster, sprokie, tokkelos
👻 fantasie, gesig, kreatuur, monster, spook, sprokie
👽 buiteruimtelik, buiteruimtelike wese, fantasie, gesig, kreatuur, monster, ruimte, sprokie, vvv
👾 buiteruimtelik, buiteruimtelike monster, fantasie, gesig, kreatuur, monster, ruimte, sprokie, vvv
🤖 gesig, monster, robot, robotgesig
😺 gesig, glimlag, glimlaggende katgesig met oopmond, kat, mond, oop
😸 gesig, glimlag, grinnik, grinnikende katgesig met glimlaggende oë, kat, oog
😹 gesig, kat, katgesig met trane van vreugde, traan, vreugde
😻 gesig, glimlag, glimlaggende katgesig met hartvormige oë, hart, kat, liefde, oog
😼 gesig, glimlag, ironies, kat, katgesig met wrang glimlag, wrang
😽 gesig, kat, katgesig met geslote oë wat soen, oog, soen
🙀 gesig, kat, verbaas, vermoeid, vermoeide katgesig
😿 gesig, hartseer, huil, kat, katgesig wat huil, traan
😾 gesig, kat, pruil, pruilende katgesig
🙈 aap, boos, gebaar, geen, kwaad, sien, sien geen kwaad nie, verbode
🙉 aap, boos, gebaar, geen, hoor, hoor geen kwaad nie, kwaad, verbode
🙊 aap, boos, gebaar, geen, kwaad, praat, praat geen kwaad nie, verbode
💋 hart, lippe, merk, romanse, soen, soenmerk
💌 brief, hart, liefde, liefdesbrief, pos, romanse
💘 cupido, hart, hartjie met pyl, kupido, pyl, romanse
💝 hart, hartjie met lint, lint, valentyn
💖 hart, opgewonde, skitter, sprankelende hartjie
💗 groei, groeiende hartjie, hart, hartklop, opgewonde, senuweeagtig
💓 hart, hartklop, klop, kloppende hartjie, pols
💞 draai, hart, wentel, wentelende hartjies
💕 hart, liefde, twee hartjies
💟 hart, hartversiering
❣ dik hartuitroepteken, hart, leesteken, teken, uitroep
💔 breek, gebroke, gebroke hartjie, hart
❤‍🔥 brand, hart, hart wat brand, liefde, lus
❤‍🩹 beter, gesonder, helend, helende hart, herstel
❤ hart, rooi, rooi hartjie
🧡 oranje, oranje hartjie
💛 geel, geel hartjie, hart
💚 groen, groen hartjie, hart
💙 blou, blou hartjie, hart
💜 hart, pers, pers hartjie
🤎 bruin, hartjie
🖤 boos, hart, sleg, swart, swart hartjie
🤍 hartjie, wit
💯 100, honderd, honderd punte, persent, telling, vol
💢 kwaad, strokie, woede, woedesimbool
💥 boem, botsing, ontplof, strokie
💫 duiselig, ster, strokie
💦 spat, strokie, sweet, sweetdruppels
💨 blits, blitsig, hardloop, strokie
🕳 gat
💣 bom, strokie
💬 ballon, borrel, dialoog, spraak, spraakballon, strokie
👁‍🗨 afloer, getuie, oog in spraakborrel, spraakborrel
🗨 dialoog, spraak, spraakborrel links
