{ ကွင်း, တွန့်ကွင်း, တွန့်ကွင်း အဖွင့်, တွန့်ကွင်းကောက်, ဘရေ့စ်
🏻 အမျိုးအစား ၁–၂, အသားဖြူရောင်, အသားအရေ
“ ကိုးကားချက်ပြ သင်္ကေတ, စမတ် ကိုးကားချက်ပြ သင်္ကေတ, ဘယ်ဘက် မျက်တောင်ဖွင့်ပြ သင်္ကေတ, မျက်တောင်နှစ်ထပ် သင်္ကေတ, မျက်တောင်ဖွင့်ပြ သင်္ကေတ
” ကိုးကားချက်ပြ သင်္ကေတ, စမတ် ကိုးကားချက်ပြ သင်္ကေတ, ညာဘက် မျက်တောင်ပိတ်ပြ သင်္ကေတ, မျက်တောင်နှစ်ထပ် သင်္ကေတ
„ ကိုးကားချက်ပြ သင်္ကေတ, ကိုးကားချက်ပြ အမှတ်အသား, စမတ် ကိုးကားချက်ပြ သင်္ကေတ, ညာဘက်အောက်ရှိ ကိုးကားချက်ပြ သင်္ကေတ, မျက်တောင်နှစ်ထပ် သင်္ကေတ, အောက်ဘက်ရှိ ကိုးကားချက် သင်္ကေတ
« ကွင်း, ကဲရက်, ထောင့်, ဗွီ သင်္ကေတ, ဘယ်, ဘယ်ညွှန် နှစ်ထပ် ထောင့်ချွန်ကွင်း, မျက်တောင် သင်္ကေတ
» ကွင်း, ကဲရက်, ညာ, ညာညွှန် နှစ်ထပ်ထောင့်ချွန်ကွင်း, ထောင့်, ဗွီ သင်္ကေတ, မျက်တောင် သင်္ကေတ
) ကွင်းပိတ်, ဘရက်ကက်
[ ကွင်း, ခရိုချက်, ထောင့်ကွင်း, ထောင့်ကွင်းအဖွင့်
] ကွင်း, ခရိုချက်, ထောင့်ကွင်း, ထောင့်ကွင်း အပိတ်
} ကွင်း, တွန့်ကွင်း, တွန့်ကွင်းကောက်, တွန့်ကွင်းပိတ်, ဘရေ့စ်
〈 ကွင်း, ထောင့်ကွင်း, ထောင့်ကွင်းအဖွင့် သင်္ကေတ, ဒိုင်းမွန်းကွင်း, အချွန်ကွင်း, အရစ်
〉 ထောင့်ကွင်း, ထောင့်ကွင်းအပိတ် သင်္ကေတ, ဒိုင်းမွန်းကွင်း, အချွန်ကွင်း, အရစ်
《 ကွင်း, နှစ်ထပ် ထောင့်ကွင်း, နှစ်ထပ် ထောင့်ကွင်းအဖွင့်
》 ကွင်း, နှစ်ထပ် ထောင့်ကွင်း အပိတ်, နှစ်ထပ်ထောင့်ကွင်း
「 ကွင်း, ဂျပန်စာသုံး ကိုးကားချက်ပြ ထောင့်ကွင်း, ဂျပန်စာသုံး ကိုးကားချက်ပြ ထောင့်ကွင်းအဖွင့်
」 ကွင်း, ဂျပန်စာသုံး ကိုးကားချက်ပြ ထောင့်ကွင်းအပိတ်, ဂျပန်စာသုံး ထောင့်ကွင်း
『 ကွင်း, ခေါင်းပွ ထောင့်ကွင်း, ခေါင်းပွ ထောင့်ကွင်းအဖွင့်
』 ကွင်း, ခေါင်းပွ ထောင့်ကွင်း, ခေါင်းပွ ထောင့်ကွင်းအပိတ်
【 ကွင်း, ဂျပန်စာသုံး မှန်ဘီလူးခုံးကွင်း, မှန်ဘီလူးခုံးကွင်း, အနက်ရောင် မှန်ဘီလူးခုံးကွင်းအဖွင့်
】 ကွင်း, ဂျပန်စာသုံး မှန်ဘီလူးခုံးကွင်း, ဂျပန်စာသုံး မှန်ဘီလူးခုံးကွင်းအပိတ်, မှန်ဘီလူးခုံးကွင်း
〔 ကွင်း, ဂျပန်စာသုံး ကွင်း, ဂျပန်စာသုံး တွန့်ကွင်း, ဂျပန်စာသုံး တွန့်ကွင်းအဖွင့်
〕 ကွင်း, ဂျပန်စာသုံး ကွင်း, ဂျပန်စာသုံး တွန့်ကွင်း, ဂျပန်စာသုံး တွန့်ကွင်းအပိတ်
〖 ကွင်း, ဂျပန်စာသုံး မှန်ဘီလူးခုံးကွင်း, မှန်ဘီလူးခုံးကွင်း, မှန်ဘီလူးခုံးကွင်း အဖွင့်
〗 ကွင်း, ဂျပန်စာသုံး မှန်ဘီလူးခုံးကွင်း, မှန်ဘီလူးခုံးကွင်း, မှန်ဘီလူးခုံးကွင်းအပိတ်
§ စာပိုဒ်, အပိုင်း, အပိုဒ်ခွဲ, အပိုဒ်ခွဲ သင်္ကေတ
¶ စာပုဒ်, စာပုဒ်ခွဲ, စာပုဒ်ခွဲ အမှတ်, ပါရာ
@ ကော်မာရှယ် အက်တ်, အက်တ် သင်္ကေတ, အက်တ် အမှတ်အသား
* ကြယ်ပွင့်, ခရေပွင့်
/ ဆလက်ရှ်, မျဉ်းစောင်း, မျဉ်းစောင်း သင်္ကေတ
\ နောက်ပြန် မျဉ်းစောင်း, ဘက်ခ်ဆလက်ရှ်
& နှင့်, အမ်ပါဆင်
# နံပါတ်, ပေါင်, ဟက်ရှ်, ဟက်ရှ် သင်္ကေတ, ဟက်ရှ်တဂ်
% ပါဆင့်, ရာခိုင်နှုန်း
‰ တစ်မိုင်ရှိနှန်း, တစ်မိုင်လျှင်
† ထိပ်ချွန်း ဒက်ဂါ သင်္ကေတ, ဒက်ဂါ
‡ ထိပ်ချွန်းဒက်ဂါ သင်္ကေတ, ဒက်ဂါ, နှစ်ထပ်, နှစ်ထပ် ထိပ်ချွန်းဒက်ဂါ သင်္ကေတ
• ဘူးလက်, အစက်
‧ တုံးတို, ဒက်ရှ်, အမှတ်
′ ပရိုင်းမ်, ပရိုင်းမ် သင်္ကေတ
″ နှစ်ဆ ပရိုင်းမ်, ပရိုင်းမ်
‴ ပရိုင်းမ်, သုံးထပ် ပရိုင်းမ်
※ အညွှန်းပြ အမှတ်
` သံပြင်း, သံပြင်း သင်္ကေတ, အသံထွက်, အသံနေ အသံထား
´ အသံထွက်, အသံနေ အသံထား, အသံပြ, အသံပြ သင်္ကေတ
^ ကဲရက်, ပွိုင့်တာ, သရသံ, သရသံ သင်္ကေတ, ဟက်တ်, အသံနေ အသံထား
¨ ထရေမာ, သရသံပြောင်းပြ သင်္ကေတ, အမ်လက်
° ဒီဂရီ, နာရီ, သက်သေပြချက်
℗ မူပိုင်ခွင့်, အသံ, အသံဖမ်း, အသံဖမ်းယူမှု မူပိုင်ခွင့်
← ဘယ်ဘက်, ဘယ်သို့ပြ မြား, မြား
→ ညာဘက်, ညာသို့ပြ မြား, မြား
↑ မြား, အပေါ်ဘက်, အပေါ်သို့ညွှန် မြား
↓ မြား, အောက်ဘက်, အောက်ဘက်ညွှန် မြား, အောက်သို့ညွှန် မြား
⇅ မြား, အပေါ်ဘက်, အပေါ်အောက် ညွှန်မြား, အောက်ဘက်
⇆ ညာဘက်, ဘယ်ညာ ညွှန်မြား, ဘယ်ညာညွှန် မြား, ဘယ်ဘက်, မြား
∆ ဆတိုးပြ သင်္ကေတ, တြိဂံ
∇ တြိဂံ, နက်ဗျူလာ
∈ ဆက်, ဆက်တစ်ခု၏ အပိုင်း, ပါဝင်မှု, အဖွဲ့ဝင်
+ ပေါင်းခြင်း, အပေါင်း, အပေါင်းလက္ခဏာ
± အပေါင်း-အနုတ်, အပေါင်း-အနုတ် သင်္ကေတ
÷ ခွဲခြင်း, အစား, အစားလက္ခဏာ, အစားလက်ခဏာ
× မြှောက်, မြှောက်ခြင်း, အမြှောက်, အမြှောက် လက္ခဏာ
< တဂ်, တဂ်အဖွင့်, ပိုငယ်သော
= ညီမျှခြင်း, အညီ
≠ မညီခြင်း, မညီမျှခြင်း, မမျှတခြင်း
> တဂ်, တဂ်အပိတ်, ပိုကြီးသော
¬ ဆန့်ကျင်ခြင်း, မဟုတ်သော
| ထောင်လိုက် ဘား, ထောင်လိုက်မျဉ်းတို, ပိုက်သင်္ကေတ, ဘား, မျဉ်းမတ်
~ တေလ်ဒါ, နှာသံပြအမှတ်အသား
− နုတ်ခြင်း, အနုတ်, အနုတ်လက္ခဏာ
⁻ အနုတ်, အနုတ်လက္ခဏာ သင်္ကေတ
√ ကိန်းရင်း, နှစ်ထပ်, နှစ်ထပ်ကိန်းရင်း
∞ အင်ဖနတီ, အနန္တကိန်း သင်္ကေတ
∩ ဆက်, ဖြတ်မှတ်
∪ စုဆောင်းမှု, စုပေါင်းမှု, ဆက်
≈ ခန့်မှန်း, ခန့်မှန်းချက်, ညီမျှလုနီး
≡ ထပ်တူ, ထပ်တူညီမျှခြင်း, နှင့် ထပ်တူညီမျှခြင်း, သုံးဆ
≤ ညီမျှခြင်း, ညီမျှသော, ပိုငယ်သော, ပိုငယ်သော (သို့) ညီမျှသော, မမျှတခြင်း
≥ ညီမျှခြင်း, ညီမျှသော, ပိုကြီးသော, ပိုကြီးသော (သို့) ညီမျှသော, မမျှတခြင်း
⊂ ဆက်, ဆက်တစ်ခု၏ အဖွဲ့ဝင်ကိန်း
▲ တြိဂံ, မြား, အပေါ်, အရောင်ပါ, အရောင်ပါ အပေါ်ညွှန် တြိဂံမြား
▼ တြိဂံ, မြား, အရောင်ပါ, အရောင်ပါ အောက်ညွှန် တြိဂံမြား, အရောင်ပါ အောက်ညွှန်တြိဂံမြား, အောက်
◊ ဒိုင်းမွန်း, မှန်ကူကွက်, ရွမ်းဗတ်, အနားညီ အနားပြိုင် စတုဂံ
○ ကွင်း, စက်ဝိုင်း, အရောင်မပါ စက်ဝိုင်း
● စက်ဝိုင်း, အရောင်ပါ စက်ဝိုင်း
◯ ကွင်း, စက်ဝိုင်း, အရောင်မပါ စက်ဝိုင်းကြီး
♪ ဂီတ, နုတ်, ရှစ်, ရှစ်ပေါက် နုတ်
♭ ဂီတ, နုတ်, ဖလက်
♯ ဂီတ, နုတ်, ရှပ်
😀 ပြုံးဖြဲဖြဲ, မျက်နှာ
😃 ပြုံး, ပါးစပ်, မျက်နှာ, မျက်လုံးပြူးဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ, ဟ
😄 ပြုံးနေသည့်မျက်လုံးများဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ, ပြုံးဖြဲဖြဲမျက်နှာနှင့် ပြုံးနေသည့်မျက်လုံးများ, ပါးစပ်, မျက်နှာ, မျက်လုံး, ဟနေသည်, အပြုံး
😁 ပြုံး, ပြုံးနေသည့်မျက်လုံးများဖြင့် ပီတိဖြာနေသော မျက်နှာ, ပြုံးဖြဲဖြဲ, မျက်နှာ, မျက်လုံးများ
😆 ကျေနပ်ခြင်း, ကြိတ်မှိတ်၍ ပြုံးဖြဲဖြဲလုပ်နေသည့် မျက်နှာ, ပါးစပ်, မျက်စိကို ကြိတ်မှိတ်ထားသည့် ပြုံးဖြဲဖြဲ မျက်နှာ, မျက်နှာ, ရယ်မောခြင်း, အပြုံး
😅 ဇောချွေး, ဇောချွေးပြန်နေသည့် ပြုံးဖြဲဖြဲ မျက်နှာ, ဇောချွေးပြန်နေသည့် အပြုံးမျက်နှာ, မျက်နှာ, ဟနေသည်, အပြုံး, အေး
🤣 ကြမ်းပြင်, ကြမ်းပေါ်လှိမ့်ပြီး ရယ်နေသည်, မျက်နှာ, ရယ်မောခြင်း, လှိမ့်ခြင်း
😂 ပျော်ရွှင်မှု, ပျော်ရွှင်မှု မျက်ရည်များဖြင့် မျက်နှာ, မျက်နှာ, မျက်ရည်, ရယ်ရွှင်မှု
🙂 ပြုံးနေသည်, မျက်နှာ, မသိမသာ ပြုံးနေသည့် မျက်နှာ, မသိမသာပြုံးနေသည့် မျက်နှာ
🙃 ဇောက်ထိုး, မျက်နှာ
😉 မျက်စိမှိတ်ပြခြင်း, မျက်စိမှိတ်ပြနေသည့် မျက်နှာ, မျက်နှာ
😊 ပြုံးနေသည်, ပြုံးနေသည့်မျက်လုံးများဖြင့် အပြုံးမျက်နှာ, မျက်နှာ, မျက်လုံး, မျက်လုံးများ ပြုံးနေသည့် အပြုံးမျက်နှာ, ရှက်သွေးဖြန်းခြင်း
😇 စိတ်ကူးယဉ်, နတ်မိမယ်, မျက်နှာ, ရောင်လျှံစက်ဝန်း, ရောင်လျှံစက်ဝန်းနှင့် မျက်နှာ
🥰 တန်းတန်းစွဲ, နှလုံး, မြတ်နိုးသည်, မေတ္တာရှိသည်, အသည်းပုံ ၃ ခုနှင့် အပြုံးမျက်နှာ
😍 နှလုံးပုံစံ မျက်လုံးများနှင့် အပြုံးမျက်နှာ, မျက်နှာ, မျက်လုံး, အချစ်, အပြုံး
🤩 ကြယ်ပွင့်, ကြယ်ပွင့်မျက်လုံးများဖြင့် မျက်နှာ, ကြယ်ပွင့်လေးနဲ့ မျက်နှာ, ပြုံးဖြဲဖြဲ, မျက်နှာ, မျက်လုံးများ
😘 မျက်နှာ, အနမ်း, အနမ်းကို ပို့ပေးနေသည့် မျက်နှာ, အနမ်းပေးနေသော မျက်နှာ
😗 နမ်းနေသည့် မျက်နှာ, မျက်နှာ, အနမ်း
☺ ပြုံးနေသေည့် မျက်နှာ, မျက်နှာ, သက်သောင့်သက်သာ ရှိခြင်း, အပြုံး, အပြုံးမျက်နှာ
😚 မျက်စိ, မျက်စိမှိတ်ထားကာ နမ်းနေသည့် မျက်နှာ, မျက်နှာ, မျက်လုံးများမှိတ်ပြီး နမ်းနေသည့် မျက်နှာ, အနမ်း
😙 ပြုံးနေသည့် မျက်လုံးများနှင့် နမ်းနေသည့် မျက်နှာ, မျက်စိ, မျက်နှာ, အနမ်း, အပြုံး, အပြုံးမျက်လုံးများဖြင့် နမ်းနေသည့် မျက်နှာ
🥲 ကျေးဇူးတင်သော, ဂုဏ်ယူသော, စိတ်ထိခိုက်, စိတ်သက်သာ, မျက်ရည်, အငိုမျက်လုံး အပြုံးမျက်နှာ, အပြုံး
😋 တစိမ့်စိမ့် အစားအရသာခံခြင်း, မျက်နှာ, အစားအရသာခံနေသည့် မျက်နှာ, အစားအရသာခံနေသည့်မျက်နှာ, အပြုံး, အရသာရှိခြင်း
😛 မျက်နှာ, လျှာ, လျှာထုတ်ထားသည့် မျက်နှာ
😜 မျက်နှာ, မျက်လုံး, လျှာ, လျှာထုတ်ထားပြီး မျက်လုံးတစ်ဖက် မှိတ်ပြသည့် မျက်နှာ, လျှာထုတ်ပြီး မျက်လုံးတစ်ဖက် မှိတ်ပြသည့် မျက်နှာ, လှောင်
🤪 ပြောင်ချော်ချော်လုပ်ခြင်း, မျက်စိ, ရူးနှမ်းနှမ်း မျက်နှာ, ရူးနှမ်းနှမ်းမျက်နှာ
😝 ဆိုးရွား, မျက်နှာ, မျက်လုံး, မျက်လုံးများပိတ်ပြီး လျှာထုတ်ပြသည့် မျက်နှာ, လျှာ
🤑 ငွေ, ​ငွေပါးစပ် မျက်နှာ, ပါးစပ်, မျက်နှာ
🤗 ပွေ့ဖက်ခြင်း, ပွေ့ဖက်နေသည်, ပွေ့ဖက်နေသည့် မျက်နှာ, မျက်နှာ
🤭 စဥ်းစားရကြပ်သည်, ပါးစပ်ကို လက်နဲ့ပိတ်တဲ့ မျက်နှာ
🤫 တိတ်တိတ်နေခိုင်းနေသည့် မျက်နှာ, တိတ်တိတ်နေပါ, ရှုးတိုးတိုးရုပ်နဲ့ မျက်နှာ, ရှူးတိုးတိုး
🤔 စဉ်းစားနေပုံ, စဉ်းစားနေပုံမျက်နှာ, စဥ်းစားနေပုံ မျက်နှာ, မျက်နှာ
🤐 စကားမပြောဘဲ ပါးစပ်ပိတ်ထားသည့် မျက်နှာ, ပါးစပ်, ပါးစပ်ပိတ်, မျက်နှာ
🤨 မျက်ခုံးတွန့် မျက်နှာ, သံသယမကင်းတဲ့ မျက်နှာ
😐 ဘက်မလိုက်, မျက်နှာ, မျက်နှာသေ
😑 ခံစားမှုမဲ့ မျက်နှာ, မျက်နှာ, အသက်မပါ
😶 ငြိမ်သက်ခြင်း, တိတ်ဆိတ်ခြင်း, ပါးစပ်, ပါးစပ်မပါသော မျက်နှာ, မျက်နှာ
😶‍🌫 တိမ်ထဲက မျက်နှာ, တိမ်ထဲက ဦးခေါင်း, မြူခိုးထဲက မျက်နှာ, မေ့တတ်သော
😏 မျက်နှာ, လှောင်ပြုံးမျက်နှာ, လှောင်ပြောင်
😒 စိတ်အလိုမကျ, စိတ်အလိုမကျသည့် မျက်နှာ, မပျော်ရွှင်, မျက်နှာ
🙄 စိတ်မရှည်သည့်ဟန်ပြ မျက်လုံးများ, ပျင်းစရာကောင်းသောအကြောင်းအရာကြောင့် ဖြစ်ပေါ်လာသောမျက်နှာ, မျက်နှာ, မျက်လုံး, မျက်လုံးပင့်ကြည့်
😬 မျက်နှာ, မျက်နှာရှုံ့ခြင်း, ရှုံ့မဲ့နေသော မျက်နှာ
😮‍💨 ညည်းခြင်း, တီးတိုးပြောခြင်း, ပင့်သက်ရှိုက်ခြင်း, ရှူထုတ်ခြင်း, လေချွန်ခြင်း, သက်ပြင်းချ မျက်နှာ, ဟင်းချခြင်း
🤥 ရုပ်, လိမ်လည်, လူလိမ်ရုပ်
😌 စိတ်သက်သာရာရ, စိတ်သက်သာရာရသည့် မျက်နှာ, မျက်နှာ
😔 ငိုင်တိုင်တိုင်, စဉ်းစား, စဉ်းစားငိုင်တွေသည့် မျက်နှာ, မျက်နှာ
😪 မျက်နှာ, အိပ်ငိုက်, အိပ်ငိုက်သည့်မျက်နှာ
🤤 ရုပ်, သွားရည်ကျ, သွားရည်ကျနေသည့်ရုပ်
😴 မျက်နှာ, ဟောက်သံ, အိပ်, အိပ်နေသည့်မျက်နှာ
😷 ကျန်းမာရေး မျက်နှာဖုံးနှင့် မျက်နှာ, ဆရာဝန်, ဆေးရုံသုံးမျက်နှာဖုံးတပ် မျက်နှာ, ဖျားနာခြင်း, မျက်နှာ, မျက်နှာဖုံး, အအေးမိခြင်း
🤒 ပြဒါးတိုင်, ပြဒါးတိုင်နှင့် မျက်နှာ, ဖျားနာခြင်း, မျက်နှာ, သာမိုမီတာနှင့် မျက်နှာ
🤕 ထိခိုက်ခြင်း, နာကျင်ခြင်း, ပတ်တီး, ပတ်တီးနှင့် မျက်နှာ, မျက်နှာ, ဦးခေါင်းပတ်တီးနှင့် မျက်နှာ
🤢 ရုပ်, အန်သည်, အောက်ဂလီဆန်သည်, အော်ဂလီဆန်သည့်ရုပ်
🤮 ဖျားနာခြင်း, အန်ထွက်သည့် မျက်နှာ, အန်နေသည့် မျက်နှာ, အန်သည်
🤧 ဆိတ်ဖွား, နှာချေသည်, နှာချေသည့်ရုပ်, ရုပ်
🥵 ဇောချွေးပြန်နေသော, ဒေါသ မျက်နှာ, ပူသည်, ရှက်သွေးဖြန်း မျက်နှာ, အပူလျှပ်ခြင်း, အဖျားတက်ခြင်း
🥶 နှင်းကိုက်နာ, ပြာနှမ်းနေသော မျက်နှာ, ရေခဲ မျက်နှာ, ရေခဲပန်းဆွဲ, အေးခြင်း, အေးခဲခြင်း
🥴 ကတုန်ကယင် မျက်နှာ, ထွေနေသော, ပါးစပ်ရွဲ့ခြင်း, မူးဝေခြင်း, ရွဲနေသော မျက်လုံး, အရက်မူးခြင်း
😵 မျက်နှာ, မူးဝေနေသော မျက်နှာ, သတိလစ် မျက်နှာ, သေဆုံးခြင်း
😵‍💫 ချာလပတ်လည်ခြင်း, ချာလပတ်လည်နေသည့်မျက်လုံးနှင့် မျက်နှာ, ဒုက္ခ, မူးဝေသော, အိပ်မွေ့ချခြင်း
🤯 စိတ်မထိန်းနိုင်ခြင်း, ထိတ်လန့်ခြင်း, ဒေါသပေါက်ကွဲခေါင်း, ဒေါသပေါက်ကွဲသည့် ဦးခေါင်း
🤠 နွားကျောင်းသမ, နွားကျောင်းသား, နွားကျောင်းသား ဦးထုပ် ဆောင်းထားသည့်ရုပ်, မျက်နှာ, ဦးထုတ်
🥳 ပါတီ, ပါတီပွဲတက် မျက်နှာ, အောင်ပွဲခံခြင်း, ဦးချို, ဦးထုပ်
🥸 နှာခေါင်း, မျက်နှာ, မျက်မှန်, ရုပ်ဖျက်ခြင်း, ရုပ်ဖျက်ထားသော မျက်နှာ, ဟန်ဆောင်မျက်နှာ
😎 တောက်ပခြင်း, နေ, နေကာမျက်မှန်ဖြင့် အပြုံးမျက်နှာ, မျက်နှာ
🤓 တစ်စုံတစ်ရာကို ရူးသွပ်သူ၏ မျက်နှာ, ပညာရှင်, မျက်နှာ, ရူးသွပ်သူ
🧐 တစ်ဖက်တည်းပါတဲ့ မျက်မှန်နှင့် မျက်နှာ, လှောင်နေသည့် မျက်နှာ
😕 ဇဝေဇဝါဖြစ်, ဇဝေဇဝါဖြစ်သည့် မျက်နှာ, မျက်နှာ
😟 စိတ်ပူနေသော မျက်နှာ, ပူပန်နေသည့် မျက်နှာ, မျက်နှာ
🙁 မျက်နှာ, ဝမ်းနည်း, အနည်းငယ် မျက်မှောင်ကြုတ်ထားသည့် မျက်နှာ, အနည်းငယ်ဝမ်းနည်းသည့် မျက်နှာ
☹ မျက်နှာ, မျက်မှောင်ကြုတ်ထားသည့် မျက်နှာ, ဝမ်းနည်း, ဝမ်းနည်းကြေကွဲသည့် မျက်နှာ
😮 ပါးစပ်, ပါးစပ်အဟောင်းသားနှင့် မျက်နှာ, မျက်နှာ, သနား
😯 မျက်နှာ, မှင်သက်, အံ့ဩခြင်း, အံ့ဩသည့် မျက်နှာ, အံ့ဩသည့်မျက်နှာ
😲 ကြက်သေသေ, မျက်နှာ, လုံးဝ, အံ့အားသင့်ခြင်း, အံ့အားသင့်နေသော မျက်နှာ
😳 မျက်နှာ, အားမာန်, အားမာန်ပြည့်နေသော မျက်နှာ, အားမာန်အပြည့်နှင့် မျက်နှာ
🥺 ခွေးပေါက်အသွင် ချစ်စဖွယ် မျက်လုံး, တောင်းပန်ခြင်း, တောင်းပန်သော မျက်နှာ, သက်ညှာခြင်း
😦 ပါးစပ်, ပါးစပ်ဟ၍ မျက်မှောင်ကြုတ်ထားသော မျက်နှာ, မျက်နှာ, မျက်မှောင်ကြုတ်ခြင်း, မျက်မှောင်ကြုတ်နေကာ ပါးစပ်ဟထားသည့် မျက်နှာ, ဟနေသည်
😧 မချိတင်ကဲ မျက်နှာ, မျက်နှာ
😨 ကြောက်ရွံ့ခြင်း, ကြောက်ရွံ့တုန်လှုပ်ခြင်း, စိုးရိမ်နေသော မျက်နှာ, မျက်နှာ
😰 ကမန်းကတန်းလုပ်ခြင်း, ချွေး, စိုးရိမ်၍ ဇောချွေးပြန်နေသည့် မျက်နှာ, ပြာလောင်ခတ်ခြင်း, ပါးစပ်ဟနေကာ ဇောချွေးပြန်နေသော မျက်နှာ, မျက်နှာ, အပြာရောင်
😥 မျက်နှာ, ဝမ်းနည်း, ဝမ်းနည်းသော်လည်း စိတ်သက်သာရာရသည့် မျက်နှာ, ဝမ်းနည်းသော်လည်း စိတ်အေးရသည့် မျက်နှာ, အပူလုံးကျ
😢 ငိုနေခြင်း, ငိုနေသည့် မျက်နှာ, ငိုနေသော မျက်နှာ, မျက်နှာ, မျက်ရည်, ဝမ်းနည်းခြင်း
😭 ကျယ်လောင်စွာ ငိုနေသော မျက်နှာ, ကျယ်လောင်စွာငိုနေသည့် မျက်နှာ, ငိုနေခြင်း, မျက်နှာ, မျက်ရည်, ဝမ်းနည်းခြင်း
😱 ကြောက်ရွံ့ခြင်း, ကြောက်လန့်စွာ အော်နေသော မျက်နှာ, ကြောက်လန့်စွာအော်နေသည့် မျက်နှာ, ထိတ်လန့်ခြင်း, မျက်နှာ, အော်ဟစ်ခြင်း
😖 မျက်နှာ, မွှန်ထူ, မွှန်ထူသွားသည့် မျက်နှာ
😣 မျက်နှာ, အကူအညီမဲ့, အကူအညီမဲ့သည့် မျက်နှာ
😞 စိတ်ပျက်နေသည့် မျက်နှာ, စိတ်ပျက်နေသော မျက်နှာ, မျက်နှာ
😓 ချွေးစေးပြန်, ချွေးစေးပြန်သည့်မျက်နှာ, မျက်နှာ
😩 ငြီးငွေ့နေသည့် မျက်နှာ, ငြီးငွေ့နေသော မျက်နှာ, ပင်ပန်းနေသည့် မျက်နှာ, မျက်နှာ
😫 ပင်ပန်း, ပင်ပန်းသည့်မျက်နှာ, မျက်နှာ
🥱 ငြီးငွေ့သည်, ပင်ပန်းသည်, သန်းဝေနေသည့် မျက်နှာ, သန်းဝေသည်
😤 နှာခေါင်းမှ အငွေ့ထွက်နေသော မျက်နှာ, နှာမှုတ်နေသည့် မျက်နှာ, နိုင်ပြီ, မျက်နှာ, အောင်ပြီ
