🏻 kiri āhua, kiri āhua māmā, momo 1–2
👽 kanohi, kīrehe, kīrehe aokē, kōrero pakiwaitara, manene aokē, moemoeā, taniwha, ufo
👾 kanohi, kīrehe, kōrero pakiwaitara, manene aokē, moemoeā, ngārara aokē, taniwha, ufo
🤖 kanohi, karetao, taniwha
😺 kanohi, menemene, ngeru, tuwhera, waha
😸 kanohi, karu, menemene, ngeru, pakiri
😹 harikoa, kanohi, kanohi ngeru me ngā roimata harikoa, ngeru, roimata
😻 aroha, kanohi, kanohi ngeru menemene karu-manawa, karu, menemene, ngeru
😼 kanohi, menemene, ngeru, pūkawa, takahiri
😽 kanohi, kanohi ngeru kihikihi karu kopi, karu, kihi, ngeru
🙀 kanohi, ngeru, oho, ohorere, ruha
😿 kanohi, kanohi ngeru tatangi, ngeru, pōuri, roimata, tangi
😾 kanohi, ngeru, tupere
🙈 kanohi, kāo, kāore, kino, kite, makimaki, makimaki kore-kite-kino, tohu ā-ringa, whakakāhore, whakakore
🙉 kanohi, kāo, kāore, kino, makimaki, makimaki kore-rongo-kino, rongo, tohu ā-ringa, whakakāhore, whakakore
🙊 kanohi, kāo, kāore, kino, kōrero, makimaki, makimaki kore-kōrero-kino, tohu ā-ringa, whakakāhore, whakakore
💋 kihi, ngutu, tohu kihi
💌 aroha, manawa, mēra, reta
💘 kupiti, manawa me te pere, pere
💝 manawa mau rīpene, rīpene, tohu aroha
💖 hiamo, manawa tīaho, tīaho
💗 hiamo, kapakapa, manawa tipu haere, taiatea, tipu ana
💓 kapakapa, manawa patupatu, patu manawa, patupatu
💞 ngā manawa takahurihuri, takahurihuri
💕 aroha, rua manawa
💟 manawa, rākeitanga manawa
❣ tohu, tohu reo, tohuhā, tohuhā manawa pā
💔 manawa whati, pakaru, whati
❤ manawa, manawa whero
🧡 karaka, manawa karaka
💛 kōwhai, manawa kōwhai
💚 kākariki, manawa kākāriki
💙 kikorangi, manawa kikorangi
💜 manawa poroporo, poroporo
🖤 kino, manawa pango, nanakia, pango
💯 100, kī, kotahi rau, piro, rau piro
💢 pōrangi, pukuriri, tohu riri, whakakata
💥 pahū, tutukitanga, whakakata
💫 whakaamai, whakakata, whetū
💦 ngā kōpata werawera, paratī, werawera, whakakata
💨 oma ana, rere, rere atu ana, whakakata
🕳 puare
💣 pōma, whakakata
💬 kōrero, mirumiru, pūangi, whakakata
👁‍🗨 kaiwhakaatu, karu, karu rō mirumiru kōrero, mirumiru kōrero
🗨 kōrero, mirumiru kōrero mauī
🗯 mirumiru, mirumiru riri matau, pōrangi, pūangi, riri
💭 mirumiru, pūangi, whakaaro, whakakata
💤 moe, whakakata, zzz
👋 pōhiri, pōhirihiri, ringa
🤚 tāmuri, tū
🖐 matimati, paraha, ringa, ringa tū matimati paraha
✋ ringa, ringa tū
🖖 matimati, ringa, spock, vulcan, whakakōtua vulcan
👌 ĀE, ringa
✌ ringa, v, wikitōria
🤞 matimati, ringa, waimarie, whiri
🤟 aroha, ringa, tohu aroha-ki-a-koe
🤘 kai kaha, matimati, pihi, ringa, tohu o ngā pihi
🤙 ringa, ringa waea mai, waea
👈 kōroa, kōroa tāmuri tohu mauī, matimati, ringa, tāmuri, tohu
👉 kōroa, kōroa tāmuri tohu matau, matimati, ringa, tāmuri, tohu
👆 ake, kōroa, matimati, ringa, tāmuri, tohu
🖕 māpere, matimati, ringa
👇 iho, kōroa, matimati, ringa, tāmuri, tohu
☝ ake, kōroa, matimati, ringa, tohu
👍 +1, ake, kōnui, ringa
👎 -1, iho, kōnui, ringa
✊ kumu, meke, meke tū, ringa, tuki
👊 kumu, meke, meke anga mai, ringa, tuki
🤛 meke, meke anga-mauī, whakatemauī
🤜 meke, meke anga-matau, whakatematau
👏 pakipaki, ringa
🙌 āhaha, ngā ringa tū, ringa, tohu ā-ringa, tū, whakanuinga
👐 ringa, tuwhera
🤲 inoi, ringa rewa tahi
🤝 ringa, rūrū, tūtaki, whakaaetanga
🙏 ihoi, koa, pōkai, ringa, ringa whiri, tohu, tuohu, ui, whakawhetai
✍ ringa, ringa tuhituhi, tuhi
💅 maikūkū, pani, tiaki, whakapai maikūkū, whakapaipai
🤳 kāmera, kiriāhua, waea
💪 uarua, uaua, whakakata, whakapakari
👂 taringa, tinana
👃 ihu, tinana
🧠 mōhio, roro
👀 kanohi, karu, ngā karu
👁 karu, tinana
👅 arero, tinana
👄 ngā ngutu, waha
👶 pēpi, tamariki
🧒 ira-kūpapa, tamaiti, tamariki
👦 tama, tamariki, tamatāne
👧 kōtiro, poutiriao, tamariki, Virgo
🧑 ira-kūpapa, pakeke
👱 mākekehu, tangata mākekehu
👨 tāne
🧔 pāhau, tangata pāhau
👱‍♂ mākekehu, tāne
👩 wahine
👱‍♀ mākekehu, wahine
🧓 ira-kūpapa, kaumātua
👴 kaumātua, koroua, tāne
👵 kaumātua, kuia, wahine
🙍 poururu, tangata poururu, tohu ā-ringa
🙍‍♂ poururu, tāne, tohu ā-ringa
🙍‍♀ poururu, tohu ā-ringa, wahine
🙎 tangata tupere, tohu ā-ringa, tupere
🙎‍♂ tāne, tohu ā-ringa, tupere
🙎‍♀ tohu ā-ringa, tupere, wahine
🙅 kāo, kore, ringa, tangata tohu ana KĀO, tohu ā-ringa, whakakāhore, whakakore
🙅‍♂ kāo, kore, ringa, tāne, tāne tohu ana KĀO, tohu ā-ringa, whakakāhore, whakakore
🙅‍♀ kāo, kore, ringa, tohu ā-ringa, wahine, wahine tohu ana KĀO, whakakāhore, whakakore
🙆 ĀE, ringa, tangata tohu ana ĀE, tohu ā-ringa
🙆‍♂ ĀE, ringa, tāne, tāne tohu ana ĀE, tohu ā-ringa
🙆‍♀ ĀE, ringa, tohu ā-ringa, wahine, wahine tohu ana ĀE
💁 āwhina, mōhiohio, ringa, tangata ringa tāringi, tāringi, whakatete
💁‍♂ ringa tāringi, tāne, tāne ringa tāringi, whakatete
💁‍♀ ringa tāringi, wahine, wahine ringa tāringi, whakatete
🙋 koa, ringa, tangata ringa tū, tohu ā-ringa, tū
🙋‍♂ ringa tū, tāne, tāne ringa tū, tohu ā-ringa
🙋‍♀ ringa tū, tohu ā-ringa, wahine, wahine ringa tū
🙇 aroha, tangata tuohu, tohu, tuohu, whakapāha
🙇‍♂ aroha, tāne, tohu, tuohu, whakapāha, whakapai
🙇‍♀ aroha, tohu, tuohu, wahine, whakapāha, whakapai
🤦 hohoia, kanohi, kapu o te ringa, tangata ringakanohi, whakaparau
🤦‍♂ hohoia, ringakanohi, tāne, whakaparau
🤦‍♀ hohoia, ringakanohi, wahine, whakaparau
🤷 haumāruru, hiki-pakihiwi, kūare, rangirua, tangata hiki-pakihiwi
🤷‍♂ haumāruru, hiki-pakihiwi, kūare, rangirua, tāne
🤷‍♀ haumāruru, hiki-pakihiwi, kūare, rangirua, wahine
👨‍⚕ atawhai hauora, kaimahi hauora tāne, kaiwhakaora, rata, tāne, tapuhi
👩‍⚕ atawhai hauora, kaiwhakaora, rata, tapuhi, wahine, wahine atawhai hauora
👨‍🎓 ākonga, paetahi, tāne
👩‍🎓 ākonga, paetahi, wahine
👨‍🏫 kaiako, kaitohutohu, mātanga, tāne
👩‍🏫 kaiako, kaitohutohu, mātanga, wahine
👨‍⚖ kaiwhakawā tāne, tāne, te whakawā, whārite
👩‍⚖ kaiwhakawā, wahine, whārite
👨‍🌾 kaimahi oneone, kaipāmu, kairāti, tāne
👩‍🌾 kaimahi oneone, kaipāmu, kairāti, wahine
👨‍🍳 kaitaka kai, kaitao, tāne
👩‍🍳 kaitaka kai, kaitao, wahine
👨‍🔧 kaiaka mīhini, kaiaka mīhini tāne, kaimahi hiko, kaimahi paipa wai, kaimahi-ā-rehe, tāne
👩‍🔧 kaiaka mīhini, kaiaka mīhini wahine, kaimahi hiko, kaimahi paipa wai, kaimahi-ā-rehe, wahine
👨‍🏭 ahumahi, hangahanga, kaimahi, tāne, tāne mahi wheketere, wheketere
👩‍🏭 ahumahi, hangahanga, kaimahi, wahine, wahine mahi wheketere, wheketere
👨‍💼 kaihoahoa whare, kaimahi tari tāne, kaiwhakahaere, kara-mā, pakihi, tāne, tari
👩‍💼 kaihoahoa whare, kaimahi tari wahine, kaiwhakahaere, kara-mā, pakihi, tari, wahine
👨‍🔬 kaimātai ahupūngao, kaimātai koiora, kaimātai matū, kaimātai pāngarau, kaimātai pūhanga, kaimātai pūtaiao, kaimātai pūtaiao tāne, tāne
👩‍🔬 kaimātai ahupūngao, kaimātai koiora, kaimātai matū, kaimātai pāngarau, kaimātai pūhanga, kaimātai pūtaiao, kaimātai pūtaiao wahine, wahine
👨‍💻 kaihanga, kaihangarau, kaiwaehere, kaiwhakawhanake, pūmanawa, tāne
👩‍💻 kaihanga, kaihangarau, kaiwaehere, kaiwhakawhanake, pūmanawa, wahine
👨‍🎤 kaitapere, kaiwaiata, kaiwhakangahau, raka, tāne, whetū
👩‍🎤 kaitapere, kaiwaiata, kaiwhakangahau, raka, wahine, whetū
👨‍🎨 kaitoi, papatae, tāne, tāne toi
👩‍🎨 kaitoi, papatae, wahine, wahine toi
👨‍✈ paerata, rererangi, tāne
👩‍✈ paerata, wahine, waka rererangi
👨‍🚀 kaiātea, tākirirangi, tāne
👩‍🚀 kaiātea, tākirirangi, wahine
👨‍🚒 kaitinei-ahi, tāne, waka-tinei-ahi
👩‍🚒 kaitinei-ahi, wahine, waka-tinei-ahi
👮 āpiha, kapa, pirihimana
👮‍♂ āpiha, kapa, pirihimana, tāne
👮‍♀ āpiha, kapa, pirihimana, wahine
🕵 kaikimihara, kairapuhē, kaitūtei
🕵‍♂ kaikimihara, kairapuhē, kaitūtei, tāne
🕵‍♀ kaikimihara, kairapuhē, kaitūtei, wahine
💂 tautieki
💂‍♂ tāne, tautieki
💂‍♀ tautieki, wahine
👷 hangatanga, kaimahi, pōtae
👷‍♂ hangatanga, kaimahi, tāne
👷‍♀ hangatanga, kaimahi, wahine
🤴 piriniha
👸 kōrero pakiwaitara, moemoeā, pirinihi
👳 pōtae kameta, tangata mau pōtae kameta
👳‍♂ pōtae kameta, tāne, tāne mau pōtae kameta
👳‍♀ pōtae kameta, wahine, wahine mau pōtae kameta
👲 gua pi mao, pōtae, tāne, tāne mau kape hainīhi
🧕 hijab, kāmeta māhunga, mantilla, tichel, wahine mau kāmeta
🤵 hūtu ōkawa, tāne, tāne mārena, tāne mau hūtu ōkawa
👰 ārai, mārenatanga, wahine mārena, wahine mārena mau ārai
🤰 hapū, wahine
🤱 pēpi, ū, whakangote ana, whāngote-ū
👼 anahera, kanohi, kōrero pakiwaitara, moemoeā, pēpi, pīpī anahera
🎅 hana, kirihimete, koko, matua, whakanuinga
🤶 kirihimete, koko, kuia, whaea, whakanuinga
🧙 rūānuku, tāngata matakite, tohunga mākutu, wahine mākutu
🧙‍♂ rūānuku, tohunga mākutu, tohunga matakite
🧙‍♀ wahine mākutu, wahine matakite
🧚 Oberon, patupaiarehe, Puck, Titania
🧚‍♂ Oberon, patupaiarehe tāne, Puck
🧚‍♀ patupaiarehe wahine, Titania
🧛 Dracula, kaitoto, oramate
🧛‍♂ Dracula, oramate, tāne kaitoto
🧛‍♀ oramate, wahine kaitoto
🧜 tāne-ika, tangata-ika, wahine-ika
🧜‍♂ tāne-ika, Tiritono
🧜‍♀ hine-ika, wahine-ika
🧝 erepe, mākutu
🧝‍♂ erepe tāne, mākutu
🧝‍♀ erepe wahine, mākutu
🧞 djinn, tūrehu
🧞‍♂ djinn, tāne tūrehu
🧞‍♀ djinn, wahine tūrehu
🧟 oramate, tūpāpaku, tūpāpaku hīkoi
🧟‍♂ oramate, tāne tūpāpaku, tūpāpaku hīkoi
🧟‍♀ oramate, tūpāpaku hīkoi, wahine tūpāpaku
💆 harono, kanohi, mirimiri, tangata whiwhi mirimiri
💆‍♂ kanohi, mirimiri, tāne, tāne whiwhi mirimiri
💆‍♀ kanohi, mirimiri, wahine, wahine whiwhi mirimiri
💇 ātaahua, harono, kaikuti makawe, kutinga makawe, tangata whiwhi kutinga makawe
💇‍♂ kutinga makawe, tāne, tāne whiwhi kutinga makawe
💇‍♀ kutinga makawe, wahine, wahine whiwhi kutinga makawe
🚶 hīkoi, hīkoi ana, hīkoi roa, tangata hīkoi
🚶‍♂ hīkoi, hīkoi roa, tāne
🚶‍♀ hīkoi, hīkoi roa, wahine
🏃 maratono, oma ana, tangata oma
🏃‍♂ maratono, oma ana, tāne, tāne oma, tauomaoma
🏃‍♀ maratono, oma ana, tauomaoma, wahine, wahine oma
💃 kanikani, wahine
🕺 kanikani, tāne
🕴 hūtu, pakihi, tāne, tāne mau hūtu e rewa ana
👯 kaikanikani, tāngata taringa rāpeti whakangahau, taringa rāpeti, whakangahau
👯‍♂ kaikanikani, tāne, tāne taringa rāpeti whakangahau, taringa rāpeti, whakangahau
👯‍♀ kaikanikani, taringa rāpeti, wāhine, wāhine taringa rāpeti whakangahau, whakangahau
🧖 hāuna, taiwhanga mamaoa, tangata rō taiwhanga mamaoa
🧖‍♂ hāuna, taiwhanga mamaoa, tāne rō taiwhanga mamaoa
🧖‍♀ hāuna, taiwhanga mamaoa, wahine rō taiwhanga mamaoa
🧗 kaipiki, tangata piki
🧗‍♂ kaipiki, tāne piki
🧗‍♀ kaipiki, wahine piki
🤺 hoari, kaimatātuhi, matātuhi hoari, tangata matātuhi
🏇 hoiho, hoiho tauoma, kaieke, tauomaoma
⛷ hukarere, kairetihuka, retihuka
🏂 hukarere, kaipaparetihuka, paparetihuka, retihuka
🏌 haupōro, pōro, tangata haupōro
🏌‍♂ haupōro, tāne
🏌‍♀ haupōro, wahine
🏄 tangata whakaheke ngaru, whakaheke ngaru
🏄‍♂ tāne, tāne whakaheke ngaru, whakaheke ngaru
🏄‍♀ wahine, wahine whakaheke ngaru, whakaheke ngaru
🚣 poti, tangata hoe waka, waka hoe
🚣‍♂ poti, tāne, tāne hoe waka, wakahoe
🚣‍♀ poti, wahine, wahine hoe waka, wakahoe
🏊 kauhoe, tangata kauhoe
🏊‍♂ kauhoe, tāne
🏊‍♀ kauhoe, wahine
⛹ pōro, tangata tāwhana pōro
⛹‍♂ pōro, tāne, tāne tāwhana pōro
⛹‍♀ pōro, wahine, wahine tāwhana pōro
🏋 kaihiki, tangata hiki taumaha, taumaha
🏋‍♂ kaihiki taumaha, tāne, tāne hiki taumaha
🏋‍♀ kaihiki taumaha, wahine, wahine hiki taumaha
🚴 eke pahikara, kaieke pahikara, pahikara, tangata eke pahikara
🚴‍♂ eke pahikara, kaieke pahikara, pahikara, tāne, tāne eke pahikara
🚴‍♀ eke pahikara, kaieke pahikara, pahikara, wahine, wahine eke pahikara
🚵 kaieke pahikara, maunga, pahikara, tangata eke pahikara maunga
🚵‍♂ kaieke pahikara, maunga, pahikara, tāne, tāne eke pahikara maunga
🚵‍♀ eke pahikara, kaieke pahikara, maunga, pahikara, wahine, wahine eke pahikara maunga
🤸 kātawīra, takaporepore, tangata kātawīra
🤸‍♂ kātawīra, takaporepore, tāne
🤸‍♀ kātawīra, takaporepore, wahine
🤼 kaimamau, mamau, tāngata mamau
🤼‍♂ mamau, tāne
🤼‍♀ mamau, wāhine
🤽 poro, tangata tākaro poro wai, wai
🤽‍♂ poro wai, tāne, tāne tākaro poro wai
🤽‍♀ poro wai, wahine, wahine tākaro poro wai
🤾 poiringa, pōro, tangata tākaro poiringa
🤾‍♂ poiringa, tāne, tāne tākaro poiringa
🤾‍♀ poiringa, wahine, wahine tākaro poiringa
🤹 mahitakimaha, pūkenga, tangata whiuwhiu, whakataurite, whiuwhiu
🤹‍♂ mahitakimaha, tāne, whiuwhiu
🤹‍♀ mahitakimaha, wahine, whiuwhiu
🧘 tangata tūranga rotu, whakaaro, yoga
🧘‍♂ tāne tūranga rotu, whakaaro, yoga
🧘‍♀ wahine tūranga rotu, whakaaro, yoga
🛀 kaukau, tangata kaukau ana, tāpu kaukau
🛌 hōtēra, moe, tangata rō moenga
👭 pupuri, ringa, tokorua, tokorua wāhine mau ringa, wahine
👫 pupuri, ringa, tāne, tāne me te wahine mau ringa, tokorua, wahine
👬 Gemini, māhanga, poutiriao, pupuri, ringa, tāne, tokorua, tokorua tāne mau ringa
💏 kihi, tokorua
💑 aroha, tokorua, tokorua me te manawa
👪 whānau
🗣 ataata, kanohi, kōrero, kōrero ana, upoko
👤 ataata, poho, poho rō ataata
👥 ataata, ngā poho rō ataata, poho
👣 kākahu, ngā tapuwae, tā, tapuwae
🐵 kanohi, makimaki
🐒 makimaki
🦍 makimaki nui
🐶 kanohi, kurī, mōkai
🐕 kurī, mōkai
🐩 kurī, kurī poipoi
🐺 kanohi, wūruhi
🦊 kanohi, pōkiha
🐱 kanohi, mōkai, ngeru
🐈 mōkai, ngeru
🦁 kanohi, Leo, poutiriao, raiona
🐯 kanohi, taika
🐅 taika
🐆 reparo
🐴 hoiho, kanohi, kanohi hōiho
🐎 hōiho, hoiho tauomaoma, hoihotanga, tauomaoma
🦄 hoiho pihi, kanohi, kanohi hōiho pihi
🦓 hepapa, tāheke
🦌 tia
🐮 kanohi, kau
🐂 ōkiha, poutiriao, pūru, Taurus
🐃 pūru, wai
🐄 kau
🐷 kanohi, poaka
🐖 poaka, poaka uha
🐗 poaka, poaka toa
🐽 ihu, kanohi, poaka
🐏 Aries, hipi, poutiriao, toa
🐑 hipi, uha
🐐 Capricorn, koati, poutiriao
🐪 kāmera, taromitari, tuapuku
🐫 kāmera, rua-tuapuku, tuapuku
🦒 kakīroa, ngā kōiraira
🐘 erewhana
🦏 rinorino
🐭 kanohi, kiore
🐁 kiore iti
🐀 kiore rahi
🐹 hamikiore, kanohi, mōkai
🐰 kanohi, mōkai, rāpeti
🐇 mōkai, rāpeti
🐿 timahaki
🦔 pūtaratara, tuatete
🦇 pekapeka, pekapeka kaitoto
🐻 kanohi, pea
🐨 koara, pea
🐼 kanohi, panara
🐾 ngā tā tapuwae, tā tapuwae, tapuwae, waewae
🦃 korukoru, manu
🐔 heihei, manu
🐓 manu, tameheihei
🐣 manu, pī, pīpī, pīpī timotimo, timotimo ana
🐤 manu, pī, pīpī
🐥 manu, pī, pīpī, pīpī manu anga mua
🐦 manu
🐧 kororā, manu
🕊 kupupa, manu, rere, rongomau
🦅 ekara, manu
🦆 manu, parera
🦉 manu, mōhio, ruru
🐸 kanohi, poraka
🐊 nguturoa
🐢 honu, terapine
🦎 mokomoko, ngārara
🐍 kaihāpai, nākahi, Ophiuchus, poutiriao
🐲 kanohi, pakiwaitara, tarakona
🐉 pakiwaitara, tarakona
🦕 brachiosaurus, brontosaurus, diplodocus, sauropod
🦖 T-Rex, Tyrannosaurus Rex
🐳 kanohi, pupuhi, tohorā
🐋 tohorā
🐬 aihe, pakihau
🐟 ika, Pisces, poutiriao
🐠 ika, pārūrū
🐡 ika, ikapupuhi
🦈 ika, mangō
🐙 wheke
🐚 anga, tōrino
🐌 hātaretare
🦋 ātaahua, pēpeke, pūrerehua
🐛 pēpeke, tātaka
🐜 pēpeke, pōpokorua
🐝 hanipī, ngārara, pī
🐞 pāpapa, pāpapa kōpure, pēpeke
🦗 kirikiti, māwhitiwhiti
🕷 ngārara, pēpeke
🕸 ngārara, tukutuku
🦂 kopiona, poutiriao, scorpio, Scorpius
💐 putiputi, tākai putiputi
🌸 puāwai, putiputi, tieri
💮 putiputi, putiputi mā
🏵 rōhiti, tipu
🌹 putiputi, rōhi
🥀 menge, putiputi, putiputi kautaka
🌺 puarangi, putiputi
🌻 putiputi, putiputirā, rā
🌼 puāwai, putiputi
🌷 putiputi, tūripi
🌱 hōu, tipu
🌲 rākau, rākau māota
🌳 rākau, rākau whakamakere rau, tukurau, whakamakere rau
🌴 nīkau, rākau
🌵 tātā tiotio, tipu
🌾 kākati raihi, pata, puku, raihi
🌿 amiami, rau
☘ hamitoka, tipu
🍀 4, koroa, rau, whā
🍁 hinga, mapera, rau
🍂 makere ana, rau, rau makere
🍃 hau, kapakapa, puhi, rau
🍇 hua, karepe, ngā karepe
🍈 hua, merengi
🍉 hua, merengiwai
🍊 ārani, hua, tāngarīni
🍋 hua, rēmana, waikawa
🍌 hua, panana
🍍 hua, paināporo
🍎 āporo, hua, whero
🍏 āporo, hua, kākāriki
🍐 hua, pea
🍑 hua, pītiti
🍒 hua, ngā tieri, tieri
🍓 hua, pere, rōpere
🥝 hua, kai, kiwi
🍅 hua, huawhenua, tomato
🥥 kokonati, nīkau, pīna korara
🥑 awakāro, huarākau, kai
🍆 huawhenua, otahua
🥔 huawhenua, kai, rīwai
🥕 huawhenua, kai, kāroti
🌽 kānga, puku kānga, taringa
🌶 pepa, wera
🥒 huawhenua, kai, kūkama, pīkara
🥦 kāpeti kōraha, porokori
🍄 harore, tūruporaka
🥜 huawhenua, kai, nati, pīnati
🌰 hetenati, tipu
🍞 parāoa, rohi
🥐 kai, parāoa, parāoarīpeka, pōkai pewa, wīwī
🥖 kai, pakete, parāoa, wīwī
🥨 pretzel, whiri
🥞 kai, kekewera, kerēpe, panekeke
🧀 matakahi tīhi, tīhi
🍖 kōiwi, mīti, mīti runga kōiwi
🍗 heihei, kōiwi, manu, waewae
🥩 rara, rara poaka, rara reme, tapahitanga mīti, tēki
🥓 kai, mīti, pēkana
🍔 hāmipēka, pāki
🍟 ngā parai wīwī, parai, wīwī
🍕 parehe, poro, tīhi
🌭 hōtiti, hōtiti pakipeta, kurī wera, kurīwera
🥪 hanewiti, parāoa
🌮 mehikana, tako
🌯 mehikana, purito, takai
🥙 kai, kepapa, parāoapapa, tōrino, whakakī, wharawhere
🥚 hēki, kai
🍳 hēki, parai, pēne, tao ana
🥘 kaherora, kai, paera, pāpaku, pēne
🍲 kōhua, kōhua kai, tiu
🥣 congee, hereara, paepae me te pūnu, parakuihi
🥗 huamata, kai, kākāriki
🍿 kāngapahū
🥫 kai kēne, kēne
🍱 pouaka peneto
🍘 pihikete, raihi
🍙 Hapanīhi, pōro, raihi
🍚 maoa, raihi
🍛 kari, raihi
🍜 korohū, nūru, paepae, ramen
🍝 pakēti, parāoa rimurapa
🍠 kūmara tunutunu, reka, rīwai, tukutuku
🍢 kaimoana, kepapa, otene, rākau, wero
🍣 hūhi
🍤 kōura, kōuraura, parai, temepura
🍥 ika, keke, keke ika whai koru, koru, pōhā
🍡 Hapanīhi, puruni, rākau, reka, tāngoro, wero
🥟 empanada, gyōza, jiaozi, parāoa kinikini, pierogi
🥠 pihikete matapae, poropititanga
🥡 paepae tio, pouaka kaweatu
🦀 Cancer, pāpaka, poutiriao
🦐 kai, kōuraura, mātaitai, ririki
🦑 kai, kota, ngū
