{ ដង្កៀបអង្កាញ់, បើក, បើកដង្កៀបអង្កាញ់
🏻 ប្រភេទទី 1–2, សម្បុរ, សម្បុរស
🏼 ប្រភេទទី 3, សម្បុរ, សម្បុរសល្មម
🏽 ប្រភេទទី 4, សម្បុរ, សម្បុរស្រអែម
🏾 ប្រភេទទី 5, សម្បុរ, សម្បុរខ្មៅល្មម
🏿 ប្រភេទទី 6, សម្បុរ, សម្បុរខ្មៅ
‾ បន្ទាត់គូសពីលើ, សញ្ញាបន្ទាត់គូសពីលើ
‘ សម្រង់សម្ដី, អាប៉ូស្ត្រូបឆ្វេង
’ សម្រង់សម្ដី, អាប៉ូស្ត្រូបស្ដាំ, អាប៉ូស្ត្រូបស្ដាំង
‚ ក្រោម, អាប៉ូស្ត្រូបស្ដាំ, អាប៉ូស្ត្រូបស្ដាំក្រោម
“ សញ្ញា, សញ្ញាសម្រង់ខាងឆ្វេង, សម្រង់ឆ្វេង
” សញ្ញា, សញ្ញាសម្រង់ស្ដាំ, សម្រង់ស្ដាំ
„ ក្រោម, សញ្ញាសម្រងស្ដាំក្រោម, សម្រង់ស្ដាំ
« ឆ្វេង, ដង្កៀប, មុំ, សញ្ញា &quot;&quot;, សញ្ញា [v], សញ្ញា ^, សញ្ញាដង្កៀបឆេ្វង, សញ្ញាដង្កៀបឆ្វេង
» ដង្កៀប, មុំ, សញ្ញា &quot;&quot;, សញ្ញា [v], សញ្ញា ^, សញ្ញាដង្កៀបស្ដាំ
) បិទ, បិទរង្វង់ក្រចក, រង្វង់ក្រចក
[ ដង្កៀប, បើក, បើកដង្កៀប
] ដង្កៀប, បិទ, បិទដង្កៀប
} ដង្កៀបអង្កាញ់, បិទ, បិទដង្កៀបអង្កាញ់
〈 ដង្កៀបកែង, បើក, បើកដង្កៀបកែង
〉 ដង្កៀបកែង, បិទ, បិទដង្កៀបកែង
《 ដង្កៀបកែងឌុប, បើក, បើកដង្កៀបកែងឌុប
》 ដង្កៀបកែងឌុប, បិទ, បិទដង្កៀបកែងឌុប
「 ដង្កៀកក្ងុកកែងលើ, បើក, បើកដង្កៀកក្ងុកកែងលើ
」 ដង្កៀកក្ងុកកែងលើ, បិទ, បិទដង្កៀកក្ងុកកែងលើ
『 ដង្កៀកប្រហោងក្ងុកកែងលើ, បើក, បើកដង្កៀកប្រហោងក្ងុកកែងលើ
』 ដង្កៀកប្រហោងក្ងុកកែងលើ, បិទ, បិទដង្កៀកប្រហោងក្ងុកកែងលើ
【 ដង្កៀបដិតក្នុង, បើក, បើកដង្កៀបដិតក្នុង
】 ដង្កៀបដិតក្នុង, បិទ, បិទដង្កៀបដិតក្នុង
〔 បើក, បើករង្វង់ក្រចកធំ, រង្វង់ក្រចកធំ
〕 បិទ, បិទរង្វង់ក្រចកធំ, រង្វង់ក្រចកធំ
〖 ដង្កៀបប្រហោងក្នុង, បើក, បើកដង្កៀបប្រហោងក្នុង
〗 ដង្កៀបប្រហោងក្នុង, បិទ, បិទដង្កៀបប្រហោងក្នុង
§ កថាខណ្ឌ, ចំណែក, ផ្នែក, សញ្ញាផ្នែក
¶ កថាខណ្ឌ, សញ្ញាកថាខណ្ឌ
@ @, សញ្ញាអ៊ែត, អ៊ែត
* ផ្កាយ, សញ្ញាផ្កាយ
/ សញ្ញាគូសបញ្ឈរទ្រេតទៅស្ដាំ, សញ្ញាស្លាស់
\ សញ្ញាគូសបញ្ឈរទ្រេតទៅឆ្វេង, សញ្ញាស្លាស់ត្រឡប់
& និង, សញ្ញា និង
# លេខ, សញ្ញាហាស់, ហាស់
% ភាគរយ, សញ្ញា
‰ ១លើ១ពាន់, ភាគពាន់
† កាំបិតស្នៀត, សញ្ញាកាំបិតស្នៀត, សញ្ញាចែក, សិលាស្ដម្ភ
‡ កាំបិតស្នៀត, ពីរ, សញ្ញាកាំបិតស្នៀតពីរ, សញ្ញាចែក, សិលាស្ដម្ភ
• សញ្ញាចុច, សញ្ញាចុចមូល
‧ ចំណុច, ចំណុចសហសញ្ញា, សហសញ្ញា
′ សញ្ញាព្រីម
″ សញ្ញាព្រីម, សញ្ញាព្រីមឌុប
‴ សញ្ញព្រីម, សញ្ញាព្រីមបី
‸ ការ៉េ, សញ្ញាការ៉េ
※ សញ្ញាយោង
⁂ ផ្កាយបី, សញ្ញាផ្កាយបី
` ហ្ក្រាវ, អាសង់, អាសង់ហ្ក្រាវ
´ អាសង់, អាសង់អេហ្គុយ, អេហ្គុយ
^ សៀកុងផ្លិច, អាសង់, អាសង់សៀកុងផ្លិច
¨ ត្រេម៉ា, អ៊ុមឡូ
° ដឺក្រេ, ភស្ដុតាង, ម៉ោង
℗ ថត, រក្សាសិទ្ធិ, រក្សាសិទ្ធិថតសំឡេង, សំឡេង
← ឆ្វេង, ព្រួញ, ព្រួញចង្អុលទៅឆ្វេង
↚ ព្រួញទៅឆ្វេងមានគូសត្រេពីលើ, សញ្ញាព្រួញទៅឆ្វេងមានគូសត្រេពីលើ
→ ព្រួញ, ព្រួញចង្អុលទៅស្ដាំ, ស្ដាំ
↛ ព្រួញទៅស្ដាំមានគូសត្រេពីលើ, សញ្ញាព្រួញទៅស្ដាំមានគូសត្រេពីលើ
↑ ព្រួញ, ព្រួញចង្អុលឡើងលើ, ឡើងលើ
↓ ចុះក្រោម, ព្រួញ, ព្រួញចង្អុលចុះក្រោម
↜ ព្រួញទៅឆ្វេងរាងរលក, សញ្ញាព្រួញទៅឆ្វេងរាងរលក
↝ ព្រួញទៅស្ដាំរាងរលក, សញ្ញាព្រួញទៅស្ដាំរាងរលក
↞ ព្រួញទៅឆ្វេងក្បាលពីរ, សញ្ញាព្រួញទៅឆ្វេងក្បាលពីរ
↟ ព្រួញទៅលើក្បាលពីរ, សញ្ញាព្រួញទៅលើក្បាលពីរ
↠ ព្រួញទៅស្ដាំក្បាលពីរ, សញ្ញាព្រួញទៅស្ដាំក្បាលពីរ
↡ ព្រួញទៅក្រោមក្បាលពីរ, សញ្ញាព្រួញទៅក្រោមក្បាលពីរ
↢ ព្រួញទៅឆ្វេងមានកន្ទុយ, សញ្ញាព្រួញទៅឆ្វេងមានកន្ទុយ
↣ ព្រួញទៅស្ដាំមានកន្ទុយ, សញ្ញាព្រួញទៅស្ដាំមានកន្ទុយ
↤ ព្រួញទៅឆ្វេងពីរបារ, សញ្ញាព្រួញទៅឆ្វេងពីរបារ
↥ ព្រួញទៅលើពីរបារ, សញ្ញាព្រួញទៅលើពីរបារ
↦ ព្រួញទៅស្ដាំពីរបារ, សញ្ញាព្រួញទៅស្ដាំពីរបារ
↧ ព្រួញទៅក្រោមពីរបារ, សញ្ញាព្រួញទៅក្រោមពីរបារ
↨ ព្រួញឡើងចុះមានបាត, សញ្ញាព្រួញឡើងចុះមានបាត
↫ ព្រួញទៅឆ្វេងកួចកន្ទុយ, សញ្ញាព្រួញទៅឆ្វេងកួចកន្ទុយ
↬ ព្រួញទៅស្ដាំកួចកន្ទុយ, សញ្ញាព្រួញទៅស្ដាំកួចកន្ទុយ
↭ ព្រួញទៅឆ្វេងស្ដាំរាងរលក, សញ្ញាព្រួញទៅឆ្វេងស្ដាំរាងរលក
↯ ព្រួញទៅក្រោមរាងអង្កាញ់, សញ្ញាព្រួញទៅក្រោមរាងអង្កាញ់
↰ ព្រួញទៅលើកាច់ក្បាលទៅឆ្វេង, សញ្ញាព្រួញទៅលើកាច់ក្បាលទៅឆ្វេង
↱ ព្រួញទៅលើកាច់ក្បាលទៅស្ដាំ, សញ្ញាព្រួញទៅលើកាច់ក្បាលទៅស្ដាំ
↲ ព្រួញទៅក្រោមកាច់ក្បាលទៅឆ្វេង, សញ្ញាព្រួញទៅក្រោមកាច់ក្បាលទៅឆ្វេង
↳ ព្រួញទៅក្រោមកាច់ក្បាលទៅស្ដាំ, សញ្ញាព្រួញទៅក្រោមកាច់ក្បាលទៅស្ដាំ
↴ ព្រួញទៅស្ដាំកែងទៅក្រោម, សញ្ញាព្រួញទៅស្ដាំកែងទៅក្រោម
↵ ព្រួញទៅក្រោមកែងទៅឆ្វេង, សញ្ញាព្រួញទៅក្រោមកែងទៅឆ្វេង
↶ ព្រួញបញ្ច្រាស់ទ្រនិចនាឡិកាកន្លះរង្វង់ខាងលើ, សញ្ញាព្រួញបញ្ច្រាស់ទ្រនិចនាឡិកាកន្លះរង្វង់ខាងលើ
↷ ព្រួញស្របទ្រនិចនាឡិកាកន្លះរង្វង់ខាងលើ, សញ្ញាព្រួញស្របទ្រនិចនាឡិកាកន្លះរង្វង់ខាងលើ
↸ ព្រួញទៅទិសពាយ័ព្យមានរបារខាងលើ, សញ្ញាព្រួញទៅទិសពាយ័ព្យមានរបារខាងលើ
↹ ព្រួញទៅឆ្វេងទល់របារពីលើព្រួញទៅស្ដាំទល់របារ, សញ្ញាព្រួញទៅឆ្វេងទល់របារពីលើព្រួញទៅស្ដាំទល់របារ
↺ ព្រួញបញ្ច្រាស់ទ្រនិចនាឡិការាងរង្វង់បើក, សញ្ញាព្រួញបញ្ច្រាស់ទ្រនិចនាឡិការាងរង្វង់បើក
↻ ព្រួញស្របទ្រនិចនាឡិការាងរង្វង់បើក, សញ្ញាព្រួញស្របទ្រនិចនាឡិការាងរង្វង់បើក
↼ ព្រួញទៅឆ្វេងរាងស្នមានទំពក់ខាងលើ, សញ្ញាព្រួញទៅឆ្វេងរាងស្នមានទំពក់ខាងលើ
↽ ព្រួញទៅឆ្វេងរាងស្នមានទំពក់ខាងក្រោម, សញ្ញាព្រួញទៅឆ្វេងរាងស្នមានទំពក់ខាងក្រោម
↾ ព្រួញទៅលើរាងស្នមានទំពក់ខាងស្ដាំ, សញ្ញាព្រួញទៅលើរាងស្នមានទំពក់ខាងស្ដាំ
↿ ព្រួញទៅលើរាងស្នមានទំពក់ខាងឆ្វេង, សញ្ញាព្រួញទៅលើរាងស្នមានទំពក់ខាងឆ្វេង
⇀ ព្រួញទៅស្ដាំរាងស្នមានទំពក់ខាងលើ, សញ្ញាព្រួញទៅស្ដាំរាងស្នមានទំពក់ខាងលើ
⇁ ព្រួញទៅស្ដាំរាងស្នមានទំពក់ខាងក្រោម, សញ្ញាព្រួញទៅស្ដាំរាងស្នមានទំពក់ខាងក្រោម
⇂ ព្រួញទៅក្រោមរាងស្នមានទំពក់ខាងស្ដាំ, សញ្ញាព្រួញទៅក្រោមរាងស្នមានទំពក់ខាងស្ដាំ
⇃ ព្រួញទៅក្រោមរាងស្នមានទំពក់ខាងឆ្វេង, សញ្ញាព្រួញទៅក្រោមរាងស្នមានទំពក់ខាងឆ្វេង
⇄ ព្រួញទៅស្ដាំពិលើព្រួញទៅឆ្វេង, សញ្ញាព្រួញទៅស្ដាំពិលើព្រួញទៅឆ្វេង
⇅ ចុះក្រោម, ព្រួញ, ព្រួញចង្អុលឡើងលើ និងព្រួញចង្អុលចុះក្រោម, ឡើងលើ
⇆ ឆ្វេង, ព្រួញ, ព្រួញចង្អុលទៅឆ្វេងនៅលើព្រួញចង្អុលទៅស្តាំ, ស្ដាំ
⇇ ព្រួញទៅឆ្វេងមួយគូ, សញ្ញាព្រួញទៅឆ្វេងមួយគូ
⇈ ព្រួញទៅលើមួយគូ, សញ្ញាព្រួញទៅលើមួយគូ
⇉ ព្រួញទៅស្ដាំមួយគូ, សញ្ញាព្រួញទៅស្ដាំមួយគូ
⇊ ព្រួញទៅក្រោមមួយគូ, សញ្ញាព្រួញទៅក្រោមមួយគូ
⇋ ព្រួញទៅឆ្វេងរាងស្នពីលើព្រួញទៅស្ដាំរាងស្ន, សញ្ញាព្រួញទៅឆ្វេងរាងស្នពីលើព្រួញទៅស្ដាំរាងស្ន
⇌ ព្រួញទៅស្ដាំរាងស្នពីលើព្រួញទៅឆ្វេងរាងស្ន, សញ្ញាព្រួញទៅស្ដាំរាងស្នពីលើព្រួញទៅឆ្វេងរាងស្ន
⇐ ព្រួញទៅឆ្វេងខ្លួនពីរក្បាលមួយ, សញ្ញព្រួញទៅឆ្វេងខ្លួនពីរក្បាលមួយ
⇍ ព្រួញទៅឆ្វេងខ្លួនពីរក្បាលមួយមានគូសឆូតកាត់, សញ្ញព្រួញទៅឆ្វេងខ្លួនពីរក្បាលមួយមានគូសឆូតកាត់
⇑ ព្រួញទៅលើខ្លួនពីរក្បាលមួយ, សញ្ញព្រួញទៅលើខ្លួនពីរក្បាលមួយ
⇒ ព្រួញទៅស្ដាំខ្លួនពីរក្បាលមួយ, សញ្ញព្រួញទៅស្ដាំខ្លួនពីរក្បាលមួយ
⇏ ព្រួញទៅស្ដាំខ្លួនពីរក្បាលមួយមានគូសឆូតកាត់, សញ្ញព្រួញទៅស្ដាំខ្លួនពីរក្បាលមួយមានគូសឆូតកាត់
⇓ ព្រួញទៅក្រោមខ្លួនពីរក្បាលមួយ, សញ្ញព្រួញទៅក្រោមខ្លួនពីរក្បាលមួយ
⇔ ព្រួញខ្លួនពីរក្បាលមួយឆ្វេងស្ដាំ, សញ្ញាព្រួញខ្លួនពីរក្បាលមួយឆ្វេងស្ដាំ
⇎ ព្រួញខ្លួនពីរក្បាលមួយឆ្វេងស្ដាំមានគូសឆូតកាត់, សញ្ញាព្រួញខ្លួនពីរក្បាលមួយឆ្វេងស្ដាំមានគូសឆូតកាត់
⇖ ព្រួញទៅទិសពាយ័ព្យខ្លួនពីរក្បាលមួយ, សញ្ញាព្រួញទៅទិសពាយ័ព្យខ្លួនពីរក្បាលមួយ
⇗ ព្រួញទៅទិសឥសានខ្លួនពីរក្បាលមួយ, សញ្ញាព្រួញទៅទិសឥសានខ្លួនពីរក្បាលមួយ
⇘ ព្រួញទៅទិសអាគ្នេយ៍ខ្លួនពីរក្បាលមួយ, សញ្ញាព្រួញទៅទិសអាគ្នេយ៍ខ្លួនពីរក្បាលមួយ
⇙ ព្រួញទៅទិសនិរតីខ្លួនពីរក្បាលមួយ, សញ្ញាព្រួញទៅទិសនិរតីខ្លួនពីរក្បាលមួយ
⇚ ព្រួញទៅឆ្វេងខ្លួនបីក្បាលមួយ, សញ្ញាព្រួញទៅឆ្វេងខ្លួនបីក្បាលមួយ
⇛ ព្រួញទៅស្ដាំខ្លួនបីក្បាលមួយ, សញ្ញាព្រួញទៅស្ដាំខ្លួនបីក្បាលមួយ
⇜ ព្រួញទៅឆ្វេងរាងក្រងិចក្រង៉ុក, សញ្ញាព្រួញទៅឆ្វេងរាងក្រងិចក្រង៉ុក
⇝ ព្រួញទៅស្ដាំរាងក្រងិចក្រង៉ុក, សញ្ញាព្រួញទៅស្ដាំរាងក្រងិចក្រង៉ុក
⇞ ព្រួញទៅលើរាងក្រងិចក្រង៉ុកមានគូសឆូតកាត់, សញ្ញាព្រួញទៅលើរាងក្រងិចក្រង៉ុកមានគូសឆូតកាត់
⇟ ព្រួញទៅក្រោមរាងក្រងិចក្រង៉ុកមានគូសឆូតកាត់, សញ្ញាព្រួញទៅក្រោមរាងក្រងិចក្រង៉ុកមានគូសឆូតកាត់
⇠ ព្រួញទៅឆ្វេងដាច់ៗ, សញ្ញាព្រួញទៅឆ្វេងដាច់ៗ
⇡ ព្រួញទៅលើដាច់ៗ, សញ្ញាព្រួញទៅលើដាច់ៗ
⇢ ព្រួញទៅស្ដាំដាច់ៗ, សញ្ញាព្រួញទៅស្ដាំដាច់ៗ
⇣ ព្រួញទៅក្រោមដាច់ៗ, សញ្ញាព្រួញទៅក្រោមដាច់ៗ
⇤ ព្រួញទៅឆ្វេងទល់របារ, សញ្ញាព្រួញទៅឆ្វេងទល់របារ
⇥ ព្រួញទៅស្ដាំទល់របារ, សញ្ញាព្រួញទៅស្ដាំទល់របារ
⇦ ព្រួញទៅឆ្វេងរាងប្រហោង, សញ្ញាព្រួញទៅឆ្វេងរាងប្រហោង
⇧ ព្រួញទៅលើរាងប្រហោង, សញ្ញាព្រួញទៅលើរាងប្រហោង
⇨ ព្រួញទៅស្ដាំរាងប្រហោង, សញ្ញាព្រួញទៅស្ដាំរាងប្រហោង
⇩ ព្រួញទៅក្រោមរាងប្រហោង, សញ្ញាព្រួញទៅក្រោមរាងប្រហោង
⇪ ព្រួញទៅលើពីរបាររាងប្រហោង, សញ្ញាព្រួញទៅលើពីរបាររាងប្រហោង
⇵ ព្រួញទៅក្រោមខាងឆ្វេងព្រួញទៅលើ, សញ្ញាព្រួញទៅក្រោមខាងឆ្វេងព្រួញទៅលើ
∀ គ្រប់, សញ្ញាគ្រប់
∂ ឌីផេរ៉ង់ស្យែល, សញ្ញាឌីផេរ៉ង់ស្យែលដោយផ្នែក
∃ មាន, សញ្ញាមាន
∅ សញ្ញាសំណុំទទេ, សំណុំទទេ
∆ ដែលតា, ត្រីកោណ
∇ ណាប់ឡា, ត្រីកោណ
∈ ធាតុ, ធាតុនៃ, មាន, សំណុំ, សមាជិកភាព
∉ មិនរបស់, សញ្ញាមិនរបស់
∋ របស់, សញ្ញារបស់
∎ បញ្ចប់សំអាង, សញ្ញាបញ្ចប់សំអាង
∏ ផាយធំ, សញ្ញាផាយធំ
∑ សញ្ញាស៊ីចម៉ាធំ, ស៊ីចម៉ាធំ
+ បូក, សញ្ញា
± បូកដក
÷ ការចែក, ចែក, និមិត្តសញ្ញាចែក, សញ្ញាចែក
× ការគុណ, គុណ, ដង, និមិត្តសញ្ញាគុណ
< តិចជាង, សញ្ញាបើក
≮ មិនតិចជាង, សញ្ញាមិនតិចជាង
= សញ្ញា, សញ្ញាស្មើ, ស្មើ
≠ ផ្ទុយ, មិនស្មើ
> ច្រើនជាង, ធំជាង, សញ្ញាបិទ
≯ មិនច្រើនជាង, សញ្ញាមិនច្រើនជាង
¬ មិន, អវិជ្ជមាន
| បន្ទាត់ត្រង់បញ្ឈរ, របារត្រង់បញ្ឈរ
~ ប្រហែល, សញ្ញាប្រហែល
− ដក, សញ្ញា
⁻ តូចនៅលើ, សញ្ញាដក, សញ្ញាដកតូចនៅលើ
∓ ដកឬបូក, សញ្ញាដកឬបូក
∕ ចែករាងគូសឆូត, សញ្ញាចែករាងគូសឆូត
⁄ ចែករាងរបារប្រភាគ, សញ្ញាចែករាងរបារប្រភាគ
∗ ផ្កាយមួយ, សញាផ្កាយមួយ
∘ រង្វង់តូច, សញារង្វង់តូច
∙ ចុចមួយ, សញ្ញាចុចមួយ
√ ការ៉េ, រ៉ាឌិក, រ៉ាឌីកាល់, សញ្ញាឬសការ៉េ, ឬស, ឬសការ៉េ
∝ សញ្ញាសមាមាត្រទៅនឹង, សមាមាត្រទៅនឹង
∞ និមិត្តសញ្ញាអនន្ត, អនន្ត
∟ មុំកែងខាងស្ដាំ, សញ្ញាមុំកែងខាងស្ដាំ
∠ មុំស្រួច, សញ្ញាមុំស្រួច
∣ ពុះខណ្ឌ, សញ្ញាពុះខណ្ឌ
∥ សញ្ញាស្រប, ស្រប
∧ និង, សញ្ញាឈ្នាប់ &quot;និង&quot;
∩ ប្រជុំ, សំណុំ
∪ បណ្ដុំ, ប្រសព្វ, សំណុំ
∫ សញ្ញាអាំងតេក្រាល, អាំងតេក្រាល
∬ សញ្ញាអាំងតេក្រាលឌុប, អាំងតេក្រាលឌុប
∮ សញ្ញាអាំងតេក្រាលវ័ណ្ឌ, អាំងតេក្រាលវ័ណ្ឌ
∴ ដូចនេះ, សញ្ញាដូចនេះ
∵ ព្រោះ, សញ្ញាព្រោះ
∶ ធៀប, សញ្ញាធៀប
∷ សញ្ញាសមាមាត្រ, សមាមាត្រ
∼ ដូច, សញ្ញាដូច
∽ ដូចបញ្ច្រាស់, សញ្ញាដូចបញ្វ្រាស់
∾ សញ្ញាអាណន្ត, អាណន្ត
≃ សញ្ញាស្មើតាមអាស៊ីមតូចទៅនឹង, ស្មើតាមអាស៊ីមតូចទៅនឹង
≅ សញ្ញាស្មើតាមប្រមាណទៅនឹង, ស្មើតាមប្រមាណទៅនឹង
≈ ប្រមាណ, ប្រហែល, សញ្ញាប្រហែល
≌ ប៉ុន, សញ្ញាប៉ុន
≒ រូបភាពនៃ, សញ្ញា រូបភាពនៃ
≖ រង្វង់ក្នុងសញ្ញាស្មើ, សញ្ញារង្វង់ក្នុងសញ្ញាស្មើ
≡ ដូច, ត្រីគុណ, ស្មើ, ស្មើនឹង
≣ សញ្ញាស្មើដាច់ខាត, ស្មើដាច់ខាត
≤ តិចជាង, តិចជាងឬស្នើ, តិចជាងឬស្មើ, ស្មើ
≥ ធំជាង, ធំជាងឬស្មើ, ស្មើ
≦ តូចជាងលើស្មើ, សញ្ញាតូចជាងលើសញ្ញាស្មើ
≧ ធំជាងលើស្មើ, សញ្ញាធំជាងលើសញ្ញាស្មើ
≪ តូចជាងច្រើនដង, សញ្ញាតូចជាងច្រើនដង
≫ ធំជាងច្រើនដង, សញ្ញាធំជាងច្រើនដង
≬ ចន្លោះ, សញ្ញាចន្លោះ
≳ ធំជាងឬស្មើ, សញ្ញាធំជាងឬស្មើ
≺ នាំមុខដោយ, សញ្ញានាំមុខដោយ
≻ តាមពីក្រោយដោយ, សញ្ញាតាមពីក្រោយដោយ
⊁ មិនតាមពីក្រោយដោយ, សញ្ញាមិនតាមពីក្រោយដោយ
⊂ សំណុំ, សំណុំរង, សំណុំរងនៃ
⊃ នៅក្រៅ, សញ្ញានៅក្រៅ
⊆ នៅក្នុងឬស្មើ, សញ្ញានៅក្នុងឬស្មើ
⊇ នៅក្រៅឬស្មើ, សញ្ញានៅក្រៅឬស្មើ
⊕ រង្វង់មានសញ្ញាបូកពីក្នុង, សញ្ញារង្វង់មានសញ្ញាបូកពីក្នុង
⊖ រង្វង់មានសញ្ញាដកពីក្នុង, សញ្ញារង្វង់មានសញ្ញាដកពីក្នុង
⊗ រង្វង់មានសញ្ញាគុណពីក្នុង, សញ្ញារង្វង់មានសញ្ញាគុណពីក្នុង
⊘ រង្វង់មានសញ្ញាចែកពីក្នុង, សញ្ញារង្វង់មានសញ្ញាចែកពីក្នុង
⊙ រង្វង់មានសញ្ញាចុចពីក្នុង, សញ្ញារង្វង់មានសញ្ញាចុចពីក្នុង
⊚ រង្វង់មានសញ្ញារង្វង់តូចពីក្នុង, សញ្ញារង្វង់មានសញ្ញារង្វង់តូចពីក្នុង
⊛ រង្វង់មានសញ្ញាផ្កាយពីក្នុង, សញ្ញារង្វង់មានសញ្ញាផ្កាយពីក្នុង
⊞ ការ៉េមានសញ្ញាបូកពីក្នុង, សញ្ញាការ៉េមានសញ្ញាបូកពីក្នុង
⊟ ការ៉េមានសញ្ញាដកពីក្នុង, សញ្ញាការ៉េមានសញ្ញាដកពីក្នុង
⊥ កែងនឹង, សញ្ញា កែងនឹង
⊮ មិនជំរុញ, សញ្ញាមិនជំរុញ
⊰ នាំមុខក្រោមទំហៀបដោយ, សញ្ញា នាំមុខក្រោមទំហៀបដោយ
⊱ តាមពីក្រោយក្រោមទំហៀបដោយ, សញ្ញា តាមពីក្រោយក្រោមទំហៀបដោយ
⋭ មិននៅក្នុងឬស្មើ, សញ្ញា មិននៅក្នុងឬស្មើ
⊶ ទម្រង់ដើមនៃ, សញ្ញា ទម្រង់ដើមនៃ
⊹ ម៉ាទ្រីសស្វ័យបន្សំ, សញ្ញា ម៉ាទ្រីសស្វ័យបន្សំ
⊿ ត្រីកោណកែងខាងស្ដាំ, សញ្ញាត្រីកោណកែងខាងស្ដាំ
⋁ សញ្ញាឈ្នាប់ &quot;ឬ&quot;, ឬ
⋂ ប្រសព្វ, សញ្ញាប្រសព្វ
⋃ ប្រជុំ, សញ្ញាប្រជុំ
⋅ ចុច, សញ្ញាចុច
⋆ ផ្កាយ, សញ្ញាផ្កាយមួយ
⋈ ចំណងបូ, សញ្ញាចំណងបូ
⋒ ប្រសព្វឌុប, សញ្ញាប្រសព្វឌុប
⋘ តិចជាងច្រើនៗដង, សញ្ញាតិចជាងច្រើនៗដង
⋙ ធំជាងច្រើនៗដង, សញ្ញាធំជាងច្រើនៗដង
⋮ ចុចបីបញ្ឈរ, សញ្ញាចុចបីបញ្ឈរ
⋯ ចុចបីផ្កេក, សញ្ញាចុចបីផ្កេក
⋰ ចុចបីទ្រេតទៅស្ដាំឡើងលើ, សញ្ញាចុចបីទ្រេតទៅស្ដាំឡើងលើ
⋱ ចុចបីទ្រេតទៅស្ដាំចុះក្រោម, សញ្ញាចុចបីទ្រេតទៅស្ដាំចុះក្រោម
■ ការ៉េដិត, សញ្ញាការ៉េដិត
□ ការ៉េប្រហោង, សញ្ញាការ៉េប្រហោង
▢ ការ៉េប្រហោងជ្រុងទាល, សញ្ញាការ៉េប្រហោងជ្រុងទាល
▣ ការ៉េប្រហោងមានការ៉េដិតពីក្នុង, សញ្ញាការ៉េប្រហោងមានការ៉េដិតពីក្នុង
▤ ការ៉េមានគំនូសកាត់ផ្ដេក, សញ្ញាការ៉េមានគំនូសកាត់ផ្ដេក
▥ ការ៉េមានគំនូសកាត់បញ្ឈរ, សញ្ញាការ៉េមានគំនូសកាត់បញ្ឈរ
▦ ការ៉េមានក្រឡាខាងក្នុង, សញ្ញាការ៉េមានក្រឡាខាងក្នុង
▧ ការ៉េមានគំនូសបញ្ឆិតចុះក្រោមពីឆ្វេងទៅស្ដាំខាងក្នុង, សញ្ញាការ៉េមានគំនូសបញ្ឆិតចុះក្រោមពីឆ្វេងទៅស្ដាំខាងក្នុង
▨ ការ៉េមានគំនូសបញ្ឆិតចុះក្រោមពីស្ដាំទៅឆ្វេងខាងក្នុង, សញ្ញាការ៉េមានគំនូសបញ្ឆិតចុះក្រោមពីស្ដាំទៅឆ្វេងខាងក្នុង
