{ дужка, пачатковая, фігурная
↟ стрэлка ўверх з двума канцамі
↠ стрэлка ўправа з двума канцамі
↡ стрэлка ўніз з двума канцамі
↢ стрэлка ўлева з хвастом
↣ стрэлка ўправа з хвастом
↤ стрэлка ўлева з жэрдкай
↥ стрэлка ўверх з жэрдкай
↦ стрэлка ўправа з жэрдкай
↧ стрэлка ўніз з жэрдкай
↨ стрэлка ўверх і ўніз з асновай
↫ стрэлка ўлева з пятлёй
↬ стрэлка ўправа з пятлёй
↭ хвалістая стрэлка ўлева і ўправа
↯ зігзаг, зігзагападобная стрэлка ўніз
↰ стрэлка ўверх з канцом улева
↱ стрэлка ўверх з канцом управа
↲ стрэлка ўніз з канцом улева
↳ стрэлка ўніз з канцом управа
↴ стрэлка ўправа з канцом уніз
↵ ламаная стрэлка ўніз улева
↶ паўкруглая стрэлка супраць гадзіннікавай стрэлкі
↷ паўкруглая стрэлка па гадзіннікавай стрэлцы
↸ доўгая стрэлка на паўночны захад
↺ адкрытая круглая стрэлка супраць гадзіннікавай стрэлкі
↻ адкрытая круглая стрэлка па гадзіннікавай стрэлцы
⇄ стрэлка ўправа над стрэлкай улева
⇅ стрэлка, стрэлка ўверх і стрэлка ўніз, уверх, уніз
⇆ стрэлка ўлева над стрэлкай управа, улева, управа
∆ дэльта, трохвугольнік
∇ набла, трохвугольнік
∈ змяшчае, мноства, набор, прыналежыць да, элемент
+ плюс, складанне
± плюс-мінус
÷ дзяленне, дзяліць, знак дзялення
× знак множання, множанне, памнажаць, разы
< менш за, пачатковы тэг, тэг
≮ матэматыка, не менш за, няроўнасць
= роўна, роўны
≠ не роўны, няроўнасць, няроўны
> больш за, канцавы тэг, тэг
≯ матэматыка, не больш за, няроўнасць
¬ адмаўленне, не
| вертыкальная лінія, вертыкальная рыса, лінія, палка, рыса, труба, штрых, штрых шэфера
~ тыльда
− адніманне, мінус
⁻ верхні індэкс, мінус, надрадковы
∓ плюс або мінус, плюс-мінус
∗ аператар-астэрыск, астэрыск, зорачка
√ квадратны, корань, радыкал
∞ бясконцасць, знак бясконцасці
∩ мноства, перасячэнне
∪ аб’яднанне, злучэнне, мноства
≈ амаль роўна, прыблізнасць, прыблізны
≡ дакладны, ідэнтычны, тоесны, трайны
≤ менш за, менш за або роўна, няроўнасць, роўна
≥ больш за, больш за або роўна, няроўнасць, роўна
⊂ мноства, падмноства
▲ запоўнены, зафарбаваны, стрэлка, трохвугольнік, уверх
▼ запоўнены, зафарбаваны, стрэлка, трохвугольнік, уніз
◊ бубны, звонкі, ромб
○ кольца, круг, незафарбаваны круг
● зафарбаваны круг, круг
◯ вялікае кольца, вялікі незафарбаваны круг, кольца, круг
♪ восьмая, музыка, нота
♭ бемоль, музыка, нота
♯ дыез, музыка, нота
😀 зубы, усмешка, шырока ўсміхаецца
😃 адкрыты, рот, усмешка, усміхаецца з адкрытым ротам
😄 вочы, рот, усмешка, усміхаецца, адкрыўшы рот і прыплюшчыўшы вочы
😁 вочы, зубы, усмешка, шырока ўсміхаецца, прыплюшчыўшы вочы
😆 адкрыты, задаволены, рот, смех, смяецца, адкрыўшы рот і заплюшчыўшы вочы
😅 пот, усмешка, усміхаецца адкрытым ротам з халодным потам на лбе, халодны
🤣 качацца, качаюся са смеху, смех
😂 зубы, слёзы, слёзы шчасця, смех, шчасце
🙂 злёгку ўсміхаецца, усмешка
🙃 дагары нагамі, твар
😉 падморгвае, падморгванне, твар
😊 вочы, румянец, усмешка, усміхаецца, прыплюшчыўшы вочы
😇 анёл, арэол, казачны, німб, нявінны, твар з німбам, усмешка
🥰 закаханасць, захапленне, каханне, твар з трыма сэрцамі ўсміхаецца, улюбёнасць
😍 закаханы твар, каханне, сэрца, усмешка
🤩 вочы, зорка, твар, твар з зоркамі, ухмылка
😘 паветраны пацалунак, падморгванне, пацалунак, сэрца
😗 пацалунак, цалуе
☺ спакойны, усмешка, усмешлівы твар, усміхаецца
😚 губы, заплюшчаныя вочы, пацалунак, цалуе, заплюшчыўшы вочы
😙 вочы, пацалунак, усмешка, цалуе, прыплюшчыўшы вочы
🥲 гордасць, палёгка, расчулены, сляза, удзячнасць, усмешка, усмешлівы твар са слязой
😋 гам, смакаванне, смачна, усмешка
😛 гарэза, паказвае язык, язык
😜 вочы, жарт, падморгванне, паказвае язык і падморгвае, язык
🤪 вар’яцкі твар, вока, вялікае, маленькае
😝 вочы, гарэза, паказвае язык, заплюшчыўшы вочы, смак, язык
🤑 грошы, рот, скнара, чую грошы
🤗 абдымае, абдымкі, твар
🤭 закрывае рукой рот, ой
🤫 ціха, цыц, шыкае, шыканне
🤔 гм, развага, роздум, у роздуме
🤐 замок, маўчу, рот, рот на замок
🤨 не верыць, скептычны, твар з узнятым брывом
😐 абыякавы, нейтральны, нейтральны твар
😑 без эмоцый, каменны, невыразны
😶 маўклівы, рот, твар без рота, ціхі
😶‍🌫 галава ў аблоках, рассеяны, твар у аблоках, твар у тумане
😏 усмешка, ухмылка, ухмыляецца
😒 зануда, незадаволены, незадаволены твар, нудны
🙄 вочы, закочвае вочы, закочванне, толькі не гэта
😬 грымаса, перакошаны, скрыўлены, скрыўлены твар
😮‍💨 выдых, палёгка, перахапіла дыханне, свіст, твар выдыхае, уздых, шэпт
🤥 пінокіа, твар, твар хлуса, хлусня
😌 адчувае палёгку, палёгка, як добра
😔 задуменны, задуменны твар, засмучаны
😪 санлівасць, сон, сонны твар
🤤 пускае сліну, пускаць, сліна
😴 сон, спіць, хррр
😷 доктар, маска, медыцына, твар у медыцынскай масцы, хворы
🤒 прастуда, твар з тэрмометрам, тэрмометр, хворы
🤕 выцятае месца, павязка, твар з павязкай на галаве, траўма
🤢 моташна, нудзіць, твар
🤮 ванітуе, ваніты, твар
🤧 твар, чхае
🥵 гарачы твар, горача, ліхаманка, перагрэў, пот, чырвоны твар
🥶 замярзае, змерзлы твар, ільдзінкі, мароз, сіні твар, холадна
🥴 адурманены, ап’янелы, ап’янелы твар, нецвярозы, п’яны, перакошаны рот, разбягаюцца вочы
😵 галава круціцца, галавакружэнне, заблытаны
😵‍💫 адурманены, гіпноз, загіпнатызаваны, ого, спіраль, твар з вачыма-спіралямі, турботы
🤯 галава выбухае, шакіраваны
🤠 капялюш, каўбой, каўбой у капелюшы
🥳 вечарына, дудка, капялюш, свята, святкуе
🥸 акуляры, інкогніта, маскіроўка, нос, твар, твар пад маскіроўкай
😎 акуляры, круты, сонца, усмешка, усміхаецца ў сонечных акулярах
🤓 батан, гік, задрот, нёрд
🧐 напышлівы, твар з маноклем
😕 азадачаны, збіты з панталыку, разгублены, разгублены твар
😟 занепакоены, занепакоены твар, устрывожаны
🙁 засмучэнне, злёгку засмучаны твар, нахмураны
☹ засмучаны твар, засмучэнне, нахмураны
😮 адкрыты, рот, спачуванне, твар з адкрытым ротам
😯 ашаломлены, здзіўлены, змоўклы, твар
😲 здзіўлены, здзіўлены твар, цалкам, шакіраваны
😳 аслупянелы, аслупянелы твар, збянтэжаны, збянтэжаны твар, здранцвелы твар
🥺 моліць, просіць, умольвае, шчанячы позірк
😦 адкрыты, засмучаны твар з адкрытым ротам, засмучэнне, нахмураны, рот
😧 пакута, пакутлівы твар, туга
😨 жах, напалоханы, напалоханы твар, напужаны, страх
😰 пот, рот, сіні, стома, твар з адкрытым ротам і халодным потам на лбе
😥 вух, палёгка, расчараванне з палёгкай, расчараваны
😢 плач, плача, слёзы, сумны
😭 плача ўголас, рыданне, слёзы, сумны
😱 жах, крык, напалоханы, спалохана крычыць, страх
😖 безвыходнасць, бязвыхадны, гамон, тупік
😣 настойваць, упартасць, упарты твар
😞 засмучэнне, расчараванне, расчараваны твар
😓 няёмкасць, пот, халодны, халодны пот на твары
😩 змораны, змораны твар, стомлены
😫 стомлены, стомлены твар
🥱 нуда, пазяхае, пазяханне, стома
😤 пара з носа, пераможца, трыумф, упартасць
😡 злы, лютасць, надзьмуты, надзьмуты твар, чырвоны
😠 злуецца, злы, люты, шалёны
🤬 лаецца, твар са знакамі на роце
😈 казачны, рагацік з усмешкай, рогі, усмешка
👿 д’ябал, дэман, злы рагаты чорт, казачны, нячысцік, чорт
💀 казачны, монстр, смерць, чэрап
☠ косці, монстр, пірат, смерць, чэрап і косці
💩 какашка, камічны, фекаліі, фу
🤡 клоун, твар, твар клоуна
👹 казачны, людажэр, монстр, стварэнне, японскі
👺 гоблін, казачны, монстр, стварэнне, японскі
👻 бу, казачны, монстр, прывід, стварэнне
👽 іншапланецянін, космас, НЛА, пазаземны, стварэнне
👾 космас, монстр, монстр-іншапланецянін, пазаземны, стварэнне
🤖 монстр, паўстанне машын, робат
😺 адкрыты, кот, кот усміхаецца, адкрыўшы рот, рот, усмешка
😸 вочы, зубы, кот, кот шырока ўсміхаецца, прыплюснуўшы вочы, усмешка
😹 зубы, кот, кот плача ад шчасця, слёзы, смех
😻 закаханы кот, каханне, кот, сэрца, усмешка
😼 іранічны, кот, кот са скрыўленай усмешкай, скрыўлены, усмешка
😽 вочы, кот, кот цалуе, закрыўшы вочы, кот цалуе, заплюшчыўшы вочы, пацалунак
🙀 здзіўлены, змораны, кот, ох
😿 кот, кот плача, плач, слёзы, сумны
😾 кот, крыўда, надзьмуты
🙈 бачыць, жэст, забаронена, малпа, нічога не бачу
🙉 жэст, забаронена, малпа, нічога не чую, чуць
🙊 жэст, забаронена, малпа, нічога не скажу, размаўляць
💋 губы, пацалунак, след ад пацалунку
💌 каханне, ліст, любоўны ліст, пошта, сэрца
💘 купідон, страла, страла ў сэрцы, сэрца
💝 валянцінка, стужка, сэрца, сэрца са стужачкай
💖 бліскучае сэрца, бляск, захапленне, зіхаценне, сэрца
💗 біццё, захапленне, сэрца, сэрца, якое павялічваецца, хваляванне
💓 біццё, пульсуючае сэрца, сэрца, сэрцабіцце, хваляванне
💞 кручэнне, сэрцы, сэрцы, якія круцяцца
💕 два сэрцы, каханне, сэрцы
💟 стылізаванае сэрца, сэрца
❣ знак, знак прыпынку, клічнік, клічнік у форме сэрца, сэрца
💔 разбітае, расчараванне, сэрца
❤‍🔥 агонь, жаданне, каханне, святое сэрца, сэрца, сэрца ў агні
❤‍🩹 аднаўленне, выздараўленне, загойванне, лепей, паляпшэнне, папраўленне, сэрца загойваецца
❤ сэрца, чырвонае сэрца
🧡 аранжавае сэрца, аранжавы
💛 жоўтае сэрца, жоўты, сэрца
💚 зялёнае сэрца, зялёны, сэрца
💙 сіні, сіняе сэрца, сэрца
💜 сэрца, фіялетавае сэрца, фіялетавы
🤎 карычневае, сэрца
🖤 злосць, сэрца, чорнае
🤍 белае, сэрца
💯 100, ачкоў, максімум, сто
💢 злы, камічны, раздражненне, сімвал злосці, шалёны
💥 бабах, бум, выбух, камічны
💫 галавакружэнне, зоркі, камічны, прытомнасць
💦 камічны, пот, пырскі, пырскі поту
💨 бег, знікненне, камічны, рывок
🕳 дзірка
💣 бомба, камічны
💬 бурбалка, воблачка, воблачка з тэкстам, дыялог, камічны
👁‍🗨 бурбалка з тэкстам, вока, вока ў бурбалцы, сведка
🗨 бурбалка з тэкстам злева, дыялог, маўленне
🗯 бурбалка, бурбалка з абурэннем справа, воблачка, злы, шалёны
💭 бурбалка, воблачка, воблачка з думкамі, думкі, камічны
💤 камічны, сон, храп
👋 вітаю, махае рукой, маханне, рука
🤚 далонь, паднятая
🖐 паднятая рука з растапыранымі пальцамі, пальцы, растапырванне, рука
✋ паднятая рука, рука, стоп, цела
🖖 вулканскі салют, жэст, спок, стартрэк
👌 добра, жэст, жэст «ОК», ок, рука
🤌 жэст рукі, зведзеныя, пальцы, пытанне, сарказм, шчыпок
🤏 маленькая колькасць, тры пальцы
✌ жэст, жэст перамогі, рука
🤞 скрыжаваныя пальцы, удача
🤟 ILY, жэст «люблю цябе», рука
🤘 жыве рок, жэст «каза», пальцы, рогі, цела
🤙 жэст, пазвані, пазвані мне, рука
👈 налева, палец, рука, рука з указальным пальцам улева, указальны палец улева, цела
👉 направа, палец, рука, рука з указальным пальцам управа, указальны палец управа, цела
👆 палец, рука, рука з указальным пальцам уверх, угару, указальны палец уверх, цела
🖕 палец, рука, сярэдні палец, цела
👇 палец, рука, рука з указальным пальцам уніз, указальны палец уніз, уніз, цела
☝ палец, рука, угару, указальны палец уверх, цела
👍 +1, вялікі палец уверх, лайк, падабайка, палец, уверх
👎 -1, вялікі палец уніз, дызлайк, палец, уніз
✊ кулак, падняты кулак, рука, рэвалюцыя, удар
👊 кулак, ляціць кулак, небяспека, рука, удар
🤛 кулак, улева
🤜 кулак, управа
👏 авацыі, апладысменты, пляскае ў ладкі, плясканне, рука
🙌 жэст, рукі, свята, ура, чалавек паднімае рукі
👐 адкрытыя, бяспека, рукі
🤲 моліцца, складзеныя разам далоні
🤝 дамовіліся, поціск рук, рукапацісканне, сустрэча
🙏 жэст, калі ласка, малітва, просьба, рукі, складзеныя рукі
✍ асадка, пісьмо, пішучая рука, рука, ручка
💅 догляд, касметыка, лак для ногцяў, ногці, рука
🤳 сэлфі, тэлефон, фота
💪 біцэпс, дэманстрацыя біцэпса, мышцы, спорт, цела
🦾 асаблівыя фізічныя патрэбы, інваліднасць, механічная рука, пратэз
🦿 асаблівыя фізічныя патрэбы, інваліднасць, механічная нага, пратэз
🦵 выспятак, канечнасць, нага
🦶 выспятак, ступня
👂 вуха, слых, цела
🦻 асаблівыя фізічныя патрэбы, вуха са слыхавым апаратам, дрэнны слых, інваліднасць
👃 нос, нюх, цела
🧠 мозг, разумны
🫀 кардыялогія, орган, пульс, сэрца, сэрцабіцце, цэнтр
🫁 выдых, дыханне, лёгкія, орган, подых, удых
🦷 зуб, стаматолаг
🦴 косць, шкілет
👀 вока, вочы, твар
👁 вока, зрок
👅 смак, цела, язык
👄 губы, рот
👶 малеча, немаўля
🧒 дзіця, малады, невядомы пол, нявызначаны пол
👦 дзіця, мужчына, хлопчык
👧 дзева, дзіця, дзяўчынка, жанчына, задыяк, малышка
🧑 дарослы, дарослы чалавек, няпэўнага полу
👱 бялявы, бялявы чалавек
👨 мужчына
🧔 барада, чалавек з барадой
🧔‍♂ барада, мужчына, мужчына: барада
👱‍♂ бландзін, бялявы, мужчына
👩 жанчына
🧔‍♀ барада, жанчына, жанчына: барада
👱‍♀ бландзінка, бялявая, жанчына
🧓 няпэўнага полу, у гадах, чалавек сталага ўзросту
👴 дзядуля, мужчына, стары
👵 бабуля, жанчына, старая
🙍 жэст, засмуціцца, засмучаны чалавек
🙍‍♂ жэст, засмучаны, мужчына
🙍‍♀ жанчына, жэст, засмучаная
🙎 жэст, крыўда, надзьмуты, надзьмуты чалавек
🙎‍♂ жэст, крыўда, мужчына, надзьмуты
🙎‍♀ жанчына, жэст, крыўда, надзьмутая
🙅 жэст, забаронена, рука, супраць, чалавек супраць
🙅‍♂ жэст, мужчына, нязгода, супраць
🙅‍♀ жанчына, жэст, нязгода, супраць
🙆 добра, жэст, згода, ок, чалавек за, чалавек паказвае згоду
🙆‍♂ добра, жэст, мужчына, мужчына за, мужчына паказвае згоду, ок
🙆‍♀ добра, жанчына, жанчына за, жанчына паказвае згоду, жэст, ок
💁 бойкі, дапамога, інфармацыя, рука, чалавек трасе рукой
💁‍♂ бойкі, мужчына, мужчына працягвае руку, мужчына трасе рукой, трасе рукой
💁‍♀ бойкая, жанчына, жанчына трасе рукой, жанчына цягне руку, трасе рукой
🙋 жэст, паднятая рука, радасны, рука, чалавек цягне руку
🙋‍♂ жэст, мужчына, мужчына цягне руку, цягне руку
🙋‍♀ жанчына, жанчына цягне руку, жэст, цягне руку
🧏 вуха, глухі, глухі чалавек, даступнасць, слых
🧏‍♂ глухі, мужчына
🧏‍♀ глухая, жанчына
🙇 выбачэнне, кланяцца, прабач, чалавек кланяецца
🙇‍♂ жэст, мужчына, мужчына нізка кланяецца, павага, прабач
🙇‍♀ жанчына, жанчына нізка кланяецца, жэст, павага, прабач
🤦 далонь, далонь на твары, не магу паверыць, няма слоў, рука, твар, фэйспалм
🤦‍♂ мужчына, мужчына з далонню на твары, не магу паверыць, няма слоў, рука, фэйспалм
🤦‍♀ жанчына, жанчына з далонню на твары, не магу паверыць, няма слоў, рука, фэйспалм
🤷 не ведаю, паціскае плячыма
🤷‍♂ мужчына, мужчына паціскае плячыма, не ведаю, сумнеў, усё роўна
🤷‍♀ жанчына, жанчына паціскае плячыма, не ведаю, сумнеў, усё роўна
🧑‍⚕ ахова здароўя, доктар, медсястра, медыцынскі работнік, тэрапеўт
👨‍⚕ ахова здароўя, доктар, мужчына, тэрапеўт
👩‍⚕ ахова здароўя, доктарка, жанчына, тэрапеўт
🧑‍🎓 выпускнік, навучэнец, студэнт
👨‍🎓 выпускнік, мужчына, студэнт
👩‍🎓 выпускніца, жанчына, студэнтка
🧑‍🏫 выкладчык, настаўнік, прафесар
👨‍🏫 выкладчык, мужчына, настаўнік, прафесар
👩‍🏫 выкладчыца, жанчына, настаўніца, прафесар
🧑‍⚖ суддзя, шалі
👨‍⚖ мужчына, правасуддзе, суддзя-мужчына, шалі
👩‍⚖ жанчына, суддзя, суддзя-жанчына, шалі
🧑‍🌾 агароднік, аграрый, фермер
👨‍🌾 агароднік, мужчына, фермер
👩‍🌾 агародніца, жанчына, фермерка
🧑‍🍳 кухар, повар, шэф
👨‍🍳 кухар, мужчына, шэф-повар
👩‍🍳 жанчына, кухарка, шэф-кухар
🧑‍🔧 майстар, механік, сантэхнік, электрык
👨‍🔧 майстар, механік, мужчына, мужчына-механік, сантэхнік, электрык
👩‍🔧 жанчына, жанчына-механік, майстрыха, механік, сантэхнік, электрык
🧑‍🏭 завадчанін, завод, мужчына, прамыслоўца, працаўнік
👨‍🏭 завод, мужчына, прамыслоўца, працаўнік, працаўнік завода
👩‍🏭 жанчына, завод, прамысловасць, працаўніца, працаўніца завода
🧑‍💼 белы каўнер, бізнес, менеджар, офіс, службовец
👨‍💼 белы каўнер, бізнес, менеджар, мужчына, офіс, служачы
👩‍💼 белы каўнер, бізнес, жанчына, менеджар, офіс, служачая
🧑‍🔬 біёлаг, навуковец, фізік, хімік
👨‍🔬 біёлаг, вучоны, мужчына, навуковец, фізік, хімік
👩‍🔬 біёлаг, вучоная, жанчына, жанчына-навуковец, фізік, хімік
🧑‍💻 камп’ютаршчык, праграміст, распрацоўшчык, тэхнік
👨‍💻 камп’ютаршчык, мужчына, праграміст, распрацоўшчык, тэхнік
👩‍💻 жанчына, жанчына-тэхнік, камп’ютаршчык, камп’ютаршчыца, праграмістка, распрацоўшчыца
🧑‍🎤 зорка, пяюн, рок, спеў, спявак, эстраднік
👨‍🎤 зорка, мужчына, рок, спеў, спявак, эстраднік
👩‍🎤 жанчына, зорка, рок, спеў, спявачка, эстрадніца
🧑‍🎨 жывапісец, мастак, палітра
👨‍🎨 мастак, мужчына, палітра, пэндзаль
👩‍🎨 жанчына, мастачка, палітра, пэндзаль
🧑‍✈ пілот, самалёт
👨‍✈ мужчына, мужчына-пілот, пілот, самалёт
👩‍✈ жанчына, жанчына-пілот, пілот, самалёт
🧑‍🚀 астранаўт, касманаўт, ракета
👨‍🚀 касманаўт, космас, мужчына, ракета
👩‍🚀 жанчына, касманаўтка, космас, ракета
🧑‍🚒 пажарная машына, пажарны
👨‍🚒 мужчына, пажарная машына, пажарнік
👩‍🚒 жанчына, жанчына-пажарны, пажарная машына, пажарніца
👮 афіцэр, паліцыя, паліцыянт
👮‍♂ афіцэр, мужчына, паліцыя, паліцыянт, паліцэйскі
👮‍♀ афіцэр, жанчына, жанчына-паліцыянт, паліцыя, паліцыянт, паліцэйская
🕵 дэтэктыў, сышчык, шпіён
🕵‍♂ дэтэктыў, мужчына, сышчык, шпіён
🕵‍♀ дэтэктыў, жанчына, сышчыца, шпіёнка
💂 ахоўнік, варта, ганаровая варта, гвардыя
💂‍♂ ахоўнік, ганаровая варта, гвардыя, каравульны, мужчына
💂‍♀ ахоўніца, ганаровая варта, гвардыя, жанчына
🥷 баец, ніндзя, нябачны, схаваны
👷 будаўнік, будаўніцтва, каска, рабочы
👷‍♂ будаўніцтва, мужчына, мужчына-будаўнік, рабочы
👷‍♀ будаўніца, будаўніцтва, жанчына, работніца
🤴 прынц
👸 казачны, карона, прынцэса, фантазія
👳 турбан, чалавек у турбане
👳‍♂ мужчына, мужчына ў турбане, турбан
👳‍♀ жанчына, жанчына ў турбане, турбан
👲 мужчына, мужчына ў кітайскай шапачцы, цын, цюбецейка, шапка
🧕 жанчына ў хустцы, мантылья, хіджаб, хустка, ціхль
🤵 жаніх, мужчына, мужчына ў смокінгу, смокінг, чалавек у смокінгу
🤵‍♂ мужчына, мужчына ў смокінгу, смокінг
🤵‍♀ жанчына, жанчына ў смокінгу, смокінг
👰 вэлюм, вяселле, нявеста, нявеста ў вэлюме
👰‍♂ вэлюм, вяселле, мужчына, мужчына ў вэлюме
👰‍♀ вэлюм, вяселле, жанчына, жанчына ў вэлюме
🤰 цяжарная
🤱 грудзі, дзіця, кармленне, кормячая маці
👩‍🍼 дзіця, жанчына, жанчына корміць дзіця, кармленне
👨‍🍼 дзіця, кармленне, мужчына, мужчына корміць дзіця
🧑‍🍼 дзіця, кармленне, чалавек, чалавек корміць дзіця
👼 анёл, анёлак, дзіця, казачны, німб
🎅 дзед мароз, каляды, раство, Санта Клаус, свята
🤶 каляды, місіс клаус, місіс Клаус, новы год, снягурка
🧑‍🎄 Клаус, каляды, Раство, спадарыня Клаус
🦸 гераіня, герой, дабро, супергерой, суперсіла
🦸‍♂ герой, дабро, мужчына, мужчына-супергерой, суперсіла
🦸‍♀ гераіня, герой, дабро, жанчына, жанчына-супергерой, суперсіла
🦹 злачынца, зло, ліхадзей, суперзлачынца, суперсіла
🦹‍♂ злачынца, зло, ліхадзей, мужчына, суперзлачынец, суперсіла
🦹‍♀ жанчына, злачынца, зло, ліхадзей, суперзлачынка, суперсіла
🧙 ведзьма, вядзьмак, чараўнік, чараўніца
🧙‍♂ вядзьмак, чарадзей, чараўнік
🧙‍♀ ведзьма, чарадзейка, чараўніца
🧚 Абэрон, Пак, Тытанія, фея
🧚‍♂ Абэрон, мужчына-фея, Пак
🧚‍♀ жанчына-фея, Тытанія
🧛 бессмяротны, вампір, Дракула
🧛‍♂ бессмяротны, Дракула, мужчына-вампір
🧛‍♀ бессмяротны, вампірка
🧜 жанчына, мужчына, русалка, русалкі
🧜‍♂ мужчына-русалка, Трытон
🧜‍♀ жанчына-русалка, русалка
🧝 казачныя, эльф
🧝‍♂ казачны, мужчына-эльф
🧝‍♀ казачная, эльфійка
🧞 джын
🧞‍♂ джын, мужчына-джын
🧞‍♀ джын, жанчына-джын
🧟 жывы мярцвяк, зомбі
🧟‍♂ жывы мярцвяк, мужчына-зомбі
🧟‍♀ жанчына-зомбі, жывы мярцвяк
💆 масаж, салон, твар, чалавека масажуюць
💆‍♂ масаж, мужчына, мужчыну масажуюць, твар
💆‍♀ жанчына, жанчыну масажуюць, масаж, твар
💇 нажніцы, прыгажосць, стрыгчыся, цырульнік, чалавеку стрыгуць валоссе
💇‍♂ валоссе, мужчына, мужчыне стрыгуць валоссе, нажніцы, цырульня
💇‍♀ валоссе, жанчына, жанчыне стрыгуць валоссе, нажніцы, цырульня
🚶 пешшу, хадзьба, чалавек ідзе, шпацыраваць
🚶‍♂ мужчына, мужчына ідзе, пешшу, хадзьба, шпацыраваць
🚶‍♀ жанчына, жанчына ідзе, пешшу, хадзьба, шпацыраваць
🧍 стаяць, стойма, чалавек стаіць
🧍‍♂ мужчына, стаіць
🧍‍♀ жанчына, стаіць
🧎 кленчыць, стаяць на каленях, чалавек на каленях
🧎‍♂ мужчына, мужчына стаіць на каленях, стаіць на каленях
🧎‍♀ жанчына, жанчына стаіць на каленях, стаіць на каленях
🧑‍🦯 асаблівыя фізічныя патрэбы, інваліднасць, сляпы, чалавек з палкай
👨‍🦯 асаблівыя фізічныя патрэбы, інваліднасць, мужчына, мужчына з палкай, сляпы
👩‍🦯 асаблівыя фізічныя патрэбы, жанчына, жанчына з палкай, інваліднасць, сляпы
