🏻 jidh, jidh fudud, nooc 1–2
● goobad, goobad buuxda, goobada buuxa
◯ faraanti, goobad, goobad duleel weeyn
♪ muusik, sideedaad, xadhig, xadhiga sideedaad
😀 dareenka wajiga, gariir, wajiga
😃 afka, dhoola cadeyn, fur, muuqaalka wajiga indha weyn, muuqaalka wejiga indhaha weyn, wajiga
😄 afka, dareenka wajig oo indho dhoola cadeynaayo leh, dhoolo cadeyn, fur, indhaha, waji indho dhoola cadynaya leh, wajiga
😁 dhoola cadeyn, gariir, indho, waji, waji dhalaal indho dhoola cadeynaaayo leh, waji dhalaalaayo oo indho dhoolo cadeynaayo leh, wajiga
😆 afka, dareenka wajiga ee qoslaya, dhoola cadeyn, ku qanacsan yihiin, qosol, waji
😅 dhidid, dhoolo cadeyn, fur, qabow, waji, waji gariiraya oo dhidid leh, waji gariiraya oo dhididsan
🤣 dhulka, dhulka ku rafanaayo oo qoslaya, dhulka ku rafanaayo oo qosolaya, ku rafanaaya, qosl, waji
😂 farxad, ilin, qosol, waji, waji ilin farxad leh
🙂 dhoola cadeyn, face, waji yara dhoola cadeynaya
🙃 hoos u foorara, waji, waji hoos-hoos u raaraca
😉 face, il jibis, waji il jabinaaya, waji il jibinaaya
😊 dhoola cadeyn waji dhoola cadeynaaya oo indho dhoolo cadeynaaya leh, gududayn, il, waji, waji iyo indho dhoolo cadeynaaya
😇 dambi lahayn, khayaali, malaai’ig, waji, waji dhoolo cadeynaya, waji dhoolo cadeynaya wareeg leh, wareeg
🥰 burburin, jacleysto, jecel, qalbiyo, waji dhoolo cadeynaya qalbi
😍 dhoolo cadeyn, il, jaceyl, waji, waji dhoolo cadeynaya qalbi-indho
🤩 ilko cadeyn, indho, waji, xiddig, xiddig-dhufsaday
😘 shumis, waji, waji afuufayo dhunkasho, waji dhunkasho afuufayo
😗 dhunkasho, waji, wajiga dhunkashada
☺ deggan, dhoolo cadeyn, sharraxay, waji, waji dhoolo cadeynaya
😚 dhunkasho, il, waji, waji dhunkanaayo indho xiran, waji dhunkasho indho xiran, xiran
😙 dhunkasho, il, waji, waji dhunkanaayo indho dhoolo cadeynaya
🥲 caafimaaday, illin, ku faan, mahadinaya, taabtay, waaji ilin ladhoola cadeeynaya, waji qoslayo oo illin leh
😋 dhadhamin, dhoolo cadeyn mac, macaan, waji, waji cunto dhadhaminaayo
😛 carrab, waji, waji iyo carrab
😜 carrab, il, il jibis, kaftan, waji, waji il jabinaayo carrab leh
🤪 doqon, il, waji qallafsan, weyn, yar
😝 carrab, dhadhan, il, naxdin leh, waji, waji foolxun carrab leh
🤑 af, lacag, waji, waji af-lacag
🤗 hab, hab siin, waji, waji habsiinaaya
🤭 qoorta, waji afka gacan ka saaran
🤫 aamusan, ruxan, waji ruxmaya
🤔 fakar, waji, waji fakarsan
🤐 afka, jiinyeer, waji, waji af xiran, waji-af xiran
🤨 aamin darro, shaki, waji sunniyo kor u qaadan leh
😐 amakaag, dhexdhexaad, dhimasho, waji, waji dhexdhexaad ah
😑 aan waxqabad lahayn, amkaag, hadal la’aan, waji, waji aan muuqan lahayn
😶 aamusnaan, afka, waji, waji af la’aan, xasilloon
😶‍🌫 madax daruur ku jira, maqane-jooga, waji ciiro ku jira, waji daruur ku jira, waji daruuro ku jira
😏 isku dhaggan, waji, waji isku dhagan, waji isku dhaggan
😒 aan la daboolin, farxad la’aan, waji, waji aan la taaban karin
🙄 il wareeg, waji, waji indho wareegayo leh, wareeg
😬 naxdin, waji, waji naxdin leh
😮‍💨 foodhyid, hawo qadasho, nafisid, neefsasho, taah, waji afka kala qaday, xanshaashaq
🤥 jiif, qashin, waji, waji jiifo
😌 caawin, waji, waji niyad jabn
😔 caajis, diyaarsan, waji, waji caajisan
😪 hurdo, waji, waji hurdeysan
🤤 dhareer, waji
😴 hurdo, waji, waji hurdadeysan, waji hurdeysan
😷 dhakhtar, qabow, waji, waji maaskaro caafimaad leh
🤒 heerkulbeegga, jirro, waji, waji leh heerkulbeegga, waji leh heerkulbegga, xanuun
🤕 dhaawac, dhaawac ah, faashad, waji, waji leh faashad madaxeed, waji leh faashid madaxeed
🤢 lalabo, mantaq, waji, waji lalabo leh
🤮 jirro, mantaq, waji mantaq leh
🤧 hindhisho, u rajeyn caafimaad, waji, waji hindhisaayo
🥵 dhididaayo, istarooga kuleylka, kuleyl, waji cas, waji kulul, xummad
🥶 baraf, daalan, qaboobaayo, qaboow, qabow, waji qaboow
🥴 af qallocan, caajis, caara, daroogeysan, indho isla sinneyn, waji aan dagneyn
😵 waji, waji wareersan, wareer
😵‍💫 dawakhsan, dhibaato, waji indho wareegsan leh, wareeg, wareer, wareersan
🤯 madax qarxa, yaabay
🤠 koofi, koofigabadh, koofiwiil, waji, waji koofid leh
🥳 dabaaldeg, gees, koofi, waji farxadeysan, xaflad
🥸 ookiyaale, waji badalan
😎 dhalaal, dhoola cadeyn, ookiyaale, qabow, qorrax, waji, waji dhoola cadeynaya ookiyaala wato
🤓 aan muuqan, waji, waji xirfad la’aan, xirfad la’aan
🧐 cabsi, waji hal ookiyaalo leh
😕 amkaag, jah wareersan, waji, waji jah wareersan
😟 waji, walaacsan
🙁 macbuus, waji, waji yara macbuusan
☹ macbuus, waji, waji macbuusan
😮 af, furan, naxariis, waji, waji af furan leh
😯 la yaabay, nadiif ah, waji, waji iftiimaayo
😲 amkaag, guud ahaan, la yaab, waji, waji amakaagsan
😳 gariir, jeexay, waji, waji xishood leh
🥺 baryid, indho ilmeeynaayo, naxariis, waji doodaayo, waji doodsan
😦 afka, fur, macbuus, waji, waji macbuus af furan leh
😧 waji, waji xanaaqsan, xanaaq
😨 cabsanaayo, cabsi, cabsi leh, waji, waji cabsi leh
😰 baluug, dedegid, dhidid, qabow, waji, waji walaacsan oo dhidid leh
😥 dabacsan, markaa, niyadjabsan, waji, waji xanaaqsan laakiin dabacsan
😢 jeexid, murugo, oohin, waji, waji ooynaayo
😭 jeexid, murugo, oohin, waji, waji zaaid u ooynaayo
😱 cabsaday, cabsi, foorid, qeeylo, waji, waji cabsi darteed u qeylinaayo, waji cabsi la qeylinaayo
😖 aad u baqday, waji, waji shakisan
😣 dulqaad, waji, waji dulqaad leh
😞 niyad jab, waji, waji niyadjabsan
😓 dhidid, qabow, waji, waji hoos u dhacsan oo dhididsan
😩 daal, daalan, waji, waji daal ka muuqdo
😫 daal, waji, waji daalan
🥱 cajisan, daallan, hammaansasho, waji hammaansanaya
😤 guul, guuleysi, waji, waji sanka qiiqaayo
😡 caro, gaduud, waali, waji, waji xanaaq leh, xanaaq
😠 waali, waji, waji careysan, xanaaq
🤬 dhaaranaaya, waji afka calaamada ku leh
😈 dhoolo cadeyn, geeso, khayaali, sheeko been ah, waji, waji dhool cadeynaayo geeso leh, waji dhoolo cadeynaayo geeso leh
👿 jinni, khayaali, shayddaan, waji, waji xanaaqsan geeso leh
💀 dhimasho, laf madaxa, sheeko been ah, waji, xayawaan
☠ dhimasho, iskutallabta, laf madaxa, laf madaxa iyo iskutallabta, shayddaan, waji
💩 dhabcaan, raso saxaro ah, riix, saxaro, shayddaan, waji
🤡 shactiro, waji, waji qosol leh
👹 dad cun, khayaali, noole, shayddaan, sheeko been, waji
👺 khayaali, noole, noole foolxun, shayddaan, sheeko been, waji
👻 khayaali, noole, reer-aakhiraad, shayddaan, sheeko been, waji
👽 dahsoon, ka baxsan, khayaali, noole, shisheeye, waji
👾 dahsoon, ka baxsan, noole, shayddaan, shayddaan shisheeye ah, shisheeye, waji
🤖 mashiin, shaddaan, waji
😺 af, bisad, bisad ba’an, dhoolo cadeyn, fur, gariir, waji
😸 bisad, bisad gariireyso indha dhoolo cadeyneysa, dhoolo cadeyn, gariir, il, waji
😹 bisad, bisad illin faraxded leh, face, farxad, jeexid
😻 bisad, bisad dhoolo cadeyneysa qalbi leh, dhoolo cadeyn, il, jaceyl, wadno, waji
😼 bisad, bisad kaftan dhoolo cadeyn leh, dhoolo cadeyn, kaftan, kajan, waji
😽 bisad, bisad shuminayso, il, shumis, waji
🙀 baqdin, bisad, bisad baqdin leh, la yaab, waji
😿 bisad, bisad ooyneeysa, ilin, murugo, oohin, waji
😾 bisad, waji, xanaaqsan
🙈 aan arkeyn daanyeer xun, aan-arkeyn-daanyeer xun, aragti, daanyeer, la mamnucay, waji, xumaan
🙉 aan-maqaleyn-daanyeer xun, aan-maqleynin-daanyeer xun, la mamnuucay, maqal, waji, xumaan
🙊 aan la hadleynin daanyeer xun, aan-la-hadleynin daanyeer xun, daanyeer, hadal, la mamnuucay, waji, xumaan
💋 bishimo, calaamadda dhunkashada, dhunkasho
💌 boosto, jaceyl, wadno, warqad
💘 calaamad qof qaawan, fallaar, wadno leh fallaar
💝 maalinta Valentine, wadno lagu xiray maro, wadno mara lagu xiray, xabo
💖 dhalaal, farxad, wadno dhalaalaayo
💗 farxad, garaaca wadnaha, kobcis, naxsan, wadno kobcayo, wadno kubcayo
💓 garaacis, jahwareer, wadno garaac, wadno garaacaayo
💞 wadno warwareegaayo, wareeg
💕 jaceyl, laba wadno, labo wadno
💟 qurxinta wadnaha, wadno
❣ amkaag, astaameyn, calaamad, calaamad ujeedka wadnaha, claamad ujeedka wadnaha
💔 jabay, jabis, wadno jaban
❤‍🔥 gubasho, jacayl, lahasho, wadne, wadne ololaya, wadne xurmaysan
❤‍🩹 caafimad qaba, fiican, karan, soo boqsanaya, soo kabanaya, wadne dhaawacan
❤ wadno, wadno cas
🧡 oranji, wadno oranji ah
💛 jaalle, wadno jaalle ah
💚 cagaar, wadno cagaaran
💙 buluug, wadno buluug ah
💜 buluug-guduud, wadno midab buluug-guuud ah, wadno midab-buluug-guddud ah
🤎 bunni, wadne, wadne bunni ah
🖤 madoow, wadno madoow, xumaan, xun
🤍 cad, wadne, wadne cad (cabsi og)
💯 boqol, boqol dhibco, boqol dhico, buuxo, dhibcaha
💢 calaadda xanaaqa, calaamadda xanaaqa, majaajileeye, xanaaq
💥 calaamadda qaraxa, isku dhac, isku dhicis, majaajilleeye
💫 majaajileeye, wareer, xiddig
💦 dhibco dhidid, dhibco dhidid ah, dhidid, majaajileeye, sayrin
💨 majaajileeye, ordaayo, tagaayo, tagid
🕳 god
💣 bam, majaajileeye
💬 balluun, hadal, majaajileeye, wada hadal, xumbo
👁‍🗨 il, il xumbo hadal ku leh, marqaati, xumbo hadal
🗨 wada hadal, xumbo hadal bidix
🗯 baaluun, waali, xanaaq, xanaaqa xumbo midig, xumbo
💭 baalluunta fakarka, baaxumbo, fakarka, lbaaluun, majaajileeye
💤 hurdo, majaajileeye, zzz calaamadda hurdada, zzz- calaamadda hurdada
👋 gacan, gacan haadin, haadi, haadinayaa
🤚 gacanta gadaal, kor u qaaday gacanta gadaal, kor u qaadid
🖐 far, gacan, gacan iyo faraha ayaa lagu fidiyay
✋ gacan, gacan kor loo qaaday, gacan kor loo qaday
🖖 fara salaan, gacan, isku-dhaf, salaan sharaf, sharaf
👌 gacan, gacanta saxda ah, sax
🤌 faro la isku wada duubay, tilmaamta gacanta
🤏 qaddar yar, qanjaruufo
✌ gacanta, guusha, v
🤞 Alla bari, far, faraha gudban, faraha gudban; Alla bari, faro isdhaafsan, gacan, iskutallaab, nasiib
🤟 gacan, meedaarta waan ku jecelahay, meedaarta waan ku jecelahay ah, WKJ
🤘 calaamadda geesaha, far, gacan, geesaha, qirid
🤙 gacan, gacanta ah isoo wac, isoo wac, wac
👈 bidix, far, farta muujinta gacanta gadaale tilmaamaysa bidix, gacan, Gacan tilmaamaysa bidix, gacanta gadaal, muujin, tilmaam
👉 far, farta muujinta gacanta gadaale tilmaamaysa midig, gacan, gacan tilmaamaysa midig, gacanta gadaale, muujin, tilmaam
👆 far, farta muujinta gacanta gadaale tilmaamaysa kor, gacan, gacan tilmaamaysa kor, gacanta gadaal, kor, tilmaam
🖕 far, farta dhexe, gacan
👇 far, farta muujinta gacanta gadaale tilmaamaysa hoos, gacan, gacan tilmaamaysa hoos, gacanta gadaale, hoos, tilmaam
☝ far, farta muujinta tilmaamaysa kor, gacan, kor, muujinta, muujinta tilmaamaysa kor, tilmaam
👍 +1, gacan, kor, suul, suulka kor
👎 -1, gacan, hoos, suul, suulka hoos
✊ feer tuur, gacan, kor u qaadid tantoonyo, kor u qaadid tantoonyo (feer), tantoonyo, xannibay
👊 feer soo socoto, feer tuuris, gacan, tantoonyo, tantoonyo soo socota, xanniban
🤛 dhanka bidix, feerka, feerka tilmaamaya bidix, feerka tilmaamaysa bidix
🤜 dhanka midig, feerka, feerka tilmaamaya midig
👏 gacan, sacab, sacabinta gacmaha
🙌 baraawo, dabbaaldeg, gacan, gacmo kor u taagid, kor u taagid, meedaar
👐 furan, gacan, gacmo furan
🤲 calaacalaha si wadajir ah kor loo taaggo, calaacalaha si wadajir ah kor loogu taaggo, duco
🤝 gacan, gacan-qaadka salaanta, heshiiska, kulan, salan
🙏 duco, fadlan, gacan, gacmo laaban, mahadsanid, weydiin
✍ gacan, gacan wax qoraysa, qor
💅 ciddi, daryeel, dhalaalinta, dhalaalinta ciddiyaha, qurxinta, qurxinta ciddiyaha
🤳 kamarad, sawir iska-qaadis, taleefoon
💪 kalagoyska suxulka, kalagoyska suxulka laaban, laab, majaajilada, muruq, suxulka oo laaban
🦾 awood leh, gacan mashiin ah, lug bir galis ah
🦿 la heli karo, lug bir galis ah, lug mashiin ah
🦵 addinka, laad, lug
🦶 cagta, laad, tallaabo xooggan
👂 dhagta, jirka
🦻 dhag leh gargaarka maqalka, la heli karo, maqalka adag
👃 jirka, sanka
🧠 caqli badan, maskax, maskaxda
🫀 garaaca wadnaha, garaaca wadnaha, dawada wadnaha, wadnaha, xubin, wadna garaaca
🫁 neef, neef bixinta, neef qaadashada, sambabka, xubin, neefsashada, sambabka
🦷 dhakhtarka ilkaha, ilig
🦴 laf, qalfoof
👀 il, indhaha, waji
👁 il, jir
👅 carab, jir
👄 af, bishimo
👶 cunug, yar
🧒 dhexdhexaadnimada jinsiga, ilmo, jinsiga aan la sheegin, yar
👦 wiil, yar
👧 gabar, waalidka, yar, zodiac
🧑 dhexdhexaadnimada jinsiga, jinsiga aan la sheegin, qof, qof weyn
👱 qof timo cad leh, qof: timo cad, timo, timo cad
👨 nin, ninka, qof weyn
🧔 gar, nin, nin: gar, qof
🧔‍♂ gadh, nin, nin: gadh
👱‍♂ nin, nin timo cad, nin: timo cad, timo, timo cad
👩 naag, qof weyn
🧔‍♀ gabadh, gabadh: gadh, gadh
👱‍♀ naag, naag timo cad, naag: timo cad, timo, timo cad
🧓 dhexdehexaadnimada jinsiga, jansiga aan la sheegin, qof weyn, weyn
👴 nin, nin da’ weyn, qof weyn, weyn
👵 da’ weyn, naag, naag weyn, qof weyn
🙍 qof wajiga kaduudaya, waji kaduudid
🙍‍♂ meedaar, nin, nin wajiga kaduudaya, waji kaduudidda
🙍‍♀ meedaar, naag, naag wajiga kaduudaya, waji kaduudidda
🙎 bushin qaniinidda, meedaar, qof bushinta qaniinaya
🙎‍♂ bushin qaniinidda, meedaar, nin, nin bushinta qaniinaya
🙎‍♀ bushin qaniinidda, meedaar, naag, naag bushinta qaniinaysa
🙅 gacan, mamnuuc, meedaar, qof ku meedaaraya MAYA, reebban
🙅‍♂ gacan, mamnuuc, meedaar, nin ku meedaaraya MAYA, qof ku meedaaraya MAYA, reebban
🙅‍♀ gacan, mamnuuc, meedaar, naag, naag ku meedaaraysa MAYA, reebban
🙆 gacan, HAA, meedaar, naag ku meedaaraysa HAA, qof ku meedaaraya HAA
🙆‍♂ gacan, meedaar, nin, nin ku meedaaraya HAA
🙆‍♀ gacan } HAA, haweeney ku meedaaraysa MAYA, meedaar, naag, naag ku meedaaraysa HAA
💁 bixinaya, caawin, daacad ah, gacan, qof warbixin bixinaya, warbixin
💁‍♂ daacad, nin, nin war bixinaya, nin warbixin bixinaya, warbixin bixin
💁‍♀ daacad, naag, naag warbixin bixinaysa, warbixin bixin
🙋 farxad, gacan, meedaar, qof gacan taagaya, qof gcan taagaya, taagay
🙋‍♂ gacan taagid, meedaar, nin, nin gacan taagaya, nin gcan taagaya
🙋‍♀ gacan taagid, meedaar, naag, naag gacan taagaysa
🧏 awood u yeelid, dhag, dhagoole, maqal, qof dhagoole ah
🧏‍♂ dhagoole, nin, nin dhagoole ah
🧏‍♀ dhagoole, naag, naag dhagoole ah
🙇 ka xummaansho, meedaar, qof fooraraya, raaligalin, waji foorarin
🙇‍♂ ka xummaansho, meedaar, nin, nin fooraraya, raaligalin, roonaan, waji foorarin
🙇‍♀ ka xummaansho, madax foorarin, meedaar, naag, naag fooraraysa, raaligalin, roonaan
🤦 aammin darro, calaacal, caro, qof calaacal waji saaranaya, qof waji calaacal saaranaya, waji
🤦‍♂ aammin darro, calaacal waji saaris, caro, nin calaacal waji saaranaya
🤦‍♀ aammin darro, calaal waji saar, caro, naag, naag calaacal waji saaranaysa
🤷 aan danaynayn, garba-ruxida, jaahilnimo, qof garba-ruxaya, shaki
🤷‍♂ aan danaynayn, garba-ruxid, jaahilnimo, nin, nin garba-ruxaya, shaki
🤷‍♀ aan danaynayn, garba-ruxid, jaahilnimo, naag, naag garba-ruxaysa, shaki
🧑‍⚕ dhaqtar, shaqaale caafimaad, daryeel caafimaad, kalkaaliso, daweeyaha, shaqaale caafimaad
👨‍⚕ daryeel caafimaad, daweeye, dhakhtar, kalkaaliye, nin, nin shaqaale caafimaad ah
👩‍⚕ daryeel caafimaad, daweeye, dhakhtar, kalkaaliso, naag, naag shaqaale caafimaad ah
🧑‍🎓 arday, Arday, qalin jabiye
👨‍🎓 arday, nin, nin arday ah, qallinjabin
👩‍🎓 arday, naag, naag ardayad ah, qallinjabin
🧑‍🏫 bare, macallin
👨‍🏫 barafasoor, hagge, macallin, nin, nin macallin ah
👩‍🏫 barafasoor, hagge, macallin, naag, naag macallimad ah
🧑‍⚖ qaalli, qaalli, miisaanka
👨‍⚖ caddaalad, miisaan, nin, nin garsoore ah
👩‍⚖ garsoore, miisaanka, naag, naag garsoore ah
🧑‍🌾 Beeraley, beeraley. beer ilaaliye, waardiye
👨‍🌾 beer-qote, beeraleey, beerinfoof, nin, nin beeraleey ah
👩‍🌾 beer-qote, beeraleey, beerinfoof, naag, naag beeraleeyad ah
🧑‍🍳 cunno kariye, madaxa sare, cunno kariye
👨‍🍳 kariye, madaxa kariyaha, nin, nin kariye ah
👩‍🍳 kariye, madaxa kariyaha, naag, naag kariso ah
🧑‍🔧 makaanik, tuubeeyste
👨‍🔧 dhuumo yaqaan, ganacsade, koronto yaqaan, makaanik, nin, nin makaanik ah
👩‍🔧 dhuumo yaqaan, ganacsade, koronto yaqaan, makaanik, naag, naag makaanikad ah
🧑‍🏭 kulan laysku ururay, shaqaale warshadeed
👨‍🏭 isugeynta, nin, nin shaqaale warshad ah, shaqaale, warshad, warshad ah
👩‍🏭 isugeynta, naag, naag shaqaale warshad ah, shaqaale, warshad, warshad ah
🧑‍💼 ajitekjar, ganacsi, maamule, shaqaale xafiis, white-collar, shaqaale xafiis
👨‍💼 ganacsi, maamule, muhindis dhismo, nin, nin shaqaale xafiis ah, shaqo xafiiseed
👩‍💼 ganacsi, maamule, muhindiska dhismaha, naag, naag shaqaale xafiis ah, naag xafiis ka shaqaysa, shaqo xafiis
🧑‍🔬 biyolojisti, kimistyahan, injineer, fisikyahan, saynisyahan, saynisyahan
👨‍🔬 cilmiga nafleeyda barta, farmashiiste, injineer, khabiirka cilmiga sayniska, khabiirka fiisikiska, nin, qabiir saynisyahan ah, saynisyahan
👩‍🔬 cilmiga nafleeyda barta, farmashiiste, haweeney cilmi sayniska taqaan, injineer, khabiirka cilmiga sayniska, khabiirka fiisikiska, naag
🧑‍💻 koodhar, horumariye, soo saare, softwaayar, tiknoolajiste, Tiknoolajiste
👨‍💻 hindise, injineer, Injineer, naag, nin tiknoolijiste ah, soo saare, sooftawee, tinkoolijiste
👩‍💻 hindise, injineer, naag, naag tiknoolijisate ah, soo saare, sooftawee, tiknoolijiste
🧑‍🎤 heesaa, jillaa, madadaaliye, rook, heesaa, xidig
👨‍🎤 atoore, fannaan, maddadaaleeye, nin, nin fannaan ah, xiddig, xiddig heesaa
👩‍🎤 atoore, fannaan, maddadaaleeye, naag, naag fannaanad ah, xiddig, xiddig heesaa
🧑‍🎨 fanaan, fanaan, laxan
👨‍🎨 farsama yaqaan, nin, nin farsama yaqaan ah, qalab farsamo
👩‍🎨 farsama yaqaan, naag, naag farsama yaqaan ah, qalab farsamo
🧑‍✈ darawal dayuurad, darawal dayuurad, dayuurad
👨‍✈ diyaarad, duuliye, nin, nin duuliye ah
👩‍✈ diyaarad, duuliye, naag, naag duuliye ah
🧑‍🚀 dayax u safre, gantaal
👨‍🚀 cir bixiyeen, gantaal, nin, nin cirbixiyeen ah
👩‍🚀 cir bixiyeen, gantaal, naag, naag cir bixiyeenad ah
🧑‍🚒 dab damis, taraaga dabka
👨‍🚒 dab-demis, gaariga dab-demiska, nin, ninka dab-demiska ah
👩‍🚒 dab-demis, gaariga dab-demiska, naag, naag dab-demis ah
👮 booliska, sarkaal, sarkaal boolis
👮‍♂ booliska, nin, nin sarkaal boolis ah, sarkaal, sarkaal boolis
👮‍♀ booliska, haweeney sarkaal boolis ah, naag, sarkaal, sarkaal boolis ah
🕵 dambi-baare, dambi-baare gaar ah, jaajuus
🕵‍♂ dambi-baare, dambi-baare gaar ah, jaajuus, nin, nin dambi-baare ah
🕵‍♀ dambi-baar gaar ah, dambi-baare, jaajuus, naag, naag dambi-baarto ah
💂 ilaaliye
💂‍♂ ilaaliye, nin, nin illaaliye ah
💂‍♀ haweeney, haweeney ilaaliye ah, ilaaliye
🥷 dagaalyahan, ninja, qarsoon, sir ah
👷 dhismo, koofiyad, shaqaale
👷‍♂ dhismo, nin, nin shaqaale dhismo ah, shaqaale
👷‍♀ dhismo, naag, naag shaqaale dhismo ah, shaqaale
🤴 boqor
👸 boqorad, khiyaali, sheeko cirfiid
👳 cammaamad, qof cammaamad xiran, qof xiran cammaamad
👳‍♂ cammaamad, nin, nin cammaamad xiran
👳‍♀ cammaamad, naag, naag cammaamad xiran
👲 koofiyad, koofiyadda lafta madaxa, nin, nin xiran koofiyadda shiinaha
🧕 juuniyad, masar, naag xiran qammaar, qammaar, xijaab
🤵 caruus, nin, nin xiran suudka rasmiga, nin xiran suudka rasmiga ah, suudka rasmiga ah
🤵‍♂ nin, nin xidhan suut ka rasmiga ah, nin xidhan suutka rasmiga ah, suut
🤵‍♀ gabadh, gabadh suut xidhan, gabadh xidhan suut, suut
👰 aroos, caruusad, niqaam, shaqsi, shaqsi niqaam xidhan, shaqsi niqaaman
👰‍♂ nin, nin niqaaban, nin niqaamaban, niqaab\
👰‍♀ gabadh, gabadh niqaaban, naag niqaaban, niqaab
🤰 haweeney, haweeney uur leh, uur leh
🤱 canug, naas, naas-nuujin, xannaanaynta
👩‍🍼 canug, quudin, kalkaalin,naag, naag canug quudineeysa
👨‍🍼 canug, quudin, nin, kalkaalin, nin canug quudinaya
🧑‍🍼 canug, kalkaalin, qof, qof canug quudinaya, qof quudinaya canug, quudin
👼 canug, khiyaali, malaa’ig, malaa’igta caruurta, sheeko cirfiid, waji
🎅 Aabaha ciidda Masiixigga, Aabaha Ciidda Masiixigga, aabaha farxdda, aabe, Alla ka cabsi, Ciidda Masiixigga, dabbaaldeg
🤶 Alla ka cabsi, ciidda masiixigga, dabbaaldeg, hooyo, Marwada Masiixigga, Marwo
🧑‍🎄 Claus, ciida masiixiga, mx claus
🦸 awood sareeysa, geesi, geesiyad, halyeey ah, wanaagsan
🦸‍♂ awood sareeysa, geesi, nin, nin halyeey ah, wanaagsan
