㔩 Qop
㙐 Njiuɛn
㟼 Ngɑu
㣐 Bhæng
㩳 Siǒng
匿 Niək
區 Gou Kio
十 *Zhip
千 *Tsen
升 *Shiəng
午 Ngǒ
卉 Xiuə̀I Xiuə̌I
半 Bɑ̀N
卑 Biɛ
卒 *Tzuət Tsuət Tzuit
卓 Djak
協 Hep
南 *Nom
博 *Bɑk Bɑk
卜 *Buk
占 Jiɛm
印 Qìn
危 *Ngyuɛ
却 *Kiɑk
卷 *Gyuɛ̌N Gyuɛ̀N
卹 Suit
卻 *Kiɑk
卽 *Tziək
卿 *Kiæng
厚 Hòu Hǒu
原 *Ngiuæn
厥 Giuæt
厭 *Qiɛ̀M
厲 *Liɛ̀I
去 *Kiù
参 *Chrim Shrim Tsom
又 *Hiòu
及 *Ghyip
友 Hiǒu
反 *Biæ̌N
取 *Tsiǒ
受 *Zhiǒu
叟 *Sǒu
叢 *Dzhung
口 *Kǒu
古 *Gǒ
句 *Giò
叩 Kǒu
只 *Jǐɛ
叫 Gèu
召 Djhiɛ̀U
可 *Kɑ̌
台 *Təi
叱 Chit
史 *Shriə̌
右 *Hiòu
司 *Siə
吁 Xio
各 *Gɑk
合 *Hop
吉 Git
同 *Dhung
名 *Miæng
吏 *Liə̀
吐 *Tǒ
向 *Xiɑ̀Ng
君 *Giuən
吞 *Tən
吟 *Ngyim
吠 Bhiæ̀I
否 Biǒu
含 *Hom
吮 Jhuǐn
吳 *Ngo
吴 *Ngo
吸 Xyip
吹 *Chiuɛ Chiuɛ̀
吻 Miə̌N
吼 Xòu Xǒu
吾 *Ngo
呀 Nga Xa
呂 *Liǔ
告 *Gɑ̀U
呎 *Jiɛ̌
呦 Giəu
周 *Jiou
味 *Miə̀I
呵 Xɑ
呻 Shin
呼 *Xo
命 *Miæ̀Ng
咄 Duɑt Duət
咆 Bhɑu
和 *Huɑ Huɑ̀
咍 Xəi
咎 Ghiǒu
咏 Hiuæ̀Ng
咤 Djà
咨 Tzi
咬 Gǎu
咷 Dhɑu
咸 *Hæm
咽 *Qet
哀 *Qəi
品 Pǐm
員 Hyuɛn
哥 Gɑ
哦 Ngɑ
哭 *Kuk
哲 Djiɛt
哳 Djɛt
哺 Bhò
唇 Jhuin
唏 *Xiə̌I Xiə̀I
唐 Dhɑng
唯 *Ui
唱 *Chiɑ̀Ng
唳 Lèi
啄 *Duk Djak
商 *Shiɑng
問 *Miə̀N
啖 Dhɑ̌M
啜 Chiuɛt
啞 Qà
啼 *Dhei
啾 *Tziou
善 *Zhiɛ̌N
喘 Chiuɛ̌N
喚 Huɑ̀N
喜 *Xiə̌
喝 Xɑt
喞 Tziək
喧 *Xiuæn
喪 *Sɑ̀Ng
喬 Ghyɛu
單 *Zhiɛn Dɑn
喻 Iò
嗁 *Dhei
嗔 Chin
嗚 *Qo
嗟 *Tzia
嗣 Ziə̀
嗤 Chiə
嗷 Ngɑu
嘆 Tɑn Tɑ̀N
嘈 Dzhɑu
嘉 Ga
嘔 Qou Qǒu
嘗 *Zhiɑng
嘯 *Sèu
嘲 Djau
嘴 Tziuɛ̌
嘶 *Sei
噉 Dhɑ̌M
噓 Xiu Xiù
器 Kyì
噪 Sɑ̀U
噫 Qiə
噬 Zhiɛ̀I
噭 Gèu
噴 Pən
嚬 Bhin
嚱 Xyɛ̀
嚴 *Ngiæm
嚼 Dzhiɑk
囀 Djiuɛ̀N
囊 *Nɑng
囑 Jiok
囓 Nget
囚 Zhiou
四 *Sì
回 *Huəi
因 *Qin
困 *Kuə̀N
囷 Kyun
固 *Gò
圃 Bǒ
圉 Ngiǔ
國 *Guək
圍 *Hiuəi
園 *Hiuəi
圓 *Hyuɛn
圖 *Dho
團 Dhuɑn
土 *Tǒ
在 *Dzhə̌I
圭 *Guei
圯 Iə
地 *Dhì
圻 Ghiəi
坂 Biæ̌N
均 Guin
坊 Biɑng
坎 *Kǒm
坐 *Dzhuɑ̀ *Dzhuɑ̌
坑 Kæng
坡 Pɑ
坤 *Kuən
坦 Tɑ̌N
坳 Qau
坼 *Tjæk
垂 *Zhiuɛ
垓 Gəi
垞 *Djhæk
垠 Ngiən Ngyin
垢 Gǒu
垣 Hiuæn
埃 *Qəi
埋 *Mæi
城 *Zhiɛng
域 Hiuək
執 Jip
基 Giə
埽 *Sɑ̌U
堂 *Dhɑng
堅 *Gen
堆 *Duəi
堞 Dhep
堪 *Kom
堯 *Ngəu
報 *Bɑ̀U
場 *Djhiɑng
堵 Dǒ
塊 Kuɑ̀I
塋 Iuɛng
塒 Zhiə
塔 Tɑp
塗 *Dho
塘 *Dhɑng
塚 *Djiǒng
塞 *Sək *Sə̀I
塡 Dhen
塢 Qǒ
塤 Xiuæn
填 Dhen
塵 *Djhin
塹 Tsiɛ̀M
墀 *Djhi
墇 *Giæ̌Ng
墉 Iong
墓 Mò
墜 *Djhuì
增 *Tzəng
墟 Kiu
墨 Mək
墮 Dhuɑ̌
墳 *Bhiən
壁 Bek
壇 Dhɑn
壈 Lǒm
壑 *Xɑk
壓 *Qap Qiɛp
壕 Hɑu
壘 *Luǐ
壚 Lo
壞 Huæ̀I
壟 Liǒng
壤 Njiɑ̌Ng
士 *Jrhiə̌
壯 *Jriɑ̀Ng
壹 Qit
壺 *Ho
壻 Sèi
壽 Zhiòu Zhiǒu
夏 *Hǎ
夔 Ghyui
夕 *Ziɛk
外 *Nguɑ̀I
夙 Siuk
多 *Dɑ
夜 *Ià
夢 *Mùng
夤 In
大 *Dhɑ̀I
天 *Ten
太 *Tɑ̀I
夫 *Bio Bhio
夭 Qyɛ̌U
央 Qiɑng
失 *Shit
夷 I
夸 Kua
夾 *Gæp
奇 *Ghyɛ Gyɛ
奈 *Nɑ̀I
奉 *Bhiǒng
奏 Tzòu
契 *Kèi Ket Set
奔 *Bən
奕 Iɛk
奚 Hei
奠 Dhèn
奡 Ngɑ̀U
奢 Shia
奧 Qɑ̀U
奪 *Dhuɑt Dhuɑt
奮 Biə̀N
奰 Bhyì
女 *Niǔ *Njiǔ
奴 *No
好 *Xɑ̀U *Xɑ̌U
如 *Njiu
妃 *Piəi
妄 Miɑ̀Ng
妍 Ngen
妒 Dò
妓 Ghyɛ̌
妖 *Qyɛu
妙 *Miɛ̀U
妝 *Jriɑng
妤 Iu
妥 Tuɑ̌
妨 Piɑng Piɑ̀Ng
妬 Dò
妲 Dɑt
妹 *Mə̀I
妻 *Tsei
妾 *Tsziɛp
姊 Tzǐ
始 *Shiə̌
姑 *Go
姓 Siɛ̀Ng
委 *Gyuɛ Gyuɛ̌
姚 Iɛu
姥 Mǒ
姦 Gan
姨 I
姬 Giə
姮 *Həng
姿 *Tzi
威 *Qiuəi
娉 Piɛng
娑 Sɑ
娘 *Niɑng
娟 *Qiuɛn
娥 *Ngɑ
娱 Ngio
娿 Qɑ
婁 Lou
婆 Bhɑ
婉 Qiuæ̌N
婕 Tziɛp
婚 Xuən
婢 Bhiɛ̌
婦 *Bhiǒu
婪 Lom
媒 Məi
媕 Qom
媚 Myì
媧 Gua
嫁 *Gà
嫋 *Něu
嫌 *Hem
嫖 Piɛu
嫗 Qiò
嫜 Jiɑng
嫦 *Həng
嫩 Nuə̀N
嫪 Lɑ̀U
嫫 Mo
嬋 Zhiɛn
嬌 *Gyɛu
嬪 Bhin
嬰 Qiɛng
嬴 Iɛng
嬾 Lɑ̌N
孃 *Niɑng
孌 Liuɛ̌N
子 *Tziə̌
孔 *Kǔng
字 *Dzhiə̀ Dzhiə̀
存 *Dzuən
孛 Bət Bə̀I
孜 Tziə
孝 Xàu
孟 *Mæ̀Ng
季 Gì
孤 *Go
孥 No
孩 Həi
孫 *Suən
孰 *Zhiuk Zhiuk
孱 Jrhiɛn
學 *Hak
孽 Ngiɛt
宅 *Djhæk
宇 *Hiǒ
守 *Shiǒu
安 *Qɑn
宋 *Sòng
完 *Huɑn
宏 Huɛng
宓 Myit
宗 *Tzong
官 *Guɑn
宙 Djhiòu
定 *Dhèng
宛 Qiuæn Qiuæ̌N
宜 *Ngyɛ
客 *Kæk
宣 *Siuɛn
室 *Shit
宦 *Huàn
宮 *Giung
宰 *Tzə̌I Tzə̌I
害 *Hɑ̀I
宴 *Qěn Qèn
宵 *Siɛu
家 *Ga
宸 Zhin
容 *Iong
宿 *Siuk Siòu
寂 *Dzhek
寃 Qiuæn
寄 *Gyɛ̀
寅 In
密 *Myit
寇 Kòu
富 *Biòu
寐 Mì
寒 *Hɑn
寓 Ngiǒ
寞 *Mɑk
寡 Guǎ
寢 *Tsǐm
寥 *Leu
實 *Jhit
寧 *Neng Neng
寫 *Siǎ
寬 Kuɑn
寮 Leu
寰 Huan
寵 *Tjiǒng
寶 *Bɑ̌U
寸 *Tsuə̀N
寺 *Ziə̀
封 Biong
射 *Jhià Ià Jhiɛk
將 *Tziɑng *Tziɑ̀Ng
專 Jiuɛn
尉 Qiuə̀I
尊 *Tzuən
尋 *Zim
對 *Duə̀I
導 Dhɑ̀U
小 *Siɛ̌U
少 *Shiɛ̀U *Shiɛ̌U
尚 *Zhiɑ̀Ng Zhiɑ̀Ng
尤 *Hiou
就 *Dzhiòu
尹 Iǔn
尺 *Chiɛk
尼 Ni
尾 *Miə̌I
局 Ghiok
居 Giu
屈 *Kiuət Ghiuət
屋 *Quk
屍 Shi
屏 *Bheng
屐 Ghiæk
屑 Set
屓 Xyì
展 *Djiɛ̌N
屛 *Bheng Biɛ̌Ng
屠 *Dho
屢 Liò
屣 Shiɛ̌
層 *Dzhəng
履 *Lǐ
屬 *Jiok Zhiok
屯 Dhuən Djuin
山 *Shrɛn
屹 Ngiət
屼 *Nguət
岌 Ngyip
岐 Ghiɛ
岑 Jrhim
岡 Gɑng
岧 Dheu
岩 *Ngam
岫 Ziòu
岱 Dhə̀I
岳 *Ngak
岷 Myin
岸 *Ngɑ̀N
峒 Dhung
峞 Nguə̌I
峨 *Ngɑ
峰 *Piong
峴 Hěn
島 *Dɑ̌U
峻 Suìn
峽 *Hæp
崆 Kung
崇 Jhriung
崎 Ghiəi
崑 *Kuən
崒 Dzhuət
崔 Tsuəi
崖 *Ngɛi
崙 Luən
崟 Ngyim
崢 *Jrhɛng Jrhæng
崦 Qyɛm Qyɛ̌M
崩 *Bəng
崿 Ngɑk
嵇 Hei
嵋 Myi
嵌 Kam
嵐 Lom
嵩 *Siung
嵬 *Nguəi
嵯 *Dzhɑ
嵲 Nget
嵸 Tzung Tzǔng
嵽 Dhet
嶂 Jiɑ̀Ng
嶇 Kio
嶔 Kyim
嶢 Ngeu
嶱 Gɑt
嶸 *Huɛng
嶺 *Liɛ̌Ng
嶽 *Ngak
巃 Lung Lǔng
巇 Xyɛ
巉 Jrham
巍 Ngiuəi
巒 Luɑn
巔 *Den
巖 *Ngam
巘 Ngiæ̌N
川 *Chiuɛn
州 *Jiou
巡 Zuin
巢 *Jrhau
工 Gung
左 Tzɑ̌
巧 Kǎu
巨 Ghiǔ
巫 *Mio
差 *Chriɛ
己 Giə̌
已 *Iə̌
巴 *Ba
巵 Jiɛ
巷 *Hàng
巾 *Gin
帀 Tzop
市 *Zhiə̌
布 *Bò
帆 *Bhiæm
希 Xiəi
帖 Tep
帙 Djhit
帚 Jiǒu
帛 Bhæk
帝 *Dèi
帥 Shruì
帨 Chiuɛ̀I Shiuɛ̀I
師 *Shri
席 *Ziɛk
帳 *Djiɑ̀Ng
帶 *Dɑ̀I
帷 Hyui
常 *Zhiɑng
帽 *Mɑ̀U
幃 *Hiuəi
幄 Qak
幅 Biuk
幔 Mɑ̀N
幕 *Mɑk
幘 Jrɛk
幙 *Mɑk
幡 Piæn
幰 Xiæ̌N
干 *Gɑn Gɑn
平 *Bhiæng
年 *Nen
幷 *Biɛng
幸 Hɛ̌Ng
幹 Gɑ̀N
幼 Qiə̀U
幽 *Qiəu
幾 *Giə̌I Giəi
庇 Bì
床 *Jrhiɑng
底 *Děi
店 Dèm
庚 Gæng
府 *Biǒ
度 *Dhò Dhɑk
座 *Dzhuɑ̀
庭 *Dheng
庳 Bhiɛ̌
庶 Shiù
康 Kɑng
庸 Iong
庾 Iǒ
廁 Chriə̀
廂 Siɑng
廄 Giòu
廈 Hǎ
廉 Liɛm
廓 Kuɑk
廚 Djhio
廝 Siɛ
廟 *Myɛ̀U
廢 *Biæ̀I
廣 *Guɑ̌Ng
廪 Lǐm
廬 *Liu
延 *Iɛn
廷 *Dheng
建 *Giæ̀N
廻 *Huəi
弄 *Lùng
弈 Iɛk
弊 Bhiɛ̀I
弋 Iək
式 Shiək
弓 *Giung
弔 *Dèu
引 *Ǐn
弘 Huəng
弟 *Dhěi
弦 *Hen
弧 Ho
弭 Miɛ̌
弱 Njiɑk
張 *Djiɑng
強 *Ghiɑng Ghiǎng
彈 *Dhɑn Dhɑ̀N
彊 *Ghiɑng
彌 Miɛ
彎 Quan
彗 Hiuɛ̀I Ziuɛ̀I Zui
彝 I
形 *Heng
彤 Dong
彦 Bgyɛ̀N
彩 *Tsə̌I
彫 *Deu
影 *Qiæ̌Ng
役 *Iuɛk
彼 *Byɛ̌
征 *Jiɛng
徂 Dzho
徃 *Hiuɑ̌Ng
待 *Dhə̌I
徇 Zuìn
徊 *Huəi
律 Luit
後 *Hǒu Hòu
徐 *Ziu
徑 *Gèng
徒 *Dho Dho
得 *Dək
徘 *Bhəi
從 *Dzhiong Tsiong
御 *Ngiù
徧 *Biɛ̀N
復 *Bhiuk Bhiòu
循 Zuin
微 *Miəi
徵 *Djiəng
德 Dək
徹 Djhiɛt Tjiɛt
徼 Gèu
徽 Xiuəi
心 *Sim
必 *Bit
忌 Ghiə̀
忍 *Njǐn
志 *Jiə̀
忘 *Miɑng Miɑ̀Ng
忙 Mɑng
忝 Těm
忠 Djiung
忤 Ngò
快 Kuài
念 *Nèm
忻 Xiən
忽 *Xuət
忿 Piə̀N Piə̌N
怏 Qiɑ̀Ng
怒 *Nǒ Nò
怕 Pà
怛 Dɑt
思 *Siə Siə̀
怡 Iə
急 *Gyip
性 *Siɛ̀Ng
怨 *Qiuæ̀N
怪 *Guæ̀I
怯 *Kiæp
怱 Tsung
怳 Xiuɑ̌Ng
怵 Tjuit
恃 Zhiə̌
恆 *Həng
恍 Xuɑ̌Ng
恐 *Kiǒng
恙 Iɑ̀Ng
恢 Kuəi
恣 Tzì
恥 *Tjiə̌
恨 *Hə̀N
恩 *Qən
恭 Giung
息 *Siək
恰 Kæp
悄 *Tsiɛ̌U
悉 Sit
悌 Dhèi
悔 Xuə̌I
悛 Tsiuɛn
悟 *Ngò
悠 *Iou
患 Huàn
悦 *Iuɛt
悲 *Byi
悴 Dzhuì
悵 *Tjiɑ̀Ng
悸 Ghuì
悼 Dhɑ̀U
悽 *Tsei
情 *Dzhiɛng
惆 *Tjiou
惋 Quɑ̀N
惕 Tek
惘 Miɑ̌Ng
惚 Xuət
惜 *Siɛk
惟 *Ui Ui
惠 *Huèi
惡 *Qɑk Qò
想 *Siɑ̌Ng
惹 Ngiǎ
惻 *Chriək
愀 Tsiɛ̌U
愁 *Jrhiou
愆 Kyɛn
愈 *Iǒ
意 Qiə̀
愚 *Ngio
愛 *Qə̀I
愜 Kep
感 *Gǒm
愧 *Gyuì
愬 Sò
愴 *Chriɑ̀Ng
愷 Kə̌I
愿 Ngiuæn
慄 Lit
慈 *Dzhiə
態 Tə̀I
慎 *Zhìn
慕 Mò
慘 *Tsǒm
慚 Dzhɑm
慜 Myǐn
慟 Dhùng
慠 Ngɑ̀U
慢 Màn
慣 Guɑ̀N
慧 Huèi
慨 Kə̀I
慮 Liù
慰 Qiuə̀I
慵 Zhiong
慶 Kiæ̀Ng
慷 Kɑ̌Ng
憂 *Qiou
憎 Tzəng
憐 *Len
憑 *Bhiəng
憔 Dzhiɛu
憤 Bhiə̌N
憨 Kyɛ̀I
憲 *Xiæ̀N
憶 *Qiək
懇 Kə̌N
應 *Qiəng *Qiə̀Ng
懊 Qɑ̀U
懦 Nuɑ̀
懲 Djhiəng
懶 Lɑ̌N
懷 *Huæi
懸 *Huen
懼 Ghiò
懽 *Xuɑn
懾 Jiɛp
戀 *Liuɛ̀N
戈 *Guɑ
戍 *Shiò
戎 *Njiung
成 *Zhiɛng
我 *Ngɑ̌
戒 Gæ̀I
或 *Huək
戚 Tsek
戛 Gat
戟 Giæk
戡 Kom
戢 Jrip
截 Dzhet
戮 *Liuk
戰 *Jiɛ̀N
戲 *Xyɛ̀
戴 Də̀I
户 *Hǒ
房 *Bhiɑng
所 *Shriǔ
扁 *Piɛn
扃 Gueng
扇 *Shiɛ̀N
扈 Hǒ
扉 *Biəi
手 *Shiǒu
才 *Dzhəi
打 Děng
扣 *Kǒu Kòu
扶 *Bhio
批 Pei
承 *Zhiəng
抉 Guet
把 *Bǎ
抑 Qiək
投 *Dhou
抗 Kɑ̀Ng
折 *Jiɛt
抛 Pau
披 *Pyɛ
抱 *Bhɑ̌U
抵 Děi
抹 *Mɑt
抽 *Tjiou
拂 *Piət
拆 *Tjæk
拍 Pæk
拒 Ghiǔ
拓 Tɑk
拔 *Bhat
拘 Gio
拙 *Jiuɛt
招 *Jiɛu
拜 *Bæ̀I
拭 Shiək
拱 *Giǒng
拳 Ghyuɛn
拽 Iɛ̀I
拾 Zhip
持 *Djhiə
挂 *Guɛi
指 *Jǐ
按 Qɑ̀N
挑 Dheu Teu
振 *Jìn
挱 Sɑ
挺 Dheng
挽 Miæ̌N
捉 Jrak
捋 Luɑt
捐 Iuɛn
捕 Bhò
捧 Piǒng
捨 Shiǎ
捩 Let
捫 Mən
捲 *Gyuɛ̌N
捶 Jiuɛ̌
捷 Dzhiɛp
掃 *Sɑ̌U Sɑ̀U
掇 Duɑt
授 Zhiòu
掉 Dhèu
掌 *Jiɑ̌Ng
掎 Gyiɛ̌
排 *Bhæi
掖 Iɛk
掘 Ghiuæt Ghiuət
掛 *Guɛ̀I
掠 Liɑk
採 *Tsə̌I
探 Tɑm Tɑ̀M
掣 Chiɛt
接 *Tziɛp
控 *Kùng
推 Tuəi
掩 *Qyɛ̌M
掬 Giuk
掾 Iuɛ̀N
揀 Gɛ̌N
提 Dhei Zhiɛ
插 *Chræp
揖 Qip
揚 *Iang
換 *Huɑ̀N
握 Qak
揮 *Xiuəi
援 Hiuæn
搏 Bɑk Pɑk
搔 *Sɑu
搜 Shrǎu Shriou
搥 Duəi
搪 Dhɑng
搴 Gyɛ̌N
摇 *Iɛu
摐 Chrang Dzhiong
摘 Djɛk
摛 Tjiɛ
摧 *Dzhuəi
摩 *Mɑ
摭 Jiɛk
摵 Shrɛk
摶 Dhuɑn
摻 Shræ̌M
撇 Pet
撐 *Tjæ̌Ng
撒 Sɑt
撓 Nǎu
撚 Něn
撝 Xyuɛ
撥 *Bɑt
撩 Leu Lěu
撫 *Piǒ
撰 Jrhiuɛ̌N
撲 Puk
撻 Tɑt
撼 Hǒm
擁 *Qiǒng
擅 Zhiɛ̀N
擇 Djhæk
擊 *Gek
操 Tsɑu Tsɑ̀U
擎 Ghiæng
擒 Ghyim
擗 Bɛk
據 *Giù
擢 Djhak
擣 *Dɑ̌U
擬 Ngiə̌
擲 *Djhiɛk
擷 Het Xet
擺 Bɛ̌I
擾 Njiɛ̌U
擿 *Djhiɛk
攀 *Pan
攏 Lǔng
攔 *Lɑn
攜 *Huei
攝 Shiɛp
攢 Dzhuɑn
攣 Liuɛn
攪 Gǎu
攬 Lɑ̌M
支 Jiɛ
收 *Shiou Shiòu
攸 Iou
改 *Gə̌I
攻 Gong Gung
放 *Biɑ̀Ng
故 *Gò
效 Hàu
救 *Giòu
敕 Tjiək
敖 Ngɑu
敗 Bhài
教 *Gau Gàu
敝 Bhiɛ̀I
敞 Chiɑ̌Ng
敢 *Gɑ̌M
散 *Sɑ̀N
敦 Duəi
