㞮 Shutsu Sui
刖 Getsu Guchi Gotsu Gochi Katsu
列 Retsu Rei
刘 Ryuu
刜 Futsu Fuchi
初 Sho So
刞 Sho
刟 Chou
删 San
刡 Bin Min
刢 Rei Ryou
判 Han Ban
別 Betsu Bechi
刦 Kyou Kou
刧 Gou Kyou Kou
刨 Hou Byou
利 Ri
刪 San
别 Betsu Bechi
刬 San Sen
刮 Katsu
到 Tou
刱 Sou Shou
刲 Kei Ke
刳 Ko
刴 Ta
刵 Ji Ni Gei
制 Sei
刷 Satsu
券 Ken
刹 Satsu Sechi
刺 Shi Seki
刻 Koku
刼 Kyou
剁 Ta
剃 Tei
剄 Kei
剅 Rou Ru Tou Tsu
剆 Ra
則 Soku
剉 Sa
削 Saku Shou
剋 Koku
剌 Ratsu
前 Zen Sen
剎 Satsu Sechi
剏 Sou Shou
剒 Saku
剔 Teki Tei
剕 Hi
剖 Bou
剗 San Sen
剘 Ki Gi
剙 Sou
剚 Shi
剛 Gou
剜 Wan
剝 Haku
剞 Ki
剟 Tetsu Techi Tatsu Tachi
剠 Kei Shau Ryau
剡 En Sen Zen
剢 Toku Taku
剣 Ken
剤 Zai Sui
剥 Haku
剦 En
剨 Kaku Kyaku
剩 Jou
剪 Sen
剫 Taku Daku To Zo
剬 Tan Sen Sei
剭 Oku Aku
剮 Ka Ke
副 Fuku
剰 Jou
剱 Ken
割 Katsu
剳 Tou Satsu
剴 Gai Kai
創 Sou
剷 San Sen
剸 Tan Dan Sen
剹 Riku Roku Kyou Ku
剺 Ri
剻 Fuu Bu
剼 San Seu
剽 Hyou
剿 Shou Sou
劀 Katsu
劁 Shou Jou
劂 Ketsu Kuuchi Kei Ke
劃 Kaku
劄 Satsu Tou
劅 Taku
劆 Ren
劇 Geki Keki Gyaku
劈 Heki Hyaku
劉 Ru Ryuu
劊 Kai Ke Katsu
劋 Shou Sou
劌 Kei Ke
劍 Ken
劎 Ken
劐 Kaku Kyaku
劑 Zai Sei Sui
劒 Ken
劓 Gi Gei
劔 Ken
劕 Shitsu Shichi Chi
劖 San Zan
劗 San Zan Sen
劘 Ba Ma Bi Mi
劙 Ri Rei Rai
劚 Chaku Chou
力 Ryoku Riki
劜 Atsu Echi
劝 Kan
办 Hen
功 Kou
加 Ka
劣 Retsu
劤 Kin Kon Roku
劥 Kou Kyou
劦 Kyou Gyou Ryou
劧 Shi
助 Jo Sho
努 Do
劫 Gou Kyou Kou
劬 Ku
劭 Shou
劮 Itsu Ichi
劯 Sho
劰 Baku Maku
励 Rei
劲 Kei
劳 Rou
労 Rou
劵 Ken Gen
劶 Kou Ku
劷 You
劸 Ai A
効 Kou
劺 Bou Mu
劻 Kyou Kou
劼 Katsu Kitsu
劽 Retsu Rechi
劾 Gai
势 Sei
勀 Koku
勁 Kei
勂 Kou Gou
勃 Botsu Hotsu
勄 Bin
勅 Choku
勆 Rou
勇 Yuu
勈 You
勉 Ben
勌 Ken Kan Gen
勍 Kei
勏 Hou Bu
勐 Bau
勑 Rai Chaku Chiki
勒 Roku
勓 Kai
勔 Ben Men Bin Min
動 Dou
勖 Kyaku Koku Bou
勗 Bou Kyoku
勘 Kan
務 Mu
勚 Ei I Shi
勛 Kun
勜 Ou O Au
勝 Shou
勞 Rou
募 Bo Mo
勠 Riku
勡 Heu
勢 Sei Se
勣 Seki Shaku
勤 Kin Gon
勥 Kyou Gou
勦 Sou Shou
勧 Kan
勨 You Shou Jou
勩 Ei I Shi
勪 Kyaku Gaku
勫 Han Hon
勬 Ken
勯 Tan
勰 Kyou Gyou
勱 Bai Me
勲 Kun
勳 Kun
勴 Ryo Ro
勵 Rei
勶 Ketsu Dechi
勷 Jou Nyou
勸 Kan Ken
勹 Hou
勺 Shaku
勻 In
勼 Kyuu Ku
勽 Bun Mon Hou Bou Hyou
勾 Kou
勿 Butsu Botsu Mochi
匀 In
匃 Katsu Kachi Kai
匄 Kai
包 Hou
匆 Sou
匈 Kyou
匉 Hyou
匊 Kiku Koku
匋 Tou You
匌 Kou
匍 Ho
匎 Ou
匏 Hou
匐 Hoku Fuku Boku
匑 Kyuu Ku Kiku Koku
匒 Tou
匓 Kyou Ku
匕 Hi
化 Ka Ke
北 Hoku Hai
匘 Dou Nou
匙 Shi Ji
匚 Hou
匛 Kyuu Gu
匜 I Ta Da
匝 Sou
匞 Shou
匟 Kou
匠 Shou
匡 Kyou Ou
匢 Kotsu Kochi
匣 Kou Gou
匤 Kyaku Koku
匥 Hen Ben
匧 Kyou
匨 Zou
匩 Kyou
匪 Hi
匫 Kotsu Kochi
匬 Yu Tou Zu
匭 Ki
匯 Wai Kai E
匰 Tan
匱 Ki Gi
匲 Ren
匳 Ren
匴 San Sen
匵 Toku Doku
匷 Kyo Go
匸 Kei
匹 Hitsu Hiki
区 Ku Ou Kou
医 I
匼 An On
匽 En
匾 Hen
匿 Toku
區 Ku Ou Kou
十 Juu Jitsu
卂 Shin
千 Sen
卄 Juu Nyuu
卅 Sou
卆 Sotsu
升 Shou
午 Go
卉 Ki
半 Han
卋 Sei
卌 Shuu
卍 Ban Man
卐 Ban Man
卑 Hi
卒 Sotsu
卓 Taku
協 Kyou
单 Tan
南 Nan Dan
単 Tan
卙 Shou
博 Haku Baku
卛 Shutsu
卜 Boku
卝 Kan Kou Ou
卞 Hen Han Ben
占 Sen
卡 Sahu Sa Ka Zou Sou
卣 Yuu Yu
卤 Sei
卥 Sei
卦 Ka Ke
卨 Setsu
卩 Setsu
卬 Gau Kyau
卭 Kyou
卮 Shi
卯 Bou
印 In
危 Ki
卲 Shou Jou
即 Soku Shoku
却 Kyaku
卵 Ran Kon
卷 Kan Ken
卸 Sha
卹 Jutsu Shutsu Shuchi Sotsu
卺 Kin
卻 Kyaku
卼 Gotsu Gochi
卽 Soku Shoku
卾 Gaku
卿 Kyou Kei
厀 Shitsu
厂 Kan
厃 Sen Gi En
厄 Yaku Ga Aku
厇 Taku Chaku
厈 Kan
厉 Rei
厊 Ka Ge
压 Atsu
厎 Shi Kii Tou Tei Chi
厏 Sa Sha Saku Shou
厒 Kahu Kohu Kehu
厓 Gai Ge Gi
厔 Shitsu Shichi
厖 Bou
厗 Tei Dai
厘 Rin Ten
厙 Sha
厚 Kou
厜 Shi Sui Zui
厝 Saku So Seki Jaku
厞 Hi Bi
原 Gen
厠 Shi
厡 Gen
厤 Reki Ryaku
厥 Ketsu Kutsu
厦 Ka
厧 Ten
厨 Zu Chuu
厩 Kyuu
厪 Kin Gon
厫 Gou
厬 Ki
厭 En Ou You
厮 Shi
厯 Reki
厰 Shou
厲 Rei Rai Retsu Rechi
厳 Gen Gon
厴 En
厵 Gen
厶 Shi Bou Mu
厷 Kou
厸 Rin
厹 Jiu Niyu Kiu Gu
厺 Kyo Ko
去 Kyo Ko
厽 Rui San
叀 Sen
叁 San
参 San Shin
參 San
叄 San Shin
叅 San
叆 Ai
叇 Tai
又 Yuu
叉 Sha Sai Sa
及 Kyuu
友 Yuu
双 Sou
反 Han Tan Hon
収 Shuu
叏 Kai Ketsu Kechi
叐 Hatsu
叒 Jaku Nyaku
叓 Shi Zu
叔 Shuku
叕 Tetsu Techi Getsu
取 Shu
受 Ju Shuu
变 Hen
叙 Jo
叚 Ka Ke Ge
叛 Han Ban
叝 Kou
叞 I
叟 Sou Shuu
叠 Chou
叡 Ei
叢 Sou
口 Kou Ku
古 Ko
句 Ku Kou
另 Rei Ryau
叧 Ka Ke
叨 Tou
叩 Kou
只 Shi
叫 Kyou
召 Shou
叭 Hatsu Ha Hachi
叮 Tei
可 Ka Koku
台 Dai Tai I
叱 Shitsu Shichi
史 Shi
右 U Yuu
叵 Ha
叶 Kyou
号 Gou
司 Shi
叹 Iu
叻 Roku Ryoku
叼 Chou
吁 Ku U
吂 Bou Mou
吃 Kitsu
各 Kaku
吅 Ten Kun Sen Shou Ju Rin
吆 You
合 Gou Katsu Gatsu
吉 Kichi Kitsu
吊 Chou
吋 Sun Tou
同 Dou Tou
名 Mei Myou
后 Kou Go
吏 Ri
吐 To
向 Kou Kyou Shou
吒 Ta
吓 Ka
吔 Se
吕 Ryo Ro
吘 Gou Gu
吙 Kuu
吚 I Ki
君 Kun
吜 Chuu
吝 Rin
吞 Don Ton Ten
吟 Gin Kin
吠 Hai Bai
吡 Hitsu Bichi Hi
吢 Shin
吣 Shin
吤 Kai Ke Ka
吥 Hou Fu
否 Hi
吧 Ha He
吨 Ton Don
吩 Fun
吪 Guu Ge
含 Gan
听 Kin Gin
吭 Kou
吮 Sen Shun
启 Kei
吰 Kou
吱 Shi Ki
吲 Shin
吳 Go
吴 Go
吵 Byou Myou Sou Shou
吶 Totsu Dotsu
吷 Ketsu Kechi Setsu Sechi
吸 Kyuu
吹 Sui
吺 Tou
吻 Fun Bun
吼 Kou Ku
吽 In Gou Un
吾 Go
吿 Koku Kou
呀 Ga Ka
呁 Kin
呂 Ryo Ro
呃 Aku Ai
呄 Koku
呅 Bai Me Bun Mon
呆 Bou Gai Hou
呇 Kei
呈 Tei
呉 Go
告 Koku Kou
呋 Fu
呌 Kyou
呍 Un Gou On Gu In
呎 Seki
呏 Shou
呐 Totsu Dotsu
呑 Don Ton Ten
呞 Shi Chi
呟 Gen
呠 Hon
呡 Bun Mon
呢 Ji Ni
呣 Bou
呤 Rei Ryou
呥 Zen Nen
呦 Iu Yu Au Eu
呧 Tei Tai Dai
周 Shuu
呩 Shi
呪 Ju Shuu
呫 Tehu Sehu Ten
呬 Ki Chi Rei Ryou
呭 Ei Setsu Sechi
呮 Ki
呯 Hei Byou
呰 Shi Sa Seki
呱 Ko
呲 Shi Ji I
味 Mi Bi
呴 Ku Kou
呵 Ka
呶 Do Dou
呷 Kou
呸 Hi
呹 Itsu Chitsu
呺 Kyou Gou Kou Ku
呻 Shin
呼 Ko
命 Mei Myou
呾 Tatsu Tachi Atsu Echi Techi
呿 Ka Kyo Ko Kyou Kou
咀 So Sho
咁 Kan Gan
咂 Sou
咃 Ta
咄 Totsu
咅 Tou
咆 Hou
咇 Hetsu Bechi Hitsu Hichi Hi Bi
咈 Futsu Buchi Hitsu Bichi
咉 Au
咊 Wa
咋 Saku Sa
和 Wa Ka
咍 Kai Tai
咎 Kyuu Kou
咏 Ei
咐 Ho Bu
咑 Da
咒 Shu Shuu Ju
咔 Rou
咕 Ko
咖 Ka
咜 Ta To
咟 Kaku
咠 Shuu Yuu
咡 Ji Ni
咢 Gaku
咣 Kou
咤 Ta To
咥 Ki Tetsu Shi
咦 I Ki Tai Dai
咧 Retsu Rechi
咨 Shi
咩 Bi Mi
咪 Bi Bei
咫 Shi
咬 Kou Gou You
咭 Kitsu Gichi Katsu Kechi
咮 Tou Tsu Chuu Shuu
咯 Kaku
咰 Shutsu Shuchi Shun
咱 Satsu Sachi Sa Sha
咲 Shou
咳 Gai
咴 Kai Ke
咵 Kuu Ke
咶 Kuui Ke Kutsu Kechi Kuu Ge Shiji
咷 Tau Dou Teu Teki Jiaku
咸 Kan Gen
咹 Atsu Achi An
咺 Ken Kuun
咻 Ku Kyou Kou
咼 Ka Kai
咽 In Etsu
咾 Rou
咿 I
哀 Ai
品 Hin Hon
哂 Shin
哃 Tou Zu
哄 Kou
哅 Kou Ku Kyou
哆 Shi Ta Sha
哇 Ai E Wa
哈 Gou Sou
哉 Sai
哊 Iku
哋 Tetsu
响 Kyou
哎 Gai
哏 Kon
哠 Kou Gou
員 In En
哢 Rou
哤 Bou Mou
哥 Ka
哦 Ga
哧 Ka Ke Seki
哨 Shou
哩 Ri
哪 Da Na
哫 Shoku Soku
哬 Ka
哭 Koku
哮 Kou
哯 Ken Gen
哰 Rou
哱 Hotsu Hochi Hai He
哲 Tetsu
哳 Tatsu Techi
哶 Ba Me Bi Mi
哷 Retsu Rechi Ritsu Richi
哸 Sai Se
哺 Ho
哻 Kan Gan
哼 Kou Kyou
哽 Kou
哾 Yatsu Yachi
哿 Ka
唀 Iu
唁 Gen Gon
唃 Koku
唄 Bai
唅 Kan Kon Gon
唆 Sa
唇 Shin
唈 Ou Yuu
唉 Kai Ki Ai I
唊 Kyou Kou Ken
唋 To Tsu
唌 Sen Zen Tan Dan En
唍 Kan Gen
唎 Ri
唏 Ki
唐 Tou
唑 Zei
