剮 Kwa
副 Pwu Pok
割 Hal
剳 Cha
剴 Kay
創 Chang
剷 San
剸 Tan Cen
剹 Lyuk
剺 Li
剽 Phyo
剿 Cho
劀 Kwal
劂 Kwey
劃 Hoyk
劄 Cha
劇 Kuk
劈 Pyek
劉 Lyu
劊 Hoy Koy
劋 Co
劌 Kwi
劍 Kem
劎 Kem
劐 Hwak
劑 Cey
劒 Kem
劓 Uy
劔 Kem
劖 Cham
劗 Chan
劘 Ma
劙 Li Lyey
劚 Chok
力 Lyek
功 Kong
加 Ka
劣 Lyel
劤 Kun
劦 Hyep
助 Co
努 No
劫 Kep
劬 Kwu
劭 Cho
劮 Il
励 Lye
労 Lo
劵 Kwen
劶 Kwu
効 Hyo
劻 Kwang
劼 Hal
劾 Hayk Hay
勀 Kuk
勁 Kyeng
勃 Pal
勅 Chik
勇 Yong
勉 Myen
勌 Kwen
勍 Kyeng
勑 Lay Chik
勒 Luk
勔 Min
動 Tong
勖 Wuk
勗 Wuk
勘 Kam
務 Mwu
勛 Hwun
勝 Sung
勞 Lo
募 Mo
勠 Lyuk
勡 Phyo
勢 Sey
勣 Cek
勤 Kun
勦 Cho
勧 Kwen
勨 Yang Sang
勩 Yey I
勮 Ke
勯 Tan
勰 Hyep
勱 May
勲 Hwun
勳 Hwun
勴 Lye
勵 Lye
勶 Chel
勷 Yang
勸 Kwen
勹 Pho
勺 Cak
勻 Kyun Yun
勼 Kwu
勽 Mwun
勾 Kwu Kwi
勿 Mwul Mol
匀 Kyun Yun
匁 Mwun
匂 Nay
匃 Kay
匄 Kay Kal
包 Pho
匆 Chong
匈 Hung
匉 Phyeng
匊 Kwuk
匋 To Yo
匌 Hap
匍 Pho
匎 Ap
匏 Pho
匐 Pok
匑 Kwung
匒 Tap
匓 Kwu
匕 Pi
化 Hwa
北 Pwuk Pey
匘 Noy
匙 Si
匚 Pang
匛 Kwu
匜 I
匝 Cap
匞 Cang
匟 Kang
匠 Cang
匡 Kwang
匣 Kap
匥 Pyen
匧 Hyep
匪 Pi Pwun
匬 Yu
匭 Kwey
匯 Hoy
匰 Tan
匱 Kwey
匲 Lyem
匳 Lyem
匴 San
匵 Tok
匶 Kwu
匸 Hyey
匹 Phil Mok
区 Kwu Wu
医 Yey Uy
匼 Ap
匽 En
匾 Phyen
匿 Nik
區 Kwu Wu
十 Sip
卂 Sin
千 Chen
卄 Ip
卅 Sap
卆 Col
升 Sung
午 O
卉 Hwey
半 Pan
卋 Sey
卌 Sip
卍 Man
卐 Man
卑 Pi
卒 Col
卓 Thak
協 Hyep
单 Tan Sen
南 Nam
単 Tan Sen
卙 Cip
博 Pak
卜 Pok
卝 Kwan
卞 Pyen
卟 Key
占 Cem
卡 Cap
卣 Yu
卦 Kway
卨 Sel
卩 Cel
卬 Ang
卭 Kong
卮 Chi
卯 Myo
印 In Kkut
危 Wi
卲 So
即 Cuk
却 Kak
卵 Lan
卶 Si
卷 Kwen
卸 Sa
卹 Hyul
卺 Kun
卻 Kak
卼 Ol
卽 Cuk
卾 Ak
卿 Kyeng
厀 Sul
厂 Em Han
厃 Cem Wi
厄 Ayk
厇 Chayk
厉 Lye
厊 A
压 Ap
厎 Ci
厓 Ay
厔 Cil
厖 Pang
厘 Li Cen
厚 Hwu
厝 Co
厞 Pi
原 Wen
厠 Chuk
厤 Lyek
厥 Kwel Kwul
厦 Ha
厨 Cwu
厩 Kwu
厪 Kun
厬 Kwey
厭 Yem Yep
厮 Si
厱 Em
厲 Lye
厳 Em
厵 Wen
厶 Sa
厷 Koyng
厸 Lin
厹 Kwu
厺 Ke
去 Ke
厼 Uk Kum
厽 Lwi Cham
叁 Sam
参 Sam Cham
參 Cham Sam
叄 Cham Sam
叅 Cham
又 Wu
叉 Cha
及 Kup
友 Wu
双 Ssang
反 Pan Pen
叏 Kway
叒 Yak
叓 Sa
叔 Swuk
叕 Chel
取 Chwi
受 Swu
变 Pyen
叙 Se
叚 Ka
叛 Pan
叞 Wi
叟 Swu
叡 Yey
叢 Chong
口 Kwu
古 Ko
句 Kwu Kwi
另 Lyeng
叨 To
叩 Ko
只 Ci
叫 Kyu
召 So Co
叭 Phal
叮 Ceng
可 Ka Kuk
台 Thay I
叱 Cil
史 Sa
右 Wu
叴 Kwu
叵 Pha
叶 Hyep
号 Ho
司 Sa
叺 Ip
吁 Yu
吃 Hul
各 Kak
吅 Hyen
吆 Yo
合 Hap Kap
吉 Kil
吊 Cek
吋 Chon
同 Tong
名 Myeng
后 Hwu
吏 Li
吐 Tho
向 Hyang Sang
吒 Tha Thak
吕 Lye
吘 Wu
吚 Uy
君 Kwun
吝 Lin
吞 Than
吟 Um
吠 Phyey
吡 Phil
吢 Sim
否 Pwu Pi
吧 Pha
吨 Twun
吩 Pwun
吪 Wa
含 Ham
听 Un
吭 Hang
吮 Cen
启 Kyey
吱 Ci
吲 Sin
吳 O Ho
吴 O
吵 Myo Cho
吶 Nwul Yel
吷 Hyel
吸 Hup
吹 Chwi
吺 Twu
吻 Mwun
吼 Hwu
吽 Hwu Um Wu
吾 O
吿 Ko Kok
呀 Ha
呂 Lye
呃 Ay
呅 May Mwun
呆 May Thay Po
呈 Ceng
呉 O Ho
告 Ko Kok
呌 Kyu
呎 Chek
呏 Sung
呐 Nwul Yel
呑 Than
呝 Ayk
呟 Hyen
呢 Ni
呤 Lyeng
呦 Yu
呧 Cey
周 Cwu
呪 Cwu
呫 Chep
呬 Hi Lyeng Huy
呭 Yey
呮 Ki
呰 Ca
呱 Ko
味 Mi
呴 Kwu
呵 Ka
呶 No
呷 Hap
呸 Pi
呹 Il Cil
呺 Hyo Ho
呻 Sin
呼 Ho
命 Myeng
呾 Tal
呿 Ke
咀 Ce
咂 Cap
咄 Tol
咆 Pho
咇 Phil
咈 Pwul
咉 Ang
咊 Hwa
咋 Sa
和 Hwa
咍 Hay
咎 Kwu Ko
咏 Yeng
咐 Pwu
咒 Cwu
咕 Ko
咖 Ka
咜 Tha
咠 Cip
咡 I
咢 Ak
咤 Tha
咥 Huy
咦 I Cay
咧 Lyel
咨 Ca
咩 Mi
咪 Mi
咫 Ci
咬 Kyo
咭 Kil Kal
咮 Cwu
咯 Kak
咱 Chal Cha
咲 So
咳 Hay
咶 Si Hwal
咷 To
咸 Ham
咺 Hwen
咻 Hyu
咼 Kway
咽 In Yel
咿 I
哀 Ay
品 Phwum
哂 Sin
哃 Tong
哄 Hong
哅 Hyung
哆 Chi
哇 Wa
哈 Hap
哉 Cay
响 Sang
哎 Ay
員 Wen
哢 Long
哤 Pang
哥 Ka
哦 A
哨 Cho So
哩 Li
哪 Na
哫 Cok
哬 Ha
哭 Kok
