㞮 Deru Dasu
佋 Tasukeru
佌 Chiisai
位 Kurai Kuraisuru
低 Hikui
住 Sumu Todomaru Yamu
佐 Tasuke Tasukeru Suke
佑 Tasukeru
佒 Aogu Aomuke Tanoshimu
体 Karada
佔 Miru Ukagau Shimeru
何 Nani Nanzo Izuku
佖 Tadashii Narabu
佗 Hoka Wabiru
余 Amaru Ware Amari
佚 Nogareru
佛 Hotoke
作 Tsukuru Tsukuri Nasu
佝 Semushi
佞 Omoneru Yokoshima
你 Nanji
佡 Karui
佢 Kare
佩 Obidama Obiru
佪 Samayou Kuraikoyo
佫 Itaru
佬 Ookii
佮 Awaseru
佯 Itsuwaru
佰 Osa
佱 Nori
佳 Yoi
佴 Tasuke Sohi Narabu Oru Tsugu
併 Awaseru Narabu Shikashi
佶 Tadashii
佷 Motoru
佸 Au Atsumaru Tsutomerusama Itaru
佹 Kasanaru Yoru Motoru Sasaeru
佻 Karui
佼 Utsukushii
佽 Suboshikoi Narabu Tasukeru Oyobi Kaharugaharu
佾 Yasui Yasunzuru
使 Tsukau Tsukai
侀 Naru
侁 Yukusama Tsukahi
侂 Yoseru Tanomu
侃 Tsuyoi
侄 Katai Oroka Todomaru
侅 Musebu
來 Kuru
侇 Hitoshii Tsuraneru Utsuru
侈 Ogoru
侉 Ogoru Hokoru
侊 Sakan
例 Tatoeru Tagui Tameshi
侌 Kage Kageru
侍 Samurai Haberu Saburau
侎 Itsukushimu
侏 Mijikai Azamuku
侐 Shizuka Sabishii
侑 Susumeru Tasukeru
侒 Yasuraka
侓 Kiisama
侔 Hitoshii Sorou Shitagau Tsutomeru Toru Hakaru
侖 Omou Tsuizuru Marui
侗 Oroka Itamu Katachi Nahoi Makoto Tsutsushimu
侘 Hokoru Wabiru Wabishii
侙 Osoreru
侚 Sumiyaka Shimesu Tonaeru Hukai Tsukahu
供 Sonaeru Tomo Sonae
侜 Ooikakusu Itsuwaru
依 Yoru
侞 Hitoshii Shitagahenarasu
侠 Otokodate Kyan
価 Atai
侣 Tomo
侫 Omoneru Yokoshima
侭 Kotogotoku Mama
侮 Anadoru Anadori
侯 Mato Kimi
侲 Warabe Yoiwarabe Umakai Hashitame
侳 Hazukashimeru Yasuraka
侵 Okasu
侶 Tomo
侷 Takegahikui Semaru
侹 Otokogi Naoi Tsutsushimu
侻 Kanahu Yoi Tegaru Tayasui Karui
侼 Tsuyoi Uramu
侽 Otoko
侾 Ookii
便 Tayori Sunawachi
俀 Yowai
俁 Ookii
係 Kakaru Tsunagari Kakawaru
促 Unagasu Semaru
俄 Niwaka
俅 Itadaku
俆 Yuruyaka Osoi
俇 Awatadashiisama
俉 Mukaeru Au
俊 Sugureru
俋 Tagayasu
俌 Tasuke
俍 Samayou
俎 Manaita
俏 Niru Katadoru Mimetoisama
俐 Kashikoi
俑 Itamu
俒 Matsutashi Kegasu
俓 Isogu Wagi Nahoi Katai
俔 Ukagau
俗 Narawashi
俘 Toriko
俙 Utsutaeru Kobihetsurau Honoka
俚 Iyashii
俛 Fuseru
俜 Tsukau Otokodate
保 Tamotsu Yasunjiru
俞 Shikari
俟 Matsu
俠 Otokodate Kyan
信 Makoto Tayori Makaseru
俢 Osameru Osamaru
俣 Mata
俤 Omokage
俥 Kuruma
修 Osameru
俯 Fuseru
俰 Yawaragu
俱 Tomoni
俲 Narau
俳 Wazaogi
俴 Asai Hadaka
俵 Tawara
俶 Yoi Hajime
俷 Yabureru Yaburu Somuku
俸 Fuchi
俺 Ore
俼 Kayu Hisagu
俽 Yorokobu
俾 Shimu
俿 Katatagai
倀 Kuruu Taoreru
倁 Yuku
倂 Awaseru Narabu Shikashi
倃 Soshiru
倄 Motoru Sokonau
倅 Segare
倆 Takumi
倇 Tanoshimu Yorokobu Susumeru
倉 Kura
倊 Kurushimu
個 Ko
倌 Toneri
倍 Somuku Masu
倎 Atsui
倏 Tachimachi
們 Tomogara
倒 Taoreru Taosu Sakasama
倓 Yasui Shizuka
倔 Tsuyoi
倕 Omoi
倖 Saiwai
倗 Tasukeru Yudaneru Yoseru
倘 Moshi Tachimotohoru
候 Sourou Ukagau Saburau
倚 Yoru Tanomu
倛 Azamuku
倜 Sugureru Oroka Somuku
倝 Kagayaku
倞 Tsuyoi Akiraka Tooi Motomeru Kisohu
借 Kariru Kari Tatoi
倠 Minikui
倡 Wazaogi
倢 Satoi Sukoyaka Hayai Tsugusoshiru
倣 Narau
値 Ne Atai Au
倥 Nukaru
倦 Tsukareru Umu
倨 Ogoru
倩 Utsukushii Tsuratsura
倪 Kiwa
倫 Tagui Tsuide Michi
倬 Ookii Akiraka Takai
倭 Shitagau Yamato
倮 Hadaka Semai Katanugu Suhada
倯 Okotaru Nonoshiru
倰 Okasu Agimuku Nagai
倲 Orokanasama
倳 Sasu Sashikomu
倶 Tomoni
倷 Nanji
倹 Tsuzumayaka
倻 Ya
值 Ne Atai Au
偀 Hanabusa
偁 Ageru
偂 Susumu
偃 Fuseru Yasumu
偄 Yowai
偅 Kodomo
偆 Atsui Ugomeku
假 Kari
偈 Ikou
偉 Erai
偊 Kugumarusama Tsutsushimusama
偌 Konoyouna Konoyouni
偍 Yuruyaka
偎 Honoka Najimu Shitashimu Chikayoru
偏 Katayoru Hitoeni
偐 Itsuwaru Nise
偒 Matsusugu
偓 Kakaharusama
偕 Tomoni
偖 Sate
偗 Matsusugunasama
偙 Sugureru
做 Tsukuru Nasu
偛 Warugashikoi
停 Todomaru
偝 Suteru Somuku
偞 Karui Mimeyoisama Iyashii Osu Osahetsukeru Utsukushii
偟 Tatazumu Samayohu Tachimotohoru Itoma
偠 Shinayaka Taoyaka
偡 Sorotsutesusumu Totonotsutasama
偢 Itsukushimanai Ureherusama
偣 Kiyoi
偤 Haberu
健 Sukoyaka Takeshi Shitataka
偦 Tooru
偧 Haru
偨 Sorowanai
偩 Yorikatadoru Tanomu
偪 Semaru Mukabaki
偫 Matsu Sonaeru Sonawaru
偬 Kurushimu Sewashii Awatadashii
偭 Mukau Somuku Kanau
偯 Nageku
偰 Kiyoi
偱 Noberu
偲 Shinobu Shinobi
偳 Chihisai Sukoshi
側 Kawa Katawara Sobameru
偵 Ukagau
偶 Tagui Tamatama
偷 Nusumu
偸 Nusumu
偹 Sonaeru Sonawaru Sonae
偽 Itsuwaru Nise Itsuwari
傀 Ookii
傁 Okina
傂 Katatagahi Hitoshikunai
傃 Mukau Mamoru
傄 Sukoyakanasama
傅 Mori Tsuku Kashizuku
傆 Kozakashii
傇 Ooi
傊 Masaru Yutaka
傋 Hetsurahanu Oroka
傌 Nonoshiru
傍 Katawara Sou
傎 Sakasama Kuruhu
傏 Ogoru
傑 Sugureru
傒 Ayahui Tsunagu
傓 Sakan
傔 Shitagau Haberu Tsukaeru
傖 Iyashii Iyashiimono Runakamono
傘 Kasa
備 Sonaeru Sonawaru Sonae
傚 Narau
傛 Kagamu
傜 Huzoroi Edachi Tsukai
傟 Motoru
傠 Somuku Utsu
傡 Nami Naraberu Narabu Narabini
傢 Kagu
傪 Yoi Yoisama
催 Moyoosu Unagasu Moyooshi
傭 Yatou Atai Hitoshii
傮 Owaru Meguru
傯 Kurushimu
傰 Tomo Tomogara Omonerikumisuru
傱 Hayaisama
傲 Ogoru Anadoru
傳 Tsutaeru
傴 Kagamu Semushi
債 Kari
傶 Chikai
傷 Kizu Itamu
傸 Warui
傹 Tsuyoi Taosu
傺 Tomaru Todomaru
傽 Odoroku
傾 Katamuku Katamukeru Kutsugaesu
傿 Kakeneosuru
僀 Kurushimu
僁 Koe Umeku
僂 Kagamu
僃 Sonaeru Sonawaru
僄 Karui Karonzuru Subayai
僅 Wazukani Wazuka
僆 Hutago Oyobu Ohitsuku
僇 Haji Hazukashimeru
僈 Yurui Karonzuru Anadoru
僉 Mina Kotogotoku Tomoni
僊 Yamabito Sennin
僋 Nobirusama Orokanasama
僌 Osameru
働 Hataraku Hataraki
僎 Sonaeru Kazu Kazoeru
像 Katachi Katadoru
僐 Otsukurisuru
僑 Takai
僓 Narau Miyabiyaka Shitagahu
僔 Atsumaru Ooi Uyauyashii
僕 Shimobe Yatsugare
僖 Yorokobu
僘 Hiroi
僙 Takedakeshiisama
僚 Tomo Tsukasa
僜 Agaru
僝 Sonaeru Nonoshiru Arawasu
僞 Itsuwaru Nise Itsuwari
僟 Yokutsutsushimu Chikai
僢 Somuku Mukaiau Majiru
僣 Ogoru
僤 Hayai Atsui Akiraka Yurugu
僥 Negau Motomeru
僦 Kariru Okuru Atsumaru
僧 Bouzu
僨 Taoreru Ochiru Yaburu
僩 Takedakeshiisama
僪 Kuruu Kurui
僬 Hashiru
僭 Ogoru
僮 Warabe Shimobe
僯 Hajiru
僱 Yatou
僵 Taoreru
僶 Tsutomeru
僸 Aogu
價 Atai
僺 Nagaisama
僻 Higamu
僽 Nonoshiru
僾 Honoka Kakureru Musebu Kanashimu
僿 Usui Makotoganai
儀 Yoi Nori
儁 Sugureru
儂 Washi
儃 Tatazumu Yausu Hoshiimama
億 Oshihakaru
儅 Owaru Tomaru Atarimaederui
儆 Imashimeru
儇 Kashikoi Agimuku Toi Matohu
儈 Nakagai
儉 Tsuzumayaka
儊 Shiburu
儋 Ninau Nitai Kogame
儌 Yuku Ukagau Motomeru Itsuwaru
儎 Noseru
儐 Susumeru Uyamau Aisatsu
儑 Osatsukanai Oroka Tawaregoto
儒 Yawaraka Uruosu Shitagau
儓 Kerai Minikui Ataru
儔 Tomogara
儕 Tomogara
儖 Minikui
儗 Nazoraeru Kuraberu
儘 Kotogotoku Mama
儙 Hiraku
儚 Kurai Hakanai
儛 Mau Mawasu
儜 Nayamu Yowai
儝 Matsu
償 Tsugunau Tsugunai
儡 Yabureru Tsukareru
儢 Tsutomenaisama
儤 Tonoru
儥 Iru Kamu Miru
儦 Sakannasama
儧 Atsumeru Atsumaru
儨 Tadashii
儩 Tsukusu Tsukiru
優 Yasashii Sugureru Wazaogi
儭 Itaru Chikai Osoreru Ura Shiku
儯 Mugai
儰 Ochitsukanu
儱 Desaagaranai Uyamuya
儲 Soe Takuwaeru Moukeru
儳 Totonohanu Hayai Waruisama
儴 Yoru Samayou
儵 Hayai
儷 Tsureai Narabu
儸 Sabaku
儹 Atsumeru Atsumaru
儺 Oniyarai
儻 Sugureru Moshi Aruiwa
儼 Ogosoka Ikameshii
儽 Okotaru Yamitsukareru
儿 Hito Ninnyou
兀 Takai Hageru Ashikiru
允 Makoto Yurusu Jou
兂 Kanzashi
元 Moto Koube
兄 Ani E
充 Ateru Michiru Mitasu
兆 Kizasu Uranai Kizashi
兇 Osoreru
先 Saki Sakinjiru Mazu
光 Hikaru Hikari
兊 Yorokobu
克 Katsu Yoi Yoku
兌 Yorokobu
免 Manukareru Yurusu
兎 Usagi
兏 Nagai Osa
児 Ko
兑 Yorokobu
兒 Ko
兓 Surudoi Tasukeru
兔 Usagi
兗 Kukuru Tadashii Makoto
兘 Hajimeru Hajimaru
党 Nakama Mura
兜 Kabuto
兟 Susumu
兢 Osoreru Tsutsushimu
兤 Akarui
入 Iru Hairu
兦 Horobiru Nai
內 Uchi Iru Ireru
全 Mattaku Mattai Mattousuru
兩 Futatsu
兪 Shikari
八 Yatsu Yatabi
公 Ooyake Kimi
六 Mutsu Mutabi
兮 No
共 Tomo Tomoni Domo
兵 Tsuwamono Ikusa
其 Sono Sore
具 Sonaeru Sonae Tsubusani
典 Nori Tsukasadoru Sakan
兹 Shigeru Masu Mushiro
兼 Kaneru Kanete
兾 Koinegau
冀 Koinegau Koinegawa
冂 Tooi
冃 Zukin Oou
冄 Ayaui
内 Uchi Iru Ireru
円 Marui Maru
冉 Yowai
冊 Fumi
冋 Enagamae Dougamae Keigamae
册 Fumi
再 Futatabi
冎 Wakeru
冏 Akiraka
冐 Okasu Oou Kouburu
冑 Kabuto Yoroi
冒 Okasu Oou
冓 Kamaeru
冕 Kanmuri
冖 Oou
冗 Muda
冘 Okotaru Tamerahu Utagahu
写 Utsusu Utsushi
冝 Yoroshii
冞 Masumasu
冠 Kanmuri
冡 Oou
冢 Tsuka Oka Yashiro
冣 Tsuma
冤 Kagamu Nureginu
冥 Kurai
冦 Ada
冨 Tomu
冩 Utsusu Kakiutsusu
冪 Ooi Fukin
冫 Koori
冬 Fuyu
冭 Nameraka
冰 Koori Hi
冱 Kooru Hieru Saeru
冲 Oki Waku
决 Kimeru Saku
冴 Kooru Hieru Saeru
况 Iwanya Omomuki
冶 Iru
冷 Hieru Tsumetai Sameru
冸 Tokeru
冺 Horobiru
冼 Samui
冽 Samui Tsumetai
冾 Yawaragu
冿 Susumu
凄 Samui Susamajii Sugoi
凅 Kooru
准 Nazoraeru
凇 Tsurara
凈 Hiyayakanasama
凉 Suzushii
凊 Samui Suzushii
凋 Shibomu Ochibureru
凌 Shinogu
凍 Kooru Kogoeru
减 Heru Herasu
凑 Minato Atsumaru
凒 Samui
凓 Samuisama
凔 Samui Hiyayakanasama
凕 Koorusama
凖 Hitoshii Mizumori Nori
凙 Tsurara
凛 Samui Susamajii Osoreru
凜 Samui Susamajii Osoreru
凝 Koru Korasu
凞 Yawaragu
几 Tsukue
凡 Subete Oyoso
凢 Subete Oyoso
凣 Subete Oyoso
凥 Oru
処 Oru Tokoro
凧 Tako
凨 Kaze
凩 Kogarashi
凪 Nagu Nagi
凭 Yoru Motareru
凮 Kaze
凰 Ootori
凱 Kachidoki Yawaragu
凳 Hizakakenotagui
凵 Kannyou Kangamae
凶 Warui
凷 Tsuchikure
凸 Deru
凹 Kubomu Kubomi
出 Deru Dasu
函 Ireru Hako
凾 Ireru Hako
刀 Katana
刂 Ritsutou
刃 Ha Yaiba Kiru
刄 Ha
刅 Kezushikeru
分 Wakeru Wakaru Wakareru
切 Kiru Kire Kiri
刈 Karu Kari
刉 Tatsu
刊 Kezuru Kizamu
刋 Kiru
刌 Kiru Tatsu Saku
刎 Kubihaneru
刏 Tatsu Sasu Korosu
刐 Saku
刑 Nori Shioki
划 Saosasu Kama Saku
刓 Kezuru Tatsu Eru Suriheru
刔 Eguru
刕 Saku
刖 Kiru Ayahui
列 Tsuraneru
刘 Korosu
刜 Utsu Tatsu Saru
初 Hajime Hatsu Ui
刟 Tatsu
删 Kezuru
刡 Kezuru
刢 Saku
判 Wakeru
別 Wakareru Wakeru Wakare
刦 Oiyakasu
刧 Obyakasu
刨 Kezuru
利 Kiku Yoi Surudoi
刪 Kezuru
别 Wakareru Wakeru Wakare
刬 Kezuru Tairanisuru
刮 Kezuru
到 Itaru
刱 Hajimeru Kizutsuku
刲 Sasu Saku Eguru Korosu
刳 Eguru
刴 Kiru
刵 Mimikiri
制 Osaeru
刷 Suru Haku Hake
券 Warifu Tegata
刹 Hatabashira Tera Kuni
刺 Sasu Soshiru Toge
刻 Kizamu Kizami Toki
剁 Kiru
剃 Soru
剄 Kubikiru
剅 Saku Sakeru
剆 Utsu
則 Nori Nottoru Sunawachi
剉 Kujiku Kadootoru
削 Kezuru
剋 Katsu
剌 Motoru
前 Mae Susumu
剎 Hatabashira Tera Kuni
剏 Hajimeru
剒 Kirimigaku
剔 Eguru Soru
剕 Ashikiru
剖 Waru
剗 Kezuru Tairanisuru
剘 Makoto Tadasu Saku
剙 Kizu Hajimeru
剚 Sasu Sashikomu Oku
剛 Tsuyoi Kowai
剜 Kezuru Eguru
剝 Hagu Muku Hageru
剞 Kizamu
剟 Kezuru Sakitoru Sogu Utsu
剠 Irezumi Kasumetoru
剡 Surudoi Sorudokusuru Kezuru
剢 Kiru
剣 Tsurugi
剤 Soroeru Mazeru
剥 Hagu Muku Hageru
剦 Oou
剩 Amaru Amari Amatsusae
剪 Kiru
剫 Wakeru Tojiru
剬 Tatsu Sabaku
剭 Tsumisuru
剮 Saku
副 Sou Soe
剰 Amaru Amari Amatsusae
剱 Tsurugi
割 Waru Saku Wareru
剳 Kagi Kama Sasu
剴 Kiru Kosuru
創 Kizu Hajimeru
剷 Kezuru
剸 Kiru Saku Tatsu Hoshiimama
剹 Kezuru
剺 Hagu Kiru
剼 Karu Tatsu
剽 Obyakasu
剿 Tatsu Toru
劀 Kezuru
劁 Tatsu Karu Karitoru
劂 Kezuru
劃 Wakatsu
劄 Sasu Kagi Kama
劆 Kama
劇 Hageshii
劈 Saku Tsunzaku
劉 Korosu
劊 Tatsu
劋 Tatsu Kiru Tayasu Wakajinisuru
劌 Sokonau Saku Hari Toge Ahu
劍 Tsurugi
劎 Tsurugi
劐 Saku
劑 Soroeru
劒 Tsurugi
劓 Hanakiru Hanakiri Saku
劔 Tsurugi
劕 Warifu Shichi
劖 Tatsu Kezuru
劗 Herisu Kiru
劘 Kezuru Suru Wakeru
劙 Toku Wakeru Waru
劚 Kiru
力 Chikara Tsutomeru Rikimu
劜 Tsuyoi
功 Isao
加 Kuwaeru Kuwawaru Kuwaete
劣 Otoru
劤 Chikari
劥 Tsuyoi
劦 Niwaka Gatotonou
劧 Katai
助 Tasukeru Suke
努 Tsutomeru Yume
劫 Obiyakasu
劬 Tsukareru
劭 Tsutomeru
劮 Midara Tawamureru Tanoshimu
劯 Tsuyoi
劰 Tsutomeru
励 Hagemu Hagemasu
労 Tsukareru Negirau Itawaru
劵 Tsukaru
劶 Tsutomeru
劷 Susumeru
劸 Semaru
効 Kiku Narau Itasu
劺 Susumehagemasu
劻 Awateru
劼 Tsutsushimu Katai Tsutomeru
劽 Gaaru
劾 Sabaku Shirabega Tsutomeru
勀 Tsutomeru Katsu
勁 Tsuyoi
勃 Niwakani Okoru
勄 Satoi
勅 Imashimeru Mikotonori
勆 Tsutoi
勇 Isamashii Isamu
勈 Isamu
勉 Tsutomeru
勌 Tsutomeru Umu
勍 Tsuyoi
勏 Tsutomeru
勑 Itawaru Tadasu Osameru
勒 Kutsuwa
勓 Tsutomeru
勔 Tsutomeru Susumeru
動 Ugoku Ugokasu Ugoki
勖 Tsutomeru
勗 Tsutomeru Tsutome
勘 Kangaeru
務 Tsutomeru Tsutome
勚 Itatsuki Tsukare Tsukareru
勛 Isao
勜 Tsutoi
勝 Katsu Masaru Taeru
勞 Negirau Tsukareru Itawaru
募 Tsunoru
勠 Awaseru
勡 Kasumeru
勢 Ikioi
勣 Isao
勤 Tsutomeru Tsutome
勥 Semaru Tsutomeru
勦 Tsukareru Tsukusu
勧 Susumeru
勨 Yuruyaka Ugoku
勩 Itatsuki Tsukareru
勪 Susumu
勫 Sukoyaka
勬 Tsutomeru Sukoyaka
勰 Kanau Au
勱 Tsutomeru
勲 Isao
勳 Isao
勴 Tasukeru
勵 Hagemu
勶 Hanatsu Torisaru
勷 Hashiru
勸 Susumeru
勹 Tsutsumu
勺 Shaku
勻 Sukunai Hitoshii
勼 Atsumeru Atsumaru
勽 Tsutsumu
勾 Nozoku Magaru Kagi
勿 Nashi Nakare
匀 Sukunai Hitoshii
匁 Monme
匂 Niou Nioi
匃 Kou Ataeru
匄 Motomeru
包 Tsutsumu Tsutsumi
匆 Isogashii
匈 Mune Osoreru Sawagu
匊 Sukuu Tanagokoro
匋 Yakimono
匌 Au Meguru
匍 Hau
匎 Ogoranai
匏 Hisago
匐 Harabau
匑 Uyamau
匓 Atsu Hakaru
匕 Saji
化 Bakeru Kawaru Bakasu
北 Kita Nigeru
匘 Nauzuru
匙 Saji
匚 Hako
匛 Hitsugi
匜 Hisage Hanzou
匝 Meguru
匞 Takumi
匠 Takumi
匡 Tadasu Sukuu
匣 Hako
匤 Hako
匥 Hako
匧 Hako
匨 Kura
匩 Tadasu Sukuu
匪 Hako Katami Arazu
匫 Utsuwa
匬 Masu Motai
匭 Hako Kukuru
匯 Meguru
匰 Zushi Hako
匱 Hitsu
匲 Hako
匳 Kushige
匵 Hitsu Hako
匸 Kakusu Oou
匹 Tagui Taguu
医 Iyasu Kusushi
匼 Kobihetsurau Megurusama
匽 Kakusu Husu Nabiku Hako Dobu
匾 Usui Hiratai Gaku
匿 Kakureru Kakusu
區 Wakeru Shikiru
十 Tou Totabi
卂 Tobu
千 Chi
卄 Nijuu
卅 Sanjuu
卆 Niwaka Owaru Tsuini
升 Masu Noboru
午 Uma
卉 Kusa
半 Nakaba Nakabasuru
卋 Yo
卌 Yonjuu
卍 Manji
卐 Manji
卑 Hikui Iyashii Iyashimeru
卒 Niwaka Owaru Tsuini
卓 Sugureru
協 Kanau
单 Hitoe
南 Minami
単 Hitoe
卙 Atsumaru
博 Hiroi Hiromeru
卛 Hikiiru
卜 Uranau Uranai
卝 Agemaki Itokenai Aragane
卞 Nori
占 Shimeru Uranau Uranai
卣 Saketsubo
卦 Urakata
卩 Warifu
卬 Nozomu Nasu Takaburu
卮 Sakazuki
卯 U
印 Shirushi
危 Ayaui Abunai Ayabumu
卲 Takai
即 Tsuku Sunawachi Moshi
却 Shirizoku Shirizokeru Kaette
卵 Tamago
卷 Maku
卸 Orosu Oroshi
卹 Ureeru
卺 Sakazuki
卻 Shirizoku Shirizokeru Kaette
卼 Ayai
卽 Tsuku Sunawachi Moshi
卾 Uwaago
卿 Kimi
厂 Gake
厃 Aogu Taruki Noki
厄 Kurushimu Wazawai
厇 Hiraku
厈 Gandare
厊 Kuichigau
压 Osaeru
厎 To Migaku Tairanisuru
厏 Kuichigau Semai
厓 Gake Kishi Katahe Hate
厔 Sasaerareru Tomaru
厖 Ookii
厘 Mise
厚 Atsui
厝 To Majiru Oku
原 Hara Moto Tazuneru
厠 Kawaya
厤 Osameru
厥 Sono Sore
厦 Ie
厧 Tsuka
厨 Kuriya
厩 Umaya
厪 Koya
厫 Kura
厭 Akiru Itou
厮 Komono
厯 Koromi
厰 Umaya
厲 To Togu Kosuru
厳 Kibishii Ogosoka Itsukushi
厵 Minamoto
厶 Gozaru
厷 Kaina Marui
厸 Tonaru Tonari
厺 Saru
去 Saru
厽 Kabe
叀 Tsutsushimu Kakeru
叁 Mitsu
参 Mairu Majiwaru Mitsu
參 Mairu
叄 Mairu Mitsu Majiwaru
叅 Mairu
又 Mata
叉 Mata
及 Oyobu Oyobi Oyobosu
友 Tomo
双 Futatsu Narabu Tagui
反 Soru Kaesu Kaeru
収 Osameru Osamaru
叏 Wakeru
叒 Shitagau
叓 Koto
叔 Oji
叕 Tsuzuru Sumiyaka
取 Toru
受 Ukeru Uke
变 Kawaru Kaeru
叙 Tsuideru Tsuide Noberu
叚 Kariru Kasu
叛 Somuku
叟 Okina
叠 Tatamu Tatami
叡 Akiraka
叢 Kusamura Muragaru
口 Kuchi
古 Furui Inishie
另 Wakareru Saku Betsuno Betsuni
叧 Wakeru
叨 Midarini
叩 Tataku Tataki
只 Tada
叫 Sakebu
召 Mesu
叮 Tanomu Nengoro Sasu
可 Yoi Beshi Bakari
台 Utena Yorokobu
叱 Shikaru
史 Fubito Fumi Sakan
右 Migi Tasukeru
