壞 Hoại
壟 Lũng
壢 Gạch
壤 Nhưỡng
士 Sĩ
壬 Nhăm
壯 Tráng
壹 Nhất
壻 Tế
壼 Hồ
壽 Thọ
复 Hạ
夕 Tịch
外 Ngoại
夙 Túc
多 Đa
夜 Dạ
大 Đại
天 Thiên
太 Thái
夫 Phu
夭 Yểu
央 Ương
失 Thất
夷 Dì
夸 Khoa
夾 Giáp
奄 Ăm
奇 Kỳ
奈 Nại
奉 Phụng
奏 Tấu
契 Khế
奢 Xa
奧 Áo
奪 Đoạt
奬 Tưởng
奮 Phấn
女 Nữa
奴 Nô
奶 Nái
奸 Gian
好 Háo
如 Như
妃 Phi
妍 Ngơn
妒 Đố
妓 Kĩ
妖 Yêu
妙 Diệu
妝 Trang
妥 Thoả
妮 Ni
妯 Dâu
妲 Dát
妸 Ả
妹 Muội
妻 Thê
妾 Thiếp
姂 Bợm
姅 Nửa
姈 Lanh
姉 Chị
姊 Chị
始 Thuỷ
姐 Thư
姑 Cô
姓 Tính
委 Uỷ
姚 Diêu
姤 Cạu
姥 Mụ
姦 Gian
姨 Dì
姪 Đẹt
姻 Nhân
姿 Tư
威 Uy
娓 Vãi
娘 Nương
娜 Na
娥 Nga
娶 Thú
婁 Lâu
婆 Bà
婉 Uyển
婍 Gả
婢 Tì
婦 Phụ
婪 Lam
婬 Dâm
婭 Ả
媄 Mẹ
媎 Chửa
媒 Mối
媧 Oa
媽 Má
嫁 Giá
嫂 Dâu
嫌 Hiềm
嫖 Phếu
嫗 Ẩu
嫡 Đích
嫦 Thường
嫩 Non
嬌 Kiều
嬖 Bế
嬰 Anh
嬸 Thím
子 Tí
孔 Khổng
孕 Dựng
字 Tự
存 Tồn
孛 Bụt
孝 Hiếu
孟 Mạnh
季 Quí
孤 Cô
孥 Nua
孩 Hài
孫 Tôn
學 Học
孺 Nhọ
孽 Nghiệt
宁 Trữ
宇 Vũ
守 Thú
安 An
宋 Tống
完 Hoàn
宗 Tông
官 Quan
宙 Trụ
定 Định
宛 Uyển
宜 Nghi
宝 Bảo
客 Khách
宣 Tuyên
室 Thất
宫 Cung
宰 Tể
害 Hại
宴 Yến
家 Gia
容 Dung
宿 Túc
寂 Tịch
寄 Gửi
寅 Dần
密 Mật
寇 Khấu
富 Phú
寐 Mị
寒 Hàn
寓 Ngụ
寔 Thực
寞 Mịch
察 Sát
寠 Lũ
寡 Quả
實 Thực
寨 Trại
審 Thẩm
寫 Tả
寬 Khoan
寵 Sủng
寶 Bảo
寸 Thốn
对 Đối
寿 Thọ
封 Phong
射 Xạ
將 Tướng
專 Chuyên
尊 Tôn
尋 Tầm
對 Đỗi
導 Đạo
小 Tiểu
少 Thiểu
尔 Nể
尖 Tiêm
尙 Thượng
尚 Chuộng
尸 Thây
尹 Doãn
尺 Xích
尼 Ni
尽 Tận
尾 Vĩ
局 Cục
居 Cư
屈 Khuất
屋 Ốc
屍 Thi
屏 Bình
展 Triển
屠 Đồ
屢 Lũ
層 Tầng
屬 Thuộc
屯 Truân
山 Sơn
屹 Ngật
岌 Ngập
岑 Sầm
岧 Đèo
岩 Nham
岱 Đồi
岵 Hô
岸 Ngàn
島 Đảo
峽 Giáp
崇 Sùng
崊 Lờm
崑 Côn
崒 Chót
崔 Thôi
崖 Day
崙 Son
嵁 Kham
嵋 Mi
嵎 Giủng
嵩 Tung
嵬 Ngôi
嶄 Chởm
嶗 Lao
嶢 Nghèo
巍 Nguy
巖 Nham
川 Xuyên
州 Châu
